highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
limited,"adj. 有限的
n. 高级快车"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
belong,vi. 属于，应归入；居住；适宜；应被放置
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
liberty,n. 自由；许可；冒失
sympathise,vi. 同情，支持
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
protective,adj. 防护的；关切保护的；保护贸易的
modify,"vt. 修改，修饰；更改
vi. 修改"
anticipate,vt. 预期，期望；占先，抢先；提前使用
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
modesty,n. 谦逊；质朴；稳重
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
rack,"n.  齿条；架子；拷问台
vt. 折磨；榨取
vi. 变形；随风飘；小步跑"
comprise,vt. 包含；由…组成
forestry,n. 林业；森林地；林学
interference,n. 干扰，冲突；干涉
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
plantation,"n. 栽植；殖民；大农场
adj. 适用于种植园或热带、亚热带国家的"
diagram,"n. 图表；图解
vt. 用图解法表示"
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
astronomer,n. 天文学家
stale,"n. 尿
adj. 陈腐的；不新鲜的
vt. 使变旧；变得不新鲜
vi. 变陈旧；撒尿；变得不新鲜"
atomic,adj. 原子的，原子能的；微粒子的
weave,"vi. 纺织；编成；迂回行进
vt. 编织；编排；使迂回前进
n. 织物；织法；编织式样"
bolt,"n. 螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷
vt. 筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出
vi. （门窗等）闩上，拴住；冲出，跳出；（马等的）脱缰；囫囵吞下
adv. 突然地；像箭似地；直立地"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
deck,"n. 甲板；行李仓；露天平台
vt. 装饰；装甲板；打扮"
radar,n.  雷达，无线电探测器
horsepower,n. 马力（功率单位）
illustration,n. 说明；插图；例证；图解
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
tanker,n. 油轮；运油飞机；油槽车；坦克手
fuss,"n. 大惊小怪，大惊小怪的人；小题大作；忙乱
vt. 使烦恼，使烦忧
vi. 小题大作；忙乱；焦燥；焦急；无事自扰"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
corruption,n. 贪污，腐败；堕落
lane,n. 小巷； 航线；车道；罚球区
forthcoming,"n. 来临
adj. 即将来临的"
accountable,adj. 有责任的；有解释义务的；可解释的
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的
cafeteria,n. 自助餐厅
pastime,n. 娱乐，消遣
quota,n. 配额；定额；限额
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
aviation,n. 航空；飞行术；飞机制造业
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
subjective,adj. 主观的；个人的；自觉的
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
broker,"n. 经纪人，掮客
vt. 以中间人等身分安排...
vi. 作为权力经纪人进行谈判"
takeoff,"起飞
开始
起跳
起跳的，起飞的"
well-being,n. 幸福；康乐
reside,vi. 住，居住；属于
junk,n. 垃圾，废物；舢板
circus,n. 马戏；马戏团
versus,prep. 对；与...相对；对抗
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
infect,vt. 感染，传染
source,n. 来源；水源；原始资料
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
proud,adj. 自豪的；得意的；自负的
invitation,n. 邀请；引诱；请帖；邀请函
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
worthwhile,adj. 值得做的，值得花时间的
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
majority,n. 多数；成年
funeral,"n. 葬礼；麻烦事
adj. 丧葬的，出殡的"
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
eliminate,vt. 消除；排除
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
intensity,n. 强度；强烈； 亮度；紧张
violence,n. 暴力；侵犯；激烈；歪曲
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
delivery,n.  交付；分娩；递送
frequency,n. 频率；频繁
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
rid,vt. 使摆脱；使去掉
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
magnetic,adj. 地磁的；有磁性的；有吸引力的
classify,vt. 分类；分等
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
conservative,找不到解释
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
undertake,vt. 承担，保证；从事；同意；试图
appearance,n. 外貌，外观；出现，露面
beneficial,adj. 有益的，有利的；可享利益的
demonstrate,"vt. 证明；展示；论证
vi. 示威"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
community,n. 社区； 群落；共同体；团体
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
interval,n. 间隔；间距；幕间休息
emphasize,vt. 强调，着重
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
rarely,adv. 很少地；难得；罕有地
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
bakery,n. 面包店
vivid,adj. 生动的；鲜明的；鲜艳的
ashamed,adj. 惭愧的，感到难为情的；耻于……的
universe,n. 宇宙；世界；领域
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
vain,adj. 徒劳的；自负的；无结果的；无用的
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
depend,vi. 依赖，依靠；取决于；相信，信赖
constitute,vt. 组成，构成；建立；任命
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
existence,n. 存在，实在；生存，生活；存在物，实在物
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
undergo,vt. 经历，经受；忍受
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
fluent,adj. 流畅的，流利的；液态的；畅流的
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
brow,n. 眉，眉毛；额；表情
furnace,n. 火炉，熔炉
scout,"n. 搜索，侦察；侦察员；侦察机
vt. 侦察；跟踪，监视；发现
vi. 侦察；巡视；嘲笑"
slender,adj. 细长的；苗条的；微薄的
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
pit,"n. 矿井；深坑；陷阱；（物体或人体表面上的）凹陷；（英国剧场的）正厅后排；正厅后排的观众
vt. 使竞争；窖藏；使凹下；去…之核；使留疤痕
vi. 凹陷；起凹点"
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
filmmaker,n. 电影制作人；电影摄制者
thermos,n. 热水瓶
architecture,n. 建筑学；建筑风格；建筑式样；架构
forum,n. 论坛，讨论会；法庭；公开讨论的广场
heave,"n. 举起；起伏；投掷；一阵呕吐
vt. 举起；使起伏；投掷；恶心；发出（叹息等）
vi. 起伏；举起；喘息；呕吐"
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
weld,"n. 焊接；焊接点
vt. 焊接；使结合；使成整体
vi. 焊牢"
aluminium,"n. 铝
adj. 铝的"
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
flexibility,n. 灵活性；弹性；适应性
chimney,n. 烟囱
inference,n. 推理；推论；推断
vague,adj. 模糊的；含糊的；不明确的；暧昧的
dense,adj. 稠密的；浓厚的；愚钝的
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
tuition,n. 学费；讲授
legend,n. 传奇；说明；图例；刻印文字
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
lace,"n. 花边；鞋带；饰带；少量烈酒
vt. 饰以花边；结带子
vi. 系带子"
invariably,adv. 总是；不变地；一定地
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
mall,n. 购物商场；林荫路；铁圈球场
counterpart,n. 副本；配对物；极相似的人或物
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
comply,vi. 遵守；顺从，遵从；答应
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
paperback,"n. 平装本；廉价本
adj. 纸面装订的；纸面平装本书籍的
vt. 以平装本出版"
obese,adj. 肥胖的，过胖的
haunt,"n. 栖息地；常去的地方
vt. 常出没于…；萦绕于…；经常去…
vi. 出没；作祟"
brutal,adj. 残忍的；野蛮的，不讲理的
biochemistry,"n. 生物化学
生物化学过程"
a package of proposals,找不到解释
abduct,vt. 绑架；诱拐；使外展
abolish,vt. 废除，废止；取消，革除
absent trial,找不到解释
absent voting,"absent vote
 缺席选举人票"
absolute majority,"n. 绝对多数（指超过半数的选票或竞选席位）
 绝对多数决；绝大多数；绝对多数决制"
abstain from voting, 弃权；放弃表决；投票时弃权
abstention,n. 弃权；节制；戒绝
academia,n. 学术界；学术生涯
academic career, 学历；学业；学术生涯
academician,n. 院士；大学生；学会会员；大学教师
academy of sciences,找不到解释
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的"
acclimate,"vt. 使适应；使服水土
vi. 服水土；适应新环境"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
account settlement,找不到解释
accredited journalist, 特派记者；特派新闻记者；比如特派记者
accumulated deficit,"un. 累计亏损；累计亏绌
 累积亏绌；累计亏空；累积亏损"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
accustom,vt. 使习惯于
acid rain,"n. 酸雨；酸性降水
 酸雨公司；酸雨问题；酸性雨"
active trade balance,"un. 贸易顺差
 出超"
adapt,"vi. 适应
vt. 使适应；改编"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
advisory body,"un. 咨询团体；顾问团
 咨询机构；顾问机构；咨询机关"
affirmative vote,"un. 可决票；选成票；赞成票
 经联准会董事会多数决同意"
after-sale service,"un. 免费保养服务；售后服务
 售后跟踪；售后品质；关于售后"
aftershock,"n. 余震
余波"
aggression,n. 侵略；进攻；侵犯；侵害
air crash,"n. 坠机事件
 空难；飞机失事；飞机坠毁事件"
air force,"n. 空军
 美国空军；空军部队基地；长空雄鹰"
album,n. 相簿；唱片集；集邮簿；签名纪念册
alleged,"v. 宣称（allege的过去式和过去分词）；断言
adj. 所谓的；声称的；被断言的"
allied nations,n.盟国
all-out ban,全面禁止
all-round title,找不到解释
alumnus,n. 男校友；男毕业生
alumni,n. （统称）校友，毕业生
ambassador,n. 大使；代表；使节
amendment,n. 修正案；改善；改正
amicable relations,na. 友好关系
amnesty,"n. 大赦，特赦
vt. 对…实行大赦"
anarchy,n. 无政府状态；混乱；无秩序
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
announcement,n. 公告；宣告；发表；通告
annualized,adj.  按年计算的（利率等），年度化
anti-corruption,n. 反腐败；反贪腐；廉政风暴
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
antiquity,n. 高龄；古物；古代的遗物
apartheid,n. 种族隔离
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
appointment,n. 任命；约定；任命的职位
archaeology,"n. 考古学
考古学的"
archeologist,n. 考古学家
arch-foe,主要的劲敌
argumentative,adj. 好辩的；辩论的；争辩的
armed intervention,na. 武装干涉
arm-twisting,n. 影响或压力
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
arson,n. 纵火；纵火罪
artifact,n. 人工制品；手工艺品
assembly hall,"na. 会场；会馆
 礼堂；会议厅；会堂"
assembly line,"na. 装配线
 组装线；流水线；生产线"
assemblyman,n. 议员；装配工
assess,vt. 评定；估价；对…征税
assistant secretary,找不到解释
assistant secretary of state, 助理国务卿；美国助理国务卿；国务院助理国务卿
astronaut,n. 宇航员，航天员；太空旅行者
atomic nucleus,"na. 原子核
 原子核理论；阳量子炁粒；发音播放"
attempted,"v. 企图（attempt的过去式）
adj. 企图的；未遂的"
attorney,n. 律师；代理人；检查官
audience rating,n. 收视率
audiophile,n. 唱片爱好者；爱玩高级音响的人
authoritative information,"na. 官方消息
 权威发布；官方信息"
authoritative source, 权威人士
authority,n. 权威；权力；当局
auto loan, 汽车贷款；次级车贷；汽车贷款器
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
autonomous region,"n. 自治区
 自治地区；西藏自治区；自治地方"
bachelor mother,；(未正式结过婚的、出于自择的)未婚母亲；(离婚或丧偶后独立抚养子女的) 独身母亲，单身母亲
background briefing,找不到解释
bacteria,n.  细菌
bail,"n. 保释，保释人；保释金；杓
vt. 保释，帮助某人脱离困境；往外舀水"
ballot paper, 选票；选票文件；选票网络解释
bar code,"na. (商品上示价的)条纹码
 条码；条形码；商品条码"
bargain price,"un. 廉价；交易价格
 特价；处理价格；对买主有利的价格"
barrage,"n. 弹幕；阻塞；齐射式攻击； 拦河坝
vt. 以密集炮火进攻
vi. 以密集火力阻击"
be due to,"na. 由于；应给；预定；应做的
 是由于；因此；是由於"
be obliged to,"na. 感谢；不得已而…
 不得不；被迫做；有义务"
be scheduled to,"na. 预定(本日开船)
 定于；排定时间或日期；安排"
beeper,n. 能发出哔哔声音的仪器；导弹遥控员
benchmark,"n. 基准；标准检查程序
vt. 用基准问题测试（计算机系统等）"
benefit concert, 慈善音乐会；义演音乐会；慈善演唱会
bid up price,找不到解释
big gun,"n. 大人物；有影响力的人物
abbr. (=big bug)
 大枪；大炮；手枪"
big lie, 大骗局；弥天大谎；大谎言
bilateral,adj. 双边的；有两边的
bilateral trade,"un. 双边贸易
 双边贸易总额；两国间的贸易；双边贸易和多边贸易"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
biological,adj. 生物的；生物学的
bistro,n. 小酒馆
black box,"n. 黑匣子；黑盒；飞行记录仪
 黑箱；黑盒子；未知框"
black market price,黑市价格
blanket ballot,有各党派候选人名字的选票
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
blind alley,"n. 死胡同；死路
 死路一条；绝境；绝路"
blizzard,"n. 暴风雪，大风雪；大打击
vi. 下暴风雪"
blockade,"n. 阻塞
vt. 封锁"
bloodless coup, 不流血政变；瞡涣餮
bogus,"n. 伪币
adj. 假的；伪造的"
bombard,"n. 射石炮
vt. 轰炸；炮击"
bonus,n. 奖金；红利；额外津贴
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
boost infrastructure,找不到解释
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
brace for,准备接受…，准备迎接(困难)，使振作精神
break apart,"un. 断行；分离；散了架；分崩离析
 分裂；分解；打散"
break taboos,找不到解释
broker,"n. 经纪人，掮客
vt. 以中间人等身分安排...
vi. 作为权力经纪人进行谈判"
brutal,adj. 残忍的；野蛮的，不讲理的
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
budget cut,"n. 预算削减
 削减经费；削减预算；经费削减的关系"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
business slump,营业不振
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
capital outflow,"un. 资本外流
 资本流出；资金外流；资本外流及资金外逃"
capitalism,n. 资本主义
cargo,n. 货物，船货
cash-strapped,adj. 缺乏现金的；没有足够资本的
catastrophe,n. 大灾难；大祸；惨败
catastrophic,adj. 灾难的；悲惨的；灾难性的，毁灭性的
caucus,"n. 干部会议；核心会议；党团会议
vi. 召开干部会议；开核心会议"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
census office, 人口普查办公室
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
claw back,"na. (政府用增税等办法)设法弥补
 夺回；费力收回；追回税款"
clinical trial,"un. 临床试验；临诊试验
 临床实验；临床研究；药物临床试验"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
colony,n. 殖民地；移民队；种群；动物栖息地
comatose,adj. 昏迷的；昏睡状态的；麻木的；怠惰的
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
committee,n. 委员会
commonwealth,n. 联邦；共和国；国民整体
complaint,n. 抱怨；诉苦；疾病；委屈
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
computerize,vt. 使电脑化；使计算机化；用电脑处理
confederation,n. 联盟；邦联；同盟
conservative,找不到解释
constituency,n. （选区的）选民；支持者；（一批）顾客
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
consulate,n. 领事；领事馆；领事任期；领事职位
consultation,n. 咨询；磋商； 会诊；讨论会
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
coup,"n. 政变；妙计；出乎意料的行动；砰然的一击
vt. 使…颠倒；使…倾斜
vi. 推倒；倾斜；溢出"
coup plotter,找不到解释
crack-down,n. 严厉手段，惩罚行动
cram,"n. 死记硬背；极度拥挤
adj. 填鸭式学的
vi. 狼吞虎咽地吃东西；死记硬背功课
vt. 填满，塞满；死记硬背；猛吃"
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
currency converter, 货币转换器；货币换算；货币换算器
custody,n. 保管；监护；拘留；抚养权
cut down the staff,找不到解释
death toll,"n. （事故、战争、灾难等的）死亡人数
 死亡丧钟；死亡数；死亡总数"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
decipher,"n. 密电译文
vt. 解释（过去式deciphered，过去分词deciphered，现在分词deciphering，第三人称单数deciphers，名词decipherer，形容词decipherable）；译解"
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
denuclearization,n. 非核化，无核化
denunciation,n. 谴责，斥责；告发
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
deputy,"n. 代理人，代表
adj. 副的；代理的"
derail,"n. 脱轨； 脱轨器
vt. 使出轨
vi. 出轨"
destruction,n. 破坏，毁灭；摧毁
detention,n. 拘留；延迟；挽留
detonate,"vt. 使爆炸
vi. 引爆，爆炸"
devaluation,n. 货币贬值
device,n. 装置；策略；图案
digital,"n. 数字；键
adj. 数字的；手指的"
diplomat,n. 外交家，外交官；有外交手腕的人；处事圆滑机敏的人
diplomatic channels,"un. 外交途径
 外交管道"
diplomatic courier, 外交信使；外交信差；谍影雄风
diplomatic immunity,"n. 外交豁免权；外交特权
 享有外交豁免权；享受外交豁免权；外交赦免权"
diplomatic privilege," 外交特权, 外交使节的治外法权"
diplomatic rank,外交等级
disaster,n. 灾难，灾祸；不幸
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
disturbing,"v. 干扰；打断（disturb的ing形式）
adj. 令人不安的；烦扰的"
dividend,n. 红利；股息； 被除数；奖金
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
download,vt.  下载
down-to-earth,adj. 实际的；现实的
downturn,n. 衰退（经济方面）；低迷时期
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
drought,n. 干旱；缺乏
dull market,"un. 市面冷淡
 萧条的市场；市场呆滞；呆滞市面"
during one's absence,找不到解释
earthquake monitoring,找不到解释
ecocide,n. 生态灭绝
economic contraction,"un. 经济萎缩
 经济紧缩"
economic power,"un. 经济力量
 经济权；经济权力；经济强国"
economic recession,"un. 经济衰退
 经济萧条；经济不景气；经济萧条期"
economic stimulus,"un. 经济刺激
 经济刺激政策；经济的刺激；刺激美国经济"
economic takeoff,经济起飞
election,n. 选举；当选；选择权；上帝的选拔
elector,n. 选举人；有选举权的人；总统选举人
embassy,n. 大使馆；大使馆全体人员
emerge,vi. 浮现；摆脱；暴露
energy conservation,"un. 节能；能量守恒；能源保存；节约能量
 节约能源；能源保护；能源节约"
environmental concern, 对环境的关心；环境关心；环境保护意识
environmental deterioration,"un. 环境恶化；环境诱发劣化
 环境损伤；环境衰败；环境损失"
evacuate,"vt. 疏散，撤退；排泄
vi. 疏散；撤退；排泄"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
evolution,n. 演变；进化论；进展
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
examination,n. 考试；检查；查问
excavate,"vt. 挖掘；开凿
vi. 发掘；细查"
excavation,n. 挖掘，发掘
excess labor,找不到解释
export-oriented industry,"un. 外向型工业
 出口创汇型产业；外向型产业；出口导向工业"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
famine,n. 饥荒；饥饿，奇缺
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
fever pitch,"n. 高度兴奋；极为激动；狂热
 极度狂热；爱情全垒打；足球热"
financial deficit,"un. 财政赤字
 财务赤字；金融赤字；财务缺口"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
fire back,"n. 鹇
 壁炉背墙；开火还击；回火"
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
foreign affairs,"n. (美国)《外交》季刊
 外交事务；外交季刊；外事"
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
fossil fuel,"n. 化石燃料（如煤或石油）
 矿物燃料；石化燃料；化石能源"
