a collection of,"un. 收藏的
 集…为一体的；一批；的收藏"
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
bluff,"n. 吓唬；绝壁；断崖
vi. 吓唬
adj. 直率的；陡峭的
vt. 吓唬；愚弄"
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
bonus,n. 奖金；红利；额外津贴
bony,adj. 骨的；多骨的；瘦骨嶙峋的；似骨的
botanical,"n. 植物性药材
adj. 植物学的"
botany,n. 植物学；地区植物总称
bouquet,n. 花束；酒香
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
brandy,n. 白兰地酒
brass,n. 黄铜；黄铜制品；铜管乐器；厚脸皮
bridge,"n. 桥；桥牌；桥接器；船桥
vt. 架桥；渡过"
brigade,"n. 旅；大部队；队列
vt. 把…编成旅；把…编成队"
brochure,n. 手册，小册子
broom,"n. 扫帚；金雀花
vt. 扫除
vi. 桩顶开花或开裂"
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
bucket,"n. 桶，水桶；铲斗；一桶的量
v. 倾盆而下；颠簸着行进"
Buddhism,n. 佛教
buffalo,n.  水牛； 野牛（产于北美）；水陆两用坦克
buffer,"n.  缓冲区；缓冲器， 减震器
vt. 缓冲"
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
butt,"n. 屁股；烟头；笑柄；靶垛；粗大的一端
vt. 以头抵撞；碰撞"
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
café,找不到解释
cafeteria,n. 自助餐厅
calcium,n.  钙
calf,n.  腓肠，小腿；小牛；小牛皮；(鲸等大哺乳动物的)幼崽
calorie,n. 卡路里（热量单位）
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
cane,"n. 手杖；藤条；细长的茎
vt. 以杖击；以藤编制"
cannon,"n. 大炮；加农炮；榴弹炮；机关炮
vt. 炮轰
vi. 炮轰；开炮"
canteen,n. 食堂，小卖部；水壶
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
cape,n.  海角，岬；披肩
caravan,"n. （可供居住的）拖车，大篷车；（穿过沙漠地带的）旅行队（如商队）；<英>活动住宅；<美>移民列车
vi. 乘拖车度假；参加旅行队旅行"
carrot,"n. 胡萝卜
诱饵"
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
cartoonist,n. 漫画家
casino,n. 俱乐部，赌场；娱乐场
cathedral,n. 大教堂
Catholic,找不到解释
centigrade,adj. 摄氏的； 摄氏温度的；百分度的
centimeter,n.  厘米； 公分
century,n. 世纪，百年；（板球）一百分
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
chapel,"n. 小礼拜堂，小教堂；礼拜
adj. 非国教的"
cheek,"n. 面颊，脸颊；臀部
vt. 无礼地向…讲话，对…大胆无礼"
chimney,n. 烟囱
chocolate,"n. 巧克力，巧克力糖；巧克力色
adj. 巧克力色的；巧克力口味的"
choir,"n. 唱诗班；合唱队；舞蹈队
vt. 合唱
vi. 合唱"
cholesterol,n.  胆固醇
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
Christ,"n. 基督；救世主
int. 天啊！"
Christian,"n. 基督徒，信徒
adj. 基督教的；信基督教的"
Christianity,n. 基督教；基督教精神，基督教教义
church,"n. 教堂；礼拜；教派
adj. 教会的；礼拜的
vt. 领…到教堂接受宗教仪式"
cigar,n. 雪茄
cigarette,n. 香烟；纸烟
claw,"n. 爪；螯，钳；爪形器具
vi. 用爪抓（或挖）
vt. 用爪抓（或挖）"
cliché,找不到解释
clothe,vt. 给…穿衣；覆盖；赋予
cocaine,n.  可卡因
cockpit,n. 驾驶员座舱；战场
cocktail,"n. 鸡尾酒；开胃食品
n. 混合物
adj. 鸡尾酒的"
coconut,n. 椰子；椰子肉
colonel,n. 陆军上校
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
Confucian,"n. 儒家，儒家学者；孔子的门徒
adj. 孔子的，儒家的；儒家学说的"
Confucianism,n. 孔子学说；儒家思想
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜"
cord,"n. 绳索；束缚
vt. 用绳子捆绑"
cork,"n. 软木橡树皮；瓶塞；软木塞
vt. 用瓶塞塞住"
corporal,"n. 下士
adj. 肉体的，身体的"
corps,n. 军团；兵种；兵队；（德国大学的）学生联合会
corpse,n. 尸体
corridor,走廊
cotton,"n. 棉花；棉布；棉线
adj. 棉的；棉制的
vi. 一致；理解；和谐；亲近"
counterfeit,"n. 赝品；冒牌货；伪造品
adj. 假冒的，伪造的；虚伪的
vt. 伪造，仿造；假装，伪装
vi. 仿造；假装"
countryside,n. 农村，乡下；乡下的全体居民
cousin,n. 堂兄弟姊妹；表兄弟姊妹
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
crab,"n. 螃蟹；蟹肉；脾气乖戾的人；起重机
vt. 抱怨；破坏；使偏航
vi. 捕蟹；发牢骚；抱怨"
cracker,n. 爆竹；饼干；胡桃钳；解密高手
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
crocodile,n. 鳄鱼
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
crow,"n.  乌鸦；鸡鸣；撬棍
vi. 啼叫；报晓"
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
crystallize,"vt. 使结晶；明确；使具体化；做成蜜饯
vi. 结晶，形成结晶；明确；具体化"
cub,"n. 幼兽；不懂规矩的年轻人
vi. 生育幼兽"
cucumber,n. 黄瓜；胡瓜
cunning,"n. 狡猾
adj. 狡猾的；巧妙的；可爱的"
dairy,"n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业
adj. 乳品的；牛奶的；牛奶制的；产乳的"
damn,"n. 一点；诅咒
vt. 谴责；罚…下地狱
adj. 可恶的
adv. 非常
vi. 谴责
int. 讨厌"
darken,"vt. 使变暗；使模糊
vi. 变黑；变得模糊"
darkness,n. 黑暗；模糊；无知；阴郁
deer,n. 鹿
diabetes,n. 糖尿病；多尿症
dial,"n. 转盘；刻度盘；钟面
vt. 给…拨号打电话
vi. 拨号"
diameter,n. 直径
diamond,"n. 钻石，金刚石；菱形；方块牌
adj. 菱形的；金刚钻的"
diary,n. 日志，日记；日记簿
dime,n. 一角硬币
dinosaur,n. 恐龙；过时、落伍的人或事物
dioxide,n. 二氧化物
disco,n. 迪斯科舞厅；的士高
dish,"n. 盘；餐具；一盘食物；外貌有吸引力的人
vt. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
vi. 成碟状；闲谈"
disk,n.  磁盘，磁碟片；圆盘，盘状物；唱片
dodge,"n. 躲闪；托词
vi. 躲避，避开
vt. 躲避，避开
n. 道奇（汽车品牌）"
dole,"n. 失业救济金；赈济物；施舍品
vt. 发放救济；以小份发给"
doll,"n. 洋娃娃；玩偶；无头脑的美丽女人
vt. 把…打扮得花枝招展"
dolphin,n. 海豚
donkey,n. 驴子；傻瓜；顽固的人
dragon,n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
drawer,n. 抽屉；开票人；出票人；起草者；酒馆侍
duke,n. 公爵，（公国的）君主；公爵（种）樱桃
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
eagle,n. 鹰；鹰状标饰
eggplant,"n. 茄子
adj. 深紫色的"
embroidery,n. 刺绣；刺绣品；粉饰
empire,n. 帝国；帝王统治，君权
etiquette,n. 礼节，礼仪；规矩
euro,n. 欧元（欧盟的统一货币单位）
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
farewell,"n. 告别，辞别；再见；再会
adj. 告别的
int. 别了！（常含有永别或不容易再见面的意思）；再会！"
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
feather,"n. 羽毛
vt. 用羽毛装饰
vi. 长羽毛"
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
feverish,adj. 发热的；极度兴奋的
fisherman,n. 渔夫；渔人
flank,"n. 侧面；侧翼；侧腹
vt. 守侧面；位于…的侧面；攻击侧面
vi. 侧面与…相接
adv. 在左右两边"
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
flesh,"n. 肉；肉体
vt. 喂肉给…；使发胖
vi. 长胖"
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
foe,n. 敌人；反对者；危害物
fog,"n. 雾；烟雾，尘雾；迷惑
vt. 使模糊；使困惑；以雾笼罩
vi. 被雾笼罩；变模糊"
foggy,adj. 有雾的；模糊的，朦胧的
forfeit,"n. 罚金；没收物；丧失的东西
vt. （因犯罪、失职、违约等）丧失（权利、名誉、生命等）
adj. 因受罚而丧失的；被没收的"
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧"
fox,"n. 狐狸；狡猾的人
vt. 欺骗；使变酸
vi. 假装；耍狡猾手段"
frank,"n. 免费邮寄特权
adj. 坦白的，直率的；老实的
vt. 免费邮寄"
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
gallon,n. 加仑（容量单位）
garlic,n. 大蒜；蒜头
gasoline,n. 汽油
gay,"n. 同性恋者
adj. 快乐的；放荡的；艳丽的"
geometric,adj. 几何学的； 几何学图形的
geometrically,adv. 用几何学；几何学上地；按几何级数地
geometry,"n. 几何学
几何结构"
ginger,"n. 姜；姜黄色；精力；有姜味
vt. 用姜给…调味；使某人有活力
adj. 姜黄色的"
gland,"n. 腺
密封压盖"
glass,"n. 玻璃；玻璃制品；镜子
vt. 反映；给某物加玻璃
vi. 成玻璃状"
glossary,n. 术语（特殊用语）表；词汇表；专业词典
glove,"n. 手套
vt. 给…戴手套"
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于"
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
goose,"n. 鹅；鹅肉；傻瓜；雌鹅
vt. 突然加大油门；嘘骂"
grape,n. 葡萄；葡萄酒；葡萄树；葡萄色
grassy,adj. 长满草的；草绿色的
groove,"n.  凹槽，槽；最佳状态；惯例
vt. 开槽于
vi. 形成沟槽"
grove,n. 小树林；果园
hairy,adj. 多毛的；毛状的；长毛的
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
harmless,adj. 无害的；无恶意的
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
hay,"n. 干草
vt. 把晒干
vi. 割草晒干"
headache,n. 头痛；麻烦；令人头痛之事
heave,"n. 举起；起伏；投掷；一阵呕吐
vt. 举起；使起伏；投掷；恶心；发出（叹息等）
vi. 起伏；举起；喘息；呕吐"
hectare,n. 公顷（等于1万平方米）
hell,"n. 地狱；究竟（作加强语气词）；训斥；黑暗势力
vi. 过放荡生活；飞驰
int. 该死；见鬼（表示惊奇、烦恼、厌恶、恼怒、失望等）"
helmet,n. 钢盔，头盔
heroin,n.  海洛因，吗啡
hinge,"n. 铰链，折叶；关键，转折点；枢要，中枢
v. 用铰链连接；依…为转移；给…安装铰链；（门等）装有蝶铰"
hive,"n. 蜂房，蜂巢；热闹的场所；熙攘喧闹的人群
vi. 群居；入蜂房；生活在蜂房中
vt. 入蜂箱；贮备"
hockey,n. 曲棍球；冰球
hole,"n. 洞，孔；洞穴，穴；突破口
vt. 凿洞
vi. 凿洞，穿孔；（高尔夫球等）进洞"
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
homosexual,"n. 同性恋者
adj. 同性恋的"
honey,"n. 蜂蜜；宝贝；甜蜜
adj. 甘美的；蜂蜜似的
vt. 对…说甜言蜜语；加蜜使甜
vi. 奉承；说甜言蜜语"
honeymoon,"n. 蜜月；蜜月假期；（新生事物、新建关系等的）短暂的和谐时期
vi. 度蜜月"
horse,"n. 马；骑兵；脚架；海洛因
vt. 使骑马；系马于；捉弄
vi. 骑马；作弄人"
horsepower,n. 马力（功率单位）
hose,"n. 软管；长筒袜；男性穿的紧身裤
vt. 用软管浇水；痛打"
hotdog,"v. 卖弄
n. 热狗（面包）"
hound,"n. 猎犬；卑劣的人
vt. 追猎；烦扰；激励"
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
hurricane,n. 飓风，暴风
hydrogen,n.  氢
hygiene,n. 卫生；卫生学；保健法
hygienic,adj. 卫生的，保健的；卫生学的
hyphen,"n. 连字号
vt. 以连字号连接"
incandescent,adj. 辉耀的；炽热的；发白热光的
inch,"n. 英寸；身高；少许
vt. 使缓慢地移动
vi. 慢慢前进"
incumbent,"n. 在职者；现任者；领圣俸者
adj. 现任的；依靠的；负有职责的"
inertia,n.  惯性；惰性，迟钝；不活动
influenza,n.  流行性感冒（简写flu）；家畜流行性感冒
insane,adj. 疯狂的；精神病的；极愚蠢的
insanity,n. 疯狂；精神错乱；精神病；愚顽
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
isle,"n. 岛
vt. 使成为岛屿
vi. 住在岛屿上"
jack,"n. 千斤顶； 插座；男人
adj. 雄的
vt. 增加；提醒；抬起；用千斤顶顶起某物"
jargon,n. 行话，术语；黄锆石
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
jealousy,n. 嫉妒；猜忌；戒备
jelly,"n. 果冻；胶状物
vi. 成胶状
vt. 使结冻"
jockey,"vt. 驾驶；欺骗；移动
n. 操作工；驾驶员；赛马的骑师
vi. 当赛马的骑师；耍手段图谋；搞欺骗"
jolly,"adj. 愉快的；欢乐的；宜人的
adv. 很；非常
vt. （口）用好话劝某人做…；（口）用好话使高兴
vi. （口）开玩笑"
kidney,n.  肾脏；腰子；个性
kilogram,n. 公斤；千克
kilometer,n.  公里； 千米（等于kilometre）
kindergarten,n. 幼儿园；幼稚园
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
knob,"n. 把手；瘤；球形突出物
vi. 鼓起
vt. 使有球形突出物"
lad,n. 少年，小伙子；家伙
laser,n. 激光
lass,n. 小姑娘；情侣；（苏格兰）女佣
laughter,n. 笑；笑声
lavish,"adj. 浪费的；丰富的；大方的
vt. 浪费；慷慨给予；滥用"
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
leftist,"n. 左派；急进派；左翼的人；左撇子
adj. 左派的；左撇子的；急进派的"
lemon,"adj. 柠檬色的
n. 柠檬"
lemonade,n. 柠檬水
lesbian,"adj.  女同性恋的
n. 女同性恋者"
lest,conj. 唯恐，以免；担心
lieutenant,n. 中尉；副官；助理人员
lily,"n. 百合花，百合；类似百合花的植物；洁白之物
adj. 洁白的，纯洁的"
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
lime,"n. 石灰；酸橙；绿黄色
vt. 撒石灰于；涂粘鸟胶于
adj. 绿黄色的"
linen,"n. 亚麻布，亚麻线；亚麻制品
adj. 亚麻的；亚麻布制的"
lion,n. 狮子；名人；勇猛的人；社交场合的名流
lioness,n. 母狮子；雌狮
lipstick,"n. 口红；唇膏
vt. 涂口红
vi. 涂口红"
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
liter,n.  公升（容量单位）
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
loaf,"n. 条，一条面包；块；游荡
vt. 游荡；游手好闲；虚度光阴
vi. 游荡；游手好闲；虚度光阴"
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
lodge,"n. 旅馆；门房；集会处；山林小屋
vt. 提出；寄存；借住；嵌入
vi. 寄宿；临时住宿"
lodging,n. 寄宿；寄宿处；出租的房间、住房；倒伏
loneliness,n. 寂寞，孤独
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
loophole,n. 漏洞；枪眼；换气孔；射弹孔
lord,"n. 主；上帝
int. 主，天啊
vt. 使成贵族
vi. 作威作福，称王称霸"
lorry,n. （英）卡车； 货车；运料车
lotion,n. 洗液；洗涤剂
lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
lucrative,adj. 有利可图的，赚钱的；合算的
lung,n. 肺；呼吸器
mall,n. 购物商场；林荫路；铁圈球场
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
maneuver,"n.  机动；演习；策略；调遣
vi.  机动；演习；调遣；用计谋
vt.  机动；演习；用计；调遣"
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
martyr,"vt. 牺牲；折磨；杀害
n. 烈士；殉道者"
Marxism,"n. 马克思主义
adj. 马克思的；马克思主义的"
Marxist,"n. 马克思主义者
adj. 马克思主义的"
massager,n. 按摩器；按摩师
meaty,adj. 肉的；多肉的；似肉的
melon,n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西
mercury,n. 水星
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
meritorious,adj. 有功绩的；有价值的；值得称赞的
meter,"n. 米；仪表； 公尺；韵律
vt. 用仪表测量
vi. 用表计量"
meticulous,adj. 一丝不苟的；小心翼翼的；拘泥小节的
metric,"adj. 公制的；米制的；公尺的
n. 度量标准"
midnight,"n. 午夜，半夜12点钟
adj. 半夜的；漆黑的"
mile,n. 英里；一英里赛跑；较大的距离
mileage,n. 英里数
millimeter,n.  毫米
millisecond,n. 毫秒
ministerial,adj. 部长的；内阁的；公使的；牧师的
mint,"n. 薄荷； 造币厂，巨款
vt. 铸造，铸币
adj. 完美的"
monthly,"adj. 每月的，每月一次的；有效期为一个月的
n. 月刊
adv. 每月，每月一次"
mosquito,n. 蚊子
moss,"n. 苔藓；泥沼
vt. 使长满苔藓"
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
mouthful,n. 一口，满口
mug,"n. 杯子；脸；苦读者
vi. 扮鬼脸，做怪相
vt. 行凶抢劫"
mule,n. 骡；倔强之人，顽固的人；杂交种动物
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长"
musical,"adj. 音乐的；悦耳的
n. 音乐片"
musician,n. 音乐家
mute,"adj. 哑的；沉默的；无声的
vt. 减弱……的声音；使……柔和
n. 哑巴；弱音器；闭锁音"
napkin,n. 餐巾；餐巾纸；尿布
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
nephew,n. 侄子；外甥
nickel,"n. 镍；镍币；五分镍币
vt. 镀镍于"
niece,n. 外甥女，侄女
nightly,"adj. 夜间的；每夜的
adv. 每夜"
nitrogen,n.  氮
noun,n. 名词
oceanic,adj. 海洋的；海洋产出的；在海洋中生活的；广阔无垠的
odor,n. 气味；名声
odorous,adj. 香的；有气味的；难闻的
oily,adj. 油的；油质的；油滑的；油腔滑调的
olive,"n. 橄榄；橄榄树；橄榄色
adj. 橄榄的；橄榄色的"
Olympiad,找不到解释
Olympic,adj. 奥林匹斯山的，奥林匹亚的；奥林匹克的
onion,n. 洋葱；洋葱头
opera,n. 歌剧；歌剧院；歌剧团
orchestra,n. 管弦乐队；乐队演奏处
ore,n. 矿；矿石
outer,"adj. 外面的，外部的；远离中心的
n. 环外命中"
ox,n. 牛；公牛
oxide,n.  氧化物
oxygen,n.  氧气， 氧
paddy,n. 稻田（复数paddies）；爱尔兰人；Patrick（男子名）和Patricia（女子名）的昵称
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
painter,n. 画家；油漆匠
pair,"n. 一对，一双，一副
vt. 把…组成一对"
parish,"n. 教区
地方行政区"
parole,"n. 语言；誓言，诺言；释放宣言
vt. 有条件释放，假释；使假释出狱；宣誓后释放"
parrot,"n. 鹦鹉；学舌者，应声虫；机械模仿别人的人
vt. 机械地模仿"
pasta,n. 意大利面食；面团
pastime,n. 娱乐，消遣
pastry,n. 油酥点心；面粉糕饼
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
paw,"n. 爪子；手
vt. 抓，扒；亲昵地抚摸
vi. 用爪子抓；翻找"
pea,n. 豌豆
peach,"n. 桃子；桃树；桃红色；受人喜欢的人（或物）
adj. 桃色的；用桃子制成的
vt. 告发
vi. 告密"
peanut,n. 花生
peg,"n. 钉；桩；借口；琴栓
vt. 限制；钉木钉
adj. 越往下端越细的
vi. 疾行；孜孜不倦地做某事"
penguin,n. 企鹅；空军地勤人员
peninsula,n. 半岛
pepper,"n. 胡椒；辣椒；胡椒粉
vt. 加胡椒粉于；使布满"
pest,n. 害虫；有害之物；讨厌的人
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
petitioner,n. 请愿人；诉愿人；（英）离婚案原告
petrochemical,"n. 石油化学产品
adj. 石化的"
petrol,n. （英）汽油
petroleum,n. 石油
pianist,n. 钢琴家；钢琴演奏者
pigeon,n. 鸽子
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
pillar,"n. 柱子，柱形物；栋梁；墩
vt. 用柱支持"
pinch,"n. 匮乏；少量；夹痛
vt. 捏；勒索；使苦恼；掐掉某物，修剪
vi. 夹痛；节省"
pint,n. 品脱；一品脱的量；一品脱牛奶或啤酒
pistol,"n. 手枪；信号枪
vt. 用手枪射击"
pity,"n. 怜悯，同情；遗憾
vt. 对……表示怜悯；对……感到同情"
pizza,n. 比萨饼（一种涂有乳酪核番茄酱的意大利式有馅烘饼）
plural,"n. 复数
adj. 复数的"
pond,"n. 池塘
vt. 筑成池塘
vi. 筑成池塘"
Pope,找不到解释
porcelain,"n. 瓷；瓷器
adj. 瓷制的；精美的"
porch,n. 门廊；走廊
pork,"n. 猪肉
vt. 与女子性交"
porridge,"n. 粥，糊；麦片粥
vt. 服刑"
porter,n. 门房；服务员；行李搬运工；守门人
postcard,n. 明信片
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
pottery,n. 陶器；陶器厂；陶器制造术
poultry,"n. 家禽
家禽肉"
preposition,n. 介词；前置词
priest,"n. 牧师；神父；教士
vt. 使成为神职人员；任命…为祭司"
prone,adj. 俯卧的；有…倾向的，易于…的
pronoun,n. 代词
propaganda,n. 宣传；传道总会
protocol,"n. 协议；草案；礼仪
vt. 拟定
vi. 拟定"
pudding,n. 布丁
pumpkin,n. 南瓜
quart,n. 夸脱（容量单位）；一夸脱的容器
reciprocal,"n.  倒数；互相起作用的事物
adj. 互惠的；相互的；倒数的，彼此相反的"
refrigeration,n. 制冷；冷藏； 冷却
refrigerator,n. 冰箱，冷藏库
relaxation,n. 放松；缓和；消遣
remnant,"n. 剩余
adj. 剩余的"
renaissance,n. 文艺复兴（欧洲14至17世纪）
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
retarded,adj. 智力迟钝的；发展迟缓的
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
rib,"n. 肋骨；排骨；肋状物
vt. 戏弄；装肋于"
ridge,"n. 山脊；山脉；屋脊
vt. 使成脊状；作垄
vi. 成脊状"
rifle,"n. 步枪；来复枪
vt. 用步枪射击；抢夺；偷走"
rig,"n. 装备；钻探设备；服装； 帆装
vt. 操纵；装配；装扮；装上索具"
rob,"vt. 抢劫；使…丧失；非法剥夺
vi. 抢劫；掠夺"
robbery,n. 抢劫，盗窃；抢掠
rod,n. 棒；惩罚；枝条；权力
rug,n. 小地毯；毛皮地毯；男子假发
sadden,"vt. 使悲伤，使难过；使黯淡
vi. 悲哀；悲痛"
salad,n. 色拉；尤指莴苣
salmon,"n. 鲑鱼；大马哈鱼；鲑肉色；鲑鱼肉；橙红色，粉橙色
adj. 浅澄色的"
salon,n. 沙龙；客厅；画廊；美术展览馆
salty,adj. 咸的；含盐的
sandwich,"n. 三明治；夹心面包
vt. 夹入；挤进；把...做成三明治"
sandy,adj. 沙地的；多沙的；含沙的
sauce,"n. 酱油；沙司；调味汁
vt. 使增加趣味；给…调味"
sausage,n. 香肠；腊肠；装香肠的碎肉
scissors,"n. 剪刀；剪式跳法
v. 剪开；删除（scissor的第三人称单数）"
sergeant,n. 军士；警察小队长；海军陆战队中士；高等律师
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
sheep,n. 羊，绵羊；胆小鬼
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
shrimp,"n. 虾；小虾；矮小的人
adj. 有虾的；虾制的
vi. 捕虾"
silicon,n.  硅；硅元素
silk,"n. 丝绸；蚕丝；丝织物
adj. 丝的；丝绸的；丝制的
vi. （玉米）处于长须的阶段中"
silky,adj. 丝的；柔滑的；温和的；丝绸一样的
silly,"n. 傻瓜
adj. 愚蠢的；不明事理的；没头脑的"
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
