barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
realm,n. 领域，范围；王国
kingdom,n. 王国；界；领域
accurate,adj. 精确的
incorrect,adj. 错误的，不正确的；不适当的；不真实的
ancestor,n. 始祖，祖先；被继承人
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
emerge,vi. 浮现；摆脱；暴露
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
illusion,n. 幻觉，错觉；错误的观念或信仰
reality,n. 现实；实际；真实
injustice,n. 不公正；不讲道义
fairness,n. 公平；美好；清晰；顺利性
multitude,n. 群众；多数
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
soothe,"vt. 安慰；使平静；缓和
vi. 起抚慰作用"
aggravate,vt. 加重；使恶化；激怒
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
virtuous,adj. 善良的；有道德的；贞洁的；正直的；有效力的
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
valid,adj. 有效的；有根据的；合法的；正当的
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
facilitate,vt. 促进；帮助；使容易
frail,"n. 灯心草篓；少妇；少女
adj. 脆弱的；虚弱的"
insignificant,adj. 无关紧要的
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
prohibit,vt. 阻止，禁止
repent,"adj.  匍匐生根的； 爬行的
vi. 后悔；忏悔
vt. 后悔；对…感到后悔"
resolute,adj. 坚决的；果断的
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
brisk,"adj. 敏锐的，活泼的，轻快的；凛冽的
vt. 使……活泼；使……轻快；使……兴旺
vi. 活跃起来；变得轻快"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
hearth,n. 灶台；炉边；炉床；壁炉地面
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
prevalent,adj. 流行的；普遍的，广传的
rumor,"n. 谣言；传闻
vt. 谣传；传说"
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
streak,"n. 条纹，线条；倾向
vi. 飞跑，疾驶；加上条纹
vt. 飞跑，疾驰；加条纹于"
tug,"n. 拖船；拖曳；苦干
vt. 用力拉；较量；用拖船拖
vi. 用力拉；竞争；努力做"
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
brink,n. （峭壁的）边缘
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
cab,"n. 驾驶室；出租汽车；出租马车
vi. 乘出租马车（或汽车）"
taxi,"n. 出租汽车
vt. 使滑行；用出租车送
vi. 乘出租车；滑行"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
convention,n. 大会； 惯例； 约定； 协定；习俗
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
expel,vt. 驱逐；开除
banish,vt. 放逐；驱逐
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
remarkable,adj. 卓越的；非凡的；值得注意的
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
equipment,n. 设备，装备；器材
throng,"n. 人群；众多
vt. 群集；挤满
vi. 蜂拥而至；群集
adj. 拥挤的"
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
waver,"n. 动摇；踌躇；挥动者
vi. 摇曳；踌躇；摆动"
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
affirmative,"n. 肯定语；赞成的一方
adj. 肯定的；积极的"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
amid,prep. 在其中，在其间
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
appease,vt. 使平息；使满足；使和缓；对…让步
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
eternal,adj. 永恒的；不朽的
momentary,adj. 瞬间的；短暂的；随时会发生的
gallant,adj. 英勇的，勇敢的；华丽的；雄伟的
timid,adj. 胆小的；羞怯的
gratify,vt. 使满足；使满意，使高兴
disappoint,vt. 使失望
petty,adj. 琐碎的；小气的；小规模的
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的"
weak,adj.  疲软的；虚弱的；无力的；不牢固的
tropical,adj. 热带的；热情的；酷热的
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
zoology,n. 动物学，动物学课程; （某一地区的）全部动物，（某种动物的）动物特性
botany,n. 植物学；地区植物总称
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
deprive,vt. 使丧失，剥夺
heritage,n. 遗产；传统；继承物；继承权
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
punctual,adj. 准时的，守时的；精确的
restrain,vt. 抑制，控制；约束；制止
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
altar,n. 祭坛；圣坛；圣餐台
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
bugle,"n. 喇叭；军号；筋骨草属植物
vt. 吹号集合
vi. 吹号；吹喇叭"
charcoal,"n. 木炭；炭笔
vt. 用木炭画（过去式charcoaled，过去分词charcoaled，现在分词charcoaling，第三人称单数charcoals）"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
deputy,"n. 代理人，代表
adj. 副的；代理的"
grind,"n. 磨；苦工作
vt. 磨碎；磨快
vi. 磨碎；折磨"
missionary,"adj. 传教的；传教士的
n. 传教士"
premier,"n. 总理，首相
adj. 第一的；最初的"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
salvation,n. 拯救；救助
standstill,n. 停顿；停止
trample,"n. 蹂躏；践踏声
vi. 践踏；蔑视，伤害；脚步沉重地走
vt. 践踏；蔑视，伤害"
yoke,"n. 轭；束缚；牛轭
vt. 结合；给…上轭
vi. 结合；匹配"
adorn,vt. 装饰；使生色
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
baggage,n. 行李； 辎重（军队的）
luggage,n. 行李；皮箱
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
considerate,adj. 体贴的；体谅的；考虑周到的
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
enclose,vt. 围绕；装入；放入封套
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
tool,"n. 工具，用具；器械，机床；手段
vt. 用工具给……加工
vi. 使用工具；用机床装备工厂"
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
luster,"n.  光泽；光彩
vi. 有光泽；发亮
vt. 使有光泽"
brilliance,n. 光辉；才华；宏伟
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
fragrance,n. 香味，芬芳
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
acquire,vt. 获得；取得；学到；捕获
lose,"vt. 浪费；使沉溺于；使迷路；遗失；错过
vi. 失败；受损失"
benevolent,adj. 仁慈的；慈善的；亲切的
malevolent,adj. 恶毒的；有恶意的；坏心肠的
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
reprimand,"n. 谴责；训斥；申诉
vt. 谴责；训斥；责难"
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
impoliteness,n. 无礼，粗鲁; 失礼
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
different,adj. 不同的；个别的，与众不同的
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
irresponsible,adj. 不负责任的；不可靠的
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
miserable,adj. 悲惨的；痛苦的；卑鄙的
happy,adj. 幸福的；高兴的；巧妙的
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
decisive,adj. 决定性的；果断的，坚定的
appetite,n. 食欲；嗜好
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
distract,vt. 转移；分心
mutual,adj. 共同的；相互的，彼此的
pacify,vt. 使平静；安慰；平定
prominent,adj. 突出的，显著的；杰出的；卓越的
receipt,"n. 收到；收据；收入
vt. 收到"
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
chauffeur,"n. 司机
vt. 开车运送
vi. 当汽车司机"
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
dye,"n. 染料；染色
vt. 染；把…染上颜色
vi. 被染色"
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
plunder,"n. 抢夺；战利品；掠夺品
vt. 掠夺；抢劫；侵吞
vi. 掠夺；盗窃"
speck,"n. 灰尘；污点；小颗粒
vt. 使有斑点"
strife,n. 冲突；争吵；不和
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
twinkle,"n. 闪烁
vt. 使闪耀；闪耀
vi. 闪烁；发亮"
cite,vt. 引用；传讯；想起；表彰
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
grumble,"n. 怨言
adv. 抱怨地表示；嘟囔地说
vi. 抱怨；嘟囔
vt. 喃喃地说出"
mutter,"vi. 咕哝；喃喃自语
vt. 咕哝；抱怨地说；低声含糊地说
n. 咕哝；喃喃低语"
hideous,adj. 可怕的；丑恶的
horrible,adj. 可怕的；极讨厌的
loiter,"vi. 虚度；闲荡；徘徊
vt. 虚度；闲荡；混"
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
tear,"vi. 流泪, 撕破
n. 眼泪, （撕破的）洞或裂缝, 撕扯
vt. 撕掉, 扯下, 扰乱"
specs,abbr. 规格，说明书（specifications）；眼镜（spectacles）
eyeglasses,n. 眼镜（等于glasses）
threshold,n. 入口；门槛；开始；极限；临界值
doorway,n. 门口；途径
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
symbol,n. 象征；符号；标志
traitor,n. 叛徒；卖国贼；背信弃义的人
betrayer,n. 叛徒；背信者；告密者
uphold,vt. 支撑；鼓励；赞成；举起
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
yawn,"n. 哈欠；裂口
vt. 张开；打著哈欠说
vi. 打哈欠；裂开"
gape,"n. 裂口，张嘴；呵欠
vi. 裂开，张开；打呵欠"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
denial,n. 否认；拒绝；节制；背弃
acceptance,n. 接纳；赞同；容忍
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
arrive,vi. 到达；成功；达成；出生
flexible,adj. 灵活的；柔韧的；易弯曲的
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
gale,n.  大风，狂风；（突发的）一阵
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
sane,adj. 健全的；理智的； 神志正常的
crazy,adj. 疯狂的；狂热的，着迷的
underworld,n. 黑社会；地狱；下层社会；尘世
heaven,n. 天堂；天空；极乐
vanity,n. 虚荣心；空虚；浮华；无价值的东西
humbleness,n. 谦逊；卑贱；粗鄙
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
employee,n. 雇员；从业员工
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
legislate,"vt. 用立法规定；通过立法
vi. 立法；制定法律"
maintain,vt. 维持；继续；维修；主张；供养
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
reconcile,vt. 使一致；使和解；调停，调解；使顺从
sensation,n. 感觉；轰动；感动
sociable,"n. 联谊会
adj. 社交的；好交际的；友善的"
all-out,adj. 全部的；竭尽全力的；毫无保留的
aptitude,n. 天资；自然倾向；适宜
axis,n. 轴；轴线；轴心国
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
cargo,n. 货物，船货
clergy,n. 神职人员；牧师；僧侣
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
dodge,"n. 躲闪；托词
vi. 躲避，避开
vt. 躲避，避开
n. 道奇（汽车品牌）"
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
headquarters,n. 总部；指挥部；司令部
retort,"n. 反驳，顶嘴；曲颈瓶
vi. 反驳，回嘴
vt. 反驳，反击"
textile,"n. 纺织品，织物
adj. 纺织的"
thigh,n. 大腿，股
toilet,"n. 厕所，盥洗室；梳妆，打扮
vt. 给…梳妆打扮
vi. 梳妆，打扮"
attribute,"n. 属性；特质
vt. 归属；把…归于"
ascribe,vt. 归因于；归咎于
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
banish,vt. 放逐；驱逐
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
hindrance,n. 障碍；妨碍；妨害；阻碍物
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
fog,"n. 雾；烟雾，尘雾；迷惑
vt. 使模糊；使困惑；以雾笼罩
vi. 被雾笼罩；变模糊"
porter,n. 门房；服务员；行李搬运工；守门人
carrier,n.  载体；运送者；带菌者；货架
subdue,vt. 征服；抑制；减轻
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
tempest,"n. 暴风雨；骚动；动乱
vt. 使狂怒；扰乱，使激动
vi. 小题大作；起大风暴"
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
amenable,adj. 有责任的：顺从的，服从的；有义务的；经得起检验的
disobedient,adj. 不服从的；违背的；不孝的
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
intentional,adj. 故意的；蓄意的；策划的
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
detach,vt. 分离；派遣；使超然
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
underestimate,"n. 低估
vt. 低估；看轻"
inadequate,adj. 不充分的，不适当的
sufficient,adj. 足够的；充分的
literate,"adj. 受过教育的；精通文学的
n. 学者"
uneducated,"adj. 无知的；未受教育的
v. 未受教育（uneducate的过去分词）"
mansion,n. 大厦；宅邸
hut,"n. 小屋；临时营房
vt. 使住在小屋中；驻扎
vi. 住在小屋中；驻扎"
meek,adj. 温顺的；谦恭的；驯服的
violent,adj. 暴力的；猛烈的
zeal,n. 热情；热心；热诚
negligence,n. 疏忽；忽视；粗心大意
aggression,n. 侵略；进攻；侵犯；侵害
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
architect,"n. 建筑师
缔造者"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
publicity,n. 宣传，宣扬；公开；广告；注意
rely,vi. 依靠；信赖
retract,"n. 收缩核
vt. 缩回；缩进；取消
vi. 缩回；缩进；撤消"
unify,vt. 统一；使相同，使一致
broil,"n. 烤；争吵；灼热
vt. 烤；炙
vi. 烤；炙"
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
incense,"n. 香；奉承
vt. 向…焚香；使…发怒
vi. 焚香"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
nourish,vt. 滋养；怀有；使健壮
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
thaw,"n. 解冻；融雪
vt. 使融解；使变得不拘束
vi. 融解；变暖和"
allure,"n. 诱惑力
vt. 引诱，诱惑；吸引
vi. 诱人，吸引人"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
anew,adv. 重新；再
again,"adv. 又，此外；再一次；再说；增加
n. （英、保）阿盖恩"
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
crouch,"n. 蹲伏
vt. 低头；屈膝
vi. 蹲伏，蜷伏；卑躬屈膝"
squat,"vt. 使蹲坐，使蹲下
vi. 蹲，蹲下；蹲坐；蹲伏
n. 蹲坐，蜷伏
adj. 蹲着的；矮胖的"
flank,"n. 侧面；侧翼；侧腹
vt. 守侧面；位于…的侧面；攻击侧面
vi. 侧面与…相接
adv. 在左右两边"
side,"n. 方面；侧面；旁边
adj. 旁的，侧的
vt. 同意，支持
vi. 支持；赞助；偏袒"
indignant,adj. 愤愤不平的；义愤的
wrathful,adj. 愤怒的；激怒的
meadow,n. 草地；牧场
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
movable,"adj. 动产的；可移动的；不固定的
n. 动产；可移动的东西"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
roam,"n. 漫步，漫游；流浪
vt. 在…漫步，漫游；在…流浪
vi. 漫游，漫步；流浪"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
exclude,vt. 排除；排斥；拒绝接纳；逐出
include,vt. 包含，包括
incomplete,adj. 不完全的； 不完备的
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
plural,"n. 复数
adj. 复数的"
singular,"n. 单数
adj. 单数的；单一的；非凡的；异常的"
quaint,adj. 古雅的；奇怪的；离奇有趣的；做得很精巧的
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
savory,"n. 开胃菜；香薄荷
adj. 可口的；风味极佳的；味美的"
unsavory,adj. 难吃的；没有香味的；令人讨厌的
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
violate,vt. 违反；侵犯，妨碍；亵渎
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
classify,vt. 分类；分等
context,n. 环境；上下文；来龙去脉
destine,vt. 注定；命定；预定
formulate,vt. 规划；用公式表示；明确地表达
hoarse,"adj. 嘶哑的
嘶哑地"
inaugurate,vt. 创新；开辟；开创；举行开幕典礼；举行就职典礼
psychology,n. 心理学；心理状态
refine,vt. 精炼，提纯；改善；使…文雅
vengeance,n. 复仇；报复；报仇
aisle,n. 通道，走道；侧廊
booth,n. 货摊；公用电话亭
bulletin,"n. 公告，公报
vt. 公布，公告"
corpse,n. 尸体
extracurricular,adj. 课外的；业余的；婚外的
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
knob,"n. 把手；瘤；球形突出物
vi. 鼓起
vt. 使有球形突出物"
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
tariff,"n. 关税表；收费表
vt. 定税率；征收关税"
tickle,"n. 胳肢；痒感；使人发痒、高兴的东西
vt. 使发痒；使高兴；使满足
vi. 觉得痒；（东西）使人发痒"
tray,n. 托盘；文件盒；隔底匣；（无线电的）发射箱
adjourn,"vt. 推迟；使…中止；使…延期
vi. 休会；延期；换地方"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
astonish,vt. 使惊讶
astound,vt. 使惊骇；使震惊
attire,"n. 服装；盛装
vt. 打扮；使穿衣"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
candidate,n. 候选人，候补者；应试者
applicant,n. 申请人，申请者；请求者
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
training,"n. 训练；培养；瞄准；整枝
v. 训练；教养（train的ing形式）"
interpret,"vi. 解释；翻译
vt. 说明；口译"
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
loiter,"vi. 虚度；闲荡；徘徊
vt. 虚度；闲荡；混"
