agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
presidential,adj. 总统的；首长的；统辖的
spacial,adj. 空间的；存在于空间的；占地位的
managerial,adj.  管理的；经理的
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
editorial,"n. 社论
adj. 编辑的；社论的"
partial,adj. 局部的；偏爱的；不公平的
adverbial,"n. 状语
adj. 状语的；副词的"
agential,adj. 代理商的
dictatorial,adj. 独裁的，专政的；专横傲慢的
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
monitorial,"a. 级长的, 使用监听器的, 告诫的"
differential,"n. 微分；差别
adj. 微分的；差别的；特异的"
provincial,"n. 粗野的人；乡下人；外地人
adj. 省的；地方性的；偏狭的"
racial,adj. 种族的；人种的
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
experiential,adj. 经验的；经验上的；根据经验的
palace,n. 宫殿；宅邸；豪华住宅
palatial,adj. 宫殿似的；宏伟的；壮丽的
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔"
spatial,adj. 空间的；存在于空间的；受空间条件限制的
scientist,n. 科学家
sciential,adj. 知识的，有知识的，有学问的
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
residence,n. 住宅，住处；居住
residential,adj. 住宅的；与居住有关的
existence,n. 存在，实在；生存，生活；存在物，实在物
existential,adj. 存在主义的；有关存在的；存在判断的
substance,n. 物质；实质；资产；主旨
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
confidential,adj. 机密的；表示信任的；获信任的
Egyptian,"n. 埃及人；古代埃及语
adj. 埃及的；埃及人的"
United Statesian, 美国的
Mongolian,"n. 蒙古人；蒙古语
adj. 蒙古人的；蒙古语的"
Parisian,"n. 巴黎人
adj. 巴黎人的；巴黎的"
Athenian,"n. 雅典人
adj. 雅典的；雅典人的"
Arabian,"n. 阿拉伯人
adj. 阿拉伯的；阿拉伯人的"
Dickensian,"n. 专门研究狄更斯者；崇拜狄更斯者
adj. 狄更斯的"
Oceanian,a. 大洋洲的
Newtonian,"adj. 牛顿（学说）的
n. 信仰牛顿学说的人"
Canadian,"n. 加拿大人
adj. 加拿大（人）的"
Washingtonian,"n. 美国首都华盛顿或华盛顿州人
adj. 华盛顿市的"
Christian,"n. 基督徒，信徒
adj. 基督教的；信基督教的"
Shakespearian,"n. 研究莎士比亚的学者
adj. 莎士比亚的"
grammarian,n. 文法学者，文法家；文法教师
collegian,n. 学院的学生；学院的一员
historian,n. 历史学家
comedian,n. 喜剧演员；滑稽人物
guardian,"n.  监护人，保护人；守护者
adj. 守护的"
tragedian,n. 悲剧演员；悲剧作家
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
lilliputian,找不到解释
sensibility,n. 情感；敏感性；感觉；识别力
conductibility,n. 传导性
receptibility,n. receptible的变形
producibility,n. 可生产性
resistibility,"n. 可抵抗性, 抵抗力"
extensibility,n. 展开性；可延长性
corruptibility,n. 腐败性，易腐的倾向，堕落性
perfectibility,n. 完全性；可改善性；可完美性
flexibility,n. 灵活性；弹性；适应性
digestibility,n. 消化性；可消化性
convertibility,n. 可变换，可兑换；可改变性
accessibility,n. 易接近；可亲；可以得到
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
conductible,a. 可传导的
receptible,adj. 能（被）接受的
producible,adj. 可生产的
resistible,adj. 可抵抗的
extensible,adj. 可延长的；可扩张的
corruptible,adj. 易腐败的；易堕落的；可以贿赂的
perfectible,adj. 可使完美的，可完成的
flexible,adj. 灵活的；柔韧的；易弯曲的
digestible,adj. 易消化的；可摘要的
convertible,"n. 有活动折篷的汽车
adj. 可改变的；同意义的；可交换的"
accessible,adj. 易接近的；可进入的；可理解的
sensibly,adv. 明显地；容易感知地；聪明地
conductibly,找不到解释
receptibly,找不到解释
reproducibly,adv. 可再生产地
resistibly, 可抵抗地
extensibly,找不到解释
corruptibly,adv. 易腐败 地
perfectibly,找不到解释
flexibly,adv. 灵活地；易曲地；柔软地；有弹性地
digestibly, 可消化地
convertibly,"adv. 可改变地, 可交换地"
accessibly,adv. 可亲地；可接近地；可得到地
atomic,adj. 原子的，原子能的；微粒子的
periodic,adj. 周期的；定期的
electronic,"adj. 电子的
n. 电子电路；电子器件"
metallic,adj. 金属的，含金属的
historic,adj. 有历史意义的；历史上著名的
Germanic,"n. 日耳曼语
adj. 德国的；德语的；日耳曼人的；日耳曼语的"
organic,adj.  有机的；组织的；器官的；根本的
angelic,adj. 天使的；似天使的；天国的
poetic,"n. 诗学，诗论
adj. 诗的，诗歌的；诗意的；诗人的"
fluidic,adj. 流体的，射流的
Icelandic,"n. 冰岛语
adj. 冰岛的；冰岛人的；冰岛语的"
scenic,"n. 风景胜地；风景照片
adj. 风景优美的；舞台的；戏剧的"
hygienic,adj. 卫生的，保健的；卫生学的
cubic,adj. 立方体的，立方的
basic,"n. 基础；要素
adj. 基本的；基础的"
magnetic,adj. 地磁的；有磁性的；有吸引力的
nucleonic,adj. 核子的，核物理的
Byronic,adj. 冷笑而浪漫的；拜伦的，拜伦风格的
critic,n. 批评家，评论家；爱挑剔的人
rustic,"adj. 乡村的；纯朴的；粗野的；手工粗糙的
n. 乡下人；乡巴佬"
mechanic,"n. 技工，机修工
adj. 手工的"
cleric,"n. 牧师；传教士
adj. 牧师的，教士的"
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
sceptic,n. 怀疑论者；疑虑极深的人
Catholic,找不到解释
heretic,"adj. 异端的；异教的
n. 异教徒，异端者"
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
topic,n. 主题（等于theme）；题目；一般规则；总论
rhetoric,"n. 修辞，修辞学；华丽的词藻
adj. 花言巧语的"
music,n. 音乐，乐曲
arithmetic,n. 算术，算法
Arabic,"n. 阿拉伯语
adj. 阿拉伯的；阿拉伯人的"
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
atomical,  原子的
academical,"n. 大学制服
adj. 学术的；学院的"
typical,adj. 典型的；特有的；象征性的
symbolical,adj. 象征的；符号的
organical, 器官的
geometrical,adj. 几何的，几何学的
cubical,adj.  立方的；立方体的；体积的
cyclical,adj. 周期的，循环的
spherical,adj. 球形的，球面的；天体的
poetical,adj. 诗的（等于poetic ）；理想化了的
service,"n. 服务，服侍；服役；仪式
adj. 服务性的；耐用的；服现役的
vt. 维修，检修；保养"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
justice,n. 司法，法律制裁；正义；法官，审判员
armistice,n. 停战，休战；休战协议
cowardice,n. 怯懦；胆小
avarice,n. 贪婪，贪财
malice,n. 恶意；怨恨；预谋
caprice,n. 任性，反复无常；随想曲，怪想
novice,n. 初学者，新手
apprentice,"n. 学徒；生手
vt. 使…当学徒
vi. 当学徒"
musician,n. 音乐家
beautician,n. 美容师
mathematician,"n. 数学家
善作数字计算的人"
technician,n. 技师，技术员；技巧纯熟的人
physician,n.  医师；内科医师
magician,n. 魔术师，变戏法的人
electrician,n. 电工；电气技师
phonetician,n. 语言学者
academician,n. 院士；大学生；学会会员；大学教师
geometrician,n. 几何学者
logician,n. 逻辑学家；论理学者
politician,n. 政治家，政客
simplicity,n. 朴素；简易；天真；愚蠢
centricity,n. 中心，中心性
periodicity,n.  周期性；频率；定期性
sphericity,n.  球形；球面
historicity,n. 史实性；确有其事
atomicity,n. 原子数；原子价
publicity,n. 宣传，宣扬；公开；广告；注意
plasticity,n. 塑性，可塑性；适应性；柔软性
domesticity,n. 家庭生活；专心于家务；对家庭的挚爱
elasticity,n. 弹性；弹力；灵活性
informatics,n.  信息学；情报学（复数用作单数）
oceanics,n. 海洋工程学
electronics,n. 电子学；电子工业
atomics,n. 原子学; 核工艺学
mechanics,n. 力学（用作单数）；结构；技术；机械学（用作单数）
dramatics,n. 演剧活动；演剧技术；业余演戏；戏剧性行为
politics,n. 政治，政治学；政治活动；政纲
acrobatics,n. 杂技；巧妙手法
economics,n. 经济学；国家的经济状况
magnetics,n.  磁学
nucleonics,n. 核子学，原子核物理学
astronautics,n. 航天学；宇宙航行
hygienics,"n. 卫生学
 卫生学"
pedagogics,n. 教育学，教师法
florid,adj. 绚丽的；气色好的
stupid,"n. 傻瓜，笨蛋
adj. 愚蠢的；麻木的；乏味的"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
fervid,adj. 热的；热心的
vivid,adj. 生动的；鲜明的；鲜艳的
lucid,adj. 明晰的；透明的；易懂的；头脑清楚的
timid,adj. 胆小的；羞怯的
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
placid,adj. 平静的；温和的；沉着的
birdie,"n. 小鸟；小鸟球（高尔夫中指某洞的杆数低于标准杆一杆）
vt. 高尔夫中以低于标准杆一杆的成绩打进"
girlie,"n. 少女
adj. 色情的"
doggie,n. 小狗，狗
lassie,n. 姑娘；少女；恋人
piggie,n. = piggy
dearie,n. 可爱的小宝贝；亲爱的人
roomie,n. 住在同室的人，室友
movie,"n. 电影；电影院；电影业
adj. 电影的"
shortie,n. 矮子；特别短的东西（尤指衣，裤）
talkie,n. 有声电影
oldie,n. 陈旧的东西；老人
nudie,n. 裸体表演；裸体照片；裸体黄色影片
toughie,n. 流氓；劲敌；难题；鲁莽的人
sweetie,n. 爱人，情人；甜的糕饼糖果
cashier,"n. 出纳员；司库；收银员
vt. 解雇；抛弃"
bombardier,n. 投弹手；炮兵下士
clothier,n. 衣庄；呢绒商
grenadier,n. 掷弹兵
financier,"vi. 欺骗；从事欺骗性金融活动
vt. 对…提供资金
n. 金融家；投资家"
missileer,n. 导弹手，导弹设计者
hotelier,n. 旅馆老板
brigadier,n. 准将；陆军准将
haulier,n. 货运马车夫；拖曳者，承运人
brazier,n. 火盆；铜匠（等于 brasier）
courtier,n. 朝臣；奉承者；谄媚者
glazier,n. 装玻璃的工人；上釉工人
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
glacier,n. 冰河，冰川
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
gaselier,n. 煤气吊灯
merchantile, 商人
servile,adj. 奴隶的；奴性的；卑屈的；卑屈的
expansile,adj. 可扩张的，扩大的，膨胀性的
infantile,adj. 婴儿的；幼稚的；初期的
extensile,adj. 可伸出的，可延展的
insectile,adj. 昆虫的；由昆虫组成的；似昆虫的
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
contractile,adj. 会缩的，有收缩性的
fertile,adj. 富饶的，肥沃的；能生育的
retractile,adj. 伸缩自如的; 缩回的; 收缩的; 收回的
fragile,adj. 脆的；易碎的
sectile,adj. 可切的; 可切性
protractile,adj. 伸出的，突出的
pulsatile,adj. 脉动的；跳动的；悸动的
flexile,"a. 柔韧的, 可变通的"
missile,"n. 导弹；投射物
adj. 导弹的；可投掷的；用以发射导弹的"
automobile,"n. 汽车
vt. 驾驶汽车
"
projectile,"adj. 抛射的；抛掷的；供抛射用的；（触角等）能伸出的
n. 射弹；抛射体；自动推进武器"
domicile,"n. 住宅；永久居住地；期票支付场所
vt. 使定居；使在指定的场所支付（期票等）
vi. 居住"
textile,"n. 纺织品，织物
adj. 纺织的"
servility,n. 奴性；奴态；卑屈
agility,n. 敏捷；灵活；机敏
fertility,n. 多产；肥沃； 生产力；丰饶
fragility,n. 脆弱； 易碎性；虚弱
juvenility,n. 年轻，不成熟
mobility,n. 移动性；机动性； 迁移率
contractility,n. 收缩性，伸缩力；缩小性
sectility,"n. 可割性, 可切性; 可分性"
retractility,"n. 伸缩性
 退缩性, 缩回性"
ductility,n. 延展性；柔软性；顺从
elephantine,adj. 似象的；巨大的；粗笨的，笨拙的
riverine,adj. 河的；河边的
crystalline,adj. 透明的；水晶般的；水晶制的
metalline,adj. 金属的; 梅达林
infantine,adj. 小孩似的
nervine,"adj. 镇定神经的，缓解神经的
n. 健神经的药物"
serpentine,"n.  蛇纹石
vt. 使迂回曲折地行进
vi. 像蛇般行进
adj. 蜿蜒的；阴险的；弯弯曲曲的"
asbestine,"a. 石棉的, 不燃性的
 滑石棉"
adamantine,"n. 冷铸钢粒
adj. 坚定不移的；非常坚硬的"
zebrine,"a. 斑马的, 像斑马的"
feminine,adj. 女性的；妇女（似）的；阴性的；娇柔的
saline,"n. 盐湖；碱盐泻药
adj. 盐的；含盐分的"
doctrine,n. 主义；学说；教义；信条
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
famine,n. 饥荒；饥饿，奇缺
cholerine,"n. 轻症霍乱
 轻霍乱"
rapine,n. 掠夺；劫掠
heroine,n. 女主角；女英雄；女杰出人物
libertine,"n. 浪荡子；性行为放纵者；放荡不羁者；玩乐者；自由思想家
adj. 放荡的"
landgravine,n. 女伯爵，伯爵夫人，领主夫人
concubine,n. 妾；情妇；姘妇
tetracycline,n.  四环素（抗生素的一种）
vaseline,n. 凡士林， 矿脂
caffeine,n.  咖啡因；茶精（兴奋剂）
antifebrine,"n. 退热冰
 退热水；退烧冰；退烧药"
iodine,n. 碘；碘酒
chlorine,n.  氯（17号化学元素）
learning,"n. 学习；学问
v. 学习（learn的现在分词）"
teaching,"n. 教学；教义
v. 教学；教导（teach的ing形式）"
feeling,"n. 感觉，触觉；感情，情绪；同情
v. 感觉；认为（feel的现在分词）；触摸
adj. 有感觉的；有同情心的；富于感情的"
ageing,"n. 老化；变老，成熟
adj. 变老的，老化的
v. 变老（age的现在分词）"
shopping,"n. 购物，买东西
v. 购物（shop的ing形式）"
sleeping,"n. 睡眠
adj. 睡着的"
walking,"n. 步行；散步
v. 步行（walk的ing形式）
adj. 步行的"
swimming,"n. 游泳；目眩
adj. 游泳的；游泳用的；善于游泳的；晕眩的
v. 游泳；漂浮；旋转（swim的ing形式）"
farming,"n. 农业，耕作
v. 耕种；出租（farm的ing形式）"
shipping,"n.  船舶，船舶吨数；海运；运送
v. 运送，乘船（ship的ing形式）"
schooling,"n. 学校教育；学费
v. 教育（school的ing形式）；培养"
broadcasting,"n. 播放；广播节目
v. 广播（broadcast的ing形式）"
tailoring,n.  剪裁，做衣服；裁缝业，成衣业
hairdressing,n. 美发；理发
shoemaking,n. 制鞋；修补皮鞋
bonesetting,n. 接骨术
banking,"n. 银行业；银行业务；银行家的职业；筑堤
v. 把钱存入银行；做银行家；在…边筑堤（bank的现在分词）"
printing,n. 印刷；印刷术
accounting,"n. 会计，会计学；账单
v. 解释（account的ing形式）；叙述"
sailing,"n. 航行，航海；启航；航海术
v. 航行，起航（sail的现在分词形式）
adj. 航行的"
boxing,"n. 拳击；装箱；围模；做箱的材料
v. 将…装入盒中（box的ing形式）"
clothing,"n. （总称） 服装；帆装
v. 覆盖（clothe的ing形式）；给…穿衣"
hatting,n. 制帽
bedding,"n. 寝具；（建筑） 基床；（家畜）草垫
adj. 适于花坛种植的
vt. 把…栽入苗床（bed的ing形式）
vi. 睡（bed的ing形式）"
shirting,n. 衬衫衣料
fleshing,"n. （制革时）刮肉
v. 肉( flesh的现在分词 ); 肉体; 果肉; 皮肤"
bagging,"n. 装袋； 制袋材料
v. 把…装入袋中（bag的ing形式）"
flooring,"n. 地板；地板材料；室内地面；铺地板
v. 在…上铺地板；击败（floor的ing形式）"
coating,"n. 涂层；包衣；衣料
v. 给…穿上外衣；盖上（coat的ing形式）"
sacking,"n. 麻袋布（等于sackcloth）
v. 解雇（sack的ing形式）；装进；获得"
felting,n. 制毯法，毛毯类; 毡合; 填绒
building,"n. 建筑；建筑物
v. 建筑；建立；增加（build的ing形式）"
winning,"n. 胜利；获得；成功
v. 获胜（win的ing形式）
adj. 胜利的；获胜的"
carving,"n. 雕刻；雕刻品；雕刻术
v. 雕刻（carve的ing形式）"
filling,"n. 填充；填料
v. 填满；遍及（fill的ing形式）"
holding,"n. 举办；支持
v. 召开；担任（hold的ing形式）；握住"
legging,"n. 绑腿；裹腿；护胫
v. 走；跑（leg的ing形式）"
giving,"n. 给予；礼物；给予物
v. 给；赠送（give的ing形式）；付出；产生"
footing,"n. 基础；立足处；社会关系；合计
v. 步行；在…上行走；总计（foot的ing形式）"
colouring,"n. 着色；色彩；抛光；倾向性；外貌
v. 把…涂颜色；变色（colour的ing形式）"
washing,"n. 洗涤；洗涤剂；要洗的衣物
v. 洗；使受洗礼（wash的ing形式）
adj. 洗涤用的，清洗用的"
changing,"n. 改变；转换；替换
v. 改变（change的ing形式）；交换；兑换
adj. 变化的；发展的"
encouraging,"v. 鼓励，支持（encourage的ing形式）
adj. 令人鼓舞的；鼓励的，奖励的"
burning,"n. 燃烧
adj. 燃烧的；强烈的；发热的
vi. 燃烧（burn的现在分词）"
surprising,"v. 使惊奇；意外发现（surprise的ing形式）
adj. 令人惊讶的；意外的"
fighting,"n. 战斗，搏斗
v. 奋斗（fight的ing形式）；打仗；与…进行拳击
adj. 战斗的；好战的；适于格斗的"
exciting,"adj. 令人兴奋的；使人激动的
v. 激动；刺激（excite的ing形式）；唤起"
developing,"n.  显影
v. 发展（develop的ing形式）
adj. 发展中的"
growing,"v. 生长（grow的ing形式）
adj. 发展的；成长的"
rising,"n. 上升；起床；造反
adj. 上升的；上涨的；新兴的
v. 上升（rise的ing形式）
adv. 接近"
falling,"n. 下降；落下；陷落
v. 落下（fall的ing形式）
adj. 下降的；落下的"
excepting,"conj. 只是，要不是
prep. 除…之外"
during,prep. 在…的时候，在…的期间
regarding,prep. 关于，至于
considering,"conj. 考虑到
prep. 考虑到；就...而论
v. 考虑到（consider的ing形式）"
concerning,"prep. 关于；就…而言
v. 涉及；使关心（concern的ing形式）；忧虑"
failing,"prep. 如果没有…
n. 失败；缺点，过失；弱点
v. 失败；不及格（fail的ing形式）
adj. 失败的"
discussion,n. 讨论，议论
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
action,n. 行动；活动；功能；战斗；情节
translation,n. 翻译；译文；转化；调任
progression,n. 前进；连续
correction,n. 改正，修正
connection,n. 连接；关系；人脉；连接件
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
prediction,n. 预报；预言
association,n. 协会，联盟，社团；联合；联想
exhibition,n. 展览，显示；展览会；展览品
dismission,n. 免职，解雇，不予考虑
election,n. 选举；当选；选择权；上帝的选拔
possession,n. 拥有；财产；领地；自制；着迷
perfection,n. 完善；完美
completion,n. 完成，结束；实现
medallion,n. 大奖章；圆形浮雕
falchion,n. （中世纪的）略具弯形的大刀，<诗>刀，剑
accordion,"n. 手风琴
adj. 可折叠的"
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
warrior,n. 战士，勇士；鼓吹战争的人
savior,n. 救世主；救星；救助者
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
anterior,adj. 前面的；先前的
exterior,"n. 外部；表面；外型；外貌
adj. 外部的；表面的；外在的"
posterior,"n. 后部；臀部
adj. 其次的；较后的"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
ulterior,adj. 将来的，较远的；在那边的；隐秘不明的
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
contradictious,adj. 爱反对的；异议多的；吹毛求疵的
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
malicious,adj. 恶意的；恶毒的；蓄意的；怀恨的
burglarious,"a. 夜盗, 强盗, 窃贼, 盗贼"
laborious,adj. 勤劳的；艰苦的；费劲的
anxious,adj. 焦虑的；担忧的；渴望的；急切的
spacious,adj. 宽敞的，广阔的；无边无际的
contagious,adj. 感染性的；会蔓延的
rebellious,adj. 反抗的；造反的；难控制的
specious,adj. 似是而非的；外表美观的；华而不实的；徒有其表的
memorise,vt. （英）记忆；存储（等于memorize）
memorize,vt. 记住，背熟；记忆
criticise,"vt. 批评；吹毛求疵；非难
vi. 批评；吹毛求疵；非难"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
advertize,v. 做广告，通知
civilise,"vt. 教化；文明化；使开化
vi. 变成文明社会（等于civilize）"
civilize,"vt. 使文明；教化；使开化
vi. 变得文明"
diplomatise,v. <主英>使用外交手腕
diplomatize,v. 使用外交手腕
fertilise,vt. 使受精；施肥于；使肥沃
fertilize,vt. 使受精；使肥沃
authorise,vt. 授权；批准；允许；委任（等于authorize）
authorize,vt. 批准，认可；授权给；委托代替
humanise,"n. 变得有人性；变得仁慈；有教化力（等于humanize）
vt. （英）使人性化；使文明化"
humanize,"vt. 教化；赋予人性；使通人情
vi. 变为有人性；有教化"
childish,adj. 幼稚的，孩子气的
bookish,adj. 书本上的；好读书的；书呆子气的
girlish,adj. 少女的；适于女子的；少女似的
foolish,adj. 愚蠢的；傻的
womanish,adj. 女子气的；柔弱的；适于女子的
piggish,adj. 馋嘴的；贪心的；猪般的
devilish,"adj. 邪恶的；精力旺盛的；魔鬼似的
adv. 非常；极度地"
wolfish,adj. 残忍的；贪婪的；狼似的
boyish,adj. 男孩的；孩子气的；（女孩）像男孩的
monkish,adj. 僧侣的；苦行僧般的（常带贬义）
moonish,adj. 如月的，反复无常的
slavish,adj. 奴隶的；奴性的；卑屈的；盲从的
hellish,adj. 地狱的；凶恶的；令人毛骨悚然的
youngish,adj. 还年轻的，颇年轻的
coldish,adj. 微冷的
greenish,adj. 呈绿色的
warmish,adj. 稍为温暖的
yellowish,adj. 微黄色的，淡黄色的
oldish,adj. 稍旧的；稍老的
reddish,adj. 微红的；略带红色的
tallish,adj. 身材较高的
longish,adj. 稍长的；略长的
sweetish,adj. 有点甜的；过甜的；有点可爱的
fattish,adj. 稍胖的；略肥的
wettish,adj. 有点湿的，有点潮的，湿润的
slowish,adj. 速度较慢的，速度稍慢的
English,"n. 英语；英国人；英文；英格兰人
adj. 英国人的；英国的；英文的
vt. 把…译成英语"
Swedish,"n. 瑞典语；瑞典人
adj. 瑞典的；瑞典语的；瑞典人的"
Spanish,"n. 西班牙语；西班牙人
adj. 西班牙的；西班牙人的；西班牙语的"
Finnish,"n. 芬兰人，芬兰语
adj. 芬兰的，芬兰语的"
Turkish,"n. 土耳其语
adj. 土耳其人的，土耳其语的；土耳其的；突厥诸语言的"
Polish,"n. 磨光，擦亮；上光剂，擦亮剂；优雅，精良
vi. 擦亮，变光滑
vt. 磨光，使发亮
adj. 波兰的"
Irish,"n. 爱尔兰人；爱尔兰语；爱尔兰
adj. 爱尔兰的；爱尔兰人的"
Danish,"n. 丹麦语
adj. 丹麦的；丹麦人的；丹麦语（文）的"
nourish,vt. 滋养；怀有；使健壮
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
establish,"vi. 植物定植
vt. 建立；创办；安置"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
impoverish,vt. 使贫穷；使枯竭
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
materialism,n. 唯物主义；唯物论；物质主义
realism,n. 现实主义；实在论；现实主义的态度和行为
idealism,n. 唯心主义，理想主义；理念论
pessimism,n. 悲观，悲观情绪；厌世主义
imperialism,n. 帝国主义
optimism,n. 乐观；乐观主义
splittism,n. 分裂主义
capitalism,n. 资本主义
adventurism,n. 冒险主义
opportunism,n. 机会主义；投机主义
extremism,n. 极端主义（尤指政治上的极右或极左）；极端性；过激主义
expansionism,n. 扩张主义；扩张政策；膨胀主义
Islamism,n. 伊斯兰教；伊斯兰教教义及习俗等
Taoism,n. 道家的学说；道教
Moslemism,"n. 伊斯兰教, 清真教, 回教"
Confucianism,n. 孔子学说；儒家思想
Mohammedanism,n. 伊斯兰教
Lamaism,n. 喇嘛教（藏、蒙等地区信奉的佛教）
Hinduism,n. 印度教
Catholicism,n. 天主教；天主教义
quietism,n. 寂静主义；清静无为
Shintoism,n. 日本的神道教
Buddhism,n. 佛教
Judaism,n. 犹太教；犹太主义；（总称）犹太人
commercialism,n. 商业主义；营利主义；重商主义
Americanism,n. 美国风格；美国腔；美国精神
provincialism,n. 方言；地方风格；乡下习气
Londonism,找不到解释
colloquialism,n. 白话，口语；口语体；方言用语
Latinism,n. 拉丁语言现象
archaism,n. 古语；拟古主义；古体
Turkism,土耳其文化
Scotticism,找不到解释
euphemism,n. 委婉语；委婉说法
Asiaticism, 亚洲风格；亚细亚主义
Germanism,"n. 德国精神, 德国人性格, 亲德国"
orientalism,找不到解释
Slavism,"n. 斯拉夫气质, 斯拉夫语气"
Grecism,n. 希腊风格
occidentalism,找不到解释
escapism,n. 逃避现实，空想；逃避主义
criticism,n. 批评；考证；苛求
me-tooism,n. 模仿，追随
tourism,n. 旅游业；游览
baptism,n. 洗礼；严峻考验
simplism,n. 过分简单的主张
ageism,n. 对老年人的歧视
sexism,n. （针对女性的）性别歧视；男性至上主义
methodism,n. （基督教的）卫理公会；循道宗教义
devilism,n. 魔鬼似的品性
volcanism,n.  火山作用
parasitism,n. 寄生状态；寄生病
loyalism,n. 忠诚，忠义
brigandism,"n. 土匪行为, 掠夺
 掠夺, 土匪行为"
magnetism,n. 磁性，磁力；磁学；吸引力
fatalism,n. 宿命论
spiritism,n. 招魂术
phoneticism,n. 以音标表示，语音拼字法
historicism,n. 历史相对论
know-nothingism,n. 无知，不可知论
pedagogism,n. 儿童教授法；老师气质（派头）
stimulism, 兴奋疗法
exceptionalism, 例外论
atomism,n.  原子论
modernism,n. 现代主义；现代思想；现代作风
cubism,n. 立体派；立体主义
futurism,n. 未来主义；未来派
structurism,结构主义
impressionism,n. 印象派，印象主义
Platonism,n. 柏拉图哲学；精神恋爱；柏拉图主义
abstractionism,n. 抽象派艺术
Socratism,n. 苏格拉底哲学
purism,n. 纯粹派（一个与立体派相抗衡的艺术流派）；纯粹主义；语言纯正主义
expressionism,n. 表现主义
insularism,n. 岛国根性;褊狭性
foreignism,n. 外国习俗，外来语
humanism,"n. 人道主义
adj. 人文主义的；人道主义的"
professionalism,n. 专业主义；专家的地位；特性或方法
brutalism,n. 野兽派艺术；兽性
antagonism,n. 对抗，敌对；对立；敌意
globalism,n. 全球主义；全球性干涉政策；世界化
absurdism,n. 荒诞主义
diehardism,找不到解释
gigantism,n. 巨大； 巨人症；巨大畸形
dwarfism,n.  侏儒症；矮小
barbarism,n. 野蛮；原始；未开化；暴虐
sexdigitism,六指状态
bachelorism,n. 独身，独身者之怪癖
androgynism,n.  雌雄同体
alienism,n. 外侨身份，精神病学（尤指法庭精神病学）
invalidism,n. 病弱，病身; 伤残
multipartism,多党制
centralism,n. 中央集权制；中央集权主义
federalism,n. 联邦制；联邦主义
landlordism,n. 地主所有制
