accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
private-sector,私营部门；私营成分
thriving,"adj. 繁荣的；蒸蒸日上的；旺盛的
v. 兴旺（thrive的ing形式）"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
backload, 撤离费；调整；背载荷
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
achiever,n. 获得成功的人
fat pay packet,找不到解释
advertising,"n. 广告；广告业；登广告
adj. 广告的；广告业的
v. 公告；为…做广告（advertise的ing形式）"
be worse off,"na. 经济情况更不好；情况恶化；更加贫困
 处境较坏；情况更差；处境更糟"
industry,n. 产业；工业；勤勉
norm,n. 标准，规范
Chancellor of the Exchequer,找不到解释
upfront,"adj. 预付的；在前面的；正直的，坦率的
adv. 在前面；提前支付（工资）"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
jobless,"adj. 失业的，无业的；（关于）失业者的
n. 失业者"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
sign on,"na. 签字聘用；签字承认；作工作记录
 登录；签约雇用；签约受雇用"
socially concerned,找不到解释
subsidise,vt. 给…津贴或补贴，资助或补助…
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
fairness,n. 公平；美好；清晰；顺利性
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
financially,adv. 财政上；金融上
minimal,adj. 最低的；最小限度的
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
unemployed,adj. 失业的；未被利用的
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
administration,n. 管理；行政；实施；行政机构
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
entitlement,n. 权利；津贴
economist,n. 经济学者；节俭的人
resource,n. 资源，财力；办法；智谋
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
policy,n. 政策，方针；保险单
monetary,adj. 货币的；财政的
corruption,n. 贪污，腐败；堕落
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
consulting,"v. 咨询，请教；商议（consult的现在分词形式）
adj. 咨询的，商议的；顾问的，任专职顾问的"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
customer,n. 顾客；家伙
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
halo effect,"un. 光圈效应；光环效应
 晕轮效应；光晕效应；晕轮效果"
investigation,n. 调查；调查研究
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
penalty,n. 罚款，罚金；处罚
analysis,n. 分析；分解；验定
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
prosecutor,n. 检察官；公诉人； 起诉人；实行者
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
punishment,n. 惩罚；严厉对待，虐待
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
bank on,"na. 信赖
 指望；依赖；依靠"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
expensive,adj. 昂贵的；花钱的
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
overpay,"vt. 多付；多给报酬
vi. 多付"
tremendous,adj. 极大的，巨大的；惊人的；极好的
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
bull run,找不到解释
art-market,艺术品市场
auctioneer,"n. 拍卖商
vt. 拍卖"
called out bid,找不到解释
bankruptcy,n. 破产
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
economics,n. 经济学；国家的经济状况
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
generate,vt. 使形成；发生；生殖；产生物理反应
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
greed,n. 贪婪，贪心
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
overheated,"adj. 过热的；怒火中烧的
v. 使…过热；使…愤怒（overheat的过去分词）"
auction house,"n. 拍卖行
 拍卖场；拍卖所；拍卖公司"
pay,"n. 工资，薪水；付款；报答
vt. 支付，付；偿还，补偿；给予
vi. 付款；偿还
adj. 收费的；需付费的"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
client,n.  客户；顾客；委托人
downturn,n. 衰退（经济方面）；低迷时期
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
fluctuant,adj. 变动的；波动的；起伏的
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
slump,"vt. 使降低；使衰落；使倒下
n. 衰退；暴跌；消沉
vi. 下降，衰落；倒下；大幅度下降，暴跌"
dollar,n. 美元
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
compensation,n. 补偿；报酬；赔偿金
committee,n. 委员会
bonus,n. 奖金；红利；额外津贴
payout,n. 支出；花费
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
price,"n. 价格；价值；代价
vt. 给……定价；问……的价格"
proxy,n. 代理人；委托书；代用品
earning,"n. 收入；所赚的钱
v. 赚得( earn的现在分词 )；挣钱；生（利）；获（利）"
restate,vt. 重申；重新叙述；重讲
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
trade up,"n. 卖次买好；以次换好的买卖
 买更贵的东西；向上消费；向上营销"
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
subsidize,vt. 资助；给与奖助金；向…行贿
out of date,"adj. 过时的；缺乏新信息的；陈腐的；失效的
 过期；过期的；过时了"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
shrug off,"na. (耸肩)表示轻蔑；摆脱；扭身脱掉(衣服)
 耸肩表示对…不屑理睬；对…不屑一顾；对……满不在乎"
recession,n. 衰退；不景气；后退；凹处
global,adj. 全球的；总体的；球形的
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
pushing,"n. 推挤；推人犯规（篮球术语）
v. 推；促进；逼迫（push的ing形式）
adj. 奋斗的；莽撞的；有精力的；富有进取心的"
overboard,"adv. 自船上落下；向船外
adj. 极其热心的；全身心投入的"
revenue,n. 税收，国家的收入；收益
cooperation,n. 合作，协作； 协力
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
reviewer,n. 评论者，评论家
bureau,n. 局，处；衣柜；办公桌
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
core,找不到解释
currency,n. 货币；通货
euro zone, 欧元区；欧元区域；欧盟
devaluation,n. 货币贬值
borrowing,"n. 借款；借用
v. 借入；采用（borrow的ing形式）"
spending,"n. 花费；开销
v. 花费；度过（spend的现在分词形式）"
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
threat,n. 威胁，恐吓；凶兆
fund,"n. 基金；资金；存款
vt. 投资；资助"
mega-project,"大型项目
大型计划"
ministerial,adj. 部长的；内阁的；公使的；牧师的
council,n. 委员会；会议；理事会；地方议会；顾问班子
free-market,"na. 自由市场
 市场自由；周日市集"
liberalism,n. 自由主义；开明的思想或见解
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
redistribution,n.  重新分配
fiscal,adj. 会计的，财政的；国库的
corporate-tax,"un. 法人税
 公司税；企业所得税；公司营业税"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
labour,n. （英国）工党
trading block,贸易区块
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
capitalism,n. 资本主义
benign,adj. 良性的；和蔼的，亲切的；吉利的
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
publication,n. 出版；出版物；发表
department,n. 部；部门；系；科；局
generation,n. 一代；产生；一代人；生殖
politics,n. 政治，政治学；政治活动；政纲
economic,adj. 经济的，经济上的；经济学的
unemployment,n. 失业；失业率；失业人数
materialistic,adj. 唯物主义的；唯物论的；金钱至上的
better off,"adj. 富有的；富裕的；境况良好
 情况更好；更富裕；经济状况好的"
stagnant,adj. 停滞的；不景气的；污浊的；迟钝的
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
elite,n. 精英；精华；中坚分子
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
age,"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
fabric,n. 织物；布；组织；构造；建筑物
employee,n. 雇员；从业员工
middle-class,adj. 中产阶级的；中层社会的
globalization,n. 全球化
officially,adv. 正式地；官方地；作为公务员
employer,n. 雇主，老板
cheap,"adj. 便宜的；小气的；不值钱的
adv. 便宜地"
manufacturing,"adj. 制造的；制造业的
n. 制造业；工业
v. 制造；生产（manufacture的ing形式）"
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
in total,"adv. 全部；完全
 总共；总计；一共"
revolution,n. 革命；旋转；运行；循环
lottery jackpot,找不到解释
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
rewarding,adj. 有益的，值得的；有报酬的，报答的
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
wage slave, 工资奴隶；雇佣奴隶；人工奴隶
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
sparingly,adv. 节俭地；保守地；爱惜地
availability,n. 可用性；有效性；实用性
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
privileged,"adj. 享有特权的；有特别恩典的
v. 给予…特权；免除（privilege的过去分词）"
infrastructure,n. 基础设施；公共建设；下部构造
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
multibillion,adj. <英>数万亿的，<美>数十亿的
pound,"n. 英镑；重击，重击声；兽栏；拘留所
vt. 捣烂；敲打；监禁，拘留
vi. 连续重击，猛击"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
exchequer,n. 财源；国库；财政部
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
authority,n. 权威；权力；当局
housing stock, 住宅存量；现有公屋单位数目；住房存量
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
rental,"n. 租金收入，租金；租赁
adj. 租赁的；收取租金的"
provider,n. 供应者；养家者
programme,"n. 计划，规划；节目；程序
vt. 规划；拟…计划
vi. 编程序；制作节目"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
Labour Party,找不到解释
coalition,n. 联合；结合，合并
era,n. 时代；年代；纪元
climate,n. 气候；风气；思潮；风土
commitment,n. 承诺，保证；委托；承担义务；献身
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
draw an income,找不到解释
sustain,vt. 维持；支撑，承担；忍受；供养；证实
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
colleague,n. 同事，同僚
fire,"n. 火；火灾；炮火；炉火；热情；激情；磨难
vt. 点燃；解雇；开除；使发光；烧制；激动；放枪
vi. 着火；射击；开枪；激动；烧火"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
part-time,"adj. 兼职的；部分时间的
adv. 兼职地；用部分时间地"
weakness,n. 弱点；软弱；嗜好
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
be classified as, 列为；被归类为；被列为
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
insurance,n. 保险；保险费；保险契约；赔偿金
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
backdrop,n. 背景；背景幕；交流声
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
prioritize,"vt. 把…区分优先次序
vi. 把事情按优先顺序排好"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
Great Depression,找不到解释
priority,n. 优先；优先权； 优先次序；优先考虑的事
expectation,n. 期待；预期；指望
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
majority,n. 多数；成年
affordable,adj. 负担得起的
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
tax,"n. 税金；重负
vt. 向…课税；使负重担"
management,n. 管理；管理人员；管理部门；操纵；经营手段
idealized,"adj. 理想化的
v. 把…理想化；以理想的形式表现事物（idealize的过去分词）"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
discovery,n. 发现，发觉；被发现的事物
ambiguous,adj. 模糊不清的；引起歧义的
complicated,adj. 难懂的，复杂的
route,"n. 路线；航线；通道
vt. 按某路线发送"
context,n. 环境；上下文；来龙去脉
knowledge,n. 知识，学问；知道，认识；学科
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
protoscience, 原科学；前科学；原论科学
mining claim,"采矿请求权
矿产声明"
scrutiny,n. 详细审查；监视；细看；选票复查
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
researcher,n. 研究员
community,n. 社区； 群落；共同体；团体
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
editor,n. 编者，编辑；社论撰写人；编辑装置
reviewer,n. 评论者，评论家
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
duplication,n. 复制；副本；成倍
confirmation,n. 确认；证实；证明；批准
modification,n. 修改，修正；改变
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
novel,"adj. 新奇的；异常的
n. 小说"
Nobel Laureate, 诺贝尔奖获得者；诺贝尔奖得主；诺贝尔奖金获得者
physiologist,n. 生理学家，生理学者
refutation,n. 反驳；驳斥；辩驳
provoke,vt. 驱使；激怒；煽动；惹起
philosopher,n. 哲学家；哲人
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
conception,n. 怀孕；概念；设想；开始
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
fine-grained,adj. 细粒的；有细密纹理的
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
explicit,adj. 明确的；清楚的；直率的；详述的
permission,n. 允许，许可
option,n.  选项；选择权；买卖的特权
browser,n.  浏览器；吃嫩叶的动物；浏览书本的人
digital,"n. 数字；键
adj. 数字的；手指的"
version,n. 版本；译文；倒转术
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
switch on,"v. 打开；接通；参见
 开启；合闸；打开开关"
information,n. 信息，资料；知识；情报；通知
press on,"na. 向前挤；坚决推进；“press ahead”的变体
 加紧赶路；加紧进行；压迫"
norm,n. 标准，规范
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
future,"n. 未来；前途；期货；将来时
adj. 将来的，未来的"
science,n. 科学；技术；学科；理科
technology,n. 技术；工艺；术语
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
humanity,n. 人类；人道；仁慈；人文学科
utopia,找不到解释
unfashionable,adj. 过时的；不时髦的
asteroid strike,找不到解释
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
climate,n. 气候；风气；思潮；风土
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
universe,n. 宇宙；世界；领域
threatened,"v. 威胁（threaten的过去分词）
adj. 受到威胁的"
distribute,vt. 分配；散布；分开；把…分类
adaptable,adj. 适合的；能适应的；可修改的
organization,n. 组织；机构；体制；团体
flagship,n. 旗舰；（作定语）一流；佼佼者
evolution,n. 演变；进化论；进展
futurologist,n. 未来学家
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
envisage,vt. 正视，面对；想像
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
publication,n. 出版；出版物；发表
dedicate to,"v. 献给
 奉献；致力于；献身"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
planet,n. 行星
species,"n.  物种；种类
adj. 物种上的"
evidence-based,adj. 基于证据的
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
perspective,"n. 观点；远景；透视图
adj. 透视的"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
knowledgeable,adj. 知识渊博的，有知识的；有见识的；聪明的
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
Fundamental Physics Prize,找不到解释
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
award,"n. 奖品；判决
vt. 授予；判定"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
The Nobel Prize,找不到解释
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
scientist,n. 科学家
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
system,n. 制度，体制；系统；方法
peer-review-led,找不到解释
research,"n. 研究；调查
vt. 研究；调查
vi. 研究；调查
"
status quo,"n. 现状；原来的状况
 维持现状；现状乐团；改变现状"
peer-reviewed,n. 同行评议；同行审阅
perpetuate,"vt. 使不朽；保持
adj. 长存的"
genius,n. 天才，天赋；精神
criticism,n. 批评；考证；苛求
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
unrepresentative,adj. 非代表性的，不典型的
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
collaborative,adj. 合作的，协作的
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
acknowledge,vt. 承认；答谢；报偿；告知已收到
Higgs boson,"n. 希格斯玻色子
 希格斯粒子；上帝粒子；希格斯波色子"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
journal,n. 日报，杂志；日记；分类账
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
statistical,adj. 统计的；统计学的
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
peer-review,n. 各领域专家互相评阅；同行评审；同业监督小组；同业互查组织
editor-in-chief,n. 总编辑；总主笔
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
basic,"n. 基础；要素
adj. 基本的；基础的"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
irreproducibility,非再生性
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
editorial,"n. 社论
adj. 编辑的；社论的"
manuscript,"n.  手稿；原稿
adj. 手写的"
flag up, 举旗
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
statistician,n. 统计学家，统计员
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
impel,vt. 推动；驱使；激励
motivate,vt. 刺激；使有动机；激发…的积极性
reproducibility,n.  再现性
biostatistician,n. 生物统计学家
advisory,"n. 报告；公告
adj. 咨询的；顾问的；劝告的"
foresight,n. 先见，远见；预见；深谋远虑
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
methodology,n. 方法学，方法论
step forward,"na. “step forth”的变体
 向前；前进；向前迈步"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
majority,n. 多数；成年
scientific,adj. 科学的，系统的
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
biomedical,adj. 生物医学的
error,n. 误差；错误；过失
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
biologist,n. 生物学家
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
verify,vt. 核实；查证
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
astronomer,n. 天文学家
esteemed,"adj. 受人尊敬的
v. 尊敬；认为（esteem的过去分词）"
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
construction,n. 建设；建筑物；解释；造句
cosmos,n. 宇宙；和谐；秩序；大波斯菊
dormant,adj. 休眠的；静止的；睡眠状态的；隐匿的
volcano,n. 火山
heaven,n. 天堂；天空；极乐
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
dense,adj. 稠密的；浓厚的；愚钝的
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
atmosphere,n. 气氛；大气；空气
environmentalist,n. 环保人士；环境论者；研究环境问题的专家
controversy,n. 争论；论战；辩论
ecosystem,n. 生态系统
relic,n. 遗迹，遗物；废墟；纪念物
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
starry sky, 满天星；星座彼氏；星空
visibility,n. 能见度，可见性；能见距离；明显性
archaeological,adj.  考古学的； 考古学上的
environmental,adj. 环境的，周围的；有关环境的
