progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
agenda,n. 议程；日常工作事项；日程表
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
agriculture,n. 农业；农耕；农业生产；农艺，农学
analyze,vt. 对…进行分析，分解（等于analyse）
arbitrary,adj.  任意的；武断的；专制的
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
colleague,n. 同事，同僚
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
memory,n. 记忆，记忆力；内存， 存储器；回忆
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
cozy,"n. 保温罩
vt. 蒙骗；抚慰
adj. 舒适的；安逸的"
disable,vt. 使失去能力；使残废；使无资格
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
disappoint,vt. 使失望
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
discover,"vi. 发现
vt. 发现；发觉"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
chaos,n. 混沌，混乱
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
empire,n. 帝国；帝王统治，君权
emperor,n. 皇帝，君主
emphasize,vt. 强调，着重
courage,n. 勇气；胆量
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
envelope,n. 信封，封皮；包膜； 包层；包迹
threat,n. 威胁，恐吓；凶兆
enhance,vt. 提高；加强；增加
wide,"n. 大千世界
adj. 广泛的；宽的，广阔的；张大的；远离目标的
adv. 广泛地；广阔地；充分地"
edit,"vt. 编辑；校订
n. 编辑工作"
lap,"n. 一圈；膝盖；下摆；山坳
vt. 使重叠；拍打；包围
vi. 重叠；轻拍；围住"
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
episode,n. 插曲；一段情节；插话；有趣的事件
equip,vt. 装备，配备
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
exist,vi. 存在；生存；生活；继续存在
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
irrigate,"vt. 灌溉；冲洗；使清新
vi. 灌溉；冲洗"
industry,n. 产业；工业；勤勉
indoor,adj. 室内的，户内的
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
interpret,"vi. 解释；翻译
vt. 说明；口译"
interval,n. 间隔；间距；幕间休息
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号
adj. 某一时代的"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
probable,"n. 很可能的事；大有希望的候选者
adj. 很可能的；可信的"
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
prohibit,vt. 阻止，禁止
forbid,vt. 禁止；不准；不允许；严禁
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
bell,"n. 铃，钟；钟声，铃声；钟状物
vt. 装钟于，系铃于
vi. 鸣钟；成钟状鼓起"
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
create,vt. 创造，创作；造成
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
restrict,vt. 限制；约束；限定
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
gay,"n. 同性恋者
adj. 快乐的；放荡的；艳丽的"
glad,"adj. 高兴的；乐意的；令人高兴的；灿烂美丽的
vt. 使高兴"
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
conscience,n. 道德心，良心
science,n. 科学；技术；学科；理科
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi.  调谐；协调"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
consist,vi. 由…组成；在于；符合
insist,"vi. 坚持，强调
vt. 坚持，强调"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
transparent,adj. 透明的；显然的；坦率的；易懂的
apparent,adj. 显然的；表面上的
obvious,adj. 明显的；显著的；平淡无奇的
radio,"n. 收音机；无线电广播设备
vt. 用无线电发送
vi. 用无线电进行通信"
radioactive,adj.  放射性的；有辐射的
author,"n. 作者；作家；创始人
vt. 创作出版"
authority,n. 权威；权力；当局
authentic,adj. 真正的，真实的；可信的
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
dessert,n. 餐后甜点；甜点心
imply,vt. 意味；暗示；隐含
implicit,adj. 含蓄的；暗示的；盲从的
explicit,adj. 明确的；清楚的；直率的；详述的
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
complicated,adj. 难懂的，复杂的
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
tolerate,vt. 忍受；默许；宽恕
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
apartment,n. 公寓；房间
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
partly,adv. 部分地；在一定程度上
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
pair,"n. 一对，一双，一副
vt. 把…组成一对"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
compete,vi. 竞争；比赛；对抗
competent,adj. 胜任的；有能力的；能干的；足够的
appetite,n. 食欲；嗜好
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
confuse,vt. 使混乱；使困惑
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
deserve,"vi. 应受，应得
vt. 应受，应得"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
temperature,n. 温度；体温；气温；发烧
centigrade,adj. 摄氏的； 摄氏温度的；百分度的
convince,vt. 说服；使确信，使信服
province,n. 省；领域；职权
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
wash,"n. 洗涤；洗的衣服；化妆水；冲积物
vt. 洗涤；洗刷；冲走；拍打
vi. 洗澡；被冲蚀"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅"
involve,vt. 包含；牵涉；使陷于；潜心于
revolution,n. 革命；旋转；运行；循环
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
salute,"n. 致敬，欢迎；敬礼
vt. 行礼致敬，欢迎
vi. 致意，打招呼；行礼"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
drawback,n. 缺点，不利条件；退税
overcome,"vt. 克服；胜过
vi. 克服；得胜"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
defence,n. 防御；防卫；答辩；防卫设备
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
centimeter,n.  厘米； 公分
century,n. 世纪，百年；（板球）一百分
recent,adj. 最近的；近代的
decent,adj. 正派的；得体的；相当好的
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
center,"n. 中心，中央；中锋；中心点
adj. 中央的，位在正中的
vt. 集中，使聚集在一点；定中心
vi. 居中，被置于中心"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
consequence,n. 结果；重要性；推论
outcome,n. 结果，结局；成果
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
arise,vi. 出现；上升；起立
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
movement,n. 运动；活动；运转；乐章
emotion,n. 情感；情绪
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
illusion,n. 幻觉，错觉；错误的观念或信仰
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
hostess,n. 女主人，女老板；女服务员；舞女；女房东
hospital,n. 医院
evident,adj. 明显的；明白的
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
identity,n. 身份；同一性，一致；特性；恒等式
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
historical,adj. 历史的；史学的；基于史实的
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
cottage,n. 小屋；村舍；（农舍式的）小别墅
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
darling,n. 心爱的人；亲爱的
deaf,adj. 聋的
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
eager,adj. 渴望的；热切的；热心的
chalk,"n. 粉笔；白垩；用粉笔划的记号
adj. 用粉笔写的
vt. 用粉笔写；用白垩粉擦；记录；规划
vi. 变成白垩状"
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造"
mood,n. 情绪，语气；心境；气氛
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
neat,adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
mourn,v. 哀悼；忧伤；服丧
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
maid,"n. 女仆；少女
vt. 侍候；做新娘的女傧相
vi. 当女仆"
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）"
bride,n. 新娘；姑娘，女朋友
groom,"vi. 打扮
vt. 整饰；推荐；喂马；刷洗（马等）
n. 新郎；马夫；男仆"
marry,"vt. 嫁；娶；与……结婚
vi. 结婚"
merry,"adj. 愉快的；微醉的；嬉戏作乐的
n. 甜樱桃"
hurry,"n. 匆忙，急忙
v. 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理"
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
lorry,n. （英）卡车； 货车；运料车
worry,"n. 担心；烦恼；撕咬
vi. 担心；烦恼；撕咬
vt. 担心；发愁；折磨"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
whistle,"n. 口哨；汽笛；呼啸声
vt. 吹口哨；鸣汽笛"
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
yawn,"n. 哈欠；裂口
vt. 张开；打著哈欠说
vi. 打哈欠；裂开"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
fierce,adj. 凶猛的；猛烈的；暴躁的
knife,"n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过"
zoom,"vi. 嗡嗡作响; 急速上升
n. 嗡嗡声; 隆隆声; （车辆等）疾驰的声音; 变焦
vt. 使急速上升; 使猛增"
young,"n. 年轻人；（动物的）崽，仔
adj. 年轻的；初期的；没有经验的"
year,n. 年；年度；历年；年纪；一年的期间；某年级的学生
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
room,"n. 房间；空间；余地；机会；房间里所有的人
vt. 为…提供住处；租房，合住；投宿，住宿；留…住宿
vi. 居住；住宿"
roof,"n. 屋顶；最高处，顶部；最高限度
vt. 给…盖屋顶，覆盖"
ceiling,n. 天花板；上限
widow,"n. 寡妇；孀妇
vt. 使成寡妇"
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
wait,"n. 等待；等候
vi. 等待；耽搁；伺候用餐
vt. 等候；推迟；延缓"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
word,"n.  单词；话语；消息；诺言；命令
vt. 用言辞表达"
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
mile,n. 英里；一英里赛跑；较大的距离
smile,"n. 微笑；笑容；喜色
vt. 微笑着表示
vi. 微笑"
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
fool,"n. 傻瓜；愚人；受骗者
vt. 欺骗，愚弄
adj. 傻的
vi. 欺骗；开玩笑；戏弄"
nail,"vt. 钉；使固定；揭露
n.  指甲；钉子"
wake,"n. 尾迹；守夜；守丧
vt. 叫醒；激发
vi. 醒来；唤醒；警觉"
yard,"n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁
vt. 把…关进或围在畜栏里"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
port,"n. 港口，口岸；（计算机的）端口；左舷；舱门
vt. 持（枪）；左转舵
vi. 转向左舷"
porter,n. 门房；服务员；行李搬运工；守门人
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
sport,"n. 运动；游戏；娱乐；运动会；玩笑
adj. 运动的
vt. 游戏；参加体育运动；夸耀
vi. 游戏"
important,adj. 重要的，重大的；有地位的；有权力的
ray,"n. 射线；光线；鳐形目(Rajiformes)鱼
vt. 放射；显出
vi. 放射光线；浮现"
laser,n. 激光
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
purple,"n. 紫色；紫袍
adj. 紫色的；帝王的；华而不实的
vt. 使成紫色
vi. 变成紫色"
violate,vt. 违反；侵犯，妨碍；亵渎
violin,n. 小提琴；小提琴手
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
magazine,n. 杂志；弹药库；胶卷盒
chemistry,n. 化学；化学过程
badminton,n. 羽毛球
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
build,"n. 构造；体形；体格
vi. 建筑；建造
vt. 建立；建筑"
drum,"n. 鼓；鼓声
vi. 击鼓；大力争取
vt. 击鼓；大力争取"
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
cage,"n. 笼，兽笼；牢房，监狱
vt. 把…关进笼子；把…囚禁起来"
chess,n. 国际象棋，西洋棋
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
earth,"n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴
vt. 把（电线） 接地；盖（土）；追赶入洞穴
vi. 躲进地洞"
earthquake,n. 地震；大动荡
forest,"n. 森林
vt. 植树于，使成为森林"
hill,n. 小山；丘陵；斜坡；山冈
bridge,"n. 桥；桥牌；桥接器；船桥
vt. 架桥；渡过"
horizon,n.  地平线；视野；眼界；范围
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
marble,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的"
seaside,"n. 海边；海滨
adj. 海边的；海滨的"
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
ship,"n. 船；舰；太空船
vt. 运送，乘船；以船运送
vi. 上船；乘船旅行；当船员"
cargo,n. 货物，船货
boat,"n. 小船；轮船
vi. 划船"
cart,"n. 二轮运货马车
vt. 用车装载
vi. 驾运货马车；用运货车运送"
ambulance,n.  救护车；战时流动医院
oil,"n. 油；石油；油画颜料
vt. 加油；涂油；使融化
vi. 融化；加燃油"
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
coil,"n. 线圈；卷
vt. 盘绕，把…卷成圈
vi. 成圈状"
album,n. 相簿；唱片集；集邮簿；签名纪念册
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
