apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
elementary,adj. 基本的；初级的； 元素的
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
faculty,n. 科，系；能力；全体教员
semester,n. 学期；半年
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
option,n.  选项；选择权；买卖的特权
optional,"adj. 可选择的，随意的
n. 选修科目"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
dean,n. 院长；系主任；教务长；主持牧师
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
enrol,"vi. 注册；参军
vt. 登记；卷起；入学；使入会"
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
motivate,vt. 刺激；使有动机；激发…的积极性
enlighten,vt. 启发，启蒙；教导，开导；照耀
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
impart,vt. 给予（尤指抽象事物），传授；告知，透露
instruct,vt. 指导；通知；命令；教授
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
exposition,n. 博览会；阐述；展览会
interpret,"vi. 解释；翻译
vt. 说明；口译"
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
diligent,adj. 勤勉的；用功的，费尽心血的
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
truancy,n. 旷课，逃学；玩忽职守
attendance,n. 出席；到场；出席人数；考勤
absence,n. 没有；缺乏；缺席；不注意
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
expel,vt. 驱逐；开除
exclude,vt. 排除；排斥；拒绝接纳；逐出
acquire,vt. 获得；取得；学到；捕获
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
cognitive,adj. 认知的，认识的
literacy,n. 读写能力；精通文学
literate,"adj. 受过教育的；精通文学的
n. 学者"
comprehend,vt. 理解；包含；由…组成
comprehension,n. 理解；包含
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
extensive,adj. 广泛的；大量的；广阔的
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
distract,vt. 转移；分心
flip,"n. 弹；筋斗
vi. 用指轻弹；蹦跳
adj. 无礼的；轻率的
vt. 掷；轻击"
pore,"n. 气孔；小孔
vt. 使注视
vi. 细想；凝视；熟读"
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
cafeteria,n. 自助餐厅
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
thesis,n. 论文；论点
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
bibliography,n. 参考书目；文献目录
confer,"vt. 授予；给予
vi. 协商"
commencement,n. 开始，发端；毕业典礼
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
award,"n. 奖品；判决
vt. 授予；判定"
trophy,"n. 奖品；战利品；纪念品
vt. 用战利品装饰
adj. 显示身份的；有威望的"
tuition,n. 学费；讲授
epoch,n.  世；新纪元；新时代；时间上的一点
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
morality,n. 道德；品行，美德
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
basis,n. 基础；底部；主要成分；基本原则或原理
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
multitude,n. 群众；多数
hierarchy,n. 层级；等级制度
elite,n. 精英；精华；中坚分子
millionaire,"n. 百万富翁；大富豪
adj. 100万以上人口的"
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
origin,n. 起源；原点；出身；开端
outset,n. 开始；开端
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
forerunner,n. 先驱；先驱者；预兆
ensue,"vi. 跟着发生，接着发生；继起
vt. 追求"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
foresee,vt. 预见；预知
contradiction,n. 矛盾；否认；反驳
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
enhance,vt. 提高；加强；增加
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
inhibit,vt. 抑制；禁止
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
prohibit,vt. 阻止，禁止
anonymous,adj. 匿名的，无名的；无个性特征的
stigma,n.  柱头；耻辱；污名；烙印；特征
status,n. 地位；状态；情形；重要身份
ego,n. 自我；自负；自我意识
reputation,n. 名声，名誉；声望
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
reconciliation,n. 和解；调和；和谐；甘愿
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
hustle,"n. 推；奔忙；拥挤喧嚷
vt. 催促；猛推；强夺
vi. 赶紧；硬挤过去；骗取财富"
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
opt,vi. 选择
identification,n. 鉴定，识别；认同；身份证明
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
lapse,n. (一时的) 走神，判断错误
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
consequence,n. 结果；重要性；推论
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
rivalry,n. 竞争；对抗；竞赛
demonstrate,"vt. 证明；展示；论证
vi. 示威"
emigrate,"vi. 移居；移居外国
vt. 移民"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
migrant,"n. 候鸟；移居者；随季节迁移的民工
adj. 移居的；流浪的"
warfare,n. 战争；冲突
martial,adj. 军事的；战争的；尚武的
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
strife,n. 冲突；争吵；不和
turmoil,n. 混乱，骚动
uproar,n. 骚动；喧嚣
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
repel,vt. 击退；抵制；使厌恶；使不愉快
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
territory,n. 领土，领域；范围；地域；版图
dominion,n. 主权，统治权；支配；领土
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
weapon,n. 武器，兵器
ammunition,"n. 弹药；军火
vt. 装弹药于
vi. 装弹药"
armor,"n.  装甲；盔甲
vt. 为…装甲"
armour,n. 盔甲；装甲；护面
artillery,n. 火炮；大炮；炮队；炮术
cannon,"n. 大炮；加农炮；榴弹炮；机关炮
vt. 炮轰
vi. 炮轰；开炮"
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
regiment,"n. 团；大量
vt. 把…编成团；严格地管制"
squad,"n. 班；小队；五人组（篮球队的非正式说法）
vt. 把…编成班；把…编入班"
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
corps,n. 军团；兵种；兵队；（德国大学的）学生联合会
escort,"n. 陪同；护航舰；护卫队；护送者
vt. 护送；陪同；为…护航"
morale,n. 士气，斗志
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
maneuver,"n.  机动；演习；策略；调遣
vi.  机动；演习；调遣；用计谋
vt.  机动；演习；用计；调遣"
disposition,n. 处置； 性情； 部署；倾向
mobilize,"vt. 动员，调动；集合，组织；使…流通；使…松动
vi. 组织；动员起来"
detach,vt. 分离；派遣；使超然
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
victim,n. 受害人；牺牲品；牺牲者
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
reprisal,n. 报复（行为）；报复性劫掠
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
vengeance,n. 复仇；报复；报仇
loot,"n. 战利品；抢劫；掠夺品
vt. 抢劫，洗劫；强夺
vi. 洗劫，掠夺；抢劫"
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
mob,"n. 暴民，暴徒；民众；乌合之众
vt. 大举包围，围攻；蜂拥进入
vi. 聚众生事，聚众滋事"
besiege,vt. 围困；包围；烦扰
siege,"n. 围攻；包围；围城；不断袭击；长期努力
vt. 围攻；包围"
betrayal,n. 背叛；辜负；暴露
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
rebellion,n. 叛乱；反抗；谋反；不服从
bondage,n. 奴役，束缚；奴役身份
subdue,vt. 征服；抑制；减轻
suppress,vt. 抑制；镇压；废止
squash,"n. 壁球；挤压；咯吱声；南瓜属植物；（英）果汁饮料
vt. 镇压；把…压扁；使沉默
vi. 受挤压；发出挤压声；挤入"
appease,vt. 使平息；使满足；使和缓；对…让步
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
racial,adj. 种族的；人种的
segregation,n. 隔离，分离；种族隔离
discrimination,n. 歧视；区别，辨别；识别力
calamity,n. 灾难；不幸事件
catastrophe,n. 大灾难；大祸；惨败
disaster,n. 灾难，灾祸；不幸
havoc,"n. 大破坏；浩劫；蹂躏
vt. 严重破坏
vi. 损毁"
misfortune,n. 不幸；灾祸，灾难
famine,n. 饥荒；饥饿，奇缺
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
drought,n. 干旱；缺乏
hurricane,n. 飓风，暴风
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
infection,n. 感染；传染；影响；传染病
infectious,adj. 传染的；传染性的；易传染的
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
impair,vt. 损害；削弱；减少
destructive,adj. 破坏的；毁灭性的；有害的，消极的
destruction,n. 破坏，毁灭；摧毁
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
devastating,"adj. 毁灭性的；全然的
v. 摧毁（devastate的ing形式）；毁坏"
disastrous,adj. 灾难性的；损失惨重的；悲伤的
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
poisonous,adj. 有毒的；恶毒的；讨厌的
ordeal,n. 折磨；严酷的考验；痛苦的经验
tragic,adj. 悲剧的；悲痛的，不幸的
undergo,vt. 经历，经受；忍受
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
emerge,vi. 浮现；摆脱；暴露
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
aggravate,vt. 加重；使恶化；激怒
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
casualty,n. 意外事故；伤亡人员；急诊室
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
quench,"vt. 熄灭， 淬火；解渴；结束；冷浸
vi. 熄灭；平息"
evacuate,"vt. 疏散，撤退；排泄
vi. 疏散；撤退；排泄"
salvation,n. 拯救；救助
survival,n. 幸存，残存；幸存者，残存物
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
dole,"n. 失业救济金；赈济物；施舍品
vt. 发放救济；以小份发给"
fund,"n. 基金；资金；存款
vt. 投资；资助"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
endow,vt. 赋予；捐赠；天生具有
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
census,"n. 人口普查，人口调查
vt. 实施统计调查"
poverty,n. 贫困；困难；缺少；低劣
urban,adj. 城市的；住在都市的
suburb,n. 郊区；边缘
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
offense,n. 犯罪，过错；进攻；触怒；引起反感的事物
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
forsake,vt. 放弃；断念
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
assassination,n. 暗杀，行刺
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍"
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
deceive,v. 欺骗；行骗
deceit,n. 欺骗；谎言；欺诈手段
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
fabricate,vt. 制造；伪造；装配
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
imitation,"n. 模仿，仿造；仿制品
adj. 人造的，仿制的"
fraud,n. 欺骗；骗子；诡计
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
rape,"n. 强奸，掠夺； 油菜；葡萄渣
vt. 强奸；掠夺，抢夺
vi. 犯强奸罪"
involve,vt. 包含；牵涉；使陷于；潜心于
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
conspiracy,n. 阴谋；共谋；阴谋集团
conspire,"vi. 共谋；协力
vt.  密谋策划"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
kidnap,vt. 绑架；诱拐；拐骗
hostage,n. 人质；抵押品
ransom,"n. 赎金；赎身，赎回
vt. 赎回，赎；勒索赎金；救赎；得赎金后释放"
persecute,vt. 迫害；困扰；同…捣乱
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
smuggle,"vt. 走私；偷运
vi. 走私，私运；偷带"
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
seduce,vt. 引诱；诱惑；诱奸；怂恿
incite,vt. 煽动；激励；刺激
smother,"n. 窒息状态；令人窒息的浓烟
vt. 使窒息；抑制；（用灰等）闷熄；忍住
vi. 窒息；被抑制；闷死"
stab,"n. 刺；戳；尝试；突发的一阵
vt. 刺；刺伤；戳；刺穿；直入
vi. 刺；刺伤；戳；刺痛"
stifle,"n. （马等的）后膝关节；（马等的） 后膝关节病
vt. 扼杀；使窒息；藏匿
vi. 窒息；被扼杀"
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
trample,"n. 蹂躏；践踏声
vi. 践踏；蔑视，伤害；脚步沉重地走
vt. 践踏；蔑视，伤害"
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
theft,n. 盗窃；偷；赃物
treason,n.  叛国罪；不忠
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
violate,vt. 违反；侵犯，妨碍；亵渎
violent,adj. 暴力的；猛烈的
pistol,"n. 手枪；信号枪
vt. 用手枪射击"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
detain,vt. 拘留；留住；耽搁
expose,vt. 揭露，揭发；使曝光；显示
disclose,vt. 公开；揭露
investigate,v. 调查；研究
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
ascertain,vt. 确定；查明；探知
verify,vt. 核实；查证
legal,adj. 法律的；合法的；法定的；依照法律的
legislation,n. 立法；法律
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
judicial,adj. 公正的，明断的；法庭的；审判上的
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
ratify,vt. 批准；认可
enact,vt. 颁布；制定法律；扮演；发生
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
enforce,vt. 实施，执行；强迫，强制
restrict,vt. 限制；约束；限定
abolish,vt. 废除，废止；取消，革除
renounce,"n. 垫牌
vt. 宣布放弃；与…断绝关系；垫牌
vi. 放弃权利；垫牌"
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
repeal,"n. 废除；撤销
vt. 废除；撤销；废止；放弃；否定"
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
heir,n.  继承人；后嗣；嗣子
heritage,n. 遗产；传统；继承物；继承权
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
client,n.  客户；顾客；委托人
referee,"n. 裁判员；调解人；介绍人
vt. 为…当裁判；调停
vi. 仲裁；担任裁判"
jury,"n.  陪审团；评判委员会
adj. 应急的"
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
proceedings,n. 诉讼；行动（proceeding的复数形式）；会议记录；议程
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
indict,vt. 控告，起诉； 揭发
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
sue,"vt. 控告；请求
vi. 控告；提出请求"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
plea,n. 恳求，请求；辩解，辩护；借口，托辞
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
justification,n. 理由；辩护；认为有理，认为正当；释罪
cite,vt. 引用；传讯；想起；表彰
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
testimony,n.  证词，证言；证据
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
testify,"vi. 作证；证明
vt. 证明，证实；作证"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
valid,adj. 有效的；有根据的；合法的；正当的
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
elicit,vt. 抽出，引出；引起
confront,vt. 面对；遭遇；比较
uphold,vt. 支撑；鼓励；赞成；举起
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
comply,vi. 遵守；顺从，遵从；答应
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
smear,"n. 涂片；诽谤；污点
vt. 诽谤；弄脏；涂上；把…擦模糊
vi. 被弄脏"
adjourn,"vt. 推迟；使…中止；使…延期
vi. 休会；延期；换地方"
recess,"n. 休息；休会；凹处
vt. 使凹进；把…放在隐蔽处
vi. 休息；休假"
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
mediate,"vi. 调解；斡旋；居中
vt. 调停；传达
adj. 间接的；居间的"
verdict,n. 结论；裁定
decree,"n. 法令；判决
vt. 命令；颁布；注定；判决
vi. 注定；发布命令"
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
penalize,vt. 处罚；处刑；使不利
penalty,n. 罚款，罚金；处罚
forfeit,"n. 罚金；没收物；丧失的东西
vt. （因犯罪、失职、违约等）丧失（权利、名誉、生命等）
adj. 因受罚而丧失的；被没收的"
execute,vt. 实行；执行；处死
deprive,vt. 使丧失，剥夺
execution,n. 执行，实行；完成；死刑
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
deport,vt. 驱逐出境；举止；放逐
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
relief,n. 救济；减轻，解除；安慰；浮雕
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
partial,adj. 局部的；偏爱的；不公平的
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
compassion,n. 同情；怜悯
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
passion,n. 激情；热情；酷爱；盛怒
passionate,adj. 热情的；热烈的，激昂的；易怒的
rejoice,"vi. 高兴；庆祝
vt. 使高兴"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
zeal,n. 热情；热心；热诚
yearn,vi. 渴望，向往；思念，想念；怀念；同情，怜悯
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
enthusiastic,adj. 热情的；热心的；狂热的
affection,n. 喜爱，感情；影响；感染
preference,n. 偏爱，倾向；优先权
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
salute,"n. 致敬，欢迎；敬礼
vt. 行礼致敬，欢迎
vi. 致意，打招呼；行礼"
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
frenzy,"n. 狂暴；狂怒；暴怒
vt. 使发狂；使狂怒"
provoke,vt. 驱使；激怒；煽动；惹起
reluctant,adj. 不情愿的；勉强的；顽抗的
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
