code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
east,"n. 东方；东风；东方国家
adj. 东方的；向东的；从东方来的
adv. 向东方，在东方"
mail,"n. 邮件；邮政，邮递；盔甲
vt. 邮寄；给…穿盔甲
vi. 邮寄；寄出"
season,"n. 时期；季节；赛季
vt. 给…调味；使适应
vi. 变得成熟；变干燥"
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
say,"vt. 讲；说明；例如；声称；假设；指明
vi. 讲；表示；念；假定；背诵"
usable,adj. 可用的；合用的（等于useable）
musician,n. 音乐家
explain,v. 说明；解释
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
holiday,"n. 假日；节日；休息日
vi. 外出度假"
bottle,"n. 瓶子；一瓶的容量
vt. 控制；把…装入瓶中
vi. （街头艺人演出后）收拢钱币"
corner,"n. 角落，拐角处；地区，偏僻处；困境，窘境
vt. 垄断；迫至一隅；使陷入绝境；把…难住
vi. 囤积；相交成角"
forget,"vi. 忘记
vt. 忘记；忽略"
although,conj. 尽管；虽然；但是；然而
careful,adj. 仔细的，小心的
flower,"n. 花；精华；开花植物
vt. 使开花；用花装饰
vi. 成熟，发育；开花；繁荣；旺盛"
southwest,"n. 西南方
adj. 西南的
adv. 往西南；来自西南"
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
cry,"n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊
vt. 叫喊；哭出；大声说"
telephone,"n. （美）电话；电话机；电话耳机
vt. 打电话给…
vi. 打电话"
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
bean,"n. 豆；嘴峰；毫无价值的东西
vt. 击…的头部"
tired,"v. 疲倦；对…腻烦（tire的过去分词形式）
adj. 疲倦的；厌倦的，厌烦的"
potato,n.  土豆， 马铃薯
wolf,"n. 狼；色狼；残忍贪婪之人
vt. 大吃；狼吞虎咽地吃"
earth,"n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴
vt. 把（电线） 接地；盖（土）；追赶入洞穴
vi. 躲进地洞"
self,"n. 自己，自我；本质；私心
adj. 同一的
vt. 使自花授精；使近亲繁殖
vi. 自花授精"
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
sock,"vt. 重击；给……穿袜
n. 短袜；一击
adv. 正着地；不偏不倚地
adj. 非常成功的"
sometimes,adv. 有时，间或
tape,"n. 胶带；磁带；带子；卷尺
vt. 录音；用带子捆扎；用胶布把…封住
vi. 用磁带录音"
location,n. 位置（形容词locational）；地点；外景拍摄场地
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
upward,"adj. 向上的；上升的
adv. 向上"
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
few,"n. 很少数
adj. 很少的；几乎没有的
pron. 很少"
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
loud,"adj. 大声的，高声的；不断的；喧吵的
adv. 大声地，高声地，响亮地"
youth,n. 青年；青春；年轻；青少年时期
lemon,"adj. 柠檬色的
n. 柠檬"
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
difference,n. 差异；不同；争执
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
sadness,n. 悲哀
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
bread,"n. 面包；生计
vt. 在…上洒面包屑"
away,adv. 离去，离开；在远处
hero,n. 英雄；男主角，男主人公
unusual,adj. 不寻常的；与众不同的；不平常的
customer,n. 顾客；家伙
western,"n. 西方人；西部片，西部小说
adj. 西方的，西部的；有西方特征的"
whether,"conj. 是否；不论
pron. 两个中的哪一个"
convenient,adj. 方便的；适当的；近便的；实用的
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
road,"n. 公路，马路；道路；手段
adj. （美）巡回的
vt. （狗）沿臭迹追逐（猎物）"
center,"n. 中心，中央；中锋；中心点
adj. 中央的，位在正中的
vt. 集中，使聚集在一点；定中心
vi. 居中，被置于中心"
website,n. 网站（全球资讯网的主机站）
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
lion,n. 狮子；名人；勇猛的人；社交场合的名流
early,"adj. 早期的；早熟的
adv. 提早；在初期"
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论"
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
useless,adj. 无用的；无效的
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
tennis,n. 网球（运动）
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
beef,"n. 牛肉；肌肉；食用牛；牢骚
vt. 养；加强
vi. 抱怨，告发；发牢骚"
actual,adj. 真实的，实际的；现行的，目前的
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
win,"n. 赢；胜利
vt. 赢得；在…中获胜；劝诱
vi. 赢；获胜；成功"
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
lab,n. 实验室，研究室
box,"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击"
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
floor,"n. 地板，地面；楼层；基底；议员席
vt. 铺地板；打倒，击倒；（被困难）难倒"
start,"n. 开始；起点
vt. 开始；启动
vi. 出发"
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
seem,vi. 似乎；像是；装作
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
group,"n. 组；团体
adj. 群的；团体的
vt. 把…聚集；把…分组
vi. 聚合"
cheese,"n.  奶酪；干酪；要人
adj. 叛变的；胆小的
vt. 停止"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
until,"prep. 在…以前；到…为止
conj. 在…以前；直到…时"
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
lose,"vt. 浪费；使沉溺于；使迷路；遗失；错过
vi. 失败；受损失"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
young,"n. 年轻人；（动物的）崽，仔
adj. 年轻的；初期的；没有经验的"
come,"vi. 来；开始；出现；发生；变成；到达
vt. 做；假装；将满（…岁）
int. 嗨！"
photograph,"n. 照片，相片
vt. 为…拍照；使深深印入
vi. 拍照；在照片上显得"
dot,"n. 点，圆点；嫁妆
vt. 加小点于
vi. 打上点"
clothes,n. 衣服
leg,n. 腿；支柱
rock,"n. 岩石；摇滚乐；暗礁
vt. 摇动；使摇晃
vi. 摇动；摇晃"
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
rabbit,"n. 兔子，野兔
vt. 让…见鬼去吧
vi. 猎兔"
very,"adv. 非常，很；完全
adj. 恰好是，正是；甚至；十足的；特有的"
none,"pron. 没有人；一个也没有；没有任何东西
adj. 没有的，一点没有的
adv. 决不，一点也不"
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结"
similar,"n. 类似物
adj. 相似的"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
create,vt. 创造，创作；造成
birth,n. 出生；血统，出身；起源
education,n. 教育；培养；教育学
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
politician,n. 政治家，政客
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
adj. 割下的；雕过的；缩减的
vt.  切割；削减；缩短；刺痛
vi.  切割；相交；切牌；停拍；不出席"
stone,"n. 石头；结石； 宝石
adj. 石的，石制的
vt. 向扔石块；用石头铺"
snake,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进"
ball,"n. 球；舞会
vt. 捏成球形
vi. 成团块"
borrow,"vt. 借；借用
vi. 借；借用；从其他语言中引入"
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
colorful,adj. 华美的；有趣的；富有色彩的
officer,"n. 军官，警官；公务员，政府官员；船长
vt. 指挥"
keyboard,"n. 键盘
vt. 键入；用键盘式排字机排字
vi. 用键盘进行操作；作键盘式排字机排字"
near,"adj. 近的；亲近的；近似的
adv. 近；接近
prep. 靠近；近似于"
temperature,n. 温度；体温；气温；发烧
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧"
against,"prep. 反对，违反；靠；倚；防备
adj. 不利的；对立的"
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
selfish,adj. 自私的；利己主义的
peach,"n. 桃子；桃树；桃红色；受人喜欢的人（或物）
adj. 桃色的；用桃子制成的
vt. 告发
vi. 告密"
weekday,n. 平日，普通日；工作日
more,"adv. 更多；此外；更大程度地
adj. 更多的；附加的
pron. 更多的数量
n. 更多"
within,"prep. 在…之内
n. 里面
adv. 在内部"
task,"n. 工作，作业；任务
vt. 分派任务"
violin,n. 小提琴；小提琴手
discuss,vt. 讨论；论述，辩论
will,"n. 意志；决心；情感；遗嘱；意图；心愿
vt. 决心要；遗赠；用意志力使
vi. 愿意；下决心
aux. 将；愿意；必须"
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
backward,"adj. 向后的；反向的；发展迟缓的
adv. 向后地；相反地"
toward,"prep. 向；对于；为了；接近
adj. 即将来到的，进行中的"
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
uncertain,adj. 无常的；含糊的；靠不住的；迟疑不决的
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
meeting,"n. 会议；会见；集会；汇合点
v. 会面；会合（meet的ing形式）"
funny,"n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明"
knowledge,n. 知识，学问；知道，认识；学科
timer,n.  定时器；计时器；计时员，记时员；跑表；延时调节器
together,"adj. 新潮的；情绪稳定的，做事有效率的
adv. 一起；同时；相互；连续地；总共"
award,"n. 奖品；判决
vt. 授予；判定"
adult,"n. 成年人
adj. 成年的；成熟的"
railroad,"n. 铁路；铁路公司
vt. 由铁道运输；铺设铁路；以捏造不实之罪使入狱
vi. 在铁路工作；乘火车旅行；筑铁路"
river,n. 河，江
shelf,n. 架子；搁板；搁板状物；暗礁
kilometer,n.  公里； 千米（等于kilometre）
elephant,n. 象；大号图画纸
fluency,"n. （语言、文章）流利；（技能）娴熟
n. 流畅度（写作演讲等）"
thick,"n. 最拥挤部分；活动最多部分；事物的粗大浓密部分
adj. 厚的；浓的；粗大的
adv. 密集地；浓浓地，厚厚地"
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
worry,"n. 担心；烦恼；撕咬
vi. 担心；烦恼；撕咬
vt. 担心；发愁；折磨"
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
next,"adv. 然后；下次；其次
adj. 下一个的；其次的；贴近的
n. 下一个
prep. 靠近；居于…之后"
lightning,"adj. 闪电的；快速的
n. 闪电
vi. 闪电"
personally,adv. 亲自地；当面；个别地；就自己而言
fluent,adj. 流畅的，流利的；液态的；畅流的
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
golden,adj. 金色的，黄金般的；珍贵的；金制的
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
much,"adv. 非常，很
adj. 大量的
n. 许多，大量
pron. 许多，大量"
unable,adj. 不会的，不能的； 无能力的；不能胜任的
awake,"adj. 醒着的
vt. 唤醒；使觉醒；激起，唤起
vi. 觉醒，意识到；醒来；被唤起"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
tiny,adj. 微小的；很少的
bath,"n. 沐浴；浴室；浴盆
vt. 洗澡
vi. 洗澡"
cousin,n. 堂兄弟姊妹；表兄弟姊妹
pollution,"n. 污染
污染物"
wed,"vt. 与...结婚；娶；嫁
vi. 结婚；娶；嫁"
lifetime,"n. 一生；寿命；终生；使用期
adj. 一生的；终身的"
week,n. 周，星期
ticket,vt. 加标签于；指派；对…开出交通违规罚单
knock,"vi. 敲；打；敲击
vt. 敲；打；敲击；批评
n. 敲；敲打；爆震声"
snow,"n. 雪，积雪；下雪
vt. 使纷纷落下；使变白
vi. 降雪"
below,"prep. 在…下面
adv. 在下面，在较低处；在本页下面"
eastern,"n. 东方人；（美国）东部地区的人
adj. 东方的；朝东的；东洋的"
stomach,"n. 胃；腹部；胃口
vt. 忍受；吃下
vi. 忍受"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
police,"n. 警察，警方；治安
adj. 警察的；有关警察的
vt. 监督；管辖；维持治安；为…配备警察"
richness,n. 丰富；富裕；肥沃；华美
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
easily,adv. 容易地；无疑地
coke,n. 可口可乐（等于Coca-Cola）
belong,vi. 属于，应归入；居住；适宜；应被放置
traditional,adj. 传统的；惯例的
truly,adv. 真实地，不假；真诚地
business,n. 商业； 生意； 交易；事情
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略"
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
uncle,n. 叔叔；伯父；伯伯；舅父；姨丈；姑父
die,"n. 冲模，钢模；骰子
vi. 死亡；凋零；熄灭
vt. 死，死于…"
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
surprisingly,adv. 惊人地；出人意料地
ink,"n. 墨水，墨汁；油墨
vt. 签署；涂墨水于"
fast,"n. 斋戒；绝食
adj. 快速的，迅速的；紧的，稳固的
adv. 迅速地；紧紧地；彻底地
vi. 禁食，斋戒"
political,adj. 政治的；党派的
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
silk,"n. 丝绸；蚕丝；丝织物
adj. 丝的；丝绸的；丝制的
vi. （玉米）处于长须的阶段中"
sky,"n. 天空；顶点
vt. 把…投向空中；把…挂得过高
vi. 踢或击高空球；把桨叶翘得过高；飞涨"
sunset,n. 日落，傍晚
classroom,n. 教室
without,"prep. 没有；超过；在…外面
n. 外部；外面
adv. 户外；在外面；没有或不显示某事物"
daylight,n. 白天；日光；黎明；公开
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
homeland,n. 祖国；故乡
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
glass,"n. 玻璃；玻璃制品；镜子
vt. 反映；给某物加玻璃
vi. 成玻璃状"
icy,adj. 冰冷的；冷淡的；结满冰的
bridge,"n. 桥；桥牌；桥接器；船桥
vt. 架桥；渡过"
unlikely,"adj. 不太可能的；没希望的
adv. 未必"
marry,"vt. 嫁；娶；与……结婚
vi. 结婚"
impossible,"n. 不可能；不可能的事
adj. 不可能的；不可能存在的；难以忍受的；不真实的"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
tasty,"adj. 美味的；高雅的；有趣的
n. 可口的东西；引人入胜的东西"
rebuild,"vt. 重建；改造，重新组装；复原
vi. 重建"
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的"
flag,"n. 标志；旗子
vt. 标记；插旗
vi. 标记；衰退；枯萎"
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的"
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
almost,adv. 差不多，几乎
subway,"n. 地铁；地道
vi. 乘地铁"
street,"n. 街道
adj. 街道的"
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
building,"n. 建筑；建筑物
v. 建筑；建立；增加（build的ing形式）"
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
appear,vi. 出现；显得；似乎；出庭；登场
through,"prep. 通过；穿过；凭借
adj. 直达的；过境的；完结的
adv. 彻底；从头至尾"
sure,"adj. 确信的；可靠的；必定的
adv. 当然；的确"
quite,adv. 很；相当；完全
railway,"n. （英）铁路；轨道；铁道部门
vi. 乘火车旅行"
third,"num. 第三；三分之一
adj. 第三的；三分之一的"
shut,"n. 关闭
adj. 关闭的；围绕的
vi. 关上；停止营业
vt. 关闭；停业；幽禁"
rich,"adj. 富有的；肥沃的；昂贵的
adj. 油腻的，含有很多脂肪"
mouse,"n. 鼠标；老鼠；胆小羞怯的人
vt. 探出
vi. 捕鼠；窥探"
mid,"adj. 中间的；中央的
prep. 在…之中"
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救"
buyer,n. 买主；采购员
action,n. 行动；活动；功能；战斗；情节
invention,n. 发明；发明物；虚构；发明才能
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
cookie,n. 饼干；小甜点
fox,"n. 狐狸；狡猾的人
vt. 欺骗；使变酸
vi. 假装；耍狡猾手段"
cheap,"adj. 便宜的；小气的；不值钱的
adv. 便宜地"
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
fact,n. 事实；实际；真相
imagination,n.  想象力；空想；幻想物
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
university,n. 大学；综合性大学；大学校舍
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
opinion,n. 意见；主张
hundred,"num. 百；百个
n. 一百；许多
adj. 一百的；许多的"
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
phone,"n. 电话；耳机，听筒
vt. 打电话
vi. 打电话"
cinema,n. 电影；电影院；电影业，电影制作术
wine,"n. 酒，葡萄酒；紫红色
vt. 请…喝酒
vi. 喝酒"
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的"
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
meal,"n. 一餐，一顿饭；膳食
vi. 进餐"
ability,n. 能力，能耐；才能
write,"vi. 写，写字；写作，作曲；写信
vt. 写，书写；写信给；著述"
widely,adv. 广泛地
sheep,n. 羊，绵羊；胆小鬼
team,"n. 队；组
vt. 使合作
vi. 合作"
difficulty,n. 困难，困境
church,"n. 教堂；礼拜；教派
adj. 教会的；礼拜的
vt. 领…到教堂接受宗教仪式"
bee,n. 蜜蜂，蜂；勤劳的人
inch,"n. 英寸；身高；少许
vt. 使缓慢地移动
vi. 慢慢前进"
news,n. 新闻，消息；新闻报导
stair,n. 楼梯，阶梯；梯级
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
sheet,"n. 薄片，纸张；薄板；床单
adj. 片状的
vt. 覆盖；盖上被单；使成大片
vi. 成片流动；大片落下"
sit,"vi. 坐；位于
vt. 使就座"
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
size,"n. 大小；尺寸
adj. 一定尺寸的
vt. 依大小排列
vi. 可比拟"
homework,n. 家庭作业，课外作业
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
future,"n. 未来；前途；期货；将来时
adj. 将来的，未来的"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
stamp,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉"
forever,adv. 永远；不断地；常常
speak,"vi. 说话；演讲；表明；陈述
vt. 讲话；发言；讲演"
mirror,"n. 镜子；真实的写照；榜样
vt. 反射；反映"
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
beside,prep. 在旁边；与…相比；和…无关
weekend,"n. 周末，周末休假；周末聚会
adj. 周末的，周末用的
vi. 度周末"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
unpleasant,adj. 讨厌的；使人不愉快的
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
protect,vt. 保护，防卫；警戒
driver,n. 驾驶员；驱动程序；起子；传动器
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
photo,n. 照片
try,"n. 尝试；努力；试验
vt. 试图，努力；试验；审判；考验
vi. 尝试；努力；试验"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
sugar,"n. 糖；食糖；甜言蜜语
vt. 加糖于；粉饰
vi. 形成糖"
want,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少"
bring,vt. 带来；促使；引起；使某人处于某种情况或境地
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
memory,n. 记忆，记忆力；内存， 存储器；回忆
activity,n. 活动；行动；活跃
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
smoke,"n. 烟；抽烟；无常的事物
vt. 吸烟；抽
vi. 冒烟，吸烟；抽烟；弥漫"
ton,n. 吨；很多，大量
world,n. 世界；领域；世俗；全人类；物质生活
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
seawater,n. 海水
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化"
kitchen,n. 厨房；炊具；炊事人员
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆"
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
campus,n. （大学）校园；大学，大学生活；校园内的草地
tool,"n. 工具，用具；器械，机床；手段
vt. 用工具给……加工
vi. 使用工具；用机床装备工厂"
food,n. 食物；养料
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
tree,"n. 树；木料；树状物
vt. 把...赶上树
vi. 爬上树；逃上树"
later,"adv. 后来；稍后；随后
adj. 更迟的；更后的"
dig,"n. 戳，刺；挖苦
vi. 挖掘
vt. 挖，掘；探究"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
