emperor,n. 皇帝，君主
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
worthwhile,adj. 值得做的，值得花时间的
clamp,"n. 夹钳，螺丝钳
vt. 夹紧，固定住"
convenience,n. 便利；厕所；便利的事物
fountain,n. 喷泉，泉水；源泉
migrant,"n. 候鸟；移居者；随季节迁移的民工
adj. 移居的；流浪的"
specify,vt. 指定；详细说明；列举；把…列入说明书
deviance,n. 异常；异常行为
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
tick off,"na. 打上记号；责骂；证明是同一东西；核实无误
 用记号勾出；责备；简略地描述"
livelihood,n. 生计，生活；营生
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
censure,"n. 责难
vt. 责难，责备
vi. 谴责，责备"
voltage,n.  电压
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
metro,n. 地铁；大都市；伦敦地下铁道；麦德隆（财富500强公司之一，总部所在地德国，主要经营零售）
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
civilization,n. 文明；文化
compendium,n. 纲要；概略
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
deserve,"vi. 应受，应得
vt. 应受，应得"
eject,vt. 喷射；驱逐，逐出
verification,n. 确认，查证；核实
autoimmune,adj. 自身免疫的；自体免疫的
inheritance,n. 继承；遗传；遗产
relentless,adj. 无情的；残酷的；不间断的
requisite,"n. 必需品
adj. 必备的，必不可少的；需要的"
dizziness,n. 头晕；头昏眼花
periphery,n. 外围，边缘；圆周；圆柱体表面
credential,n. 证书；凭据；国书
facsimile,"n. 传真；复写
adj. 复制的
vt. 传真；临摹"
reel,"n. 蹒跚；眩晕；旋转
vt. 卷；使旋转
vi. 卷；眩晕；蹒跚地走；退缩"
churn,"n. 搅乳器
vt. 搅拌；搅动
vi. 搅拌；搅动"
nocturnal,adj. 夜的；夜曲的；夜间发生的
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
prohibitive,adj. 禁止的，禁止性的；抑制的；（费用，价格等）过高的；类同禁止的
navigation,n. 航行；航海
entwine,"vt. 缠住；盘绕；使缠绕
vi. 缠住；盘绕"
monumental,adj. 不朽的；纪念碑的；非常的
reiterate,vt. 重申；反复地做
jeopardise,vt. 危及（等于jeopardize）；使…受危险
peripheral,"adj. 外围的；次要的；（神经）末梢区域的
n. 外部设备"
elusive,adj. 难懂的；易忘的；逃避的；难捉摸的
distinctive,adj. 有特色的，与众不同的
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
decompression,n.  解压；降压
prevalent,adj. 流行的；普遍的，广传的
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
eminent,adj. 杰出的；有名的；明显的
crescent,找不到解释
sucker,"n. 吸管；乳儿；易受骗的人
vt. 从……除去吸根
vi. 成为吸根；长出根出条"
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
cooperate,vi. 合作，配合；协力
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
appraisal,n. 评价；估价（尤指估价财产，以便征税）；估计
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
heir,n.  继承人；后嗣；嗣子
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
unexpected,adj. 意外的，想不到的
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
sticky,adj. 粘的；粘性的
competition,n. 竞争；比赛，竞赛
responsible,adj. 负责的，可靠的；有责任的
critic,n. 批评家，评论家；爱挑剔的人
extensive,adj. 广泛的；大量的；广阔的
corridor,走廊
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
starchy,adj. 含淀粉的；浆糊状的；刻板的
trivial,adj. 不重要的，琐碎的；琐细的
exorbitant,adj. （要价等）过高的；（性格等）过分的；不在法律范围之内的
large-scale,adj. 大规模的，大范围的；大比例尺的
region,n. 地区；范围；部位
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
infection,n. 感染；传染；影响；传染病
conservative,找不到解释
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
liver,n. 肝脏；生活者，居民
inflammable,"n. 易燃物
adj. 易燃的；易怒的；易激动的"
disfigure,vt. 使变丑；损毁…的外形；使大为减色
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
create,vt. 创造，创作；造成
mime,"n. 哑剧；小丑；滑稽戏
vi. 摸拟表演
vt. 摸拟表演"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
likelihood,n. 可能性，可能
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
spectacular,adj. 壮观的，惊人的；公开展示的
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
counterproductive,adj. 反生产的；使达不到预期目标的
variant,"n. 变体；转化
adj. 不同的；多样的"
healing,"n. 康复
adj. 能治愈的
v. 治疗（heal的现在分词）"
autocratic,adj. 专制的；独裁的，专横的
emulate,"n. 仿真；仿效
vt. 仿真；模仿；尽力赶上；同…竞争"
disastrous,adj. 灾难性的；损失惨重的；悲伤的
topple,"vt. 推翻；颠覆；使倒塌
vi. 倾倒；倒塌；摇摇欲坠"
resilience,n. 恢复力；弹力；顺应力
collateral,"n. 抵押品； 担保品；旁系亲属
adj. 并行的；旁系的；附属的"
colossal,adj. 巨大的；异常的，非常的
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
supplementary,"n. 补充者；增补物
adj. 补充的；追加的"
scrutiny,n. 详细审查；监视；细看；选票复查
cognition,n. 认识；知识；认识能力
repel,vt. 击退；抵制；使厌恶；使不愉快
domesticate,"vt. 驯养；教化；引进
vi. 驯养；使习惯于或喜爱家务和家庭生活"
exhaustive,adj. 详尽的；彻底的；消耗的
calibrate,vt. 校正；调整；测定口径
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
fascinating,"adj. 迷人的；吸引人的；使人神魂颠倒的
v. 使…着迷；使…陶醉（fascinate的ing形式）"
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
sympathise,vi. 同情，支持
fusion,n. 融合；熔化；熔接；融合物； 核聚变
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
diversity,n. 多样性；差异
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
edible,"n. 食品；食物
adj. 可食用的"
collaboration,n. 合作；勾结；通敌
decouple,"n.  去耦
vt. 减弱震波；使分离"
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
distract,vt. 转移；分心
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
skew,"n. 斜交；歪斜
adj. 斜交的；歪斜的
vt. 使歪斜
vi. 偏离，歪斜；斜视"
glove,"n. 手套
vt. 给…戴手套"
beehive,n. 蜂窝；蜂箱
astray,"adj. 迷路的；离开正道的；不对头的
adv. 误入歧途地；迷途地；迷路"
theory,n. 理论；原理；学说；推测
weakness,n. 弱点；软弱；嗜好
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
vacancy,n. 空缺；空位；空白；空虚
locality,n. 所在；位置；地点
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
accuracy,n.  精确度，准确性
tolerate,vt. 忍受；默许；宽恕
afford,vt. 给予，提供；买得起
excellent,adj. 卓越的；极好的；杰出的
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
cylinder,n. 圆筒；汽缸； 柱面；圆柱状物
disadvantage,n. 缺点；不利条件；损失
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
refreshment,n. 点心；起提神作用的东西；精力恢复
deteriorate,"vi. 恶化，变坏
vt. 恶化"
scorching,"adj. 灼热的；激烈的；讽刺的；过早硫化的
v. 把…烧焦；严厉批评；切割；过早硫化（scorch的ing形式）"
meantime,"n. 其时，其间
adv. 同时；其间"
townscape,n. 城镇的风景
upper,adj. 上面的，上部的；较高的
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
emphasis,n. 重点；强调；加强语气
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
duration,"n. 持续，持续的时间，期间
音长，音延"
primarily,adv. 首先；主要地，根本上
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
worm,"n. 虫，蠕虫；蜗杆；螺纹；小人物
vt. 使蠕动；给除虫；使缓慢前进
vi. 慢慢前进；蠕行"
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
timber,n. 木材；木料
profound,adj. 深厚的；意义深远的；渊博的
journalist,n. 新闻工作者；报人；记日志者
permission,n. 允许，许可
labour,n. （英国）工党
quota,n. 配额；定额；限额
unconcerned,adj. 不关心的；无关的；无忧虑的
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
deterioration,n. 恶化；退化；堕落
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
condemn,vt. 谴责；判刑，定罪；声讨
transcend,vt. 胜过，超越
cumulative,adj. 累积的
horizontal,"n. 水平线，水平面；水平位置
adj. 水平的；地平线的；同一阶层的"
adobe,n. 土砖，砖坯
certify,v. 证明；保证
arousal,n. 觉醒；激励
addiction,n. 上瘾，沉溺；癖嗜
allege,vt. 宣称，断言；提出…作为理由
amphibious,adj.  两栖的，水陆两用的；具有双重性的
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
assert,vt. 维护，坚持；断言；主张；声称
assure,vt. 保证；担保；使确信；弄清楚
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
bewilder,vt. 使迷惑，使不知所措
biodiversity,n. 生物多样性
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
celestial,"n. 神仙，天堂里的居民
adj. 天上的，天空的"
combination,n. 结合；组合；联合； 化合
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
subsoil,"n. 底土；下层土；天然地基
vt. 掘起…的底土；深挖，深耕"
bin,"n. 箱子，容器；二进制
vt. 把…放入箱中"
evoke,vt. 引起，唤起；博得
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
front-line,adj. 前线的；第一线的
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
wheelchair,n. 轮椅
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
intelligible,adj. 可理解的；明了的；仅能用智力了解的
essence,n. 本质，实质；精华；香精
predispose,vt. 预先处置；使…偏向于
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
occur,vi. 发生；出现；存在
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
stark,"adj. 完全的；荒凉的；刻板的；光秃秃的；朴实的
adv. 完全；明显地；突出地；质朴地"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
deadline,n. 截止期限，最后期限
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
evolution,n. 演变；进化论；进展
suitable,adj. 适当的；相配的
beverage,n. 饮料
influenza,n.  流行性感冒（简写flu）；家畜流行性感冒
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
undoubtedly,adv. 确实地，毋庸置疑的
avalanche,"n. 雪崩
vt. 雪崩
vi. 崩塌"
alienation,n. 异化；疏远；转让； 精神错乱；间离效果（alienation effect）
accumulate,"vt. 积攒
vi. 累积；积聚"
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
identification,n. 鉴定，识别；认同；身份证明
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
convey,vt. 传达；运输；让与
boundary,n. 边界；范围；分界线
frank,"n. 免费邮寄特权
adj. 坦白的，直率的；老实的
vt. 免费邮寄"
bonus,n. 奖金；红利；额外津贴
militant,"adj. 好战的
n. 富有战斗性的人；好斗者；激进分子"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
dystrophy,n. 营养障碍；营养失调
conduce,vi. 导致；有益，有贡献于
consulate,n. 领事；领事馆；领事任期；领事职位
contaminant,n. 污染物；致污物
demerit,n. 缺点，短处；过失
denomination,n. 面额；名称；教派
disturbance,n. 干扰；骚乱；忧虑
enjoyable,adj. 快乐的；有乐趣的；令人愉快的
expiry,n. 满期，逾期；呼气；终结
fluctuation,n. 起伏，波动
frequency,n. 频率；频繁
hamlet,n. 小村庄
hence,adv. 因此；今后
inadequate,adj. 不充分的，不适当的
keystone,n. 主旨，基本原则； 楔石
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
marginally,adv. 少量地；最低限度地；在栏外；在页边
moderately,adv. 适度地；中庸地；有节制地
noticeable,adj. 显而易见的，显著的；值得注意的
optic,"adj. 光学的；视觉的；眼睛的
n. 眼睛；镜片"
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
long-term,"adj. 长期的
从长远来看"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
finale,n. 结局；终曲；最后一场；最后乐章；尾声
astonish,vt. 使惊讶
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
module,n.  模块；组件；模数
corps,n. 军团；兵种；兵队；（德国大学的）学生联合会
petroleum,n. 石油
magma,n.  岩浆；糊剂
stylish,adj. 时髦的；现代风格的；潇洒的
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
debris,n. 碎片，残骸
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
fieldwork,n. 野外工作；现场工作；野战工事
contaminate,vt. 污染，弄脏
applicant,n. 申请人，申请者；请求者
strap,"n. 带；皮带；磨刀皮带；鞭打
vt. 用带捆绑；用皮条抽打；约束
vi. 精力旺盛地工作；受束缚"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
conclusion,n. 结论；结局；推论
intensity,n. 强度；强烈； 亮度；紧张
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
isle,"n. 岛
vt. 使成为岛屿
vi. 住在岛屿上"
cervical,adj. 颈的；子宫颈的
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
acquaint,vt. 使熟悉；使认识
violence,n. 暴力；侵犯；激烈；歪曲
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
vegetarian,"n. 素食者；食草动物
adj. 素食的"
ratio,n. 比率，比例
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
analogous,adj. 类似的； 同功的；可比拟的
cookery,n. 烹调术；烹调业
high-tech,"n. 高科技
adj. 高科技的，高技术的；仿真技术的"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
hum,"n. 嗡嗡声；哼声；杂声
vt. 用哼声表示
int. 哼；嗯
vi. 发低哼声"
sinister,adj. 阴险的；凶兆的；灾难性的；左边的
refinement,n. 精制；文雅； 提纯
solidarity,n. 团结，团结一致
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
photocopy,"n. 复印件；影印
vt. 影印
vi. 影印，复印"
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
dean,n. 院长；系主任；教务长；主持牧师
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
chest,n. 胸，胸部；衣柜；箱子；金库
tanker,n. 油轮；运油飞机；油槽车；坦克手
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
in addition,"na. 加之
 另外；此外；又"
overestimate,"vt. 对……评价过高；对……估计过高
n. 估计过高；评价过高；出价过高
vi. 估计过高；评价过高"
overview,n.  综述；概观
pathway,n. 路，道；途径，路径
perplex,vt. 使困惑，使为难；使复杂化
recognition,n. 识别；承认，认出；重视；赞誉；公认
reconstruction,n. 再建，重建；改造；复兴
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
renewal,n. 更新，恢复；复兴；补充；革新；续借；重申
requisition,"n. 征用；要求；申请书；引渡要求
vt. 征用；申请领取"
reserved,adj. 保留的，预订的；缄默的，冷淡的，高冷的；包租的
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
sack,"n. 麻布袋；洗劫
vt. 解雇；把……装入袋；劫掠"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
slump,"vt. 使降低；使衰落；使倒下
n. 衰退；暴跌；消沉
vi. 下降，衰落；倒下；大幅度下降，暴跌"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
tickle,"n. 胳肢；痒感；使人发痒、高兴的东西
vt. 使发痒；使高兴；使满足
vi. 觉得痒；（东西）使人发痒"
transportation,n. 运输；运输系统；运输工具；流放
unanimous,adj. 全体一致的；意见一致的；无异议的
underestimate,"n. 低估
vt. 低估；看轻"
understandable,adj. 可以理解的；可以了解的
transcribe,vt. 转录；抄写
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
undertake,vt. 承担，保证；从事；同意；试图
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
unconquerable,adj. 克服不了的；不可征服的；压制不了的
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
campus,n. （大学）校园；大学，大学生活；校园内的草地
presentation,n. 展示；描述，陈述；介绍；赠送
residence,n. 住宅，住处；居住
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
emit,vt. 发出，放射；发行；发表
pamphlet,n. 小册子
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
equipment,n. 设备，装备；器材
hamster,n. 仓鼠；仓鼠毛皮
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
spacecraft,n.  宇宙飞船，航天器
consequence,n. 结果；重要性；推论
efficient,adj. 有效率的；有能力的；生效的
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
inversion,n. 倒置；反向；倒转
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
capable,adj. 能干的，能胜任的；有才华的
performance,n. 性能；绩效；表演；执行；表现
handicapped,"n. 残疾人；缺陷者
adj. 残废的；有生理缺陷的"
insulate,vt. 隔离，使孤立；使绝缘，使隔热
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
detrimental,"n. 有害的人（或物）；不受欢迎的求婚者
adj. 不利的；有害的"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
nationality,n. 国籍，国家；民族；部落
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
rescue,"n. 营救；援救；解救
vt. 营救；援救"
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
afflict,vt. 折磨；使痛苦；使苦恼
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
maritime,adj. 海的；海事的；沿海的；海员的
formula,n.  公式，准则；配方；婴儿食品
therapy,n. 治疗，疗法
concession,n. 让步；特许（权）；承认；退位
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
unrealistic,adj. 不切实际的；不实在的
enfranchise,vt. 给予选举权；给予自治权；解放，释放
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
tariff,"n. 关税表；收费表
vt. 定税率；征收关税"
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
bankruptcy,n. 破产
connection,n. 连接；关系；人脉；连接件
airtight,adj. 密闭的，密封的；无懈可击的
unprejudiced,adj. 没有成见的；公平的；无偏见的
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
unregistered,adj.  未注册的；未登记的
versus,prep. 对；与...相对；对抗
wretch,n. 可怜的人，不幸的人；卑鄙的人
acceptable,adj. 可接受的；合意的；可忍受的
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
autobiography,n. 自传；自传文学
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
dot,"n. 点，圆点；嫁妆
vt. 加小点于
vi. 打上点"
emotional,adj. 情绪的；易激动的；感动人的
extrovert,n. 外向；外倾者；性格外向者（等于extravert）
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
harmony,n. 协调；和睦；融洽；调和
hospitable,adj. 热情友好的；（环境）舒适的
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
insane,adj. 疯狂的；精神病的；极愚蠢的
inscribe,vt. 题写；题献；铭记；雕
hostel,n. 旅社，招待所（尤指青年旅社）
substance,n. 物质；实质；资产；主旨
refectory,n. 食堂；（修道院，学院等处的）餐厅
