considerable,adj. 相当大的；重要的，值得考虑的
tuition,n. 学费；讲授
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
vocational,adj. 职业的，行业的
sleeper,n. 卧车；卧铺；枕木；睡眠者
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
availability,n. 可用性；有效性；实用性
reservation,n. 预约，预订；保留
booking,n. 预订；预约；演出契约
two-berth, 两卧铺
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
exceptional,"n. 超常的学生
adj. 异常的，例外的"
in the case of,"na. 论到
 至于；就…来说；就…而言"
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
include,vt. 包含，包括
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
agency,n. 代理，中介；代理处，经销处
atlas,n. 地图集；寰椎
backpack,"n. 双肩背包，背包；远足用的背包
vt. 挑运；把…放入背包
vi. 背负简便行李旅行；挑运"
knapsack,n. 背包
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
expedition,n. 远征；探险队；迅速
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
hostel,n. 旅社，招待所（尤指青年旅社）
itinerary,"n. 旅程，路线； 旅行日程
adj. 旅程的； 巡回的，流动的"
route,"n. 路线；航线；通道
vt. 按某路线发送"
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
path,n. 道路；小路；轨道
tram,"n. 电车轨道；煤车
vt. 用煤车运载
vi. 乘电车"
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
visa,"n. 签证
vt. 签发签证"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
fee,"n. 费用；酬金；小费
vt. 付费给……"
price,"n. 价格；价值；代价
vt. 给……定价；问……的价格"
pricey,adj. 高价的，过分昂贵的
besides,"prep. 除…之外
adv. 此外；而且"
exceptional,"n. 超常的学生
adj. 异常的，例外的"
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
unusual,adj. 不寻常的；与众不同的；不平常的
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
exclude,vt. 排除；排斥；拒绝接纳；逐出
exclusion,n. 排除；排斥；驱逐；被排除在外的事物
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
extraneous,adj. 外来的；没有关联的；来自体外的
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
turbine,n.  涡轮； 涡轮机
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
tidal,adj. 潮汐的；潮的，有关潮水的；定时涨落的
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
existing,"adj. 目前的；现存的
v. 存在（exist的现在分词）"
blade,n. 叶片；刀片，刀锋；剑
similar,"n. 类似物
adj. 相似的"
propeller,n.  螺旋桨；推进器
propel,vt. 推进；驱使；激励；驱策
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
predictable,adj. 可预言的
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
constantly,adv. 不断地；时常地
constancy,n. 坚定不移；恒久不变
dampen,"vt. 抑制；使…沮丧；使…潮湿
vi. 潮湿；丧气"
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
drifter,n. 流浪汉；漂流物；漂网渔船
exude,"vt. 散发；流出；使渗出
vi. 流出；渗出；发散"
gush,"n. 涌出；迸发
v. 涌出；迸出"
immerse,vt. 沉浸；使陷入
influx,n. 流入；汇集；河流的汇集处
infuse,"vt. 灌输；使充满；浸渍
vi. （茶叶、草药等）被泡"
meander,"n. 漫步；曲流（常用复数）
vt. 漫步；蜿蜒缓慢流动
vi. 漫步；漫谈"
moisten,"vt. 弄湿；使…湿润
vi. 潮湿；变潮湿"
humidify,vt. 使潮湿；使湿润
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢"
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
drench,"n. 滂沱大雨；浸液
vt. 使湿透；给（牲畜）灌药"
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
splatter,"n. 飞溅
vt. 结结巴巴地讲；使水等飞溅
vi. 结结巴巴地说话；溅泼"
sprinkle,"n. 撒，洒；少量
vt. 洒；微雨；散置
vi. 洒，撒；下稀疏小雨；喷撒"
spout,"n. 喷口；水龙卷；水落管；水柱
vt. 喷出；喷射；滔滔不绝地讲；把…典当掉
vi. 喷出；喷射；滔滔不绝地讲"
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
spurt,"n. 冲刺；喷射
vi. 冲刺；喷出；迸发
vt. 喷射；喷出"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
foresee,vt. 预见；预知
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
foresight,n. 先见，远见；预见；深谋远虑
foretell,"vt. 预言；预示；预告
vi. 预言；预示；预告"
imminent,adj. 即将来临的；迫近的
prediction,n. 预报；预言
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
hopeful,"n. 有希望成功的人
adj. 有希望的；有前途的"
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地"
hopeless,adj. 绝望的；不可救药的
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
prospective,"n. 预期；展望
adj. 未来的；预期的"
anticipated,"v. 预料（anticipate的过去分词）；盼望
adj. 预期的；期望的"
provident,adj. 节俭的；有先见之明的；顾及未来的
surmise,"n. 推测；猜度
vt. 猜测；推测
vi. 猜测；认为"
tendency,n. 倾向，趋势；癖好
discovery,n. 发现，发觉；被发现的事物
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
known as, 被称为；被认为是；以…而闻名
neuroeconomics, 神经经济学；脑神经经济学；神经元经济学
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
success,n. 成功，成就；胜利；大获成功的人或事物
economic,adj. 经济的，经济上的；经济学的
environment,n. 环境，外界
environmental,adj. 环境的，周围的；有关环境的
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
innovation,n. 创新，革新；新方法
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
reformation,n. 革新；改善
able,adj. 能； 有能力的；能干的
differently,adv. 不同地；差异；各种
competitor,n. 竞争者，对手
competition,n. 竞争；比赛，竞赛
abundance,n. 充裕，丰富
profusion,n. 丰富，充沛；慷慨
affluence,n. 富裕；丰富；流入；汇聚
wealth,n. 财富；大量；富有
scarcity,n. 不足；缺乏
deficiency,n. 缺陷，缺点；缺乏；不足的数额
affluence,n. 富裕；丰富；流入；汇聚
bankruptcy,n. 破产
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
name-brand,名牌
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
collateral,"n. 抵押品； 担保品；旁系亲属
adj. 并行的；旁系的；附属的"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
currency,n. 货币；通货
deflation,n. 通货紧缩；放气
distribution,n. 分布；分配
enterprise,n. 企业；事业；进取心；事业心
expenditure,n. 支出，花费；经费，消费额
financial,adj. 金融的；财政的，财务的
industrialisation,n. 工业化
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
monetary,adj. 货币的；财政的
patronage,n. 赞助；光顾；任免权
poverty,n. 贫困；困难；缺少；低劣
privatise,vt. 使私有化
profitability,n. 盈利能力；收益性；利益率
prosperity,n. 繁荣，成功
quota,n. 配额；定额；限额
allotment,n. 分配；分配物；养家费；命运
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
ransom,"n. 赎金；赎身，赎回
vt. 赎回，赎；勒索赎金；救赎；得赎金后释放"
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
sponsorship,n. 赞助；发起；保证人的地位；教父母身份
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
unemployment,n. 失业；失业率；失业人数
employment,n. 使用；职业；雇用
detrimental,"n. 有害的人（或物）；不受欢迎的求婚者
adj. 不利的；有害的"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
effectively,adv. 有效地，生效地；有力地；实际上
effectiveness,n. 效力
ineffective,adj. 无效的，失效的；不起作用的
noise,"n.  噪音；响声；杂音
vt. 谣传
vi. 发出声音；大声议论"
situation,n. 情况；形势；处境；位置
limit,"n. 限制；限度；界线
vt. 限制；限定"
disability,n. 残疾；无能；无资格；不利条件
speech,n. 演讲；讲话； 语音；演说
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
communication,n. 通讯， 通信；交流；信函
extremely,adv. 非常，极其；极端地
exceptionally,adv. 异常地；特殊地；例外地
intensely,adv. 强烈地；紧张地；热情地
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
bondage,n. 奴役，束缚；奴役身份
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
circumscribe,vt. 外切，外接；限制；在…周围画线
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
boundary,n. 边界；范围；分界线
fetter,"n. 束缚；羁绊；脚镣
vt. 束缚；加脚镣"
quell,vt. 平息；镇压；减轻；消除
restrain,vt. 抑制，控制；约束；制止
restraint,n. 抑制，克制；约束
restrict,vt. 限制；约束；限定
temperance,"n. 戒酒；节欲；（气候等的）温和
adj. 温暖的；有节制的"
consort,"n. 配偶；伙伴
vt. 使结合；使联系
vi. 结交；陪伴；符合"
correspondence,n. 通信；一致；相当
disseminate,"vt. 宣传，传播；散布
vi. 散布；广为传播"
impart,vt. 给予（尤指抽象事物），传授；告知，透露
liaison,n. 联络；（语言）连音
propagate,"vt. 传播；传送；繁殖；宣传
vi. 繁殖；增殖"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
propagation,n. 传播；繁殖；增殖
reciprocal,"n.  倒数；互相起作用的事物
adj. 互惠的；相互的；倒数的，彼此相反的"
boredom,n. 厌倦；令人厌烦的事物
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
bothersome,adj. 麻烦的；令人讨厌的
disarrange,vt. 扰乱；弄乱
distract,vt. 转移；分心
distraction,n. 注意力分散；消遣；心烦意乱
gloomy,adj. 黑暗的；沮丧的；阴郁的
harass,vt. 使困扰；使烦恼；反复袭击
uproar,n. 骚动；喧嚣
vex,"vt. 使烦恼；使困惑；使恼怒
vi. 烦恼"
time,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度"
transit,"n. 运输；经过
vt. 运送
vi. 经过"
transportation,n. 运输；运输系统；运输工具；流放
delivery,n.  交付；分娩；递送
transition,n. 过渡；转变； 转换；变调
transitional,adj. 变迁的；过渡期的
widely-separated,稀疏的
location,n. 位置（形容词locational）；地点；外景拍摄场地
place,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
astronomer,n. 天文学家
astronomy,n. 天文学
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
calculation,n. 计算；估计；计算的结果；深思熟虑
parallax,n. 视差；著名的影视编辑软件
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
angular,adj.  有角的；生硬的，笨拙的；瘦削的
apparent,adj. 显然的；表面上的
apparently,adv. 显然地；似乎，表面上
difference,n. 差异；不同；争执
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
astronomical,adj. 天文的，天文学的；极大的
observer,n. 观察者； 观测者；遵守者
marked,"adj. 显著的；有记号的
v. 表示（mark的过去分词）；作记号；打分数"
markedly,adv. 明显地；显著地；引人注目地
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
pronounced,"v. 发音；宣告；断言（pronounce的过去分词）
adj. 显著的；断然的；讲出来的"
remarkable,adj. 卓越的；非凡的；值得注意的
unusual,adj. 不寻常的；与众不同的；不平常的
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
sensibility,n. 情感；敏感性；感觉；识别力
aerolite,n. 陨石
asteroid,"n.  小行星； 海盘车；小游星
adj. 星状的"
astrology,n. 占星术；占星学；星座
celestial,"n. 神仙，天堂里的居民
adj. 天上的，天空的"
comet,n.  彗星
constellation,n.  星座；星群；荟萃；兴奋丛
cosmic,adj. 宇宙的（等于cosmical）
cosmos,n. 宇宙；和谐；秩序；大波斯菊
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
intergalactic,adj. 星系间的；银河间的
interplanetary,adj. 太阳系内的；行星间的
interstellar,adj.  星际的
Jupiter,n.  木星；朱庇特（罗马神话中的宙斯神）
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
launcher,n. 发射器；发射台；发射者
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
Mars,n. 战神； 火星
meteor,n. 流星； 大气现象
nebula,n. 星云；角膜云翳
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
planet,n. 行星
polestar,n. 北极星，指导原则，目标
radiation,n. 辐射；发光；放射物
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
satellite,n. 卫星；人造卫星；随从；卫星国家
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
stellar,adj. 星的；星球的；主要的；一流的
universe,n. 宇宙；世界；领域
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
Venus,n.  金星；维纳斯（爱与美的女神）
victimise,vt. 责怪或处罚某人不当（使之受冤或代人受过）; 不正当地使某人受损害或受苦难，欺负某人
pupil,n. 学生； 瞳孔；未成年人
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
difficulty,n. 困难，困境
interpersonal,adj. 人际的；人与人之间的
relationship,n. 关系；关联
while,"conj. 虽然；然而；当……的时候
n. 一会儿；一段时间
vt. 消磨；轻松地度过"
persistently,adv. 坚持地；固执地
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
grow up,"na. 长大
 成长；长大成人；成年"
physically,adv. 身体上，身体上地
violent,adj. 暴力的；猛烈的
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
anti-social,adj. 反社会的
offence,n. 犯罪；违反；过错；攻击
bosom friend,"n. 知己；密友
 知音；知心朋友；契友"
buddy,"n. 伙伴，好朋友；密友；小男孩
vi. 做好朋友，交朋友"
colleague,n. 同事，同僚
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
comrade-in-arms,n. 战友
confidante,n. 知心女友；18世纪的一种沙发（等于confidente）
mentor,"n. 指导者，良师益友
vt. 指导"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
pen pal,"abbr. (=pen-friend)
n. 笔友
 笔友---澎湃；笔友是；笔友们"
sworn brother, 盟兄弟；干兄弟；结拜兄弟
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
bluntly,adv. 坦率地，直率地；迟钝地
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
cultural difference, 文化差异；文化的差异；跨文化差别
easy-going,adj. 随和的，容易相处的
embarrassment,n. 窘迫，难堪；使人为难的人或事物；拮据
extroverted,adj. 性格外向的；外向性的；喜社交的
fellow-apprentice,找不到解释
harmony,n. 协调；和睦；融洽；调和
introverted,"adj. 内向的
v. 使...内向（introvert的过去分词形式）；使内翻"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
social skill,"社会技能, 社交技能, 社会技能；社交技能"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
campus violence,找不到解释
school bullying,找不到解释
classmate,n. 同班同学
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
ill-treat,vt. 虐待
juvenile delinquency,"na. 少年犯罪
 青少年犯罪；未成年人违法；未成年人犯罪"
maltreat,vt. 虐待；滥用；粗暴对待
slap,"n. 掴；侮辱；掌击；拍打声
vt. 拍击；侮辱；掌击；掴…的耳光
vi. 掴；拍击
adv. 直接地；猛然地；恰好"
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
aggressive behaviour, 攻击行为；侵略行为；霸道行为
antisocial behaviour,找不到解释
commit crimes, 犯罪；为非作歹
domestic violence,"n. 家庭暴力
 家暴；家庭内暴力；家庭暴力罪"
forcible,adj. 强制的；暴力的；有说服力的；强有力的
gangster,n. 歹徒，流氓；恶棍
life imprisonment,"n. 无期徒刑
 终身监禁；终生监禁；无期徒刑并非终生监禁"
malice,n. 恶意；怨恨；预谋
motive for crime,找不到解释
punishment,n. 惩罚；严厉对待，虐待
school shooting, 校园枪击案；宗校园枪击
the incidence of crime,找不到解释
to fight crime,找不到解释
violate,vt. 违反；侵犯，妨碍；亵渎
violation,n. 违反；妨碍，侵害；违背；强奸
violence,n. 暴力；侵犯；激烈；歪曲
violent inclination,找不到解释
abduction,n. 诱拐，绑架；诱导
adultery,n. 通奸，通奸行为
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
bribery,n.  贿赂；受贿；行贿
calumny,n. 诽谤；中伤；诬蔑
contravene,vt. 抵触；违反；反驳；否认
corruption,n. 贪污，腐败；堕落
delinquency,n. 行为不良，违法犯罪；失职，怠工
embezzlement,n. 侵占；挪用；盗用
harbour,"n. 海港（等于harbor）；避难所
vt. 庇护；藏匿；入港停泊
vi. 藏匿；入港停泊；庇护"
homicide,n. 过失杀人；杀人犯
larceny,n. 盗窃；盗窃罪
perjury,n. 伪证；伪誓；背信弃义
slander,"n. 诽谤；中伤
vt. 诽谤；造谣中伤"
smuggle,"vt. 走私；偷运
vi. 走私，私运；偷带"
swindle,"n. 欺诈；骗局
vt. 诈骗；骗取
vi. 诈骗"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
organisation,n. 组织；团体（等于organization）
effectively,adv. 有效地，生效地；有力地；实际上
depend,vi. 依赖，依靠；取决于；相信，信赖
dependable,adj. 可靠的，可信赖的；可信任的
dependence,n. 依赖；依靠；信任；信赖
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
decision,n. 决定，决心；决议
efficient,adj. 有效率的；有能力的；生效的
efficiency,n. 效率；效能；功效
inefficient,adj. 无效率的，效率低的；无能的
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
commonwealth,n. 联邦；共和国；国民整体
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
denomination,n. 面额；名称；教派
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
incur,vt. 招致，引发；蒙受
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
infliction,n. 施加；处罚，刑罚
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
ambassador,n. 大使；代表；使节
aristocrat,n. 贵族
autocrat,n. 独裁者，专制君主；独断独行的人
commander,n. 指挥官；司令官
congressman,n. 国会议员；众议院议员
congresswoman,n. （美）国会女议员；众议院女议员
consul,n. 领事；（古罗马的）两执政官之一
democrat,n. 民主党人；民主主义者；民主政体论者
dictator,n. 独裁者；命令者
emperor,n. 皇帝，君主
envoy,n. 使者；全权公使
feminist,"n. 女权主义者
adj. 主张女权的"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
monarch,n. 君主，帝王；最高统治者
monarchy,n. 君主政体；君主国；君主政治
president,n. 总统；董事长；校长；主席
chairman,n. 主席，会长；董事长
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
republican,"n. 共和党人
adj. 共和党的
共和的"
advocator,n. 提倡者，拥护者
arbitrator,n. 公断人，仲裁人
attorney,n. 律师；代理人；检查官
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
jury,"n.  陪审团；评判委员会
adj. 应急的"
lawyer,n. 律师；法学家
solicitor,n. 律师；法务官；募捐者；掮客
alumnus,n. 男校友；男毕业生
alumna,n. 女毕业生；女校友
dean,n. 院长；系主任；教务长；主持牧师
director,n. 主任，主管；导演；人事助理
lecturer,n. 讲师，演讲者
professor,n. 教授；教师；公开表示信仰的人
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
apprentice,"n. 学徒；生手
vt. 使…当学徒
vi. 当学徒"
apprenticeship,n. 学徒期；学徒身分
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
auditor,n. 审计员；听者；旁听生
co-worker,n. 同事；合作者
delegate,"n. 代表
vt. 委派…为代表"
deputy,"n. 代理人，代表
adj. 副的；代理的"
novice,n. 初学者，新手
proprietor,n. 业主；所有者；经营者
proxy,n. 代理人；委托书；代用品
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
typical,adj. 典型的；特有的；象征性的
adherent,"n. 信徒；追随者
adj. 附着的；粘着的"
atheist,n. 无神论者
believer,n. 信徒；相信...者
clergy,n. 神职人员；牧师；僧侣
disciple,n. 门徒，信徒；弟子
skeptic,"n. 怀疑论者；怀疑者；无神论者
sceptic（英）"
zealot,n. 狂热者；犹太教狂热信徒
assassin,n. 刺客，暗杀者
bandit,n. 强盗，土匪；恶棍；敲诈者
barbarian,"n. 野蛮人
adj. 野蛮的；未开化的"
burglar,n. 夜贼，窃贼
robber,n. 强盗；盗贼
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
figurehead,n. 破浪神；有名无实的领袖；装饰船头的人像
foe,n. 敌人；反对者；危害物
malcontent,"adj. 不满的；不服的
n. 不满现状的人；反抗者"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
artisan,n. 工匠，技工
artist,n. 艺术家；美术家（尤指画家）；大师
aviator,n. 飞行员
biographer,n. 传记作者
biography,n. 传记；档案；个人简介
choreographer,n. 编舞者，舞蹈指导
connoisseur,n. 鉴赏家；内行
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
critic,n. 批评家，评论家；爱挑剔的人
educator,n. 教育家；教育工作者；教师
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
benefactor,n. 恩人；捐助者；施主
