gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
buzz,"n. 嗡嗡声
vt. 使嗡嗡叫；暗中散布
vi. 作嗡嗡声；东奔西忙
n. 网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）"
elementary,adj. 基本的；初级的； 元素的
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
substance,n. 物质；实质；资产；主旨
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
rubbish,"n. 垃圾，废物；废话
adj. 毫无价值的"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
engine,n. 引擎，发动机；机车，火车头；工具
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
patience,n. 耐性，耐心；忍耐，容忍
stadium,n. 体育场；露天大型运动场
religion,n. 宗教；宗教信仰
accident,n. 事故；意外； 意外事件；机遇
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
biography,n. 传记；档案；个人简介
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
attribute,"n. 属性；特质
vt. 归属；把…归于"
furnish,vt. 提供；供应；装备
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
resource,n. 资源，财力；办法；智谋
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
assessment,n. 评定；估价
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
upper,adj. 上面的，上部的；较高的
string,n. 线，弦，细绳；一串，一行
actual,adj. 真实的，实际的；现行的，目前的
symptom,n.  症状；征兆
explanation,n. 说明，解释；辩解
amuse,vt. 娱乐；消遣；使发笑；使愉快
widespread,adj. 普遍的，广泛的；分布广的
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
flexible,adj. 灵活的；柔韧的；易弯曲的
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
exist,vi. 存在；生存；生活；继续存在
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
operation,n. 操作；经营； 手术； 运算
communication,n. 通讯， 通信；交流；信函
pull,"n. 拉，拉绳；拉力，牵引力；拖
vt. 拉；拔；拖
vi. 拉，拖；拔"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
gravity,n. 重力，地心引力；严重性；庄严
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
tiny,adj. 微小的；很少的
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
livestock,n. 牲畜；家畜
pastime,n. 娱乐，消遣
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
realm,n. 领域，范围；王国
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
ribbon,"n. 带；缎带；（勋章等的）绶带；带状物；勋表
vt. 把…撕成条带；用缎带装饰
vi. 形成带状"
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
sunset,n. 日落，傍晚
hinge,"n. 铰链，折叶；关键，转折点；枢要，中枢
v. 用铰链连接；依…为转移；给…安装铰链；（门等）装有蝶铰"
tedious,adj. 沉闷的；冗长乏味的
wary,adj. 谨慎的；机警的；惟恐的；考虑周到的
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
detain,vt. 拘留；留住；耽搁
roar,"n. 咆哮；吼；轰鸣
vi. 咆哮；吼叫；喧闹
vt. 咆哮；呼喊；使……轰鸣"
restaurant,n. 餐馆； 饭店
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
flesh,"n. 肉；肉体
vt. 喂肉给…；使发胖
vi. 长胖"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
description,n. 描述，描写；类型；说明书
victim,n. 受害人；牺牲品；牺牲者
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
analysis,n. 分析；分解；验定
deserve,"vi. 应受，应得
vt. 应受，应得"
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
diverse,adj. 不同的；多种多样的；变化多的
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
tongue,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
obsess,vt. 迷住，缠住；使…着迷；使…困扰
obstacle,n. 障碍，干扰；妨害物
concise,adj. 简明的，简洁的
enhance,vt. 提高；加强；增加
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
tragedy,n. 悲剧；灾难；惨案
avenge,"vt. 替…报仇
vi. 报复，报仇"
diligent,adj. 勤勉的；用功的，费尽心血的
intense,adj. 强烈的；紧张的；非常的；热情的
warfare,n. 战争；冲突
skeptical,adj. 怀疑的；怀疑论的，不可知论的
distinct,adj. 明显的；独特的；清楚的；有区别的
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
fragile,adj. 脆的；易碎的
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
curriculum,"n. 课程
总课程"
confident,adj. 自信的；确信的
conservative,找不到解释
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
punish,"vt. 惩罚；严厉对待；贪婪地吃喝
vi. 惩罚"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
ignore,vt. 驳回诉讼；忽视；不理睬
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
convince,vt. 说服；使确信，使信服
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
ambulance,n.  救护车；战时流动医院
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
minus,"prep. 减，减去
n. 负号，减号；不足；负数
adj. 减的；负的"
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
data,n. 数据（datum的复数）；资料
zoom,"vi. 嗡嗡作响; 急速上升
n. 嗡嗡声; 隆隆声; （车辆等）疾驰的声音; 变焦
vt. 使急速上升; 使猛增"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
seminar,n. 讨论会，研讨班
happen,vi. 发生；碰巧；偶然遇到
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
folklore,n. 民俗学；民间传说；民间风俗
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
metaphor,n. 暗喻，隐喻；比喻说法
mainstream,n. 主流
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
sprinkle,"n. 撒，洒；少量
vt. 洒；微雨；散置
vi. 洒，撒；下稀疏小雨；喷撒"
intangible,adj. 无形的，触摸不到的；难以理解的
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
cosmetic,"n. 化妆品；装饰品
adj. 美容的；化妆用的"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
heir,n.  继承人；后嗣；嗣子
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
sponge,"n. 海绵；海绵状物
vt. 抹掉；用海绵擦拭；讨得
vi. 采集海绵；过寄生生活；海绵般地吸收"
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
bracket,"n. 支架；括号；墙上凸出的托架
vt. 括在一起；把…归入同一类；排除"
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
pepper,"n. 胡椒；辣椒；胡椒粉
vt. 加胡椒粉于；使布满"
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
pardon,"n. 原谅；赦免；宽恕
vt. 原谅；赦免；宽恕"
detective,"n. 侦探
adj. 侦探的"
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
radiation,n. 辐射；发光；放射物
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
depend,vi. 依赖，依靠；取决于；相信，信赖
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
conclusion,n. 结论；结局；推论
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
deed,"n. 行动；功绩；证书； 契据
vt. 立契转让"
manner,n. 方式；习惯；种类；规矩；风俗
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
deadline,n. 截止期限，最后期限
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
rely,vi. 依靠；信赖
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
relief,n. 救济；减轻，解除；安慰；浮雕
include,vt. 包含，包括
heaven,n. 天堂；天空；极乐
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
fluency,"n. （语言、文章）流利；（技能）娴熟
n. 流畅度（写作演讲等）"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
compel,vt. 强迫，迫使；强使发生
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
mutual,adj. 共同的；相互的，彼此的
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
definite,adj. 一定的；确切的
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
democracy,n. 民主，民主主义；民主政治
certify,v. 证明；保证
march,n. 三月
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
sword,n. 刀，剑；武力，战争
worthwhile,adj. 值得做的，值得花时间的
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
omit,vt. 省略；遗漏；删除；疏忽
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
intention,n. 意图；目的；意向；愈合
receipt,"n. 收到；收据；收入
vt. 收到"
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
embarrass,vt. 使局促不安；使困窘；阻碍
powder,"n. 粉；粉末； 火药；尘土
vt. 使成粉末；撒粉；搽粉于
vi. 搽粉；变成粉末"
beckon,"vt. 召唤；吸引
vi. 吸引；（招手或点头）示意
n. 表召唤的点头；手势"
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
rectify,vt. 改正；精馏；整流
cynical,adj. 愤世嫉俗的；冷嘲的
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
foresight,n. 先见，远见；预见；深谋远虑
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
formula,n.  公式，准则；配方；婴儿食品
knot,"n. （绳等的）结；节瘤，疙瘩；海里/小时（航速单位）
vt. 打结
vi. 打结"
oven,n. 炉，灶；烤炉，烤箱
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
reckless,adj. 鲁莽的，不顾后果的；粗心大意的
overdue,adj. 过期的；迟到的；未兑的
tickle,"n. 胳肢；痒感；使人发痒、高兴的东西
vt. 使发痒；使高兴；使满足
vi. 觉得痒；（东西）使人发痒"
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
arbitrate,vt. 仲裁；公断
grope,"n. 摸索；触摸
vt. 摸索
vi. 摸索；探索"
stale,"n. 尿
adj. 陈腐的；不新鲜的
vt. 使变旧；变得不新鲜
vi. 变陈旧；撒尿；变得不新鲜"
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
complacent,adj. 自满的；得意的；满足的
fraud,n. 欺骗；骗子；诡计
contempt,n. 轻视，蔑视；耻辱
overt,adj. 明显的；公然的；蓄意的
counteract,vt. 抵消；中和；阻碍
animate,"adj. 有生命的
vt. 使有生气；使活泼；鼓舞；推动"
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
gene,n.  基因，遗传因子
pretext,"n. 借口；托辞
vt. 以…为借口"
overstate,vt. 夸张；夸大的叙述
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
ascribe,vt. 归因于；归咎于
volatile,"n. 挥发物；有翅的动物
adj.  挥发性的；不稳定的；爆炸性的；反复无常的"
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
robust,adj. 强健的；健康的；粗野的；粗鲁的
archive,"n. 档案馆；档案文件
vt. 把…存档"
regime,n. 政权，政体；社会制度；管理体制
aide,n. 助手；副官；侍从武官
grim,adj. 冷酷的；糟糕的；残忍的
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
envious,adj. 羡慕的；嫉妒的
compartment,"n.  隔间；区划；卧车上的小客房
vt. 分隔；划分"
regiment,"n. 团；大量
vt. 把…编成团；严格地管制"
deficit,n. 赤字；不足额
rust,"n. 锈；生锈； 锈病
vt. 使生锈；腐蚀
vi. 生锈；成铁锈色；变迟钝"
optic,"adj. 光学的；视觉的；眼睛的
n. 眼睛；镜片"
feasible,adj. 可行的；可能的；可实行的
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
segment,"n. 段；部分
vt. 分割
vi. 分割"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
alleviate,vt. 减轻，缓和
denote,vt. 表示，指示
benevolent,adj. 仁慈的；慈善的；亲切的
dumb,adj. 哑的，无说话能力的；不说话的，无声音的
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
giggle,"n. 吃吃的笑
vt. 咯咯地笑着说
vi. 傻笑；咯咯地笑"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
brace,"n. 支柱； 大括号；曲柄
vt. 支撑；振作起来；激励；撑牢
adj. 曲柄的
vi. 支持；打起精神"
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
equity,n. 公平，公正；衡平法；普通股；抵押资产的净值
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
expedition,n. 远征；探险队；迅速
bewilder,vt. 使迷惑，使不知所措
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
federation,n. 联合；联邦；联盟；联邦政府
stark,"adj. 完全的；荒凉的；刻板的；光秃秃的；朴实的
adv. 完全；明显地；突出地；质朴地"
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
orchestra,n. 管弦乐队；乐队演奏处
fury,n. 狂怒；暴怒；激怒者
anew,adv. 重新；再
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
differentiate,"vt. 区分，区别
vi. 区分，区别"
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
rural,adj. 农村的，乡下的；田园的，有乡村风味的
comet,n.  彗星
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
inhibit,vt. 抑制；禁止
accountable,adj. 有责任的；有解释义务的；可解释的
deplete,vt. 耗尽，用尽；使衰竭，使空虚
debut,"n. 初次登台；开张
vi. 初次登台"
reservoir,n. 水库；蓄水池
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
horn,"n. 喇叭，号角；角
vt. 装角于"
intricate,adj. 复杂的；错综的，缠结的
arena,n. 舞台；竞技场
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
allot,vt. 分配；拨给；分派
endow,vt. 赋予；捐赠；天生具有
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
glossary,n. 术语（特殊用语）表；词汇表；专业词典
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
recede,"vi. 后退；减弱
vt. 撤回"
besiege,vt. 围困；包围；烦扰
detriment,n. 损害；伤害；损害物
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
insulate,vt. 隔离，使孤立；使绝缘，使隔热
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
tribe,n. 部落；族；宗族；一伙
acupuncture,"n. 针刺； 针刺疗法
vt. 对…施行针刺疗法"
slam,"n. 猛击；砰然声
vi. 砰地关上；猛力抨击
vt. 砰地关上；猛力抨击"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
gut,"n. 内脏；肠子；剧情；胆量；海峡；勇气；直觉；肠
vt. 取出内脏；摧毁（建筑物等）的内部
adj. 简单的；本质的，根本的；本能的，直觉的"
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
tray,n. 托盘；文件盒；隔底匣；（无线电的）发射箱
reconcile,vt. 使一致；使和解；调停，调解；使顺从
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
debris,n. 碎片，残骸
endorse,vt. 背书；认可；签署；赞同；在背面签名
groove,"n.  凹槽，槽；最佳状态；惯例
vt. 开槽于
vi. 形成沟槽"
perch,"n. 鲈鱼; 高位；栖木；杆
vt. 栖息；就位；位于；使坐落于
vi. 栖息；就位；位于"
immense,adj. 巨大的，广大的；无边无际的；非常好的
impart,vt. 给予（尤指抽象事物），传授；告知，透露
chronic,adj. 慢性的；长期的；习惯性的
abort,"n. 中止计划
vt. 使流产；使中止
vi. 流产；堕胎；夭折；发育不全"
entity,n. 实体；存在；本质
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
depict,vt. 描述；描画
hay,"n. 干草
vt. 把晒干
vi. 割草晒干"
notorious,adj. 声名狼藉的，臭名昭著的
brag,"n. 吹牛，自夸
vi. 吹牛，自夸
vt. 吹牛，吹嘘"
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别"
advent,n. 到来；出现；基督降临；基督降临节
