spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
psychiatry,n. 精神病学；精神病治疗法
renown,"n. 声誉；名望
vt. 使有声望"
ordeal,n. 折磨；严酷的考验；痛苦的经验
reservoir,n. 水库；蓄水池
scenario,n. 方案；情节；剧本；设想
overstate,vt. 夸张；夸大的叙述
stark,"adj. 完全的；荒凉的；刻板的；光秃秃的；朴实的
adv. 完全；明显地；突出地；质朴地"
lavish,"adj. 浪费的；丰富的；大方的
vt. 浪费；慷慨给予；滥用"
predator,n.  捕食者； 食肉动物；掠夺者
confederation,n. 联盟；邦联；同盟
bouquet,n. 花束；酒香
solicit,"vt. 征求；招揽；请求；乞求
vi. 征求；招揽；恳求；请求"
compassion,n. 同情；怜悯
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
ratify,vt. 批准；认可
sob,"n. 啜泣，呜咽
vt. 哭诉，啜泣
vi. 啜泣，呜咽；（风等）发出呜咽声"
knight,"n. 骑士，武士；爵士
vt. 授以爵位"
trophy,"n. 奖品；战利品；纪念品
vt. 用战利品装饰
adj. 显示身份的；有威望的"
cosmetic,"n. 化妆品；装饰品
adj. 美容的；化妆用的"
mow,"n. 草堆；皱眉；谷堆
vt. 割草；收割庄稼
vi. 割草；收割庄稼"
outlaw,"n. 歹徒；罪犯；亡命之徒；被剥夺法律保护者
vt. 宣布…为不合法；将…放逐；剥夺…的法律保护"
chronicle,"n. 编年史，年代记；记录
vt. 记录；把…载入编年史"
limelight,"n. 石灰光，石灰光灯；众人注目的中心
vt. 使显露头角，使受到注目"
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
pesticide,n. 杀虫剂
soothe,"vt. 安慰；使平静；缓和
vi. 起抚慰作用"
autobiography,n. 自传；自传文学
clergy,n. 神职人员；牧师；僧侣
spotlight,"n. 聚光灯；反光灯；公众注意的中心
vt. 聚光照明；使公众注意"
condolence,n. 哀悼；慰问
unleash,"vt. 发动；解开…的皮带；解除…的束缚
vi. 不受约束；自由自在；放荡不羁"
mint,"n. 薄荷； 造币厂，巨款
vt. 铸造，铸币
adj. 完美的"
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
sodium,n.  钠（11号元素，符号 Na）
lipstick,"n. 口红；唇膏
vt. 涂口红
vi. 涂口红"
aloft,"prep. 在…之上；在…顶上
adj. 在空中的；在高处的；在上面的
adv. 在空中；在高处；在上面"
hockey,n. 曲棍球；冰球
tread,"n. 踏；胎面；步态；鞋底；踏板；梯级
vi. 踏；踩；行走；交尾
vt. 踏；踩；践踏；跳；踩出"
panorama,n. 全景，全貌；全景画；概论
plaza,n. 广场；市场，购物中心
consulate,n. 领事；领事馆；领事任期；领事职位
conspire,"vi. 共谋；协力
vt.  密谋策划"
warranty,n. 保证；担保；授权；（正当）理由
mindset,n. 心态；倾向；习惯；精神状态
clog,"n. 障碍；木底鞋
v. 阻塞；障碍"
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
jolly,"adj. 愉快的；欢乐的；宜人的
adv. 很；非常
vt. （口）用好话劝某人做…；（口）用好话使高兴
vi. （口）开玩笑"
obsess,vt. 迷住，缠住；使…着迷；使…困扰
glacier,n. 冰河，冰川
parole,"n. 语言；誓言，诺言；释放宣言
vt. 有条件释放，假释；使假释出狱；宣誓后释放"
compel,vt. 强迫，迫使；强使发生
reluctant,adj. 不情愿的；勉强的；顽抗的
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
insulate,vt. 隔离，使孤立；使绝缘，使隔热
arbitrary,adj.  任意的；武断的；专制的
siege,"n. 围攻；包围；围城；不断袭击；长期努力
vt. 围攻；包围"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
flexible,adj. 灵活的；柔韧的；易弯曲的
behavior,n. 行为，举止；态度；反应
engine,n. 引擎，发动机；机车，火车头；工具
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
procedure,n. 程序，手续；步骤
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
corps,n. 军团；兵种；兵队；（德国大学的）学生联合会
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
privacy,n. 隐私；秘密；隐居；隐居处
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
accurate,adj. 精确的
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
bewilder,vt. 使迷惑，使不知所措
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
restrict,vt. 限制；约束；限定
whereas,conj. 然而；鉴于；反之
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
device,n. 装置；策略；图案
series,n. 系列，连续； 串联；级数；丛书
assure,vt. 保证；担保；使确信；弄清楚
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
spectrum,n. 光谱；频谱；范围；余象
molecule,n.  分子；微小颗粒，微粒
candidate,n. 候选人，候补者；应试者
numerous,adj. 许多的，很多的
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
hardy,"n. 强壮的人；耐寒植物；方柄凿
adj. 坚强的；勇敢的；能吃苦耐劳的；鲁莽的"
whereby,adv. 凭借；通过…；借以；与…一致
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
solidarity,n. 团结，团结一致
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
cemetery,n. 墓地；公墓
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
rape,"n. 强奸，掠夺； 油菜；葡萄渣
vt. 强奸；掠夺，抢夺
vi. 犯强奸罪"
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
nickel,"n. 镍；镍币；五分镍币
vt. 镀镍于"
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
municipal,adj. 市政的，市的；地方自治的
scrub,"n. 矮树；洗擦；擦洗者；矮小的人（或物）
vt. 用力擦洗；使净化
vi. 擦洗；进行手臂消毒
adj. 矮小的；临时凑合的；次等的"
attribute,"n. 属性；特质
vt. 归属；把…归于"
humanity,n. 人类；人道；仁慈；人文学科
attractive,adj. 吸引人的；有魅力的；引人注目的
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
spectator,n. 观众；旁观者
avert,vt. 避免，防止；转移
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
worthwhile,adj. 值得做的，值得花时间的
grid,n. 网格；格子，栅格；输电网
bleach,"n. 漂白剂
vt. 使漂白，使变白
vi. 变白，漂白"
fiscal,adj. 会计的，财政的；国库的
hypocrisy,n. 虚伪；伪善
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
etiquette,n. 礼节，礼仪；规矩
delicacy,n. 美味；佳肴；微妙；精密；精美；敏锐，敏感；世故，圆滑
eruption,n. 爆发，喷发；火山灰；出疹
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
lad,n. 少年，小伙子；家伙
indebted,"adj. 负债的；感激的；受惠的
v. 使负债；使受恩惠（indebt的过去分词）"
overhaul,"vt. 分解检查，大修；追上并超过
n. 彻底检修，详细检查"
cloak,"n. 斗蓬；宽大外衣；托词
vt. 遮掩；隐匿"
ultra,"n. 极端主义者；过激论者；急进论者
adj. 极端的；过分的"
dispense,"vi. 免除，豁免
vt. 分配，分发；免除；执行"
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
depreciate,"vi. 贬值；轻视；贬低
vt. 使贬值；贬低；轻视"
equate,"vt. 使相等；视为平等
vi. 等同"
operative,"adj. 有效的；运转着的；从事生产劳动的
n. 侦探；技工"
zip,"n. 拉链; 精力，活力; 尖啸声; 一种程序压缩格式
vt. 给予…速度; 用拉链拉上或扣上
vt.& vi. 尖啸而过; （使沿某方向）快速移动"
onset,n. 开始，着手；发作；攻击，进攻
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
zoom,"vi. 嗡嗡作响; 急速上升
n. 嗡嗡声; 隆隆声; （车辆等）疾驰的声音; 变焦
vt. 使急速上升; 使猛增"
extinction,n. 灭绝；消失；消灭；废止
persecute,vt. 迫害；困扰；同…捣乱
counteract,vt. 抵消；中和；阻碍
allot,vt. 分配；拨给；分派
voucher,"n. 收据；证人；保证人；证明者；代金
vt. 证实...的可靠性"
besiege,vt. 围困；包围；烦扰
monarchy,n. 君主政体；君主国；君主政治
dissent,"n. 异议；（大写）不信奉国教
vi. 不同意；不信奉国教"
barge,"n. 驳船；游艇
vt. 用船运输；蛮不讲理地闯入或打扰某事物
vi. 蹒跚；闯入"
inmate,n. (尤指)同院病人；同狱犯人；同被(收容所)收容者
plaintiff,n. 原告
malignant,"adj.  恶性的；有害的；有恶意的
n. 保王党员；怀恶意的人"
garlic,n. 大蒜；蒜头
logistics,"n.  后勤；后勤学
物流"
adversary,n. 对手；敌手
salon,n. 沙龙；客厅；画廊；美术展览馆
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
bureaucrat,n. 官僚；官僚主义者
benign,adj. 良性的；和蔼的，亲切的；吉利的
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
barometer,n.  气压计；晴雨表；显示变化的事物
intervention,n. 介入；调停；妨碍
maternal,adj. 母亲的；母性的；母系的；母体遗传的
pant,"n. 气喘；喘息；喷气声
vt. 气喘
vi. 喘息；渴望；气喘吁吁地说出某事"
medication,n. 药物；药物治疗；药物处理
coconut,n. 椰子；椰子肉
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
antenna,n.  天线； 触角， 触须
shred,"n. 碎片；少量剩余；最少量；破布
vi. 撕碎
vt. 切成条状；用碎纸机撕毁"
stifle,"n. （马等的）后膝关节；（马等的） 后膝关节病
vt. 扼杀；使窒息；藏匿
vi. 窒息；被扼杀"
unprecedented,adj. 空前的；无前例的
hive,"n. 蜂房，蜂巢；热闹的场所；熙攘喧闹的人群
vi. 群居；入蜂房；生活在蜂房中
vt. 入蜂箱；贮备"
atrocity,n. 暴行；凶恶，残暴
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
deplore,vt. 谴责；悲悼；哀叹；对…深感遗憾
preoccupy,vt. 迷住；使全神贯注
animate,"adj. 有生命的
vt. 使有生气；使活泼；鼓舞；推动"
waive,vt. 放弃；搁置
beckon,"vt. 召唤；吸引
vi. 吸引；（招手或点头）示意
n. 表召唤的点头；手势"
cleanse,vt. 净化；使…纯净；使…清洁
tribune,n. 护民官；讲坛；看台；公民权利保护者
humane,adj. 仁慈的，人道的；高尚的
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
sanctuary,n. 避难所；至圣所；耶路撒冷的神殿
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
whereabouts,"n. 下落；行踪；去向；所在之处
adv. 在何处；靠近什么地方"
rattle,"vt. 使发出咯咯声；喋喋不休；使慌乱，使惊慌
vi. 喋喋不休地讲话；发出卡嗒卡嗒声
n. 喋喋不休的人；吓吱声，格格声"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
acquaint,vt. 使熟悉；使认识
graphic,adj. 形象的；图表的；绘画似的
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
combination,n. 结合；组合；联合； 化合
fellowship,n. 团体；友谊；奖学金；研究员职位
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
wrench,"n. 扳手，扳钳；扭伤；痛苦；歪曲；猛扭
vt. 扭伤；猛扭；曲解；折磨
vi. 扭伤；猛扭；猛绞"
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
commemorate,vt. 庆祝，纪念；成为…的纪念
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
odor,n. 气味；名声
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
intersection,n. 交叉；十字路口；交集；交叉点
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
avail,"vi. 有益于，有益于；使对某人有利。
vt. 有益于，有益于；使对某人有利。
n. 效用，利益"
quarterly,"n. 季刊
adj. 季度的，按季度的；一年四次的
adv. 按季度， 一季一次地；纵横四分地"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
excessive,adj. 过多的，极度的；过分的
peninsula,n. 半岛
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
album,n. 相簿；唱片集；集邮簿；签名纪念册
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
graze,"n. 放牧；轻擦
vi. 吃草；擦伤
vt. 放牧；擦伤"
electricity,n. 电力；电流；强烈的紧张情绪
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
eject,vt. 喷射；驱逐，逐出
wretched,adj. 可怜的；卑鄙的；令人苦恼或难受的
reception,n. 接待；接收；招待会；感受；反应
myth,n. 神话；虚构的人，虚构的事
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
midst,"n. 当中，中间
prep. 在…中间（等于amidst）"
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
yacht,"n. 游艇，快艇；轻舟
vi. 乘游艇，驾游艇"
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
deserve,"vi. 应受，应得
vt. 应受，应得"
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
notwithstanding,"adv. 尽管，仍然
prep. 尽管，虽然
conj. 虽然"
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
cholesterol,n.  胆固醇
absence,n. 没有；缺乏；缺席；不注意
defiance,n. 蔑视；挑战；反抗
situated,"v. 使位于；使处于（situate的过去分词）
adj. 位于…的；处于…境遇的"
bracket,"n. 支架；括号；墙上凸出的托架
vt. 括在一起；把…归入同一类；排除"
fabricate,vt. 制造；伪造；装配
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
reservation,n. 预约，预订；保留
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
inlet,"n. 入口，进口；插入物；水湾
v. 引进; 嵌入; 插入;"
yoke,"n. 轭；束缚；牛轭
vt. 结合；给…上轭
vi. 结合；匹配"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
considerable,adj. 相当大的；重要的，值得考虑的
dole,"n. 失业救济金；赈济物；施舍品
vt. 发放救济；以小份发给"
decimal,"n. 小数
adj. 小数的；十进位的"
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
precise,adj. 精确的；明确的；严格的
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
zinc,"n. 锌
vt. 镀锌于…; 在…上镀锌"
porridge,"n. 粥，糊；麦片粥
vt. 服刑"
maritime,adj. 海的；海事的；沿海的；海员的
malpractice,n. 玩忽职守；不法行为；治疗不当
vest,"n. 背心；汗衫
vt. 授予；使穿衣
vi. 归属；穿衣服"
derail,"n. 脱轨； 脱轨器
vt. 使出轨
vi. 出轨"
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
milestone,n. 里程碑，划时代的事件
sarcasm,n. 讽刺；挖苦；嘲笑
benevolent,adj. 仁慈的；慈善的；亲切的
override,"vt. 推翻；不顾；践踏
n. 代理佣金"
manifestation,n. 表现；显示；示威运动
syndicate,"n. 辛迪加；企业联合；财团
vt. 把…联合成辛迪加；在多家报刊上同时发表
vi. 联合成辛迪加；组成企业联合组织"
spider,n. 蜘蛛；设圈套者；三脚架
infringe,"vt. 侵犯；违反；破坏
vi. 侵犯；侵害"
jockey,"vt. 驾驶；欺骗；移动
n. 操作工；驾驶员；赛马的骑师
vi. 当赛马的骑师；耍手段图谋；搞欺骗"
ail,"n. 病痛，苦恼
vi. 生病
vt. 使苦恼，使烦恼"
doze,"n. 瞌睡
vi. 打瞌睡；假寐
vt. 打瞌睡度过"
cosmopolitan,"n. 四海为家者；世界主义者；世界各地都有的东西
adj. 世界性的；世界主义的，四海一家的"
cricket,n. 板球，板球运动；蟋蟀
debris,n. 碎片，残骸
dissident,"n. 持不同政见者，意见不同的人
adj. 持不同政见的，意见不同的"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
choir,"n. 唱诗班；合唱队；舞蹈队
vt. 合唱
vi. 合唱"
petrochemical,"n. 石油化学产品
adj. 石化的"
metabolism,n.  新陈代谢
dinosaur,n. 恐龙；过时、落伍的人或事物
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
tournament,n. 锦标赛，联赛；比赛
ridge,"n. 山脊；山脉；屋脊
vt. 使成脊状；作垄
vi. 成脊状"
peep,"n. 偷看；隐约看见，瞥见
vi. 窥视；慢慢露出，出现；吱吱叫
vt. 使出现"
showcase,"n. 陈列橱， 陈列柜；显示优点的东西
vt. 使展现；在玻璃橱窗陈列"
protocol,"n. 协议；草案；礼仪
vt. 拟定
vi. 拟定"
aristocrat,n. 贵族
stationery,n. 文具；信纸
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
electoral,adj. 选举的；选举人的
custody,n. 保管；监护；拘留；抚养权
snail,"n. 蜗牛；迟钝的人
vt. 缓慢移动
vi. 缓慢移动"
monotony,n. 单调；千篇一律
stout,"n. 矮胖子；烈性啤酒
adj. 结实的；矮胖的；勇敢的；激烈的"
rigor,n. 严厉；精确；苛刻；僵硬
rehearse,"vt. 排练；预演
vi. 排练；演习"
legacy,n. 遗赠，遗产
crouch,"n. 蹲伏
vt. 低头；屈膝
vi. 蹲伏，蜷伏；卑躬屈膝"
caravan,"n. （可供居住的）拖车，大篷车；（穿过沙漠地带的）旅行队（如商队）；<英>活动住宅；<美>移民列车
vi. 乘拖车度假；参加旅行队旅行"
lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
bass,"n. 鲈鱼；男低音；低音部；椴树
adj. 低音的"
paradigm,n. 范例；词形变化表
parrot,"n. 鹦鹉；学舌者，应声虫；机械模仿别人的人
vt. 机械地模仿"
depot,"n. 仓库；停车场；航空站
adj. 药性持久的
vt. 把…存放在储藏处"
repress,"vt. 抑制；镇压（叛乱等）；约束
vi. 抑制；镇压"
amiable,adj. 和蔼可亲的，亲切的
wicked,adj. 邪恶的；恶劣的；不道德的；顽皮的
midwife,"n. 助产士；促成因素
vt. 助胎儿出生；促成"
polytechnic,"n. 工艺学校；理工专科学校
adj. 各种工艺的；综合技术的"
cram,"n. 死记硬背；极度拥挤
adj. 填鸭式学的
vi. 狼吞虎咽地吃东西；死记硬背功课
vt. 填满，塞满；死记硬背；猛吃"
embroidery,n. 刺绣；刺绣品；粉饰
hectic,"n. 脸红；患肺结核
adj. 兴奋的，狂热的；脸上发红；肺病的；忙碌的"
mentor,"n. 指导者，良师益友
vt. 指导"
trillion,"num.  万亿
n.  万亿
adj. 万亿的"
entrust,vt. 委托，信托
haven,"n. 港口；避难所，安息所
vt. 为……提供避难处；安置……于港中"
socket,"n. 插座；窝，穴；牙槽
vt. 给…配插座"
dogma,n. 教条，教理；武断的意见
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
fragrant,adj. 芳香的；愉快的
crave,"vi. 渴望；恳求
vt. 渴望；恳求"
deregulate,"vt. 解除对……的管制
vi. 解除控制"
beware,"vt. 注意，当心；提防
vi. 当心，小心"
lucrative,adj. 有利可图的，赚钱的；合算的
coup,"n. 政变；妙计；出乎意料的行动；砰然的一击
vt. 使…颠倒；使…倾斜
vi. 推倒；倾斜；溢出"
volatile,"n. 挥发物；有翅的动物
adj.  挥发性的；不稳定的；爆炸性的；反复无常的"
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
statute,n.  法规；法令；条例
turmoil,n. 混乱，骚动
barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
inborn,adj. 天生的；先天的
delude,vt. 欺骗；哄骗；诱惑；迷惑；逃避；使失望
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
crunch,"n. 咬碎，咬碎声；扎扎地踏
vt. 压碎；嘎扎嘎扎的咬嚼；扎扎地踏过
vi. 嘎吱作响地咀嚼；嘎吱嘎吱地踏过"
impromptu,"n. 即兴曲；即席演出
adj. 即席的
adv. 即席地"
abut,"vt. 邻接；毗邻；紧靠
vi. 邻接；毗邻；紧靠"
alarmist,"n. 杞人忧天者；大惊小怪者
adj. 危言耸听的；忧虑的"
allegiance,n. 效忠，忠诚；忠贞
appreciable,adj. 可感知的；可评估的；相当可观的
aroma,n. 芳香
arson,n. 纵火；纵火罪
assessor,n. 评审员；确定税款的人；顾问
audible,"adj. 听得见的
听得见地"
auditory,"n. 听众；礼堂
adj. 听觉的；耳朵的"
bloodshed,n. 流血；杀戮
brittle,adj. 易碎的，脆弱的；易生气的
budge,"n. 羔羊皮
vt. 使让步；移动；使改变态度或意见
vi. 挪动；微微移动；改变态度或意见；服从"
carcass,n. （人或动物的）尸体；残骸；（除脏去头备食用的）畜体
combustion,n. 燃烧，氧化；骚动
cosmonaut,n. （俄）宇航员（等于astronaut）
curt,adj. 简略的；简要的；草率的；简单粗暴的
decode,"vt. 译(密码文电等)，译(码)，解(码)等：；(尤指在学习过程中)把拼写和读音关系用于(阅读)
vi. 从事破译(或解译)工作"
disproportionate,"adj. 不成比例的
不成比例地"
downfall,n. 垮台；衰败；落下；大雨
downplay,vt. 不予重视；将...轻描淡写
duke,n. 公爵，（公国的）君主；公爵（种）樱桃
dyslexia,n. 难语症； 诵读困难；阅读障碍
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
envious,adj. 羡慕的；嫉妒的
feudal,adj. 封建制度的；领地的；世仇的
fin,"n. 鳍；鱼翅；鳍状物
vt. 切除鳍；装上翅
vi. 猛挥鳍；潜泳"
ford,"n. 浅滩；Ford：福特汽车公司
vt. 涉过；徒涉
vi. 涉水而过"
fore,"n. 前部；船头
prep. 在前
adj. 以前的；在前部的
adv. 在前面；在船头
int. （打高尔夫球者的叫声）让开！"
groom,"vi. 打扮
vt. 整饰；推荐；喂马；刷洗（马等）
n. 新郎；马夫；男仆"
holder,n. 持有人；所有人；固定器；（台、架等）支持物
informed,"v. 通知；使了解；提供资料（inform的过去分词）
adj. 消息灵通的；见多识广的"
infusion,n. 灌输；浸泡；注入物；激励
innate,adj. 先天的；固有的；与生俱来的
intercity,adj. 城市间的
intestine,"n. 肠
adj. 内部的；国内的"
itinerary,"n. 旅程，路线； 旅行日程
adj. 旅程的； 巡回的，流动的"
juggle,"vi. 玩杂耍；欺骗；歪曲
vt. 歪曲；欺骗
n. 玩戏法；欺骗"
kerosene,n. 煤油，火油
malnutrition,n. 营养失调，营养不良
