guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
emphasize,vt. 强调，着重
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
outcome,n. 结果，结局；成果
lean toward,"v. 倾向
 倾向于；倾身靠近；偏爱"
procedure,n. 程序，手续；步骤
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
indiscriminately,adv. 不加选择地；任意地
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
regardless of,"prep. 不管；不顾；不理会
 不论；无论；不注意"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
surgical,"n. 外科手术；外科病房
adj. 外科的；手术上的"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
threat,n. 威胁，恐吓；凶兆
be blind to,"na. 不明
 对…是盲目的；不了解；对……视而不见"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
result in,"na. 终于(失败)
 导致；结果是；造成"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
evidence-based,adj. 基于证据的
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
marked,"adj. 显著的；有记号的
v. 表示（mark的过去分词）；作记号；打分数"
chronic,adj. 慢性的；长期的；习惯性的
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
attractive,adj. 吸引人的；有魅力的；引人注目的
reconcile,vt. 使一致；使和解；调停，调解；使顺从
salary,"n. 薪水
vt. 给...加薪；给...薪水"
decade,n. 十年，十年期；十
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
option,n.  选项；选择权；买卖的特权
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
species,"n.  物种；种类
adj. 物种上的"
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
radiation,n. 辐射；发光；放射物
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
protein,"n. 蛋白质；朊
adj. 蛋白质的"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
response,n. 响应；反应；回答
genetic,adj. 遗传的；基因的；起源的
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
tan,"vi. 晒成棕褐色
adj. 黄褐色的；鞣皮的
n. （日晒后皮肤的）黝黑色；棕褐色；鞣料；马戏团
vt. 鞣（革）；晒成褐色"
overdose,"vt. 配药过量；使过分沉溺
n. 药量过多（等于overdosage）
vi. 服药过量；过分沉溺"
effectively,adv. 有效地，生效地；有力地；实际上
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
molecule,n.  分子；微小颗粒，微粒
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
consequence,n. 结果；重要性；推论
endangered,adj. 濒临灭绝的；有生命危险的
exposure,n. 暴露；曝光；揭露；陈列
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
inherent,adj. 固有的；内在的；与生俱来的，遗传的
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
biologist,n. 生物学家
lest,conj. 唯恐，以免；担心
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
parking lot,"n. 停车场
 停车处；停车位；平面停车场"
bureaucracy,n. 官僚主义；官僚机构；官僚政治
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
gratitude,n. 感谢（的心情）；感激
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
headlight,n. 汽车等的前灯；船上的桅灯；矿工和医生用的帽灯
motel,n. 汽车旅馆
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
nesting,"n.  嵌套；造巢；镶嵌
v. 为…筑巢；整天呆在家里；使套入（nest的ing形式）"
creature,n. 动物，生物；人；创造物
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
fairness,n. 公平；美好；清晰；顺利性
species,"n.  物种；种类
adj. 物种上的"
environmental,adj. 环境的，周围的；有关环境的
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
endangered,adj. 濒临灭绝的；有生命危险的
notion,n. 概念；见解；打算
worrisome,adj. 令人烦恼的，令人不安的；麻烦的
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
threatened,"v. 威胁（threaten的过去分词）
adj. 受到威胁的"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
obvious,adj. 明显的；显著的；平淡无奇的
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
take a heavy toll on,找不到解释
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
ecosystem,n. 生态系统
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
outlive,vt. 比…活得长；比…经久；经受住；渡过…而存在
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
interference,n. 干扰，冲突；干涉
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
ultimately,adv. 最后；根本；基本上
meet one's end,"na. 死
 送死"
affection,n. 喜爱，感情；影响；感染
prediction,n. 预报；预言
tropical,adj. 热带的；热情的；酷热的
exclusively,adv. 唯一地；专有地；排外地
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
carbon dioxide,"n. 二氧化碳
 一氧化碳；二氧货碳；碳酐"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
equal to,"v. 等于
 相等；胜任；相等，胜任"
emission,n. （光、热等的）发射，散发；喷射；发行
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
clear-cutting,皆伐（clear-cut的现在分词）
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
wishful,adj. 渴望的，愿望的；寄予希望的
liability,n. 责任；债务；倾向；可能性；不利因素
tailpipe,n. 排气管
speed up,"na. 加快(机器等的)速度；使加紧做
 加速；加快速度；增加速度"
eventually,adv. 最后，终于
atmosphere,n. 气氛；大气；空气
source,n. 来源；水源；原始资料
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
plot against, 暗算；比喻用不正当手段暗害别人；暗中图谋伤害或陷害
drought,n. 干旱；缺乏
moisture,n. 水分；湿度；潮湿；降雨量
drive up,"un. 抬高；加速传动；起跨；开车赶到
 哄抬；驱车来到；投机商人起哄抬高"
runaway,"n. 逃跑；逃走的人
adj. 逃亡的；逃走的"
reckless,adj. 鲁莽的，不顾后果的；粗心大意的
prolonged,adj. 延长的；拖延的；持续很久的
rob,"vt. 抢劫；使…丧失；非法剥夺
vi. 抢劫；掠夺"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
invariably,adv. 总是；不变地；一定地
vicious cycle,"na. 恶性循环；循环论法
 恶性循环理论；恶性偱环；周而复始的恶圈"
paradise,"n. 天堂
至福境地"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
off course,"un. 偏离航线；偏航
 偏离轨道；离开航线；不在规定的轨道上"
in a sense,"na. 在某种意义上；有一点儿
 从某种意义上说；就某种意义来说；就某种意义而言"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
domino effect,"n. 多米诺（骨牌）效应；连锁反应
 骨牌效应；多米诺效应；多米诺骨牌效应"
basin,n. 水池；流域；盆地；盆
get a glimpse of,"na. 瞥见；看一眼
 瞥见了；窥见；目睹"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
periodically,adv. 定期地；周期性地；偶尔；间歇
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
creature,n. 动物，生物；人；创造物
sustain,vt. 维持；支撑，承担；忍受；供养；证实
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
undisturbed,adj. 安静的；镇定的；未被扰乱的；泰然自若的
migration,n. 迁移；移民；移动
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
destructive,adj. 破坏的；毁灭性的；有害的，消极的
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
nest,"n. 巢，窝；安乐窝；温床
vt. 筑巢；嵌套
vi. 筑巢；找鸟巢"
sufficiently,adv. 充分地；足够地
singular,"n. 单数
adj. 单数的；单一的；非凡的；异常的"
commence,v. 开始；着手；<英>获得学位
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
drown,"vt. 淹没；把…淹死
vi. 淹死；溺死"
phenomenon,n. 现象；奇迹；杰出的人才
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
theory,n. 理论；原理；学说；推测
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
obstacle,n. 障碍，干扰；妨害物
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
toxic,adj. 有毒的；中毒的
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
impoverished,"adj. 穷困的；用尽了的，无创造性的
v. 使贫困（impoverish的过去分词）"
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
recycling,"n. （资源、垃圾的）回收利用
v. 回收；再循环利用（recycle的现在分词）"
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
exposure,n. 暴露；曝光；揭露；陈列
pregnant,adj. 怀孕的；富有意义的
irreversible,adj. 不可逆的；不能取消的；不能翻转的
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
dispose of,"na. 安排；解决；办妥；杀掉
 处理；除掉；处置"
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
processing,v. 加工； 处理；对…起诉（process的ing形式）
be confined to, 局限于；限制在；限制在，局限于
manufacturer,n. 制造商； 厂商
electronic,"adj. 电子的
n. 电子电路；电子器件"
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
confirm,vt. 确认；确定；证实；批准；使巩固
treaty,n. 条约，协议；谈判
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
convention,n. 大会； 惯例； 约定； 协定；习俗
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
traffic in, 非法进行交易；交通阻塞
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
enormously,adv. 巨大地，庞大地；非常地，在极大程度上
deliberately,adv. 故意地；谨慎地；慎重地
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于"
weld,"n. 焊接；焊接点
vt. 焊接；使结合；使成整体
vi. 焊牢"
discarded,"v. 丢弃（discard的过去分词）
adj. 丢弃的；废弃的"
technique,n. 技巧，技术；手法
disassembly,n. 拆卸；分解
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
absence,n. 没有；缺乏；缺席；不注意
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
outlive,vt. 比…活得长；比…经久；经受住；渡过…而存在
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
nonprofit,adj. 非盈利的；不以盈利为目的的
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
play a role, 扮演角色；起作用；发挥作用
hold on to,"na. 赖着不走
 坚持；紧紧抓住；抓住不放"
certified,"v. 证明，证实；颁发合格证书（certify的过去分词形式）
adj. 被证明的；有保证的；具有证明文件的"
ensure,vt. 保证，确保；使安全
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
category,n. 种类，分类； 范畴
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
anxiety disorder, 焦虑症；焦虑性障碍；焦虑障碍
psychiatrist,n. 精神病学家，精神病医生
undesirable,"n. 不良分子；不受欢迎的人
adj. 不良的；不受欢迎的；不合需要的"
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
in response to,"na. 应…而
 响应；回答；对…做出反应"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
opportunity,n. 时机，机会
tolerate,vt. 忍受；默许；宽恕
wear out,"na. 精疲力尽；用坏；穿破；磨破
 磨损；穿坏；穿旧"
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
capacity,n. 能力；容量；资格，地位；生产力
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
visibly,adv. 明显地；显然；看得见地
be exposed to, 暴露于；面临；暴露在
chronic,adj. 慢性的；长期的；习惯性的
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
violence,n. 暴力；侵犯；激烈；歪曲
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
wear-and-tear, 磨损
devastating,"adj. 毁灭性的；全然的
v. 摧毁（devastate的ing形式）；毁坏"
tend to,"v. 倾向于；有助于
 趋向；趋于；往往"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
interpersonal,adj. 人际的；人与人之间的
one-shot,adj. 只有一次的
relationship,n. 关系；关联
give birth to, 生（孩子），生育; 引起，产生; 娩出; 娩
frustration,n. 挫折
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
paycheck,n. 付薪水的支票，薪水
determined,"v. 决定；断定（determine的过去分词）
adj. 决定了的；坚决的"
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
debt,n. 债务；借款；罪过
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
obligation,n. 义务；职责；债务
demonstrate,"vt. 证明；展示；论证
vi. 示威"
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
indicate,vt. 表明；指出；预示；象征
tug,"n. 拖船；拖曳；苦干
vt. 用力拉；较量；用拖船拖
vi. 用力拉；竞争；努力做"
regardless of,"prep. 不管；不顾；不理会
 不论；无论；不注意"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
urgent,adj. 紧急的；急迫的
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
innate,adj. 先天的；固有的；与生俱来的
personality,n. 个性；品格；名人
complexity,n. 复杂，复杂性；复杂错综的事物
tendency,n. 倾向，趋势；癖好
intuition,n. 直觉；直觉力；直觉的知识
unmotivated,adj. 动机不明的
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
capacity,n. 能力；容量；资格，地位；生产力
strap,"n. 带；皮带；磨刀皮带；鞭打
vt. 用带捆绑；用皮条抽打；约束
vi. 精力旺盛地工作；受束缚"
slightly,adv. 些微地，轻微地；纤细地
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
poverty,n. 贫困；困难；缺少；低劣
attentive,adj. 留意的，注意的
the other way around,"na. 从相反方向；用相反方式
 倒过来；反过来；相反地"
humanity,n. 人类；人道；仁慈；人文学科
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
foundation,n. 基础；地基；基金会；根据；创立
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
personal identity, 个人身份；个人认同；同一性
intelligent,adj. 智能的；聪明的；理解力强的
self-concept,n. 自我概念
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
profound,adj. 深厚的；意义深远的；渊博的
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
connection,n. 连接；关系；人脉；连接件
deprive,vt. 使丧失，剥夺
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
severely,adv. 严重地；严格地，严厉地；纯朴地
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
emotional,adj. 情绪的；易激动的；感动人的
be linked to, 与…有联系；与…有关；与……相联系
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
conclusion,n. 结论；结局；推论
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
consistently,adv. 一贯地；一致地；坚实地
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
statistically,adv. 统计地；统计学上
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
precisely,adv. 精确地；恰恰
inventory,n. 存货，存货清单；详细目录；财产清册
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
disposable,adj. 可任意处理的；可自由使用的；用完即可丢弃的
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
on-trend, 流行；衰止
dirt-cheap,"adj. 毫无价值的；贱如粪土的；非常便宜的
adv. 非常便宜地"
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
mass-market,adj. 销售量大的；畅销的
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
anticipate,vt. 预期，期望；占先，抢先；提前使用
turnaround,n. 转变；转向；突然好转；回车道
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
conscious,adj. 意识到的；故意的；神志清醒的
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
wardrobe,n. 衣柜；行头；全部戏装
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
accustom,vt. 使习惯于
victim,n. 受害人；牺牲品；牺牲者
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
low-wage,低工资
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
resource,n. 资源，财力；办法；智谋
revolution,n. 革命；旋转；运行；循环
rely on,"v. 依靠；信赖
 依赖；依仗；凭借"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
massive,adj. 大量的；巨大的，厚重的；魁伟的
non-durable, 不耐用物品
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
roughly,adv. 粗糙地；概略地
give away,"na. 赠送；分发；放弃；露马脚
 泄露；出卖；分送"
lead to,"na. 通向
 导致；引起；通往"
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
environment,n. 环境，外界
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
idealism,n. 唯心主义，理想主义；理念论
sustainability,n. 持续性；永续性；能维持性
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
lasting,"adj. 持久的；永恒的
n.  厚实斜纹织物
v. 持续；维持（last的ing形式）"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
vanity,n. 虚荣心；空虚；浮华；无价值的东西
afford,vt. 给予，提供；买得起
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
motivate,vt. 刺激；使有动机；激发…的积极性
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
miserly,adj. 吝啬的；贪婪的
