relationship,n. 关系；关联
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
hydrogen,n.  氢
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
capable,adj. 能干的，能胜任的；有才华的
sin,"n. 罪恶；罪孽；过失
vt. 犯罪
vi. 犯罪；犯过失"
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
radiation,n. 辐射；发光；放射物
symbolic,adj. 象征的；符号的；使用符号的
subsequent,adj. 后来的，随后的
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
publicity,n. 宣传，宣扬；公开；广告；注意
loosen,"vt. 放松；松开
vi. 放松；松开"
destruction,n. 破坏，毁灭；摧毁
deputy,"n. 代理人，代表
adj. 副的；代理的"
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
agreeable,adj. 令人愉快的；适合的；和蔼可亲的
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
segment,"n. 段；部分
vt. 分割
vi. 分割"
hay,"n. 干草
vt. 把晒干
vi. 割草晒干"
vigorous,adj. 有力的；精力充沛的
apparent,adj. 显然的；表面上的
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
variation,n. 变化； 变异，变种
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
mode,n. 模式；方式；风格；时尚
sincere,adj. 真诚的；诚挚的；真实的
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
assembly,n. 装配；集会，集合
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
refusal,n. 拒绝；优先取舍权；推却；取舍权
concerning,"prep. 关于；就…而言
v. 涉及；使关心（concern的ing形式）；忧虑"
agenda,n. 议程；日常工作事项；日程表
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
continuous,adj. 连续的，持续的；继续的；连绵不断的
duration,"n. 持续，持续的时间，期间
音长，音延"
nationwide,"adj. 全国范围的；全国性的
adv. 在全国"
paperwork,n. 文书工作
handy,adj. 便利的；手边的，就近的；容易取得的；敏捷的
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
membership,n. 资格；成员资格；会员身份
humankind,n. 人类（总称）
cautious,adj. 谨慎的；十分小心的
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
gum,"n. 口香糖；树胶；橡皮
vt. 用胶粘，涂以树胶；使…有粘性"
indirect,adj. 间接的；迂回的；非直截了当的
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
knot,"n. （绳等的）结；节瘤，疙瘩；海里/小时（航速单位）
vt. 打结
vi. 打结"
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
bonus,n. 奖金；红利；额外津贴
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
logical,adj. 合逻辑的，合理的；逻辑学的
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
acceptance,n. 接纳；赞同；容忍
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
accordingly,adv. 因此，于是；相应地；照著
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
attraction,n. 吸引，吸引力；引力；吸引人的事物
soda,n. 苏打；碳酸水
petroleum,n. 石油
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
personally,adv. 亲自地；当面；个别地；就自己而言
repeatedly,adv. 反复地；再三地；屡次地
printing,n. 印刷；印刷术
rod,n. 棒；惩罚；枝条；权力
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
architect,"n. 建筑师
缔造者"
journal,n. 日报，杂志；日记；分类账
rational,"n. 有理数
adj. 合理的；理性的"
contestant,n. 竞争者；争辩者
assert,vt. 维护，坚持；断言；主张；声称
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
profound,adj. 深厚的；意义深远的；渊博的
probable,"n. 很可能的事；大有希望的候选者
adj. 很可能的；可信的"
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
vessel,n. 船，舰； 脉管，血管；容器，器皿
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
religion,n. 宗教；宗教信仰
cruelty,n. 残酷；残忍；残酷的行为
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
commerce,n. 贸易；商业；商务
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
rail,"n. 铁轨；扶手；横杆；围栏
vt. 铺铁轨；以横木围栏
vi. 抱怨；责骂"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
carriage,n. 运输；运费；四轮马车；举止；客车厢
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
manufacturer,n. 制造商； 厂商
boundary,n. 边界；范围；分界线
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
extensive,adj. 广泛的；大量的；广阔的
frighten,"vt. 使惊吓；吓唬…
vi. 害怕，惊恐"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
definition,n. 定义； 清晰度；解说
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
ankle,n. 踝关节，踝
considering,"conj. 考虑到
prep. 考虑到；就...而论
v. 考虑到（consider的ing形式）"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
farewell,"n. 告别，辞别；再见；再会
adj. 告别的
int. 别了！（常含有永别或不容易再见面的意思）；再会！"
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
respective,adj. 分别的，各自的
strap,"n. 带；皮带；磨刀皮带；鞭打
vt. 用带捆绑；用皮条抽打；约束
vi. 精力旺盛地工作；受束缚"
classification,n. 分类；类别，等级
given,"prep. 考虑到
v. 给予（give的过去分词）
adj. 赠予的；沉溺的；规定的"
mug,"n. 杯子；脸；苦读者
vi. 扮鬼脸，做怪相
vt. 行凶抢劫"
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
thirst,"n. 渴望；口渴；热望
vi. 渴望；口渴"
liberty,n. 自由；许可；冒失
convention,n. 大会； 惯例； 约定； 协定；习俗
horizontal,"n. 水平线，水平面；水平位置
adj. 水平的；地平线的；同一阶层的"
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
resemble,vt. 类似，像
beneath,"prep. 在…之下
adv. 在下方"
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
pat,"n. 轻拍；小块；轻拍声
adj. 恰好的；熟练的；合适的
vt. 轻拍
adv. 恰好；熟记地
vi. 轻拍"
ridiculous,adj. 可笑的；荒谬的
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
kneel,vi. 跪下，跪
pinch,"n. 匮乏；少量；夹痛
vt. 捏；勒索；使苦恼；掐掉某物，修剪
vi. 夹痛；节省"
ridge,"n. 山脊；山脉；屋脊
vt. 使成脊状；作垄
vi. 成脊状"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
undertake,vt. 承担，保证；从事；同意；试图
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
expel,vt. 驱逐；开除
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
molecule,n.  分子；微小颗粒，微粒
behalf,n. 代表；利益
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
worthwhile,adj. 值得做的，值得花时间的
imperial,"n. 纸张尺寸；特等品
adj. 帝国的；皇帝的；至高无上的；威严的"
operational,adj. 操作的；运作的
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
spectacular,adj. 壮观的，惊人的；公开展示的
trifle,"n. 琐事；蛋糕；少量
vt. 浪费；虚度
vi. 开玩笑；闲混；嘲弄"
applicable,adj. 可适用的；可应用的；合适的
democracy,n. 民主，民主主义；民主政治
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
abolish,vt. 废除，废止；取消，革除
publication,n. 出版；出版物；发表
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
omit,vt. 省略；遗漏；删除；疏忽
diagram,"n. 图表；图解
vt. 用图解法表示"
literacy,n. 读写能力；精通文学
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
rotten,"adj. 腐烂的；堕落的；恶臭的；虚弱的；极坏的
adv. 非常"
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
fertilizer,n.  肥料；受精媒介物；促进发展者
nourish,vt. 滋养；怀有；使健壮
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
lick,"vt. 舔；卷过；鞭打
vt. （非正式）战胜
vi. 舔；轻轻拍打
n. 舔；打；少许"
bacteria,n.  细菌
receipt,"n. 收到；收据；收入
vt. 收到"
succession,n. 连续；继位；继承权； 演替
successive,adj. 连续的；继承的；依次的；接替的
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
certainty,n. 必然；确实；确实的事情
ministry,n. （政府的）部门
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
bulletin,"n. 公告，公报
vt. 公布，公告"
occasional,adj. 偶然的；临时的；特殊场合的
siege,"n. 围攻；包围；围城；不断袭击；长期努力
vt. 围攻；包围"
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
trunk,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内"
excellence,n. 优秀；美德；长处
proportional,"n.  比例项
adj. 比例的，成比例的；相称的，均衡的"
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
chaotic,adj. 混沌的；混乱的，无秩序的
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
roar,"n. 咆哮；吼；轰鸣
vi. 咆哮；吼叫；喧闹
vt. 咆哮；呼喊；使……轰鸣"
theoretical,adj. 理论的；理论上的；假设的；推理的
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
oily,adj. 油的；油质的；油滑的；油腔滑调的
slam,"n. 猛击；砰然声
vi. 砰地关上；猛力抨击
vt. 砰地关上；猛力抨击"
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
sharpen,"vt. 削尖；磨快；使敏捷；加重
vi. 尖锐；变锋利"
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
archive,"n. 档案馆；档案文件
vt. 把…存档"
correspondent,n. 通讯记者；客户；通信者；代理商行
infection,n. 感染；传染；影响；传染病
notify,vt. 通告，通知；公布
quiver,"n. 颤抖；箭袋；震动
vi. 颤抖；振动
vt. 使…颤动；抖动"
sake,n. 目的；利益；理由；日本米酒
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
stoop,"n. 弯腰，屈背；屈服
vt. 辱没，堕落；俯曲
vi. 弯腰；屈服；堕落"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
damn,"n. 一点；诅咒
vt. 谴责；罚…下地狱
adj. 可恶的
adv. 非常
vi. 谴责
int. 讨厌"
minus,"prep. 减，减去
n. 负号，减号；不足；负数
adj. 减的；负的"
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
simplicity,n. 朴素；简易；天真；愚蠢
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
beloved,"n. 心爱的人；亲爱的教友
adj. 心爱的；挚爱的"
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）"
mutual,adj. 共同的；相互的，彼此的
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
preferable,adj. 更好的，更可取的；更合意的
seminar,n. 讨论会，研讨班
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
intensity,n. 强度；强烈； 亮度；紧张
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
hedge,"v. 用树篱笆围住；避免作正面答复
n. 对冲，套期保值；树篱；障碍"
removal,n. 免职；移动；排除；搬迁
sideways,"adj. 向侧面的；一旁的
adv. 向侧面地；向一旁"
timber,n. 木材；木料
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
preceding,"v. 在...之前（precede的ing形式）
adj. 在前的；前述的"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
rouse,"n. 觉醒；奋起
vt. 唤醒；激起，使振奋；惊起
vi. 醒来；奋起"
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
subdivide,"vt. 把……再分，把……细分
vi. 细分，再分"
brow,n. 眉，眉毛；额；表情
dial,"n. 转盘；刻度盘；钟面
vt. 给…拨号打电话
vi. 拨号"
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
reunite,"vi. 重聚；再结合；再联合
vt. 使重聚；使再结合；使再联合"
owing,"adj. 未付的；欠着的
v. 欠；把…归功于（owe的ing形式）"
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
shove,"n. 推；挤
vt. 挤；强使；撞；猛推"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
whip,"n. 鞭子；抽打；车夫； 搅拌器
vt. 抽打；煽动；搅打（蛋，奶油）；彻底击败
vi. 抽打；急走；拍击"
briefcase,n. 公文包
erosion,n. 侵蚀，腐蚀
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
cellar,"n. 地窖；酒窖；地下室
vt. 把…藏入地窖"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
shiver,"n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
innocence,n. 清白，无罪；天真无邪
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
restless,adj. 焦躁不安的；不安宁的；得不到满足的
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
transparent,adj. 透明的；显然的；坦率的；易懂的
graceful,adj. 优雅的；优美的
plow,"n.  犁；似犁的工具；北斗七星
vt.  犁；耕；开路
vi.  犁；耕地；破浪前进；开路"
risky,adj. 危险的；冒险的；（作品等）有伤风化的
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
headquarters,n. 总部；指挥部；司令部
occupy,vt. 占据，占领；居住；使忙碌
proficiency,n. 精通，熟练
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
spine,n. 脊柱，脊椎；刺；书脊
embarrass,vt. 使局促不安；使困窘；阻碍
liberate,vt. 解放；放出；释放
presumably,adv. 大概；推测起来；可假定
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
childlike,adj. 天真烂漫的；孩子似的
hatred,n. 憎恨；怨恨；敌意
pregnant,adj. 怀孕的；富有意义的
quake,"vi. 震动；颤抖
n. 地震；颤抖"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
cheerful,adj. 快乐的；愉快的；高兴的
protein,"n. 蛋白质；朊
adj. 蛋白质的"
sack,"n. 麻布袋；洗劫
vt. 解雇；把……装入袋；劫掠"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
checkpoint,n. 检查站，关卡
foresee,vt. 预见；预知
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
optical,adj. 光学的；眼睛的，视觉的
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
album,n. 相簿；唱片集；集邮簿；签名纪念册
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
parliament,n. 议会，国会
commence,v. 开始；着手；<英>获得学位
spontaneous,adj. 自发的；自然的；无意识的
whistle,"n. 口哨；汽笛；呼啸声
vt. 吹口哨；鸣汽笛"
auction,"n. 拍卖
vt. 拍卖；竞卖"
eternal,adj. 永恒的；不朽的
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
physician,n.  医师；内科医师
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
slender,adj. 细长的；苗条的；微薄的
aspiration,n. 渴望；抱负；送气；吸气；吸引术
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
marginal,adj. 边缘的；临界的；末端的
provoke,vt. 驱使；激怒；煽动；惹起
satisfied,"v. 使满意（satisfy的过去式）
adj. 感到满意的"
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
outset,n. 开始；开端
coarse,adj. 粗糙的；粗俗的；下等的
gratitude,n. 感谢（的心情）；感激
weave,"vi. 纺织；编成；迂回行进
vt. 编织；编排；使迂回前进
n. 织物；织法；编织式样"
rag,"n. 破布；碎屑
vt. 戏弄；责骂
vi. 变破碎；穿着讲究"
enforce,vt. 实施，执行；强迫，强制
speciality,n. 专业，专长；特性
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
county,n. 郡，县
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
pave,vt. 铺设；安排；作铺设之用
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
realm,n. 领域，范围；王国
thereby,adv. 从而，因此；在那附近；在那方面
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
pillar,"n. 柱子，柱形物；栋梁；墩
vt. 用柱支持"
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
harbour,"n. 海港（等于harbor）；避难所
vt. 庇护；藏匿；入港停泊
vi. 藏匿；入港停泊；庇护"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
speculate,"vi. 推测；投机；思索
vt. 推断"
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
