accuse of,"un. 控告
 指责；指控；因某事控告某人"
rumor has it, 流言蜚语；当真爱碰上八卦；据传言说
scrape through,"na. 好容易完成；(考试)勉强及格；勉强对付过去；勉强通过
 擦过；勉强度过；勉强取得进入的资格"
search for,"na. 寻找；寻求；探求
 搜寻；搜索；搜查"
seek to, 试图；设法；力图
show sympathy for,找不到解释
show up,"na. 显眼；揭发；嘲笑；露面
 出现；出席；揭露"
shut down,"na. 关闭；关拢(窗等)；停业；禁止
 关机；停工；使关闭"
shut out,"na. 不让进来；遮得看不见；不让得分
 退关；排除；把…排斥在外"
sign on,"na. 签字聘用；签字承认；作工作记录
 登录；签约雇用；签约受雇用"
slow down,"na. 闲下来；减缓；放慢速度；减速
 慢下来；慢点；慢驶"
split up,"na. (使)分裂；吵架；同“split”
 分开；分手；离婚"
stay away from,"un. 退避三舍；回避；不要到…去；停止和…交往
 远离；与……保持距离；离…远点"
step out of,"un. 闯进；脱掉
 走出；跨步走出；脱下"
stick to,"na. 忠于
 坚持；粘住；遵守"
stress the importance of,找不到解释
stumble on,"un. 踌躇地转着；碰上
 偶然发现；无意中发现；绊倒"
subscribe to,"v. 同意；赞成；订阅；定期捐款
 订购；认购；赞同"
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚; 闹; 罹
sum up,"na. 概括；总结
 总计；归纳；总括"
seem to,"v. 似乎
 好像；看起来；看来"
similar to,"v. 与…类似
 相似；与……相似；与……类似"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
 到目前为止；迄今为止；至今"
so long as,"na. 只要；“as/so long as”的变体
 如果；表示只要；只要…就"
as long as,"conj. 只要
 长达；如果；既然"
so that,"conj. 因此；以便
 为了；以致；以便于"
such as,"un. 例如；像；象…这样；诸如…之类
 比如；像这种的；像……那样的"
scale back,"na. 相应缩减
 按比例缩减；减少；缩小"
scale down,"na. (按比例)缩减；分频；“scale back”的变体
 按比例缩小；缩小比例；按比例减少"
see ... as,找不到解释
seek out,"na. 找出；寻求；想获得
 挑出；找到；搜寻出"
seize on,"na. 猛扑；袭击；利用；采用(提议)
 抓住；抓住，抓紧；占有"
seize upon,"na. 猛扑；袭击；利用；采用(提议)
 抓住；牢牢抓住"
send on,"na. 转送；转寄(信等)；预送；先送
 转交；派遣；预先运送或中转运送"
separate from,"把...和...分开, 把...和...区分开, 使...从...离析"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
set off,"na. 分；分割；划开；区划
 出发；动身；引起"
set out,"n. 开始；出发；动身；准备
 陈列；着手；陈述"
shut up,"na. 关住；监禁；密封；停止
 闭嘴；住口；关闭"
side with,"v. 援助；偏袒
 支持；一边，支持；站在…一边"
sign up,"na. 同“sign”
 注册；报名；签约"
sit back,"na. 松劲休息；不活动
 放松；袖手旁观；休息一下"
sit by,"na. 袖手旁观；坐在一旁
 无动于衷；留在旁边；照料"
sit in on,"un. 代替；旁听
 列席；出席；开会讨论"
sit on,"na. 压制；责备；审理(案件等)；调查
 拖延；坐在……上；为…的成员"
sit out,"na. “sit through”的变体
 袖手旁观；坐在户外；对……袖手旁观"
sit through,"v. 耐心听完
 看完；一直挺到结束；耐着性子看完"
sit up,"na. 仰卧起坐
 熬夜；坐直；坐正"
size up,"na. 够标准；估量；品评
 打量；估计；判断"
sleep off,"na. 睡过(时候)；睡掉(忧愁等)
 以睡眠来消除；以睡眠消除；用睡觉消除"
sleep through, 未被吵醒；睡过了；惊醒
slip in,"un. 溜下；不声不响地走进去；出差错
 偷偷溜进来；错误总会悄悄地溜进去；悄悄溜入"
slip through,"un. 溜出去；漏出去
 偷越；溜过；轻巧而迅速地穿过"
slip up,"na. 滑一跤；弄错；失败
 失误；出差错；跌倒"
smell of, 有…的气味；闻到；闻出…的味道
sort out,vt.& vi. 把…安排妥当; （从…中）区分出来，辨别出来; 分类; 整理; 整顿; 解决
space out,"na. 加宽行间间隔排匀
 隔开；空间弹球；留间隔"
speak for,"na. 代表…讲话；订购；要求得到
 为…辩护；为……说话；代表……说话"
speak of,"na. 讲起；特别推荐说
 谈到；谈及；提到"
speak out,"na. 大声讲；老老实实讲
 畅所欲言；大胆地说；大胆讲出"
speak up,"na. “speak out”的变体
 大声说；大声地说；大声点"
speed up,"na. 加快(机器等的)速度；使加紧做
 加速；加快速度；增加速度"
spell out,"na. 详细说明；正式拼写
 讲清楚；清楚地说明；拼出"
spend on, 花费；把…花在；在……方面花费
spread out,"na. 张开；铺开；扩张；同“spread”
 展开；散开；摊开"
spread over,"na. (根据特殊需要而作的)部分工时调整
 遍布；传遍；遍布在"
spring up,"na. 跳上来；发生；萌芽；出现
 涌现；迅速生长；突然出现"
stand by,"na. 袖手旁观；站在旁边；待机；等待
 支持；待命；站在一边"
stand down,"na. 退出证人席位；暂时辞退；不在值勤中
 退下；下台；退出竞选"
stand for,"na. 忍耐；忍受；主张；拥护
 代表；象征；代替"
stand in,"na. 加入；使花费
 代替；做替身；代替演员站好位置"
stand off,"na. 疏远；延期；离着；离岸行驶
 远离；避开；僵局"
stand out,"na. 突出；显著；不参加战争；抵抗到底
 显眼；引人注目；站出来"
stand up for,"na. 拥护
 支持；维护；坚持"
stand up to,"na. 抵抗；反抗；反对；经得起
 勇敢地面对；勇敢面对；顶得住"
start off,"na. 动身
 出发；开始；上路"
start out,"na. 跳出；开始；企图
 出发；动身；着手"
start up,"n. 创办中的公司；开机
v. 开办；发动(机器,引擎等)
adj. 新开张的
 启动；惊起；起动"
start with,"v. 以…开始
 以……开始；从…开始；首先"
stay on,"na. 赖着不走；保持
 继续停留；存留在；继续呆下去"
stay out,"na. 不干涉；(在外头)不回家；不在家；坚持到
 呆在户外；外出；呆在外面"
stay out of,"v. 仍然没有
 不介入；置身于……之外；远离"
stay put,"na. 安装牢固
 停住不动；留在原处不动；留在原地"
stay up,"na. 不去睡觉；不沉
 熬夜；不睡觉；熬夜，不睡觉"
stay with, 和……呆在一起；与…呆在一起；同…住在一起
stem from,"v. 出于；基于
 起源于；来自；源自"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
step aside,"na. 走到一旁；避到一旁；让给别人；走错路
 让开；避开；让开一点"
step down,"na. 走下；退出；下降；辞退
 辞职；下台；让位"
step in,"na. 调停；介入；挤进；走进
 干预；干涉；插手"
step out,"na. 下(车)；走出屋外；放大脚步；辞职
 跳出；单步跳出；失步"
step up,"v. 加紧；走上前；登上；增加
 舞出我人生；提高；舞出真我"
stick around,"v. 粘在旁
 逗留；在附近逗留或等待；在附近等着"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
stick at,"v. 对…有顾虑；继续做
 坚持；坚持干；坚持不懈"
stick by,"na. 忠于；留在记忆里
 继续支持；坚持；陪伴某人或坚守某事"
stick out for,"na. 不停地要求
 坚持索取；坚持要求；坚持要求某事物"
stick together,"v. 粘合起来
 团结一致；粘在一起；互相支持"
stick up for,"na. 支持；维护；为…辩护
 维护某人；为谁辩护；拥护"
stick with, 坚持；继续支持；坚持做
stir up,"v. 转播；重播；搅拌；煽动
 激起；挑起；引起"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
stock up,"v. 重新得到；找回；储存；储藏
 备货；囤积；囤货"
stop by,"na. 顺便到(某处)访问；同“stop off”
 顺便到访问；顺便拜访；顺便访问"
stop off,"na. 中途下一下车；用砂填塞(铸模的一部)；进监牢
 中途停留；中途下车；中途停下"
stop over,"na. 中途下车；暂留；住在海外；同“stop off”
 中途停留；勾留；转机"
stop short,"na. 猛然停止；使(谈话等)停止；挡住
 突然停止；突然中止；中途停下"
store away,"na. 把…贮藏起来
 储存；收起来；贮存"
straight away,"adv. 马上
 立刻；立刻地；毫不犹豫地"
straight off,"na. 立刻；“right/straight off”的变体
 马上；立即；痛痛快快"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
straight up,"un. 真的
 不加冰块的；净饮；快快说清楚"
strive for,"v. 争取；奋发图强；收下
 为…而奋斗；为…奋斗；力求"
strive,vi. 努力；奋斗；抗争
strive to,"v. 争取；努力
 力图；力求；努力做某事"
subject ... to ...,找不到解释
submit to,"un. 使某人忍受某事:
 顺从；服从；屈服于"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
succeed in,"v. 成功于
 在…成功；成功地做；取得成功"
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚; 闹; 罹
suffer with, 遭受
supply with,"v. 供给
 以……供给；把…提供；把……提供给"
supply to, 供应；给的供应；为……提供
sweep into, 涌入；席卷市场；把…扫入
switch off,"na. 不收听(某一广播)
 关掉；切断；关闭"
switch on,"v. 打开；接通；参见
 开启；合闸；打开开关"
switch to,"v. 转换到
 切换到；转到；切换到，转到"
safe and sound,"na. 平安无恙
 安然无恙；平安无事；安全"
second-rate,adj. 二流的；二等的；平庸的
short of,"na. 缺少；达不到；除了；只要不是
 缺乏；不足；短缺"
side effect,"n. 副作用；意外结果；函数副作用
 没有副作用；副反应；副效应"
so as to,"na. (= in order to) 以便；为使
 为了；为的是；使得"
so-called,adj. 所谓的；号称的
so long,"na. 再见!
 这么久；如此长久；很长时间"
something of,"na. 在某种意义(或程度)上
 在某种意义上；多少有点；在某种程度上"
sooner or later,"na. 迟早；早晚
 迟早会的；或迟或早；迟早有一天"
sort of,"adv. 有几分地
 （想不出恰当的词或不知下面该怎么说时用）可以说，可说是"
so so,"adj. 一般的(地)；不好也不坏的(地)
 马马虎虎；不怎么样；一般般"
so to speak,"na. “so to say”的变体
 可以说；可以这么说；可谓"
spare no effort, 不遗余力，尽力去做; 卖劲儿; 竭尽; 卖力
stand-point,立足点
state-owned,adj. 国有的；国营的；州立的
step by step,"na. 一步一步；切切实实
 逐步地；循序渐进；一步一步地"
stock option,"n. 股票期权；认股选择权（员工按固定价格购买所属公司股票的权利）
 股票选择权；优先认股权；持股权"
success in, 的成功；在…方面成功；在…上的成功
suitable for,"adj. 适合于N
 适合人群；适宜人群；适用于"
superior to,"adj. 胜过；优于
 比…好；级别高于；比…高级"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
shell out,"na. 交出；付出；付款
 支付；交付；出需要的或应付的钱"
shrug off,"na. (耸肩)表示轻蔑；摆脱；扭身脱掉(衣服)
 耸肩表示对…不屑理睬；对…不屑一顾；对……满不在乎"
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
sketch out,"v. 拟订出
 草拟；概述；概略地叙述"
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
slacken off,"un. 松劲
 萧条；懈怠；松懈"
slacken,"vi. 松劲，懈怠；变松弛；变缓慢
vt. 使缓慢；使松弛"
snap out of,"un. 怒气冲冲；震飞
 迅速从…中恢复过来；从……当中摆脱出来；使迅速从…中恢复过来"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
snap up,"na. 咬住；突然插嘴
 抢购；争购；抢购，争夺"
sniff out,"na. 闻出；发现
 发觉；寻找；嗅出"
sniff,"vt. 嗅；闻；用力吸；发觉
vi. 嗅；嗤之以鼻
n. 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声"
soak up,"v. 吸取
 吸收；摄取；吸收摄取"
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
sound ... out,"v. 试探；打听
 用语言试探；试探是；试探口风"
spin out,"na. 拖延；使(钱等)勉强再维持一段时间；磨度过；使汽车作回形滑行
 拉长；延长；拖长"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
spit out,"na. 同“spit”
 吐出；吐出来；中吐出"
spit,"n. 唾液
vi. 吐痰；吐口水；发出劈啪声
vt. 吐，吐出；发出；发射"
sponge off,"un. 用海绵洗涤
 依赖他人生活；海绵除色；海棉除色法"
sponge,"n. 海绵；海绵状物
vt. 抹掉；用海绵擦拭；讨得
vi. 采集海绵；过寄生生活；海绵般地吸收"
square off,"na. (拳击中)摆好架势
 方块大战；摆出自卫或攻击的架式；摆出自卫或攻击的架势"
square up,"na. 清账；摆好进攻架势
 摆好架势；结清；清帐"
stake out,"na. “stake off”的变体
 立桩标出；放样；监视"
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
stamp on,"na. 拒绝
 踏；盖章于；踩踏"
stamp out,"na. 踏灭(火)；扑灭(暴动等)
 踩灭；消灭；踩出"
stay afloat,"un. 维持浮态
 维持下去；浮着；温饱无忧"
steam up,"na. (玻璃)蒙上蒸汽而模糊；制造蒸汽；拿出精神；鼓励
 蒙上水汽；促进；使发怒"
steer clear of,"na. 机灵地脱身
 避开；绕开；避开……航驶"
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
strike off,"na. 斩去；删去；除去(利息等)
 勾销；打样；印花样"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
strike out,"na. 打去；打出(火花等)；涂去；拟出
 三振出局；删去；想出"
strike sb. as,找不到解释
strike up,"na. 挡起(敌手,刀剑)；(在金属上)浮雕；开始唱；定(约等)
 开始弹奏；开始演奏；建立起"
strip off, 去掉某物的表皮; <非正>揭开（伪装）; 脱掉（衣服）; 劈
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
strip sb. of,"un. 剥去；剥掉；剥夺；失去
 除去"
stumble across,"un. 踌躇地转着；偶然发现
 无意中发现"
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
substitute for sth.,找不到解释
substitute for sb.,找不到解释
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
suck up to,"v. 拍马屁
 奉承；巴结；讨好"
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
swarm into,"v. 拥入；云集
 涌入；蜂拥而入；蜂涌而进"
swarm,"n. 蜂群；一大群
vi. 挤满；成群浮游；云集
vt. 挤满；爬"
self-contradictory,adj. 自相矛盾的
silver lining,"na. (失望或不幸中的)一线希望
 银边；一线光明；银线"
slot machine,"n. 投币自动售货机；吃角子老虎赌博机；老虎机
 角子老虎机；吃角子老虎机；角子机"
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
stab sb. in the back, 背后插刀；背后捅刀子；背后中伤
stab,"n. 刺；戳；尝试；突发的一阵
vt. 刺；刺伤；戳；刺穿；直入
vi. 刺；刺伤；戳；刺痛"
stand a chance of,"un. 想尽办法；可能
 有…的希望；有成功的机会；有可能"
state of affairs,"un. 事态；业务状况；情况
 状态；情状；事物所处的状况"
stay out of the way,找不到解释
strike gold, 找到丰富的消息、财源、幸福源泉等
suffice it that,找不到解释
suffice it to say that,"v. 满足…的需要
 只要说…就够了；只想说；一句话"
suffice,"vt. 使满足；足够…用；合格
vi. 足够；有能力"
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
 占便宜；充分利用；对……加以利用"
take in,"na. 加以考虑；访问；收进；收容
 欺骗；吸收；接受"
take pride in,"na. 以…自豪；对…感到满意
 对…感到自豪；以……为自豪；骄傲"
tend to,"v. 倾向于；有助于
 趋向；趋于；往往"
thirst for,"v. 非常想望
 渴望；热望；渴求"
trade with,"un. 从事贸易；与…做生意:
 与…进行贸易；与……做生意；贸易与"
trifle with,"un. 玩弄；心不在焉地做；摆弄:；戏弄:
 玩忽；视同儿戏；轻视"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
take efforts,找不到解释
take measures,"na. 测定
 采取措施；采取措施例句；采取行动"
take one's stand,在…的位置；在…上站岗；站在…的立场；以…为根据
take place,"na. 发生；举行
 产生；多指通过人为安排的发生；进行"
take the lead,"v. 率先
 独领风潮；带头；领先"
take ... to extremes, 做得过多
take account of,"na. 考虑
 考虑到；顾及；考虑到某事"
take a delight in,"喜爱,以…为乐"
take a fancy to,"na. 爱好
 喜欢；爱上；喜欢…起来"
take after,"na. 尾随；仿效；像
 象；长得像；与相像"
take against,"v. 反对
 不喜欢；开始不喜欢"
take a hand in,"na. 参加
 插手；帮助；插手某事"
have a hand in,"na. 干与
 参与；插手；参与做"
take apart,"na. 分解；拆分；剖析
 拆开；拆卸；卸开"
take ... as,找不到解释
take away,"adj. 买回去的
 拿走；带走；外带"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
 取消；取回；拿回来"
take care of,"na. 照看；处理；清除
 照顾；照料；爱护"
take down,"na. 扯下；卷起；记下；卸下
 拿下；取下；拆卸"
take exception to,"na. 对…提出异议
 反对；不以为然；对…极端的反对"
exception,n. 例外；异议
take for,"na. 认为；当做；弄错
 误认为；误以为；当作"
take hold,"un. 抓住
 固定下来；生根；扛着"
take note, 注意到；记下；引起注意
take note of,"na. 注意(到)
 注意到；留意；作记录"
take off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
 承担；雇用；雇佣"
take over,"na. 接管；继承
 接收；接任；接替"
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
take the place of,"na. 接替某人的位置
 代替；取代；替代"
take to,"na. 嗜好；开始；参加；逃入
 喜欢；从事；喜爱"
take up,"na. 拿起；举起；拾起；给搭(火车等)
 占据；从事；开始"
talk back,"na. 回嘴；反复重说；反唇相讥
 顶嘴；反驳；对讲"
talk down to,"v. 降低声调说
 傲视；用高人一等的口气对人说话；用高人一等的态度讲话"
talk into,"na. 说服(某人)做…
 说服做；劝说某人做某事；说服某人做某事"
talk out of, 劝阻；说服某人不做某事；强迫同意或决定不做
talk over,"na. 商谈；说服
 商量；讨论；彻底地考虑"
tangle with, 争吵；纠葛；与…争吵
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
team up,"un. 配合
 合作；协作；球员参与的社区互助活动"
tear apart,"v. 弄乱；撕破
 使心碎；扯开；撕开"
tear at,"v. 撕
 撕扯；用力撕；撕开"
tear ... away,"na. 撕掉；扯开；飞跑
 撕开；勉强离去；扯掉"
tear ... away from,找不到解释
tear down,"na. 拆毁；扯下；猛冲
 拆除；拆卸；拆除某物"
tear into,"na. 跑进
 劈头盖脸；猛攻；攻击"
tear up,"na. 撕碎；连根拔起；扰乱；跑上
 撕毁；撕掉；拔出"
tell apart,"na. 辨别
 分辨；区别；区分"
tell from,"un. 辨别；区分开:
 区别；分辨；认出"
tell off,"na. 数清；分派(工作)；编号；谴责
 斥责；责备；分派出"
think about,"un. 思考；探讨；为…费心思；想像
 考虑；回想；思索"
think back,"un. 苦苦地思索；回忆
 回想；想起并重新考虑的事；反思"
think back to, 回想；回想过去；回忆起
think better of,"na. 经考虑后决定不做(某事)；对…有较高评价
 重新考虑；改变主意；转念"
think highly of,"na. 尊重；评价极高
 看重；器重；高度评价"
think of,"na. 想起
 考虑；认为；想到"
think of ... as ...,找不到解释
think out,"na. 想透；想出
 彻底地想一想；彻底思考；仔细考虑"
think over,"v. 仔细考虑
 仔细思考；仔细考虑一下；再三考虑"
think through,"na. 仔细考虑；全面考虑
 思考…直到得出结论；想通；彻底地全面考虑"
think up,"na. 想出；发明
 想起；设计出；是想出，编造"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
 扔掉；丢弃；丢掉"
throw in,"na. 投入；发边界球；注入；插入
 掷界外球；扔进；额外奉送"
throw off,"na. 摆脱(习惯,拘束等)；抛弃；脱掉(衣服)；甩掉
 扔掉；摆脱掉；扔开"
throw oneself into,"na. 开始热心做(某事)
 投入；投身于；积极从事"
throw out,"na. 投出；拒绝；否决(议案)；派出
 扔掉；赶走；扔出"
throw up,"na. 呕吐；抛上；急造；丢弃
 吐出；抛起；举起"
tide over,"v. 帮…度过难关
 渡过；克服；使度过"
tidy away,"un. 把(某物)收藏起来:
 收拾起来；收拾好；是东西用完整齐地放回原位"
tie down,"v. 束缚
 牵累；系紧；约束"
tie in with,"un. 牵制；与…联合在一起
 配合；与……有关联；与…一致"
tie up,"na. 绑；系；包扎；(船只)系泊
 捆；捆绑；占用"
tire out,"na. 使疲倦到极度
 筋疲力尽；使筋疲力尽；使……十分疲劳"
top up,"n. 补充的饮料；收入补贴
v. 装满；充值
adj. 附加的
 加满；加值；倒满"
toss out,"na. 同“toss”
 扔掉；扔掉，丢弃；扔出"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
touch down,"na. 触地得分；着陆；着陆过程中的一部分；着陆时间
 降落；达阵；落地"
touch off,"na. 正确地表现；草草写；添画；发射
 触发；引起；激起"
touch on,"na. 说到
 涉及；提及；谈及"
touch upon,"与...有关, 涉及..., 提到..., 提及, 谈及"
touch up,"na. 润色；完成；用鞭等轻轻打(马)；轻轻打痛
 修改；锡面修补；补漆"
trace to, 追溯到；上溯；找到…的根源
track down,"v. 追赶
 追捕到；查出；追踪"
trade in,"na. 用交换方式购入
 以旧换新；抵价购物；交易"
trade off,"na. 卖出
 权衡；取舍；交替使用"
trade on,"na. 利用(某人的)名声
 打开交易功能；加成交易；利用某事谋取私利"
trade upon,(为自私的目的)利用
transform into,"v. 转变成
 把…转变成；转化成；转变为"
treat of,"un. (正式用语)论述；论及:
 涉及；讲的是；论文"
triumph over,"un. 击败；克服；战胜:
 成功；得胜；获胜"
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
try on,"na. 试穿；搞恶作剧(以试探能否被容忍)；耍花招
 试试看；试穿衣物；试衣服"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
 试用；尝试；考验"
try to, 设法；试图；试着
turn away,"v. 转变方向
 转过脸去；避开；走开"
turn back,"na. 同“turn down ”
 折回；往回走；翻回到"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
 关小；调低；驳回"
turn in,"v. 向里弯曲
 上交；上床睡觉；交出"
turn into,"v. 变成
 成为；把……变成；变为"
turn off,"v. 关掉
 关上；关闭；解雇"
turn on,"na. 转向；对…进行突击
 打开；接通；开启"
turn one's back on,"na. 不理睬；丢弃；逃出
 背弃；抛弃；拒绝"
turn over,"na. ￡ 500 a week 每星期卖得五百镑
 移交；翻转；翻过来"
turn round,"na. 旋转；(忽然)转过身来
 转身；转头；转过去"
turn to,"v. 向(某人)求助；求助于
 转向；变成；翻到"
turn up,"v. 朝上翻；出现
 开大；找到；露面"
take a chance,"na. 冒险一试
 碰运气；碰碰运气；给自己一次机会碰碰运气吧"
take action,"na. 动手；采取行动；采取(快速)措施；提起诉讼
 行动起来；采取措施；实施行动"
take a loss,承担损失
take ... by surprise,"v. 突然惊吓
 吃惊；袭取；突袭"
take care,"v. 当心；留心
 保重；小心；注意"
take cover,"na. 躲避；利用掩护物；隐蔽
 找掩护；躲藏；以…为掩护"
take effect,"na. 有效验；生效
 起作用；见效；奏效"
take ... for granted,"v. 想当然
 认为…理所当然；视为当然；认为…是理所当然"
take heart,"na. 鼓起勇气
 振作起来；受到鼓舞；振作精神"
take ... into account,"na. 考虑
 把…考虑进去；考虑到；顾及"
take ... into consideration,"v. 顾及
 考虑到；把……考虑进去；予以考虑"
take one's time,"na. 从容
 慢慢来；从容不迫；不急"
take pains,"na. 费苦心；尽力
 煞费苦心；下苦功；操心"
take root,"na. “strike root”的变体
 生根；扎根；生根，扎根"
take shape,"na. 成形；形成；具体化；有显著发展
 成型；初具规模；逐渐成形"
take steps,"na. 采取措施
 采取步骤；设法；采取行动"
take ... to heart,"v. 非常关心
 认真；认真关注；对…耿耿于怀"
take turns,"na. 替换
 轮流；轮流换班；轮流做某事"
talk nonsense, 胡说八道；胡言乱语；枉口拔舌
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
talk sense,"na. “speak sense”的变体
 讲得合情合理；说正经话；说话有道理"
tell a white lie, 说善意的谎言；善意地谎言；说一个善意的谎言
tell the truth,"na. 说实话
 说真话；讲真话；实话实说"
thanks to,"v. 感谢；幸亏；多亏
 由于；多亏了；归功于"
that is,"na. 即；用于纠正之前说过的内容
 也就是说；那是；那就是说"
that is to say,"na. “that is”的变体
 也就是说；那就是说；换句话说"
the advent of,(重要人物或事件)…的出现(或到来)
advent,n. 到来；出现；基督降临；基督降临节
the bulk of,"adj. 大多数；大部分
 的主要部分；大半；大部分的"
the hell,"na. 见鬼去
 到底；究竟；地狱"
the moment,"na. (= as soon as)一…(就)
 这一刻；瞬间；一瞬间"
the moment that, 一…就
the more ... the more,找不到解释
then and there,"na. 当时；在当时当地
 当场；彼时彼地；立即"
the same as,"adj. 与…同样
 与…相同；与…一样；和……相同"
the small hours,"na. 二
 后半夜；下半夜；深夜"
think-tank,智囊团
thousands of,"adj. 几千；成千上万
 成千上万的；数以千计的；数千"
time after time,"na. 常常；反复
 一次又一次；一再；两世奇人"
time and again,"na. “time after time”的变体
 一次又一次；一再；屡次"
time and time again,"na. 常常；反复
 一次又一次；一次次；多次"
time out,"n. (英国)《暂停》周刊
 超时；闲暇；逾时"
to a certain extent,"na. “to a certain degree”的变体
 在一定程度上；在某种程度上；达到某种程度"
to a day, 一天也不差；恰好；整整
to the day,"adv. 正好
 一天也不差；恰好；迎来曙光"
to all appearances,"na. 显然；没有不像…的
 就外表看来；显然地；就外表来看"
to be fair,"na. 说良心话
 说句公道话；公平地说；公正地说"
to begin with,"na. 首先；本来
 第一；一开始；起初"
to be sure,"un. 当然；无疑
 诚然；固然；的确"
to date,"na. 至今
 到目前为止；迄今；迄今为止"
to death,"na. 到极点
 判某人死刑；打死；至死"
to excess,"na. (吸烟)过度
 过分；过量；太多"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
to ... extent,找不到解释
together with,"na. 和…一起
 连同；和...一起；加之"
to hell with, 让…见鬼去吧；某人该死；非正式
to my mind,"na. “in my mind”的变体
 依我之见；我认为；依我看"
to one's knowledge, 据某人所知；据…所知；就某人所知
too ... to,找不到解释
to perfection,"na. 完全地；好极
 尽善尽美地；完美地；到达完美的境界"
to say nothing of,"conj. 更不用说
 慢说；更不必说；姑且不说"
to say the least,"na. 至少可以这样说
 退一步说；至少可以说；至少可以这么说"
to sb.'s credit,找不到解释
to some degree,"adv. 多多少少
 在某种程度上；那就是在一定程度上；达到一定的程度"
to some extent,"na. 在某种程度上
 在一定程度上；从某种程度上讲；从某种程度来讲"
to the contrary,"na. 反对地
 意思相反的；相反地；正相反"
to the core,"na. 到心
 彻底；彻底地；透顶的"
to the effect that, 大意是；大意是说；主要内容是
to the extent of,"na. 达到…的程度
 到……的程度；达到…程度；至于"
to the letter,"na. 严格按照字句；详细知道；了如指掌
 不折不扣；不折不扣地；彻头彻尾"
to the limit of,找不到解释
to the point,"na. 露骨；中肯
 切题；切中要害；扼要"
to the point of,"adv. 达到…的程度
 到…程度；达到……程度；到……的程度"
