alter,"vt. 改变，更改
vi. 改变；修改"
thankful,adj. 感谢的；欣慰的
hospitality,n. 好客；殷勤
dedicate,vt. 致力；献身；题献
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
analyst,n. 分析者；精神分析医师；分解者
prediction,n. 预报；预言
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
indifference,n. 漠不关心；冷淡；不重视；中立
depress,vt. 压抑；使沮丧；使萧条
disclose,vt. 公开；揭露
accountant,n. 会计师；会计人员
dishonest,adj. 不诚实的；欺诈的
unmistakable,adj. 明显的；不会弄错的
resemblance,n. 相似；相似之处；相似物；肖像
displease,"vt. 使生气；触怒
vi. 使生气；使不快"
cheaply,adv. 便宜地；廉价地
coarse,adj. 粗糙的；粗俗的；下等的
dissatisfy,vt. 使不满意，使不满足; 使失望
trusting,"v. 信赖（trust的ing形式）
adj. 信任的；轻信的"
shameful,adj. 可耻的；不体面的；不道德的；猥亵的
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
eliminate,vt. 消除；排除
stale,"n. 尿
adj. 陈腐的；不新鲜的
vt. 使变旧；变得不新鲜
vi. 变陈旧；撒尿；变得不新鲜"
odor,n. 气味；名声
unsatisfactory,adj. 不令人满意的；不满足的；不符合要求的
Muslim,"n. 穆斯林；穆罕默德信徒
adj. 伊斯兰教的"
earnestly,adv. 认真地；诚挚地
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
Islam,n. 伊斯兰教
equip,vt. 装备，配备
electron,n. 电子
microscope,n. 显微镜
push for ...,找不到解释
murderer,n. 凶手；谋杀犯
execute,vt. 实行；执行；处死
slavery,n. 奴役；奴隶制度；奴隶身份
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
cork,"n. 软木橡树皮；瓶塞；软木塞
vt. 用瓶塞塞住"
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
mathematician,"n. 数学家
善作数字计算的人"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
fraction,n. 分数；部分；小部分；稍微
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
orphan,"adj. 孤儿的；无双亲的
n. 孤儿
vt. 使成孤儿"
insufficient,"adj. 不足的，不充足的；不胜任的；缺乏能力的
n. 不足；缺乏"
funding,"n. 提供资金；用发行长期债券的方法来收回短期债券
v. 提供资金；积存（fund的ing形式）"
continually,adv. 不断地；频繁地
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
grill,"n. 烤架，铁格子；烤肉
vi. 拷问，严加盘问
vt. 烧，烤；"
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
juicy,adj. 多汁的；利润多的；生动的
unreasonable,adj. 不合理的；过度的；不切实际的；非理智的
imprison,vt. 监禁；关押；使…下狱
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
dialog,n. 对话；会话
the first ... in ... years,找不到解释
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
individually,adv. 个别地，单独地
decent,adj. 正派的；得体的；相当好的
craftsman,n. 工匠；手艺人；技工
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
mingle,"vi. 混合；交往
vt. 使混合；使相混"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
nutrition,n. 营养，营养学；营养品
mislead,vt. 误导；带错
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
headmaster,n. 校长
inspiring,"v. 鼓舞；激发；使感悟（inspire的ing形式）
adj. 鼓舞人心的；灌输的；启发灵感的"
astronaut,n. 宇航员，航天员；太空旅行者
motivate,vt. 刺激；使有动机；激发…的积极性
dropout,n. 中途退学；辍学学生
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
unsuccessful,adj. 不成功的；失败的
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
gratitude,n. 感谢（的心情）；感激
generosity,n. 慷慨，大方；宽宏大量
overwork,"vi. 工作过度
vt. 工作过度
n. 过度工作
过度工作的"
symptom,n.  症状；征兆
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
curiously,adv. 好奇地
peep,"n. 偷看；隐约看见，瞥见
vi. 窥视；慢慢露出，出现；吱吱叫
vt. 使出现"
shady,adj. 成荫的；阴暗的；名声不好的
dependence,n. 依赖；依靠；信任；信赖
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
therapy,n. 治疗，疗法
prick,"n. 刺，扎；刺痛，刺伤；阴茎；锥
vt. 刺，戳；刺伤，刺痛；竖起
vi. 刺；竖起
adj. 竖起的"
irresponsible,adj. 不负责任的；不可靠的
provoke,vt. 驱使；激怒；煽动；惹起
rebellion,n. 叛乱；反抗；谋反；不服从
unemployed,adj. 失业的；未被利用的
inevitably,adv. 不可避免地；必然地
reap,"vt. 收获，获得；收割
vi. 收割，收获"
innovation,n. 创新，革新；新方法
reassure,vt. 使…安心，使消除疑虑
pregnant,adj. 怀孕的；富有意义的
overtime,"n.  加班时间；延长时间；加时赛
adj. 超时的；加班的
vt. 使超过时间
adv. 加班地"
rebuild,"vt. 重建；改造，重新组装；复原
vi. 重建"
regain,"n. 收复；取回
vt. 恢复；重新获得；收回
vi. 上涨"
brilliance,n. 光辉；才华；宏伟
prominence,n. 突出；显著；突出物；卓越
closing,"n. 结尾辞
v. 关闭（close的ing形式）
adj. 收盘的；结束的；结尾的"
speculation,n. 投机；推测；思索；投机买卖
hardship,n. 困苦；苦难；艰难险阻
reopen,"vt. 使再开，使重开
vi. 重开"
financial hardship, 经济困难；财务困难；财务难处
replay,"n. 重赛；重播；重演
vt. 重放；重演；重新比赛"
repeatedly,adv. 反复地；再三地；屡次地
in order to do, 为了做某事；为了干某事；为了……而做
restructure,vt. 调整；重建；更改结构
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
cosmetic,"n. 化妆品；装饰品
adj. 美容的；化妆用的"
considerably,adv. 相当地；非常地
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
manuscript,"n.  手稿；原稿
adj. 手写的"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
get out of the way of a car,找不到解释
sharpen,"vt. 削尖；磨快；使敏捷；加重
vi. 尖锐；变锋利"
deliberately,adv. 故意地；谨慎地；慎重地
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
a music box,找不到解释
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
soapy,adj. 涂着肥皂的；含有肥皂的；似肥皂的；圆滑的
stray,"n. 走失的家畜；流浪者
adj. 迷路的；离群的；偶遇的
vi. 流浪；迷路；偏离"
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
savage,"n. 未开化的人；粗鲁的人；残暴成性的人
adj. 野蛮的；残酷的；狂怒的；荒凉的
vt. 乱咬；粗暴的对待"
suppress,vt. 抑制；镇压；废止
sweetly,adv. 甜美地；温柔地；惬意地；讨人喜欢地
trustworthy,adj. 可靠的；可信赖的
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
terrify,vt. 恐吓；使恐怖；使害怕
fearless,adj. 无畏的；大胆的
undo,"vt. 取消；解开；破坏；扰乱
vi. 撤消"
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
undress,"n. 便服；裸体
vt. 使脱衣服；使卸去装饰；暴露
vi. 脱衣服"
restless,adj. 焦躁不安的；不安宁的；得不到满足的
simultaneously,adv. 同时地
unfold,"vi. 展开；显露
vt. 打开；呈现"
ragged,adj. 衣衫褴褛的；粗糙的；参差不齐的；锯齿状的；刺耳的；不规则的
cloak,"n. 斗蓬；宽大外衣；托词
vt. 遮掩；隐匿"
wrap ... around ...,找不到解释
identification,n. 鉴定，识别；认同；身份证明
unlock,"vt. 开启；开…的锁；表露
vi. 解开；解除锁定；被开启"
punch in ...,找不到解释
neatly,adv. 整洁地；熟练地；灵巧地
utilize,vt. 利用
acknowledge,vt. 承认；答谢；报偿；告知已收到
inadequate,adj. 不充分的，不适当的
supervision,n. 监督，管理
compensation,n. 补偿；报酬；赔偿金
lacking,"adj. 缺乏的；没有的；不足的
v. 缺少；不足（lack的ing形式）"
assess,vt. 评定；估价；对…征税
positively,adv. 肯定地；明确地；断然地；乐观地
attribute,"n. 属性；特质
vt. 归属；把…归于"
modesty,n. 谦逊；质朴；稳重
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
nobility,n. 贵族；高贵；高尚
masterpiece,n. 杰作；绝无仅有的人
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
comprehend,vt. 理解；包含；由…组成
profound,adj. 深厚的；意义深远的；渊博的
insight,n. 洞察力；洞悉
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
ultimately,adv. 最后；根本；基本上
disapprove,"vi. 不赞成；不喜欢
vt. 不赞成；不同意"
distrust,"n. 不信任
vt. 不信任
怀疑"
habitual,adj. 习惯的；惯常的；习以为常的
offender,n. 罪犯；冒犯者；违法者
denial,n. 否认；拒绝；节制；背弃
accusation,n. 控告，指控；谴责
idealize,"vt. 使理想化；理想化地描述
vi. 理想化；形成思想"
exceedingly,adv. 非常；极其；极度地；极端
orthodox,"adj. 正统的；传统的；惯常的；东正教的
n. 正统的人；正统的事物"
memorize,vt. 记住，背熟；记忆
perfection,n. 完善；完美
rehearsal,n. 排演；预演；练习；训练；叙述
never fail to do,"na. 必定
 从未做不到；总是能；总是做某事"
in time for ...,找不到解释
resent,vt. 怨恨；愤恨；厌恶
impolite,adj. 无礼的；粗鲁的
rejection,n. 抛弃；拒绝；被抛弃的东西；盖帽
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
unpaid,adj. 未付款的； 未缴纳的；无报酬的
sympathize,vi. 同情，怜悯；支持
coverage,n. 覆盖，覆盖范围；新闻报道
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
Satan,n. 撒旦（魔鬼）
beak,n.  鸟嘴；鹰钩鼻子；地方执法官；男教师
cuckoo,"n. 布谷鸟；杜鹃鸟；傻子；咕咕声
adj. 愚笨的；疯狂的
vt. 不停地重复
vi. 学杜鹃叫"
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
fowl,"n. 家禽；鸟；飞禽
vi. 打鸟；捕野禽"
gene,n.  基因，遗传因子
mammal,n.  哺乳动物
octopus,"n. 章鱼
章鱼肉"
peacock,"n. 孔雀；雄孔雀；爱虚荣的人
vi. 炫耀；神气活现地走"
ram,abbr. 随机访问内存（random-access memory的缩写）；随机存取存储器（random access memory的缩写）
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
tortoise,n. 龟， 乌龟（等于testudo）；迟缓的人
watchdog,n. 看门狗；监察人；忠实的看守人
athletics,n. 竞技；体育运动；田径运动
badminton,n. 羽毛球
cycling,n. 骑脚踏车消遣；骑脚踏车兜风
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
backbone,n. 支柱；主干网；决心，毅力；脊椎
digestion,n. 消化；领悟
fitness,n. 健康；适当；适合性
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
pregnancy,n. 怀孕；丰富，多产；意义深长
vitality,n. 活力，生气；生命力，生动性
anticipation,n. 希望；预感；先发制人；预支
bitterness,n. 苦味；苦难；怨恨
bravery,n. 勇敢；勇气
conception,n. 怀孕；概念；设想；开始
contentment,n. 满足；满意
coolness,n. 冷；凉爽；冷静
disagreement,n. 不一致；争论；意见不同
embarrassment,n. 窘迫，难堪；使人为难的人或事物；拮据
encouragement,n. 鼓励
folly,n. 愚蠢；荒唐事；讽刺剧
forgiveness,n. 宽恕；宽仁之心
hesitation,n. 犹豫
impatience,n. 急躁；无耐心
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
irritation,n. 刺激；激怒，恼怒，生气；兴奋；令人恼火的事
liking,n. 嗜好，爱好
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
originality,n. 创意；独创性，创造力；原始；新奇
perspective,"n. 观点；远景；透视图
adj. 透视的"
purity,n.  纯度；纯洁；纯净；纯粹
sincerity,n. 真实，诚挚
stimulus,n. 刺激；激励；刺激物
stupidity,n. 愚蠢；糊涂事
suspense,n. 悬念；悬疑；焦虑；悬而不决
torment,"n. 痛苦，苦恼；痛苦的根源
vt. 折磨，使痛苦；纠缠，作弄"
vanity,n. 虚荣心；空虚；浮华；无价值的东西
adjective,"n. 形容词
adj. 形容词的；从属的"
adverb,"n. 副词
adj. 副词的"
astronomy,n. 天文学
biography,n. 传记；档案；个人简介
Buddhism,n. 佛教
classification,n. 分类；类别，等级
clause,n. 条款； 子句
curriculum,"n. 课程
总课程"
diagram,"n. 图表；图解
vt. 用图解法表示"
diversity,n. 多样性；差异
economics,n. 经济学；国家的经济状况
ego,n. 自我；自负；自我意识
equation,n. 方程式，等式；相等； 反应式
ethics,n. 伦理学；伦理观；道德标准
fable,"n. 寓言；无稽之谈
vt. 煞有介事地讲述；虚构
vi. 编寓言；虚构"
faculty,n. 科，系；能力；全体教员
geometry,"n. 几何学
几何结构"
holiness,n. 神圣；圣座（大写，对教宗等的尊称）
idiom,n. 成语，习语；土话
metaphor,n. 暗喻，隐喻；比喻说法
molecule,n.  分子；微小颗粒，微粒
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
reasoning,"n. 推理；论证；评理
v. 推论；说服（reason的ing形式）
adj. 推理的"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
schooling,"n. 学校教育；学费
v. 教育（school的ing形式）；培养"
Shinto,找不到解释
sociology,n. 社会学；群体生态学
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
syllable,"n. 音节
vt. 划分音节
vi. 按音节发音；讲话"
vowel,"n. 元音；母音
adj. 元音的"
bacteria,n.  细菌
brook,"n. 小溪；小河
vt. 忍受；容忍"
comet,n.  彗星
daybreak,n. 黎明；破晓
dew,"n. 珠，滴；露水；清新
vt. （露水等）弄湿
vi. 结露水"
gravity,n. 重力，地心引力；严重性；庄严
grove,n. 小树林；果园
herb,n. 香草，药草
rainfall,n. 降雨；降雨量
rust,"n. 锈；生锈； 锈病
vt. 使生锈；腐蚀
vi. 生锈；成铁锈色；变迟钝"
seaweed,n. 海藻，海草
snowstorm,n. 暴风雪；雪暴
springtime,n. 春天；春季；初期
stump,"vt. 砍伐；使为难；在…作巡回政治演说
n. 树桩；残余部分；假肢
vi. 笨重地行走；发表竞选演说"
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
abortion,n. 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折
accounting,"n. 会计，会计学；账单
v. 解释（account的ing形式）；叙述"
aftercare,n. 安置；病后的照顾调养；出狱后的就业辅导
applause,n. 欢呼，喝采；鼓掌欢迎
ascent,n. 上升；上坡路；登高
assessment,n. 评定；估价
attendance,n. 出席；到场；出席人数；考勤
bargaining,"n. 讨价还价；交易；交涉
v. 讨价还价；交易（bargain的ing形式）"
betrayal,n. 背叛；辜负；暴露
blot,"n. 污点，污渍；墨水渍
vt. 涂污，弄脏；用吸墨纸弄干（或除去）
vi. 吸墨水；弄上墨渍或污渍"
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
booking,n. 预订；预约；演出契约
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
breaking,"n. 破坏；阻断
v. 破坏（break的ing形式）"
burial,"n. 埋葬；葬礼；弃绝
adj. 埋葬的"
caress,"n. 爱抚，拥抱；接吻
vt. 爱抚，抚抱"
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
checkup,n. 审查，检查；健康检查
circulation,n. 流通，传播；循环；发行量
clearing,"n. 结算；空地；清扫
v. 澄清；放晴（clear的ing形式）"
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
coating,"n. 涂层；包衣；衣料
v. 给…穿上外衣；盖上（coat的ing形式）"
coloring,"n. 着色；着色剂；配色；天然色；外貌
v. 着色（color的ing形式）；出现颜色"
comeback,n. 恢复；复原
complication,n. 并发症；复杂；复杂化；混乱
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
consultation,n. 咨询；磋商； 会诊；讨论会
controversy,n. 争论；论战；辩论
correction,n. 改正，修正
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
counseling,"n. 咨询服务
v. 建议；劝告；商讨（counsel的ing形式）"
cue,"n. 提示，暗示；线索
vt. 给…暗示"
deceit,n. 欺骗；谎言；欺诈手段
deception,n. 欺骗，欺诈；骗术
demerit,n. 缺点，短处；过失
disturbance,n. 干扰；骚乱；忧虑
dullness,n. 迟钝，钝度
endurance,n. 忍耐力；忍耐；持久；耐久
exaggeration,n. 夸张；夸大之词；夸张的手法
excellence,n. 优秀；美德；长处
facsimile,"n. 传真；复写
adj. 复制的
vt. 传真；临摹"
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
flexibility,n. 灵活性；弹性；适应性
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
formality,n. 礼节；拘谨；仪式；正式手续
formula,n.  公式，准则；配方；婴儿食品
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
fuck,"n. 性交；杂种；一丁点儿
vt. 与...性交；诅咒；欺骗
int. 他妈的
vi. 性交；鬼混"
fulfillment,n. 履行；实行
fuss,"n. 大惊小怪，大惊小怪的人；小题大作；忙乱
vt. 使烦恼，使烦忧
vi. 小题大作；忙乱；焦燥；焦急；无事自扰"
gathering,"n. 聚集；集会；收款
v. 聚集（gather的ing形式）"
grouping,"n. 分组，分类
v. 分组（group的现在分词）"
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
hum,"n. 嗡嗡声；哼声；杂声
vt. 用哼声表示
int. 哼；嗯
vi. 发低哼声"
idleness,n. 懒惰；闲散；失业
impossibility,n. 不可能；不可能的事
inclination,n. 倾向，爱好；斜坡
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
inquiry,n. 探究；调查；质询
interpretation,n. 解释；翻译；演出
interruption,n. 中断；干扰；中断之事
jerk,"n. 肌肉抽搐；性情古怪的人；蠢人；急拉
vi. 痉挛；急拉；颠簸地行进
vt. 猛拉"
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
manhood,n. 成年；男子；男子气概
moderation,n. 适度；节制；温和；缓和
morality,n. 道德；品行，美德
narration,n. 叙述，讲述；故事
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
navigation,n. 航行；航海
newsletter,n. 时事通讯
nomination,n. 任命，提名；提名权
ownership,n. 所有权；物主身份
peculiarity,n. 特性；特质；怪癖；奇特
penetration,n. 渗透；突破；侵入；洞察力
peril,"n. 危险；冒险
vt. 危及；置…于险境"
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
postage,n. 邮资，邮费
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
pretense,n. 借口；虚假；炫耀；自吹（等于pretence）
probability,n. 可能性；机率； 或然率
qualification,n. 资格；条件；限制；赋予资格
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
queue,"n. 队列；长队；辫子
vt. 将…梳成辫子；使…排队
vi. 排队；排队等候"
rape,"n. 强奸，掠夺； 油菜；葡萄渣
vt. 强奸；掠夺，抢夺
vi. 犯强奸罪"
recreation,n. 娱乐；消遣；休养
registration,n. 登记；注册；挂号
regularity,n. 规则性；整齐；正规；匀称
remainder,"n.  余数，残余；剩余物；其余的人
adj. 剩余的；吃剩的
vt. 廉价出售；削价出售
vi. 廉价出售；削价出售"
repetition,n. 重复；背诵；副本
repose,"n. 休息；睡眠；静止
vt. 使休息；寄托于
vi. 休息；座落；长眠；依靠；静卧；建立于"
representation,n. 代表；表现；表示法；陈述
restoration,n. 恢复；复位；王政复辟；归还
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
riddle,"n. 谜语；粗筛；谜一般的人、东西、事情等
vt. 解谜；给...出谜；充满于
vi. 出谜"
salute,"n. 致敬，欢迎；敬礼
vt. 行礼致敬，欢迎
vi. 致意，打招呼；行礼"
scenario,n. 方案；情节；剧本；设想
seminar,n. 讨论会，研讨班
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
sewing,"n. 缝纫；缝纫业
v. 缝（sew的ing形式）"
slogan,n. 标语；呐喊声
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
stability,n. 稳定性；坚定，恒心
storage,n. 存储；仓库；贮藏所
storytelling,"n. 讲故事；说谎话
adj. 讲故事的；说谎的"
strife,n. 冲突；争吵；不和
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
surname,"n. 姓，姓氏；绰号，别名
vt. 给…起别名；给…姓氏"
teamwork,n. 团队合作；协力
telegraph,"n.  电报机，电报
vt. 电汇；流露出；打电报给…
vi. 打电报"
theft,n. 盗窃；偷；赃物
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
transformation,n.  转化；转换；改革；变形
transmission,n. 传动装置， 变速器；传递；传送；播送
unhappiness,n. 苦恼；忧愁
usefulness,n. 有用；有效性；有益
utility,"n. 实用；效用；公共设施；功用
adj. 实用的；通用的；有多种用途的"
violation,n. 违反；妨碍，侵害；违背；强奸
withdrawal,n. 撤退，收回；提款；取消；退股
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
corruption,n. 贪污，腐败；堕落
deficit,n. 赤字；不足额
discrimination,n. 歧视；区别，辨别；识别力
federation,n. 联合；联邦；联盟；联邦政府
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
framework,n. 框架，骨架；结构，构架
ideology,n. 意识形态；思想意识；观念学
insistence,n. 坚持，强调；坚决主张
intervention,n. 介入；调停；妨碍
isolation,n. 隔离；孤立； 绝缘； 离析
justification,n. 理由；辩护；认为有理，认为正当；释罪
mining,n. 矿业；采矿
monopoly,n. 垄断；垄断者；专卖权
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
realm,n. 领域，范围；王国
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
revenue,n. 税收，国家的收入；收益
sect,n. 宗派
starvation,n. 饿死；挨饿；绝食
taxation,n. 课税，征税；税款
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
transaction,n. 交易；事务；办理；会报，学报
treasury,n. 国库，金库；财政部；宝库
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
cracker,n. 爆竹；饼干；胡桃钳；解密高手
eggplant,"n. 茄子
adj. 深紫色的"
mutton,n. 羊肉
noodle,n. 面条；笨蛋
oat,n. 燕麦；麦片粥，燕麦粥
pastry,n. 油酥点心；面粉糕饼
radish,n. 萝卜，小萝卜
refreshment,n. 点心；起提神作用的东西；精力恢复
spinach,n. 菠菜
tuna,n. 金枪鱼，鲔鱼
accuracy,n.  精确度，准确性
boldness,n. 大胆；冒失；显著
brightness,n.  亮度；聪明，活泼；鲜艳；愉快
calmness,n. 冷静，镇静；平静，安宁
capability,n. 才能，能力；性能，容量
certainty,n. 必然；确实；确实的事情
cheapness,n. 廉价
clearness,n. 明白；晴朗；明亮
complexity,n. 复杂，复杂性；复杂错综的事物
cupful,n. 满杯
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
gallon,n. 加仑（容量单位）
intensity,n. 强度；强烈； 亮度；紧张
mouthful,n. 一口，满口
multitude,n. 群众；多数
pint,n. 品脱；一品脱的量；一品脱牛奶或啤酒
puff,"n. 粉扑；泡芙；蓬松；一阵喷烟；肿块；吹嘘，宣传广告
vt. 喷出，张开；使膨胀；夸张；使骄傲自满
vi. 膨胀；张开；鼓吹；夸张"
quietness,n. 平静，安静
ratio,n. 比率，比例
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
sensitivity,n. 敏感；敏感性；过敏
sharpness,n. 锐利； 清晰度；疾速；严厉
simplicity,n. 朴素；简易；天真；愚蠢
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
stillness,n. 静止；沉静
succession,n. 连续；继位；继承权； 演替
sufficiency,n. 足量，充足；自满
sweetness,n. 美妙；芳香；可爱
teaspoonful,n. 一茶匙的量
tempo,n. 速度，发展速度；拍子
tenderness,n. 亲切；柔软；柔和；敏感；棘手
thickness,n. 厚度；层；浓度；含混不清
voltage,n.  电压
whiteness,n. 白，洁白，苍白； 白度
airliner,n. 班机；大型客机
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
glider,n.  滑翔机；滑翔员；滑翔导弹
liner,n. 班轮，班机；衬垫；画线者
motorcar,n. （英）汽车；（美）电动车
