abatement,n. 减少；消除；减轻
vanity,n. 虚荣心；空虚；浮华；无价值的东西
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
vegetarian,"n. 素食者；食草动物
adj. 素食的"
velvet,"adj. 天鹅绒的
n. 天鹅绒，丝绒；天鹅绒似的东西"
verdict,n. 结论；裁定
versatile,adj. 多才多艺的；通用的，万能的；多面手的
version,n. 版本；译文；倒转术
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
vigorous,adj. 有力的；精力充沛的
violet,"n. 紫罗兰；堇菜；羞怯的人
adj. 紫色的；紫罗兰色的"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
visual,adj. 视觉的，视力的；栩栩如生的
vocation,n. 职业；天职；天命；神召
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
vulgar,"n. 平民，百姓
adj. 粗俗的；通俗的；本土的"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
wretched,adj. 可怜的；卑鄙的；令人苦恼或难受的
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
zeal,n. 热情；热心；热诚
