dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
goat,n. 山羊；替罪羊（美俚）；色鬼（美俚）
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
under,"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方"
salesman,n. 推销员；售货员
stockbroker,n.  股票经纪人
bring,vt. 带来；促使；引起；使某人处于某种情况或境地
there,"n. 那个地方
adv. 在那里；在那边；在那点上
int. 你瞧"
cellphone,n. 蜂窝式便携无线电话；大哥大
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试"
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
lovely,"adj. 可爱的；令人愉快的；爱恋的；秀丽的，优美的
n. 美女；可爱的东西"
harmony,n. 协调；和睦；融洽；调和
lipstick,"n. 口红；唇膏
vt. 涂口红
vi. 涂口红"
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
thank,"n. 感谢
vt. 感谢
int. 谢谢"
rapid,"n. 急流；高速交通工具，高速交通网
adj. 迅速的，急促的；飞快的；险峻的"
road,"n. 公路，马路；道路；手段
adj. （美）巡回的
vt. （狗）沿臭迹追逐（猎物）"
sofa,n. 沙发；长椅
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍"
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
rainforest,n. （热带）雨林
history,n. 历史，历史学；历史记录；来历
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
hole,"n. 洞，孔；洞穴，穴；突破口
vt. 凿洞
vi. 凿洞，穿孔；（高尔夫球等）进洞"
size,"n. 大小；尺寸
adj. 一定尺寸的
vt. 依大小排列
vi. 可比拟"
when,"conj. 考虑到；既然；当…时；在…时；如果
n. 时间，时候；日期；场合
adv. 什么时候，何时；（用于时间的表达方式之后）在那时；其时；当时
pron. 那时；什么时侯"
sandwich,"n. 三明治；夹心面包
vt. 夹入；挤进；把...做成三明治"
lion,n. 狮子；名人；勇猛的人；社交场合的名流
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
vegetable,"n. 蔬菜；植物；植物人
adj. 蔬菜的；植物的"
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
car,n. 汽车；车厢
copy,"n. 副本；一册；摹仿
vt. 复制；复印；抄袭
vi. 复制；复印；抄袭"
which,"adj. 哪一个；哪一些
pron. 哪/那一个；哪/那一些"
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
wife,n. 妻子，已婚妇女；夫人
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
blue,"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；（美国海、陆、空三军穿的）蓝色制服；蓝颜料；布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于"
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
seashore,"n. 海滨；海岸
adj. 海滨的；在海滨的"
tent,"n. 帐篷；住处；帷幕
vt. 用帐篷遮盖；使在帐篷里住宿
vi. 住帐蓬；暂时居住"
difficult,adj. 困难的；不随和的；执拗的
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
moment,n. 片刻，瞬间，时刻；重要，契机
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
rainbow,"n. 彩虹；五彩缤纷的排列；幻想
adj. 五彩缤纷的；彩虹状的
vt. 使呈彩虹状；如彩虹般装饰
vi. 呈彩虹状"
half,"n. 一半；半场；半学年
adj. 一半的；不完全的；半途的
adv. 一半地；部分地"
notebook,n. 笔记本，笔记簿；手册
headquarter,"vt. 在…设总部
vi. 设立总部"
beef,"n. 牛肉；肌肉；食用牛；牢骚
vt. 养；加强
vi. 抱怨，告发；发牢骚"
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
flag,"n. 标志；旗子
vt. 标记；插旗
vi. 标记；衰退；枯萎"
teenage,"n. 青少年时期
adj. 青少年的；十几岁的"
ghost,"n. 鬼，幽灵
vt. 作祟于；替…捉刀；为人代笔
vi. 替人代笔"
airplane,n. 飞机
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
picnic,"n. 野餐
vi. 去野餐"
palace,n. 宫殿；宅邸；豪华住宅
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
pole,找不到解释
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
aspirin,n. 阿司匹林（解热镇痛药）
punctual,adj. 准时的，守时的；精确的
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
Bible,找不到解释
prevalent,adj. 流行的；普遍的，广传的
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
tractor,n. 拖拉机；牵引机
skyrocket,"n. 流星烟火；冲天火箭
vi. 飞涨，突然高升
vt. 使…猛然上涨"
subsequent,adj. 后来的，随后的
fragile,adj. 脆的；易碎的
acquaint,vt. 使熟悉；使认识
omit,vt. 省略；遗漏；删除；疏忽
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
introvert,"n. 内向的人；内翻的东西
vi. 成为内弯；成为性格内向的人
vt. 使内向；使内倾；使内弯"
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
rim,"n. 边，边缘；轮辋；圆圈
vt. 作…的边，装边于
vi. 作…的边，装边于"
fax,找不到解释
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
column,n. 纵队，列；专栏；圆柱，柱形物
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
cargo,n. 货物，船货
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
hatred,n. 憎恨；怨恨；敌意
setback,n. 挫折；退步；逆流
pest,n. 害虫；有害之物；讨厌的人
formula,n.  公式，准则；配方；婴儿食品
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
drone,"n. 雄蜂；嗡嗡的声音；懒惰者
n. 无人机（非正式）
vt. 低沉地说
vi. 嗡嗡作声；混日子"
depict,vt. 描述；描画
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
hospitality,n. 好客；殷勤
storefront,n.  店面；店头
cater,vt. 投合，迎合；满足需要；提供饮食及服务
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
sue,"vt. 控告；请求
vi. 控告；提出请求"
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
humid,adj. 潮湿的；湿润的；多湿气的
pine,"n.  松树；凤梨，菠萝
adj. 松木的；似松的
vt. 为…悲哀；哀悼
vi. 渴望，痛苦；憔悴"
fuzzy,adj. 模糊的；失真的；有绒毛的
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
forum,n. 论坛，讨论会；法庭；公开讨论的广场
sculpt,"n. 雕刻品
vt. 造型；雕刻
vi. 造型；雕刻"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
tumour,n.  瘤；肿瘤；肿块
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
gravity,n. 重力，地心引力；严重性；庄严
valentine,n. 情人；情人节礼物
bridesmaid,n. 女傧相
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
poultry,"n. 家禽
家禽肉"
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
hereafter,"n. 将来；来世
adv. 今后，从此以后"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
peasant,n. 农民；乡下人
carnation,"n.  康乃馨；肉色；粉红色
adj. 肉红色的"
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
leaflet,n. 小叶；传单
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
tribe,n. 部落；族；宗族；一伙
dismantle,"vt. 拆除；取消；解散；除掉…的覆盖物
vi. 可拆卸"
fairy,"n. 仙女，小精灵；漂亮姑娘
adj. 虚构的；仙女的"
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
polish,找不到解释
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
glamour,"n. 魅力，魔力；迷人的美
vt. 迷惑，迷住"
sigh,"n. 叹息，叹气
vt. 叹息，叹气
vi. 叹息，叹气"
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
concord,n. 和谐；和睦；一致；协调
widow,"n. 寡妇；孀妇
vt. 使成寡妇"
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅"
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
demon,n. 恶魔；魔鬼；精力充沛的人；邪恶的事物
cube,"n. 立方；立方体；骰子
vt. 使成立方形；使自乘二次；量…的体积"
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
satire,n. 讽刺；讽刺文学，讽刺作品
utter,"adj. 完全的；彻底的；无条件的
vt. 发出，表达；发射"
scandal,n. 丑闻；流言蜚语；诽谤；公愤
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
evacuate,"vt. 疏散，撤退；排泄
vi. 疏散；撤退；排泄"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
spam,v. 刷屏
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
graveyard,n. 墓地
sly,adj. 狡猾的；淘气的；诡密的
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
vague,adj. 模糊的；含糊的；不明确的；暧昧的
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
honeycomb,"n. 蜂巢，蜂巢状之物
adj. 似蜂巢的
vt. 使成蜂巢状；把…弄得千疮百孔
vi. 变成蜂巢状"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
crossword,n. 纵横字谜；纵横填字谜（等于cross puzzle）
crossword puzzle,"na. 纵横字谜
 纵横拼字谜；填字游戏；一种填字游戏"
linguistic,adj. 语言的；语言学的
reckless,adj. 鲁莽的，不顾后果的；粗心大意的
transparent,adj. 透明的；显然的；坦率的；易懂的
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
vapour,n. 蒸气（等于vapor）；水蒸气
vapor,"n. 蒸汽；烟雾
vt. 使……蒸发；使……汽化
vi. 蒸发；吹牛；沮丧"
legacy,n. 遗赠，遗产
insulate,vt. 隔离，使孤立；使绝缘，使隔热
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
pedal,"n. 踏板；脚蹬子
vi. 踩踏板；骑车
vt. 骑（自行车）；踩……的踏板
adj. 脚的；脚踏的"
volcano,n. 火山
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
diagram,"n. 图表；图解
vt. 用图解法表示"
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
shuffle,"n. 洗牌，洗纸牌；混乱，蒙混；拖着脚走
v. 洗牌；推诿，推卸；拖曳，慢吞吞地走；搅乱"
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
bracket,"n. 支架；括号；墙上凸出的托架
vt. 括在一起；把…归入同一类；排除"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
quarantine,"n. 检疫；隔离；检疫期；封锁
vt. 检疫；隔离；使隔离
vi. 实行隔离"
install,vt. 安装；任命；安顿
flesh,"n. 肉；肉体
vt. 喂肉给…；使发胖
vi. 长胖"
shiver,"n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎"
dine,"vi. 进餐，用餐
vt. 宴请"
cite,vt. 引用；传讯；想起；表彰
nonetheless,adv. 尽管如此，但是
inquest,n. 审讯；验尸；讯问
wrest,"n. 扭，拧
vt. 用力拧；抢夺；歪曲"
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
glimmer,"n. 微光；闪光；少许
vi. 闪烁；发微光"
anecdote,n. 轶事；奇闻；秘史
corps,n. 军团；兵种；兵队；（德国大学的）学生联合会
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
firefight,n. 交火；炮战
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
caveman,n. （史前石器时代的）穴居人；野人
carriage,n. 运输；运费；四轮马车；举止；客车厢
evenly,adv. 均匀地；平衡地；平坦地；平等地
cafeteria,n. 自助餐厅
toddle,"n. 东倒西歪的走路；刚学走步的小孩
vi. 蹒跚学步；东倒西歪地走；散步"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
sniff,"vt. 嗅；闻；用力吸；发觉
vi. 嗅；嗤之以鼻
n. 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声"
illusion,n. 幻觉，错觉；错误的观念或信仰
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
antenna,n.  天线； 触角， 触须
wavelength,n.  波长
subtlety,n. 微妙；敏锐；精明
architect,"n. 建筑师
缔造者"
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
criteria,n. 标准，条件（criterion的复数）
curriculum,"n. 课程
总课程"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
beforehand,"adj. 提前的；预先准备好的
adv. 事先；预先"
powder,"n. 粉；粉末； 火药；尘土
vt. 使成粉末；撒粉；搽粉于
vi. 搽粉；变成粉末"
shorthand,"n. 速记；速记法
adj. 速记法的"
brochure,n. 手册，小册子
bilingual,"n. 通两种语言的人
adj. 双语的"
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
livelihood,n. 生计，生活；营生
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
buddha,找不到解释
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
stadium,n. 体育场；露天大型运动场
rhythm,n. 节奏；韵律
pinpoint,"n. 针尖；精确位置；极小之物
vt. 查明；精确地找到；准确描述
adj. 精确的；详尽的"
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
influenza,n.  流行性感冒（简写flu）；家畜流行性感冒
flu,n. 流感
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
communist,"n. 共产党员；共产主义者
adj. 共产主义的"
lettuce,n.  生菜；莴苣；（美）纸币
calorie,n. 卡路里（热量单位）
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
prolong,vt. 延长；拖延
needy,adj. 贫困的；贫穷的；生活艰苦的
gymnastics,n. 体操；体育；体操运动
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
counterpart,n. 副本；配对物；极相似的人或物
turtle,n. 龟，甲鱼；海龟
workaholic,"n. 专心工作的人；醉心于工作的人；为免遭辞退而工作过份卖力的人
adj. 醉心于工作的"
exert,vt. 运用，发挥；施以影响
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
rack,"n.  齿条；架子；拷问台
vt. 折磨；榨取
vi. 变形；随风飘；小步跑"
warship,n. 战船， 军舰
canteen,n. 食堂，小卖部；水壶
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
greed,n. 贪婪，贪心
colony,n. 殖民地；移民队；种群；动物栖息地
profound,adj. 深厚的；意义深远的；渊博的
spice,"n. 香料；情趣；调味品；少许
vt. 加香料于…；使…增添趣味"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
prevail,vi. 盛行，流行；战胜，获胜
contort,"vt. 扭曲；曲解
vi. 扭曲"
manual,"adj. 手工的；体力的
n. 手册，指南"
layout,n. 布局；设计；安排；陈列
scrawl,"n. 潦草的笔迹
vt. 潦草地写；乱涂
vi. 乱涂，涂鸦；乱写"
idiom,n. 成语，习语；土话
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
telegram,"n. 电报
vt. 用电报发送
vi. 发电报"
outing,"n. 远足；短途旅游；体育比赛
adj. 远足适用的
v. 出来；暴露（out的ing形式）"
drown,"vt. 淹没；把…淹死
vi. 淹死；溺死"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
tremendous,adj. 极大的，巨大的；惊人的；极好的
genetic,adj. 遗传的；基因的；起源的
Confucius,n. 孔子（中国哲学家，教育家）
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
biotechnology,n.  生物技术； 生物工艺学
intervene,vi. 干涉；调停；插入
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
retard,"n. 延迟；阻止
vt. 延迟；阻止；妨碍；使减速
vi. 减慢；受到阻滞"
holy,"n. 神圣的东西
adj. 圣洁的，神圣的；至善的
（俚）太棒了"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
protein,"n. 蛋白质；朊
adj. 蛋白质的"
longevity,n. 长寿，长命；寿命
overdose,"vt. 配药过量；使过分沉溺
n. 药量过多（等于overdosage）
vi. 服药过量；过分沉溺"
flavour,"n. 香味；滋味
vt. 给……调味；给……增添风趣"
compartment,"n.  隔间；区划；卧车上的小客房
vt. 分隔；划分"
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
leftover,"n. 残留物；吃剩的饭菜；剩余物
adj. 残余的；吃剩的"
innovative,adj. 革新的，创新的；新颖的；有创新精神的
glitter,"vi. 闪光；闪烁
n. 闪光；灿烂"
lane,n. 小巷； 航线；车道；罚球区
sacred,adj. 神的；神圣的；宗教的；庄严的
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
beverage,n. 饮料
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
architecture,n. 建筑学；建筑风格；建筑式样；架构
rumour,"n. 谣言
vt. 传闻"
foreman,n. 领班；陪审团主席
pardon,"n. 原谅；赦免；宽恕
vt. 原谅；赦免；宽恕"
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
tomb,"n. 坟墓；死亡
vt. 埋葬"
feasible,adj. 可行的；可能的；可实行的
ironic,adj. 讽刺的；反话的
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
millionaire,"n. 百万富翁；大富豪
adj. 100万以上人口的"
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
milestone,n. 里程碑，划时代的事件
heatstroke,n.  中暑
slipper,"n. 拖鞋
vt. 用拖鞋打"
handrail,n. 扶手；（楼梯等的）栏杆
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
melody,n. 旋律；歌曲；美妙的音乐
skinny,"n. 机密情报；内部消息；小道消息
adj. 皮的；皮包骨的；紧身的；小气的"
surpass,vt. 超越；胜过，优于；非…所能办到或理解
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
controversy,n. 争论；论战；辩论
blacksmith,n. 铁匠；锻工
midst,"n. 当中，中间
prep. 在…中间（等于amidst）"
amidst,prep. 在…当中
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
massage,"vt. 按摩；揉
n. 按摩；揉"
transcript,n. 成绩单；抄本，副本；文字记录
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
utility,"n. 实用；效用；公共设施；功用
adj. 实用的；通用的；有多种用途的"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
oxygen,n.  氧气， 氧
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
exposition,n. 博览会；阐述；展览会
symptom,n.  症状；征兆
pistol,"n. 手枪；信号枪
vt. 用手枪射击"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
sneeze,"n. 喷嚏
vi. 打喷嚏"
