unofficial,adj. 非官方的；非正式的
sprout,"n. 芽；萌芽；苗芽
vt. 使发芽；使萌芽
vi. 发芽；长芽"
pollinate,vt. 对...授粉
pollination,n.  授粉（作用）
pollinator,n. 传粉者，传粉媒介，传粉昆虫；授花粉器
vegetation,n. 植被；植物，草木；呆板单调的生活
leafy,adj. 多叶的；叶状的；叶茂盛的
leaflet,n. 小叶；传单
foliage,n. 植物；叶子（总称）
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
offshoot,n. 分支；支流；衍生物
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
vine,"n. 藤；葡萄树；藤本植物；攀缘植物
vi. 长成藤蔓；爬藤"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
petal,n. 花瓣
stigma,n.  柱头；耻辱；污名；烙印；特征
corolla,n.  花冠
pollen,"n.  花粉
vt. 传授花粉给"
nectar,n.  花蜜；甘露；神酒；任何美味的饮料
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
twig,"n. 小枝；嫩枝；末梢
vt. 理解
vi. 理解"
bough,n. 大树枝
trunk,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
canopy,"n. 天篷；华盖；遮篷；苍穹
vt. 用天蓬遮盖；遮盖"
understory,n. 林下叶层；下层植被
olive,"n. 橄榄；橄榄树；橄榄色
adj. 橄榄的；橄榄色的"
plum,"n. 李子；梅子；洋李；紫红色
adj. 人所希望的；有利的；上等的"
coconut,n. 椰子；椰子肉
husk,"n. 皮；外壳；无价值之物
vt. 削皮；以粗哑的嗓音说
vi. 嗓音变得嘶哑"
peel,"n. 皮
v. 剥，剥落；削"
kernel,n. 核心，要点； 内核；仁；麦粒，谷粒；精髓
meadow,n. 草地；牧场
lawn,n. 草地；草坪
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
scrub,"n. 矮树；洗擦；擦洗者；矮小的人（或物）
vt. 用力擦洗；使净化
vi. 擦洗；进行手臂消毒
adj. 矮小的；临时凑合的；次等的"
undergrowth,n. 发育不全；生长在大树下的灌木；动物身上长在长毛下面的浓密绒毛
algae,n.  藻类； 海藻
cactus,n.  仙人掌
mint,"n. 薄荷； 造币厂，巨款
vt. 铸造，铸币
adj. 完美的"
peppermint,n. 薄荷；薄荷油；胡椒薄荷；薄荷糖（等于mint）
orchid,"n. 兰花； 兰科植物；淡紫色
adj. 淡紫色的"
lily,"n. 百合花，百合；类似百合花的植物；洁白之物
adj. 洁白的，纯洁的"
tulip,n. 郁金香
amber,"n. 琥珀；琥珀色
adj. 琥珀色的；琥珀制的
vt. 使呈琥珀色"
resin,"n. 树脂；松香
vt. 涂树脂；用树脂处理"
fern,n.  蕨； 蕨类植物
moss,"n. 苔藓；泥沼
vt. 使长满苔藓"
lichen,"n. 地衣；青苔
vt. 使长满地衣"
herb,n. 香草，药草
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
hazel,"n. 淡褐色；榛子
adj. 淡褐色的；榛树的"
maple,n. 枫树；淡棕色
pine,"n.  松树；凤梨，菠萝
adj. 松木的；似松的
vt. 为…悲哀；哀悼
vi. 渴望，痛苦；憔悴"
cedar,n. 雪松；香柏；西洋杉木
willow,"n.  柳树； 柳木制品
adj. 柳木制的"
redwood,n. 红木树， 红杉；红树木材
birch,"n. 桦木；桦树；桦条
vt. 用桦条鞭打"
elm,"n.  榆树；榆木
adj. 榆树的；榆木的"
beech,"n. 山毛榉
adj. 山毛榉木材的"
evergreen,"n. 常绿树；常绿植物
adj.  常绿的；永葆青春的"
oak,"n. 橡树；橡木色；橡木家具
adj. 栎树的；栎木制的"
cypress,n.  柏树，柏木属植物（原产北美、欧、亚）；柏树枝（用作哀悼的标志）
spruce,"n. 云杉
vt. 打扮整齐
adj. 整洁的
vi. 打扮整齐；使显干净"
fir,"n. 冷杉；枞木
abbr. 弗京（firkin）"
broadleaf,n. 阔叶树；阔叶烟草
conifer,n. 针叶树； 松柏科植物
marsh,"n. 沼泽；湿地
adj. 沼泽的；生长在沼泽地的"
bog,"n. 沼泽；泥塘
vt. 使陷于泥沼；使动弹不得
vi. 陷于泥沼；动弹不得"
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
mire,"n. 泥潭； 泥沼
vi. 陷于泥坑；陷入困境
vt. 使陷于泥坑；使陷入困境"
rain forest,"na. (热带多雨地区茂密的)雨林
 热带雨林；雨林唱片；雨林花海"
deciduous,adj. 落叶性的，脱落性的；非永久性的
succulent,"n. 肉质植物；多汁植物
adj. 多汁的；多水分的；多汁性的"
aquatic plant,"na. 水生植物
 水草；水上植物；北京水生植物"
spore,"n. 孢子
vi. 长孢子"
airborne,adj.  空运的；空气传播的；风媒的
waterborne,adj. 水运的；水传播的；由水浮起的
substrate,n. 基质；基片；底层（等于substratum）；酶作用物
microbe,n. 细菌，微生物
biology,n. （一个地区全部的）生物；生物学
organic matter,"na. 有机物
 有机质；有机物质；有机质含量"
inorganic matter,"na. 无机物
 无机物质"
microorganism,n.  微生物；微小动植物
metabolism,n.  新陈代谢
metabolite,n.  代谢物
hormone,n.  激素，荷尔蒙
pheromone,n. 信息素（用于生化领域）；费洛蒙（昆虫分泌以刺激同种昆虫之化合物质）
enzyme,n.  酶
starch,"n. 淀粉；刻板，生硬
vt. 给…上浆"
glucose,n. 葡萄糖；葡糖（等于dextrose）
glycogen,n. 糖原；动物淀粉
carbohydrate,n.  碳水化合物； 糖类
hydrate,"n. 水合物；氢氧化物
vt. 使成水化合物
vi. 与水化合"
dehydrate,"vt. 使…脱水；使极其口渴；使丧失力量和兴趣等
vi. 脱水；去水"
dehydration,n. 脱水
amino acid,"n. 氨基酸
 胺基酸；天然胺基酸；氨基酸矿物质微量元素"
lactic acid,"n. 乳酸
 L-乳酸；血乳酸；乳酸配方"
nucleic acid,"n. 核酸
 核酸类；核苷酸；核酸第七种营养素"
protein,"n. 蛋白质；朊
adj. 蛋白质的"
cholesterol,n.  胆固醇
collagen,n.  胶原，胶原质
fat,"n. 脂肪，肥肉
adj. 肥的，胖的；油腻的；丰满的
vt. 养肥；在…中加入脂肪
vi. 长肥"
vitamin,n.  维生素； 维他命
cellulose,n. 纤维素；（植物的）细胞膜质
fiber,n. 纤维；光纤（等于fibre）
fibrous,adj. 纤维的，纤维性的；纤维状的
gene,n.  基因，遗传因子
genotype,n. 基因型；遗传型
genetically modified,"adj. （植物等）遗传修饰的
 转基因；转基因的；基因改造"
genetic mutation,"un. 遗传突变
 基因突变；基因的突变；遗传基因的突变"
chromosome,n.  染色体（形容词chromosomal，副词chromosomally）
molecule,n.  分子；微小颗粒，微粒
molecular,adj.  分子的；由分子组成的
membrane,n. 膜；薄膜；羊皮纸
cell wall,"na. “cell membrane”的变体
 细胞壁；细胞璧；格式壁"
nucleus,n. 核，核心；原子核
nuclei,n. 核心，核子；原子核（nucleus的复数形式）
cytoplasm,n.  细胞质
unicellular,adj.  单细胞的
multicellular,adj.  多细胞的；多空隙的
fission,n. 裂变；分裂；分体；分裂生殖法
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
bacteria,n.  细菌
bacterium,n.  细菌；杆菌属
bacterial,adj.  细菌的
fungus,n. 真菌，霉菌；菌类
fungi,n. 真菌；菌类；蘑菇（fungus的复数）
fungal,adj. 真菌的（等于fungous）
virus,n.  病毒；恶毒；毒害
carrier,n.  载体；运送者；带菌者；货架
oxygen,n.  氧气， 氧
oxide,n.  氧化物
oxidant,n. 氧化剂
antioxidant,n.  抗氧化剂；硬化防止剂； 防老化剂
oxidize,"vt. 使氧化；使生锈
vi. 氧化"
oxidation,n.  氧化
monoxide,n.  一氧化物
dioxide,n. 二氧化物
carbon monoxide,"n. 一氧化碳
 一气化碳；一氧化物；二氧化碳"
carbon dioxide,"n. 二氧化碳
 一氧化碳；二氧货碳；碳酐"
aerobic,adj. 需氧的；增氧健身法的
anaerobic,adj.  厌氧的， 厌气的；没有气而能生活的
yeast,n. 酵母；泡沫；酵母片；引起骚动因素
ferment,"vt. 使发酵；酝酿；使动乱
vi. 发酵；动乱
n. 发酵；酵素；动乱"
fermentation,n. 发酵
neuroscience,n. 神经系统科学（指神经病学、 神经化学等）
cortex,n.  皮质；树皮；果皮
uterus,n.  子宫
womb,"n.  子宫；发源地
vt. 容纳"
fetus,n. 胎儿，胎
torso,n. 躯干；裸体躯干雕像；未完成的作品；残缺不全的东西
forehead,n. 额，前额
brow,n. 眉，眉毛；额；表情
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
skeletal,adj. 骨骼的，像骨骼的；骸骨的；骨瘦如柴的
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
organ,n.  器官；机构；风琴；管风琴；嗓音
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
neuron,n.  神经元，神经单位
reflex,"n. 反射；反映；映像；回复；习惯性思维
adj. 反射的；反省的；反作用的；优角的"
conditioning,"n. 调节；条件作用；整修；训练，健身训练
v. 以…为条件（condition的ing形式）"
conditioned reflex,"un. 条件反射
 制约反射；制约反应；条件的反射"
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
heartbeat,n. 心跳；情感
valve,"n. 阀； 瓣膜；真空管；活门
vt. 装阀于；以活门调节"
skull,n. 头盖骨，脑壳
spine,n. 脊柱，脊椎；刺；书脊
spinal column,"n. 脊柱
 脊椎；脊椎骨；柱腰"
spinal cord,"n. 脊髓
 脊髓神经；脊椎；脊椎神经"
articulation,n. 关节；接合；清晰发音
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
rib,"n. 肋骨；排骨；肋状物
vt. 戏弄；装肋于"
pelvis,n. 骨盆
hip,"n. 臀部；蔷薇果；忧郁
adj. 熟悉内情的；非常时尚的"
windpipe,n. 气管；嗓门
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
voice box,"n. 喉
 音箱；喉头；发音盒"
larynx,n.  喉；喉头
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
nasal,"adj. 鼻的；鼻音的
n. 鼻骨；鼻音；鼻音字"
duct,"n. 输送管，导管
vt. 用导管输送；以导管封住"
saliva,n. 唾液；涎
plasma,n.  等离子体；血浆； 深绿玉髓
bloodstream,n.  血流，血液的流动
blood vessel,"n. 血管
 血脉；心脑血管；血液流通的管道"
vessel,n. 船，舰； 脉管，血管；容器，器皿
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
artery,n. 动脉；干道；主流
capillary,"n. 毛细管
adj. 毛细管的；毛状的"
blood cell,"na. 血球
 血细胞；血液细胞；血细胞生理"
red blood cell, 红血球（等于erythrocyte，red blood corpuscle或red cell，略作RBC）
clot,"n.  凝块
vi. 凝结
vt. 使凝结成块"
eyeball,"n. 眼球；眼珠子
vt. 盯住看；仔细对…打量
vi. 仔细打量；盯着"
eyelash,n. 睫毛
eyelid,n.  眼睑；眼皮
pupil,n. 学生； 瞳孔；未成年人
iris,"n.  虹膜；鸢尾属植物
adj. 鸢尾属植物的"
cornea,n.  角膜
retina,n.  视网膜
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
eardrum,n. 鼓膜，耳膜；中耳
epidermis,n. 上皮，表皮
lobe,n. （脑、肺等的）叶；裂片；耳垂；波瓣
waist,n. 腰，腰部
abdomen,n. 腹部；下腹；腹腔
viscera,n. 内脏；内容（viscus的复数）
gut,"n. 内脏；肠子；剧情；胆量；海峡；勇气；直觉；肠
vt. 取出内脏；摧毁（建筑物等）的内部
adj. 简单的；本质的，根本的；本能的，直觉的"
lung,n. 肺；呼吸器
stomach,"n. 胃；腹部；胃口
vt. 忍受；吃下
vi. 忍受"
liver,n. 肝脏；生活者，居民
kidney,n.  肾脏；腰子；个性
pancreas,n.  胰腺
spleen,n. 脾脏；坏脾气；怒气
gallbladder,n.  胆囊
gland,"n. 腺
密封压盖"
bladder,n. 膀胱；囊状物，可充气的囊袋
intestine,"n. 肠
adj. 内部的；国内的"
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
anus,n.  肛门
anal,adj.  肛门的，直肠的；肛门附近的
genitals,n. 生殖器；外阴部
genital,"n. 生殖器；外阴部
adj. 生殖的；生殖器的"
yawn,"n. 哈欠；裂口
vt. 张开；打著哈欠说
vi. 打哈欠；裂开"
respire,"vt. 呼吸
vi. 呼吸"
respiration,n. 呼吸；呼吸作用
artificial respiration,"n. 人工呼吸
 人工呼吸急救法；人工呼吸设备；人工呼吸机"
perspire,"vt. 使流汗；分泌出
vi. 流汗；分泌；渗出"
perspiration,n. 汗水；流汗；努力
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
inhalation,n. 吸入；吸入药剂
exhale,"vt. 呼气；发出；发散；使蒸发
vi. 呼气；发出；发散"
exhalation,n. 蒸发，呼气；散发物
excrete,vt. 排泄；分泌
excretion,n. 排泄，排泄物；分泌，分泌物
feces,n. 排泄物；渣滓
body fluid,找不到解释
kinesthetic,adj. 动觉的（等于kinaesthetic）；肌肉运动知觉的
motor system,"un. 运动系统
 马达系统；动力系统；电机系统"
respiratory system,"un. 呼吸系统
 呼吸系统疾病；强化呼吸系统；呼吸系统用药"
circulatory system,"un. 循环系统
 循环式；血液循环系统；循环系统变化"
nervous system,"n. 神经系统
 神经系统用药；神经细统；表示神经系统"
central nervous system,"n. 中枢神经系统
 中央神经系统；神经用药；中枢神经用药"
digestive system,"n. 消化系统
 肠胃；消化系统所包含的器官；主要系统有消化系统"
endocrine system,"un. 内分泌系统
 身体内分泌系统；内分泌腺构成内分泌系统；内分泌系统检查"
reproductive system,"un. 生殖系统
 繁殖系统；生殖系统疾病；男女生殖系统"
urinary system,"un. 泌尿系统
 泌尿系统肿瘤；泌尿学说；泌尿系统疾病"
excretory system,"un. 排泄系统
 系统类；分泌系统；统系泄排"
pathogen,n. 病原体；病菌
antibody,n.  抗体
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
penicillin,n. 盘尼西林（青霉素）
anesthetic,"n. 麻醉剂，麻药
adj. 麻醉的；感觉缺失的"
painkiller,n. 止痛药
influenza,n.  流行性感冒（简写flu）；家畜流行性感冒
flu,n. 流感
bird flu,"n. 禽流感（鸟类传染病，可感染人类并导致死亡）
 一种鸟流感；因禽流感；鸟类流感"
concussion,n. 冲击；震荡；脑震荡
hypertension,n. 高血压；过度紧张
inflammation,n.  炎症； 发炎；燃烧；发火
bronchitis,n.  支气管炎
anemia,n. 贫血；贫血症
leukemia,n.  白血病
pneumonia,n. 肺炎
asthma,n.  哮喘，气喘
tuberculosis,n. 肺结核；结核病
ulcer,n.  溃疡；腐烂物；道德败坏
hiccup,"n. 打嗝
vi. 打嗝
vt. 呃逆着（或间断地）说出"
stomach ulcer,n. 胃溃疡
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
constipation,n.  便秘；受限制
diarrhea,n. 腹泻，痢疾
cholera,n.  霍乱
malaria,n.  疟疾；瘴气
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
diabetes,n. 糖尿病；多尿症
spasm,n.  痉挛；抽搐；一阵发作
heart attack,"n. 心脏病发作
 心肌梗塞；心脏病突发；突发性心脏病"
immunity,n. 免疫力；豁免权；免除
caries,n.  龋齿；骨疡；骨溃疡
cavity,n. 腔；洞，凹处
inoculate,vt.  接种；嫁接；灌输
inoculation,n.  接种；接木；接插芽
vaccinate,"vt. 给…注射疫苗
vi. 接种疫苗
n. 被接种牛痘者"
vaccination,n. 接种疫苗；种痘
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
dentist,"n. 牙科医生
牙医诊所"
physician,n.  医师；内科医师
veterinarian,n.  兽医
vet,"n. 兽医
vt. 审查；诊疗
vi. 作兽医；诊疗"
surgeon,n. 外科医生
ecosystem,n. 生态系统
Darwinism,n. 达尔文学说；达尔文主义；进化论
natural selection,"n. 自然选择；物竞天择
 自然淘汰；自然选择学说；天择说"
survival of the fittest,"un. 最适者生存；适应生存
 优胜劣汰；适者生存法则；物竞天择"
speciation,n.  物种形成
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
genus,n. 类，种； 属
genera,n.  属（genus的复数形式）；种；类
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
suborder,n. 亚目
food chain,"n. 食物链
 食品链；海洋食物链；事物链"
biomass,n. （单位面积或体积内的） 生物量
flora,n. 植物区系；植物群
fauna,n. 动物群； 动物区系
niche,"n. 壁龛；合适的职业；有利可图的市场(或形势等)
vt. 放入壁龛"
biota,n. 生物区（系）；一时代（一地区）的动植物
biosphere,n. 生物圈
biodiversity,n. 生物多样性
biotic,adj. 生物的；有关生命的
abiotic,adj. 非生物的，无生命的
intraspecies,adj. 种内的
subspecies,n.  亚种
endangered species,"na. 濒危物种
 濒临灭绝的物种；濒危种；濒危动物"
ecosphere,n. 生态层， 生物圈
ecocide,n. 生态灭绝
global warming,"n. 全球（气候）变暖；地球大气层变暖
 全球变暖；全球暖化；警惕全球变暖"
greenhouse effect,"n. 温室效应
 温室效用；造成温室效应；温室气体"
ozonosphere,n. 臭氧层
ozone layer,"n. 臭氧层
 臭气层；臭氧层破坏；因臭氧层"
ozone hole,"n. 臭氧洞
 臭氧层空洞；臭氧空洞；臭氧层破洞"
ultraviolet radiation,"un. 紫外线照射；紫外线辐射；紫外辐射；紫外射线
 紫外光；紫外线幅射；紫外光辐射"
fumes,"n. 烟气；激动；空想的事物（fume的复数）
v. 蒸发；冒烟；发怒（fume的三单形式）"
sewage,n. 污水；下水道；污物
solid waste,"n. 固体废弃物
 固体废物；固体垃圾；固体废料"
sewage plant, 污水处理厂；污水厂；污水站
soil erosion,"n. 水土流失
 土壤侵蚀；土壤流失；土壤冲蚀"
deforestation,n. 采伐森林；森林开伐
deforest,vt. 采伐森林；清除…上的树林
reforestation,n. 重新造林
reforest,vt. 重新造林
desertification,n. （土壤）荒漠化；沙漠化（等于desertization）
acid rain,"n. 酸雨；酸性降水
 酸雨公司；酸雨问题；酸性雨"
photochemical smog,"un. 光化学烟雾
 光化烟雾；光化学雾；光化雾"
noise pollution,"na. 噪音污染
 噪声污染；公害噪音；治理噪声"
decibel,n. 分贝
light pollution,"n. 光污染（人工照明造成）
 光害；灯光污染；日光污染"
fossil fuel,"n. 化石燃料（如煤或石油）
 矿物燃料；石化燃料；化石能源"
solar energy,"na. 太阳能
 大阳能；太阳能电池；太阳能发电"
solar panel,"n. 太阳能电池板
 太阳能板；太阳电池板；太阳能面板"
hydropower,n. 水力发出的电力；水力发电
hydroelectricity,n. 水力电气
tidal energy, 潮能，潮汐能，潮汐能量
alternative energy, 替代能源；可替代能源；替代性能源
renewable resources,"un. 可恢复的资源；可更新资源
 可再生资源；再生性资源；可更新的资源"
paleontology,n. 古生物学
anthropology,"n. 人类学
人类学家"
paleoanthropology,n. 古人类学
hominid,"n. 原始人类；人科动物
adj. 人类及其祖先的"
Homo sapiens,"na. 人；人类
 智人；现代人；克罗马侬人"
dinosaur,n. 恐龙；过时、落伍的人或事物
tyrannosaurus,n. 暴龙
T-Rex,找不到解释
Stone Age,"n. 石器时代
 石器时代消消看；石票代；石器世"
Paleolithic,adj. 旧石器时代的
Mesolithic,n. 中石器时代(旧石器时代与新石器时代之间的时代)
Neolithic,找不到解释
Bronze Age,"na. 青铜器时代；(人类的)青铜时代
 青铜票代；青铜世；青铜文明年代"
Iron Age,"na. 黑铁时代；(人类的)颓废时期；黑铁时代；末世
 铁器时代；钢铁时代；铁器世"
prehistoric,adj. 史前的；陈旧的
radiocarbon dating,放射性碳测定年代；碳同位素年龄测定
Middle Ages,找不到解释
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
dynasty,n. 王朝，朝代
clan,n. 宗族；部落；集团
tribe,n. 部落；族；宗族；一伙
nomad,"n. 游牧民；流浪者
adj. 游牧的；流浪的"
nomadic,adj. 游牧的；流浪的；游动的
nomadic tribe,找不到解释
chieftain,n. 酋长；首领
funeral,"n. 葬礼；麻烦事
adj. 丧葬的，出殡的"
cemetery,n. 墓地；公墓
Pharaoh,找不到解释
mound,"n. 堆；高地；坟堆；护堤
vt. 堆起；筑堤
vi. 积成堆"
ceramic,"n. 陶瓷；陶瓷制品
adj. 陶瓷的；陶器的；制陶艺术的"
porcelain,"n. 瓷；瓷器
adj. 瓷制的；精美的"
china,找不到解释
pottery,n. 陶器；陶器厂；陶器制造术
potter,"n. 陶艺家，制陶工人
vt. 闲混，虚度
vi. 闲逛；慢条斯理地做事"
earthenware,n. 陶器；土器
stoneware,n. 瓷器；石器
shard,n. （甲虫的） 鞘翅；陶瓷碎片
silverware,n. 银器；镀银餐具
artifact,n. 人工制品；手工艺品
pictograph,n.  象形文字；古代石壁画；统计图表
hieroglyph,n. 象形文字；图画文字；秘密符号
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
cuneiform,"n. 楔形文字；楔状骨
adj. 楔形的；楔形文字的；楔状骨的"
scroll,"n. 卷轴，画卷；名册；卷形物
vi. 成卷形
vt. 使成卷形"
parchment,n. 羊皮纸；羊皮纸文稿
barter,"n. 易货贸易；物物交换；实物交易
vt. 以…作为交换；拿…进行易货贸易
vi. 进行易货贸易； 作物物交换；讨价还价"
Sumerian,adj. 苏美尔的，苏美尔人的；闪族人的；闪族语的 n. 苏美尔人；苏美尔语；闪族人；闪族语
Maya,"n. 马雅人；马雅语
adj. 马雅人的；马雅语的"
Mesopotamia,n. 美索不达米亚（亚洲西南部）
Aegean,"n. 爱琴海（地中海的一部分）
adj. 爱琴海的"
Persia,n. 波斯（西南亚国家，现称伊朗）
troposphere,n.  对流层
stratosphere,n. 同温层；最上层；最高阶段
ionosphere,n.  电离层
convection,n.  对流；传送
updraft,"n. 上升气流； 向上之排气
adj.  向上通风的"
ocean current,"n. 海流
 洋流；洋流或海流；海洋流"
airflow,"n. 气流（尤指飞机等产生的）；空气的流动
adj. 让空气自由流动的；气流产生的；流线型的"
turbulence,n. 骚乱，动荡； 湍流；狂暴
vortex,n.  涡流；漩涡；（动乱，争论等的）中心；旋风
whirlpool,n. 漩涡，涡流；混乱，纷乱
eddy,"n. 涡流；漩涡；逆流
vi. 旋转；起漩涡
vt. 使…起漩涡"
maelstrom,n. 大漩涡；极度混乱；不可抗的破坏力
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
gale,n.  大风，狂风；（突发的）一阵
typhoon,n.  台风
hurricane,n. 飓风，暴风
tornado,n.  龙卷风；旋风；暴风；大雷雨
cyclone,n. 旋风； 气旋；飓风
whirlwind,"n. 旋风；旋风般的快速行动
adj. 旋风般的"
monsoon,n. 季风；（印度等地的）雨季；季候风
wind velocity,"un. 风速
 风矢量；抗风；风速度"
cumulus,n.  积云；堆积；堆积物
smog,n. 烟雾
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
sandstorm,n.  沙暴；大风沙
dust storm,"n. 尘暴
 沙尘暴；如尘暴；沙尘风暴"
landslide,"n.  山崩；大胜利
vi. 发生山崩；以压倒优势获胜"
avalanche,"n. 雪崩
vt. 雪崩
vi. 崩塌"
hydrology,n. 水文学，水文地理学
hydrosphere,n.  水界， 水圈；水气
precipitation,n.  沉淀， 沉淀物；降水；冰雹；坠落；鲁莽
rainfall,n. 降雨；降雨量
snowfall,n. 降雪；降雪量
tempest,"n. 暴风雨；骚动；动乱
vt. 使狂怒；扰乱，使激动
vi. 小题大作；起大风暴"
downpour,n. 倾盆大雨；注下
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮"
torrential rain,"un. 暴雨；倾盆大雨；急雨
 豪雨；骤雨；大暴雨"
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
drizzle,"n. 细雨，毛毛雨
vt. 下毛毛雨
vi. 下毛毛雨"
sprinkle,"n. 撒，洒；少量
vt. 洒；微雨；散置
vi. 洒，撒；下稀疏小雨；喷撒"
sleet,"n. 雨夹雪；雨淞
vt. 冻雨拍打；使下霰般落下
vi. 下雨夹雪；下冰雹"
blizzard,"n. 暴风雪，大风雪；大打击
vi. 下暴风雪"
snowstorm,n. 暴风雪；雪暴
flurry,"n. 慌张；疾风；飓风；骚动
vt. 使恐慌；使激动
vi. 慌张；激动"
hail,"n. 冰雹；致敬；招呼；一阵
vt. 致敬；招呼；向...欢呼；猛发；使像下雹样落下（过去式hailed，过去分词hailed，现在分词hailing，第三人称单数hails）
int. 万岁；欢迎
vi. 招呼；下雹"
snowflake,n. 雪花；雪片莲；雪巫
frost,"n. 霜；冰冻，严寒；冷淡
vi. 结霜；受冻
vt. 结霜于；冻坏"
droplet,n. 小滴，微滴
dew,"n. 珠，滴；露水；清新
vt. （露水等）弄湿
vi. 结露水"
humidity,n.  湿度；湿气
humid,adj. 潮湿的；湿润的；多湿气的
moisture,n. 水分；湿度；潮湿；降雨量
moist,"adj. 潮湿的；多雨的；含泪的
n. 潮湿"
vapor,"n. 蒸汽；烟雾
vt. 使……蒸发；使……汽化
vi. 蒸发；吹牛；沮丧"
vaporize,"vt. 使…蒸发
vi. 蒸发"
vaporization,n. 蒸发；喷雾器；蒸馏器
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
evaporation,n. 蒸发；消失
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
thunderstorm,n.  雷暴；雷暴雨；大雷雨
twilight,"adj. 黎明，黄昏；薄暮；衰退期；朦胧状态
n. 黄昏；薄暮；衰退期；朦胧状态"
