purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
bankruptcy,n. 破产
financial,adj. 金融的；财政的，财务的
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
monetary,adj. 货币的；财政的
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
beneficial,adj. 有益的，有利的；可享利益的
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accountable,adj. 有责任的；有解释义务的；可解释的
accounting,"n. 会计，会计学；账单
v. 解释（account的ing形式）；叙述"
accounting,"n. 会计，会计学；账单
v. 解释（account的ing形式）；叙述"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accountant,n. 会计师；会计人员
accountancy,n. 会计工作；会计学；会计师之职
deficit,n. 赤字；不足额
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
fluctuation,n. 起伏，波动
fluctuant,adj. 变动的；波动的；起伏的
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
fund,"n. 基金；资金；存款
vt. 投资；资助"
foundation,n. 基础；地基；基金会；根据；创立
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
budgetary,adj. 预算的
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
investment,n. 投资；投入；封锁
investor,n. 投资者
estate,n. 房地产；财产；身份
real estate,"n. 房地产；不动产；房产
 房地产业；房地产专业；房地产学"
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
stockbroker,n.  股票经纪人
stockholder,n. 股东；股票持有人
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
cheque,n. 支票
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
coin,"n. 硬币，钱币
vt. 铸造（货币）；杜撰，创造"
coiner,n. 造币人，伪造货币者，创造者
shilling,n. 先令
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
tax,"n. 税金；重负
vt. 向…课税；使负重担"
taxation,n. 课税，征税；税款
duty,n. 责任； 关税；职务
tariff,"n. 关税表；收费表
vt. 定税率；征收关税"
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
expensive,adj. 昂贵的；花钱的
expenditure,n. 支出，花费；经费，消费额
income,n. 收入，收益；所得
earn,vt. 赚，赚得；获得，挣得；使得到；博得
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
bonus,n. 奖金；红利；额外津贴
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
donation,n. 捐款，捐赠物；捐赠
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
premium-rate,"un. 保险费率
 保费率；溢价率；保费费率"
receipt,"n. 收到；收据；收入
vt. 收到"
receive,"vt. 收到；接待；接纳
vi. 接收"
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
militant,"adj. 好战的
n. 富有战斗性的人；好斗者；激进分子"
militarism,n. 军国主义；尚武精神，好战态度；职业军人的精神
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
compete,vi. 竞争；比赛；对抗
competition,n. 竞争；比赛，竞赛
competent,adj. 胜任的；有能力的；能干的；足够的
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
warfare,n. 战争；冲突
war,"n. 战争，斗争；军事，战术；冲突，对抗，竞争
vi. 打仗，作战；对抗"
warrior,n. 战士，勇士；鼓吹战争的人
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
combative,adj. 好战的；好事的
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
strategy,n. 战略，策略
strategic,adj. 战略上的，战略的
strategist,n. 战略家；军事家
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
tactical,adj. 战术的；策略的；善于策略的
maneuver,"n.  机动；演习；策略；调遣
vi.  机动；演习；调遣；用计谋
vt.  机动；演习；用计；调遣"
march,n. 三月
expedition,n. 远征；探险队；迅速
expedite,"vt. 加快；促进；发出
adj. 畅通的；迅速的；方便的"
expeditionary,adj. 远征的；探险的；讨伐的；考察的
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
interference,n. 干扰，冲突；干涉
interference,n. 干扰，冲突；干涉
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
intruder,n. 侵入者；干扰者；妨碍者
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
invasion,n. 入侵，侵略；侵袭；侵犯
destruction,n. 破坏，毁灭；摧毁
destructive,adj. 破坏的；毁灭性的；有害的，消极的
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
rebellion,n. 叛乱；反抗；谋反；不服从
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
betrayal,n. 背叛；辜负；暴露
traitor,n. 叛徒；卖国贼；背信弃义的人
treason,n.  叛国罪；不忠
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
violate,vt. 违反；侵犯，妨碍；亵渎
violation,n. 违反；妨碍，侵害；违背；强奸
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
forbid,vt. 禁止；不准；不允许；严禁
prohibit,vt. 阻止，禁止
restrict,vt. 限制；约束；限定
restriction,n. 限制；约束；束缚
restrain,vt. 抑制，控制；约束；制止
restraint,n. 抑制，克制；约束
limit,"n. 限制；限度；界线
vt. 限制；限定"
limited,"adj. 有限的
n. 高级快车"
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
coalition,n. 联合；结合，合并
coalescing,"adj. 聚结的
v. 合并；联合（coalesce的现在分词）"
coalescent,"adj. 接合的，结合的，合并的
n. 合并，接合，联合"
coalescence,n. 合并；联合；接合
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
refute,vt. 反驳，驳斥；驳倒
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
evasive,adj. 逃避的；托辞的；推托的
evasively,adv. 逃避地；推诿地
evasion,n. 逃避；回避；借口
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
evacuate,"vt. 疏散，撤退；排泄
vi. 疏散；撤退；排泄"
evacuation,n. 疏散；撤离；排泄
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
avoid,vt. 避免；避开，躲避；消除
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
surroundings,n. 环境；周围的事物
enclose,vt. 围绕；装入；放入封套
siege,"n. 围攻；包围；围城；不断袭击；长期努力
vt. 围攻；包围"
weapon,n. 武器，兵器
sword,n. 刀，剑；武力，战争
blade,n. 叶片；刀片，刀锋；剑
arrow,"n. 箭，箭头；箭状物；箭头记号
vt. 以箭头指示；箭一般地飞向"
hammer,"n. 铁锤；链球； 锤骨；音锤
vi. 锤击；敲打；重复
vt. 锤击；锤打"
pistol,"n. 手枪；信号枪
vt. 用手枪射击"
rifle,"n. 步枪；来复枪
vt. 用步枪射击；抢夺；偷走"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
bullet,"n. 子弹；只选某党全部候选人的投票；豆子
vi. 射出；迅速行进"
bullet point,"n. 点句重要项目（文件中列举时用正方形、菱形等点句符开始）
 要点；项目符号；工作经验下至少有两个要点"
cannon,"n. 大炮；加农炮；榴弹炮；机关炮
vt. 炮轰
vi. 炮轰；开炮"
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
missile,"n. 导弹；投射物
adj. 导弹的；可投掷的；用以发射导弹的"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
on target,"un. 已捕获目标
 到达目标上空；论目标；射正目标"
hit a target,"na. 达到定额
 击中目标"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
poisonous,adj. 有毒的；恶毒的；讨厌的
poisonous,adj. 有毒的；恶毒的；讨厌的
toxic,adj. 有毒的；中毒的
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
explosion,n. 爆炸；爆发；激增
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
bang,"n. 刘海；重击；突然巨响
vt. 重击；发巨响
adv. 直接地；砰然地；突然巨响地"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
glitter,"vi. 闪光；闪烁
n. 闪光；灿烂"
glittery,adj. 闪烁的，闪光的
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
twinkle,"n. 闪烁
vt. 使闪耀；闪耀
vi. 闪烁；发亮"
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
colony,n. 殖民地；移民队；种群；动物栖息地
refugee,n. 难民，避难者；流亡者，逃亡者
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
bait,"n. 饵；诱饵
vt. 引诱；在…中放诱饵；折磨
vi. 中途休息"
hostage,n. 人质；抵押品
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍"
enemy,"n. 敌人，仇敌；敌军
adj. 敌人的，敌方的"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
might,"n. 力量；威力；势力
v. 可以；或许（may的过去式）；应该
aux. 可能；也许"
mighty,"adj. 有力的；强有力的；有势力的
adv. 很；极；非常
n. 有势力的人"
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
generally,adv. 通常；普遍地，一般地
colonel,n. 陆军上校
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
guardian,"n.  监护人，保护人；守护者
adj. 守护的"
navy,"n. 海军
深蓝色的"
naval,adj. 海军的；军舰的
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
scout,"n. 搜索，侦察；侦察员；侦察机
vt. 侦察；跟踪，监视；发现
vi. 侦察；巡视；嘲笑"
detective,"n. 侦探
adj. 侦探的"
adventurer,n. 冒险家；投机商人
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
unambitious,adj. 无野心的；无名利心的；谦虚的
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
aggression,n. 侵略；进攻；侵犯；侵害
fierce,adj. 凶猛的；猛烈的；暴躁的
fiercely,adv. 猛烈地；厉害地
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
bloody,"adj. 血腥的；非常的；嗜杀的，残忍的；血色的
vt. 使流血
adv. 很"
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败"
slaughterer,n. 屠夫；刽子手
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
sacrificial,adj. 牺牲的；献祭的
casualty,n. 意外事故；伤亡人员；急诊室
frighten,"vt. 使惊吓；吓唬…
vi. 害怕，惊恐"
frightened,"v. 害怕；使吃惊；吓走（frighten的过去分词）
adj. 害怕的；受惊的；受恐吓的"
frightening,adj. 令人恐惧的；引起突然惊恐的
intimidate,vt. 恐吓，威胁；胁迫
threat,n. 威胁，恐吓；凶兆
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
terrible,"adj. 可怕的；很糟的；令人讨厌的
adv. 很，非常"
horrible,adj. 可怕的；极讨厌的
horror,n. 惊骇；惨状；极端厌恶；令人恐怖的事物
horribly,adv. 可怕地；非常地
grim,adj. 冷酷的；糟糕的；残忍的
reckless,adj. 鲁莽的，不顾后果的；粗心大意的
recklessness,n. 鲁莽；轻率；不顾一切，不顾后果
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
turbulence,n. 骚乱，动荡； 湍流；狂暴
intricate,adj. 复杂的；错综的，缠结的
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
formidably,adv. 强大地；难对付地；可怕地
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
warning,"n. 警告；预兆；预告
v. 警告（warn的ing形式）
adj. 警告的；引以为戒的"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
preparation,n. 预备；准备
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
equip,vt. 装备，配备
equipment,n. 设备，装备；器材
happen,vi. 发生；碰巧；偶然遇到
occur,vi. 发生；出现；存在
occurrence,n. 发生；出现；事件；发现
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
stab,"n. 刺；戳；尝试；突发的一阵
vt. 刺；刺伤；戳；刺穿；直入
vi. 刺；刺伤；戳；刺痛"
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
assassinate,vt. 暗杀；行刺
assassin,n. 刺客，暗杀者
assassination,n. 暗杀，行刺
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
humiliate,vt. 羞辱；使…丢脸；耻辱
blackmail,"n. 勒索，敲诈；勒索所得之款
vt. 勒索，敲诈"
blackmailer,n. 勒索者；敲诈者
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
bury,vt. 埋葬；隐藏
execute,vt. 实行；执行；处死
execution,n. 执行，实行；完成；死刑
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
inverted,"adj. 倒转的，反向的
v. 颠倒（invert的过去分词）；使…反向"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
interruption,n. 中断；干扰；中断之事
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
incur,vt. 招致，引发；蒙受
compel,vt. 强迫，迫使；强使发生
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
obligation,n. 义务；职责；债务
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
impair,vt. 损害；削弱；减少
impaired,"v. 损害（impair的过去式和过去分词）
adj. 受损的"
impairment,n. 损伤，损害
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
disturbance,n. 干扰；骚乱；忧虑
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
mislead,vt. 误导；带错
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
rid,vt. 使摆脱；使去掉
get rid of,"na. 除掉；摆脱；撵走
 除去；去掉；处理掉"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
boundary,n. 边界；范围；分界线
defend,"vi. 保卫；防守
vt. 辩护；防护"
defence,n. 防御；防卫；答辩；防卫设备
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
escort,"n. 陪同；护航舰；护卫队；护送者
vt. 护送；陪同；为…护航"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
devote,vt. 致力于；奉献
devotion,n. 献身，奉献；忠诚；热爱
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
pursuit,n. 追赶，追求；职业，工作
impart,vt. 给予（尤指抽象事物），传授；告知，透露
impartation,"n. 给予, 告知"
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
incorporated,"adj. 合并的；组成法人组织的
v. 合并；包含；组成公司（incorporate的过去分词）"
incorporation,n. 公司；合并，编入；团体组织
deviate,"vi. 脱离；越轨
vt. 使偏离"
diverge,"vt. 使偏离；使分叉
vi. 分歧；偏离；分叉；离题"
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
obstacle,n. 障碍，干扰；妨害物
dilemma,n. 困境；进退两难；两刀论法
plight,"n. 困境；境况；誓约
vt. 保证；约定"
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
intriguer, 密谋者
intriguing,"adj. 有趣的；迷人的
v. 引起…的兴趣；策划阴谋；私通（intrigue的ing形式）"
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
violence,n. 暴力；侵犯；激烈；歪曲
violent,adj. 暴力的；猛烈的
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
outrageous,adj. 粗暴的；可恶的；令人吃惊的
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
protestor,n. 抗议者
famine,n. 饥荒；饥饿，奇缺
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
funeral,"n. 葬礼；麻烦事
adj. 丧葬的，出殡的"
hell,"n. 地狱；究竟（作加强语气词）；训斥；黑暗势力
vi. 过放荡生活；飞驰
int. 该死；见鬼（表示惊奇、烦恼、厌恶、恼怒、失望等）"
devil,"n. 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼
vt. 虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮"
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
matter,"n. 物质；事件
vi. 有关系；要紧"
event,n. 事件，大事；项目；结果
accident,n. 事故；意外； 意外事件；机遇
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
evident,adj. 明显的；明白的
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
prove,"vi. 证明是
vt. 证明；检验；显示"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
challenging,"v. 要求；质疑；反对；向…挑战；盘问（challenge的ing形式）
adj. 挑战的；引起挑战性兴趣的"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
missionary,"adj. 传教的；传教士的
n. 传教士"
medal,n. 勋章，奖章；纪念章
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
spectacular,adj. 壮观的，惊人的；公开展示的
panorama,n. 全景，全貌；全景画；概论
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
occasionally,adv. 偶尔；间或
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
victory,n. 胜利；成功；克服
glorious,adj. 光荣的；辉煌的；极好的
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
terrific,adj. 极好的；极其的，非常的；可怕的
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
comfortable,"n. 盖被
adj. 舒适的，舒服的"
surname,"n. 姓，姓氏；绰号，别名
vt. 给…起别名；给…姓氏"
family name,"n. 姓
 姓氏；科名；是姓"
last name,"n. 姓
 姓氏；你身份证上的姓氏；你的姓"
given name,"na. 名字
 教名；和名；起的名字"
nickname,"n. 绰号；昵称
vt. 给……取绰号；叫错名字"
anonymous,adj. 匿名的，无名的；无个性特征的
anonymity,n. 匿名；匿名者；无名之辈
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
solely,adv. 单独地，唯一地
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
