economic,adj. 经济的，经济上的；经济学的
airborne,adj.  空运的；空气传播的；风媒的
akin,adj. 类似的；同类的；同族的
ale,n. 麦芽酒
align,"vt. 使结盟；使成一行；匹配
vi. 排列；排成一行"
allot,vt. 分配；拨给；分派
allude,vi. 暗指，转弯抹角地说到；略为提及，顺便提到
almighty,"n. 全能的神
adj. 全能的；有无限权力的
adv. 非常"
aloft,"prep. 在…之上；在…顶上
adj. 在空中的；在高处的；在上面的
adv. 在空中；在高处；在上面"
amass,vt. 积聚，积累
amiable,adj. 和蔼可亲的，亲切的
analogue,"n. 类似物；类似情况；对等的人
adj. 类似的；相似物的；模拟计算机的"
anecdote,n. 轶事；奇闻；秘史
anguish,"n. 痛苦；苦恼
vt. 使极度痛苦
vi. 感到极度的痛苦"
annex,"n. 附加物；附属建筑物
vt. 附加；获得；并吞"
antagonism,n. 对抗，敌对；对立；敌意
antenna,n.  天线； 触角， 触须
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
antonym,n.  反义词
ape,"n.  猿；傻瓜；模仿者
vt. 模仿；抢台词
adj. 狂热的"
appal,"vt. 使惊骇；惊吓
vi. 减弱；变得苍白；令人发腻"
appall,vt. 使胆寒；使惊骇
apprentice,"n. 学徒；生手
vt. 使…当学徒
vi. 当学徒"
apron,"n. 围裙； 停机坪；舞台口
vt. 着围裙于；围绕"
arbitrate,vt. 仲裁；公断
archive,"n. 档案馆；档案文件
vt. 把…存档"
ardent,adj. 热情的；热心的；激烈的；燃烧般的
aristocrat,n. 贵族
artifact,n. 人工制品；手工艺品
assorted,"v. 把…分等级；把…归为一类（assort的过去分词）
adj. 组合的；各种各样的；混杂的"
assortment,n. 分类；混合物
astray,"adj. 迷路的；离开正道的；不对头的
adv. 误入歧途地；迷途地；迷路"
asylum,n. 庇护；收容所，救济院
atrocity,n. 暴行；凶恶，残暴
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
autobiography,n. 自传；自传文学
avenge,"vt. 替…报仇
vi. 报复，报仇"
barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
barometer,n.  气压计；晴雨表；显示变化的事物
barracks,"n. 兵营，营房；简陋的房子；警察所（barrack的复数）
v. 使驻扎军营里；住在工房、棚屋里；（澳）大声鼓噪（barrack的三单形式）"
bead,"n. 珠子；滴；念珠
vt. 用珠装饰；使成串珠状
vi. 形成珠状，起泡"
beak,n.  鸟嘴；鹰钩鼻子；地方执法官；男教师
beetle,"n. 甲虫；大槌
vt. 用槌打
vi. 急忙来回；突出"
benevolent,adj. 仁慈的；慈善的；亲切的
benign,adj. 良性的；和蔼的，亲切的；吉利的
beset,vt. 困扰；镶嵌；围绕
besiege,vt. 围困；包围；烦扰
beware,"vt. 注意，当心；提防
vi. 当心，小心"
bilateral,adj. 双边的；有两边的
binoculars,n.  双筒望远镜； 双筒镜， 双目镜
bishop,n. （基督教的）主教；（国际象棋的）象
bleach,"n. 漂白剂
vt. 使漂白，使变白
vi. 变白，漂白"
bluff,"n. 吓唬；绝壁；断崖
vi. 吓唬
adj. 直率的；陡峭的
vt. 吓唬；愚弄"
bolster,"n. 支持；长枕
vt. 支持；支撑"
botany,n. 植物学；地区植物总称
bouquet,n. 花束；酒香
bout,n. 回合；较量；发作；一阵
brigade,"n. 旅；大部队；队列
vt. 把…编成旅；把…编成队"
Buddhism,n. 佛教
buffalo,n.  水牛； 野牛（产于北美）；水陆两用坦克
buffer,"n.  缓冲区；缓冲器， 减震器
vt. 缓冲"
bureaucrat,n. 官僚；官僚主义者
burglar,n. 夜贼，窃贼
butt,"n. 屁股；烟头；笑柄；靶垛；粗大的一端
vt. 以头抵撞；碰撞"
coconut,n. 椰子；椰子肉
caravan,"n. （可供居住的）拖车，大篷车；（穿过沙漠地带的）旅行队（如商队）；<英>活动住宅；<美>移民列车
vi. 乘拖车度假；参加旅行队旅行"
carbohydrate,n.  碳水化合物； 糖类
casino,n. 俱乐部，赌场；娱乐场
cauliflower,n. 花椰菜，菜花
censor,"n. 检查员； 潜意识压抑力；信件检查员
vt. 审查，检查；检查和删节"
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
choir,"n. 唱诗班；合唱队；舞蹈队
vt. 合唱
vi. 合唱"
cleanse,vt. 净化；使…纯净；使…清洁
clearing,"n. 结算；空地；清扫
v. 澄清；放晴（clear的ing形式）"
clench,"vt. 紧握；确定；把…敲弯
vi. 握紧；钉牢
n. 紧抓；敲环脚"
clergy,n. 神职人员；牧师；僧侣
cliché,找不到解释
cloak,"n. 斗蓬；宽大外衣；托词
vt. 遮掩；隐匿"
clog,"n. 障碍；木底鞋
v. 阻塞；障碍"
cockpit,n. 驾驶员座舱；战场
coexist,vi. 共存；和平共处
colonel,n. 陆军上校
compassion,n. 同情；怜悯
complacent,adj. 自满的；得意的；满足的
conceit,"n. 自负；狂妄；幻想
vt. 幻想"
concurrent,"n.  共点；同时发生的事件
adj. 并发的；一致的；同时发生的"
condolence,n. 哀悼；慰问
conducive,adj. 有益的；有助于…的
confederation,n. 联盟；邦联；同盟
confide,"vt. 吐露；委托
vi. 信赖；吐露秘密"
congregate,"vi. 聚集
adj. 集合在一起的
vt. 聚集"
connotation,n. 内涵；含蓄；暗示，隐含意义；储蓄的东西（词、语等）
conspire,"vi. 共谋；协力
vt.  密谋策划"
consulate,n. 领事；领事馆；领事任期；领事职位
contagious,adj. 感染性的；会蔓延的
contingent,"n. 分遣队；偶然事件；分得部分；代表团
adj. 因情况而异的；不一定的；偶然发生的；可能的；依情况而定的；偶然的；有条件的"
converse,"n. 逆行，逆向；倒；相反的事物
adj. 相反的，逆向的；颠倒的
vi. 交谈，谈话；认识
n. 匡威（服装品牌）"
convoy,"n. 护送；护卫；护航队
vt. 护航；护送"
coral,"n. 珊瑚；珊瑚虫
adj. 珊瑚的；珊瑚色的"
corporal,"n. 下士
adj. 肉体的，身体的"
cosmetic,"n. 化妆品；装饰品
adj. 美容的；化妆用的"
cosmopolitan,"n. 四海为家者；世界主义者；世界各地都有的东西
adj. 世界性的；世界主义的，四海一家的"
counterfeit,"n. 赝品；冒牌货；伪造品
adj. 假冒的，伪造的；虚伪的
vt. 伪造，仿造；假装，伪装
vi. 仿造；假装"
coup,"n. 政变；妙计；出乎意料的行动；砰然的一击
vt. 使…颠倒；使…倾斜
vi. 推倒；倾斜；溢出"
crackdown,n. 镇压；（美）制裁；强制取缔；惩罚
crate,"n. 板条箱；篓
vt. 将某物装入大木箱或板条箱中"
cricket,n. 板球，板球运动；蟋蟀
crouch,"n. 蹲伏
vt. 低头；屈膝
vi. 蹲伏，蜷伏；卑躬屈膝"
crow,"n.  乌鸦；鸡鸣；撬棍
vi. 啼叫；报晓"
crunch,"n. 咬碎，咬碎声；扎扎地踏
vt. 压碎；嘎扎嘎扎的咬嚼；扎扎地踏过
vi. 嘎吱作响地咀嚼；嘎吱嘎吱地踏过"
cub,"n. 幼兽；不懂规矩的年轻人
vi. 生育幼兽"
cuisine,n. 烹饪，烹调法
cult,n. 祭仪（尤其指宗教上的）；礼拜；狂热信徒
cunning,"n. 狡猾
adj. 狡猾的；巧妙的；可爱的"
curfew,n. 宵禁；宵禁令；晚钟；打晚钟时刻
curtail,vt. 缩减；剪短；剥夺…特权等
custody,n. 保管；监护；拘留；抚养权
deadlock,"n. 僵局，停顿
vt. 停顿；相持不下
vi. 死锁；停顿"
debris,n. 碎片，残骸
debut,"n. 初次登台；开张
vi. 初次登台"
delude,vt. 欺骗；哄骗；诱惑；迷惑；逃避；使失望
demographic,adj. 人口统计学的；人口学的
deplete,vt. 耗尽，用尽；使衰竭，使空虚
deplore,vt. 谴责；悲悼；哀叹；对…深感遗憾
depreciate,"vi. 贬值；轻视；贬低
vt. 使贬值；贬低；轻视"
deregulate,"vt. 解除对……的管制
vi. 解除控制"
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
deter,vt. 制止，阻止；使打消念头
detergent,n. 清洁剂；去垢剂
detriment,n. 损害；伤害；损害物
devastate,vt. 毁灭；毁坏
devastating,"adj. 毁灭性的；全然的
v. 摧毁（devastate的ing形式）；毁坏"
devour,v. 吞食；毁灭
disarm,"vt. 解除武装；裁军；缓和
vi. 放下武器；裁减军备"
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
dissent,"n. 异议；（大写）不信奉国教
vi. 不同意；不信奉国教"
dissertation,n. 论文，专题；学术演讲
dissident,"n. 持不同政见者，意见不同的人
adj. 持不同政见的，意见不同的"
dogma,n. 教条，教理；武断的意见
dough,n. 生面团；金钱
downgrade,"n. 退步；下坡
vt. 使降级（过去式downgraded，过去分词downgraded，现在分词downgrading，第三人称单数downgrades）；小看
adj. 下坡的
adv. 下坡地"
doze,"n. 瞌睡
vi. 打瞌睡；假寐
vt. 打瞌睡度过"
electoral,adj. 选举的；选举人的
emancipate,vt. 解放；释放
embargo,"vt. 禁止出入港口；禁止或限制贸易；征用或扣押
n. 禁令；禁止；封港令"
embroidery,n. 刺绣；刺绣品；粉饰
eminent,adj. 杰出的；有名的；明显的
emulate,"n. 仿真；仿效
vt. 仿真；模仿；尽力赶上；同…竞争"
encyclopedia,n. 百科全书（亦是encyclopaedia）
encyclopaedia,n. 百科全书
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
envelop,"n. 信封；包裹
vt. 包围；包封；遮盖"
envoy,n. 使者；全权公使
epic,"n. 史诗；叙事诗；史诗般的作品
adj. 史诗的，叙事诗的"
errand,n. 使命；差事；差使
escalate,"vt. 使逐步上升
vi. 逐步增强；逐步升高"
etiquette,n. 礼节，礼仪；规矩
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
exponent,"n.  指数；典型；说明者，说明物
n. 倡导者，鼓吹者，代表者，拥护者
adj. 说明的"
faction,n. 派别；内讧；小集团；纪实小说
fascist,"n. 法西斯主义者；法西斯党员
adj. 法西斯主义的，法西斯党的"
flirt,"n. 急扔；调情的人；卖弄风骚的人
vt. 挥动；忽然弹出
vi. 调情；玩弄；轻率地对待；摆动"
foe,n. 敌人；反对者；危害物
folklore,n. 民俗学；民间传说；民间风俗
forfeit,"n. 罚金；没收物；丧失的东西
vt. （因犯罪、失职、违约等）丧失（权利、名誉、生命等）
adj. 因受罚而丧失的；被没收的"
fortify,"vt. 加强；增强；（酒）的酒精含量；设防于
vi. 筑防御工事"
fortnight,n. 两星期
fragrant,adj. 芳香的；愉快的
franchise,"n. 特权；公民权；经销权；管辖权
vt. 给…以特许（或特权）；赋予公民权"
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
futile,adj. 无用的；无效的；没有出息的；琐细的；不重要的
garlic,n. 大蒜；蒜头
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
glossary,n. 术语（特殊用语）表；词汇表；专业词典
gorge,"n. 峡谷；胃；暴食；咽喉；障碍物
vt. 使吃饱；吞下；使扩张
vi. 拚命吃；狼吞虎咽"
gospel,"n. 真理；信条
adj. 传播福音的；福音赞美诗的"
handicraft,n. 手工艺；手工艺品
havoc,"n. 大破坏；浩劫；蹂躏
vt. 严重破坏
vi. 损毁"
hectic,"n. 脸红；患肺结核
adj. 兴奋的，狂热的；脸上发红；肺病的；忙碌的"
helmet,n. 钢盔，头盔
herald,"n. 预兆，征兆；先驱；传令官；报信者
vt. 通报；预示…的来临"
heroin,n.  海洛因，吗啡
hibernate,vi. 过冬；（动物）冬眠；（人等）避寒
hive,"n. 蜂房，蜂巢；热闹的场所；熙攘喧闹的人群
vi. 群居；入蜂房；生活在蜂房中
vt. 入蜂箱；贮备"
hockey,n. 曲棍球；冰球
hurdle,"n. 障碍；栏；跳栏
vt. 克服
vi. 克服；跳过"
hygiene,n. 卫生；卫生学；保健法
hypocrisy,n. 虚伪；伪善
idol,n. 偶像，崇拜物；幻象；谬论
illicit,adj. 违法的；不正当的
impromptu,"n. 即兴曲；即席演出
adj. 即席的
adv. 即席地"
inborn,adj. 天生的；先天的
incumbent,"n. 在职者；现任者；领圣俸者
adj. 现任的；依靠的；负有职责的"
indict,vt. 控告，起诉； 揭发
indigenous,adj. 本土的；土著的；国产的；固有的
infringe,"vt. 侵犯；违反；破坏
vi. 侵犯；侵害"
inmate,n. (尤指)同院病人；同狱犯人；同被(收容所)收容者
interrogate,"vt. 审问；质问； 询问
vi. 审问；质问"
jack,"n. 千斤顶； 插座；男人
adj. 雄的
vt. 增加；提醒；抬起；用千斤顶顶起某物"
jargon,n. 行话，术语；黄锆石
jelly,"n. 果冻；胶状物
vi. 成胶状
vt. 使结冻"
jockey,"vt. 驾驶；欺骗；移动
n. 操作工；驾驶员；赛马的骑师
vi. 当赛马的骑师；耍手段图谋；搞欺骗"
jolly,"adj. 愉快的；欢乐的；宜人的
adv. 很；非常
vt. （口）用好话劝某人做…；（口）用好话使高兴
vi. （口）开玩笑"
judiciary,"n. 司法部；法官；司法制度
adj. 司法的；法官的；法院的"
jurisdiction,n. 司法权，审判权，管辖权；权限，权力
knight,"n. 骑士，武士；爵士
vt. 授以爵位"
lad,n. 少年，小伙子；家伙
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
lavish,"adj. 浪费的；丰富的；大方的
vt. 浪费；慷慨给予；滥用"
legacy,n. 遗赠，遗产
lenient,adj. 宽大的；仁慈的
lesbian,"adj.  女同性恋的
n. 女同性恋者"
lime,"n. 石灰；酸橙；绿黄色
vt. 撒石灰于；涂粘鸟胶于
adj. 绿黄色的"
limelight,"n. 石灰光，石灰光灯；众人注目的中心
vt. 使显露头角，使受到注目"
lipstick,"n. 口红；唇膏
vt. 涂口红
vi. 涂口红"
livestock,n. 牲畜；家畜
logistics,"n.  后勤；后勤学
物流"
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
loot,"n. 战利品；抢劫；掠夺品
vt. 抢劫，洗劫；强夺
vi. 洗劫，掠夺；抢劫"
lotion,n. 洗液；洗涤剂
lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
lucrative,adj. 有利可图的，赚钱的；合算的
lyric,"adj. 抒情的；吟唱的
n. 抒情诗；歌词"
malice,n. 恶意；怨恨；预谋
malignant,"adj.  恶性的；有害的；有恶意的
n. 保王党员；怀恶意的人"
manifestation,n. 表现；显示；示威运动
mar,"vt. 损毁；损伤；糟蹋；玷污
n. 污点；瑕疵"
maritime,adj. 海的；海事的；沿海的；海员的
martyr,"vt. 牺牲；折磨；杀害
n. 烈士；殉道者"
maternal,adj. 母亲的；母性的；母系的；母体遗传的
merchandise,"n. 商品；货物
vt. 买卖；推销
vi. 经商"
metaphor,n. 暗喻，隐喻；比喻说法
meticulous,adj. 一丝不苟的；小心翼翼的；拘泥小节的
midwife,"n. 助产士；促成因素
vt. 助胎儿出生；促成"
militia,n. 民兵组织；自卫队；义勇军；国民军
mint,"n. 薄荷； 造币厂，巨款
vt. 铸造，铸币
adj. 完美的"
monarchy,n. 君主政体；君主国；君主政治
momentous,adj. 重要的；重大的
morale,n. 士气，斗志
multilateral,adj.  多边的；多国的，多国参加的
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
negligence,n. 疏忽；忽视；粗心大意
nitrogen,n.  氮
noteworthy,adj. 值得注意的；显著的
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
oar,"n. 桨；橹；桨手
vt. 划（船）
vi. 划行"
observatory,n. 天文台；气象台；瞭望台
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
onset,n. 开始，着手；发作；攻击，进攻
ordeal,n. 折磨；严酷的考验；痛苦的经验
outlaw,"n. 歹徒；罪犯；亡命之徒；被剥夺法律保护者
vt. 宣布…为不合法；将…放逐；剥夺…的法律保护"
overhaul,"vt. 分解检查，大修；追上并超过
n. 彻底检修，详细检查"
override,"vt. 推翻；不顾；践踏
n. 代理佣金"
pant,"n. 气喘；喘息；喷气声
vt. 气喘
vi. 喘息；渴望；气喘吁吁地说出某事"
parachute,"n. 降落伞
vi. 跳伞
空投"
parish,"n. 教区
地方行政区"
parole,"n. 语言；誓言，诺言；释放宣言
vt. 有条件释放，假释；使假释出狱；宣誓后释放"
parrot,"n. 鹦鹉；学舌者，应声虫；机械模仿别人的人
vt. 机械地模仿"
partisan,"n. 游击队；虔诚信徒；党羽
adj. 党派的；效忠的；偏袒的；盲目推崇的"
passer-by,n. 过路人；经过的人
patronize,vt. 以高人一等的态度对待；经常光顾，惠顾；资助；保护
patronise,vt. 以高人一等的态度对待; 光顾，惠顾
pasta,n. 意大利面食；面团
peck,"n. 许多；配克（容量单位，等于2加仑）；啄痕；快速轻吻
vt. 啄食；扔
vi. 啄食；扔石头；吹毛求疵"
peddle,"vt. 叫卖；兜售；散播
vi. 沿街叫卖；忙于琐事"
peep,"n. 偷看；隐约看见，瞥见
vi. 窥视；慢慢露出，出现；吱吱叫
vt. 使出现"
perch,"n. 鲈鱼; 高位；栖木；杆
vt. 栖息；就位；位于；使坐落于
vi. 栖息；就位；位于"
persecute,vt. 迫害；困扰；同…捣乱
pesticide,n. 杀虫剂
petrochemical,"n. 石油化学产品
adj. 石化的"
pharmacy,n. 药房；配药学，药剂学；制药业；一批备用药品
plaintiff,n. 原告
plaza,n. 广场；市场，购物中心
plight,"n. 困境；境况；誓约
vt. 保证；约定"
plumber,n. 水管工；堵漏人员
poise,"n. 平衡；姿势；镇静
vi. 平衡；准备好；悬着
vt. 使平衡；保持...姿势"
polytechnic,"n. 工艺学校；理工专科学校
adj. 各种工艺的；综合技术的"
porcelain,"n. 瓷；瓷器
adj. 瓷制的；精美的"
porridge,"n. 粥，糊；麦片粥
vt. 服刑"
portfolio,n. 公文包；文件夹；证券投资组合；部长职务
potent,adj. 有效的；强有力的，有权势的；有说服力的
pottery,n. 陶器；陶器厂；陶器制造术
poultry,"n. 家禽
家禽肉"
practitioner,n. 开业者，从业者，执业医生
predominate,"vt. 支配，主宰；在…中占优势
vi. 占主导（或支配）地位；占优势"
preoccupy,vt. 迷住；使全神贯注
proofread,"vt. 校对，校勘
vi. 做校对工作"
prop,"vt. 支撑，支持，维持；使倚靠在某物上
n. 支柱，支撑物；支持者；道具；（橄榄球中的）支柱前锋"
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
protocol,"n. 协议；草案；礼仪
vt. 拟定
vi. 拟定"
proximate,adj. 近似的；最近的
psychiatry,n. 精神病学；精神病治疗法
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
ratify,vt. 批准；认可
ration,"n. 定量；口粮；配给量
vt. 配给；定量供应"
rattle,"vt. 使发出咯咯声；喋喋不休；使慌乱，使惊慌
vi. 喋喋不休地讲话；发出卡嗒卡嗒声
n. 喋喋不休的人；吓吱声，格格声"
referendum,n. 公民投票权；外交官请示书
rehabilitate,"vt. 使康复；使恢复名誉；使恢复原状
vi. 复兴；复权；恢复正常生活"
rehearse,"vt. 排练；预演
vi. 排练；演习"
reminiscent,"n. 回忆录作者；回忆者
adj. 怀旧的，回忆往事的；耽于回想的"
repute,"n. 名誉；声望
vt. 名誉；认为；把…称为"
reshuffle,"n. 重新洗牌；改组
vt. 重新洗牌；改组；重作安排"
restless,adj. 焦躁不安的；不安宁的；得不到满足的
retaliate,"vi. 报复；回敬
vt. 报复"
retarded,adj. 智力迟钝的；发展迟缓的
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
ridge,"n. 山脊；山脉；屋脊
vt. 使成脊状；作垄
vi. 成脊状"
rust,"n. 锈；生锈； 锈病
vt. 使生锈；腐蚀
vi. 生锈；成铁锈色；变迟钝"
ruthless,adj. 无情的，残忍的
saddle,"n. 鞍，鞍状物；车座；拖具
vt. 承受；使负担；装以马鞍
vi. 跨上马鞍"
salmon,"n. 鲑鱼；大马哈鱼；鲑肉色；鲑鱼肉；橙红色，粉橙色
adj. 浅澄色的"
salon,n. 沙龙；客厅；画廊；美术展览馆
salvage,"n. 打捞；海上救助；抢救财货；救难的奖金
vt. 抢救；海上救助"
sanctuary,n. 避难所；至圣所；耶路撒冷的神殿
sarcasm,n. 讽刺；挖苦；嘲笑
satire,n. 讽刺；讽刺文学，讽刺作品
scrutinize,"n. 仔细或彻底检查
vt. 详细检查；细看
vi. 细阅；作详细检查"
secular,"n. 修道院外的教士，(对宗教家而言的) 俗人
adj. 世俗的；长期的；现世的；不朽的"
seduce,vt. 引诱；诱惑；诱奸；怂恿
shipyard,n. 造船厂；船坞；修船厂
shorthand,"n. 速记；速记法
adj. 速记法的"
shred,"n. 碎片；少量剩余；最少量；破布
vi. 撕碎
vt. 切成条状；用碎纸机撕毁"
sinister,adj. 阴险的；凶兆的；灾难性的；左边的
slam,"n. 猛击；砰然声
vi. 砰地关上；猛力抨击
vt. 砰地关上；猛力抨击"
snail,"n. 蜗牛；迟钝的人
vt. 缓慢移动
vi. 缓慢移动"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
snob,n. 势利小人，势利眼；假内行
sob,"n. 啜泣，呜咽
vt. 哭诉，啜泣
vi. 啜泣，呜咽；（风等）发出呜咽声"
socket,"n. 插座；窝，穴；牙槽
vt. 给…配插座"
sodium,n.  钠（11号元素，符号 Na）
solicit,"vt. 征求；招揽；请求；乞求
vi. 征求；招揽；恳求；请求"
solitude,n. 孤独；隐居；荒僻的地方
soothe,"vt. 安慰；使平静；缓和
vi. 起抚慰作用"
spaghetti,n. 意大利式细面条
spear,"n. 矛，枪
vt. 用矛刺"
spider,n. 蜘蛛；设圈套者；三脚架
sprawl,"n. 蔓生；伸开手足躺卧姿势
vt. 懒散地伸开；使蔓生
vi. 蔓延；伸开手足躺；无计划地扩展"
stagnate,"vt. 使淤塞；使沉滞；使萧条
vi. 停滞；淤塞；变萧条"
stammer,"n. 口吃；结巴
vt. 口吃；结巴着说出
vi. 口吃；结结巴巴地说"
stance,n. 立场；姿态；位置；准备击球姿势
standby,"n. 备用品；可信赖的人
adj. 备用的
adv. 备用地；待命地"
stark,"adj. 完全的；荒凉的；刻板的；光秃秃的；朴实的
adv. 完全；明显地；突出地；质朴地"
stationery,n. 文具；信纸
statute,n.  法规；法令；条例
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
stigma,n.  柱头；耻辱；污名；烙印；特征
stipulate,"adj. 有托叶的
vi. 规定；保证
vt. 规定；保证"
stoop,"n. 弯腰，屈背；屈服
vt. 辱没，堕落；俯曲
vi. 弯腰；屈服；堕落"
stout,"n. 矮胖子；烈性啤酒
adj. 结实的；矮胖的；勇敢的；激烈的"
strait,"n. 海峡；困境
adj. 狭窄的；苦恼的"
strangle,"vt. 把…勒死；使…窒息
vi. 窒息而死；被勒死"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
subsidize,vt. 资助；给与奖助金；向…行贿
subsidise,vt. 给…津贴或补贴，资助或补助…
subsistence,n. 生活；生存；存在
superstition,n. 迷信
surveillance,n. 监督；监视
syndicate,"n. 辛迪加；企业联合；财团
vt. 把…联合成辛迪加；在多家报刊上同时发表
vi. 联合成辛迪加；组成企业联合组织"
synonym,n. 同义词；同义字
taboo,"n. 禁忌；禁止
adj. 禁忌的；忌讳的
vt. 禁忌；禁止"
tact,n. 机智；老练；圆滑；鉴赏力
temporal,"n. 世间万物；暂存的事物
adj. 暂时的；当时的；现世的"
tenure,"n. 任期；占有
vt. 授予…终身职位"
tertiary,"n. 第三纪；第三修道会会员；第三级教士
adj. 第三的；第三位的；三代的"
toil,"n. 辛苦；苦工；网；圈套
vt. 费力地做；使…过度劳累
vi. 辛苦工作；艰难地行进"
topple,"vt. 推翻；颠覆；使倒塌
vi. 倾倒；倒塌；摇摇欲坠"
tornado,n.  龙卷风；旋风；暴风；大雷雨
tournament,n. 锦标赛，联赛；比赛
tranquil,adj. 安静的，平静的；安宁的；稳定的
trauma,n.  创伤（由心理创伤造成精神上的异常）；外伤
treasury,n. 国库，金库；财政部；宝库
trek,"n. 艰苦跋涉
vi. 艰苦跋涉
vt. （牛）拉（货车）；搬运"
tribune,n. 护民官；讲坛；看台；公民权利保护者
trophy,"n. 奖品；战利品；纪念品
vt. 用战利品装饰
adj. 显示身份的；有威望的"
tropic,"n. 热带；回归线
adj. 热带的"
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
turnout,n. 产量；出席者；参加人数；出动；清除； 岔道
ultra,"n. 极端主义者；过激论者；急进论者
adj. 极端的；过分的"
underlie,vt. 成为……的基础；位于……之下
unilateral,adj. 单边的； 单侧的；单方面的；单边音；（父母）单系的
unleash,"vt. 发动；解开…的皮带；解除…的束缚
vi. 不受约束；自由自在；放荡不羁"
uprising,"n. 起义；升起
v. 起义（uprise的ing形式）；升起
adj. 升起的"
uranium,n.  铀
urine,n. 尿
venue,n. 审判地；犯罪地点；发生地点；集合地点
vest,"n. 背心；汗衫
vt. 授予；使穿衣
vi. 归属；穿衣服"
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
vogue,"n. 时尚；流行，时髦
adj. 时髦的，流行的"
volatile,"n. 挥发物；有翅的动物
adj.  挥发性的；不稳定的；爆炸性的；反复无常的"
waive,vt. 放弃；搁置
warranty,n. 保证；担保；授权；（正当）理由
wharf,"n. 码头；停泊处
vt. 使靠码头；为…建码头；把货卸在码头上
vi. 靠码头"
whereabouts,"n. 下落；行踪；去向；所在之处
adv. 在何处；靠近什么地方"
wholesale,"n. 批发
adj. 批发的；大规模的
vt. 批发
adv. 大规模地；以批发方式
vi. 批发；经营批发业"
wicked,adj. 邪恶的；恶劣的；不道德的；顽皮的
wield,vt. 使用；行使；挥舞
wink,"n. 眨眼；使眼色；闪烁；瞬间
vt. 眨眼
vi. 眨眼；使眼色；闪烁"
witch,"n. 巫婆，女巫
vt. 迷惑；施巫术"
wither,"vi. 枯萎；凋谢；衰弱
vt. 使凋谢；使畏缩；使衰弱"
wholesome,adj. 健全的；有益健康的；合乎卫生的；审慎的
wrestle,"n. 摔跤；搏斗；斗争
vi. 摔跤；斗争；斟酌
vt. 与摔跤；与…搏斗；使劲搬动"
yawn,"n. 哈欠；裂口
vt. 张开；打著哈欠说
vi. 打哈欠；裂开"
yearn,vi. 渴望，向往；思念，想念；怀念；同情，怜悯
zeal,n. 热情；热心；热诚
zigzag,"n. 之字形；Z字形
vt. 使成之字形；使曲折行进
vi. 曲折行进；作之字形行进
adj. 曲折的；锯齿形的；之字形的
adv. 曲折地；之字形地；Z字形地"
zip,"n. 拉链; 精力，活力; 尖啸声; 一种程序压缩格式
vt. 给予…速度; 用拉链拉上或扣上
vt.& vi. 尖啸而过; （使沿某方向）快速移动"
zoom,"vi. 嗡嗡作响; 急速上升
n. 嗡嗡声; 隆隆声; （车辆等）疾驰的声音; 变焦
vt. 使急速上升; 使猛增"
abut,"vt. 邻接；毗邻；紧靠
vi. 邻接；毗邻；紧靠"
alarmist,"n. 杞人忧天者；大惊小怪者
adj. 危言耸听的；忧虑的"
allegiance,n. 效忠，忠诚；忠贞
appreciable,adj. 可感知的；可评估的；相当可观的
aroma,n. 芳香
arson,n. 纵火；纵火罪
assessor,n. 评审员；确定税款的人；顾问
