shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机"
lifeline,n. 生命线；救生索
coupon,n. 息票；赠券；联票； 配给券
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
crucial,adj. 重要的；决定性的；定局的；决断的
loss,n. 减少；亏损；失败；遗失
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
mentor,"n. 指导者，良师益友
vt. 指导"
speechless,adj. 说不出话的；哑的；非言语所能表达的
emotional,adj. 情绪的；易激动的；感动人的
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
entrepreneurial,adj. 企业家的，创业者的；中间商的
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
eventful,adj. 多事的；重要的；多变故的；重大的
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
stimulus,n. 刺激；激励；刺激物
exhortation,n. 讲道词，训词；劝告
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
undesirable,"n. 不良分子；不受欢迎的人
adj. 不良的；不受欢迎的；不合需要的"
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
extensive,adj. 广泛的；大量的；广阔的
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
territory,n. 领土，领域；范围；地域；版图
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
wholesome,adj. 健全的；有益健康的；合乎卫生的；审慎的
hypertension,n. 高血压；过度紧张
imply,vt. 意味；暗示；隐含
mobilize,"vt. 动员，调动；集合，组织；使…流通；使…松动
vi. 组织；动员起来"
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
afresh,adv. 重新；再度
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
dual,"n. 双数；双数词
adj. 双的；双重的"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
abundance,n. 充裕，丰富
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
aftermath,n. 后果；余波
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
farewell,"n. 告别，辞别；再见；再会
adj. 告别的
int. 别了！（常含有永别或不容易再见面的意思）；再会！"
envisage,vt. 正视，面对；想像
forestry,n. 林业；森林地；林学
fragile,adj. 脆的；易碎的
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
emit,vt. 发出，放射；发行；发表
gorgeous,adj. 华丽的，灿烂的；极好的
automobile,"n. 汽车
vt. 驾驶汽车
"
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
gymnasium,n. 体育馆；健身房
hatred,n. 憎恨；怨恨；敌意
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
inconvenience,"n. 不便；麻烦
vt. 麻烦；打扰"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
ironical,adj. 讽刺的（等于ironic）；用反语的
jeopardize,vt. 危害；使陷危地；使受危困
lavish,"adj. 浪费的；丰富的；大方的
vt. 浪费；慷慨给予；滥用"
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
gaze,"n. 凝视；注视
vi. 凝视；注视"
finale,n. 结局；终曲；最后一场；最后乐章；尾声
injury,n. 伤害，损害；受伤处
alleviate,vt. 减轻，缓和
lotion,n. 洗液；洗涤剂
intangible,adj. 无形的，触摸不到的；难以理解的
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
maintain,vt. 维持；继续；维修；主张；供养
prominent,adj. 突出的，显著的；杰出的；卓越的
maze,"n. 迷宫；迷惑；糊涂
vt. 迷失；使混乱；使困惑"
sting,"n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
notify,vt. 通告，通知；公布
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
motivate,vt. 刺激；使有动机；激发…的积极性
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
liberate,vt. 解放；放出；释放
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
penalty,n. 罚款，罚金；处罚
provisional,"adj. 临时的，暂时的；暂定的
n. 临时邮票"
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
reckless,adj. 鲁莽的，不顾后果的；粗心大意的
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
sensibility,n. 情感；敏感性；感觉；识别力
conjecture,"n. 推测；猜想
vt. 推测
vi. 推测；揣摩"
resent,vt. 怨恨；愤恨；厌恶
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
delightful,adj. 可爱的，可喜的；讨人喜欢的；令人愉快的
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
siren,"n. 汽笛；迷人的女人；歌声动人的女歌手
adj. 迷人的
vt. 引诱
vi. 响着警报器行驶"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
smuggle,"vt. 走私；偷运
vi. 走私，私运；偷带"
differentiate,"vt. 区分，区别
vi. 区分，区别"
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
willful,adj. 有意的；任性的；故意的
capacity,n. 能力；容量；资格，地位；生产力
stabilize,"vt. 使稳固，使安定
vi. 稳定，安定"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
sumptuous,adj. 华丽的，豪华的；奢侈的
picturesque,adj. 独特的；生动的；别致的；图画般的
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
suspicious,adj. 可疑的；怀疑的；多疑的
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
couplet,n. 对联；对句
taint,"n. 污点；感染
vt. 污染；腐蚀；使感染
vi. 败坏；被污染"
stud,"n. 种马；大头钉；饰纽；壁骨
vt. 散布；用许多饰钮等装饰
adj. 种马的；为配种而饲养的"
consumption,n. 消费；消耗；肺痨
terrify,vt. 恐吓；使恐怖；使害怕
currency,n. 货币；通货
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
undoubtedly,adv. 确实地，毋庸置疑的
trademark,"n. 商标
标志"
upcoming,adj. 即将来临的
victim,n. 受害人；牺牲品；牺牲者
ceramic,"n. 陶瓷；陶瓷制品
adj. 陶瓷的；陶器的；制陶艺术的"
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
defend,"vi. 保卫；防守
vt. 辩护；防护"
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
bulky,adj. 体积大的；庞大的；笨重的
capable,adj. 能干的，能胜任的；有才华的
stab,"n. 刺；戳；尝试；突发的一阵
vt. 刺；刺伤；戳；刺穿；直入
vi. 刺；刺伤；戳；刺痛"
interdependent,adj. 相互依赖的；互助的
ceremonial,"n. 仪式，礼节
adj. 仪式的；正式的，礼仪的"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
ironically,adv. 讽刺地；说反话地
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
downturn,n. 衰退（经济方面）；低迷时期
storage,n. 存储；仓库；贮藏所
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
emission,n. （光、热等的）发射，散发；喷射；发行
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
smelly,adj. 有臭味的，发臭的
drudgery,n. 苦工，苦差事
spicy,adj. 辛辣的；香的，多香料的；下流的
distinct,adj. 明显的；独特的；清楚的；有区别的
superb,adj. 极好的；华丽的；宏伟的
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
terrain,n.  地形，地势；领域；地带
fraction,n. 分数；部分；小部分；稍微
gem,"n. 宝石，珍宝； 精华；受人重视者
vi. 点缀； 用宝石装饰； 饰以宝石
adj. 最佳品质的"
trait,n. 特性，特点；品质；少许
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
gymnastics,n. 体操；体育；体操运动
hasten,"vt. 加速；使赶紧；催促
vi. 赶快；急忙"
agenda,n. 议程；日常工作事项；日程表
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于"
remainder,"n.  余数，残余；剩余物；其余的人
adj. 剩余的；吃剩的
vt. 廉价出售；削价出售
vi. 廉价出售；削价出售"
sensational,adj. 轰动的；耸人听闻的；非常好的；使人感动的
trendy,"n. 追求时髦者；新潮人物
adj. 时髦的，流行的"
uneven,adj. 不均匀的；不平坦的； 奇数的
appetite,n. 食欲；嗜好
evacuate,"vt. 疏散，撤退；排泄
vi. 疏散；撤退；排泄"
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
exotic,adj. 异国的；外来的；异国情调的
avail,"vi. 有益于，有益于；使对某人有利。
vt. 有益于，有益于；使对某人有利。
n. 效用，利益"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
hustle,"n. 推；奔忙；拥挤喧嚷
vt. 催促；猛推；强夺
vi. 赶紧；硬挤过去；骗取财富"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
allergic,adj. 对…过敏的；对…极讨厌的
incompetent,"n. 无能力者
adj. 无能力的，不胜任的；不合适的；不适当的；无力的"
jeer,"n. 嘲笑；戏弄；揶揄的言语
vi. 嘲笑；戏弄
vt. 嘲笑；戏弄"
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
injure,vt. 伤害，损害
liability,n. 责任；债务；倾向；可能性；不利因素
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
memorable,adj. 显著的，难忘的；值得纪念的
notion,n. 概念；见解；打算
lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
occurrence,n. 发生；出现；事件；发现
orthodox,"adj. 正统的；传统的；惯常的；东正教的
n. 正统的人；正统的事物"
collaboration,n. 合作；勾结；通敌
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
oval,"adj. 椭圆的；卵形的
n. 椭圆形；卵形"
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
coalition,n. 联合；结合，合并
horizon,n.  地平线；视野；眼界；范围
abundant,adj. 丰富的；充裕的；盛产
comparison,n. 比较；对照；比喻；比较关系
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
consultative,adj. 咨询的
motionless,adj. 静止的；不运动的
protocol,"n. 协议；草案；礼仪
vt. 拟定
vi. 拟定"
cope,"n. 长袍
vi. 处理；对付；竞争"
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
countless,adj. 无数的；数不尽的
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
comprehensible,adj. 可理解的
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
revenue,n. 税收，国家的收入；收益
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
defiance,n. 蔑视；挑战；反抗
resemble,vt. 类似，像
worthless,adj. 无价值的；不值钱的；卑微的
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
upbringing,n. 教养；养育；抚育
vigor,n.  活力，精力
vocational,adj. 职业的，行业的
wink,"n. 眨眼；使眼色；闪烁；瞬间
vt. 眨眼
vi. 眨眼；使眼色；闪烁"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
delicacy,n. 美味；佳肴；微妙；精密；精美；敏锐，敏感；世故，圆滑
collaborate,vi. 合作；勾结，通敌
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
counterpart,n. 副本；配对物；极相似的人或物
eternity,n. 来世，来生；不朽；永世；永恒
crumple,"n. 皱纹；褶皱
vi. 起皱；倒坍；一蹶不振
vt. 弄皱；使一蹶不振"
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
suspense,n. 悬念；悬疑；焦虑；悬而不决
terrace,"n. 平台；梯田；阳台
adj. （女服）叠层式的
vt. 使成梯田，使成阶地；使有平台屋顶
vi. 成阶地；成梯田；筑成坛"
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
disparity,n. 不同；不一致；不等
episode,n. 插曲；一段情节；插话；有趣的事件
distaste,"n. 厌恶；讨厌
vt. 厌恶；不喜欢
vi. 不喜欢"
certainty,n. 必然；确实；确实的事情
drought,n. 干旱；缺乏
eliminate,vt. 消除；排除
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
cobble,"n. 鹅卵石，圆石
vt. 修，拙劣地修补；铺鹅卵石，用圆石铺面"
irrational,"n.  无理数
adj. 不合理的；无理性的；荒谬的"
exposure,n. 暴露；曝光；揭露；陈列
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
eminent,adj. 杰出的；有名的；明显的
fidelity,n. 保真度；忠诚；精确；尽责
dowry,n. 嫁妆；天资；亡夫遗产
integration,n. 集成；综合
fountain,n. 喷泉，泉水；源泉
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
interactive,adj. 交互式的；相互作用的
janitor,"n. 看门人；守卫；门警
n. 清洁工"
hormone,n.  激素，荷尔蒙
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
hack,"n. 砍，劈；出租马车
vt. 砍；出租
vi. 砍"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
inclination,n. 倾向，爱好；斜坡
protective,adj. 防护的；关切保护的；保护贸易的
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
magnetic,adj. 地磁的；有磁性的；有吸引力的
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
lethal,"adj. 致命的，致死的
n. 致死因子"
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
perception,n. 知觉； 感觉；看法；洞察力；获取
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
hurdle,"n. 障碍；栏；跳栏
vt. 克服
vi. 克服；跳过"
memo,n. 备忘录
compatible,adj. 兼容的；能共处的；可并立的
sensation,n. 感觉；轰动；感动
revered,v. 崇敬，尊崇，敬畏( revere的过去式和过去分词 )
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
hash,"n. 剁碎的食物；混杂，拼凑；重新表述
vt. 搞糟，把…弄乱；切细；推敲"
conscious,adj. 意识到的；故意的；神志清醒的
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
moist,"adj. 潮湿的；多雨的；含泪的
n. 潮湿"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
numerous,adj. 许多的，很多的
occupy,vt. 占据，占领；居住；使忙碌
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
pessimistic,adj. 悲观的，厌世的；悲观主义的
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
accurate,adj. 精确的
posthumous,adj. 死后的；遗腹的；作者死后出版的
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
treaty,n. 条约，协议；谈判
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
recession,n. 衰退；不景气；后退；凹处
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
deficiency,n. 缺陷，缺点；缺乏；不足的数额
reproductive,adj. 生殖的；再生的；复制的
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
aroma,n. 芳香
skepticism,n. 怀疑论；怀疑的态度
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
unfavorable,adj. 不宜的；令人不快的；不顺利的
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
vigorous,adj. 有力的；精力充沛的
transaction,n. 交易；事务；办理；会报，学报
unveil,"vt. 使公之于众，揭开；揭幕
vi. 除去面纱；显露"
vivid,adj. 生动的；鲜明的；鲜艳的
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
wipe,"n. 擦拭；用力打
vi. 擦；打
vt. 擦；消除；涂上"
allegation,n. 指控; 陈述，主张; 宣称; 陈词，陈述;
bang,"n. 刘海；重击；突然巨响
vt. 重击；发巨响
adv. 直接地；砰然地；突然巨响地"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
blizzard,"n. 暴风雪，大风雪；大打击
vi. 下暴风雪"
worth,"n. 价值；财产
adj. 值…的"
bonus,n. 奖金；红利；额外津贴
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
agile,adj. 敏捷的；机敏的；活泼的
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
accumulate,"vt. 积攒
vi. 累积；积聚"
define,vt. 定义；使明确；规定
recess,"n. 休息；休会；凹处
vt. 使凹进；把…放在隐蔽处
vi. 休息；休假"
aviation,n. 航空；飞行术；飞机制造业
bait,"n. 饵；诱饵
vt. 引诱；在…中放诱饵；折磨
vi. 中途休息"
witch,"n. 巫婆，女巫
vt. 迷惑；施巫术"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
candidate,n. 候选人，候补者；应试者
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
bonfire,n. 篝火；营火
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
generic,adj. 类的；一般的；属的；非商标的
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
application,n. 应用；申请；应用程序；敷用
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
align,"vt. 使结盟；使成一行；匹配
vi. 排列；排成一行"
cocaine,n.  可卡因
aristocracy,n. 贵族；贵族统治；上层社会；贵族政治
compel,vt. 强迫，迫使；强使发生
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
destine,vt. 注定；命定；预定
meanwhile,"adv. 同时，其间
n. 其间，其时"
dropout,n. 中途退学；辍学学生
equator,n. 赤道
consecutive,adj. 连贯的；连续不断的
persuasive,adj. 有说服力的；劝诱的，劝说的
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
intention,n. 意图；目的；意向；愈合
council,n. 委员会；会议；理事会；地方议会；顾问班子
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
crunch,"n. 咬碎，咬碎声；扎扎地踏
vt. 压碎；嘎扎嘎扎的咬嚼；扎扎地踏过
vi. 嘎吱作响地咀嚼；嘎吱嘎吱地踏过"
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
cumbersome,adj. 笨重的；累赘的；难处理的
expatriate,"n. 被流放者；移居国外者
adj. 移居国外的；被流放的
vt. 使移居国外；流放，放逐；使放弃国籍
vi. 移居国外；放弃原国籍"
remarkable,adj. 卓越的；非凡的；值得注意的
abusive,adj. 辱骂的；滥用的；虐待的
expose,vt. 揭露，揭发；使曝光；显示
fathom,"n. 英寻（测量水深的长度单位）
vt. 看穿；彻底了解；测量…的深度"
informal,adj. 非正式的；不拘礼节的；随便的；通俗的；日常使用的
formation,n. 形成；构造；编队
glorious,adj. 光荣的；辉煌的；极好的
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
