technology,n. 技术；工艺；术语
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
subscription,n. 捐献；订阅；订金；签署
therapist,n. 临床医学家；治疗学家
thereby,adv. 从而，因此；在那附近；在那方面
troublesome,adj. 麻烦的；讨厌的；使人苦恼的
upbringing,n. 教养；养育；抚育
vastly,adv. 极大地；广大地；深远地
vogue,"n. 时尚；流行，时髦
adj. 时髦的，流行的"
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
workaholism,n. 迷恋工作；醉心工作
wrapping,"n. 包装纸，包装材料
v. 裹住（wrap的ing形式）
adj. 包装用的"
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
accidentally,adv. 意外地；偶然地
adaptable,adj. 适合的；能适应的；可修改的
adaptation,n. 适应；改编；改编本，改写本
adventurous,adj. 爱冒险的；大胆的；充满危险的
agony,n. 苦恼；极大的痛苦；临死的挣扎
arbitrary,adj.  任意的；武断的；专制的
astronomically,adv. 天文学上地；宇航学地；天体地
benign,adj. 良性的；和蔼的，亲切的；吉利的
blessing,"n. 祝福；赐福；祷告
v. 使幸福（bless的ing形式）；使神圣化；为…祈神赐福"
bolster,"n. 支持；长枕
vt. 支持；支撑"
broom,"n. 扫帚；金雀花
vt. 扫除
vi. 桩顶开花或开裂"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
burdensome,adj. 繁重的；累赘的；恼人的
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
carefree,adj. 无忧无虑的；不负责的
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
commentary,n. 评论；注释；评注；说明
commentator,n. 评论员，解说员；实况播音员；时事评论者
commercialization,n. 商品化，商业化
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
comprise,vt. 包含；由…组成
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
consciousness,n. 意识；知觉；觉悟；感觉
consolation,n. 安慰；慰问；起安慰作用的人或事物
constrain,vt. 驱使；强迫；束缚
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
deceased,"n. 死者； 被继承人
adj. 已故的
vi. 死亡（decease的过去式）"
deceive,v. 欺骗；行骗
decorative,adj. 装饰性的；装潢用的
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
deformation,n. 变形
demographics,n. 人口统计资料
dentist,"n. 牙科医生
牙医诊所"
detrimental,"n. 有害的人（或物）；不受欢迎的求婚者
adj. 不利的；有害的"
devour,v. 吞食；毁灭
diligently,adv. 勤奋地；勤勉地
dimensional,adj. 空间的；尺寸的
disposable,adj. 可任意处理的；可自由使用的；用完即可丢弃的
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
disposition,n. 处置； 性情； 部署；倾向
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
embody,vt. 体现，使具体化；具体表达
enrichment,n. 丰富；改进；肥沃；发财致富
eradication,n. 消灭，扑灭；根除
eternal,adj. 永恒的；不朽的
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
expedition,n. 远征；探险队；迅速
explicitly,adv. 明确地；明白地
extensively,adv. 广阔地；广大地
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
fallout,n. 原子尘； 放射性尘埃；原子尘微粒回降；附带结果
flawed,adj. 有缺陷的；有瑕疵的；有裂纹的
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
fragility,n. 脆弱； 易碎性；虚弱
framework,n. 框架，骨架；结构，构架
frankly,adv. 真诚地，坦白地
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
glamorous,adj. 迷人的，富有魅力的
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
glove,"n. 手套
vt. 给…戴手套"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
headway,n. 前进；进步；航行速度；间隔时间
heighten,"vt. 提高；增高；加强；使更显著
vi. 升高；变强"
illiteracy,n. 文盲；无知
illogical,adj. 不合逻辑的；不合常理的
immerse,vt. 沉浸；使陷入
impetus,n. 动力；促进；冲力
impractical,adj. 不切实际的，不现实的；不能实行的
incomplete,adj. 不完全的； 不完备的
inconsistent,adj. 不一致的；前后矛盾的
indecision,n. 优柔寡断；犹豫不决
indication,n. 指示，指出；迹象；象征
inject,vt. 注入；注射
innovator,n. 改革者，创新者
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
intermediary,"n. 中间人；仲裁者；调解者；媒介物
adj. 中间的；媒介的；中途的"
irrigate,"vt. 灌溉；冲洗；使清新
vi. 灌溉；冲洗"
lengthen,"vt. 使延长；加长
vi. 延长；变长"
liberate,vt. 解放；放出；释放
likability,n. 可爱
likewise,adv. 同样地；也
materialize,"vt. 使具体化，使有形；使突然出现；使重物质而轻精神
vi. 实现，成形；突然出现"
materialise,"vt. 物质化（等于materialize）
vi. 突然出现（等于materialize）"
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
mercy,n. 仁慈，宽容；怜悯；幸运；善行
messy,adj. 凌乱的，散乱的；肮脏的，污秽的；麻烦的
methodologically,"方法学
在方法论上"
misfortune,n. 不幸；灾祸，灾难
misuse,"vt. 滥用；误用；虐待
n. 滥用；误用；虐待"
musical,"adj. 音乐的；悦耳的
n. 音乐片"
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
notoriously,adv. 众所周知地；声名狼藉地；恶名昭彰地
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
obedient,adj. 顺从的，服从的；孝顺的
overshadow,vt. 使失色；使阴暗；遮阴；夺去…的光彩
partially,adv. 部分地；偏袒地
perseverance,"n. 坚持不懈；不屈不挠
n. 耐性；毅力"
pinpoint,"n. 针尖；精确位置；极小之物
vt. 查明；精确地找到；准确描述
adj. 精确的；详尽的"
pitfall,n. 陷阱，圈套；缺陷；诱惑
popularisation,n. <主英>=popularization
popularization,n. 通俗化，大众化；普及
populate,vt. 居住于；构成人口；移民于；殖民于
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
predictor,n.  预报器；预言者
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
ecosystem,n. 生态系统
cognitive,adj. 认知的，认识的
penguin,n. 企鹅；空军地勤人员
debris,n. 碎片，残骸
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
sanctuary,n. 避难所；至圣所；耶路撒冷的神殿
census,"n. 人口普查，人口调查
vt. 实施统计调查"
conservation,n. 保存，保持；保护
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
exotic,adj. 异国的；外来的；异国情调的
snail,"n. 蜗牛；迟钝的人
vt. 缓慢移动
vi. 缓慢移动"
tropical,adj. 热带的；热情的；酷热的
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
extinction,n. 灭绝；消失；消灭；废止
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
intervention,n. 介入；调停；妨碍
trait,n. 特性，特点；品质；少许
acupuncture,"n. 针刺； 针刺疗法
vt. 对…施行针刺疗法"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
livestock,n. 牲畜；家畜
pasta,n. 意大利面食；面团
celebrity,n. 名人；名声
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
graze,"n. 放牧；轻擦
vi. 吃草；擦伤
vt. 放牧；擦伤"
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
metabolism,n.  新陈代谢
portray,vt. 描绘；扮演
predator,n.  捕食者； 食肉动物；掠夺者
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
deplete,vt. 耗尽，用尽；使衰竭，使空虚
hypothesis,n. 假设
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
prolong,vt. 延长；拖延
syndrome,n.  综合症状；并发症状；校验子；并发位
transition,n. 过渡；转变； 转换；变调
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
bizarre,adj. 奇异的（指态度，容貌，款式等）
dedicate,vt. 致力；献身；题献
depict,vt. 描述；描画
devastate,vt. 毁灭；毁坏
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
subsidy,n. 补贴；津贴；补助金
texture,n. 质地；纹理；结构；本质，实质
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
alleviate,vt. 减轻，缓和
autonomy,n. 自治，自治权
calcium,n.  钙
certification,n. 证明，保证；检定
conducive,adj. 有益的；有助于…的
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
endorse,vt. 背书；认可；签署；赞同；在背面签名
haven,"n. 港口；避难所，安息所
vt. 为……提供避难处；安置……于港中"
hemisphere,n. 半球
indigenous,adj. 本土的；土著的；国产的；固有的
medication,n. 药物；药物治疗；药物处理
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
obsess,vt. 迷住，缠住；使…着迷；使…困扰
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
pest,n. 害虫；有害之物；讨厌的人
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
scenario,n. 方案；情节；剧本；设想
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
unprecedented,adj. 空前的；无前例的
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
aspire,vi. 渴望；立志；追求
bureaucracy,n. 官僚主义；官僚机构；官僚政治
carbohydrate,n.  碳水化合物； 糖类
civic,adj. 市的；公民的，市民的
cricket,n. 板球，板球运动；蟋蟀
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
diesel,"n. 柴油机；柴油；（俚）健康的身体
adj. 内燃机传动的；供内燃机用的
n. 迪赛（意大利时装品牌）"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
epic,"n. 史诗；叙事诗；史诗般的作品
adj. 史诗的，叙事诗的"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
hectic,"n. 脸红；患肺结核
adj. 兴奋的，狂热的；脸上发红；肺病的；忙碌的"
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
iceberg,n.  冰山；显露部分
impair,vt. 损害；削弱；减少
indebted,"adj. 负债的；感激的；受惠的
v. 使负债；使受恩惠（indebt的过去分词）"
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
ingenuity,"n. 心灵手巧，独创性；精巧；精巧的装置
n. 西门子公司将其品牌宣言“Ingenuity for life” 诠释为“博大精深 同心致远”"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
kidney,n.  肾脏；腰子；个性
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
legacy,n. 遗赠，遗产
longevity,n. 长寿，长命；寿命
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
metaphor,n. 暗喻，隐喻；比喻说法
milestone,n. 里程碑，划时代的事件
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
multitude,n. 群众；多数
olive,"n. 橄榄；橄榄树；橄榄色
adj. 橄榄的；橄榄色的"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
rational,"n. 有理数
adj. 合理的；理性的"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
stun,"n. 昏迷；打昏；惊倒；令人惊叹的事物
vt. 使震惊；打昏；给以深刻的印象"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
toxic,adj. 有毒的；中毒的
tranquility,n. 宁静；平静
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
wrestle,"n. 摔跤；搏斗；斗争
vi. 摔跤；斗争；斟酌
vt. 与摔跤；与…搏斗；使劲搬动"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
align,"vt. 使结盟；使成一行；匹配
vi. 排列；排成一行"
ape,"n.  猿；傻瓜；模仿者
vt. 模仿；抢台词
adj. 狂热的"
aristocrat,n. 贵族
assert,vt. 维护，坚持；断言；主张；声称
atlas,n. 地图集；寰椎
brew,"n. 啤酒；质地
vi. 酿酒；被冲泡；即将发生
vt. 酿造；酝酿"
butt,"n. 屁股；烟头；笑柄；靶垛；粗大的一端
vt. 以头抵撞；碰撞"
casualty,n. 意外事故；伤亡人员；急诊室
catastrophe,n. 大灾难；大祸；惨败
chronic,adj. 慢性的；长期的；习惯性的
chunk,n. 大块；矮胖的人或物
coalition,n. 联合；结合，合并
cocaine,n.  可卡因
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
conspire,"vi. 共谋；协力
vt.  密谋策划"
constraint,n.  约束；局促，态度不自然；强制
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
cumulative,adj. 累积的
degradation,n. 退化；降格，降级；堕落
dissertation,n. 论文，专题；学术演讲
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
dwell,vi. 居住；存在于；细想某事
edible,"n. 食品；食物
adj. 可食用的"
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
entity,n. 实体；存在；本质
envelope,n. 信封，封皮；包膜； 包层；包迹
equity,n. 公平，公正；衡平法；普通股；抵押资产的净值
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
frantic,adj. 狂乱的，疯狂的
grid,n. 网格；格子，栅格；输电网
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
imminent,adj. 即将来临的；迫近的
incur,vt. 招致，引发；蒙受
intimidate,vt. 恐吓，威胁；胁迫
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
midst,"n. 当中，中间
prep. 在…中间（等于amidst）"
nominee,n. 被任命者；被提名的人；代名人
nonetheless,adv. 尽管如此，但是
offspring,n. 后代，子孙；产物
orthodox,"adj. 正统的；传统的；惯常的；东正教的
n. 正统的人；正统的事物"
outfit,"n. 机构；用具；全套装备
vi. 得到装备
vt. 配备；供应"
owl,n. 猫头鹰；枭；惯于晚上活动的人
oxide,n.  氧化物
peninsula,n. 半岛
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
precedent,"n. 先例；前例
adj. 在前的；在先的"
prestige,n. 威望，声望；声誉
rehearsal,n. 排演；预演；练习；训练；叙述
relic,n. 遗迹，遗物；废墟；纪念物
revival,n. 复兴；复活；苏醒；恢复精神；再生效
robust,adj. 强健的；健康的；粗野的；粗鲁的
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
spicy,adj. 辛辣的；香的，多香料的；下流的
spider,n. 蜘蛛；设圈套者；三脚架
stance,n. 立场；姿态；位置；准备击球姿势
subsistence,n. 生活；生存；存在
surpass,vt. 超越；胜过，优于；非…所能办到或理解
threshold,n. 入口；门槛；开始；极限；临界值
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
underlie,vt. 成为……的基础；位于……之下
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
viable,adj. 可行的；能养活的；能生育的
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
abnormal,adj. 反常的，不规则的；变态的
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
advent,n. 到来；出现；基督降临；基督降临节
allure,"n. 诱惑力
vt. 引诱，诱惑；吸引
vi. 诱人，吸引人"
amass,vt. 积聚，积累
ambiguous,adj. 模糊不清的；引起歧义的
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
anecdote,n. 轶事；奇闻；秘史
avert,vt. 避免，防止；转移
barge,"n. 驳船；游艇
vt. 用船运输；蛮不讲理地闯入或打扰某事物
vi. 蹒跚；闯入"
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
benign,adj. 良性的；和蔼的，亲切的；吉利的
bolster,"n. 支持；长枕
vt. 支持；支撑"
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别"
carton,"n. 纸板箱；靶心白点
vt. 用盒包装
vi. 制作纸箱"
commodity,n. 商品，货物；日用品
complement,"n. 补语；余角；补足物
vt. 补足，补助"
conception,n. 怀孕；概念；设想；开始
consecutive,adj. 连贯的；连续不断的
cosy,"n. 保温罩
adj. 舒适的；惬意的"
cozy,"n. 保温罩
vt. 蒙骗；抚慰
adj. 舒适的；安逸的"
crave,"vi. 渴望；恳求
vt. 渴望；恳求"
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
culmination,n. 顶点；高潮
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
delicacy,n. 美味；佳肴；微妙；精密；精美；敏锐，敏感；世故，圆滑
demographic,adj. 人口统计学的；人口学的
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
detrimental,"n. 有害的人（或物）；不受欢迎的求婚者
adj. 不利的；有害的"
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
discrepancy,n. 不符；矛盾；相差
dodge,"n. 躲闪；托词
vi. 躲避，避开
vt. 躲避，避开
n. 道奇（汽车品牌）"
domain,n. 领域；域名；产业；地产
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
embed,vt. 栽种；使嵌入，使插入；使深留脑中
embody,vt. 体现，使具体化；具体表达
empirical,adj. 经验主义的，完全根据经验的；实证的
emulate,"n. 仿真；仿效
vt. 仿真；模仿；尽力赶上；同…竞争"
eradicate,vt. 根除，根绝；消灭
escalate,"vt. 使逐步上升
vi. 逐步增强；逐步升高"
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
falsehood,n. 说谎；假话；不真实；错误的信仰
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
finite,"n. 有限之物
adj. 有限的；限定的"
flip,"n. 弹；筋斗
vi. 用指轻弹；蹦跳
adj. 无礼的；轻率的
vt. 掷；轻击"
fury,n. 狂怒；暴怒；激怒者
greedy,adj. 贪婪的；贪吃的；渴望的
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
havoc,"n. 大破坏；浩劫；蹂躏
vt. 严重破坏
vi. 损毁"
herbal,"n. 植物志；草本书
adj. 草药的；草本的"
hitherto,adv. 迄今；至今
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
ideology,n. 意识形态；思想意识；观念学
idol,n. 偶像，崇拜物；幻象；谬论
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
impart,vt. 给予（尤指抽象事物），传授；告知，透露
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
injection,n. 注射；注射剂；充血；射入轨道
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
jeopardize,vt. 危害；使陷危地；使受危困
kidnap,vt. 绑架；诱拐；拐骗
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
magnitude,n. 大小；量级； 震级；重要；光度
malpractice,n. 玩忽职守；不法行为；治疗不当
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
mansion,n. 大厦；宅邸
melody,n. 旋律；歌曲；美妙的音乐
molecular,adj.  分子的；由分子组成的
momentum,n. 势头； 动量；动力；冲力
monopolize,vt. 垄断；独占；拥有…的专卖权
mortality,n. 死亡数，死亡率；必死性，必死的命运
notorious,adj. 声名狼藉的，臭名昭著的
oak,"n. 橡树；橡木色；橡木家具
adj. 栎树的；栎木制的"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
overstate,vt. 夸张；夸大的叙述
paradise,"n. 天堂
至福境地"
parameter,n. 参数；系数；参量
physiological,adj. 生理学的，生理的
poised,adj. 泰然自若的，镇定的；平衡的，均衡的；摆好姿势不动的，静止的
potent,adj. 有效的；强有力的，有权势的；有说服力的
practitioner,n. 开业者，从业者，执业医生
predominance,n. 优势；卓越
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
propel,vt. 推进；驱使；激励；驱策
psychiatric,adj. 精神病学的；精神病治疗的
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
ration,"n. 定量；口粮；配给量
vt. 配给；定量供应"
recipe,n. 食谱； 处方；秘诀；烹饪法
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
remnant,"n. 剩余
adj. 剩余的"
retort,"n. 反驳，顶嘴；曲颈瓶
vi. 反驳，回嘴
vt. 反驳，反击"
sanitation,n.  环境卫生；卫生设备；下水道设施
satire,n. 讽刺；讽刺文学，讽刺作品
sceptical,adj. 怀疑的；怀疑论的；习惯怀疑的
skeptical,adj. 怀疑的；怀疑论的，不可知论的
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
slam,"n. 猛击；砰然声
vi. 砰地关上；猛力抨击
vt. 砰地关上；猛力抨击"
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
solitude,n. 孤独；隐居；荒僻的地方
specialty,"n. 专业，专长；特产；特性；招牌菜
adj. 特色的；专门的；独立的"
spectator,n. 观众；旁观者
spectrum,n. 光谱；频谱；范围；余象
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
stubborn,adj. 顽固的；顽强的；难处理的
stump,"vt. 砍伐；使为难；在…作巡回政治演说
n. 树桩；残余部分；假肢
vi. 笨重地行走；发表竞选演说"
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
subscription,n. 捐献；订阅；订金；签署
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
sue,"vt. 控告；请求
vi. 控告；提出请求"
suffice,"vt. 使满足；足够…用；合格
vi. 足够；有能力"
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
surveillance,n. 监督；监视
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
testify,"vi. 作证；证明
vt. 证明，证实；作证"
tract,n. 束；大片土地，地带；小册子
trek,"n. 艰苦跋涉
vi. 艰苦跋涉
vt. （牛）拉（货车）；搬运"
trillion,"num.  万亿
n.  万亿
adj. 万亿的"
trivial,adj. 不重要的，琐碎的；琐细的
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
turmoil,n. 混乱，骚动
unleash,"vt. 发动；解开…的皮带；解除…的束缚
vi. 不受约束；自由自在；放荡不羁"
vicinity,n. 邻近，附近；近处
wardrobe,n. 衣柜；行头；全部戏装
abort,"n. 中止计划
vt. 使流产；使中止
vi. 流产；堕胎；夭折；发育不全"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
affix,"n.  词缀；附加物
vt. 粘上；署名；将罪责加之于"
agony,n. 苦恼；极大的痛苦；临死的挣扎
ail,"n. 病痛，苦恼
vi. 生病
vt. 使苦恼，使烦恼"
airborne,adj.  空运的；空气传播的；风媒的
