ability,n. 能力，能耐；才能
spawner,n. 已成熟的雌鱼
spectroscope,n.  分光镜
spectrum,n. 光谱；频谱；范围；余象
spruce,"n. 云杉
vt. 打扮整齐
adj. 整洁的
vi. 打扮整齐；使显干净"
spice,"n. 香料；情趣；调味品；少许
vt. 加香料于…；使…增添趣味"
spinal,"n. 脊椎麻醉
adj. 脊髓的；脊柱的；针的；脊骨的；尖刺的"
spine,n. 脊柱，脊椎；刺；书脊
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
sprint,"n. 冲刺；短跑
vt. 全速奔跑
vi. 冲刺，全速跑"
squad,"n. 班；小队；五人组（篮球队的非正式说法）
vt. 把…编成班；把…编入班"
squander,"n. 浪费
vt. 浪费
vi. 浪费；漂泊"
stab,"n. 刺；戳；尝试；突发的一阵
vt. 刺；刺伤；戳；刺穿；直入
vi. 刺；刺伤；戳；刺痛"
stark,"adj. 完全的；荒凉的；刻板的；光秃秃的；朴实的
adv. 完全；明显地；突出地；质朴地"
statute,n.  法规；法令；条例
statistically,adv. 统计地；统计学上
statuette,n. 小雕像
stave,"n. 狭板；梯级；诗句；五线谱表
vi. 破碎；穿孔
vt. 延缓；击穿；凿孔于；压扁"
steeliness,n. 钢制；冷酷；顽固
steely,adj. 似钢的，钢铁般的；钢制的；严格的
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
steeple,"n. 尖塔；尖顶
vt. 把…建成尖塔"
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
stiffen,"vt. 使变硬；使粘稠
vi. 变硬；变猛烈；变粘"
stiffener,n. 加固物； 加劲杆；刚性元件；兴奋剂
stipulate,"adj. 有托叶的
vi. 规定；保证
vt. 规定；保证"
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
stillness,n. 静止；沉静
stimulant,"n.  兴奋剂；刺激物；酒精饮料
adj. 激励的；使人兴奋的"
stipend,n. 奖学金；固定薪金；定期津贴；养老金
stipulation,n. 规定；约定；条款；契约
stockbroker,n.  股票经纪人
stockholding,"n. 持有的股票（或证券）
adj. 持有股份的"
stockpile,"n. 库存；积蓄
vt. 贮存；储蓄
vi. 积累；储备物资"
stockroom,n. 仓库；商品储藏室
stocktake,n. 盘点; 估计，估量
stoic,找不到解释
stoke,"vt. 拨旺火；使饱吃一顿
vi. 烧火；做司炉工；大吃大喝"
stomp,"n. 跺脚，重踩；顿足爵士舞
vt. 跺脚，重踩；践踏"
stoop,"n. 弯腰，屈背；屈服
vt. 辱没，堕落；俯曲
vi. 弯腰；屈服；堕落"
stormy,adj. 暴风雨的；猛烈的；暴躁的
stout,"n. 矮胖子；烈性啤酒
adj. 结实的；矮胖的；勇敢的；激烈的"
straggle,"n. 散乱
vi. 迷路；落伍，掉队；四散，蔓延"
straggly,adj. 散乱的；蔓延的；零乱四散的；七零八落的
straggler,n. 流浪者；落伍的士兵；离群的动物； 蔓生的枝叶
strait,"n. 海峡；困境
adj. 狭窄的；苦恼的"
streak,"n. 条纹，线条；倾向
vi. 飞跑，疾驶；加上条纹
vt. 飞跑，疾驰；加条纹于"
sterling,"n. 英国货币；标准纯银
adj. 纯正的；英币的；纯银制的"
strenuous,adj. 紧张的；费力的；奋发的；艰苦的；热烈的
stressor,n. 紧张性刺激；光彩
string,n. 线，弦，细绳；一串，一行
stringent,adj. 严格的；严厉的；紧缩的；短缺的
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
stud,"n. 种马；大头钉；饰纽；壁骨
vt. 散布；用许多饰钮等装饰
adj. 种马的；为配种而饲养的"
stultification,n. 使显得愚笨，使变无效
stultify,vt. 使变无效；使显得愚笨；使无价值
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
stunningly,adv. 绝妙地；令人震惊地；使人目瞪口呆地
stump,"vt. 砍伐；使为难；在…作巡回政治演说
n. 树桩；残余部分；假肢
vi. 笨重地行走；发表竞选演说"
stunt,"n. 噱头，手腕；绝技
vt. 阻碍…的正常生长或发展
vi. 表演特技；作惊人表演"
stupor,n. 昏迷，恍惚；麻木
stuporous,adj. 昏迷的，不省人事的；无感觉的
sturdily,adv. 坚毅地，坚强地；强壮地
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的"
stygian,找不到解释
subculture,"n. 亚文化群
vt. 作再次培养"
subfield,n.  子域；分区
subjectively,adv. 主观地；臆想地；内省地
subjunctive,"n. 虚拟语气
adj. 虚拟的；虚拟语气的"
sublicense,"n. （证书持有者发给其他人的）从属证书（或执照、许可证等）
vt. 给…发从属证书（或执照、许可证等）"
sublimate,"n. 升华物
vt. 使升华；使高尚
vi. 升华；纯化
adj. 纯净化的；理想化的；高尚的"
sublimation,n.  升华， 升华作用；高尚化；升华物
subliminal,"n. 潜意识；阈下意识
adj.  阈下的；潜在意识的；微小得难以察觉的"
submissive,adj. 顺从的；服从的；柔顺的
subprime,adj. 次级的；准最低贷款利率的
subset,n.  子集；子设备；小团体
subsist,"vi. 存在；维持生活
vt. 供养"
subsistent,adj. （独立）存在的，现存的
substandard,adj. 不合规格的；标准以下的
substratum,n. 基础；根据；下层
subsume,vt. 把……归入；把……包括在内
subsumption,n. 包容；包含；类别；小前题
subtitle,"n. 副标题；说明或对白的字幕
vt. 在…上印字幕；给…加副标题"
subtract,vt. 减去；扣掉
subversion,n. 颠覆；破坏
subversive,"n. 危险分子；颠覆分子
adj. 破坏性的；从事颠覆的"
subvert,vt. 颠覆；推翻；破坏
succinct,adj. 简洁的；简明的；紧身的
succinctly,adv. 简洁地；简便地
succinctness,n. 简明，简洁
succumb,vi. 屈服；死；被压垮
sufficiently,adv. 充分地；足够地
suitcase,n.  手提箱；衣箱
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
Sultan,找不到解释
summarization,n.  摘要；概要
sundown,"n. 日落；阔缘的女帽
vi. 产生夜间幻觉"
sunken,"adj. 沉没的；凹陷的；比周围低的
v. 沉没（sink的过去分词）；下沉"
sunrise,n. 日出；黎明
superb,adj. 极好的；华丽的；宏伟的
sultry,adj. 闷热的；狂暴的；淫荡的
superbly,adv. 雄伟地；壮丽地；上等地；庄重地
superintendent,n. 监督人；负责人；主管；指挥者
supermodel,n. 超级名模
supersede,"vt. 取代，代替；紧接着……而到来
vi. 推迟行动"
supersession,n. 取代，废弃; 代谢
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
suppressor,n. 抑制器；消除器
surcharge,"n. 超载；额外费
vt. 追加罚款；使…装载过多；使…负担过重"
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
sulfur,"n. 硫磺；硫磺色
vt. 用硫磺处理"
sulphur,"n. 硫磺；硫磺色
vt. 使硫化；用硫磺处理"
surfeit,"n. 过度；饮食过度；恶心（由于饮食过度所引起）
vt. 使饮食过度；使厌腻；使过度沉溺于
vi. 饮食过度；过分放纵"
surreptitiously,adv. 偷偷地；秘密地；不正当地
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
susceptibility,n. 敏感性；感情；磁化系数
suspense,n. 悬念；悬疑；焦虑；悬而不决
suspension,n. 悬浮；暂停；停职
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
symmetrical,adj. 匀称的，对称的
symmetry,n. 对称（性）；整齐，匀称
symposium,n. 讨论会，座谈会；专题论文集；酒宴，宴会
synergy,n. 协同；协同作用；增效
syntactically,adv. 依照句法地；在语句构成上
synthesis,n. 综合， 合成；综合体
synthesize,"vt. 合成；综合
vi. 合成；综合"
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
systematize,vt. 使系统化；使组织化；将…分类
systematization,n. 系统化；组织化；分类
systematizer,n. 使系统化的人，分类者
systemic,adj. 系统的；全身的；体系的
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
taint,"n. 污点；感染
vt. 污染；腐蚀；使感染
vi. 败坏；被污染"
tan,"vi. 晒成棕褐色
adj. 黄褐色的；鞣皮的
n. （日晒后皮肤的）黝黑色；棕褐色；鞣料；马戏团
vt. 鞣（革）；晒成褐色"
tangent,"n.  切线， 正切
adj. 切线的，相切的；接触的；离题的"
tantalize,"vt. 逗弄；使干着急
vi. 逗弄人；令人干着急"
teaspoon,n. 茶匙；一茶匙的量
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
teat,n. 奶头，奶嘴；乳头
technicality,n. 学术性；专门性；术语，专门语
technician,n. 技师，技术员；技巧纯熟的人
teddy,n. 连衫衬裤；泰迪玩具熊
telecommuting,n. 远程办公；远程交换
teleprompter,n. 讲词提示装置；提辞装置
temperance,"n. 戒酒；节欲；（气候等的）温和
adj. 温暖的；有节制的"
tenaciously,adv. 坚持地
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
tenderly,adv. 温和地；体贴地；柔和地
tenderness,n. 亲切；柔软；柔和；敏感；棘手
tenet,n. 原则；信条；教义
tenuous,adj. 纤细的；稀薄的；贫乏的
tenuousness,n. 薄; 细; 空洞无物; 无关紧要
tenuously,adv. 薄地; 细地; 空洞无物地; 无关紧要地
tenure,"n. 任期；占有
vt. 授予…终身职位"
tepid,adj. 微温的，温热的；不太热烈的；不热情的
tepidity,"n. 微温, 微热"
terminator,n. 终结者；终止子；明暗界限
terminological,adj. 术语的；术语学的；专门名词的
terminology,n. 术语，术语学；用辞
terra,n. 地；地球；土地
terrace,"n. 平台；梯田；阳台
adj. （女服）叠层式的
vt. 使成梯田，使成阶地；使有平台屋顶
vi. 成阶地；成梯田；筑成坛"
terrain,n.  地形，地势；领域；地带
territorial,"n. 地方自卫队士兵
adj. 领土的；区域的；土地的；地方的"
terrorize,vt. 使…恐怖；实施恐怖统治；恐吓
terrorization," 胁迫, 威吓, 恐怖统治"
terse,adj. 简洁的，精练的，扼要的
terseness,n. 简洁；精练
tersely,adv. 简洁地；精练地
testimonial,"n. 证明书；推荐书
adj. 证明的；褒奖的；表扬的"
textual,adj. 本文的；按原文的
thalamus,n.  丘脑；花托
theologian,n. 神学者；空头理论家
theoretically,adv. 理论地；理论上
theorize,"vt. 建立理论
vi. 建立理论或学说；推理"
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
thermometer,n. 温度计；体温计
thermos,n. 热水瓶
thorax,n.  胸，胸膛；胸腔
thoroughness,n. 十分，完全；彻底
thoughtfully,adv. 沉思地；体贴地，亲切地
Thracian,"n. 色雷斯人；色雷斯语
adj. 色雷斯语的；色雷斯人的"
thralldom,n. 束缚；奴役；奴隶的身分
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
throb,"n. 悸动；脉搏
vi. 悸动；抽动；颤动；跳动着作痛；充满活力"
throbbing,"n. 跳动，激动
adj. 悸动的；跳动的
v. 跳动，悸动（throb的ing形式）"
throes,"n. 剧痛；痛苦的挣扎（throe的复数）
v. 苦苦挣扎；使受痛苦（throe的第三人称单数）"
thrombus,n.  血栓
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
throttle,"n. 节流阀； 风门；喉咙
vt. 压制，扼杀；使……窒息；使……节流
vi. 节流，减速；窒息"
thud,"n. 砰的一声；重击
vi. 砰的一声掉下；发出砰声
vt. 砰地击中"
thunderstorm,n.  雷暴；雷暴雨；大雷雨
thwart,"prep. 横过
n. 划手座；独木舟的横梁
vt. 挫败；反对；阻碍；横过
adj. 横放的；固执的
adv. 横过"
tic,n.  抽搐；痉挛；技术情报中心
tickle,"n. 胳肢；痒感；使人发痒、高兴的东西
vt. 使发痒；使高兴；使满足
vi. 觉得痒；（东西）使人发痒"
tilapia,n. 罗非鱼
tile,"n. 瓷砖，瓦片
vt. 铺以瓦；铺以瓷砖"
till,"prep. 直到
conj. 直到...为止
n.  冰碛；放钱的抽屉；备用现金
vt. 耕种；犁
vi. 耕种；耕耘"
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
tine,"n. 齿；尖头
vt. （英）丢失；浪费
vi. 被丢失；遭难"
tinkle,"n. 叮当声
vt. 使发清脆的声响
vi. 发叮当声"
tinkly,adj. 叮当响的
tiredness,n. 疲劳；疲倦
tizzy,"n. 极度激动狂乱的心情；万分惊讶
adj. 声音微弱地嗡嗡响的"
toaster,n. 烤面包器，烤箱；祝酒人；烤面包的人
toddle,"n. 东倒西歪的走路；刚学走步的小孩
vi. 蹒跚学步；东倒西歪地走；散步"
togetherness,n. 相聚，家庭聚会；团结精神；归属感
toiletry,n. 化妆品；化妆用具
tolerably,adv. 相当地；可容忍地；差不多地
toleration,n. 宽容，忍受，默认；耐受性
tombstone,n. 墓碑；墓石
torment,"n. 痛苦，苦恼；痛苦的根源
vt. 折磨，使痛苦；纠缠，作弄"
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
topmast,n. 中桅
torrent,n. 奔流；倾注；迸发；连续不断
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
torturer,n. 虐待者，拷问者
tot,"n. 小孩；合计；少量
vt. 合计
vi. 总计"
totter,"n. 蹒跚的步子
vi. 蹒跚；踉跄"
toughen,"vt. 使…坚韧；使…顽固
vi. 变坚韧；变顽固"
toughener, 增韧剂
toughness,n.  韧性；强健；有粘性
tournament,n. 锦标赛，联赛；比赛
tow,"n. 拖；麻的粗纤维；拖曳所用之绳
vt. 拖；牵引；曳
vi. 被拖带；拖行"
townspeople,n. 市民；镇民；城里生长的人
traceable,adj. 起源于；可追踪的；可描绘的
tradable,adj. 可贸易的；可买卖的
trade-off,n. 交换，交易；权衡；协定
trailer,"n. 拖车； 预告片；追踪者
vt. 用拖车载运
vi. 乘拖车式活动房屋旅行"
tram,"n. 电车轨道；煤车
vt. 用煤车运载
vi. 乘电车"
trainee,n. 练习生，实习生；受训者；新兵；训练中的动物
tranquil,adj. 安静的，平静的；安宁的；稳定的
tranquillity,心神稳定
tranquilly,adv. 平静地；安静地
tranquilize,vt. 使……安静；使……镇定
trans,"n. 传动装置；变速箱
pref. 表“横穿”；表“进入”
abbr. 翻译（translate）"
transcontinental,adj. 横贯大陆的；大陆那边的
transducer,n.  传感器， 变换器， 换能器
transgress,"vt. 违反；侵犯；犯罪
vi. 违反；违法；越界"
transgression,n.  海侵；犯罪；违反；逸出
transgressor,n. 违背者；犯规者；罪人
translator,n. 译者；翻译器
transmissibility,n. 遗传性； 传递率；传递性
transmission,n. 传动装置， 变速器；传递；传送；播送
transparently,adv. 显然地，易觉察地；明亮地
trapper,n. 设陷阱捕兽者；捕捉器； 矿井风门开关管理员
traumatize,vt. 使……受损伤；使……受精神创伤
traumatization,精神创伤
trawl,"n. 拖网；排钩
vi. 用拖网捕鱼
vt. 用拖网捕鱼"
treacherous,adj. 奸诈的，叛逆的，背叛的；危险的；不牢靠的
treaty,n. 条约，协议；谈判
treeless,adj. 无树木的
tremendously,adv. 非常地；可怕地；惊人地
tremor,n.  震颤；颤动
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
triage,n. 分类；伤员验伤分类
tribunal,n. 法庭；裁决；法官席
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
triglyceride,n.  甘油三酸酯
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
triuphant,找不到解释
trombonist,n. 长号手
troublemaker,n. 捣乱者，闹事者；惹麻烦的人
troublesome,adj. 麻烦的；讨厌的；使人苦恼的
trounce,vt. 痛打；严责；打败
truce,"n. 停战；休战；休战协定
vt. 以休战结束；停止争执
vi. 停战"
truer,adj. 真的，确实的
trudge,"n. 长途跋涉；沉重的步伐
vt. 跋涉
vi. 跋涉；步履艰难地走"
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
trundle,"n. 滚动；小脚轮
vt. 使滚动；运送
vi. 滚动；移动"
trustee,"n. 受托人；托管人
vt. 移交（财产或管理权）给受托人"
trustful,adj. 信任的（等于trusting）；相信的
trustfulness,n. 相信;信任
trustfully,adv. 充满信任地
tsunami,n. 海啸
tub,"n. 浴盆；桶
vt. 把…装入桶；为…洗盆浴
vi. 洗盆浴；（衣服等）被放在桶里洗"
tuberculosis,n. 肺结核；结核病
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
tug,"n. 拖船；拖曳；苦干
vt. 用力拉；较量；用拖船拖
vi. 用力拉；竞争；努力做"
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
tumor,n. 肿瘤；肿块；赘生物
tundra,n.  苔原； 冻原；冻土地带
Turin,找不到解释
turmoil,n. 混乱，骚动
turndown,"n. 翻领；拒绝；低落
adj. 翻领的；可翻下的；衰退的；下降的"
turnoff,n. （美）岔道；避开
turret,n. 炮塔；角楼；小塔；攻城用仰冲车
turreted,adj. 有角塔的；塔楼状的
twitch,"n. 抽搐；抽动；痉挛；阵痛
vi. 抽搐；抽动；阵痛
vt. 使抽动；攫取；猛拉"
tycoon,n. 企业界大亨，巨头；巨富
typewriting,"n. 打字; 打字术; 打字稿
v. 打字，用打字机打( typewrite的现在分词 )"
typhus,n.  斑疹伤寒症
tyrannical,adj. 残暴的；暴君的；专横的
tyranny,n. 暴政；专横；严酷；残暴的行为（需用复数）
tyrannous,adj. 暴虐的；压制的
tyrannously,adv. 暴虐地;压制地
ubiquitous,adj. 普遍存在的；无所不在的
ulcer,n.  溃疡；腐烂物；道德败坏
ultraviolet,"adj. 紫外的；紫外线的
n. 紫外线辐射，紫外光"
unaccountable,adj. 无责任的；莫名其妙的；不可理解的
unafraid,adj. 不怕的；无畏的
unanimous,adj. 全体一致的；意见一致的；无异议的
unauthorized,adj. 非法的；未被授权的；独断的
unbelieving,adj. 不相信的；多疑的
unconquerable,adj. 克服不了的；不可征服的；压制不了的
underachievement,n. 低成就；学习成绩不良
underemphasize,v. 对…强调不够，对…重视不够
understate,"vt. 少说，少报；保守地说；有意轻描淡写
vi. 保守地说；有意轻描淡写"
understatement,n. 保守的陈述；不充分的陈述；有保留的陈述
unbutton,"vt. 解开钮扣
vi. 解开钮扣；吐露"
unconcerned,adj. 不关心的；无关的；无忧虑的
undistracted,adj. 不分心的，注意力集中的，心神不烦乱的
undercut,"n. 底切；牛腰部下侧嫩肉；砍口；切球
vt. 廉价出售；较便宜的工资工作；从下边削球
vi. 底切"
underpin,vt. 巩固；支持；从下面支撑；加强…的基础
underscore,"n. 底线， 下划线
vt. 强调；划线于…下"
unethical,adj. 不道德的；缺乏职业道德的
uneven,adj. 不均匀的；不平坦的； 奇数的
unfailingly,adv. 可靠地；无穷尽地；不倦地
unflattering,adj. 不吸引人的，不好看的
unforgivable,adj. 不可原谅的
unfortunate,adj. 不幸的；令人遗憾的；不成功的
undutiful,adj. 未尽职的，不顺从的，不孝的
unhealthily,adv. 有病地
unhesitatingly,adv. 不踌躇地；迅速地
unilateral,adj. 单边的； 单侧的；单方面的；单边音；（父母）单系的
uninhibited,adj. 无拘束的；不受禁止的
unlawful,adj. 非法的；私生的
unjustifiable,adj. 不合道理的；不能分辩的；辩护不了的；不能认为是正当的
unknowable,adj. 不可知的；不能知道的
unmet,adj. 未满足的；未应付的；未相遇的
unprejudiced,adj. 没有成见的；公平的；无偏见的
unreachable,adj. 不能得到的；不能达到的
unrealize,vt. 使不真实，使不实在，使成幻想
unremarkable,adj. 平凡的；不显著的；不值得注意的
unsatisfactory,adj. 不令人满意的；不满足的；不符合要求的
unstable,adj. 不稳定的；动荡的；易变的
unsteadily,"vt. 使不稳定
adv. 不稳定地；摇摆地（unsteady的副词）"
unsuitable,adj. 不适合的；不适宜的；不相称的
unsuitability,n. 不相称；不适合；不适当
unto,prep. 到，直到；向（等于to）
upbeat,"n. 兴旺；上升；弱拍
adj. 乐观的；上升的"
uphill,"n. 上升；登高
adj. 上坡的，向上的
adv. 向上地；往上坡"
upmarket,"n. 高档商品
adj. 质优价高的；高级的
adv. 在高档之列
vt. 使进入高消费者市场
vi. 进入高消费者市场"
upscale,"adj. 迎合高层次消费者的；质优价高的
vt. 升高一级"
upshot,n. 结果，结局；要点
uranium,n.  铀
usher,"n. 引座员，带位员；接待员；门房
vi. 作招待员；当引座员
vt. 引导，招待；迎接；开辟"
utopia,找不到解释
vacationer,n. 休假者；度假者
vaccinate,"vt. 给…注射疫苗
vi. 接种疫苗
n. 被接种牛痘者"
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
valve,"n. 阀； 瓣膜；真空管；活门
vt. 装阀于；以活门调节"
vanilla,"n. 香子兰，香草
adj. 香草味的"
vegetation,n. 植被；植物，草木；呆板单调的生活
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
Venice,n. 威尼斯（意大利港市）
velocity,n. 速度
vendition,"n. 贩卖, 销售"
vent,"n. （感情的）发泄；出口；通风孔
vt. 发泄感情；放出…；给…开孔
vi. 放出；（通过排泄等）减轻压力"
ventilate,vt. 使通风；给…装通风设备；宣布
venue,n. 审判地；犯罪地点；发生地点；集合地点
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
versus,prep. 对；与...相对；对抗
vest,"n. 背心；汗衫
vt. 授予；使穿衣
vi. 归属；穿衣服"
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
vintage,"n. 葡萄收获期；葡萄酒酿造期
adj. 古老的；最佳的；过时的
vt. 采葡萄；用葡萄酿酒
vi. 采葡萄"
virile,adj. 男性的；有男子气概的；刚健的
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
volatile,"n. 挥发物；有翅的动物
adj.  挥发性的；不稳定的；爆炸性的；反复无常的"
waiver,n. 弃权，放弃；弃权证书
warehouse,n. 仓库；货栈；大商店
warrior,n. 战士，勇士；鼓吹战争的人
wary,adj. 谨慎的；机警的；惟恐的；考虑周到的
wasteland,n. 荒地，不毛之地；未开垦地，荒漠；（精神或文化上的）贫乏
Watkins,找不到解释
wavelet,n. 微波，小浪
weal,"n. 福利；幸福；鞭痕
vt. 在…上抽打出条状鞭痕"
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
wharfage,n. 码头；码头费；码头业务
whine,"n. 抱怨；牢骚；哀鸣
vt. 哀诉
vi. 发牢骚；哭诉；嘎嘎响；发呜呜声"
whiner,n. 哀诉者；悲嗥者；啜泣者
whish,"v. 呼呼作声，以呼呼声催促
n. 呼呼声"
whiskey,"n. 威士忌酒
adj. 威士忌酒的"
widget,n. 装饰物；小机械；小部件；未定名的主要新产品
windfall,n. 意外之财；被风吹落的果子；意外的收获
witchcraft,n. 巫术；魔法
Wyoming,n. 美国怀俄明州
workset,找不到解释
Xerox,找不到解释
yacht,"n. 游艇，快艇；轻舟
vi. 乘游艇，驾游艇"
Yankee,n. 美国佬，美国人；洋基队（美国棒球队名）
yoke,"n. 轭；束缚；牛轭
vt. 结合；给…上轭
vi. 结合；匹配"
Zealand,找不到解释
zest,"n. 风味；热心；强烈的兴趣
vt. 给…调味"
Zurich,n. 苏黎士
zigzag,"n. 之字形；Z字形
vt. 使成之字形；使曲折行进
vi. 曲折行进；作之字形行进
adj. 曲折的；锯齿形的；之字形的
adv. 曲折地；之字形地；Z字形地"
zoological,"adj. 动物的，动物学的
n. 动物园"
a case in point,"na. 范例
 恰当的例子；一个恰当的例子；例证"
above all,"na. 最主要的；最重要的是
 首先；尤其是；特别是"
after all,"na. 毕竟；终究；最后
 究竟；到底；终于"
all but,"na. 几乎跟…一样
 差一点；除了…都；差不多"
all in all,"na. 全部；完全；第一
 总的说来；总而言之；总的来说"
all the way,"na. 路上一直；老远；(从…到…)逐一
 一路上；自始至终；天长地久"
as a matter of fact,"na. 事实上；事实是
 实际上；其实；实际情况"
as far as,"na. 远到；就；尽；至于
 远至；直到；就…而言"
as for,"na. 至于
 关于；就…而言；对于"
as to,"na. 至于；说到
 关于；如此……以便；关于至于"
as if,"na. 彷佛；活像
 好像；仿佛；似乎"
as though,"na. 好像；见 well 条
 仿佛；好象；似乎"
as it is,"na. “As it stands”的变体
 实际上；事实上；既然如此"
as it were,"na. 如同；可以说是；好像
 似乎；可谓；在某种程度上"
as soon as,"na. 一…就；见 soon 条
 一……就；一怎么样就怎么样；一经"
as well as,"na. 和…一样；…不用说
 也；既…又；和...一样"
as well,"na. 也；同样
 又；还；也倒不如"
as long as,"conj. 只要
 长达；如果；既然"
so long as,"na. 只要；“as/so long as”的变体
 如果；表示只要；只要…就"
at all events,"na. 无论怎样；总之
 无论如何；不管怎样；不管怎样，无论如何"
at all,"na. 全然；究竟
 根本；一点也不；丝毫"
be about to,"na. 准备
 即将；正打算；将要"
be about to do, 即将做某事
break away,"v. 逃脱；突然离开；突然离去；挣脱
 脱离；逃跑；摆脱"
break down,"v. 分解；抛锚；分析；划分
 损坏；出故障；瓦解"
break into,"na. 闯进；拦(别人话头)；侵占(别人时间等)；突然…起来
 闯入；破门而入；强行进入"
break in,"na. 闯入；插嘴；驯(马)；训练(人)
 打断；强行进入；插话"
break off,"v. 断绝；摘；把…折断；使脱落
 中断；突然停止；打断"
break out,"na. 起；(战争等)突发；(囚犯等)逃脱；起(锚)
 爆发；突然发生；逃出"
break through,"na. 突破(点)；(科技等的)重大发现；关键问题的解决
 突围；冲破；冲垮"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
 分手；结束；分解"
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
bring around,"na. 说服；使恢复知觉；把(某人)作为客人带来
 使信服；使复苏；使改变观点"
bring round,"na. 说服；使恢复知觉；把(某人)作为客人带来
 使苏醒；劝使；使恢复健康"
bring down,"na. 降低；击落；削减；使落下
 打倒；使下降；使倒下"
bring forth,"na. 提出；生
 产生；使产生；发表"
bring forward,"na. 提出(计划等)；提示；提前；公开
 提议；把…提前；将…提前"
bring into play,"na. (充分)利用；使活动
 发挥；使…发挥作用；发挥基本解释"
bring off,"na. 办完；(从失事船只上)救出
 完成；圆满完成；获得成功"
bring on,"na. “bring forward”的变体
 引起；导致；造成"
