state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
reasoned,"v. 说服；推断（reason的过去分词）
adj. 详尽论述的；理由充分的；合乎逻辑的"
logical,adj. 合逻辑的，合理的；逻辑学的
democratic,adj. 民主的；民主政治的；大众的
democracy,n. 民主，民主主义；民主政治
democratize,"vt. 使民主化；使大众化
vi. 民主化；大众化"
distribute,vt. 分配；散布；分开；把…分类
distribution,n. 分布；分配
distribution channel,"un. 配水渠；分配通路；分发渠道
 分销渠道；销售渠道；分销途径"
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
prominent,adj. 突出的，显著的；杰出的；卓越的
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
nonverbal,adj. 不用语言的；不用动词的
compete,vi. 竞争；比赛；对抗
competitive,adj. 竞争的；比赛的；求胜心切的
competent,adj. 胜任的；有能力的；能干的；足够的
competently,adv. 胜任地；适合地
incompetently,adv. 无能力地；不胜任地
compete against,"v. 竞争
 展开竞争；与……竞争；与某人竞争"
compete with,"v. 竞争
 与……竞争；与…抗争；高下"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
distinguished,"v. 区别（distinguish的过去式）
adj. 著名的；卓著的；高贵的"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
inappropriate,adj. 不适当的；不相称的
necessity,n. 需要；必然性；必需品
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
supplier,n. 供应厂商，供应国；供应者
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
emphasis,n. 重点；强调；加强语气
emphasize,vt. 强调，着重
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
intense,adj. 强烈的；紧张的；非常的；热情的
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
assess,vt. 评定；估价；对…征税
possession,n. 拥有；财产；领地；自制；着迷
assessment,n. 评定；估价
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
occupy,vt. 占据，占领；居住；使忙碌
occupation,n. 职业；占有；消遣；占有期
preoccupation,n. 全神贯注，入神；当务之急；关注的事物；抢先占据；成见
be occupied with,"v. 忙着
 忙于；忙于做；忙于某事物"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
odds,n. 几率；胜算；不平等；差别
at odds with,"adj. 相抗争于
 与…不一致；与…不和；差异"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
strategy,n. 战略，策略
strategic,adj. 战略上的，战略的
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
conspiracy,n. 阴谋；共谋；阴谋集团
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
inclusive,adj. 包括的，包含的
confirm,vt. 确认；确定；证实；批准；使巩固
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
infirm,adj. 衰弱的；意志薄弱的；不坚固的
confirm sb. in,"un. 增强
 使更坚定；坚定……的信念；确定某人属于"
affirm,"vt. 肯定；断言
vi. 确认；断言"
assert,vt. 维护，坚持；断言；主张；声称
certify,v. 证明；保证
testify,"vi. 作证；证明
vt. 证明，证实；作证"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
incorporate with,"v. 与…组成公司
 合并；混合；组合"
enterprise,n. 企业；事业；进取心；事业心
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
dramatize,"vt. 使戏剧化；编写剧本；改编成戏剧
vi. 戏剧化"
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
exaggerated,"v. 夸张，夸大（exaggerate的过去式）
adj. 夸张的，言过其实的"
aggravate,vt. 加重；使恶化；激怒
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
endurance,n. 忍耐力；忍耐；持久；耐久
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
feedback,n. 反馈；成果，资料；回复
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
attendance,n. 出席；到场；出席人数；考勤
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
myth,n. 神话；虚构的人，虚构的事
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
prestige,n. 威望，声望；声誉
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
hitherto,adv. 迄今；至今
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
inquiry,n. 探究；调查；质询
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
latter,adj. 后者的；近来的；后面的；较后的
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
later,"adv. 后来；稍后；随后
adj. 更迟的；更后的"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
final,"n. 决赛；期末考试；当日报纸的末版
adj. 最终的；决定性的；不可更改的"
mankind,n. 人类；男性
humankind,n. 人类（总称）
humanity,n. 人类；人道；仁慈；人文学科
creature,n. 动物，生物；人；创造物
being,"n. 存在；生命；本质；品格
adj. 存在的；现有的"
species,"n.  物种；种类
adj. 物种上的"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
Hispanic,adj. 西班牙的
Spanish,"n. 西班牙语；西班牙人
adj. 西班牙的；西班牙人的；西班牙语的"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
superstition,n. 迷信
win,"n. 赢；胜利
vt. 赢得；在…中获胜；劝诱
vi. 赢；获胜；成功"
wine,"n. 酒，葡萄酒；紫红色
vt. 请…喝酒
vi. 喝酒"
windscreen,n. 汽车挡风玻璃
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
windfall,n. 意外之财；被风吹落的果子；意外的收获
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
artistic,adj. 艺术的；风雅的；有美感的
artificial intelligence,"n. 人工智能
 人工智慧；人工智能专业研究生排名；人工知能"
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
audience,n. 观众；听众；读者；接见；正式会见；拜会
auditor,n. 审计员；听者；旁听生
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
biased,adj. 有偏见的；结果偏倚的，有偏的
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
discrimination,n. 歧视；区别，辨别；识别力
curiosity,n. 好奇，好奇心；珍品，古董，古玩
be curious about,"na. 对(某事物)感到好奇
 对……感到好奇；对…好奇；对某事好奇"
be curious to,vt.极想
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
disputable,adj. 有讨论余地的；真假可疑的
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
counterpart,n. 副本；配对物；极相似的人或物
profound,adj. 深厚的；意义深远的；渊博的
profoundly,adv. 深刻地；深深地；极度地
prosperity,n. 繁荣，成功
prosperous,adj. 繁荣的；兴旺的
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
enlighten,vt. 启发，启蒙；教导，开导；照耀
unenlightened,adj. 落后的；无知的；未受启迪的
acquaint,vt. 使熟悉；使认识
apprise,vt. 通知；报告
explosion,n. 爆炸；爆发；激增
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
bursting,"v. 爆炸；猛然打开；突然开始（burst的ing形式）
adj. 充满的；渴望的"
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
foundation,n. 基础；地基；基金会；根据；创立
length,n. 长度，长；时间的长短；（语）音长
lengthen,"vt. 使延长；加长
vi. 延长；变长"
lengthy,adj. 漫长的，冗长的；啰唆的
at length,"na. 最后；充分地
 详细地；终于；终于，最终"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
panel discussion,"na. 小组讨论；在(电视或广播)听众面前开的专题讨论会
 分组讨论；座谈；座谈会"
poverty,n. 贫困；困难；缺少；低劣
poor,adj. 贫穷的；可怜的；贫乏的；卑鄙的
poorly,"adj. 身体不舒服的；心情恶劣的
adv. 贫穷地；贫乏地；不充分地"
reluctant,adj. 不情愿的；勉强的；顽抗的
reluctantly,adv. 不情愿地；嫌恶地
be reluctant to do sth.,找不到解释
transaction,n. 交易；事务；办理；会报，学报
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
accuracy,n.  精确度，准确性
inaccuracy,n. 错误；不精确
auto,"n. 汽车（等于automobile）；自动
vi. 乘汽车"
autonomous,adj. 自治的；自主的；自发的
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
manipulation,n. 操纵；操作；处理；篡改
take charge of,"na. 看守
 负责；担任；主管"
be in charge of, 负责；主管；管理
council,n. 委员会；会议；理事会；地方议会；顾问班子
the State Council,找不到解释
enthusiastic,adj. 热情的；热心的；狂热的
enthusiasm,n. 热心，热忱，热情
enthusiastically,adv. 热心地；满腔热情地
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
inflationary,adj. 通货膨胀的；通货膨胀倾向的；通货膨胀引起的
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
deflation,n. 通货紧缩；放气
likewise,adv. 同样地；也
moreover,adv. 而且；此外
furthermore,adv. 此外；而且
outcome,n. 结果，结局；成果
income,n. 收入，收益；所得
speculate,"vi. 推测；投机；思索
vt. 推断"
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
explicit,adj. 明确的；清楚的；直率的；详述的
explicitly,adv. 明确地；明白地
definite,adj. 一定的；确切的
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
fragmented,"adj. 片断的；成碎片的
v. 分裂（fragment的过去分词）；使成碎片"
a fraction of,"det. 一小部分
 一部分；片断；零点几"
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
horizon,n.  地平线；视野；眼界；范围
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
lobbying,"n. 游说
v. 进行游说（lobby的ing形式）；对议员进行游说以影响其投票"
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
demerit,n. 缺点，短处；过失
penalty,n. 罚款，罚金；处罚
punishment,n. 惩罚；严厉对待，虐待
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
trivial,adj. 不重要的，琐碎的；琐细的
triviality,n. 浅薄，轻浮；琐事；平凡
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
be an item, （非正式）（两人）建立稳定的爱恋关系（或性关系）
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
subsequent,adj. 后来的，随后的
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
rebound,"n. 回弹；篮板球
v. 重新装订（rebind的过去式和过去分词）
vt. 使弹回
vi. 回升；弹回"
boundary,n. 边界；范围；分界线
abound,vi. 富于；充满
be bound to,"v. 一定要；决心
 必定；注定；一定会"
be bound up with,"na. 与…有密切联系；与…结合在一起；和…有密切关系
 与...有密切联系；与…有密切关系；相关"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
bother to do,找不到解释
pessimistic,adj. 悲观的，厌世的；悲观主义的
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
disorganized,adj. 紊乱的；无组织的
mobilize,"vt. 动员，调动；集合，组织；使…流通；使…松动
vi. 组织；动员起来"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
perpetual,adj. 永久的；不断的；四季开花的；无期限的
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
harmful,adj. 有害的；能造成损害的
harmonious,adj. 和谐的，和睦的；协调的；悦耳的
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
pharmaceutical,"n. 药物
adj. 制药（学）的"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
electronic,"adj. 电子的
n. 电子电路；电子器件"
electronics,n. 电子学；电子工业
electronically,adv. 电子地
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
rarely,adv. 很少地；难得；罕有地
uncommon,"adj. 不寻常的；罕有的
adv. 非常地"
exceptional,"n. 超常的学生
adj. 异常的，例外的"
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
undertreatment,n. 处理不足
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
dividend,n. 红利；股息； 被除数；奖金
divided,"v. 分开（divide的过去分词）；分离
adj. 分裂的；分开的；有分歧的"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
merely,adv. 仅仅，只不过；只是
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
investor,n. 投资者
investment,n. 投资；投入；封锁
investigation,n. 调查；调查研究
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
manufacturing,"adj. 制造的；制造业的
n. 制造业；工业
v. 制造；生产（manufacture的ing形式）"
manufacturer,n. 制造商； 厂商
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
provoke,vt. 驱使；激怒；煽动；惹起
prompting,"n. 激励；提示；刺激
v. 促进；激起；鼓舞（prompt的ing形式）"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
table,"n. 桌子；表格；平地层
vt. 制表；搁置；嵌合
adj. 桌子的"
comfortable,"n. 盖被
adj. 舒适的，舒服的"
charitable,adj. 慈善事业的；慷慨的，仁慈的；宽恕的
acceptable,adj. 可接受的；合意的；可忍受的
disputable,adj. 有讨论余地的；真假可疑的
profitable,adj. 有利可图的；赚钱的；有益的
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
unacceptable,adj. 不能接受的；不受欢迎的
suitable,adj. 适当的；相配的
regrettable,adj. 令人遗憾的；可惜的；可悲的；抱歉的
respectable,"n. 可敬的人
adj. 值得尊敬的；人格高尚的；相当数量的"
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
weight,"n. 重量，重力；负担；砝码；重要性
vt. 加重量于，使变重"
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
baby boom,"n. 婴儿潮；生育高峰
 战后婴儿潮；我家四个宝；人口增长的高峰期"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
entitlement,n. 权利；津贴
subtitle,"n. 副标题；说明或对白的字幕
vt. 在…上印字幕；给…加副标题"
be entitled to, 有权；有资格；有权做
nominate,vt. 推荐；提名；任命；指定
denominate,"adj. 有特定名称的
vt. 为…命名；把…称作…"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
institutional,"adj. 制度的；制度上的
学会的；由来已久的； 习以为常的
公共机构的； 慈善机构的"
restrict,vt. 限制；约束；限定
restriction,n. 限制；约束；束缚
restrain sb. from doing sth.,找不到解释
refrain from doing sth.,找不到解释
constrain,vt. 驱使；强迫；束缚
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
prohibit,vt. 阻止，禁止
forbid,vt. 禁止；不准；不允许；严禁
partial,adj. 局部的；偏爱的；不公平的
conclusion,n. 结论；结局；推论
conclusive,adj. 决定性的；最后的；确实的；确定性的
inconclusive,adj. 不确定的；非决定性的；无结果的
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
concluding,adj. 结束的；最后的
exclude,vt. 排除；排斥；拒绝接纳；逐出
in conclusion,"na. 最后
 总之；总而言之；结论"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
get rid of,"na. 除掉；摆脱；撵走
 除去；去掉；处理掉"
cast off,"na. 脱掉(衣服)；放弃；放(船)；织完
 丢弃；抛弃；摆脱"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
discourage,vt. 阻止；使气馁
courage,n. 勇气；胆量
courageous,adj. 有胆量的，勇敢的
encourage,vt. 鼓励，怂恿；激励；支持
devil,"n. 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼
vt. 虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮"
elderly,adj. 上了年纪的；过了中年的；稍老的
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
calorie,n. 卡路里（热量单位）
facilitate,vt. 促进；帮助；使容易
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
fashionable,adj. 流行的；时髦的；上流社会的
gratitude,n. 感谢（的心情）；感激
engineering,"n. 工程，工程学
v. 设计；管理（engineer的ing形式）；建造"
alliance,n. 联盟，联合；联姻
backward,"adj. 向后的；反向的；发展迟缓的
adv. 向后地；相反地"
bait,"n. 饵；诱饵
vt. 引诱；在…中放诱饵；折磨
vi. 中途休息"
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
constitute,vt. 组成，构成；建立；任命
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
costly,adj. 昂贵的；代价高的
damn,"n. 一点；诅咒
vt. 谴责；罚…下地狱
adj. 可恶的
adv. 非常
vi. 谴责
int. 讨厌"
deputy,"n. 代理人，代表
adj. 副的；代理的"
bin,"n. 箱子，容器；二进制
vt. 把…放入箱中"
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
census,"n. 人口普查，人口调查
vt. 实施统计调查"
clarity,n. 清楚，明晰；透明
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
obsession,n. 痴迷；困扰； 强迫观念
passion,n. 激情；热情；酷爱；盛怒
prevalent,adj. 流行的；普遍的，广传的
hedge,"v. 用树篱笆围住；避免作正面答复
n. 对冲，套期保值；树篱；障碍"
hypothesis,n. 假设
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
senate,n. 参议院，上院；（古罗马的）元老院
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
get rid of,"na. 除掉；摆脱；撵走
 除去；去掉；处理掉"
dispose of,"na. 安排；解决；办妥；杀掉
 处理；除掉；处置"
cope with,"v. 对付；应付
 处理；应对；解决"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
monopoly,n. 垄断；垄断者；专卖权
possession,n. 拥有；财产；领地；自制；着迷
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
strive,vi. 努力；奋斗；抗争
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
strive for,"v. 争取；奋发图强；收下
 为…而奋斗；为…奋斗；力求"
adapt,"vi. 适应
vt. 使适应；改编"
adaptiveness, 适应性
readmit,vt. 重新接纳
contempt,n. 轻视，蔑视；耻辱
contemptible,adj. 可鄙的；卑劣的；可轻视的
dense,adj. 稠密的；浓厚的；愚钝的
densely,adv. 浓密地；密集地
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
mutual,adj. 共同的；相互的，彼此的
mutually,adv. 互相地；互助
mutual benefit,"un. 互利
 互惠互利；互利互惠；相互的利益"
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
preferable,adj. 更好的，更可取的；更合意的
preference,n. 偏爱，倾向；优先权
