complete,"adj. 完整的；完全的；彻底的
vt. 完成"
atmosphere,n. 气氛；大气；空气
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
explosion,n. 爆炸；爆发；激增
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
applause,n. 欢呼，喝采；鼓掌欢迎
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
insect,n. 昆虫；卑鄙的人
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
segment,"n. 段；部分
vt. 分割
vi. 分割"
sir,n. 先生；（用于姓名前）爵士；阁下；（中小学生对男教师的称呼）先生；老师
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
senate,n. 参议院，上院；（古罗马的）元老院
senator,n. 参议员；（古罗马的）元老院议员；评议员，理事
move,"n. 移动；步骤；迁居；策略
vi. 移动；搬家，迁移；离开
vt. 移动；感动"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
removal,n. 免职；移动；排除；搬迁
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
motorbike,n. 摩托车
motorway,n. 高速公路，汽车高速公路
emotion,n. 情感；情绪
emotional,adj. 情绪的；易激动的；感动人的
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
motivate,vt. 刺激；使有动机；激发…的积极性
motivated,"adj. 有动机的；有积极性的
v. 使产生动机；激发…的积极性（motivate的过去式和过去分词）"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
automate,"vt. 使自动化，使自动操作
vi. 自动化，自动操作"
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
automobile,"n. 汽车
vt. 驾驶汽车
"
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
abnormal,adj. 反常的，不规则的；变态的
norm,n. 标准，规范
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
orderly,"adj. 有秩序的；整齐的；值班的
n. 勤务兵；传令兵；护理员
adv. 顺序地；依次地"
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
year,n. 年；年度；历年；年纪；一年的期间；某年级的学生
yearly,"n. 年刊；年鉴
adj. 每年的
adv. 每年；一年一次"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
anniversary,n. 周年纪念日
prince,n. 王子，国君；亲王；贵族
princess,n. 公主；王妃；女巨头
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
Confucian,"n. 儒家，儒家学者；孔子的门徒
adj. 孔子的，儒家的；儒家学说的"
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
dye,"n. 染料；染色
vt. 染；把…染上颜色
vi. 被染色"
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
gaze,"n. 凝视；注视
vi. 凝视；注视"
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
hut,"n. 小屋；临时营房
vt. 使住在小屋中；驻扎
vi. 住在小屋中；驻扎"
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
limp,"adj. 柔软的，无力的；软弱的
vi. 跛行，一拐一拐地走；缓慢费力地前进
n. 跛行"
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
nylon,n. 尼龙， 聚酰胺纤维；尼龙袜
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
rifle,"n. 步枪；来复枪
vt. 用步枪射击；抢夺；偷走"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
foundation,n. 基础；地基；基金会；根据；创立
fund,"n. 基金；资金；存款
vt. 投资；资助"
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
protect,vt. 保护，防卫；警戒
protection,n. 保护；防卫；护照
protective,adj. 防护的；关切保护的；保护贸易的
detect,vt. 察觉；发现；探测
detection,n. 侦查，探测；发觉，发现；察觉
detective,"n. 侦探
adj. 侦探的"
architect,"n. 建筑师
缔造者"
architecture,n. 建筑学；建筑风格；建筑式样；架构
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的"
publicity,n. 宣传，宣扬；公开；广告；注意
publication,n. 出版；出版物；发表
pub,n. 酒馆；客栈
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
rarely,adv. 很少地；难得；罕有地
scarcely,adv. 几乎不，简直不；简直没有
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
deserve,"vi. 应受，应得
vt. 应受，应得"
servant,n. 仆人，佣人；公务员；雇工
dessert,n. 餐后甜点；甜点心
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
conservation,n. 保存，保持；保护
conservative,找不到解释
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
preservation,n. 保存，保留
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
reservation,n. 预约，预订；保留
reservoir,n. 水库；蓄水池
relation,n. 关系；叙述；故事；亲属关系
relationship,n. 关系；关联
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
related,"v. 叙述（relate过去式）
adj. 有关系的，有关联的；讲述的，叙述的"
relativity,n. 相对论；相关性；相对性
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
scandal,n. 丑闻；流言蜚语；诽谤；公愤
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
assignment,n. 分配；任务；作业；功课
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
signature,n. 署名；签名；信号
slap,"n. 掴；侮辱；掌击；拍打声
vt. 拍击；侮辱；掌击；掴…的耳光
vi. 掴；拍击
adv. 直接地；猛然地；恰好"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
violet,"n. 紫罗兰；堇菜；羞怯的人
adj. 紫色的；紫罗兰色的"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
attorney,n. 律师；代理人；检查官
barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
brow,n. 眉，眉毛；额；表情
cliff,n. 悬崖；绝壁
contaminate,vt. 污染，弄脏
deck,"n. 甲板；行李仓；露天平台
vt. 装饰；装甲板；打扮"
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
famine,n. 饥荒；饥饿，奇缺
given,"prep. 考虑到
v. 给予（give的过去分词）
adj. 赠予的；沉溺的；规定的"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
illusion,n. 幻觉，错觉；错误的观念或信仰
democracy,n. 民主，民主主义；民主政治
democrat,n. 民主党人；民主主义者；民主政体论者
democratic,adj. 民主的；民主政治的；大众的
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
slippery,adj. 滑的；狡猾的；不稳定的
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
still,"conj. 仍然；但是；尽管如此
n. 寂静；剧照；蒸馏室
adj. 静止的，不动的；寂静的，平静的；不起泡的
adv. 仍然；更；静止地
vt. 蒸馏；使…静止；使…平静下来
vi. 静止；平静；蒸馏"
stale,"n. 尿
adj. 陈腐的；不新鲜的
vt. 使变旧；变得不新鲜
vi. 变陈旧；撒尿；变得不新鲜"
instal,vt. 安装；使就任；设置
install,vt. 安装；任命；安顿
installation,n. 安装，装置；就职
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
restrain,vt. 抑制，控制；约束；制止
restraint,n. 抑制，克制；约束
strict,adj. 严格的；绝对的；精确的；详细的
restrict,vt. 限制；约束；限定
restriction,n. 限制；约束；束缚
fact,n. 事实；实际；真相
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
manufacturer,n. 制造商； 厂商
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
affection,n. 喜爱，感情；影响；感染
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
perfection,n. 完善；完美
infect,vt. 感染，传染
infection,n. 感染；传染；影响；传染病
want,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
vain,adj. 徒劳的；自负的；无结果的；无用的
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
win,"n. 赢；胜利
vt. 赢得；在…中获胜；劝诱
vi. 赢；获胜；成功"
convince,vt. 说服；使确信，使信服
victory,n. 胜利；成功；克服
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
victim,n. 受害人；牺牲品；牺牲者
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
ankle,n. 踝关节，踝
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
lane,n. 小巷； 航线；车道；罚球区
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
oak,"n. 橡树；橡木色；橡木家具
adj. 栎树的；栎木制的"
paste,"n. 面团，膏；糊状物， 浆糊
vt. 张贴，裱糊；用浆糊粘"
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
slender,adj. 细长的；苗条的；微薄的
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
sword,n. 刀，剑；武力，战争
trifle,"n. 琐事；蛋糕；少量
vt. 浪费；虚度
vi. 开玩笑；闲混；嘲弄"
wagon,"n. 货车，四轮马车
vt. 用运货马车运输货物"
waggon,n. 四轮运货马车；运货车
agony,n. 苦恼；极大的痛苦；临死的挣扎
auction,"n. 拍卖
vt. 拍卖；竞卖"
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
participation,n. 参与；分享；参股
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
partial,adj. 局部的；偏爱的；不公平的
partly,adv. 部分地；在一定程度上
particle,n. 颗粒； 质点；极小量；小品词
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
proportional,"n.  比例项
adj. 比例的，成比例的；相称的，均衡的"
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
apartment,n. 公寓；房间
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
departure,n. 离开；出发；违背
department,n. 部；部门；系；科；局
describe,vt. 描述，形容；描绘
description,n. 描述，描写；类型；说明书
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
manuscript,"n.  手稿；原稿
adj. 手写的"
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
campus,n. （大学）校园；大学，大学生活；校园内的草地
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
sit,"vi. 坐；位于
vt. 使就座"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
website,n. 网站（全球资讯网的主机站）
situate,"adj. 位于…的
vt. 使位于；使处于"
situation,n. 情况；形势；处境；位置
reside,vi. 住，居住；属于
residence,n. 住宅，住处；居住
resident,"n. 居民；住院医生
adj. 居住的；定居的"
saddle,"n. 鞍，鞍状物；车座；拖具
vt. 承受；使负担；装以马鞍
vi. 跨上马鞍"
gene,n.  基因，遗传因子
genetic,adj. 遗传的；基因的；起源的
genius,n. 天才，天赋；精神
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
genuine,adj. 真实的，真正的；诚恳的
generate,vt. 使形成；发生；生殖；产生物理反应
generation,n. 一代；产生；一代人；生殖
generator,n. 发电机；发生器；生产者
hydrogen,n.  氢
nitrogen,n.  氮
oxygen,n.  氧气， 氧
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
pregnant,adj. 怀孕的；富有意义的
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
bystander,n. 旁观者；看热闹的人
standpoint,n. 立场；观点
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
constantly,adv. 不断地；时常地
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
instance,"n. 实例；情况；建议
vt. 举...为例"
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
workforce,n. 劳动力；工人总数，职工总数
workman,n. 工匠；技工；男工
workmate,n. 同事；工友
workplace,n. 工作场所；车间
workshop,n. 车间；研讨会；工场；讲习班
artwork,n. 艺术品；插图；美术品
framework,n. 框架，骨架；结构，构架
network,n. 网络；广播网；网状物
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
so-called,adj. 所谓的；号称的
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
reconcile,vt. 使一致；使和解；调停，调解；使顺从
council,n. 委员会；会议；理事会；地方议会；顾问班子
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
ego,n. 自我；自负；自我意识
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
gown,"n. 长袍，长外衣；礼服；睡袍；法衣
vt. 使穿睡衣"
hay,"n. 干草
vt. 把晒干
vi. 割草晒干"
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
laser,n. 激光
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
mug,"n. 杯子；脸；苦读者
vi. 扮鬼脸，做怪相
vt. 行凶抢劫"
orchestra,n. 管弦乐队；乐队演奏处
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
plural,"n. 复数
adj. 复数的"
roar,"n. 咆哮；吼；轰鸣
vi. 咆哮；吼叫；喧闹
vt. 咆哮；呼喊；使……轰鸣"
shiver,"n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
card,"n. 卡片；纸牌；明信片
vt. 记于卡片上"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
postcard,n. 明信片
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
human,"n. 人；人类
adj. 人的；人类的"
human being,"adj. 人的；有人性的；显示人类特点的
n. 人类
 是人；指人类；泛指人"
humane,adj. 仁慈的，人道的；高尚的
humanity,n. 人类；人道；仁慈；人文学科
humankind,n. 人类（总称）
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
humid,adj. 潮湿的；湿润的；多湿气的
metre,n. 米；公尺；韵律
meter,"n. 米；仪表； 公尺；韵律
vt. 用仪表测量
vi. 用表计量"
metric,"adj. 公制的；米制的；公尺的
n. 度量标准"
diameter,n. 直径
arithmetic,n. 算术，算法
geometry,"n. 几何学
几何结构"
thermometer,n. 温度计；体温计
society,n. 社会；交往；社团；社交界
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
association,n. 协会，联盟，社团；联合；联想
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
socialism,n. 社会主义
socialist,"n. 社会主义者；社会党党员
adj. 社会主义的"
sociology,n. 社会学；群体生态学
appear,vi. 出现；显得；似乎；出庭；登场
appearance,n. 外貌，外观；出现，露面
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
apparent,adj. 显然的；表面上的
transparent,adj. 透明的；显然的；坦率的；易懂的
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
rightist,"n. 右派人士
adj. 右派的；右翼的"
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
tack,"n. 大头钉；粗缝；行动方针；食物
vt. 附加；以大头针钉住
vi. 抢风航行；作文字形移动"
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
circumstance,n. 环境，情况；事件；境遇
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
classify,vt. 分类；分等
classification,n. 分类；类别，等级
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
weave,"vi. 纺织；编成；迂回行进
vt. 编织；编排；使迂回前进
n. 织物；织法；编织式样"
alcohol,n. 酒精，乙醇
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
bible,n. 有权威的书
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
coarse,adj. 粗糙的；粗俗的；下等的
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
elbow,"n. 肘部；弯头；扶手
vt. 推挤；用手肘推开"
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
flavour,"n. 香味；滋味
vt. 给……调味；给……增添风趣"
grind,"n. 磨；苦工作
vt. 磨碎；磨快
vi. 磨碎；折磨"
headmistress,n. 女校长
instrument,n. 仪器；工具；乐器；手段；器械
Latin,"adj. 拉丁语的；拉丁人的
n. 拉丁语；拉丁人"
lord,"n. 主；上帝
int. 主，天啊
vt. 使成贵族
vi. 作威作福，称王称霸"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
calculation,n. 计算；估计；计算的结果；深思熟虑
calculator,n. 计算器；计算者
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
clarity,n. 清楚，明晰；透明
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
pan,"n. 平底锅；盘状的器皿；淘盘子，金盘，秤盘
vi. 淘金；在淘洗中收获金子
vt. 淘金；在浅锅中烹调（食物）；严厉的批评"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
decision,n. 决定，决心；决议
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
precise,adj. 精确的；明确的；严格的
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
mode,n. 模式；方式；风格；时尚
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
modernize,"vt. 使…现代化
vi. 现代化"
modernise,"vi. 现代化（等于modernize）
vt. 使…现代化（等于modernize）"
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
mould,"vi. 发霉
vt. 浇铸；用泥土覆盖
n. 模具；霉"
mood,n. 情绪，语气；心境；气氛
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
modesty,n. 谦逊；质朴；稳重
modify,"vt. 修改，修饰；更改
vi. 修改"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
migrant,"n. 候鸟；移居者；随季节迁移的民工
adj. 移居的；流浪的"
immigrate,"vi. 移入
vt. 使移居入境"
emigrate,"vi. 移居；移居外国
vt. 移民"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
emigrant,"n. 移民；侨民
adj. 移民的；移居的"
bicycle,"n. 自行车
vt. 骑自行车运送
vi. 骑脚踏车"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
cyclist,n. 骑自行车的人
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
during,prep. 在…的时候，在…的期间
durable,"n. 耐用品
adj. 耐用的，持久的"
duration,"n. 持续，持续的时间，期间
音长，音延"
