state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
brass,n. 黄铜；黄铜制品；铜管乐器；厚脸皮
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
bride,n. 新娘；姑娘，女朋友
briefcase,n. 公文包
brochure,n. 手册，小册子
broom,"n. 扫帚；金雀花
vt. 扫除
vi. 桩顶开花或开裂"
brow,n. 眉，眉毛；额；表情
bucket,"n. 桶，水桶；铲斗；一桶的量
v. 倾盆而下；颠簸着行进"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
bullet,"n. 子弹；只选某党全部候选人的投票；豆子
vi. 射出；迅速行进"
bulletin,"n. 公告，公报
vt. 公布，公告"
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
burglar,n. 夜贼，窃贼
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
cab,"n. 驾驶室；出租汽车；出租马车
vi. 乘出租马车（或汽车）"
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
cafeteria,n. 自助餐厅
cage,"n. 笼，兽笼；牢房，监狱
vt. 把…关进笼子；把…囚禁起来"
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
calorie,n. 卡路里（热量单位）
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸"
camera,n. 照相机；摄影机
campus,n. （大学）校园；大学，大学生活；校园内的草地
cancer, 巨蟹座
candidate,n. 候选人，候补者；应试者
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
cannon,"n. 大炮；加农炮；榴弹炮；机关炮
vt. 炮轰
vi. 炮轰；开炮"
canoe,"n. 独木舟；轻舟
vi. 乘独木舟
vt. 用独木舟运"
canteen,n. 食堂，小卖部；水壶
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
cape,n.  海角，岬；披肩
carbohydrate,n.  碳水化合物； 糖类
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
carriage,n. 运输；运费；四轮马车；举止；客车厢
cart,"n. 二轮运货马车
vt. 用车装载
vi. 驾运货马车；用运货车运送"
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
catastrophe,n. 大灾难；大祸；惨败
cathedral,n. 大教堂
cattle,n. 牛；牲畜（骂人的话）；家畜；无价值的人
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴"
ceiling,n. 天花板；上限
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
cellar,"n. 地窖；酒窖；地下室
vt. 把…藏入地窖"
cemetery,n. 墓地；公墓
censorship,n. 审查制度；审查机构
cent,n. 分；一分的硬币；森特（等于半音程的百分之一）
centimeter,n.  厘米； 公分
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
chalk,"n. 粉笔；白垩；用粉笔划的记号
adj. 用粉笔写的
vt. 用粉笔写；用白垩粉擦；记录；规划
vi. 变成白垩状"
champagne,n. 香槟酒；香槟酒色
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
chap,"n. 小伙子；家伙；龟裂
vt. 使皲裂
vi. 皲裂"
cheek,"n. 面颊，脸颊；臀部
vt. 无礼地向…讲话，对…大胆无礼"
chef,n. 厨师，大师傅
chemist,n. 化学家；化学工作者；药剂师；炼金术士
cheque,n. 支票
cherry,n. 樱桃；樱桃树；如樱桃的鲜红色；处女膜，处女
chess,n. 国际象棋，西洋棋
chest,n. 胸，胸部；衣柜；箱子；金库
chimney,n. 烟囱
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
Christ,"n. 基督；救世主
int. 天啊！"
church,"n. 教堂；礼拜；教派
adj. 教会的；礼拜的
vt. 领…到教堂接受宗教仪式"
circumference,n. 圆周；周长；胸围
circus,n. 马戏；马戏团
clarity,n. 清楚，明晰；透明
classmate,n. 同班同学
clause,n. 条款； 子句
claw,"n. 爪；螯，钳；爪形器具
vi. 用爪抓（或挖）
vt. 用爪抓（或挖）"
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
clergy,n. 神职人员；牧师；僧侣
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
cliff,n. 悬崖；绝壁
clique,"n. 派系；阀；私党；小圈子
vi. 结党"
cloak,"n. 斗蓬；宽大外衣；托词
vt. 遮掩；隐匿"
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
cocaine,n.  可卡因
cock,"n. 公鸡；龙头；雄鸟；头目
vt. 使竖起；使耸立；使朝上
vi. 翘起；竖起；大摇大摆"
coexistence,n. 共存；和平共处；并立
coke,n. 可口可乐（等于Coca-Cola）
collar,"n. 衣领；颈圈
vt. 抓住；给…上领子；给…套上颈圈"
colonel,n. 陆军上校
colony,n. 殖民地；移民队；种群；动物栖息地
column,n. 纵队，列；专栏；圆柱，柱形物
comedy,n. 喜剧；喜剧性；有趣的事情
comet,n.  彗星
commonwealth,n. 联邦；共和国；国民整体
communism,n. 共产主义
community,n. 社区； 群落；共同体；团体
compartment,"n.  隔间；区划；卧车上的小客房
vt. 分隔；划分"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
cop,"n. 巡警，警官
vt. 抓住"
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜"
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
cord,"n. 绳索；束缚
vt. 用绳子捆绑"
corn,"n. （美）玉米；（英）谷物； 鸡眼
vt. 腌；使成颗粒"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
cottage,n. 小屋；村舍；（农舍式的）小别墅
cotton,"n. 棉花；棉布；棉线
adj. 棉的；棉制的
vi. 一致；理解；和谐；亲近"
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
countryside,n. 农村，乡下；乡下的全体居民
county,n. 郡，县
coupon,n. 息票；赠券；联票； 配给券
courtyard,n. 庭院，院子；天井
coward,"n. 懦夫，懦弱的人
adj. 胆小的，懦怯的"
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
credentials,"n.  证书；文凭；信任状（credential的复数）
v. 得到信用；授…以证书（credential的三单形式）"
crest,"n.  波峰；冠；山顶；顶饰
vi. 到达绝顶；形成浪峰"
cricket,n. 板球，板球运动；蟋蟀
critic,n. 批评家，评论家；爱挑剔的人
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
crow,"n.  乌鸦；鸡鸣；撬棍
vi. 啼叫；报晓"
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
cube,"n. 立方；立方体；骰子
vt. 使成立方形；使自乘二次；量…的体积"
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
cup,"n. 杯子；奖杯；酒杯
vt. 使成杯状；为…拔火罐"
cupboard,n. 碗柜；食橱
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
cyberspace,n. 网络空间；赛博空间
cylinder,n. 圆筒；汽缸； 柱面；圆柱状物
dam,"n.  水坝；障碍
v. 控制；筑坝"
danger,n. 危险；危险物，威胁
database,n. 数据库，资料库
daylight,n. 白天；日光；黎明；公开
daytime,n. 日间，白天
deadline,n. 截止期限，最后期限
dean,n. 院长；系主任；教务长；主持牧师
debt,n. 债务；借款；罪过
decade,n. 十年，十年期；十
deck,"n. 甲板；行李仓；露天平台
vt. 装饰；装甲板；打扮"
deficit,n. 赤字；不足额
democracy,n. 民主，民主主义；民主政治
dentist,"n. 牙科医生
牙医诊所"
dessert,n. 餐后甜点；甜点心
detention,n. 拘留；延迟；挽留
devil,"n. 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼
vt. 虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮"
dew,"n. 珠，滴；露水；清新
vt. （露水等）弄湿
vi. 结露水"
diabetes,n. 糖尿病；多尿症
diagram,"n. 图表；图解
vt. 用图解法表示"
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
diameter,n. 直径
diamond,"n. 钻石，金刚石；菱形；方块牌
adj. 菱形的；金刚钻的"
dictionary,n. 字典；词典
dinosaur,n. 恐龙；过时、落伍的人或事物
dioxide,n. 二氧化物
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
discrepancy,n. 不符；矛盾；相差
dish,"n. 盘；餐具；一盘食物；外貌有吸引力的人
vt. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
vi. 成碟状；闲谈"
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
dock,"n. 码头；船坞；被告席；尾巴的骨肉部分
vt. 使靠码头；剪短
vi. 入船坞"
doctorate,n. 博士学位；博士头衔
donkey,n. 驴子；傻瓜；顽固的人
doorway,n. 门口；途径
dorm,n. 宿舍（等于dormitory）
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
dove,"n. 鸽子；鸽派人士
v. 潜水（dive的过去式）"
dozen,"n. 十二个，一打
adj. 一打的"
dragon,n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
drawback,n. 缺点，不利条件；退税
drawer,n. 抽屉；开票人；出票人；起草者；酒馆侍
drought,n. 干旱；缺乏
drum,"n. 鼓；鼓声
vi. 击鼓；大力争取
vt. 击鼓；大力争取"
dusk,"n. 黄昏，薄暮；幽暗，昏暗
vt. 使变微暗
adj. 微暗的
vi. 变微暗"
eagle,n. 鹰；鹰状标饰
earthquake,n. 地震；大动荡
Easter,n. 复活节
ecology,n. 生态学；社会生态学
elephant,n. 象；大号图画纸
embassy,n. 大使馆；大使馆全体人员
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
emperor,n. 皇帝，君主
encyclopedia,n. 百科全书（亦是encyclopaedia）
energy,n.  能量；精力；活力；精神
equation,n. 方程式，等式；相等； 反应式
equator,n. 赤道
eve,n. 前夕；傍晚；重大事件关头
excerpt,"n. 摘录，引用
vt. 引用，摘录
vi. 摘录，引用"
excitement,n. 兴奋；刺激；令人兴奋的事物
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
eyebrow,"n. 眉毛
v. 为…描眉；用皱眉蹙额迫使"
eyesight,n. 视力；目力
fairy,"n. 仙女，小精灵；漂亮姑娘
adj. 虚构的；仙女的"
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
feather,"n. 羽毛
vt. 用羽毛装饰
vi. 长羽毛"
feedback,n. 反馈；成果，资料；回复
festival,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的"
fiber,n. 纤维；光纤（等于fibre）
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
finger,"n. 手指；指针，指状物
vt. 伸出；用手指拨弄
vi. 用指触摸；拨弄"
fireman,n. 消防队员；救火队员；锅炉工
fireplace,n. 壁炉
fist,"n. 拳，拳头；笔迹；掌握；指标参见号
vt. 紧握；握成拳；用拳打"
flesh,"n. 肉；肉体
vt. 喂肉给…；使发胖
vi. 长胖"
flour,"n. 面粉；粉状物质
vt. 撒粉于；把…磨成粉"
flu,n. 流感
foam,"n. 泡沫；水沫；灭火泡沫
vt. 使起泡沫；使成泡沫状物
vi. 起泡沫；吐白沫；起着泡沫流动"
fog,"n. 雾；烟雾，尘雾；迷惑
vt. 使模糊；使困惑；以雾笼罩
vi. 被雾笼罩；变模糊"
footstep,n. 脚步；脚步声；足迹
forehead,n. 额，前额
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧"
formula,n.  公式，准则；配方；婴儿食品
fort,"n. 堡垒；要塞；（美）边界贸易站
vt. 设要塞保卫
vi. 构筑要塞"
fortnight,n. 两星期
forum,n. 论坛，讨论会；法庭；公开讨论的广场
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
fountain,n. 喷泉，泉水；源泉
frenzy,"n. 狂暴；狂怒；暴怒
vt. 使发狂；使狂怒"
friction,n. 摩擦， 摩擦力
fridge,n. 电冰箱
friendship,n. 友谊；友爱；友善
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
frost,"n. 霜；冰冻，严寒；冷淡
vi. 结霜；受冻
vt. 结霜于；冻坏"
funeral,"n. 葬礼；麻烦事
adj. 丧葬的，出殡的"
fur,"n. 皮，皮子；毛皮；软毛
n. 水垢
vt. 用毛皮覆盖；使穿毛皮服装"
furnace,n. 火炉，熔炉
furniture,n. 家具；设备；储藏物
gadget,n. 小玩意；小器具；小配件；诡计
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
gallon,n. 加仑（容量单位）
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
garbage,n. 垃圾；废物
garlic,n. 大蒜；蒜头
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
gasoline,n. 汽油
gate,"n. 大门；出入口；门道
vt. 给…装大门"
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
gene,n.  基因，遗传因子
geography,n. 地理；地形
geology,n. 地质学；地质情况
geometry,"n. 几何学
几何结构"
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
glacier,n. 冰河，冰川
glamour,"n. 魅力，魔力；迷人的美
vt. 迷惑，迷住"
glove,"n. 手套
vt. 给…戴手套"
gold,"n. 金，黄金；金色；金币
adj. 金的，金制的；金色的"
goodness,"n. 善良，优秀 ；精华，养分
int. 天哪"
goods,n. 商品；动产；合意的人；真本领
goose,"n. 鹅；鹅肉；傻瓜；雌鹅
vt. 突然加大油门；嘘骂"
gown,"n. 长袍，长外衣；礼服；睡袍；法衣
vt. 使穿睡衣"
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
gram,n. 克；鹰嘴豆（用作饲料）
grape,n. 葡萄；葡萄酒；葡萄树；葡萄色
graph,"n. 图表；曲线图
vt. 用曲线图表示"
gratitude,n. 感谢（的心情）；感激
gravity,n. 重力，地心引力；严重性；庄严
grease,"n. 油脂；贿赂
vt. 涂脂于；贿赂"
greenhouse,"n. 温室
造成温室效应的"
grocer,n. 杂货店；食品商
groundwork,n. 基础；地基，根基
guideline,"n. 指导方针
参考"
guild,n. 协会，行会；同业公会
gum,"n. 口香糖；树胶；橡皮
vt. 用胶粘，涂以树胶；使…有粘性"
gymnasium,n. 体育馆；健身房
habitat,n.  栖息地，产地
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
ham,"adj. 过火的；做作的
vi. 表演过火
vt. 演得过火
n. 火腿；业余无线电爱好者；蹩脚演员"
hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
handbook,n. 手册；指南
handful,n. 少数；一把；棘手事
handkerchief,n. 手帕；头巾，围巾
handwriting,"n. 笔迹；书法；书写；手稿
v. 亲手写（handwrite的ing形式）"
hardware,n. 计算机硬件；五金器具
haste,"n. 匆忙；急忙；轻率
vt. 赶快
vi. 匆忙；赶紧"
hatred,n. 憎恨；怨恨；敌意
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
hay,"n. 干草
vt. 把晒干
vi. 割草晒干"
headache,n. 头痛；麻烦；令人头痛之事
heading,"n. 标题；（足球）头球；信头
v. 用头顶（head的ing形式）"
headmaster,n. 校长
hearing,"n. 听力；审讯，听讯
v. 听见（hear的ing形式）"
heaven,n. 天堂；天空；极乐
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
height,n. 高地；高度；身高；顶点
heir,n.  继承人；后嗣；嗣子
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
hell,"n. 地狱；究竟（作加强语气词）；训斥；黑暗势力
vi. 过放荡生活；飞驰
int. 该死；见鬼（表示惊奇、烦恼、厌恶、恼怒、失望等）"
helmet,n. 钢盔，头盔
hen,n. 母鸡；女人；雌禽
heroin,n.  海洛因，吗啡
heroine,n. 女主角；女英雄；女杰出人物
highway,n. 公路，大路；捷径
hinge,"n. 铰链，折叶；关键，转折点；枢要，中枢
v. 用铰链连接；依…为转移；给…安装铰链；（门等）装有蝶铰"
hip,"n. 臀部；蔷薇果；忧郁
adj. 熟悉内情的；非常时尚的"
hobby,n. 嗜好；业余爱好
holder,n. 持有人；所有人；固定器；（台、架等）支持物
hormone,n.  激素，荷尔蒙
horn,"n. 喇叭，号角；角
vt. 装角于"
horsepower,n. 马力（功率单位）
hose,"n. 软管；长筒袜；男性穿的紧身裤
vt. 用软管浇水；痛打"
hospitality,n. 好客；殷勤
hound,"n. 猎犬；卑劣的人
vt. 追猎；烦扰；激励"
housewife,n. 家庭主妇
housing,n. 房屋；住房供给； 外壳；遮盖物；机器等的防护外壳或外罩
hurricane,n. 飓风，暴风
hut,"n. 小屋；临时营房
vt. 使住在小屋中；驻扎
vi. 住在小屋中；驻扎"
hydrogen,n.  氢
hygiene,n. 卫生；卫生学；保健法
hypocrisy,n. 虚伪；伪善
idiom,n. 成语，习语；土话
idiot,n. 笨蛋，傻瓜；白痴
importance,n. 价值；重要；重大；傲慢
incidence,n. 发生率；影响； 入射；影响范围
inertia,n.  惯性；惰性，迟钝；不活动
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
inlet,"n. 入口，进口；插入物；水湾
v. 引进; 嵌入; 插入;"
inn,"n. 客栈；旅馆
vi. 住旅馆"
insect,n. 昆虫；卑鄙的人
intercourse,n. 性交；交往；交流
interface,"n. 界面；<计>接口；交界面
v. （使通过界面或接口）接合，连接；使联系
vi. 相互作用（或影响）；交流，交谈"
intersection,n. 交叉；十字路口；交集；交叉点
isle,"n. 岛
vt. 使成为岛屿
vi. 住在岛屿上"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
ivory,"n. 象牙；乳白色；长牙
adj. 乳白色的；象牙制的"
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打"
jar,"n. 罐；广口瓶；震动；刺耳声
vi. 冲突；不一致；震惊；发刺耳声
vt. 震动；刺激；使震动"
jargon,n. 行话，术语；黄锆石
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
jeans,n. 牛仔裤；工装裤
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机"
jewel,"n. 宝石；珠宝
vt. 镶以宝石；饰以珠宝"
journal,n. 日报，杂志；日记；分类账
jug,"n.  水壶；监牢
vt. 关押；放入壶中
vi. 模仿夜莺叫"
juice,n. （水果）汁，液；果汁
junction,n. 连接，接合；交叉点；接合点
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
junk,n. 垃圾，废物；舢板
jury,"n.  陪审团；评判委员会
adj. 应急的"
kettle,n. 壶； 釜；罐；鼓
keyboard,"n. 键盘
vt. 键入；用键盘式排字机排字
vi. 用键盘进行操作；作键盘式排字机排字"
kidney,n.  肾脏；腰子；个性
kilometer,n.  公里； 千米（等于kilometre）
kindergarten,n. 幼儿园；幼稚园
kindness,n. 仁慈；好意；友好的行为
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
kite,"n. 风筝
vi. 使用空头支票；像风筝一样飞；轻快地移动
vt. 骗钱；涂改（支票）"
knee,"n. 膝盖，膝
vt. 用膝盖碰"
knife,"n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过"
knob,"n. 把手；瘤；球形突出物
vi. 鼓起
vt. 使有球形突出物"
knowledge,n. 知识，学问；知道，认识；学科
lace,"n. 花边；鞋带；饰带；少量烈酒
vt. 饰以花边；结带子
vi. 系带子"
lad,n. 少年，小伙子；家伙
ladder,"n. 阶梯；途径；梯状物
vi. 成名；发迹
vt. 在……上装设梯子"
lady,n. 女士，夫人；小姐；妻子
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊"
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
landlady,n. 女房东；女地主；女店主
landlord,n. 房东，老板；地主
language,n. 语言；语言文字；表达能力
lantern,n. 灯笼；提灯；灯笼式天窗
lap,"n. 一圈；膝盖；下摆；山坳
vt. 使重叠；拍打；包围
vi. 重叠；轻拍；围住"
lapse,n. (一时的) 走神，判断错误
laptop,n. 膝上型轻便电脑，笔记本电脑
laser,n. 激光
latitude,n. 纬度；界限；活动范围
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
lavatory,n. 厕所，盥洗室
lawn,n. 草地；草坪
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
lay-off,n. 临时解雇期； 失业期
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
leaflet,n. 小叶；传单
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
librarian,n. 图书馆员；图书管理员
lid,"n. 盖子；眼睑；限制
vt. 给…盖盖子"
lifetime,"n. 一生；寿命；终生；使用期
adj. 一生的；终身的"
lightning,"adj. 闪电的；快速的
n. 闪电
vi. 闪电"
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
linen,"n. 亚麻布，亚麻线；亚麻制品
adj. 亚麻的；亚麻布制的"
liner,n. 班轮，班机；衬垫；画线者
lip,"n. 嘴唇；边缘
vt. 以嘴唇碰
adj. 口头上的
vi. 用嘴唇"
literacy,n. 读写能力；精通文学
liver,n. 肝脏；生活者，居民
loaf,"n. 条，一条面包；块；游荡
vt. 游荡；游手好闲；虚度光阴
vi. 游荡；游手好闲；虚度光阴"
locality,n. 所在；位置；地点
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
longitude,n.  经度；经线
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
lord,"n. 主；上帝
int. 主，天啊
vt. 使成贵族
vi. 作威作福，称王称霸"
lorry,n. （英）卡车； 货车；运料车
lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
loudspeaker,n. 喇叭，扬声器；扩音器
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
luggage,n. 行李；皮箱
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
lung,n. 肺；呼吸器
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
madame,n. （法语）夫人；太太
magnet,n. 磁铁； 磁体；磁石
maid,"n. 女仆；少女
vt. 侍候；做新娘的女傧相
vi. 当女仆"
majesty,n. 威严；最高权威，王权；雄伟；权威
mammal,n.  哺乳动物
mankind,n. 人类；男性
manuscript,"n.  手稿；原稿
adj. 手写的"
marble,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的"
mat,"n. 垫；垫子；衬边
vt. 缠结；铺席于……上
vi. 纠缠在一起
adj. 无光泽的"
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
mayor,n. 市长
meadow,n. 草地；牧场
mechanic,"n. 技工，机修工
adj. 手工的"
melody,n. 旋律；歌曲；美妙的音乐
melon,n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西
member,n. 成员；会员；议员
memo,n. 备忘录
memorandum,n. 备忘录；便笺
mercury,n. 水星
meritocracy,n. 英才教育（制度）；精英管理的社会
messenger,n. 报信者，送信者；先驱
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
metaphor,n. 暗喻，隐喻；比喻说法
meter,"n. 米；仪表； 公尺；韵律
vt. 用仪表测量
vi. 用表计量"
microphone,n. 扩音器，麦克风
microscope,n. 显微镜
midst,"n. 当中，中间
prep. 在…中间（等于amidst）"
millimeter,n.  毫米
