system,n. 制度，体制；系统；方法
acquaint,vt. 使熟悉；使认识
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
adaptable,adj. 适合的；能适应的；可修改的
adaptation,n. 适应；改编；改编本，改写本
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
admiration,n. 钦佩；赞赏；羡慕；赞美
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
affluence,n. 富裕；丰富；流入；汇聚
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
agenda,n. 议程；日常工作事项；日程表
aggressively,adv. 侵略地；攻击地；有闯劲地
agricultural,adj. 农业的；农艺的
agriculture,n. 农业；农耕；农业生产；农艺，农学
allegiance,n. 效忠，忠诚；忠贞
alliance,n. 联盟，联合；联姻
amid,prep. 在其中，在其间
antenna,n.  天线； 触角， 触须
anthropologist,n. 人类学家；人类学者
antibiotics,n.  抗生素；抗生学
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
approval,n. 批准；认可；赞成
apt,adj. 恰当的；有…倾向的；灵敏的
arrogance,n. 自大；傲慢态度
artery,n. 动脉；干道；主流
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
assure,vt. 保证；担保；使确信；弄清楚
bacterial,adj.  细菌的
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
blockage,n. 堵塞，堵塞；封锁；妨碍
bonus,n. 奖金；红利；额外津贴
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
canteen,n. 食堂，小卖部；水壶
capitalism,n. 资本主义
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
cautious,adj. 谨慎的；十分小心的
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
chiefly,adv. 主要地；首先
circus,n. 马戏；马戏团
greedy,adj. 贪婪的；贪吃的；渴望的
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
muddy,"adj. 泥泞的；模糊的；混乱的
vt. 使污浊；使沾上泥；把…弄糊涂
vi. 变得泥泞；沾满烂泥"
analogy,n. 类比；类推；类似
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
shaft,"n. 拍杆； 轴；箭杆；杆状物
vt. 利用；在……上装杆"
aspiration,n. 渴望；抱负；送气；吸气；吸引术
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
minibus,"n. 面包车（等于microbus）；小型公共汽车；中客车
vi. 乘中客车"
stylish,adj. 时髦的；现代风格的；潇洒的
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
bandage,"n. 绷带
vt. 用绷带包扎"
precedent,"n. 先例；前例
adj. 在前的；在先的"
owl,n. 猫头鹰；枭；惯于晚上活动的人
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
abnormal,adj. 反常的，不规则的；变态的
catastrophe,n. 大灾难；大祸；惨败
reliance,n. 信赖；信心；受信赖的人或物
commodity,n. 商品，货物；日用品
likelihood,n. 可能性，可能
stabilize,"vt. 使稳固，使安定
vi. 稳定，安定"
stabilise,"vt. 使…坚固；使…安定；装稳定器（等于stablize）
vi. 稳定；安定"
terrify,vt. 恐吓；使恐怖；使害怕
web,"n. 网；卷筒纸；蹼；织物；圈套
vt. 用网缠住；使中圈套
vi. 形成网"
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
stereo,"n. 立体声；立体声系统；铅版；立体照片
adj. 立体的；立体声的；立体感觉的"
doctrine,n. 主义；学说；教义；信条
hurricane,n. 飓风，暴风
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
exceptional,"n. 超常的学生
adj. 异常的，例外的"
uphold,vt. 支撑；鼓励；赞成；举起
proficiency,n. 精通，熟练
testify,"vi. 作证；证明
vt. 证明，证实；作证"
energetic,adj. 精力充沛的；积极的；有力的
vegetation,n. 植被；植物，草木；呆板单调的生活
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
commentary,n. 评论；注释；评注；说明
destined,"v. 注定（destine的过去式和过去分词）
adj. 注定的；命定的；去往…的"
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
basement,n. 地下室；地窖
notation,n. 符号；乐谱；注释；记号法
drought,n. 干旱；缺乏
additive,"n. 添加剂，添加物
adj. 附加的； 加法的"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
privacy,n. 隐私；秘密；隐居；隐居处
reconcile,vt. 使一致；使和解；调停，调解；使顺从
expertise,n. 专门知识；专门技术；专家的意见
warfare,n. 战争；冲突
credentials,"n.  证书；文凭；信任状（credential的复数）
v. 得到信用；授…以证书（credential的三单形式）"
finite,"n. 有限之物
adj. 有限的；限定的"
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
classify,vt. 分类；分等
clinic,n. 临床；诊所
coastal,adj. 沿海的；海岸的
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
commerce,n. 贸易；商业；商务
communication,n. 通讯， 通信；交流；信函
comparatively,adv. 比较地；相当地
compatible,adj. 兼容的；能共处的；可并立的
compel,vt. 强迫，迫使；强使发生
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
comprehend,vt. 理解；包含；由…组成
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
confrontation,n. 对抗；面对；对质
congressman,n. 国会议员；众议院议员
conscience,n. 道德心，良心
conscious,adj. 意识到的；故意的；神志清醒的
consecutive,adj. 连贯的；连续不断的
considerate,adj. 体贴的；体谅的；考虑周到的
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
constrain,vt. 驱使；强迫；束缚
construction,n. 建设；建筑物；解释；造句
contribution,n. 贡献；捐献；投稿
conversion,n. 转换；变换； 兑换；改变信仰
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
cooperative,"n. 合作社
adj. 合作的；合作社的"
cop,"n. 巡警，警官
vt. 抓住"
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
correlation,n.  相关，关联；相互关系
council,n. 委员会；会议；理事会；地方议会；顾问班子
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
cowardly,"adj. 怯懦的，懦弱的；胆小的
adv. 胆怯地"
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
cult,n. 祭仪（尤其指宗教上的）；礼拜；狂热信徒
currently,adv. 当前；一般地
curricula,n. 课程（curriculum的复数形式）
decoration,n. 装饰，装潢；装饰品；奖章
deduce,vt. 推论，推断；演绎出
deficient,adj. 不足的；有缺陷的；不充分的
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
delegate,"n. 代表
vt. 委派…为代表"
depend,vi. 依赖，依靠；取决于；相信，信赖
depersonalize,vt. 使失去个性；使失去个人自我感
deportation,n. 驱逐出境；放逐
descent,"n. 下降；血统；袭击
vt. 除去…的气味；使…失去香味"
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
detained,v. 被扣留， 扣留（detain的过去分词）
devastate,vt. 毁灭；毁坏
devotion,n. 献身，奉献；忠诚；热爱
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
diagnosis,n. 诊断
sensation,n. 感觉；轰动；感动
embody,vt. 体现，使具体化；具体表达
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
elite,n. 精英；精华；中坚分子
outfit,"n. 机构；用具；全套装备
vi. 得到装备
vt. 配备；供应"
decode,"vt. 译(密码文电等)，译(码)，解(码)等：；(尤指在学习过程中)把拼写和读音关系用于(阅读)
vi. 从事破译(或解译)工作"
malnutrition,n. 营养失调，营养不良
calorie,n. 卡路里（热量单位）
benevolent,adj. 仁慈的；慈善的；亲切的
naive,"adj. 天真的,幼稚的"
toxic,adj. 有毒的；中毒的
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
transit,"n. 运输；经过
vt. 运送
vi. 经过"
compensation,n. 补偿；报酬；赔偿金
innate,adj. 先天的；固有的；与生俱来的
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
sceptical,adj. 怀疑的；怀疑论的；习惯怀疑的
profess,"vt. 自称；公开表示；宣称信奉；正式准予加入
vi. 声称；承认；当教授"
enclosure,n. 附件；围墙；围场
sulfur,"n. 硫磺；硫磺色
vt. 用硫磺处理"
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
warehouse,n. 仓库；货栈；大商店
preside,"vi. 主持，担任会议主席
vt. 管理"
sub,"n. 潜水艇；地铁；替补队员
vi. 代替"
speciality,n. 专业，专长；特性
symphony,n. 交响乐；谐声，和声
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
misfortune,n. 不幸；灾祸，灾难
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
visualise,"vt. 使…可见；使…具体化（等于visualize）
vi. 想象；显现"
smog,n. 烟雾
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
obedient,adj. 顺从的，服从的；孝顺的
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
downfall,n. 垮台；衰败；落下；大雨
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
rebellion,n. 叛乱；反抗；谋反；不服从
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
database,n. 数据库，资料库
occupancy,n. 居住；占有；占用
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
ozone,n.  臭氧；新鲜的空气
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
gleam,"n. 微光；闪光；瞬息的一现
vt. 使闪烁；使发微光
vi. 闪烁；隐约地闪现"
arson,n. 纵火；纵火罪
graphic,adj. 形象的；图表的；绘画似的
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
inland,"n. 内地；内陆
adj. 内陆的；内地的；国内的
adv. 在内地；向内地；向内陆；在内陆"
nourish,vt. 滋养；怀有；使健壮
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
expenditure,n. 支出，花费；经费，消费额
dignity,n. 尊严；高贵
disapprove,"vi. 不赞成；不喜欢
vt. 不赞成；不同意"
discrimination,n. 歧视；区别，辨别；识别力
disposal,n. 处理；支配；清理；安排
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
disposition,n. 处置； 性情； 部署；倾向
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
distraction,n. 注意力分散；消遣；心烦意乱
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
dorm,n. 宿舍（等于dormitory）
download,vt.  下载
dramatization,n. 编剧；改编成戏剧
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
duchess,"n. 公爵夫人；女公爵；雍容华贵的妇女；小老板娘
vt. （澳）盛情款待；讨好
vi. 热情款待；讨好"
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
economics,n. 经济学；国家的经济状况
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
elicit,vt. 抽出，引出；引起
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
embarrass,vt. 使局促不安；使困窘；阻碍
embedded,"v. 嵌入（embed的过去式和过去分词形式）
adj. 嵌入式的；植入的；内含的"
embryos,n. 胚胎；晶胚
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
endangered,adj. 濒临灭绝的；有生命危险的
enforcement,n. 执行，实施；强制
enormously,adv. 巨大地，庞大地；非常地，在极大程度上
entitle,vt. 称做…；定名为…；给…称号；使…有权利
epoch,n.  世；新纪元；新时代；时间上的一点
equate,"vt. 使相等；视为平等
vi. 等同"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
excellent,adj. 卓越的；极好的；杰出的
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
exhaustion,n. 枯竭；耗尽；精疲力竭
exodus,n. 《出埃及记》（《圣经》第二卷）
explicit,adj. 明确的；清楚的；直率的；详述的
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
fabricate,vt. 制造；伪造；装配
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
feedback,n. 反馈；成果，资料；回复
festival,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的"
flora,n. 植物区系；植物群
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
foresee,vt. 预见；预知
fortunate,adj. 幸运的；侥幸的；吉祥的；带来幸运的
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
fraud,n. 欺骗；骗子；诡计
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
funeral,"n. 葬礼；麻烦事
adj. 丧葬的，出殡的"
furniture,n. 家具；设备；储藏物
alleviate,vt. 减轻，缓和
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
uranium,n.  铀
telecommunication,n. 电讯； 远程通信；无线电通讯
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
resemblance,n. 相似；相似之处；相似物；肖像
vengeance,n. 复仇；报复；报仇
salvation,n. 拯救；救助
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
rating,"n. 等级；等级评定；额定功率
v. 对…评价（rate的ing形式）"
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
dwell,vi. 居住；存在于；细想某事
sediment,n. 沉积；沉淀物
cyberspace,n. 网络空间；赛博空间
parameter,n. 参数；系数；参量
consensus,n. 一致；舆论；合意
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
dolphin,n. 海豚
deviate,"vi. 脱离；越轨
vt. 使偏离"
alienate,vt. 使疏远，离间；让与
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
forthcoming,"n. 来临
adj. 即将来临的"
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
enrol,"vi. 注册；参军
vt. 登记；卷起；入学；使入会"
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
portray,vt. 描绘；扮演
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
avail,"vi. 有益于，有益于；使对某人有利。
vt. 有益于，有益于；使对某人有利。
n. 效用，利益"
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
ecology,n. 生态学；社会生态学
longevity,n. 长寿，长命；寿命
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
convene,"vt. 召集，集合；传唤
vi. 聚集，集合"
multitude,n. 群众；多数
solitude,n. 孤独；隐居；荒僻的地方
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
mayor,n. 市长
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
significance,n. 意义；重要性；意思
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
excitement,n. 兴奋；刺激；令人兴奋的事物
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
racial,adj. 种族的；人种的
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
genius,n. 天才，天赋；精神
gape,"n. 裂口，张嘴；呵欠
vi. 裂开，张开；打呵欠"
glitter,"vi. 闪光；闪烁
n. 闪光；灿烂"
greed,n. 贪婪，贪心
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
harmonize,"vt. 使和谐；使一致；以和声唱
vi. 协调；和谐；以和声唱"
haunt,"n. 栖息地；常去的地方
vt. 常出没于…；萦绕于…；经常去…
vi. 出没；作祟"
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
heterogeneity,n.  异质性； 不均匀性； 多相性
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
horrible,adj. 可怕的；极讨厌的
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
ignorant,adj. 无知的；愚昧的
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
imbalance,n. 不平衡；不安定
immediate,adj. 立即的；直接的；最接近的
impair,vt. 损害；削弱；减少
implicit,adj. 含蓄的；暗示的；盲从的
inaccurate,adj. 错误的
incidence,n. 发生率；影响； 入射；影响范围
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
individualize,vt. 赋予个性；个别处理；使适应个别需要
infantile,adj. 婴儿的；幼稚的；初期的
infection,n. 感染；传染；影响；传染病
infer,"vi. 推断；作出推论
vt. 推断；推论"
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
injury,n. 伤害，损害；受伤处
innovation,n. 创新，革新；新方法
insist,"vi. 坚持，强调
vt. 坚持，强调"
insistent,adj. 坚持的；迫切的；显著的；引人注目的；紧急的
inspiration,n. 灵感；鼓舞；吸气；妙计
instability,n. 不稳定（性）；基础薄弱；不安定
intellectually,adv. 智力上；理智地；知性上
interpreter,n. 解释者；口译者；注释器
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
invaluable,adj. 无价的；非常贵重的
investigator,n. 研究者；调查者；侦查员
involvement,n. 牵连；包含；混乱；财政困难
jeopardize,vt. 危害；使陷危地；使受危困
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
legend,n. 传奇；说明；图例；刻印文字
legislator,n. 立法者
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
lodge,"n. 旅馆；门房；集会处；山林小屋
vt. 提出；寄存；借住；嵌入
vi. 寄宿；临时住宿"
logically,adv. 逻辑上；合乎逻辑
luxurious,adj. 奢侈的；丰富的；放纵的；特级的
mammal,n.  哺乳动物
manure,"vt. 施肥于；耕种
n. 肥料；粪肥"
maritime,adj. 海的；海事的；沿海的；海员的
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
mediate,"vi. 调解；斡旋；居中
vt. 调停；传达
adj. 间接的；居间的"
medication,n. 药物；药物治疗；药物处理
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
curl,"n. 卷曲；卷发；螺旋状物
vt. 使…卷曲；使卷起来
vi. 卷曲；盘绕"
flour,"n. 面粉；粉状物质
vt. 撒粉于；把…磨成粉"
painful,adj. 痛苦的；疼痛的；令人不快的
exert,vt. 运用，发挥；施以影响
opening,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
foreigner,n. 外地人，外国人
independence,n. 独立性，自立性；自主
applicable,adj. 可适用的；可应用的；合适的
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
cope,"n. 长袍
vi. 处理；对付；竞争"
volcano,n. 火山
ignorance,n. 无知，愚昧；不知，不懂
discourage,vt. 阻止；使气馁
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
eve,n. 前夕；傍晚；重大事件关头
pop,abbr. 卖点广告（Point of Purchase）
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
manual,"adj. 手工的；体力的
n. 手册，指南"
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
