compatible,adj. 兼容的；能共处的；可并立的
perfectly,adv. 完美地；完全地；无瑕疵地
performative,"n. 述行成分，述行语
adj. 表述行为的"
performer,n. 演出者；执行者；演奏者
periodically,adv. 定期地；周期性地；偶尔；间歇
permissive,adj. 许可的；自由的；宽容的；（两性关系）放纵的
perpetuate,"vt. 使不朽；保持
adj. 长存的"
perpetuity,n. 永恒
persistence,n. 持续；固执；存留；坚持不懈；毅力
persistent,adj. 固执的，坚持的；持久稳固的
persistently,adv. 坚持地；固执地
persuasive,adj. 有说服力的；劝诱的，劝说的
pervasive,adj. 普遍的；到处渗透的；流行的
petal,n. 花瓣
pharaoh,n. 法老；暴君
pharmaceutical,"n. 药物
adj. 制药（学）的"
philharmonic,"n. 交响乐团；音乐爱好者；爱乐团体
adj. 交响乐团的；爱好音乐的"
philosophical,adj. 哲学的（等于philosophic）；冷静的
phony,"n. 假冒者；赝品
adj. 假的，欺骗的"
physically,adv. 身体上，身体上地
physique,n. 体格，体形
pinpoint,"n. 针尖；精确位置；极小之物
vt. 查明；精确地找到；准确描述
adj. 精确的；详尽的"
player,n. 运动员，比赛者；游戏者，做游戏的人；演奏者，表演者；演员；播放器
playgoer,n. 戏迷；爱看戏的人
poach,"vt. 水煮；偷猎；窃取；把…踏成泥浆
vi. 偷猎；侵犯；剽窃"
pocketbook,n. 钱包；笔记本；经济来源；皮夹
pointless,adj. 无意义的；钝的；不尖的；不得要领的
polarize,"vt. （使）极化；（使）偏振；（使）两极分化
vi. 极化；偏振；两极分化"
potash,n.  碳酸钾；草碱；苛性钾；钾化合物
potentially,adv. 可能地，潜在地
pottery,n. 陶器；陶器厂；陶器制造术
powerfully,adv. 强大地；强烈地；非常
powerless,adj. 无力的； 无能力的，无权的
practicality,n. 实用性，实际性；实际，实例
precisely,adv. 精确地；恰恰
preconception,n. 偏见；先入之见；预想
predator,n.  捕食者； 食肉动物；掠夺者
predatory,adj. 掠夺的，掠夺成性的；食肉的；捕食生物的
predictable,adj. 可预言的
predictably,adv. 可预言地
prediction,n. 预报；预言
predominantly,adv. 主要地；显著地
prefrontal,"n.  额前骨
adj.  前额的；额叶前部的"
prehistoric,adj. 史前的；陈旧的
preoccupation,n. 全神贯注，入神；当务之急；关注的事物；抢先占据；成见
prerequisite,"n. 先决条件
adj. 首要必备的"
presumptuous,adj. 专横的；放肆的；冒昧的
presuppose,vt. 假定；预料；以…为先决条件
prevention,n. 预防；阻止；妨碍
previously,adv. 以前；预先；仓促地
prewar,"adj. 战前的
adv. 在战前"
priestly,adj. 祭司的；僧侣的；似教士的
primarily,adv. 首先；主要地，根本上
principally,adv. 主要地；大部分
printer,n.  打印机；印刷工；印花工
probably,adv. 大概；或许；很可能
processor,n.  处理器；处理程序；加工者
procreation,n. 生殖；生产
prod,"n. 刺针；刺棒；签子
vi. 刺；捅
vt. 刺，戳；刺激"
producer,n. 制作人，制片人；生产者；发生器
professionalize,"vt. 使…专业化；使…专业化
vi. 专业化；职业化"
professionalism,n. 专业主义；专家的地位；特性或方法
professorship,n.  教授职位
proficient,"n. 精通；专家，能手
adj. 熟练的，精通的"
profit-making,"n. 营利；赚钱
adj. 营利的；有利可图的"
profoundly,adv. 深刻地；深深地；极度地
progression,n. 前进；连续
prohibition,n. 禁止；禁令；禁酒；诉讼中止令
projection,n. 投射；规划；突出；发射；推测
promoter,n. 促进者；发起人；催化剂；促进剂；启动子
promotion,n. 提升， 晋升；推销，促销；促进；发扬，振兴
promotional,adj. 促销的；增进的；奖励的
pronouncement,n. 声明；宣告；公告；判决
propagate,"vt. 传播；传送；繁殖；宣传
vi. 繁殖；增殖"
properly,adv. 适当地；正确地；恰当地
proportionality,n. 相称；均衡；比例性
prosecutor,n. 检察官；公诉人； 起诉人；实行者
protection,n. 保护；防卫；护照
proudly,adv. 傲慢地，自负地；得意洋洋地
provider,n. 供应者；养家者
provincial,"n. 粗野的人；乡下人；外地人
adj. 省的；地方性的；偏狭的"
provincialism,n. 方言；地方风格；乡下习气
provocative,"n. 刺激物，挑拨物；兴奋剂
adj. 刺激的，挑拨的；气人的"
psychedelic,"n. 迷幻剂
adj. 引起幻觉的"
psychiatrist,n. 精神病学家，精神病医生
psychoactive,adj. 影响心理状态的；作用于精神的
psychological,adj. 心理的；心理学的；精神上的
psychologist,n. 心理学家，心理学者
pubic,adj. 耻骨的；阴毛的；阴部的
publicize,vt. 宣传；公布
publisher,n. 出版者，出版商；发行人
punctuation,n. 标点；标点符号
purely,adv. 纯粹地；仅仅，只不过；完全地；贞淑地；清洁地
puritan,"n. 清教徒
adj. 清教徒的"
quadruple,"n. 四倍
adj. 四倍的；四重的
vt. 使…成四倍
vi. 成为四倍"
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
questionable,adj. 可疑的；有问题的
quick-witted,adj. 机智灵敏的
quirk,n. 怪癖；急转；借口
radiation,n. 辐射；发光；放射物
randomly,adv. 随便地，任意地；无目的地，胡乱地；未加计划地
rapidly,adv. 迅速地；很快地；立即
rationalization,n. 合理化
reactor,n.  反应器； 反应堆；起反应的人
readmit,vt. 重新接纳
reaffirm,vt. 再肯定，重申；再断言
receptor,n.  受体；接受器；感觉器官
recitation,n. 背诵；朗诵；详述；背诵的诗
recklessly,adv. 鲁莽地；不顾一切地
reclassify,vt. 重新分类；重新安排等级
recommendation,n. 推荐；建议；推荐信
reconsider,"vt. 重新考虑；重新审议
vi. 重新考虑"
reconstruct,vt. 重建；改造；修复；重现
reconstruction,n. 再建，重建；改造；复兴
recruiter,n. 招聘人员，征兵人员
redundancy,n.  冗余（等于redundance）；裁员；人浮于事
redefine,vt. 重新定义
refutation,n. 反驳；驳斥；辩驳
regain,"n. 收复；取回
vt. 恢复；重新获得；收回
vi. 上涨"
regrettably,adv. 遗憾地；抱歉地；可悲地
regularity,n. 规则性；整齐；正规；匀称
regulator,n. 调整者；监管者；校准器
regulatory,adj. 管理的；控制的；调整的
relatively,adv. 相当地；相对地，比较地
remarry,"vt. 使再婚
vi. 再婚"
re-evaluate,重估
remould,vt. 改造，改铸；重新塑造
renege,"n. 出牌违例
vi. 食言；违例出牌
vt. 否认"
renewable,"n. 再生性能源
adj. 可再生的；可更新的；可继续的"
renown,"n. 声誉；名望
vt. 使有声望"
renowned,"v. 使有声誉（renown的过去分词）
adj. 著名的；有声望的"
reorder,"vt. 再订购；重新整理
vi. 再订购
n. 再订购"
replaceable,adj. 可替换的；可置换的；可放在原处的
reportorial,adj. 记者的；报告的
repository,n. 贮藏室，仓库；知识库；智囊团
representation,n. 代表；表现；表示法；陈述
representational,adj. 代表的；具象派的
reproducibility,n.  再现性
reproductive,adj. 生殖的；再生的；复制的
resentment,n. 愤恨，怨恨
reshape,vt. 改造；再成形
resignation,n. 辞职；放弃；辞职书；顺从
respectable,"n. 可敬的人
adj. 值得尊敬的；人格高尚的；相当数量的"
restoration,n. 恢复；复位；王政复辟；归还
restriction,n. 限制；约束；束缚
restrictive,"n. 限制词
adj. 限制的；限制性的；约束的"
retailer,n. 零售商；传播的人
retrieval,n. 检索；恢复；取回；拯救
reviewer,n. 评论者，评论家
revision,n.  修正；复习；修订本
revitalize,vt. 使…复活；使…复兴；使…恢复生气
revival,n. 复兴；复活；苏醒；恢复精神；再生效
richness,n. 丰富；富裕；肥沃；华美
righteous,adj. 正义的；正直的；公正的
rightly,adv. 正确地；恰当地；公正地；合适地
rinse,"n. 冲洗；漂洗； 染发剂；染发
vt. 漱；冲洗掉；漂净
vi. 冲洗掉；漂净"
risky,adj. 危险的；冒险的；（作品等）有伤风化的
robotics,n. 机器人学
rosy,adj. 蔷薇色的，玫瑰红色的；美好的；乐观的；涨红脸的
roughly,adv. 粗糙地；概略地
routinely,adv. 例行公事地；老一套地
rubble,n. 碎石，碎砖；粗石堆
rut,"n. 发情期；惯例；性冲动；凹槽
vt. 挖槽于；在…形成车辙
vi. 发情"
scanty,adj. 缺乏的；吝啬的；仅有的；稀疏的
scapegoat,"n. 替罪羊，替人顶罪者；替身
vt. 使成为…的替罪羊"
schism,n. 分裂；分裂教会罪
scholarly,adj. 博学的；学者风度的；学者派头的
scholastic,"adj. 学校的；学者的；学术的（等于scholastical）
n. 学者；学生；墨守成规者；经院哲学家"
schooling,"n. 学校教育；学费
v. 教育（school的ing形式）；培养"
scrutinize,"n. 仔细或彻底检查
vt. 详细检查；细看
vi. 细阅；作详细检查"
seasonal,adj. 季节的；周期性的；依照季节的
secular,"n. 修道院外的教士，(对宗教家而言的) 俗人
adj. 世俗的；长期的；现世的；不朽的"
seethe,"n. 沸腾；感情等的迸发
vt. 使浸透；使煮沸
vi. 沸腾；冒泡；激动"
sensational,adj. 轰动的；耸人听闻的；非常好的；使人感动的
sensitivity,n. 敏感；敏感性；过敏
sensory,adj. 感觉的；知觉的；传递感觉的
sensual,adj. 感觉的；肉欲的；世俗的；感觉论的
separation,n. 分离，分开；间隔，距离； 分居；缺口
seriously,adv. 认真地；严重地，严肃地
sermon,"n. 布道；训诫；启示；冗长的讲话
vt. 对…布道；对…说教
vi. 布道"
setter,n.  调节器；作曲者；排字工人；安装员，从事安装的人
settler,n. 移居者；殖民者
severity,n. 严重；严格；猛烈
sexual,adj. 性的；性别的；有性的
shareholder,n. 股东；股票持有人
shipload,n. 船货；船舶运载量
shipper,n. 托运人；发货人；货主
shortlist,n. （英）供最后挑选用的候选人名单
sift,"vt. 筛选；撒；过滤；详查
vi. 筛；详查；撒下；细究"
sighted,"n. 有视力的人
v. 观测（sight的过去分词）
adj. 有视力的；不盲的"
significantly,adv. 显著地；相当数量地
silt,"n. 淤泥，泥沙；煤粉；残渣
vt. 使淤塞；充塞
vi. 淤塞，充塞；为淤泥堵塞"
similarity,n. 类似；相似点
similarly,adv. 同样地；类似于
simplification,n. 简单化；单纯化
simultaneously,adv. 同时地
simulation,n. 仿真；模拟；模仿；假装
skepticism,n. 怀疑论；怀疑的态度
sovereignty,n. 主权；主权国家；君主；独立国
spatial,adj. 空间的；存在于空间的；受空间条件限制的
speaking,"n. 说话；演讲
v. 讲（speak的ing形式）
adj. 演讲的；富于表情的，雄辩的"
specialization,n. 专门化；特殊化；特化作用
specifically,adv. 特别地；明确地
speculative,adj. 投机的；推测的；思索性的
spent,"v. 花费（spend的过去分词）；浪费；耗费
adj. 耗尽了的；精疲力尽的"
spontaneity,n. 自发性；自然发生
spook,"n. 鬼；幽灵
vt. 惊吓；鬼怪般地出没
vi. 受惊"
spotlight,"n. 聚光灯；反光灯；公众注意的中心
vt. 聚光照明；使公众注意"
springtime,n. 春天；春季；初期
stabilize,"vt. 使稳固，使安定
vi. 稳定，安定"
stakeholder,n. 利益相关者；赌金保管者
stamina,n. 毅力；精力；活力；持久力
standardize,vt. 使标准化；用标准检验
standing,"n. 站立；持续；身分
adj. 长期的；直立的；固定的
v. 站立；坚持不变；坐落于（stand的ing形式）"
standstill,n. 停顿；停止
stark,"adj. 完全的；荒凉的；刻板的；光秃秃的；朴实的
adv. 完全；明显地；突出地；质朴地"
statistical,adj. 统计的；统计学的
statistically,adv. 统计地；统计学上
statistician,n. 统计学家，统计员
steelworker,n. 炼钢工人
stickiness,n. 粘性；胶粘
stimulant,"n.  兴奋剂；刺激物；酒精饮料
adj. 激励的；使人兴奋的"
stimulus,n. 刺激；激励；刺激物
stockpile,"n. 库存；积蓄
vt. 贮存；储蓄
vi. 积累；储备物资"
stomp,"n. 跺脚，重踩；顿足爵士舞
vt. 跺脚，重踩；践踏"
storehouse,n. 仓库，贮藏库；宝库
strangely,adv. 奇怪地；奇妙地；不可思议地
strategic,adj. 战略上的，战略的
strictly,adv. 严格地；完全地；确实地
strikingly,adv. 显著地；突出地，引人注目地
structural,adj. 结构的；建筑的
stylish,adj. 时髦的；现代风格的；潇洒的
stylist,n. 设计师；文体学家
stuck,"v. 刺（stick的过去式）
adj. 被卡住的；不能动的"
stunning,"adj. 极好的；使人晕倒的；震耳欲聋的
v. 把…打昏；使震耳欲聋；使大吃一惊（stun的ing形式）"
subconscious,"n. 潜在意识；下意识心理活动
adj. 潜意识的；下意识的"
submission,n. 投降；提交（物）；服从；（向法官提出的）意见；谦恭
subscriber,n. 订户；签署者；捐献者
subsequently,adv. 随后，其后；后来
subsidize,vt. 资助；给与奖助金；向…行贿
substantially,adv. 实质上；大体上；充分地
substantiate,vt. 证实；使实体化
subtitle,"n. 副标题；说明或对白的字幕
vt. 在…上印字幕；给…加副标题"
successfully,adv. 成功地；顺利地
suddenly,adv. 突然地；忽然
sufficiently,adv. 充分地；足够地
suitability,n. 适合；适当；相配
superstar,n. 超级明星，巨星；超级星体
superstitious,adj. 迷信的；由迷信引起的
supporter,n. 支持者；拥护者
supportive,adj. 支持的；支援的；赞助的
supposing,"conj. 假如；不妨去…吧
v. 假使；让；猜想（suppose的ing形式）"
suburban,"n. 郊区居民
adj. 郊区的，城郊的；土气的；见闻不广的"
surgical,"n. 外科手术；外科病房
adj. 外科的；手术上的"
surprisingly,adv. 惊人地；出人意料地
surveillance,n. 监督；监视
suspiciously,adv. 怀疑地；猜疑地
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
swab,"n. 药签， 拭子；医用海绵，纱布；拖把，擦帚；无赖
vt. 打扫，擦拭；涂抹（药）于"
swollen,adj. 肿胀的，浮肿的；浮夸的；激动兴奋的
symbolic,adj. 象征的；符号的；使用符号的
symbolically,adv. 象征性地；象征意义地
systematically,adv. 有系统地；有组织地
taxpayer,n. 纳税人；所收租金只够支付地产税的建筑物
technicist,n. 技术员，技师
technological,adj. 技术的；工艺的
template,n. 模板，样板
terrain,n.  地形，地势；领域；地带
textual,adj. 本文的；按原文的
theorize,"vt. 建立理论
vi. 建立理论或学说；推理"
therapist,n. 临床医学家；治疗学家
thermostat,"n. 恒温器；自动调温器
vt. 为…配备恒温器；用恒温器控制"
thoughtless,adj. 轻率的；欠考虑的；考虑不周的；不顾及他人的
tier,"n. 层，排；行，列；等级
vt. 使层叠
vi. 成递升排列"
tighten,"vt. 变紧；使变紧
vi. 绷紧；变紧"
timeless,adj. 永恒的；不受时间影响的；不合时宜的
timescale,"时间量程
时标"
timidity,n. 胆怯，胆小；羞怯
toll-free,adj. 不用付电话费的
tort,n. 侵权行为
tournament,n. 锦标赛，联赛；比赛
townsfolk,n. 市民；镇民
traceable,adj. 起源于；可追踪的；可描绘的
traditional,adj. 传统的；惯例的
transcendence,n. 超越；卓越；超然存在
transcendentalist,adj. 超越论者的，先验论者的
transferable,adj. 可转让的； 可转移的
transmissible,adj. 能传送的；能透射的；可传达的
tribal,adj. 部落的；种族的
trigonometry,n. 三角法
troublemaker,n. 捣乱者，闹事者；惹麻烦的人
troupe,"n. 剧团；一班；一团
vi. 巡回演出"
trustworthiness,n. 可信赖；确实性
tumbler,n. 不倒翁（玩具）；杂技演员；翻筋斗者；一杯的容量；滚筒；平底玻璃杯
turbulence,n. 骚乱，动荡； 湍流；狂暴
turnaround,n. 转变；转向；突然好转；回车道
typically,adv. 代表性地；作为特色地
ultimately,adv. 最后；根本；基本上
unable,adj. 不会的，不能的； 无能力的；不能胜任的
unacceptable,adj. 不能接受的；不受欢迎的
unaccountably,adv. 不能说明地；不可解释地；无责任的
unacknowledged,adj. 不被承认的，未公开承认的；未答复的
unaffected,adj. 不受影响的；自然的；真挚的；不矫揉造作的
unaffordable,adj. 买不起的
unanswered,adj. 未答复的；无反应的
unattractive,adj. 不吸引人注意的；没有魅力的；不美丽的
unaware,"adj. 不知道的，无意的；未察觉到的
adv. 意外地；不知不觉地"
unbearably,adv. 不堪忍受地；无法容忍地
unbiased,adj. 公正的；无偏见的
uncanny,adj. 神秘的；离奇的；可怕的
uncertain,adj. 无常的；含糊的；靠不住的；迟疑不决的
uncertainly,adv. 不确定地；没把握地；犹豫地
uncharted,adj. 未知的；图上未标明的
unclean,adj. 不纯洁的；行为不检的
unclear,adj. 不清楚的；不易了解的
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
unconsciously,adv. 不知不觉；无意识地
uncontrollable,adj. 无法控制的；无法管束的；难以驾驭的
unconventional,adj. 非常规的；非传统的；不依惯例的
uncool,adj. 粗野的；没把握的；不冷静沉着的；土里土气的
underfund,vt. 对…提供资金不足
underrate,vt. 低估；看轻
undervalue,vt. 低估...之价值；看轻
undesirable,"n. 不良分子；不受欢迎的人
adj. 不良的；不受欢迎的；不合需要的"
undeveloped,adj. 未开发的；不发达的；未充分发育的
undoubted,adj. 无疑的；确实的
undue,adj. 过度的，过分的；不适当的；未到期的
uneconomic,adj. 不经济的；浪费的
unemployed,adj. 失业的；未被利用的
uneven,adj. 不均匀的；不平坦的； 奇数的
unfair,adj. 不公平的，不公正的
unfamiliar,adj. 不熟悉的；不常见的；没有经验的
unfashionable,adj. 过时的；不时髦的
unfavorable,adj. 不宜的；令人不快的；不顺利的
unfavourable,adj. 不利的；不适宜的；反对的
unfeasible,adj. 难实施的，不能实行的
unfocused,adj. 不聚成焦点的
unfocussed,adj. 漫无目标的，不集中于一点的；不聚成焦点的，目光茫然的
unification,n. 统一；一致；联合
uniformly,adv. 一致地
unimaginable,adj. 不可思议的；难以想像的
unintentional,adj. 非故意的；无意识的
unionism,n. 工会主义；联合主义；联邦主义
unionize,"vt. 使……加入工会；使……成立工会
vi. 加入工会；成立工会"
universality,n. 普遍性；广泛性；一般性；多方面性
unjust,adj. 不公平的，不公正的；非正义的
unknowable,adj. 不可知的；不能知道的
unknown,"n. 未知数；未知的事物，默默无闻的人
adj. 未知的；陌生的，默默无闻的"
unlearned,"n. 没有文化的人们
adj. 无学问的，未受教育的；不熟练的；不学而知的
v. 忘掉已学到的知识（unlearn的过去分词）"
unmistakable,adj. 明显的；不会弄错的
unnatural,adj. 不自然的；反常的；不近人情的
unnecessarily,adv. 不必要地；多余地
unnecessary,adj. 不必要的；多余的，无用的
unpleasant,adj. 讨厌的；使人不愉快的
unpopular,adj. 不流行的，不受欢迎的
unprecedented,adj. 空前的；无前例的
unpredictability,n. 不可预测性，不可预知性；不可预见性
unpredictable,"n. 不可预言的事
adj. 不可预知的；不定的；出乎意料的"
unpretentious,adj. 谦逊的；含蓄的；不炫耀的；不铺张的
unrealistic,adj. 不切实际的；不实在的
unreasonable,adj. 不合理的；过度的；不切实际的；非理智的
unrecognized,adj. 未被承认的；未被认出的；未被认可的
unrecognised,"adj. 未被意识到的；被忽略的；不受重视的；被埋没的
 未认列"
unrelated,adj. 无关的，不相干的
unreliable,adj. 不可靠的；靠不住的
unrepresentative,adj. 非代表性的，不典型的
unseat,vt. 罢免；剥夺…的席位；使失去资格；使从座位上（或马背上）摔下
unsettle,"vt. 使动摇；使不安定；使心神不宁
vi. 不安；动荡不定"
unsustainable,adj. 无法支撑的；不可证实的；不能成立的
untested,adj. 未经检验的； 未试验的
unusually,adv. 非常；异乎寻常地；显著地
unworthy,adj. 不值得的；无价值的；不相称的
upcoming,adj. 即将来临的
upfront,"adj. 预付的；在前面的；正直的，坦率的
adv. 在前面；提前支付（工资）"
upkeep,n. 维持；维修费；保养
uplifting,adj. 令人振奋的；使人开心的
upload,vt. 上传
upscale,"adj. 迎合高层次消费者的；质优价高的
vt. 升高一级"
upside,n. 优势，上面
upstart,"n. 暴发户；自命不凡的人；傲慢自负的人
adj. 暴富的；自命不凡的
vt. 使…突然跳起；使…崛起
vi. 突然跳起；崛起"
Utopia,n. 乌托邦（理想中最美好的社会）；理想国
utterance,n. 表达；说话；说话方式
vaccination,n. 接种疫苗；种痘
validate,vt. 证实，验证；确认；使生效
validity,n.  有效性；正确；正确性
vaunt,"n. 自吹自擂
vt. 自夸；吹嘘
vi. 自夸；吹嘘"
viable,adj. 可行的；能养活的；能生育的
vibrant,adj. 振动的；充满生气的；响亮的；战栗的
vigorously,adv. 精神旺盛地，活泼地
virtuosity,n. 精湛技巧；对艺术品的爱好；艺术爱好者
virtuous,adj. 善良的；有道德的；贞洁的；正直的；有效力的
visionary,"n. 空想家；梦想者；有眼力的人
adj. 梦想的；幻影的"
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
vitality,n. 活力，生气；生命力，生动性
volcanic,"n. 火山岩
adj. 火山的；猛烈的；易突然发作的"
voter,n. 选举人，投票人；有投票权者
warrior,n. 战士，勇士；鼓吹战争的人
wasteful,adj. 浪费的，不经济的；奢侈的
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
weakness,n. 弱点；软弱；嗜好
weaver,n. 织工；织布者
wholesale,"n. 批发
adj. 批发的；大规模的
vt. 批发
adv. 大规模地；以批发方式
vi. 批发；经营批发业"
wilderness,n. 荒地；大量，茫茫一片
windfall,n. 意外之财；被风吹落的果子；意外的收获
winner,n. 胜利者
wordy,adj. 冗长的；口头的；唠叨的；文字的
workforce,n. 劳动力；工人总数，职工总数
workload,n. 工作量
workout,n. 锻炼；练习；试验
workplace,n. 工作场所；车间
workstation,n. 工作站
worrisome,adj. 令人烦恼的，令人不安的；麻烦的
yearning,"n. 渴望；怀念；同情
v. 渴望；向往；想念（yearn的ing形式）
adj. 向往的；渴望的；怀念的"
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
accustom,vt. 使习惯于
acre,n. 土地，地产；英亩
acrobat,n. 杂技演员，特技演员；随机应变者；翻云覆雨者，善变者
actor,n. 男演员；行动者；作用物
actress,n. 女演员
adjective,"n. 形容词
adj. 形容词的；从属的"
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
airplane,n. 飞机
afraid,adj. 害怕的；恐怕；担心的
after,"conj. 在……之后
prep. 在……之后
adj. 以后的
adv. 后来，以后"
afternoon,n. 午后，下午
again,"adv. 又，此外；再一次；再说；增加
n. （英、保）阿盖恩"
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
ago,"adj. 以前的；过去的
adv. 以前，以往"
agree,"vi. vi. 同意，意见一致；约定，商定
vt. 同意，赞成；承认；约定，商定"
agriculture,n. 农业；农耕；农业生产；农艺，农学
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
album,n. 相簿；唱片集；集邮簿；签名纪念册
alcohol,n. 酒精，乙醇
alcoholic,"n. 酒鬼，酗酒者
adj. 酒精的，含酒精的"
almost,adv. 差不多，几乎
aloud,adv. 大声地；出声地
already,adv. 已经，早已；先前
also,"conj. 并且；另外
adv. 也；而且；同样"
always,adv. 永远，一直；总是；常常
ambulance,n.  救护车；战时流动医院
animal,"n. 动物
动物的"
another,"prep. 另一个；另一个人
adj. 又一，另一；另外的；不同的
pron. 另一个；又一个"
ant,n. 蚂蚁
archeology,n. 考古学（等于archaeology）
archaeology,"n. 考古学
考古学的"
arithmetic,n. 算术，算法
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
athlete,n. 运动员，体育家；身强力壮的人
automobile,"n. 汽车
vt. 驾驶汽车
"
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的"
aviation,n. 航空；飞行术；飞机制造业
away,adv. 离去，离开；在远处
bacon,n. 咸肉；腌肉；熏猪肉
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
balcony,n. 阳台；包厢；戏院楼厅
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
banana,n. 香蕉；喜剧演员；大鹰钩鼻
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
barber,"n. 理发师
vt. 为…理发；修整
vi. 当理发师"
baseball,n. 棒球；棒球运动
basket,"n. 篮子；（篮球比赛的）得分；一篮之量；篮筐
vt. 装入篮"
basin,n. 水池；流域；盆地；盆
basketball,n. 篮球；篮球运动
bat,"n. 蝙蝠；球棒；球拍；批处理文件的扩展名
vt. 用球棒击球；击球率达…
vi. 轮到击球；用球棒击球"
bathroom,n. 浴室；厕所；盥洗室
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
bean,"n. 豆；嘴峰；毫无价值的东西
vt. 击…的头部"
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
beauty,n. 美；美丽；美人；美好的东西
because,conj. 因为
bed,"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层"
bee,n. 蜜蜂，蜂；勤劳的人
beef,"n. 牛肉；肌肉；食用牛；牢骚
vt. 养；加强
vi. 抱怨，告发；发牢骚"
beer,"n. 啤酒
vi. 喝啤酒"
bell,"n. 铃，钟；钟声，铃声；钟状物
vt. 装钟于，系铃于
vi. 鸣钟；成钟状鼓起"
beverage,n. 饮料
bible,n. 有权威的书
big,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地"
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
birthday,n. 生日，诞辰；诞生的日子
biscuit,n. 小点心，饼干
black,"n. 黑色；黑人；黑颜料
adj. 黑色的；黑人的；邪恶的
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑"
blackboard,n. 黑板
blog,n. 博客；部落格；网络日志
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
blue,"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；（美国海、陆、空三军穿的）蓝色制服；蓝颜料；布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于"
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
borrow,"vt. 借；借用
vi. 借；借用；从其他语言中引入"
both,"conj. 既…且…
adj. 两个的；两者的
pron. 双方都；两者都
adv. 并；又；两者皆"
box,"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击"
boy,n. 男孩；男人
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
bride,n. 新娘；姑娘，女朋友
briefcase,n. 公文包
brochure,n. 手册，小册子
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑"
broom,"n. 扫帚；金雀花
vt. 扫除
vi. 桩顶开花或开裂"
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
brow,n. 眉，眉毛；额；表情
brown,"n. 褐色，棕色
adj. 棕色的，褐色的；太阳晒黑的
vt. 使变成褐色
vi. 变成褐色"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
bullet,"n. 子弹；只选某党全部候选人的投票；豆子
vi. 射出；迅速行进"
bulletin,"n. 公告，公报
vt. 公布，公告"
bus,"n. 公共汽车
乘公共汽车"
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
busy,"adj. 忙碌的；热闹的；正被占用的
vt. 使忙于"
butcher,"n. 屠夫
vt. 屠杀"
