appoint,"vt. 任命；指定；约定
vi. 任命；委派"
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
kin,"n. 亲戚；家族；同族
adj. 同类的；有亲属关系的；性质类似的"
kindness,n. 仁慈；好意；友好的行为
kingdom,n. 王国；界；领域
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
kneel,vi. 跪下，跪
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
knot,"n. （绳等的）结；节瘤，疙瘩；海里/小时（航速单位）
vt. 打结
vi. 打结"
knowhow,n. 诀窍，技巧；情报；实际的能力；专门技术
lace,"n. 花边；鞋带；饰带；少量烈酒
vt. 饰以花边；结带子
vi. 系带子"
lad,n. 少年，小伙子；家伙
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊"
landlord,n. 房东，老板；地主
lane,n. 小巷； 航线；车道；罚球区
lap,"n. 一圈；膝盖；下摆；山坳
vt. 使重叠；拍打；包围
vi. 重叠；轻拍；围住"
laser,n. 激光
lass,n. 小姑娘；情侣；（苏格兰）女佣
latter,adj. 后者的；近来的；后面的；较后的
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
lavatory,n. 厕所，盥洗室
lawn,n. 草地；草坪
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
layoff,n. 活动停止期间；临时解雇；操作停止；失业期
leader,n. 领导者；首领；指挥者
leadership,n. 领导能力；领导阶层
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
learning,"n. 学习；学问
v. 学习（learn的现在分词）"
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
legend,n. 传奇；说明；图例；刻印文字
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
lemon,"adj. 柠檬色的
n. 柠檬"
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
liberty,n. 自由；许可；冒失
lick,"vt. 舔；卷过；鞭打
vt. （非正式）战胜
vi. 舔；轻轻拍打
n. 舔；打；少许"
lid,"n. 盖子；眼睑；限制
vt. 给…盖盖子"
lightning,"adj. 闪电的；快速的
n. 闪电
vi. 闪电"
likewise,adv. 同样地；也
lily,"n. 百合花，百合；类似百合花的植物；洁白之物
adj. 洁白的，纯洁的"
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
limp,"adj. 柔软的，无力的；软弱的
vi. 跛行，一拐一拐地走；缓慢费力地前进
n. 跛行"
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
liter,n.  公升（容量单位）
litre,n.  公升（米制容量单位）
literacy,n. 读写能力；精通文学
literal,adj. 文字的；逐字的；无夸张的
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
literary,adj. 文学的；书面的；精通文学的
literature,n. 文学；文献；文艺；著作
livelihood,n. 生计，生活；营生
liver,n. 肝脏；生活者，居民
living-room,n. 起居室；客厅
loaf,"n. 条，一条面包；块；游荡
vt. 游荡；游手好闲；虚度光阴
vi. 游荡；游手好闲；虚度光阴"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
logo,n. 商标，徽标；标识语
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
loophole,n. 漏洞；枪眼；换气孔；射弹孔
lord,"n. 主；上帝
int. 主，天啊
vt. 使成贵族
vi. 作威作福，称王称霸"
lorry,n. （英）卡车； 货车；运料车
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
lung,n. 肺；呼吸器
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
machinery,n. 机械；机器；机构；机械装置
magnet,n. 磁铁； 磁体；磁石
magnetic,adj. 地磁的；有磁性的；有吸引力的
maid,"n. 女仆；少女
vt. 侍候；做新娘的女傧相
vi. 当女仆"
maiden,"adj. 未婚的，处女的；初次的
n. 少女；处女"
mainland,"n. 大陆；本土
adj. 大陆的；本土的"
mainstream,n. 主流
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
mammal,n.  哺乳动物
management,n. 管理；管理人员；管理部门；操纵；经营手段
maneuver,"n.  机动；演习；策略；调遣
vi.  机动；演习；调遣；用计谋
vt.  机动；演习；用计；调遣"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
mankind,n. 人类；男性
marginal,adj. 边缘的；临界的；末端的
married,"adj. 已婚的，有配偶的；婚姻的，夫妇的；密切结合的
n. 已婚者
v. 结婚，与…结婚（marry的过去式）"
marsh,"n. 沼泽；湿地
adj. 沼泽的；生长在沼泽地的"
marshal,"n. 元帅；司仪
vt. 整理；引领；编列
vi. 排列"
Marxism,"n. 马克思主义
adj. 马克思的；马克思主义的"
Marxist,"n. 马克思主义者
adj. 马克思主义的"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
mat,"n. 垫；垫子；衬边
vt. 缠结；铺席于……上
vi. 纠缠在一起
adj. 无光泽的"
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
mathematical,adj. 数学的，数学上的；精确的
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
mayor,n. 市长
meantime,"n. 其时，其间
adv. 同时；其间"
measurement,n. 测量； 度量；尺寸；量度制
mechanic,"n. 技工，机修工
adj. 手工的"
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
Medicare,
memorandum,n. 备忘录；便笺
memo,n. 备忘录
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
messenger,n. 报信者，送信者；先驱
metric,"adj. 公制的；米制的；公尺的
n. 度量标准"
Metro,
microphone,n. 扩音器，麦克风
microscope,n. 显微镜
microwave,n. 微波
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
millimeter,n.  毫米
millimetre,n. 毫米；公厘
millionaire,"n. 百万富翁；大富豪
adj. 100万以上人口的"
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
ministry,n. （政府的）部门
minus,"prep. 减，减去
n. 负号，减号；不足；负数
adj. 减的；负的"
mirror,"n. 镜子；真实的写照；榜样
vt. 反射；反映"
missile,"n. 导弹；投射物
adj. 导弹的；可投掷的；用以发射导弹的"
missing,"adj. 失踪的；缺少的
v. 错过（miss的ing形式）；想念；漏掉"
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
mister,
misunderstand,vt. 误解；误会
mixture,n. 混合；混合物；混合剂
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
modem,n. 调制解调器（等于modulator-demodulator）
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
modernize,"vt. 使…现代化
vi. 现代化"
modify,"vt. 修改，修饰；更改
vi. 修改"
moisture,n. 水分；湿度；潮湿；降雨量
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
molecule,n.  分子；微小颗粒，微粒
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
monthly,"adj. 每月的，每月一次的；有效期为一个月的
n. 月刊
adv. 每月，每月一次"
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
morality,n. 道德；品行，美德
moreover,adv. 而且；此外
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
mosquito,n. 蚊子
movie,"n. 电影；电影院；电影业
adj. 电影的"
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
mule,n. 骡；倔强之人，顽固的人；杂交种动物
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
municipal,adj. 市政的，市的；地方自治的
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长"
musician,n. 音乐家
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
naked,adj. 裸体的；无装饰的；无证据的；直率的
nap,"n. 小睡，打盹儿；细毛；孤注一掷
vt. 使拉毛
vi. 小睡；疏忽"
napkin,n. 餐巾；餐巾纸；尿布
narrate,"vt. 叙述；给…作旁白
vi. 叙述；讲述"
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
naturally,"adv. 自然地
自然而然地
轻而易举
天生地
大方地"
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
naval,adj. 海军的；军舰的
navigation,n. 航行；航海
navy,"n. 海军
深蓝色的"
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
Negro,
nephew,n. 侄子；外甥
nest,"n. 巢，窝；安乐窝；温床
vt. 筑巢；嵌套
vi. 筑巢；找鸟巢"
network,n. 网络；广播网；网状物
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
nickel,"n. 镍；镍币；五分镍币
vt. 镀镍于"
niece,n. 外甥女，侄女
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
nitrogen,n.  氮
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
norm,n. 标准，规范
north,
northeast,"adj. 东北的；向东北的；来自东北的
n. 东北
adv. 向东北；来自东北"
notebook,n. 笔记本，笔记簿；手册
noticeable,adj. 显而易见的，显著的；值得注意的
notion,n. 概念；见解；打算
noun,n. 名词
nourish,vt. 滋养；怀有；使健壮
novel,"adj. 新奇的；异常的
n. 小说"
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
nucleus,n. 核，核心；原子核
nude,"adj. 裸的，裸体的；无装饰的；与生俱有的
n. 裸体；裸体画"
nursery,n. 苗圃；托儿所；温床
nylon,n. 尼龙， 聚酰胺纤维；尼龙袜
oak,"n. 橡树；橡木色；橡木家具
adj. 栎树的；栎木制的"
obese,adj. 肥胖的，过胖的
odor,n. 气味；名声
odour,n. 气味；声誉
old-fashioned,adj. 老式的；过时的；守旧的
ongoing,"adj. 不间断的，进行的；前进的
n. 前进；行为，举止"
onion,n. 洋葱；洋葱头
online,"adj. 联机的；在线的
adv. 在线地"
opera,n. 歌剧；歌剧院；歌剧团
operational,adj. 操作的；运作的
operator,n. 经营者；操作员；话务员；行家
optical,adj. 光学的；眼睛的，视觉的
oral,"n. 口试
adj. 口头的，口述的"
orchestra,n. 管弦乐队；乐队演奏处
ore,n. 矿；矿石
origin,n. 起源；原点；出身；开端
ounce,n. 盎司；少量；雪豹
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
outcome,n. 结果，结局；成果
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
outer,"adj. 外面的，外部的；远离中心的
n. 环外命中"
outskirts,n. 市郊，郊区
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
oval,"adj. 椭圆的；卵形的
n. 椭圆形；卵形"
oven,n. 炉，灶；烤炉，烤箱
overcome,"vt. 克服；胜过
vi. 克服；得胜"
overdue,adj. 过期的；迟到的；未兑的
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
overhear,"vt. 无意中听到；偷听
vi. 无意中听到；偷听到"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
oversee,vt. 监督；审查；俯瞰；偷看到，无意中看到
oversight,n. 监督，照管；疏忽
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
owner,n.  所有者；物主
ownership,n. 所有权；物主身份
oxygen,n.  氧气， 氧
ozone,n.  臭氧；新鲜的空气
pad,"n. 衬垫；护具；便笺簿；填补
vi. 步行；放轻脚步走
vt. 填补；走"
paddy,n. 稻田（复数paddies）；爱尔兰人；Patrick（男子名）和Patricia（女子名）的昵称
painter,n. 画家；油漆匠
palm,"n. 手掌；棕榈树；掌状物
vt. 将…藏于掌中"
pants,n. 裤子
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
parcel,"n. 包裹，小包
vt. 打包；捆扎"
parliament,n. 议会，国会
particle,n. 颗粒； 质点；极小量；小品词
passport,n. 护照，通行证；手段
password,n. 密码；口令
paste,"n. 面团，膏；糊状物， 浆糊
vt. 张贴，裱糊；用浆糊粘"
pastime,n. 娱乐，消遣
pave,vt. 铺设；安排；作铺设之用
paw,"n. 爪子；手
vt. 抓，扒；亲昵地抚摸
vi. 用爪子抓；翻找"
payroll,n. 工资单；在册职工人数；工资名单
pea,n. 豌豆
peach,"n. 桃子；桃树；桃红色；受人喜欢的人（或物）
adj. 桃色的；用桃子制成的
vt. 告发
vi. 告密"
pearl,"n. 珍珠；珍珠色；杰出者；珍品
adj. 镶珍珠的；珍珠状的
vt. 使成珠状；用珍珠装饰；使呈珍珠色
vi. 采珍珠；成珍珠状"
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
pepper,"n. 胡椒；辣椒；胡椒粉
vt. 加胡椒粉于；使布满"
per,prep. 每；经；按照；每一
percentage,n. 百分比；百分率，百分数
perfection,n. 完善；完美
peril,"n. 危险；冒险
vt. 危及；置…于险境"
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
personally,adv. 亲自地；当面；个别地；就自己而言
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
persuasion,n. 说服；说服力；信念；派别
petrol,n. （英）汽油
petroleum,n. 石油
petty,adj. 琐碎的；小气的；小规模的
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
philosopher,n. 哲学家；哲人
philosophy,n. 哲学；哲理；人生观
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
physician,n.  医师；内科医师
physicist,n. 物理学家；唯物论者
pianist,n. 钢琴家；钢琴演奏者
pigeon,n. 鸽子
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
pillar,"n. 柱子，柱形物；栋梁；墩
vt. 用柱支持"
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
pine,"n.  松树；凤梨，菠萝
adj. 松木的；似松的
vt. 为…悲哀；哀悼
vi. 渴望，痛苦；憔悴"
pint,n. 品脱；一品脱的量；一品脱牛奶或啤酒
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
pistol,"n. 手枪；信号枪
vt. 用手枪射击"
pit,"n. 矿井；深坑；陷阱；（物体或人体表面上的）凹陷；（英国剧场的）正厅后排；正厅后排的观众
vt. 使竞争；窖藏；使凹下；去…之核；使留疤痕
vi. 凹陷；起凹点"
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
planet,n. 行星
plantation,"n. 栽植；殖民；大农场
adj. 适用于种植园或热带、亚热带国家的"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
platform,n. 平台；月台，站台；坛；讲台
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
plural,"n. 复数
adj. 复数的"
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
podcast,n. 播客
poetry,n. 诗；诗意，诗情；诗歌艺术
pop,abbr. 卖点广告（Point of Purchase）
pope,n. 教皇，罗马教皇；权威，大师
porter,n. 门房；服务员；行李搬运工；守门人
portrait,n. 肖像；描写；半身雕塑像
postage,n. 邮资，邮费
postman,n. 邮递员；邮差
powder,"n. 粉；粉末； 火药；尘土
vt. 使成粉末；撒粉；搽粉于
vi. 搽粉；变成粉末"
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
premier,"n. 总理，首相
adj. 第一的；最初的"
preposition,n. 介词；前置词
presence,n. 存在；出席；参加；风度；仪态
priest,"n. 牧师；神父；教士
vt. 使成为神职人员；任命…为祭司"
prince,n. 王子，国君；亲王；贵族
princess,n. 公主；王妃；女巨头
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
product,n. 产品；结果； 乘积；作品
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
productivity,n. 生产力；生产率；生产能力
proficient,"n. 精通；专家，能手
adj. 熟练的，精通的"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
pronoun,n. 代词
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
prosperity,n. 繁荣，成功
protective,adj. 防护的；关切保护的；保护贸易的
protein,"n. 蛋白质；朊
adj. 蛋白质的"
proverb,n. 谚语，格言；众所周知的人或事
province,n. 省；领域；职权
psychological,adj. 心理的；心理学的；精神上的
psychology,n. 心理学；心理状态
pub,n. 酒馆；客栈
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
punctual,adj. 准时的，守时的；精确的
punishment,n. 惩罚；严厉对待，虐待
purple,"n. 紫色；紫袍
adj. 紫色的；帝王的；华而不实的
vt. 使成紫色
vi. 变成紫色"
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
quota,n. 配额；定额；限额
rabbit,"n. 兔子，野兔
vt. 让…见鬼去吧
vi. 猎兔"
racial,adj. 种族的；人种的
radar,n.  雷达，无线电探测器
radiation,n. 辐射；发光；放射物
rag,"n. 破布；碎屑
vt. 戏弄；责骂
vi. 变破碎；穿着讲究"
rail,"n. 铁轨；扶手；横杆；围栏
vt. 铺铁轨；以横木围栏
vi. 抱怨；责骂"
railroad,"n. 铁路；铁路公司
vt. 由铁道运输；铺设铁路；以捏造不实之罪使入狱
vi. 在铁路工作；乘火车旅行；筑铁路"
railway,"n. （英）铁路；轨道；铁道部门
vi. 乘火车旅行"
rainy,adj. 下雨的；多雨的
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
rat,"n. 鼠；卑鄙小人，叛徒
vi. 捕鼠；背叛，告密"
reader,n. 读者；阅读器；读物
reading,"n. 阅读，朗读；读物；读数
v. 阅读（read的ing形式）
adj. 阅读的"
receiver,n. 接收器；接受者；收信机；收款员，接待者
receptionist,n. 接待员；传达员
recorder,n. 录音机；记录器；记录员；八孔直笛
recovery,n. 恢复，复原；痊愈；重获
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
refugee,n. 难民，避难者；流亡者，逃亡者
refusal,n. 拒绝；优先取舍权；推却；取舍权
region,n. 地区；范围；部位
related,"v. 叙述（relate过去式）
adj. 有关系的，有关联的；讲述的，叙述的"
relativity,n. 相对论；相关性；相对性
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
removal,n. 免职；移动；排除；搬迁
renovate,vt. 更新；修复；革新；刷新
repeatedly,adv. 反复地；再三地；屡次地
reporter,n. 记者
republican,"n. 共和党人
adj. 共和党的
共和的"
resent,vt. 怨恨；愤恨；厌恶
reservoir,n. 水库；蓄水池
reside,vi. 住，居住；属于
restless,adj. 焦躁不安的；不安宁的；得不到满足的
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
reunion,n. 重聚；（班级或学校的）同学会，同窗会
reunite,"vi. 重聚；再结合；再联合
vt. 使重聚；使再结合；使再联合"
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
rhythm,n. 节奏；韵律
rib,"n. 肋骨；排骨；肋状物
vt. 戏弄；装肋于"
ridge,"n. 山脊；山脉；屋脊
vt. 使成脊状；作垄
vi. 成脊状"
ridicule,"n. 嘲笑；笑柄；愚弄
vt. 嘲笑；嘲弄；愚弄"
ridiculous,adj. 可笑的；荒谬的
rifle,"n. 步枪；来复枪
vt. 用步枪射击；抢夺；偷走"
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
roast,"n. 烤肉；烘烤
adj. 烘烤的；烤过的
vt. 烤，焙；烘，烘烤；暴露于某种热力下以得温暖
vi. 烤；烘"
rob,"vt. 抢劫；使…丧失；非法剥夺
vi. 抢劫；掠夺"
robot,n. 机器人；遥控设备，自动机械；机械般工作的人
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
rod,n. 棒；惩罚；枝条；权力
roller,n.  滚筒； 滚轴；辊子；滚转机
rope,"n. 绳，绳索
vt. 捆，绑
vi. 拧成绳状"
route,"n. 路线；航线；通道
vt. 按某路线发送"
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
rug,n. 小地毯；毛皮地毯；男子假发
rumor,"n. 谣言；传闻
vt. 谣传；传说"
rumour,"n. 谣言
vt. 传闻"
runway,n. 跑道；河床；滑道
rural,adj. 农村的，乡下的；田园的，有乡村风味的
rust,"n. 锈；生锈； 锈病
vt. 使生锈；腐蚀
vi. 生锈；成铁锈色；变迟钝"
sack,"n. 麻布袋；洗劫
vt. 解雇；把……装入袋；劫掠"
saddle,"n. 鞍，鞍状物；车座；拖具
vt. 承受；使负担；装以马鞍
vi. 跨上马鞍"
sailor,n. 水手，海员；乘船者
saint,
salesman,n. 推销员；售货员
satellite,n. 卫星；人造卫星；随从；卫星国家
satisfied,"v. 使满意（satisfy的过去式）
adj. 感到满意的"
saucer,n. 茶托，浅碟；浅碟形物；眼睛
sausage,n. 香肠；腊肠；装香肠的碎肉
saw,"n. 锯子；谚语
v. see的过去式
vi. 锯；用锯；将某物锯成小块
vt. 看见；明白，了解；锯；锯成；锯开"
saying,"n. 话；谚语；言论
v. 说（say的ing形式）"
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
scissors,"n. 剪刀；剪式跳法
v. 剪开；删除（scissor的第三人称单数）"
scout,"n. 搜索，侦察；侦察员；侦察机
vt. 侦察；跟踪，监视；发现
vi. 侦察；巡视；嘲笑"
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
seashell,n. 海贝，贝壳；海贝壳
seaweed,n. 海藻，海草
seemingly,adv. 看来似乎；表面上看来
selfish,adj. 自私的；利己主义的
semester,n. 学期；半年
semiconductor,n.  半导体
seminar,n. 讨论会，研讨班
senate,n. 参议院，上院；（古罗马的）元老院
setback,n. 挫折；退步；逆流
shave,"vi. 剃须，剃毛
vt. 剃，削去；修剪；切成薄片；掠
n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀"
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
shit,"n. 屎；粪
vi. 拉屎
vt. 欺骗；在…拉屎
int. 狗屁；呸"
shopping,"n. 购物，买东西
v. 购物（shop的ing形式）"
shrimp,"n. 虾；小虾；矮小的人
adj. 有虾的；虾制的
vi. 捕虾"
sideways,"adj. 向侧面的；一旁的
adv. 向侧面地；向一旁"
siege,"n. 围攻；包围；围城；不断袭击；长期努力
vt. 围攻；包围"
sightseeing,"n. 观光；游览
v. 观光（sightsee的ing形式）；游览
adj. 观光的；游览的"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
signature,n. 署名；签名；信号
silicon,n.  硅；硅元素
simplicity,n. 朴素；简易；天真；愚蠢
simplify,vt. 简化；使单纯；使简易
singular,"n. 单数
adj. 单数的；单一的；非凡的；异常的"
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
situate,"adj. 位于…的
vt. 使位于；使处于"
skate,"n. 溜冰；冰鞋
vi. 滑冰；滑过"
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
skilled,adj. 熟练的；有技能的；需要技能的
skyline,"n. 地平线；空中轮廓线；架空索
vt. 天空映衬出…的轮廓"
sleeve,"n.  套筒， 套管；袖子， 袖套
vt. 给……装袖子；给……装套筒"
slender,adj. 细长的；苗条的；微薄的
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
slogan,n. 标语；呐喊声
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
so-called,adj. 所谓的；号称的
soccer,n. 英式足球，足球
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
sociology,n. 社会学；群体生态学
soda,n. 苏打；碳酸水
sofa,n. 沙发；长椅
software,n. 软件
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
