abnormal,adj. 反常的，不规则的；变态的
quantitative,adj. 定量的；量的，数量的
racial,adj. 种族的；人种的
segregation,n. 隔离，分离；种族隔离
discrimination,n. 歧视；区别，辨别；识别力
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
species,"n.  物种；种类
adj. 物种上的"
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
socket,"n. 插座；窝，穴；牙槽
vt. 给…配插座"
cricket,n. 板球，板球运动；蟋蟀
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
radiant,"n. 光点；发光的物体
adj. 辐射的；容光焕发的；光芒四射的"
radiation,n. 辐射；发光；放射物
radioactive,adj.  放射性的；有辐射的
ranch,"n. 大农场；大牧场
vi. 经营牧场；在牧场工作
vt. 经营牧场；在牧场饲养…"
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
meadow,n. 草地；牧场
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
extent,n. 程度；范围；长度
region,n. 地区；范围；部位
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
universe,n. 宇宙；世界；领域
domain,n. 领域；域名；产业；地产
parameter,n. 参数；系数；参量
spectrum,n. 光谱；频谱；范围；余象
territory,n. 领土，领域；范围；地域；版图
realization,n. 实现；领悟
realisation,n. 认识，领会; 实现
accomplish,vt. 完成；实现；达到
fulfil,vt. 履行；完成；实践；满足
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
achievement,n. 成就；完成；达到；成绩
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
recipe,n. 食谱； 处方；秘诀；烹饪法
spice,"n. 香料；情趣；调味品；少许
vt. 加香料于…；使…增添趣味"
garlic,n. 大蒜；蒜头
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
reciprocal,"n.  倒数；互相起作用的事物
adj. 互惠的；相互的；倒数的，彼此相反的"
bilateral,adj. 双边的；有两边的
monetary,adj. 货币的；财政的
fiscal,adj. 会计的，财政的；国库的
deficit,n. 赤字；不足额
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
treasury,n. 国库，金库；财政部；宝库
recede,"vi. 后退；减弱
vt. 撤回"
recession,n. 衰退；不景气；后退；凹处
concede,"vi. 让步
vt. 承认；退让；给予，容许"
concession,n. 让步；特许（权）；承认；退位
reckless,adj. 鲁莽的，不顾后果的；粗心大意的
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞"
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
rash,"n.  皮疹；突然大量出现的事物
adj. 轻率的；鲁莽的；不顾后果的"
naive,"adj. 天真的,幼稚的"
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
recognise,vt. 认出；承认，认可；识别
recognition,n. 识别；承认，认出；重视；赞誉；公认
cognitive,adj. 认知的，认识的
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
amendment,n. 修正案；改善；改正
rectify,vt. 改正；精馏；整流
rectification,n. 改正，矫正； 精馏； 整流； 求长
rectifiable,"a. 可矫正的, 可精馏的"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
disposal,n. 处理；支配；清理；安排
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
garbage,n. 垃圾；废物
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
reel,"n. 蹒跚；眩晕；旋转
vt. 卷；使旋转
vi. 卷；眩晕；蹒跚地走；退缩"
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
zigzag,"n. 之字形；Z字形
vt. 使成之字形；使曲折行进
vi. 曲折行进；作之字形行进
adj. 曲折的；锯齿形的；之字形的
adv. 曲折地；之字形地；Z字形地"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
constrain,vt. 驱使；强迫；束缚
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
rehabilitate,"vt. 使康复；使恢复名誉；使恢复原状
vi. 复兴；复权；恢复正常生活"
reshuffle,"n. 重新洗牌；改组
vt. 重新洗牌；改组；重作安排"
reminiscent,"n. 回忆录作者；回忆者
adj. 怀旧的，回忆往事的；耽于回想的"
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
renaissance,n. 文艺复兴（欧洲14至17世纪）
rehearse,"vt. 排练；预演
vi. 排练；演习"
repute,"n. 名誉；声望
vt. 名誉；认为；把…称为"
relic,n. 遗迹，遗物；废墟；纪念物
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
liberate,vt. 解放；放出；释放
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
credible,adj. 可靠的，可信的
doubtless,"adj. 无疑的；确定的
adv. 无疑地；确定地；大概，多半"
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
religion,n. 宗教；宗教信仰
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
sacred,adj. 神的；神圣的；宗教的；庄严的
secular,"n. 修道院外的教士，(对宗教家而言的) 俗人
adj. 世俗的；长期的；现世的；不朽的"
almighty,"n. 全能的神
adj. 全能的；有无限权力的
adv. 非常"
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
taboo,"n. 禁忌；禁止
adj. 禁忌的；忌讳的
vt. 禁忌；禁止"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
treatment,n. 治疗，疗法；处理；对待
acupuncture,"n. 针刺； 针刺疗法
vt. 对…施行针刺疗法"
psychiatry,n. 精神病学；精神病治疗法
medication,n. 药物；药物治疗；药物处理
pharmacy,n. 药房；配药学，药剂学；制药业；一批备用药品
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
wholesome,adj. 健全的；有益健康的；合乎卫生的；审慎的
heroin,n.  海洛因，吗啡
cocaine,n.  可卡因
replacement,n. 更换；复位；代替者；补充兵员
regiment,"n. 团；大量
vt. 把…编成团；严格地管制"
retirement,n. 退休，退役
reproach,"n. 责备；耻辱
vt. 责备；申斥"
deplore,vt. 谴责；悲悼；哀叹；对…深感遗憾
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
reptile,"n. 爬行动物；卑鄙的人
adj. 爬虫类的；卑鄙的"
parasite,n. 寄生虫；食客
pest,n. 害虫；有害之物；讨厌的人
mosquito,n. 蚊子
snail,"n. 蜗牛；迟钝的人
vt. 缓慢移动
vi. 缓慢移动"
spider,n. 蜘蛛；设圈套者；三脚架
beetle,"n. 甲虫；大槌
vt. 用槌打
vi. 急忙来回；突出"
turtle,n. 龟，甲鱼；海龟
require,vt. 需要；要求；命令
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
conquest,n. 征服，战胜；战利品
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
restrain,vt. 抑制，控制；约束；制止
restrict,vt. 限制；约束；限定
strict,adj. 严格的；绝对的；精确的；详细的
retarded,adj. 智力迟钝的；发展迟缓的
idiot,n. 笨蛋，傻瓜；白痴
coward,"n. 懦夫，懦弱的人
adj. 胆小的，懦怯的"
stammer,"n. 口吃；结巴
vt. 口吃；结巴着说出
vi. 口吃；结结巴巴地说"
retort,"n. 反驳，顶嘴；曲颈瓶
vi. 反驳，回嘴
vt. 反驳，反击"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
refute,vt. 反驳，驳斥；驳倒
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
entreat,"vt. 恳求；请求
vi. 恳求；乞求"
treaty,n. 条约，协议；谈判
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
avenge,"vt. 替…报仇
vi. 报复，报仇"
retaliate,"vi. 报复；回敬
vt. 报复"
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
ridiculous,adj. 可笑的；荒谬的
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
trifle,"n. 琐事；蛋糕；少量
vt. 浪费；虚度
vi. 开玩笑；闲混；嘲弄"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
nickname,"n. 绰号；昵称
vt. 给……取绰号；叫错名字"
flirt,"n. 急扔；调情的人；卖弄风骚的人
vt. 挥动；忽然弹出
vi. 调情；玩弄；轻率地对待；摆动"
rigor,n. 严厉；精确；苛刻；僵硬
rigour,n. 严格；严厉；苛刻；精确
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别"
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
robust,adj. 强健的；健康的；粗野的；粗鲁的
stout,"n. 矮胖子；烈性啤酒
adj. 结实的；矮胖的；勇敢的；激烈的"
muscular,adj. 肌肉的；肌肉发达的；强健的
hardy,"n. 强壮的人；耐寒植物；方柄凿
adj. 坚强的；勇敢的；能吃苦耐劳的；鲁莽的"
romance,"n. 传奇；浪漫史；风流韵事；冒险故事
vi. 虚构；渲染；写传奇"
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
romanticism,n. 浪漫主义；浪漫精神
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
convention,n. 大会； 惯例； 约定； 协定；习俗
ruthless,adj. 无情的，残忍的
relentless,adj. 无情的；残酷的；不间断的
restless,adj. 焦躁不安的；不安宁的；得不到满足的
salvation,n. 拯救；救助
salvage,"n. 打捞；海上救助；抢救财货；救难的奖金
vt. 抢救；海上救助"
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
haven,"n. 港口；避难所，安息所
vt. 为……提供避难处；安置……于港中"
asylum,n. 庇护；收容所，救济院
armor,"n.  装甲；盔甲
vt. 为…装甲"
armour,n. 盔甲；装甲；护面
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
sarcasm,n. 讽刺；挖苦；嘲笑
satire,n. 讽刺；讽刺文学，讽刺作品
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
savage,"n. 未开化的人；粗鲁的人；残暴成性的人
adj. 野蛮的；残酷的；狂怒的；荒凉的
vt. 乱咬；粗暴的对待"
brutal,adj. 残忍的；野蛮的，不讲理的
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
scrutinize,"n. 仔细或彻底检查
vt. 详细检查；细看
vi. 细阅；作详细检查"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
chore,n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
scout,"n. 搜索，侦察；侦察员；侦察机
vt. 侦察；跟踪，监视；发现
vi. 侦察；巡视；嘲笑"
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
siege,"n. 围攻；包围；围城；不断袭击；长期努力
vt. 围攻；包围"
salute,"n. 致敬，欢迎；敬礼
vt. 行礼致敬，欢迎
vi. 致意，打招呼；行礼"
align,"vt. 使结盟；使成一行；匹配
vi. 排列；排成一行"
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
shred,"n. 碎片；少量剩余；最少量；破布
vi. 撕碎
vt. 切成条状；用碎纸机撕毁"
debris,n. 碎片，残骸
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
auction,"n. 拍卖
vt. 拍卖；竞卖"
segregate,vt. 使隔离；使分离；在…实行种族隔离
insulate,vt. 隔离，使孤立；使绝缘，使隔热
alienate,vt. 使疏远，离间；让与
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
sensor,n. 传感器
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
sensitivity,n. 敏感；敏感性；过敏
sensation,n. 感觉；轰动；感动
sentiment,n. 感情，情绪；情操；观点；多愁善感
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
resent,vt. 怨恨；愤恨；厌恶
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
shadowy,adj. 朦胧的；有阴影的；虚无的；暗黑的
shady,adj. 成荫的；阴暗的；名声不好的
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
curtail,vt. 缩减；剪短；剥夺…特权等
abbreviation,n. 缩写；缩写词
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
crucial,adj. 重要的；决定性的；定局的；决断的
vital,adj. 至关重要的；生死攸关的；有活力的
silicon,n.  硅；硅元素
sulfur,"n. 硫磺；硫磺色
vt. 用硫磺处理"
sulphur,"n. 硫磺；硫磺色
vt. 使硫化；用硫磺处理"
sodium,n.  钠（11号元素，符号 Na）
mercury,n. 水星
nickel,"n. 镍；镍币；五分镍币
vt. 镀镍于"
nitrogen,n.  氮
oxygen,n.  氧气， 氧
oxide,n.  氧化物
dioxide,n. 二氧化物
petrochemical,"n. 石油化学产品
adj. 石化的"
alloy,"n. 合金
vt. 使成合金；使减低成色
vi. 易于铸成合金"
composite,"n. 复合材料；合成物；菊科
adj. 复合的；合成的；菊科的
vt. 使合成；使混合"
volatile,"n. 挥发物；有翅的动物
adj.  挥发性的；不稳定的；爆炸性的；反复无常的"
inertia,n.  惯性；惰性，迟钝；不活动
similar,"n. 类似物
adj. 相似的"
similarity,n. 类似；相似点
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
simplicity,n. 朴素；简易；天真；愚蠢
sincerity,n. 真实，诚挚
genuine,adj. 真实的，真正的；诚恳的
situate,"adj. 位于…的
vt. 使位于；使处于"
situated,"v. 使位于；使处于（situate的过去分词）
adj. 位于…的；处于…境遇的"
situational,adj. 环境形成的；情形的
skeptical,adj. 怀疑的；怀疑论的，不可知论的
sceptical,adj. 怀疑的；怀疑论的；习惯怀疑的
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
suspicious,adj. 可疑的；怀疑的；多疑的
cynical,adj. 愤世嫉俗的；冷嘲的
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
fell,"n.  一季所伐的木材；折缝；兽皮
v. 掉下；摔倒；下垂；变坏（fall的过去式）
adj. 凶猛的；毁灭性的
vt. 砍伐；打倒；击倒"
peg,"n. 钉；桩；借口；琴栓
vt. 限制；钉木钉
adj. 越往下端越细的
vi. 疾行；孜孜不倦地做某事"
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
slump,"vt. 使降低；使衰落；使倒下
n. 衰退；暴跌；消沉
vi. 下降，衰落；倒下；大幅度下降，暴跌"
stagnate,"vt. 使淤塞；使沉滞；使萧条
vi. 停滞；淤塞；变萧条"
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
snob,n. 势利小人，势利眼；假内行
snobbish,adj. 势利的
snobbery,n. 势利，谄上欺下；摆绅士架子；势利的行为或语言
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
solitude,n. 孤独；隐居；荒僻的地方
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
solve,"vt. 解决；解答；溶解
vi. 作解答"
solution,n. 解决方案；溶液；溶解；解答
soluble,adj.  可溶的，可溶解的；可解决的
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
resolute,adj. 坚决的；果断的
resolution,n.  分辨率；决议；解决；决心
soothe,"vt. 安慰；使平静；缓和
vi. 起抚慰作用"
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
reassure,vt. 使…安心，使消除疑虑
relief,n. 救济；减轻，解除；安慰；浮雕
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
complicated,adj. 难懂的，复杂的
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
specimen,n. 样品，样本；标本
specialty,"n. 专业，专长；特产；特性；招牌菜
adj. 特色的；专门的；独立的"
speciality,n. 专业，专长；特性
spectator,n. 观众；旁观者
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
inspection,n. 视察，检查
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
squad,"n. 班；小队；五人组（篮球队的非正式说法）
vt. 把…编成班；把…编入班"
hound,"n. 猎犬；卑劣的人
vt. 追猎；烦扰；激励"
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
stability,n. 稳定性；坚定，恒心
stabilize,"vt. 使稳固，使安定
vi. 稳定，安定"
stabilise,"vt. 使…坚固；使…安定；装稳定器（等于stablize）
vi. 稳定；安定"
stance,n. 立场；姿态；位置；准备击球姿势
standby,"n. 备用品；可信赖的人
adj. 备用的
adv. 备用地；待命地"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
stationery,n. 文具；信纸
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
stump,"vt. 砍伐；使为难；在…作巡回政治演说
n. 树桩；残余部分；假肢
vi. 笨重地行走；发表竞选演说"
ecological,adj. 生态的，生态学的
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
standardize,vt. 使标准化；用标准检验
standardise,vt. 使…符合标准；使…标准化；使…统一
standardization,n. 标准化； 规格化；校准
standardisation,n. 标准化
status,n. 地位；状态；情形；重要身份
statue,"n. 雕像，塑像
vt. 以雕像装饰"
statute,n.  法规；法令；条例
steak,n. 牛排；肉排；鱼排
tuna,n. 金枪鱼，鲔鱼
salmon,"n. 鲑鱼；大马哈鱼；鲑肉色；鲑鱼肉；橙红色，粉橙色
adj. 浅澄色的"
crab,"n. 螃蟹；蟹肉；脾气乖戾的人；起重机
vt. 抱怨；破坏；使偏航
vi. 捕蟹；发牢骚；抱怨"
oyster,n. 牡蛎， 蚝；沉默寡言的人
spaghetti,n. 意大利式细面条
pasta,n. 意大利面食；面团
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
porridge,"n. 粥，糊；麦片粥
vt. 服刑"
cauliflower,n. 花椰菜，菜花
pumpkin,n. 南瓜
edible,"n. 食品；食物
adj. 可食用的"
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
linen,"n. 亚麻布，亚麻线；亚麻制品
adj. 亚麻的；亚麻布制的"
textile,"n. 纺织品，织物
adj. 纺织的"
fabric,n. 织物；布；组织；构造；建筑物
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
strand,"n. 线；串；海滨
vt. 使搁浅；使陷于困境；弄断；使落后
vi. 搁浅"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
strait,"n. 海峡；困境
adj. 狭窄的；苦恼的"
strategy,n. 战略，策略
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
device,n. 装置；策略；图案
stray,"n. 走失的家畜；流浪者
adj. 迷路的；离群的；偶遇的
vi. 流浪；迷路；偏离"
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的"
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
astray,"adj. 迷路的；离开正道的；不对头的
adv. 误入歧途地；迷途地；迷路"
streamline,"n. 流线；流线型
vt. 把…做成流线型；使现代化；组织；使合理化；使简单化
adj. 流线型的"
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
pendulum,n. 钟摆；摇锤；摇摆不定的事态
string,n. 线，弦，细绳；一串，一行
cord,"n. 绳索；束缚
vt. 用绳子捆绑"
lace,"n. 花边；鞋带；饰带；少量烈酒
vt. 饰以花边；结带子
vi. 系带子"
strive,vi. 努力；奋斗；抗争
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
endeavour,"n. 尽力，竭力
vi. 竭力；企图
vt. 竭力做到，试图或力图（做某事）"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
inject,vt. 注入；注射
subsequent,adj. 后来的，随后的
subsequence,n. 后继；随后发生的事情
subsequently,adv. 随后，其后；后来
subsidize,vt. 资助；给与奖助金；向…行贿
