foods,n.  食品
global,adj. 全球的；总体的；球形的
global market, 全球市场；环球市场；国际市场
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
expansion,n. 膨胀；阐述；扩张物
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
international express,
international studies, 国际研究；国际关系；国际问题研究
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
traders,n. 交易员；贸易商（trader的复数形式）
trade journals,
distribution,n. 分布；分配
distribute,vt. 分配；散布；分开；把…分类
silk,"n. 丝绸；蚕丝；丝织物
adj. 丝的；丝绸的；丝制的
vi. （玉米）处于长须的阶段中"
textile,"n. 纺织品，织物
adj. 纺织的"
developing countries,"un. 发展中国家
 开发中国家；发展中的国家；发展中地区"
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）； 显影
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
history,n. 历史，历史学；历史记录；来历
historical maps,
historical photograph,
classical history,
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
museum,n. 博物馆
local museum,
museum centre,
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
segments,"n. 片段；段数（segment的复数）；积弓形片模型
v. 把…分割成段；细胞分裂（segment的三单形式）"
confirm,vt. 确认；确定；证实；批准；使巩固
demonstrations,n. 示范，展示（demonstration复数）
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
identification,n. 鉴定，识别；认同；身份证明
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
collection,n. 采集，聚集； 征收；收藏品；募捐
collecting,"聚集
收集（collect的现在分词）"
collectors,n. 收集者，收取者( collector的名词复数 )
monuments,n. 遗迹；纪念物；不朽的功业；有永久价值的作品（monument的复数形式）
myth,n. 神话；虚构的人，虚构的事
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
unanswered,adj. 未答复的；无反应的
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
wall,"n. 墙壁，围墙；似墙之物
adj. 墙壁的
vt. 用墙围住，围以墙"
temple walls,
preserved,adj. 保藏的；腌制的；喝醉的
preservation,n. 保存，保留
items,"n. 项目；名目；所有物品（item的复数形式）
v. 记下（item的第三人称单数形式）；逐条记载"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
man-made,adj. 人造的；人工的；合成的
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
wooden sculpture,
jewelry,n. 珠宝；珠宝类
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
arrows,n. 箭头
spears,
peg,"n. 钉；桩；借口；琴栓
vt. 限制；钉木钉
adj. 越往下端越细的
vi. 疾行；孜孜不倦地做某事"
buried,"v. 埋葬（bury的过去式和过去分词）
adj. 埋葬的；埋藏的"
depth,n.  深度；深奥
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
emperor,n. 皇帝，君主
king,"n. 国王；最有势力者；王棋
vi. 统治；做国王
vt. 立…为王
adj. 主要的，最重要的，最大的"
queen,"n. 女王，王后；（纸牌中的）皇后；（蜜蜂等的）蜂王
vt. 使…成为女王或王后
vi. 做女王"
slaves,"n. 奴隶, 服伺的人; 侍女; 上瘾; 服务于另一连接计算机的系统 (计算机用语)"
tribes,n. 部落（tribe复数形式）
local tribes,
colony,n. 殖民地；移民队；种群；动物栖息地
pirates,"n. 海盗，盗印者（pirate复数）
v. 盗印，掠夺，翻印（pirate的单三形式）"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
religions,n. 宗教，宗教信仰（religion的复数）
philosophy,n. 哲学；哲理；人生观
philosophers,n. 哲学家（philosopher的复数）
publishing,"n. 出版；出版业
v. 出版；发行（publish的现在分词形式）；发表
adj. 出版的；出版业的"
publication,n. 出版；出版物；发表
magazines,n. 杂志（magazine的复数）
journalism,n. 新闻业，新闻工作；报章杂志
photo journalism, 新闻摄影；新闻照片；报道摄影
journalists,n. 新闻记者（journalist的复数）
reporter,n. 记者
newspapers,"n. 报纸，报章（newspaper的复数）
v. 从事报纸工作（newspaper的三单形式）"
national newspaper, 全国性报纸；国家级报纸；全国性报刊
radio,"n. 收音机；无线电广播设备
vt. 用无线电发送
vi. 用无线电进行通信"
radio program,"un. 广播节目
 电台节目；广播内容；无线电节目"
radio signals,无线电讯号
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
media plan, 媒介计划；媒体计划；媒体计画
media studies,"n. 大众传播学；大众传媒学
 媒体研究；传媒研究；传播学媒体研究"
multimedia resources,
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
video recording,"na. 录像
 视频录制；录影；录象"
video cameras,"un. 图像摄影机；录像摄影机；电视录像机；电视摄象机
 摄像机；摄录机；数位摄影机"
videotape editor,
video subtitles,
subtitles,"n.  副标题（subtitle的复数）；说明或对白的字幕
v. 给…加副标题；给电影等加字幕（subtitle的三单形式）"
television program,"n. 电视节目
 电视广播节目；帕博洛突然在一档电视节目；七一"
television drama,"n. 电视剧
 电视剧或电视电影；电视广播剧；电视戏剧"
math,n. 数学（等于mathematics）
mathematics,n. 数学；数学运算
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限"
calculator,n. 计算器；计算者
calculation,n. 计算；估计；计算的结果；深思熟虑
tape measurer,
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
centimeter,n.  厘米； 公分
kilometres,n. 千米，公里( kilometre的名词复数 )
measurement,n. 测量； 度量；尺寸；量度制
size,"n. 大小；尺寸
adj. 一定尺寸的
vt. 依大小排列
vi. 可比拟"
length,n. 长度，长；时间的长短；（语）音长
accuracy,n.  精确度，准确性
accurate,adj. 精确的
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
freedom,n. 自由，自主；直率
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
different,adj. 不同的；个别的，与众不同的
unsure,adj. 不确定的；不肯定的；没有自信的
statistics,n. 统计；统计学； 统计资料
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
small scale,"adj. 小比例尺的(地图)；小规模的
 小型；小试；小型舞台灯光音响及技术"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
matching,"adj. 相配的；一致的；相称的
n. 匹配
v. 使…相配（match的ing形式）"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
similar,"n. 类似物
adj. 相似的"
comparison,n. 比较；对照；比喻；比较关系
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
small,"n. 小件物品；矮小的人
adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的
adv. 小小地；卑鄙地"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
entire,adj. 全部的，整个的；全体的
total,"n. 总数，合计
adj. 全部的；完全的；整个的
vt. 总数达
vi. 合计"
whole,"n. 整体；全部
adj. 完整的；纯粹的"
half,"n. 一半；半场；半学年
adj. 一半的；不完全的；半途的
adv. 一半地；部分地"
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
twice,adv. 两次；两倍
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
two,"num. 二
n. 两个
adj. 两个的"
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
side,"n. 方面；侧面；旁边
adj. 旁的，侧的
vt. 同意，支持
vi. 支持；赞助；偏袒"
height,n. 高地；高度；身高；顶点
top,"n. 顶部，顶端；上部；首席；陀螺
adj. 最高的，顶上的；头等的
vt. 超越，超过；给…加盖；达到…的顶端
vi. 高出，超越；结束；达到顶点"
top level,"adj. 尖端的；最高级(人士,官员)的
 顶层；顶级；顶级包"
middle,"adj. 中间的，中部的；中级的，中等的
n. 中间，中央；腰部"
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
circles,"n. 园；循环（circle的复数）；圆圈
v. 盘旋；环绕（circle的第三人称单数）；包围"
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
triangle-shaped, 三角形
computers,n.  计算机， 电脑（computer的复数）
computer centre,计算机中心
computer programmer,"un. 计算机程序员；计算机程序设计员；计算机程设计员
 电脑程序员；电脑程序设计人；电脑程序设计师"
computer office,
computer science,"n. 计算机科学
 电脑科学；计算机科学专业研究生排名；计算机科学专业排名"
computer aid, 计算机辅助测试工具；计算机辅助程序
hardware,n. 计算机硬件；五金器具
keyboard,"n. 键盘
vt. 键入；用键盘式排字机排字
vi. 用键盘进行操作；作键盘式排字机排字"
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
headphones,n.  耳机；听筒； 头戴式受话器（headphone的复数形式）
software,n. 软件
Internet,
Internet cafe, 网吧；网咖；一家网吧
Internet line,
Internet connection,
network,n. 网络；广播网；网状物
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
website,n. 网站（全球资讯网的主机站）
online,"adj. 联机的；在线的
adv. 在线地"
online service,"n. 在线服务
 联机服务；线上服务；在线客服"
online shopping, 网上购物；网购；线上购物
online game, 线上游戏；网络游戏；在线游戏
data,n. 数据（datum的复数）；资料
data analysis,"n. 数据分析；资料分析
 进入数据分析画面；分析数据；统计分析"
digital system,"un. 数字系统
 数位系统；数字输出接口；数字化系统"
digital store, 数字存储器; 数字存储; 数 字 存 储 器
technical,adj. 工艺的，科技的；技术上的；专门的
technician,n. 技师，技术员；技巧纯熟的人
technology,n. 技术；工艺；术语
information,n. 信息，资料；知识；情报；通知
information sector,资讯部门
communication,n. 通讯， 通信；交流；信函
communication system,"un. 通信系统；交流系统；传播系统
 通讯系统；城市通信系统；沟通系统"
emails,"n. 电子信函
vt. 给…发电子邮件"
email address,"电子邮件地址,(用以传送电子邮件的指定地址)"
mail,"n. 邮件；邮政，邮递；盔甲
vt. 邮寄；给…穿盔甲
vi. 邮寄；寄出"
mailing list,"n. 邮寄名单；邮寄名址录；（计算机中存储的）电邮发送清单
 邮件列表；邮寄清单；邮件清单"
fax,
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
postcard,n. 明信片
post office,"n. 邮局；邮政部门；邮政系统；邮差敲门游戏（儿童用假托的信件换取亲吻）
 邮政局；邮电局；邮政署"
post survey,"un. 事后调查
 邮寄调查"
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母"
phone,"n. 电话；耳机，听筒
vt. 打电话
vi. 打电话"
mobile phone,"n. 手机；移动电话
 手机号码；行动电话；手提电话"
phone book,"na. 电话簿
 电话本；通迅录；电话薄"
phone number, 电话号码；联络电话；联系电话
phone statistics,
phone card, 电话卡；手机卡；磁卡
telephone,"n. （美）电话；电话机；电话耳机
vt. 打电话给…
vi. 打电话"
telephone survey, 电话调查；电话访问；电话访问调查
calls,"n. 电话（call的复数）；呼吁；调用
v. 呼叫（call的三单）"
call diversion,"un. 呼叫转移
 呼叫分离；呼叫转移功能；指定转接"
incoming call,"n. 打进来的电话
 来电；呼入；来话呼叫"
establish,"vi. 植物定植
vt. 建立；创办；安置"
establishment,n. 确立，制定；公司；设施
well-established,"adj. 得到确认的；固定下来的
v. 已确立起来；固定下来（well-establish的过去分词）"
embed,vt. 栽种；使嵌入，使插入；使深留脑中
coin,"n. 硬币，钱币
vt. 铸造（货币）；杜撰，创造"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
infancy,n. 初期；婴儿期；幼年
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
pioneering,adj. 首创的；先驱的
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
constitute,vt. 组成，构成；建立；任命
emerge,vi. 浮现；摆脱；暴露
emergent,adj. 紧急的；浮现的；意外的；自然发生的
emergence,n. 出现，浮现；发生；露头
innovation,n. 创新，革新；新方法
innovative,adj. 革新的，创新的；新颖的；有创新精神的
innate,adj. 先天的；固有的；与生俱来的
inherently,adv. 内在地；固有地；天性地
inherent,adj. 固有的；内在的；与生俱来的，遗传的
spontaneous,adj. 自发的；自然的；无意识的
spontaneously,adv. 自发地；自然地；不由自主地
instinctive,adj. 本能的；直觉的；天生的
instinct,"n. 本能，直觉；天性
adj. 充满着的"
intention,n. 意图；目的；意向；愈合
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
intentionally,adv. 故意地，有意地
unintentionally,adv. 无意地；非故意地；非存心地
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
aspect,n. 方面；方向；形势；外貌
perspective,"n. 观点；远景；透视图
adj. 透视的"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
appendage,n. 附加物；下属； 附器（如植物的枝叶和动物的腿尾）
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
segment,"n. 段；部分
vt. 分割
vi. 分割"
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
fragmentary,adj. 碎片的；不完全的；断断续续的
hemisphere,n. 半球
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
proportional,"n.  比例项
adj. 比例的，成比例的；相称的，均衡的"
proportionally,adv. 成比例地；相称地，适当地
comprise,vt. 包含；由…组成
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
correlation,n.  相关，关联；相互关系
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
coordination,n. 协调，调和；对等，同等
uncoordinated,adj. 不协调的；不对等的；不同位的
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
participation,n. 参与；分享；参股
intervention,n. 介入；调停；妨碍
intervene,vi. 干涉；调停；插入
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
photosynthetic,adj.  光合的；光合作用的
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
assembly,n. 装配；集会，集合
self-assemble,vi. 自组装
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
compile,vt. 编译；编制；编辑； 汇编
compilation,n. 编译；编辑；汇编
cite,vt. 引用；传讯；想起；表彰
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
simultaneously,adv. 同时地
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
existence,n. 存在，实在；生存，生活；存在物，实在物
persistent,adj. 固执的，坚持的；持久稳固的
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
persistence,n. 持续；固执；存留；坚持不懈；毅力
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
permanence,n. 持久；永久
permanently,adv. 永久地，长期不变地
prolong,vt. 延长；拖延
durable,"n. 耐用品
adj. 耐用的，持久的"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
constantly,adv. 不断地；时常地
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
unsustainable,adj. 无法支撑的；不可证实的；不能成立的
undergo,vt. 经历，经受；忍受
tolerate,vt. 忍受；默许；宽恕
tolerance,n. 公差；宽容；容忍；公差
chronic,adj. 慢性的；长期的；习惯性的
chronicle,"n. 编年史，年代记；记录
vt. 记录；把…载入编年史"
chronicler,n. 记录者；年代史编者
periodic,adj. 周期的；定期的
periodically,adv. 定期地；周期性地；偶尔；间歇
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
essentially,adv. 本质上；本来
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
fundamentally,adv. 根本地，从根本上；基础地
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
substantially,adv. 实质上；大体上；充分地
substantive,"n. 名词性实词；独立存在的实体
adj. 有实质的；大量的；真实的；独立存在的"
insubstantial,adj. 脆弱的；无实体的；幻想的，非真实的
unsubstantiated,adj. 未经证实的，无事实根据的
emphasis,n. 重点；强调；加强语气
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
primarily,adv. 首先；主要地，根本上
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
dominance,n. 优势；统治；支配
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
predominance,n. 优势；卓越
predominantly,adv. 主要地；显著地
vital,adj. 至关重要的；生死攸关的；有活力的
crucial,adj. 重要的；决定性的；定局的；决断的
crucially,adv. 关键地；至关重要地
spectacular,adj. 壮观的，惊人的；公开展示的
spectacularly,adv. 壮观地；引人注目地
astonishing,"adj. 惊人的；令人惊讶的
v. 使…惊讶；使…诧异（astonish的ing形式）"
astonishingly,adv. 令人惊讶地
eminent,adj. 杰出的；有名的；明显的
considerable,adj. 相当大的；重要的，值得考虑的
considerably,adv. 相当地；非常地
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
sufficient,adj. 足够的；充分的
insufficient,"adj. 不足的，不充足的；不胜任的；缺乏能力的
n. 不足；缺乏"
insufficiently,adv. 不够地；不能胜任地
self-sufficient,adj. 自给自足的；极为自负的；过于自信的
abundant,adj. 丰富的；充裕的；盛产
abundance,n. 充裕，丰富
overabundance,n. 过多；过于丰富
tremendous,adj. 极大的，巨大的；惊人的；极好的
immense,adj. 巨大的，广大的；无边无际的；非常好的
immensely,adv. 极大地；无限地；广大地；庞大地
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
myriad,"adj. 无数的；种种的
n. 无数，极大数量；无数的人或物"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
rivalry,n. 竞争；对抗；竞赛
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
aggressively,adv. 侵略地；攻击地；有闯劲地
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
paradoxically,adv. 自相矛盾地；似非而是地；反常地
controversy,n. 争论；论战；辩论
controversial,adj. 有争议的；有争论的
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
contradiction,n. 矛盾；否认；反驳
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
reversion,n. 逆转；回复；归还； 隔代遗传； 继承权
reversal,n. 逆转； 反转； 撤销
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
wobble,"n. 摆动；摇晃；不稳定
vt. 使摇摆；使颤动；摇动
vi. 摇晃；摇摆；游移不定"
fragile,adj. 脆的；易碎的
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
seldom,adv. 很少，不常
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
abandonment,n. 抛弃；放纵
eliminate,vt. 消除；排除
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
exclusively,adv. 唯一地；专有地；排外地
insulate,vt. 隔离，使孤立；使绝缘，使隔热
insulation,n. 绝缘；隔离，孤立
insulator,n.  绝缘体；从事绝缘工作的工人
interval,n. 间隔；间距；幕间休息
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
ignorance,n. 无知，愚昧；不知，不懂
investigate,v. 调查；研究
investigator,n. 研究者；调查者；侦查员
investigation,n. 调查；调查研究
inspection,n. 视察，检查
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
inspector,n. 检查员；巡视员
detect,vt. 察觉；发现；探测
detection,n. 侦查，探测；发觉，发现；察觉
detector,n. 探测器；检测器；发现者；侦察器
detectable,adj. 可检测的；可发觉的
detective,"n. 侦探
adj. 侦探的"
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
perceiver,感知者
perception,n. 知觉； 感觉；看法；洞察力；获取
conscious,adj. 意识到的；故意的；神志清醒的
consciously,adv. 自觉地；有意识地
unconsciously,adv. 不知不觉；无意识地
subconscious,"n. 潜在意识；下意识心理活动
adj. 潜意识的；下意识的"
self-conscious,"adj. 难为情的
adj. 自觉的"
consciousness,n. 意识；知觉；觉悟；感觉
ascertain,vt. 确定；查明；探知
insight,n. 洞察力；洞悉
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
comprehend,vt. 理解；包含；由…组成
comprehension,n. 理解；包含
comprehensible,adj. 可理解的
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
under-appreciated, 小看
appreciation,n. 欣赏，鉴别；增值；感谢
demonstrate,"vt. 证明；展示；论证
vi. 示威"
demonstration,n. 示范；证明；示威游行
apparent,adj. 显然的；表面上的
apparently,adv. 显然地；似乎，表面上
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
explicit,adj. 明确的；清楚的；直率的；详述的
distinct,adj. 明显的；独特的；清楚的；有区别的
distinctive,adj. 有特色的，与众不同的
distinction,n. 区别；差别；特性；荣誉、勋章
definite,adj. 一定的；确切的
definition,n. 定义； 清晰度；解说
redefinition,n. 重新定义
definitely,adv. 清楚地，当然；明确地，肯定地
definitive,"n. 限定词
adj. 决定性的；最后的；限定的"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
illustration,n. 说明；插图；例证；图解
depict,vt. 描述；描画
depiction,n. 描写，叙述
interpret,"vi. 解释；翻译
vt. 说明；口译"
interpretation,n. 解释；翻译；演出
interpretive,adj. 解释的；作为说明的
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
implicate,vt. 使卷入；涉及；暗指；影响
convince,vt. 说服；使确信，使信服
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
persuader,n. 说服者；强制的工具
persuasion,n. 说服；说服力；信念；派别
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
trait,n. 特性，特点；品质；少许
diverse,adj. 不同的；多种多样的；变化多的
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
attribute,"n. 属性；特质
vt. 归属；把…归于"
attributable,adj. 可归于…的；可归属的
attribution,n. 归因；属性；归属
unprecedented,adj. 空前的；无前例的
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
exotic,adj. 异国的；外来的；异国情调的
exotically,"外来地
奇异地
异乎寻常地
极不稳定地"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
patently,adv. 明显地；公然地；明白地
drastically,adv. 彻底地；激烈地
exceedingly,adv. 非常；极其；极度地；极端
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
intensively,adv. 强烈地；集中地
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
rigidly,adv. 严格地；坚硬地；严厉地；牢牢地
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
underestimate,"n. 低估
vt. 低估；看轻"
assess,vt. 评定；估价；对…征税
reassess,vt. 再评价；再课税；再摊派
assessment,n. 评定；估价
reassessment,n. 重新评估； 重新估价；重新考虑
self-assessment,n. 自我评估
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
reevaluate,v. 再评估，再评价
evaluation,n. 评价； 评估；估价；求值
hypothesis,n. 假设
hypothesize,"vt. 假设，假定
vi. 假设，假定"
