approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
crib,"n. 婴儿床；栅栏；食槽
vi. 剽窃
vt. 拘禁，关入栅栏；抄袭"
exponent,"n.  指数；典型；说明者，说明物
n. 倡导者，鼓吹者，代表者，拥护者
adj. 说明的"
genotype,n. 基因型；遗传型
stash,"n. 藏匿处；藏匿物
vt. 存放；贮藏
vi. 存放；藏起来"
aperture,n. 孔，穴；（照相机，望远镜等的）光圈，孔径；缝隙
dagger,"n. 匕首，短剑
vt. 用剑刺"
sizzle,"n. 嘶嘶声
vt. 把…烧得发嘶嘶声
vi. 发嘶嘶声"
condo,n. 分户出售公寓大厦（等于condominium）
piety,n. 虔诚；孝敬；虔诚的行为或语言
cadre,n. 干部；基础结构；骨骼
brawl,"n. 争吵；打架
vt. 大声喊出；为…争吵
vi. 争吵；打架；大喊大叫"
metaphorical,adj. 比喻性的，隐喻性的
squint,"n. 斜视；斜孔小窗；一瞥
adj. 斜视的；斜的
vt. 使斜眼；眯眼看
vi. 眯眼看；斜视；窥视；偏移"
evict,vt. 驱逐；逐出
dislodge,"vt. 逐出，驱逐；使……移动；用力移动
vi. 驱逐，逐出；离开原位"
parable,n. 寓言，比喻；隐晦或谜般的格言
smug,"n. 书呆子；自命不凡的家伙
adj. 自鸣得意的；自以为是的；整洁的"
sumptuous,adj. 华丽的，豪华的；奢侈的
rudder,n. 船舵；飞机方向舵
buoyant,adj. 轻快的；有浮力的；上涨的
ford,"n. 浅滩；Ford：福特汽车公司
vt. 涉过；徒涉
vi. 涉水而过"
extrapolate,"vt. 外推；推断
vi. 外推；进行推断"
quip,"n. 妙语；嘲弄；讽刺语
vi. 嘲弄；讥讽
vt. 嘲弄"
obnoxious,adj. 讨厌的；可憎的；不愉快的
quartz,n. 石英
magnesium,n.  镁
camcorder,n. 摄录像机；便携式摄像机
repertory,n. 储备；仓库；全部剧目
mesmerize,vt. 施催眠术；迷住；以魅力迫使
broth,n. 肉汤；液体培养基
buttress,"n. 扶壁；拱壁；支撑物
vt. 支持；以扶壁支撑"
birch,"n. 桦木；桦树；桦条
vt. 用桦条鞭打"
baroque,"n. 巴洛克风格；巴洛克艺术
adj. 巴洛克式的；结构复杂的，形式怪样的"
beige,"n. 米黄色
adj. 浅褐色的；米黄色的；枯燥乏味的"
privy,"n. 有利害关系的人；厕所
adj. 私人的；不公开的；秘密参与的"
bagel,n. 百吉饼（先蒸后烤的发面圈）；（体育比赛中）零蛋
languish,vi. 憔悴；凋萎；失去活力；苦思
reprieve,"n. 暂缓；缓刑
vt. 缓期执行；暂时解救"
inundate,vt. 淹没；泛滥；浸水；（洪水般的）扑来
squirt,"n. 喷射；注射
vt. 喷湿
vi. 喷出"
visceral,adj. 内脏的；出于本能的；发自肺腑的；粗俗的
thorny,adj. 多刺的；痛苦的；令人苦恼的
budge,"n. 羔羊皮
vt. 使让步；移动；使改变态度或意见
vi. 挪动；微微移动；改变态度或意见；服从"
balk,"n. 障碍；错误
vi. 犹豫；突然止步不前
vt. 阻止；推诿；错过"
spurious,adj. 假的；伪造的；欺骗的
plod,"vt. 沉重缓慢地走
vi. 辛勤工作；沉重地走
n. 辛勤工作；沉重的步伐"
lug,"n. 支托；接线片；耳状物
vt. 用力拉或拖
vi. 用力拉或拖"
lore,n. 知识；学问；全部传说；（动物的）眼光知识
treadmill,n. 踏车，跑步机；单调的工作
primordial,adj. 原始的；根本的；原生的
limelight,"n. 石灰光，石灰光灯；众人注目的中心
vt. 使显露头角，使受到注目"
concoct,vt. 捏造；混合而制；调合；图谋
swagger,"n. 大摇大摆；吹牛；威吓；下摆散开状的女式短大衣
vi. 大摇大摆；吹牛；虚张声势吓人
vt. 吓唬；趾高气扬地行走或行事
adj. 炫耀的；时髦的"
smirk,"n. 傻笑；假笑；得意的笑
vt. 以假笑表示；以傻笑表示
vi. 傻笑；假笑"
nascent,adj. 初期的；开始存在的，发生中的
pander,"n. 怂恿者；拉皮条者；老鸨
vi. 迎合；勾引；怂恿；拉皮条
vt. 为…拉皮条"
wilt,"n. 枯萎；憔悴；衰弱
vi. 枯萎；畏缩；衰弱
vt. 使枯萎；使畏缩；使衰弱"
morbid,adj. 病态的；由病引起的；恐怖的；病变部位的
pantry,n. 餐具室；食品室；食品储藏室
trance,"n. 恍惚；出神；着迷，入迷
vt. 使恍惚；使发呆"
chasm,n. 峡谷；裂口；分歧；深坑
flaunt,"n. 炫耀；飘扬；招展
vt. 炫耀；飘扬
vi. 飘扬；夸耀"
weaver,n. 织工；织布者
infidelity,n. 无信仰，不信神；背信
crystalline,adj. 透明的；水晶般的；水晶制的
insidious,adj. 阴险的；隐伏的；暗中为害的；狡猾的
omen,"n. 预兆；征兆
vt. 预示；有…的前兆；预告"
jeer,"n. 嘲笑；戏弄；揶揄的言语
vi. 嘲笑；戏弄
vt. 嘲笑；戏弄"
bazaar,n. 集市；市场；义卖市场
preposterous,adj. 荒谬的；可笑的
scourge,"n. 鞭；灾祸；鞭子；苦难的根源
vt. 鞭打；蹂躏；严斥；痛斥"
cation,n.  阳离子； 正离子
clove,"n.  丁香
v. 劈开（cleave的过去式）"
encase,vt. 包住；围绕；包装
blare,"n. 嘟嘟声；号声；巨响
vt. 嘟嘟地发出；高声发出
vi. 发嘟嘟声；发出响而刺耳的声音"
philanthropic,adj. 博爱的；仁慈的
eavesdrop,"n. 屋檐上流下来的水
vi. 偷听，窃听"
apocalyptic,adj. 启示录的；天启的
divulge,vt. 泄露；暴露
deluge,"n. 洪水；泛滥；暴雨
vt. 使泛滥；压倒"
laurel,"n. 桂冠，殊荣；月桂树
vt. 授予荣誉，使戴桂冠"
fender,n. （汽车等的）挡泥板；防卫物；（暖炉的）炉围；（船只的）碰垫
counterpoint,n. 复调；对位法；旋律配合；对应物
quibble,"n. 谬论；双关语；遁辞
vi. 诡辩；挑剔；说模棱两可的话
vt. 对…诡辩"
publicist,n. 国际法学家；宣传人员；公法学家
falcon,n.  猎鹰； 隼
proverbial,adj. 谚语的；众所周知的；谚语式的
quash,vt. 撤销；镇压；宣布无效；捣碎
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
decimate,vt. 十中抽一，取十分之一；大批杀害
muffin,n. （涂牛油趁热吃的）英格兰松饼，（常含小块水果等）杯状小松糕；玛芬
sonata,n. 奏鸣曲
windshield,n. 挡风玻璃
lurid,adj. 可怕的，耸人听闻的；火烧似的；苍白的；血红的；华丽而庸俗的
giddy,"adj. 头晕的；眼花的；令人眼花缭乱的；轻浮的
vt. 使晕眩；使眼花缭乱
vi. 眼花；眩晕"
brash,"n. 骤雨；碎片；胃灼热
adj. 无礼的，傲慢的；仓促的，性急的"
exhort,"vt. 忠告；劝诫
vi. 劝告"
gnaw,"vt. 咬；折磨；侵蚀
vi. 咬；折磨；侵蚀"
cylindrical,adj. 圆柱形的；圆柱体的
blurt,vt. 未加思索地冲口说出；突然说出
munch,"vt. 用力咀嚼；大声咀嚼
vi. 用力咀嚼；大声咀嚼
n. 用力的咀嚼"
implore,"vt. 恳求或乞求
vi. 恳求或乞求"
twirl,"n. 转动，旋转；旋转的东西；万能钥匙
vt. 使快速转动，使快速旋转；捻弄
vi. 旋转，转动"
nimble,adj. 敏捷的；聪明的；敏感的
coyote,n. 一种产于北美大草原的小狼；引外国人从墨西哥偷渡进入美国的不法分子
masquerade,"vi. 化装；伪装
n. 伪装；化妆舞会
vt. 化装；乔装"
flint,n. 燧石；打火石；极硬的东西
phosphorus,n. 磷
clover,n.  三叶草；苜蓿；红花草
pacifist,"n. 和平主义者
adj. 非战主义的"
copious,adj. 丰富的；很多的；多产的
sundry,"n. 杂货；杂项
adj. 杂的；各式各样的"
precocious,adj. 早熟的；过早发育的
rowdy,"n. 粗暴的人；好吵闹的人
adj. 吵闹的；粗暴的"
noxious,adj. 有害的；有毒的；败坏道德的；讨厌的
interlude,"n. 插曲；穿插；幕间节目； 插算
vt. 使中断
vi. 插入"
spurn,"n. 藐视，摒弃；踢开
vi. 摒弃；藐视
vt. 唾弃；冷落；一脚踢开"
conifer,n. 针叶树； 松柏科植物
cocoon,"n. 茧；卵囊
vt. 把……紧紧包住"
placate,vt. 抚慰；怀柔；使和解
renegade,"n. 叛徒；变节者；脱党者
vi. 背叛；脱离
adj. 叛徒的；背弃的；脱离的"
headlong,"adj. 轻率的；头向前的；匆促而用力的
adv. 头向前地；猛然用力地"
camaraderie,n. 友情；同志之爱
sordid,adj. 肮脏的；卑鄙的；利欲熏心的；色彩暗淡的
convex,"n. 凸面体；凸状
adj. 凸面的；凸圆的"
wavy,adj. 多浪的；波动起伏的
whimper,"n. 呜咽声；啜泣声；牢骚；怨声
vi. 呜咽；啜泣；低声抱怨
vt. 呜咽着说；啜泣着说"
filibuster,"n. 海盗；暴兵，掠夺兵；阻挠议事的议员；阻挠议事的行动
vt. 阻碍议案通过
vi. 掠夺；阻饶议事"
primal,"n. 被压抑童年情绪的释放
adj. 原始的；主要的；最初的
vt. 释放（被压抑的童年情绪）"
insular,adj. 孤立的；与世隔绝的；海岛的；岛民的
divinity,n. 神；神性；神学
squid,n. 鱿鱼；乌贼；枪乌贼
amorphous,adj. 无定形的；无组织的； 非晶形的
troll,"n. 轮唱；钓鱼；北欧神话中的巨人
vt. 轮唱，使转动；放声高唱；拖饵钓鱼
vi. 参加轮唱；宏亮地唱；拖饵钓鱼"
accolade,n. 荣誉；荣誉称号授予仪式；连谱号；称赞
soggy,adj. 浸水的；透湿的；沉闷的
genial,adj. 亲切的，友好的；和蔼的；适宜的
circuitry,n. 电路；电路系统；电路学；一环路
cobalt,n.  钴；钴类颜料；由钴制的深蓝色
beget,vt. 产生；招致；引起；当…的父亲
recalcitrant,"n. 顽抗者；不服从的人
adj. 反抗的；反对的；顽强的"
garb,"n. 服装；装束；打扮
vt. 装扮；穿衣"
daffodil,"n. 水仙花
adj. 水仙花色的"
quack,"n. 庸医；鸭叫声
adj. 骗人的；冒牌医生的
vi. （鸭子）嘎嘎叫；吹嘘；大声闲聊"
trepidation,n. 恐惧；惊恐；忧虑；颤抖
typeset,"adj. 已排字的
vt. 排版"
homestead,n. 宅地；家园；田产
destitute,"n. 赤贫者
adj. 穷困的；无的；缺乏的
vt. 使穷困；夺去"
airlift,"n. 空运；空运物资
vt. 空运"
preponderance,n. 优势；多数；占优势
flout,"n. 嘲笑；轻视；愚弄
vt. 嘲笑；藐视；愚弄
vi. 嘲笑；表示轻蔑"
bravado,n. 虚张声势；冒险
vagary,n. 奇想；奇特行为
commensurate,adj. 相称的；同量的；同样大小的
impervious,adj. 不受影响的，无动于衷的；不能渗透的
impunity,n. 不受惩罚；无患； 免罚
replete,"n.  贮蜜蚁
adj. 充满的；装满的"
forlorn,adj. 被遗弃的；绝望的；孤独的
microcosm,n. 微观世界；小宇宙；作为宇宙缩影的人类；缩图（等于microcosmos）
aerodynamic,adj. 空气动力学的， 航空动力学的
metamorphosis,n. 变形；变质
stratify,"vt. 分层；成层；使形成阶层
vi. 分层；成层；阶层化"
pedagogy,n. 教育；教育学；教授法
lodger,n. 房客；寄宿人；投宿者
arrowhead,n. 箭头；箭头状物；慈菇
restitution,n. 恢复；赔偿；归还
wrest,"n. 扭，拧
vt. 用力拧；抢夺；歪曲"
leach,"n. 过滤；过滤器
vt. 过滤；萃取
vi. 被过滤"
coy,"adj. 腼腆的；忸怩作态的；怕羞的
vt. 爱抚
vi. 忸怩作态"
ode,n. 赋；颂歌；颂诗
personage,n. 要人；角色；名士
ethereal,adj. 优雅的；轻飘的；缥缈的；超凡的
abode,"n. 住处；营业所
v. 遵守；停留；忍受（abide的过去分词）"
janitor,"n. 看门人；守卫；门警
n. 清洁工"
mannerism,n. 特殊习惯；矫揉造作；怪癖
concentric,adj. 同轴的；同中心的
apportion,vt. 分配，分派；分摊
itinerant,"n. 巡回者；行商
adj. 巡回的；流动的"
lilac,"n. 淡紫色；丁香花； 紫丁香
adj. 淡紫色的"
stocky,adj. 矮壮的；健壮结实的
atrophy,"n. 萎缩，萎缩症；发育停止
vi. 萎缩；虚脱"
viscous,adj. 粘性的；黏的
dictum,n. 格言；声明；法官的附带意见
enviable,adj. 值得羡慕的；引起忌妒的
conveyor,n. 输送机， 传送机；传送带；运送者，传播者
mafia,n. 黑手党；（意）秘密政党
emulsion,n.  乳剂； 乳状液；感光乳剂
hew,"vt. 砍；劈；砍倒
vi. 砍；劈；坚持"
recrimination,n. 反责，反控；揭丑
nullify,vt. 使无效，作废；取消
burnish,"n. 光泽；抛光；闪闪发光
vt. 擦亮；使…光亮；将…打磨光亮
vi. 磨光发亮"
acquiesce,vi. 默许；勉强同意
apparition,n. 幽灵；幻影；鬼怪；离奇出现的东西
crescendo,"n. 声音渐增
adv. 渐次加强地
adj. 渐强的
vi. 音量逐渐增强"
extricate,vt. 使解脱；解救；使游离
accretion,n. 添加；增加物；连生；冲积层
induct,vt. 引导；感应；使…就职；征召入伍
penance,"n. 苦修；忏悔
vt. 使…以苦行赎罪"
sequester,vt. 使隔绝；使隐退；没收，扣押
knead,vt. 揉合，揉捏；按摩；捏制
dungeon,n. 地牢，土牢
vale,"n. 谷；溪谷
int. 再见；再会"
sultry,adj. 闷热的；狂暴的；淫荡的
paltry,adj. 不足取的；无价值的；琐碎的；卑鄙的
predilection,n. 偏爱，嗜好
whittle,"n. 屠刀
vi. 削；削木头；弄坏身体
vt. 削；削减；切；削弱"
suture,"n. 缝合；缝合处；缝合用的线
vt. 缝合"
globular,adj. 球状的；由小球形成的；闻名世界的
decadent,"adj. 颓废的；衰微的
n. 颓废者"
forebear,n. 祖先；祖宗
polygon,n. 多边形；多角形物体
yardstick,n. 码尺
motley,"adj. 杂色的；混杂的；五颜六色的
n. 混杂；杂色衣服；小丑"
ire,"n. 忿怒
vt. 使发怒"
extraneous,adj. 外来的；没有关联的；来自体外的
blasphemy,n. 亵渎神明；轻视上帝或神祗
surly,adj. 乖戾的；板面孔的，无礼的；阴沉的
belligerent,"n. 交战国；参加斗殴的人或集团
adj. 交战的；好战的；交战国的"
gaudy,"n. 盛大宴会
adj. 华而不实的；俗丽的"
abject,adj. 卑鄙的；可怜的；不幸的；（境况）凄惨的，绝望的
tundra,n.  苔原； 冻原；冻土地带
meek,adj. 温顺的；谦恭的；驯服的
phonograph,"n. 留声机； 电唱机
vt. 用留声机灌音；用留声机放音"
cardiology,n.  心脏病学
clang,"n. 叮当声；铿锵声
vt. 使发铿锵声
vi. 发铿锵声"
profane,"adj. 亵渎的；世俗的；异教的
vt. 亵渎；玷污"
shard,n. （甲虫的） 鞘翅；陶瓷碎片
grizzly,"n. 灰熊
adj. 灰色的"
crass,adj. 愚钝的；粗鲁的；非常的
berate,vt. 严责；申斥
sentinel,"n. 哨兵
vt. 守卫，放哨"
astride,"prep. 跨在…上；在…两旁；跨越（一个地区或时代）
adj. 跨着的；两腿分开着的
adv. 跨着；两腿分开着"
deleterious,adj. 有毒的，有害的
wiry,adj. 金属线制的；金属丝般的；坚硬的；瘦长结实的；（噪音）尖细的
clank,"n. 叮当声；当啷声
vt. 使铿然作响
vi. 发叮当声；发铿锵声"
loiter,"vi. 虚度；闲荡；徘徊
vt. 虚度；闲荡；混"
eulogy,n. 悼词；颂词；颂扬；赞词
mottle,"n. 斑点；杂色；斑驳
vt. 使呈杂色；使显得斑驳陆离"
duality,n. 二元性； 二象性
bouncer,n. 保镖；巨大的东西；跳跃的人；吹牛者
demur,"n. 异议；反对
vi. 反对；抗辩；提出异议"
fizzle,"n. 失败；嘶嘶声
vi. 失败；发嘶嘶声；萎靡"
infatuation,n. 迷恋；醉心
anachronistic,adj. 时代错误的
beaker,n. 烧杯；大口杯
perforate,"vt. 穿孔于，打孔穿透；在…上打齿孔
vi. 穿过，贯穿；穿孔"
affable,adj. 和蔼可亲的；友善的
garish,adj. 炫耀的；过分装饰的；过分鲜艳的
ostrich,n. 鸵鸟；鸵鸟般的人
mauve,"n. 淡紫色；苯胺紫；淡紫色染料
adj. 淡紫色的"
epiphany,
reincarnation,n. 再生；化身
malleable,adj. 可锻的；可塑的；有延展性的；易适应的
pail,n. 桶，提桶
mirth,n. 欢笑；欢乐；高兴
joystick,n. 操纵杆， 控制杆
languid,adj. 倦怠的；呆滞的；软弱无力的
squalid,adj. 肮脏的；污秽的；卑劣的
enamor,vt. 使迷恋，使倾心
ramshackle,adj. 摇晃的；放荡的
contort,"vt. 扭曲；曲解
vi. 扭曲"
offhand,"adj. 随便的；即时的；无准备的；即席的
adv. 随便地；即席地；即时地"
lopsided,adj. 不平衡的，倾向一方的
odious,adj. 可憎的；讨厌的
detritus,n. 碎石， 岩屑
platitude,n. 陈词滥调；平凡；陈腐
tepid,adj. 微温的，温热的；不太热烈的；不热情的
bohemian,"n. 波希米亚人；波希米亚语；放浪者
adj. 波希米亚的；放荡不羁的；波希米亚语的"
appendage,n. 附加物；下属； 附器（如植物的枝叶和动物的腿尾）
ruse,n. 策略，计策；诡计
horticultural,adj. 园艺的
throwback,（俚）复古队服
kudos,n. 荣誉；名望；称赞
moribund,"adj. 垂死的；停滞不前的
n. 垂死的人"
serenade,"n. 小夜曲
vt. 为…唱小夜曲
vi. 唱小夜曲"
curd,"n. 凝乳；凝乳状物
vt. 使成凝乳
vi. 凝结"
gaffe,n. 失态；过失
obstinate,adj. 顽固的；倔强的；难以控制的
cavalier,"n. 骑士；武士；对女人献殷勤
adj. 傲慢的；漫不经心的；无忧无虑的"
sawdust,"n.  锯屑
adj. 撒木屑的；无实质的
vt. 在…上撒木屑；用木屑填塞"
commandeer,vt. 征用；霸占，没收；强取
snobbery,n. 势利，谄上欺下；摆绅士架子；势利的行为或语言
haughty,adj. 傲慢的；自大的
jangle,"n. 争吵，吵嚷；刺耳声
vt. 使发出刺耳声；使争论
vi. 刺耳响；争论，吵架"
regent,"n. 摄政王；摄政者；州立大学董事会董事；统治者
adj. 摄政的；统治的"
inculcate,vt. 教育；谆谆教诲；教授；反覆灌输
ascetic,"n. 苦行者；禁欲者
adj. 苦行的；禁欲主义的"
canary,n.  金丝雀；淡黄色
abysmal,adj. 深不可测的；糟透的；极度的
tirade,n. 激烈的长篇演说
lactose,n.  乳糖
pejorative,"n. 轻蔑语
adj. 轻蔑的； 恶化的，变坏的"
berserk,"adj. 狂怒的
adv. 狂暴地，狂怒地"
gnarl,"n. 木节；木瘤
vi. 咆哮；形成木节"
paragon,"n. 模范；完美之物；优秀之人
adj. 完美的"
squelch,"n. 噪声控制；嘎吱声；压倒对方的反驳；压碎的一堆
vi. 嘎吱作响
vt. 消除；镇压；压碎；使…咯吱咯吱的响"
resplendent,adj. 光辉的；华丽的
vilify,vt. 诽谤；中伤；轻视；贬低
heft,"n. 重量；重要性
vt. 举起；举起试重量
vi. 称重量"
nefarious,adj. 邪恶的；穷凶极恶的；不法的
interlace,"vt. 使交错；使交织
vi. 交织；交错"
bard,n. 吟游诗人
capsize,"vt. 倾覆（特指船）；翻覆；弄翻
vi. 翻；倾覆；翻覆"
rascal,"n. 流氓，无赖；淘气鬼，捣蛋鬼
adj. 不诚实的；下贱的，卑鄙的"
cogent,adj. 强有力的；使人信服的
explicate,vt. 说明，解释
mandible,n. 下颌骨；上颚，嘴的上部
rumple,"n. 皱褶；皱纹
vt. 弄皱；弄得乱七八糟
vi. 弄皱；变凌乱"
slosh,"n. 泥泞；溅泼声
vt. 搅动，晃动；把……泼溅出
vi. 溅，泼；在泥中荡"
gaiety,n. 快乐，兴高采烈；庆祝活动，喜庆；（服饰）华丽，艳丽
chasten,vt. 惩罚；磨炼；抑制
separatism,n. 分离主义
slurp,"n. 吃的声音；啜食声
vt. 出声地吃或喝
vi. 出声地吃或喝"
retroactive,adj. 追溯的；有追溯效力的；反动的
overshoot,"vt. 超越；打过头；把…做过头
vi. 射击越标；（飞机）滑出跑道；行动过火
n. 超越目标；行动过火"
postmaster,n. 邮政局（所）长；邮件管理员
encrust,"vt. 包上外壳；装饰外层
vi. 结壳"
bulldoze,vt. 强迫；恫吓；用推土机清除
countervail,"vt. 抵销；补偿；对抗
vi. 抵销；对抗"
sidle,"n. 侧走；挨近
vt. 侧身而行；悄悄贴近
vi. 侧身而行；悄悄贴近"
honeycomb,"n. 蜂巢，蜂巢状之物
adj. 似蜂巢的
vt. 使成蜂巢状；把…弄得千疮百孔
vi. 变成蜂巢状"
meridian,"adj. 子午线的；最高点的
n.  子午线， 经线；顶点"
imp,"n. 顽童，小淘气；小孩
vt. 给...装上翅膀；加强"
ostensible,adj. 表面的；假装的
lithe,adj. 轻盈的（等于lithesome）；柔软的；易弯曲的
modicum,n. 少量，一点点
fructose,n.  果糖；左旋糖
concierge,n. 门房；看门人
redolent,adj. 芬芳的；有…香味的；令人想起…的
culpable,adj. 有罪的；该责备的；不周到的；应受处罚的
morass,n. 沼泽；困境；乱糟糟的一堆
vivacious,adj. 活泼的；快活的；有生气的
inferno,n. 阴间，地狱
narcissism,n.  自恋，自我陶醉
prodigal,"n. 浪子；挥霍者
adj. 挥霍的；十分慷慨的"
circadian,adj. 生理节奏的（指与地球二十四小时运转联系的新陈代谢、内分泌作用及睡眠等节奏有关的）；以24小时为周期的
gradation,n. （色彩、颜色、次序、音调等的）渐变；分等级；（各种状态、性质等的）分阶段渐变；元音交替
delectable,adj. 美味的；令人愉快的
husk,"n. 皮；外壳；无价值之物
vt. 削皮；以粗哑的嗓音说
vi. 嗓音变得嘶哑"
thrall,"n. 奴隶；束缚
adj. 受奴役的
vt. 使成为奴隶"
germane,adj. 有密切关系的；贴切的；恰当的
malady,n. 弊病；疾病；腐败
cellist,n. 大提琴演奏家
stingy,adj. 吝啬的，小气的；有刺的；缺乏的
fractious,adj. 易怒的；倔强的，难以对待的
harangue,"n. 长篇大论；高谈阔论；热烈的演说
vt. 向…滔滔不绝地演讲；大声训斥
vi. 高谈阔论；慷慨陈词"
subjugate,vt. 征服；使服从；克制
locomotion,n. 运动；移动；旅行
brusque,adj. 唐突的；直率的；无礼的
diatribe,n. 诽谤；恶骂
scuff,"n. 拖着脚走；磨损之处
vt. 使磨损；践踏；拖着脚走
vi. 磨损；拖着脚走"
metamorphose,vt. 变质；变形；使变成
tangential,"n. 正切，切线
adj.  切线的， 正切的；离题的，扯远的"
ravish,vt. 强夺；强奸；使着迷
mongrel,"n. 杂种；混血儿；杂种动物
adj. 杂种的；混血儿的"
corporeal,adj. 物质的，有形的；肉体的
acrid,adj. 辛辣的；苦的；刻薄的
waistline,n. 腰围；腰身部分
lethargic,adj. 昏睡的；无生气的
genie,n. 妖怪；鬼
desultory,adj. 断断续续的；散漫的；不连贯的，无条理的
connive,vi. 共谋；纵容；默许
overwrought,"adj. 过度紧张的；过度兴奋的；过分劳累的；（文体等）过于考究的
v. 工作过度；把…做过头；使过于激动（overwork的过去式和过去分词）"
adulation,n. 奉承；谄媚
incinerate,"vt. 焚化；烧成灰
vi. 把……烧成灰；烧弃"
hummingbird,n. 蜂鸟
amorous,adj. 多情的；恋爱的；热情的；色情的
anion,n. 阴离子
laconic,adj. 简洁的，简明的
congeal,"vt. 使…凝结；使…冻结
vi. 凝结；凝固"
waddle,"n. 蹒跚；摇摆的步子
vi. 摇摇摆摆地走；蹒跚而行"
carpentry,n. 木器；木工手艺； 木工业
sully,"vt. 玷污；使丢脸
n. 污点，损伤"
domineer,"vt. 盛气凌人
vi. 跋扈；作威作福"
sunspot,n. 太阳黑子；雀斑
rhinoceros,n.  犀牛
statuary,"adj. 雕塑的；雕像用的
n. 雕像；雕像艺术"
ostracize,vt. 放逐；排斥；按贝壳流放法放逐
conflagration,n. 大火；快速燃烧；突发；冲突
diehard,n. 顽固分子；死不屈从者；倔强的人
histrionic,"n. 演员
adj. 戏剧的；演员的，表演的"
alacrity,n. 敏捷；轻快；乐意
sinuous,adj. 蜿蜒的；弯曲的；迂回的
monomer,n. 单体；单元结构
aplomb,n. 沉着；垂直；泰然自若
interloper,n. 闯入者；（为私利）干涉他人事务者；无执照营业者
cashew,"n. 腰果（等于cashew nut）；腰果树
adj. 漆树科的"
peremptory,adj. 强制的；绝对的；断然的；专横的
cantaloupe,n. 哈密瓜；香瓜； 罗马甜瓜
wright,n. 制作者；工人
procrastinate,"vi. 耽搁，延迟
vt. 耽搁，延迟"
nihilism,n. 虚无主义；无政府主义；恐怖行为
submersible,adj. 能潜水的；能沉入水中的
vocalize,"vt. 使发成元音；使发声
vi. 发声；喊叫"
hippo,n. 河马；吐根
guile,n. 狡猾；诡计；欺诈
vagabond,"n. 流浪者；浪子；流氓；懒汉
adj. 流浪的；流浪者的；浪荡的；漂泊的
vi. 到处流浪"
dawdle,"vt. 混日子；游手好闲；浪费时间
vi. 混日子；游手好闲；偷懒"
conjugal,adj. 婚姻的；结婚的；夫妻之间的
nadir,n. 最低点，最底点； 天底
churlish,adj. 没有礼貌的；脾气暴躁的
desiccate,"vt. 使干；干贮
vi. 变干"
intermission,n. 幕间休息；暂停；中断
apprise,vt. 通知；报告
trenchant,adj. 尖刻的；锐利的；苛刻的；锋利的（名词trenchancy，副词trenchantly）
acerbic,adj. 尖刻的（等于acerb）；酸的；辛辣的
granulate,"vt. 使成粒状；使表面变粗糙
vi. 成为粒状；表面变粗糙"
solicitude,n. 焦虑；渴望；担心
aspirant,"n. 有抱负的人；野心家
adj. 上进的；有野心的"
waggle,"n. 摇摆；摆动
vt. 摆动；来回摇动
vi. 摇摆；不停地来回摇动"
despot,n. 专制君主，暴君；独裁者
fatuous,adj. 愚笨的；昏庸的；发呆的；自满的
charlatan,"n. 吹牛者；江湖医生
adj. 骗人的"
vertigo,n. 晕头转向， 眩晕
monogamy,n. 一夫一妻制； 单配偶， 单配性
avarice,n. 贪婪，贪财
transmute,"vt. 使变形；使变质
vi. 变形；变质"
snide,"n. 赝品；骗子
adj. 伪造的；卑鄙的；暗讽的"
tremulous,adj. 胆小的；战栗的；震颤的
disincline,"vt. 使不愿；使不欲；不感兴趣
vi. 不愿意"
claustrophobia,n.  幽闭恐怖症
chimera,n.  嵌合体；虚构的怪物；妄想
astrophysics,n. 天体物理学
virulence,n. 毒力；毒性；恶意（等于virulency）
headstrong,adj. 任性的；顽固的；刚愎的
pilfer,"vt. 窃；偷窃；小偷小摸
vi. 偷窃；小偷小摸"
coalescence,n. 合并；联合；接合
desecrate,vt. 亵渎；污辱；把（神物）供俗用
cathartic,"n.  泻药； 通便药
adj. 导泻的；通便的"
gibberish,n. 乱语；快速而不清楚的言语
circuitous,adj. 迂曲的；绕行的；迂回线路的
jowl,"n. 颌；颚骨；面颊
vt. 碰；摇动
vi. 颠簸前进；敲钟"
subterfuge,n. 托词；借口；诡计
lugubrious,adj. 悲哀的，悲惨的
demystify,vt. 使非神秘化；阐明；启发
logbook,n. 航海日志；航空日志
thunderbolt,n. 霹雳；雷电；突发意外事件；大发雷霆
aerate,vt. 充气；让空气进入；使暴露于空气中
myopia,n.  近视；目光短浅，缺乏远见
befuddle,vt. 使迷惑；使昏沉
jocular,adj. 爱开玩笑的；打趣的；滑稽的
hodgepodge,"n. 大杂烩；混煮；一团糟
vt. 使混乱"
compunction,n. 悔恨，后悔；内疚
hypodermic,"n. 皮下注射；皮下注射器
adj. 皮下的"
commiserate,"vt. 同情，怜悯
vi. 同情，怜悯；吊慰"
callus,"n.  胼胝；愈合组织；老茧
vt. 使生老茧；使变硬；使结痂
vi. 变硬；结痂；生老茧"
vitriol,"n. 硫酸， 硫酸盐；尖刻的话
vt. 用硫酸处理；用尖刻的话伤害"
endorphin,n. 脑内啡
italicize,"vt. 在字下划横线；用斜体字排字；强调
vi. 用斜体字"
membranous,adj. 膜的；膜性的；膜状的
nonchalant,adj. 冷淡的，漠不关心的
blithe,adj. 愉快的；快乐无忧的
