consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
measurement,n. 测量； 度量；尺寸；量度制
per,prep. 每；经；按照；每一
data,n. 数据（datum的复数）；资料
result in,"na. 终于(失败)
 导致；结果是；造成"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
famine,n. 饥荒；饥饿，奇缺
oppose,"vt. 反对；对抗，抗争
vi. 反对"
opposed,"adj. 相反的；敌对的
v. 反对（oppose的过去分词）；使对立"
be opposed to,"v. 反对；与…相对
 她不反对必要的改变；强烈地反对；反对老师的观点"
environmental,adj. 环境的，周围的；有关环境的
environmentalist,n. 环保人士；环境论者；研究环境问题的专家
consequence,n. 结果；重要性；推论
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
even if,"na. 即使…也
 纵然；就算；甚至"
keep on,"na. 继续；穿着不脱
 继续不断；穿着...不脱；持续"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
steadily,adv. 稳定地；稳固地；有规则地
tendency,n. 倾向，趋势；癖好
widespread,adj. 普遍的，广泛的；分布广的
on the whole,"na. 整体上说
 总的来说；大体上；基本上"
economical,adj. 经济的；节约的；合算的
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
existence,n. 存在，实在；生存，生活；存在物，实在物
outer,"adj. 外面的，外部的；远离中心的
n. 环外命中"
on behalf of,"na. 替；为…的利益
 代表；代表某人；以…名义"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
commitment,n. 承诺，保证；委托；承担义务；献身
put up with,"na. 忍住
 忍受；容忍；忍耐"
pollution,"n. 污染
污染物"
growth,n. 增长；发展；生长；种植
electrical,adj. 有关电的；电气科学的
appliance,n. 器具；器械；装置
so long as,"na. 只要；“as/so long as”的变体
 如果；表示只要；只要…就"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
and so on,"na. “And so forth”的变体
 等等；诸如此类；如此等等"
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
circumstance,n. 环境，情况；事件；境遇
educator,n. 教育家；教育工作者；教师
contribution,n. 贡献；捐献；投稿
heading,"n. 标题；（足球）头球；信头
v. 用头顶（head的ing形式）"
presentation,n. 展示；描述，陈述；介绍；赠送
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
disagreement,n. 不一致；争论；意见不同
diagram,"n. 图表；图解
vt. 用图解法表示"
volcano,n. 火山
hurricane,n. 飓风，暴风
database,n. 数据库，资料库
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
absolutely,adv. 绝对地；完全地
make one's way,"na. 前往；发迹
 前进；行进；走去"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
actual,adj. 真实的，实际的；现行的，目前的
candidate,n. 候选人，候补者；应试者
threat,n. 威胁，恐吓；凶兆
precious,adj. 宝贵的；珍贵的；矫揉造作的
novelist,n. 小说家
fog,"n. 雾；烟雾，尘雾；迷惑
vt. 使模糊；使困惑；以雾笼罩
vi. 被雾笼罩；变模糊"
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
rainbow,"n. 彩虹；五彩缤纷的排列；幻想
adj. 五彩缤纷的；彩虹状的
vt. 使呈彩虹状；如彩虹般装饰
vi. 呈彩虹状"
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
anxious,adj. 焦虑的；担忧的；渴望的；急切的
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
tsunami,n. 海啸
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
range from ... to ...,
diverse,adj. 不同的；多种多样的；变化多的
diversity,n. 多样性；差异
bathe,"n. 洗澡；游泳
vt. 沐浴；用水洗
vi. 洗澡；沐浴"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
appreciation,n. 欣赏，鉴别；增值；感谢
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
persuasion,n. 说服；说服力；信念；派别
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
disability,n. 残疾；无能；无资格；不利条件
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）"
hearing,"n. 听力；审讯，听讯
v. 听见（hear的ing形式）"
eyesight,n. 视力；目力
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
noisy,adj. .嘈杂的；喧闹的；聒噪的
suitable,adj. 适当的；相配的
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
beneficial,adj. 有益的，有利的；可享利益的
in other words,"na. 换句话说
 换言之；也就是说；也就是"
adapt,"vi. 适应
vt. 使适应；改编"
adapt to,"na. 使(自己行动)配合(同伴)
 适应；适应，适合；使适应"
bench,"n. 长凳；工作台；替补队员
vt. 给…以席位；为…设置条凳"
cut out,"na. 割掉；除去；剪下；开辟
 停止；删除；切掉"
microscope,n. 显微镜
out of breath,"na. 大喘气
 喘不过气来；上气不接下气；气喘吁吁"
absence,n. 没有；缺乏；缺席；不注意
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
annoyed,"v. 使烦恼；打扰（annoy的过去分词）
adj. 恼怒的；烦闷的"
annoyance,n. 烦恼；可厌之事；打扰
all in all,"na. 全部；完全；第一
 总的说来；总而言之；总的来说"
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
software,n. 软件
sit around, 无所事事；坐着没事干；闲坐
as well as,"na. 和…一样；…不用说
 也；既…又；和...一样"
parrot,"n. 鹦鹉；学舌者，应声虫；机械模仿别人的人
vt. 机械地模仿"
in many ways, 在许多方面；在很多方面；从许多方面来说
psychology,n. 心理学；心理状态
psychologically,adv. 心理上地；心理学地
make fun of,"na. 嘲弄
 取笑；嘲笑；开玩笑"
encouragement,n. 鼓励
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
mainstream,n. 主流
fulfilling,adj. 令人满意的；能实现个人抱负的；令人高兴的
never mind,"un. 没关系；不要紧；开诚布公地谈
 别介意；别放在心上；别在意"
politics,n. 政治，政治学；政治活动；政纲
abolish,vt. 废除，废止；取消，革除
abolition,n. 废除；废止
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
slavery,n. 奴役；奴隶制度；奴隶身份
literature,n. 文学；文献；文艺；著作
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
assistance,n. 援助，帮助；辅助设备
congratulate,vt. 祝贺；恭喜；庆贺
congratulation,n. 祝贺；贺辞
graduation,n. 毕业；毕业典礼；刻度，分度；分等级
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
architect,"n. 建筑师
缔造者"
adequate,adj. 充足的；适当的；胜任的
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accessible,adj. 易接近的；可进入的；可理解的
handy,adj. 便利的；手边的，就近的；容易取得的；敏捷的
earphone,n. 耳机；听筒
basement,n. 地下室；地窖
outwards,adv. 向外地
exit,"n. 出口，通道；退场
vi. 退出；离去"
approval,n. 批准；认可；赞成
dignity,n. 尊严；高贵
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
community,n. 社区； 群落；共同体；团体
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
fiction,n. 小说；虚构，编造；谎言
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
test out,"na. 同“test”
 考验；试验；测试"
bonus,n. 奖金；红利；额外津贴
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
alarmed,"v. 报警（alarm的过去式及过去分词）
adj. 惊恐的；受惊的；焦虑的"
sympathy,n. 同情；慰问；赞同
overweight,"adj. 超重的；过重的
vt. 使负担过重
n. 超重"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
favour,"n. 偏爱；赞同；善行
vt. 赞成；喜爱；有助于"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
ring up,"v. 在收款机上结算；一段时间内收入或损失的钱；打电话给
 用收银机记录；给……打电话；把记入现金收入记录机"
turn around,"na. 转身；使向好的方向转变
 回转；转过身；转过来"
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
cuisine,n. 烹饪，烹调法
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
leave ... alone,"na. 丢下不管；不要管
 不理会；让独自呆着；不干涉"
mailbox,n. 邮箱；邮筒
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
set aside,"na. 搁置；拨出；驳回
 留出；取消；挑出，留出"
in all,"na. 总计
 总共；一共；总共，合计"
affection,n. 喜爱，感情；影响；感染
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
be bound to do, 注定；一定会做某事；必然
biography,n. 传记；档案；个人简介
holy,"n. 神圣的东西
adj. 圣洁的，神圣的；至善的
（俚）太棒了"
imagination,n.  想象力；空想；幻想物
transfusion,n.  输血； 输液；倾注；灌输
part-time,"adj. 兼职的；部分时间的
adv. 兼职地；用部分时间地"
master's degree, 硕士学位；硕士学位课程；研究生专业
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
talent,n. 才能；天才；天资
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
theoretical,adj. 理论的；理论上的；假设的；推理的
framework,n. 框架，骨架；结构，构架
thinking,"n. 思考；思想；想法；意见；见解
v. 思考（think的现在分词）
adj. 思考的；思想的；有理性的；好思考的"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
disobey,v. 违反；不服从
assessment,n. 评定；估价
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
migration,n. 迁移；移民；移动
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
offshore,"adj. 离岸的； 近海的；吹向海面的
adv. 向海面，向海"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
depth,n.  深度；深奥
meantime,"n. 其时，其间
adv. 同时；其间"
in the meantime,"na. 在这期间
 与此同时；在此期间；其间"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
relationship,n. 关系；关联
conservation,n. 保存，保持；保护
iceberg,n.  冰山；显露部分
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
seaside,"n. 海边；海滨
adj. 海边的；海滨的"
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
be aware of,"na. 知道
 意识到；觉察；了解"
become aware of,"na. 发觉
 注意到；开始意识到；知道"
vivid,adj. 生动的；鲜明的；鲜艳的
neat,adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
flashlight,n. 手电筒；闪光灯
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
tasty,"adj. 美味的；高雅的；有趣的
n. 可口的东西；引人入胜的东西"
grey,"n. 灰色
adj. 灰色的；灰白的
vt. 使变成灰色；使变老
vi. 变成灰色；老化"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
boundary,n. 边界；范围；分界线
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
hear from,"na. 得到…的消息
 收到……的来信；收到……来信；收到…的信"
roof,"n. 屋顶；最高处，顶部；最高限度
vt. 给…盖屋顶，覆盖"
textbook,n. 教科书，课本
concept,n. 观念，概念
the other day,"na. 上回
 前几天；几天前；几天以前"
weekly,"n. 周刊
adj. 每周的；周刊的；一周一次的
adv. 每周一次；逐周"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
interpreter,n. 解释者；口译者；注释器
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
paperwork,n. 文书工作
arrangement,n. 布置；整理；准备
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
in need, 在危难中；需要帮助的；在困难时
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
anniversary,n. 周年纪念日
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
economic,adj. 经济的，经济上的；经济学的
political,adj. 政治的；党派的
distribute,vt. 分配；散布；分开；把…分类
distribution,n. 分布；分配
financial,adj. 金融的；财政的，财务的
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
clinic,n. 临床；诊所
adjust to,"v. 适应
 调整；调节；调整以适应"
motherland,n. 祖国；母国
visa,"n. 签证
vt. 签发签证"
queue,"n. 队列；长队；辫子
vt. 将…梳成辫子；使…排队
vi. 排队；排队等候"
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
qualification,n. 资格；条件；限制；赋予资格
preparation,n. 预备；准备
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
shopkeeper,n. 店主，老板
idiom,n. 成语，习语；土话
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
requirement,n. 要求；必要条件；必需品
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
revision,n.  修正；复习；修订本
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
acknowledge,vt. 承认；答谢；报偿；告知已收到
as far as sb. is concerned,
occupy,vt. 占据，占领；居住；使忙碌
be occupied with,"v. 忙着
 忙于；忙于做；忙于某事物"
enterprise,n. 企业；事业；进取心；事业心
apology,n. 道歉；谢罪；辩护；勉强的替代物
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
bachelor's degree, 学士学位；本科学位；本科学历
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
minibus,"n. 面包车（等于microbus）；小型公共汽车；中客车
vi. 乘中客车"
optional,"adj. 可选择的，随意的
n. 选修科目"
day in and day out,"na. 日日夜夜
 日复一日；一天又一天；夜以继日"
cage,"n. 笼，兽笼；牢房，监狱
vt. 把…关进笼子；把…囚禁起来"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
travel agent,"n. 旅行代办人；旅行代理商；旅行社
 旅行代办员；旅行社代理人；旅行代理人"
geographical,adj. 地理的；地理学的
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
abundant,adj. 丰富的；充裕的；盛产
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
onwards,adv. 向前；在前面
destination,n. 目的地，终点
out of the question,"adv. 不可能
 不可能的；毫无可能的；绝不可能"
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
distinct,adj. 明显的；独特的；清楚的；有区别的
distinction,n. 区别；差别；特性；荣誉、勋章
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
live on,"na. 以…为主食；靠…生活；继续活着；靠［吃］…生活
 以……为主食；靠……为生；以…为食"
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
by means of,"na. 以
 用；依靠；借助于"
prehistoric,adj. 史前的；陈旧的
majority,n. 多数；成年
ministry,n. （政府的）部门
adventurer,n. 冒险家；投机商人
make a life, 谋生；生活；如何生活
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
hardship,n. 困苦；苦难；艰难险阻
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
rail,"n. 铁轨；扶手；横杆；围栏
vt. 铺铁轨；以横木围栏
vi. 抱怨；责骂"
percentage,n. 百分比；百分率，百分数
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
aircraft,n. 飞机，航空器
migrant,"n. 候鸟；移居者；随季节迁移的民工
adj. 移居的；流浪的"
immigrate,"vi. 移入
vt. 使移居入境"
immigration,n. 外来移民；移居
racial,adj. 种族的；人种的
crossing,"n. 十字路口；杂交；横渡；横道
v. 横越（cross的现在分词）"
vice-,pref. 表示“副的，次的”之义
nephew,n. 侄子；外甥
pole,
applicant,n. 申请人，申请者；请求者
customs,n. 海关；风俗（custom的复数）；习惯；关税
socialist,"n. 社会主义者；社会党党员
adj. 社会主义的"
socialism,n. 社会主义
occur,vi. 发生；出现；存在
cattle,n. 牛；牲畜（骂人的话）；家畜；无价值的人
indicate,vt. 表明；指出；预示；象征
back to back,"na. 背对背
 背靠背；背对背拥抱；背至背"
apparent,adj. 显然的；表面上的
apparently,adv. 显然地；似乎，表面上
team up with,"na. 和…协作
 与……合作或一起工作；与…协作；与…一起工作"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
fascinating,"adj. 迷人的；吸引人的；使人神魂颠倒的
v. 使…着迷；使…陶醉（fascinate的ing形式）"
mark out,"na. 指示；拟订(计划)；注意；选拔
 规划；标出……界线；划出"
take in,"na. 加以考虑；访问；收进；收容
 欺骗；吸收；接受"
a great many,"na. 很多的
 许多；大量；许许多多"
a good many,"na. 很多的
 许多；相当多；大量的"
apply for,"v. 寻求；申请
 提出申请；申请…职位；请求"
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
miserable,adj. 悲惨的；痛苦的；卑鄙的
punishment,n. 惩罚；严厉对待，虐待
justice,n. 司法，法律制裁；正义；法官，审判员
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
authority,n. 权威；权力；当局
authorities,n. 当局，官方（authority的复数）
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
thoughtful,adj. 深思的；体贴的；关切的
thankful,adj. 感谢的；欣慰的
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
complicated,adj. 难懂的，复杂的
undertake,vt. 承担，保证；从事；同意；试图
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
 还清；偿还；报复"
breakthrough,n. 突破；突破性进展
procedure,n. 程序，手续；步骤
carrier,n.  载体；运送者；带菌者；货架
altogether,"n. 整个；裸体
adv. 完全地；总共；总而言之"
fate,"n. 命运
vt. 注定"
correction,n. 改正，修正
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
obtain,"vi. 获得；流行
vt. 获得"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
conservative,
forbid,vt. 禁止；不准；不允许；严禁
accumulate,"vt. 积攒
vi. 累积；积聚"
in favour of,"na. 赞成；有利于；付与
 支持；赞同；以……为受益人"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
opera,n. 歌剧；歌剧院；歌剧团
loaf,"n. 条，一条面包；块；游荡
vt. 游荡；游手好闲；虚度光阴
vi. 游荡；游手好闲；虚度光阴"
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
assumption,n. 假定；设想；担任；采取
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
popularity,n. 普及，流行；名气；受大众欢迎
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
from time to time,"na. 时时
 有时；不时；不时地"
bring back to life, 复活；使复活；起死回生
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
vain,adj. 徒劳的；自负的；无结果的；无用的
in vain,"na. 无益地；轻慢地
 徒劳；徒然；白白地"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
drawback,n. 缺点，不利条件；退税
merely,adv. 仅仅，只不过；只是
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
decoration,n. 装饰，装潢；装饰品；奖章
unable,adj. 不会的，不能的； 无能力的；不能胜任的
feather,"n. 羽毛
vt. 用羽毛装饰
vi. 长羽毛"
fairly,adv. 相当地；公平地；简直
in good condition,"na. 情况良好；健康；(物件)无破损；(食品)新鲜
 状态良好；状况良好；完好无损"
in poor condition,
turkey,n. 土耳其（横跨欧亚两洲的国家）
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
reasonable,adj. 合理的，公道的；通情达理的
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
call up,"na. 传；动员；打电话给；呼唤
 召集；使想起；召唤"
now and then, 偶尔；时而；不时
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
product,n. 产品；结果； 乘积；作品
set about,"na. 动手；开始；下手；着手
 散布；着手做某事；开始做"
convenient,adj. 方便的；适当的；近便的；实用的
expectation,n. 期待；预期；指望
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
merry,"adj. 愉快的；微醉的；嬉戏作乐的
n. 甜樱桃"
merrily,adv. 愉快地；高兴地（merry的副词形式）
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
recognition,n. 识别；承认，认出；重视；赞誉；公认
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
valid,adj. 有效的；有根据的；合法的；正当的
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
string,n. 线，弦，细绳；一串，一行
identification,n. 鉴定，识别；认同；身份证明
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住"
microphone,n. 扩音器，麦克风
forehead,n. 额，前额
