abdicate,"vt. 退位；放弃
vi. 退位；放弃"
therapeutic,"n. 治疗剂；治疗学家
adj. 治疗的；治疗学的；有益于健康的"
therapy,n. 治疗，疗法
thereafter,adv. 其后；从那时以后
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
thermostat,"n. 恒温器；自动调温器
vt. 为…配备恒温器；用恒温器控制"
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
threshold,n. 入口；门槛；开始；极限；临界值
thrive,vi. 繁荣，兴旺；茁壮成长
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
tile,"n. 瓷砖，瓦片
vt. 铺以瓦；铺以瓷砖"
timber,n. 木材；木料
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
tortoise,n. 龟， 乌龟（等于testudo）；迟缓的人
toxic,adj. 有毒的；中毒的
toxin,n. 毒素；毒质
tract,n. 束；大片土地，地带；小册子
tragedy,n. 悲剧；灾难；惨案
trait,n. 特性，特点；品质；少许
tranquilizer,n. 镇定剂；使镇定的人或物
transaction,n. 交易；事务；办理；会报，学报
transatlantic,adj. 大西洋彼岸的，横渡大西洋的；美国的
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
transit,"n. 运输；经过
vt. 运送
vi. 经过"
transition,n. 过渡；转变； 转换；变调
transmission,n. 传动装置， 变速器；传递；传送；播送
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
transnational,adj. 跨国的；超越国界的
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
transportation,n. 运输；运输系统；运输工具；流放
treasury,n. 国库，金库；财政部；宝库
treaty,n. 条约，协议；谈判
tremendous,adj. 极大的，巨大的；惊人的；极好的
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
tribal,adj. 部落的；种族的
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
tri-state,三态
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
trivial,adj. 不重要的，琐碎的；琐细的
tropical,adj. 热带的；热情的；酷热的
trout,n. 鳟鱼，鲑鱼
truce,"n. 停战；休战；休战协定
vt. 以休战结束；停止争执
vi. 停战"
trunk,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内"
tuition,n. 学费；讲授
turbulence,n. 骚乱，动荡； 湍流；狂暴
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
typhoid,"n. 伤寒
adj. 伤寒的；斑疹伤寒症的"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
ultrasound,n. 超声；超音波
unaccompanied,adj. 无伴奏的；无伴侣的；无伴随的
unaffected,adj. 不受影响的；自然的；真挚的；不矫揉造作的
unanticipated,adj. 意料之外的；不曾预料到的；未预料到的
unavailable,adj. 难以获得的；不能利用的；不近便的
unbridled,"adj. 放肆的；无拘束的；激烈的
v. 放纵（unbridle的过去分词形式）；卸下马辔头"
unconfined,adj. 自由的；松散的；无拘束的
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
unconstitutional,"adj. 违反宪法的
违反宪法地"
underbelly,n. 下腹部；薄弱部分；易受攻击的部位、区域等
undercapitalize,v. （对…）投资不足
undergo,vt. 经历，经受；忍受
underlie,vt. 成为……的基础；位于……之下
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
undermine,vt. 破坏，渐渐破坏；挖掘地基
underscore,"n. 底线， 下划线
vt. 强调；划线于…下"
undertake,vt. 承担，保证；从事；同意；试图
underwrite,"vt. 给...保险；承诺支付；签在...下
vi. 经营保险业"
underwriter,n. 保险公司；保险业者；承诺支付者；担保人
undesirable,"n. 不良分子；不受欢迎的人
adj. 不良的；不受欢迎的；不合需要的"
undeterred,adj. 未受阻的；未被吓住的
undue,adj. 过度的，过分的；不适当的；未到期的
unearth,vt. 发掘；揭露，发现；从洞中赶出
unequalled,adj. 无与伦比的；不等同的，不能比拟的
unequivocally,明确地
uneven,adj. 不均匀的；不平坦的； 奇数的
unfavorable,adj. 不宜的；令人不快的；不顺利的
unification,n. 统一；一致；联合
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
unilateral,adj. 单边的； 单侧的；单方面的；单边音；（父母）单系的
uninitiated,adj. 不知情的；缺少经验的
unionist,n. 工会会员；联合主义者
unionization,n. 工会化；联合；结合
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
university,n. 大学；综合性大学；大学校舍
unleavened,adj. 未发酵的；未受激发的
unobtrusive,adj. 不唐突的；谦虚的；不引人注目的
unparalleled,adj. 无比的；无双的；空前未有的
unprecedented,adj. 空前的；无前例的
unpredictable,"n. 不可预言的事
adj. 不可预知的；不定的；出乎意料的"
unprocessed,adj. 未被加工的
unpromising,adj. 无前途的，没有希望的
unravel,"vt. 解开；阐明；解决；拆散
vi. 解决；散开"
unrealistic,adj. 不切实际的；不实在的
unrefined,adj. 未提炼的
unreimbursed, 没有报销
unscrupulous,adj. 肆无忌惮的；寡廉鲜耻的；不讲道德的
unsubstantiated,adj. 未经证实的，无事实根据的
untainted,adj. 无污点的；未染污的
untenable,adj. （论据等）站不住脚的；不能维持的；不能租赁的；难以防守的
unwarranted,adj. 无根据的；无保证的
unwieldy,adj. 笨拙的；笨重的；不灵便的；难处理的
updraft,"n. 上升气流； 向上之排气
adj.  向上通风的"
upheaval,n. 剧变；隆起；举起
upholstered,adj. 装上软垫的；经过布置的
upstate,"n. 州的北部
adj. 北部的；偏僻的
adv. 在州的北部；在州内远离大城市地区"
upstream,"n. 上游部门
adj. 向上游的；逆流而上的
adv. 逆流地；向上游"
upsurge,"n. 高潮，高涨
vi. 涌起，高涨"
urbanization,n. 都市化；文雅化
urbanize,vt. 使都市化；使文雅
urchin,n. 顽童，淘气鬼；海胆；刺猬
urine,n. 尿
utensil,n. 用具，器皿
utilize,vt. 利用
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
vaccinate,"vt. 给…注射疫苗
vi. 接种疫苗
n. 被接种牛痘者"
vaccination,n. 接种疫苗；种痘
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
vague,adj. 模糊的；含糊的；不明确的；暧昧的
validity,n.  有效性；正确；正确性
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
variation,n. 变化； 变异，变种
varsity,"n. 大学；大学运动代表队
adj. 大学代表队的"
vegetarian,"n. 素食者；食草动物
adj. 素食的"
vegetation,n. 植被；植物，草木；呆板单调的生活
vegetative,adj. 植物的；植物人状态的，无所作为的；促使植物生长的；有生长力的
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
velocity,n. 速度
velvet,"adj. 天鹅绒的
n. 天鹅绒，丝绒；天鹅绒似的东西"
venom,"n. 毒液；恶意
vt. 使有毒；放毒"
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
verify,vt. 核实；查证
veritable,adj. 真正的，名副其实的
versatile,adj. 多才多艺的；通用的，万能的；多面手的
versatility,n. 多功能性；多才多艺；用途广泛
version,n. 版本；译文；倒转术
vertebrate,"adj. 脊椎动物的；有脊椎的
n. 脊椎动物"
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
vertices,n. 至高点；天顶；头顶（vertex的复数）
vessel,n. 船，舰； 脉管，血管；容器，器皿
vestige,n. 遗迹；残余；退化的器官
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
viability,n. 生存能力，发育能力；可行性
viable,adj. 可行的；能养活的；能生育的
vicinity,n. 邻近，附近；近处
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
victimize,vt. 使受害；使牺牲；欺骗
vigorous,adj. 有力的；精力充沛的
vine,"n. 藤；葡萄树；藤本植物；攀缘植物
vi. 长成藤蔓；爬藤"
violate,vt. 违反；侵犯，妨碍；亵渎
virgin,"n. 处女
adj. 处女的；纯洁的；未经利用的，处于原始状态的"
virtue,n. 美德；优点；贞操；功效
virtuoso,"n. 艺术品鉴赏家；古董收藏家；艺术大师
adj. 行家里手的；艺术爱好者的"
virtuous,adj. 善良的；有道德的；贞洁的；正直的；有效力的
viscosity,n.  黏性， 黏度
visual,adj. 视觉的，视力的；栩栩如生的
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
volatile,"n. 挥发物；有翅的动物
adj.  挥发性的；不稳定的；爆炸性的；反复无常的"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
voracious,adj. 贪婪的；贪吃的；狼吞虎咽的
vortices,n. 旋涡；（指水或风形成的）涡流( vortex的名词复数 )
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
wanton,"n. 荡妇；水性杨花的女人
adj. 嬉戏的；繁茂的；荒唐的；无节制的；放纵的
vt. 挥霍
vi. 放肆；嬉戏；闲荡"
warbler,n. 啭鸟；鸣鸟；用颤音歌唱的人
warrior,n. 战士，勇士；鼓吹战争的人
wary,adj. 谨慎的；机警的；惟恐的；考虑周到的
waterfront,"n. 滩，海滨；水边
adj. 滨水区的"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
well-being,n. 幸福；康乐
whim,n. 奇想；一时的兴致；怪念头；幻想
whiplash,n. 鞭绳；鞭子的顶端；鞭打
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
whisker,n.  晶须；胡须；腮须
wholesale,"n. 批发
adj. 批发的；大规模的
vt. 批发
adv. 大规模地；以批发方式
vi. 批发；经营批发业"
wield,vt. 使用；行使；挥舞
wig,"n. 假发；要人；头脑
vt. 使戴假发；斥责
vi. 激动；发狂"
wilderness,n. 荒地；大量，茫茫一片
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
withdrawal,n. 撤退，收回；提款；取消；退股
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
womb,"n.  子宫；发源地
vt. 容纳"
woven,"n. 机织织物
v. 编织；交织（weave的过去分词）；编造
adj. 织物的"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
wreak,vt. 发泄；报仇；造成（巨大的破坏或伤害）
wreath,"n. 花冠；圈状物
vt. 环绕（等于wreathe）
vi. 盘旋（等于wreathe）"
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
wrestle,"n. 摔跤；搏斗；斗争
vi. 摔跤；斗争；斟酌
vt. 与摔跤；与…搏斗；使劲搬动"
y-axis,n. Y轴；纵坐标轴
yeast,n. 酵母；泡沫；酵母片；引起骚动因素
yen,"n. 日元（日本货币单位）；渴望
vi. 渴望"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
adulatory,adj. 阿谀的，奉承的；谄媚的
ambivalence,n.  矛盾情绪；正反感情并存
ambivalent,adj. 矛盾的；好恶相克的
amusement,n. 消遣，娱乐；乐趣
skeptical amusement,
annoyance,n. 烦恼；可厌之事；打扰
appreciation,n. 欣赏，鉴别；增值；感谢
apprehensive,adj. 忧虑的；不安的；敏悟的；知晓的
advocacy,n. 主张；拥护；辩护
fervent advocacy,
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火"
indignant anger,
astonishment,n. 惊讶；令人惊讶的事物
perplexed astonishment,
acceptance,n. 接纳；赞同；容忍
qualified acceptance,"na. (票据的)条件承兑
 有条件承兑；限制承兑；有规限承兑"
tentative acceptance,
approbation,n. 认可；赞许；批准
qualified approbation,
apprehension,n. 理解；恐惧；逮捕；忧惧
slight apprehension,
approval,n. 批准；认可；赞成
uncertain approval,
approving,"v. 批准；认可（approve的现在分词形式）；赞成
adj. 赞成的，满意的"
warmly approving,
analytical,adj. 分析的；解析的；善于分析的
annoyed,"v. 使烦恼；打扰（annoy的过去分词）
adj. 恼怒的；烦闷的"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
cautious,adj. 谨慎的；十分小心的
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
wary concern,
concerned,"v. 关心（concern的过去时和过去分词）；与…有关
adj. 有关的；关心的"
condescending,"adj. 表现出优越感的；居高临下的
v. 屈尊（condescend的ing形式）"
contemptuous,adj. 轻蔑的；侮辱的
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
criticism,n. 批评；考证；苛求
pointed criticism,
studious criticism,
cynical,adj. 愤世嫉俗的；冷嘲的
defensive,"n. 防御；守势
adj. 自卫的；防御用的"
deferential,adj. 恭敬的；惯于顺从的
denial,n. 否认；拒绝；节制；背弃
limited denial,
denunciatory,adj. 指责的，告发的
disappointed,adj. 失望的，沮丧的；受挫折的
bitterly disappointed, 透心凉；彻底的失望；苦涩的失望
disapproval,n. 不赞成；不喜欢
impatient disapproval,
disapproving,"v. 不赞成；不同意（disapprove的ing形式）
adj. 反对的；不赞成的"
disbelief,n. 怀疑，不信
complete disbelief,
disdainful,adj. 轻蔑的；倨傲的；鄙视的
harshly disdainful,
disenchanted,"adj. 不再着迷的；不再抱幻想的；感到幻灭的
v. 使不再着迷（disenchant的过去分词）"
disinterested,"adj. 无私的；公正的；冷漠的；廉洁的
v. 使不再有利害关系；使无兴趣（disinterest的过去分词）"
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
agitated dismay,
dismissal,n. 解雇；免职
careful dismissal,
distrustful,adj. 怀疑的；不信任的；可疑的
endorsement,n. 认可，支持；背书；签注（文件）
whole hearted endorsement,
enthusiastic,adj. 热情的；热心的；狂热的
envious,adj. 羡慕的；嫉妒的
frustrated,"v. 挫败；阻挠（frustrate的过去式和过去分词形式）
adj. 失意的，挫败的；泄气的"
hesitance,n. 踌躇；犹豫
idealistic,adj. 理想主义的；唯心论的；唯心主义者的；空想家的
indifference,n. 漠不关心；冷淡；不重视；中立
absolute indifference,
complete indifference,
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
mild interest,
interested,"v. 使…感兴趣（interest的过去分词）
adj. 感兴趣的；有权益的；有成见的"
naive,"adj. 天真的,幼稚的"
neutrality,n. 中立；中性；中立立场
scrupulous neutrality,
pragmatic,adj. 实际的；实用主义的；国事的
prejudiced,"v. 损害（prejudice的过去分词）；使抱偏见
adj. 怀偏见的；有成见的；偏颇的"
realistic,adj. 现实的；现实主义的；逼真的；实在论的
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
respectful regard,
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
relief,n. 救济；减轻，解除；安慰；浮雕
resigned,"v. 辞职；顺从（resign的过去分词）
adj. 顺从的；已辞职的；己放弃的"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
unqualified respect,
respectful,adj. 恭敬的；有礼貌的
scornful,adj. 轻蔑的
shocked,"v. 使震动（shock的过去式）
adj. 震惊的；震撼的"
profoundly shocked,
skepticism,n. 怀疑论；怀疑的态度
guarded skepticism,
hostile skepticism,
implied skepticism,
mild skepticism,
polite skepticism,
spiteful,adj. 怀恨的，恶意的
supportive,adj. 支持的；支援的；赞助的
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
mildly sympathetic,
sympathy,n. 同情；慰问；赞同
uncertain,adj. 无常的；含糊的；靠不住的；迟疑不决的
understanding,"n. 谅解，理解；理解力；协议
v. 理解；明白（understand的ing形式）
adj. 了解的；聪明的；有理解力的"
unpatriotic,adj. 不爱国的；无爱国心的
unsympathetic,adj. 不表同情的；不同情的
aggregate demand,"un. 总需求；总需要
 总需求量；总合需求；累积总需求"
backward integration,"un. 后向合并
 后向一体化；向后整合；后向整合"
bargaining chips, 是筹码的意思；谈判筹码；谈判中多挣些筹码
blue-chip,adj. 第一流的；靠得住的；独特的；蓝色筹码的
cash nexus,"un. 现金交易关系
 现金关系；金钱关系；现金网络"
chartered trading company,特许贸易公司
common year,"na. 平年
 共通课程；公历"
comparable worth, 可比价值；可比较价值；可比值
compound interest,"n. 复利
 复利息；复息；利滚利"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
cost-accounting,"na. 成本会计
 成本会计三级；管理体制"
decrease by, 减少了；下降了；减少了多少
decrease to, 减少到；下降至；减少至多少
depreciation,n. 折旧；贬值
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
dividend,n. 红利；股息； 被除数；奖金
down payment,"n. （分期付款的）首期付款；预付金；订金
 定金；首付；头期款"
downsizing,n. 精简，裁员；缩小规模
dumping ground,"n. 垃圾倾倒场
 垃圾倾倒区；垃圾堆积场；垃圾场"
economic gain,"un. 利润；经济成果
 经济增长；经济收益；经济利得"
economic rationality, 经济理性；经济合理性；理性经济行为
economic utility,经济效用
end product,"n. 制成品
 最终产品；终产物；最终产物"
exchange rates,"na. 汇率
 汇率变化；外汇汇率；汇率换算"
financial resource,"资金,资金来源;财政或财力资源"
fiscal restraint,财政紧缩
GDP per capita, 人均国内生产总值；人均国民生产总值；人均生产总值
global expansion, 全球扩张；扩张的球体；扩展的球体
guild membership,
highest bidder,"un. 出价最高者；出高价的投标人
 最高价竞买人；出最高价者；出价最高的投标人"
human capital,"un. 人力资本；人力资源
 人才资本；人力资产；人类资本"
increase by, 增加了；增长了；增加了多少
increase to, 增加到；增长到；增加到多少
in-kind,adj. 以货贷款；以实物（援助）；非现金的
intangible assets,"n. 无形资产
 无形财产；非专利技术；无形资本"
intercalary year,n. 闰年
leap year,"n. 闰年
 败犬求婚日；闰年龙；平年"
interest rate,"n. 利率
 利息率；贷款利率；贷记利息"
Internal Revenue Service,
investment vehicle, 投资媒体；投资工具；投资媒介
labor costs,"un. 工资费用
 人工成本；劳动成本；劳动力成本"
labor rates,
land tenure,"un. 土地租用；租地制度
 土地所有制；土地占有制；土地占有制度"
legal property rights,
list price,"n. 定价
 标价；原价；牌价"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
mark down,"na. 记下；减价；记清(禽兽逃往处)
 降价；写下；标价降低数"
mark up,"na. 涨价；赊账
 把…标出；标记；加价"
multinational corporation, 跨国公司；跨国企业；跨国集团
nominal GDP,
original price,"un. 原价
 原价格；原始价格；原价总值"
patent-granting,
per capita,"adj. 每人的；人均的
 按人；拉丁语人均；按人口平均计算"
physical assets,"un. 实物资产
 有形资产；实体资产；物质资产"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
production facility,"un. 生产设备
 生产设施；芯片工厂；生产装置"
productive value,生产价值
profit margin,"n. 利润率；净收益率
 利润幅度；边际利润；毛利率"
purchasing power,"n. （人民的）购买力；（货币的）购买力
 购买商品的能力；货币购买力；购买能力"
purchasing price,"un. 收购价格
 买价；购买价格；买入价"
ratio,n. 比率，比例
rational expectations theory,
real GDP, 实际国内生产总值；实质国内生产毛额；实质国内生产总值
retail price,"un. 零售价格
 批发价；零售价目；市价"
rotating credit associations,
sale price,"na. 廉价
 售价；卖价；销售价格"
service industry,"na. 服务性行业
 服务业；服务行业；服务产业"
simple interest,"n. 单利
 单利息；单利计息；单利法"
supplier relations,
target market,"un. 目标市场
 目标消费群；选择目标市场；目标市场客群"
tax incentive,"un. 税收鼓励
 税收激励；租税激励；税收鼓励作用"
the Small Business Administration, 小企业管理局；美国小企业管理署；美国小型企业协会
SBA,
tie to,"na. 倚靠；迷恋
 与…联系在一起；信赖；依靠"
trading post,"n. （尤指北美旧时偏远地区的）贸易站
 交易站；商栈；贸易港"
trust land,
venture capital,"n. 风险投资
 风险资本；创业投资；风险基金"
write off,"na. 注销(债款等)；报废；提笔就写(文章等)；减低资产账面额
 勾销；取消；冲销"
alkaline,adj. 碱性的，碱的
analog recording,"un. 模拟记录；模拟式录音
 模拟录制；模拟录制模式；模拟录音"
digital recording,"n. 数字录制品
 数字录音；数字记录；高品质录音"
argon,n.  氩（18号元素）
arsenic,"n. 砷；砒霜；三氧化二砷
adj. 砷的；含砷的"
asphalt,"n. 沥青；柏油
adj. 用柏油铺成的
vt. 以沥青铺"
atom,n. 原子
baryonic,adj. 重子的
cannabinoid,n. 大麻的化学成分（可指任何一种，如大麻醇、四氢大麻醇等）
carton,"n. 纸板箱；靶心白点
vt. 用盒包装
vi. 制作纸箱"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
chlorofluorocarbon,n.  含氯氟烃
draftsman,n.  绘图员；起草者；立案者
dust particle,"un. 尘粒
 微尘；尘埃粒子；粉尘粒子"
electric charge,"na. 电荷
 电量；电费；充电"
electromagnetic radiation,"na. 电磁辐射
 电磁波；电磁放射；电磁幅射"
electron,n. 电子
ethylene,n. 乙烯
evaporative cooling,"un. 蒸发冷却
 蒸发式冷却；蒸发降温；蒸发式冷气"
ferrous metal,"un. 黑色金属；铁类金属
 含铁金属；铁族金属；黑金属"
formaldehyde,n. 蚁醛， 甲醛
gamma ray,"na. 光(量)子；γ 射线
 伽玛射线；伽马射线；加马射线"
helium,n.  氦（符号为He，2号元素）
high-energy particle,高能粒子
hydrocarbon,n.  碳氢化合物
ilmenite,n.  钛铁矿
inertia theory,
ion,n.  离子
isotope,n. 同位素
Kelvin,"n. 开尔文（英国物理学家，数学家）；凯尔文（男子名）；绝对温标
adj. 开氏度的（常作K-）"
methane,n.  甲烷； 沼气
molecule,n.  分子；微小颗粒，微粒
morphogenetic,adj. 有关形态发生的，有关器官形成的
morphological,adj. 形态学的
muon,n.  μ介子
neutrino,中微子
neutron star,"na. 中子星
 成中子星；脉冲星中子星；中子星座"
neutron,n.  中子
nucleons,n.  核子
particle,n. 颗粒； 质点；极小量；小品词
phosphate fertilizer,"na. 磷肥
 求购磷肥"
phosphate,n. 磷酸盐；皮膜化成
phosphodiesterase,n.  磷酸二酯酶
photon,n.  光子；辐射量子；见光度（等于light quantum）
plutonium,n.  钚（94号元素）
potassium,n.  钾
protein synthesis,"un. 蛋白质合成
 蛋白质的合成；蛋白合成；合成蛋白质"
protons,n.  质子；氢核（proton的复数）
quantizing error,量化误差
radiometric,adj. 放射性测量的；辐射度的；辐射测量的
ramjet,n.  冲压式喷气发动机
sampling error,"n. 采样误差（所抽样本不具备代表性）
 抽样误差；取样误差；样本误差"
scramjet,n. 超音速燃烧冲压喷气发动机
sulphate,"n. 硫酸盐
vt. 使与硫酸化合
vi. 硫酸盐化"
The Montreal Protocol,
white lead,"na. 碱式碳酸铅；铅粉
 铅白；白铅矿；白铅粉"
accretion disks, 吸积盘；吸聚盘；积吸盘
big bang,
cataclysmic variable,激变变星
coral reef,"n. 珊瑚礁
 海底珊瑚礁；美国珊瑚礁；礁墙"
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
galactic nebula,n. 银河星云
galactic nucleus,星系核
gas clouds,
Gemini,
globular cluster, 球状星团；里球状星团；球状星团中心
halo,"n. 光环；荣光
vt. 使有晕轮；围以光环
vi. 成晕轮"
high tide,"n. 满潮
 高潮；涨潮；高潮时间"
low tide,"n. 低潮
 退潮；乾潮；低潮期"
meridian,"adj. 子午线的；最高点的
n.  子午线， 经线；顶点"
meteor shower,"un. 流星雨
 一起来看流星雨；陨石雨；流星术"
meteor stream, 流星群
obsidian,n. 黑曜石
orbital energy,"轨道能量,轨函能量"
parallax,n. 视差；著名的影视编辑软件
photoperiod,n. 光周期
planetary gravitational field,行星重力场
Pleistocene,n. 更新世；更新世岩
protogalaxy,n. 原星系
pulsar,n. 脉冲星
quasar,n.  类星体；恒星状球体
radio galaxy, 射电星系
rock plates,
rock salt,"n. 岩盐；石盐
 粗盐；盐岩；矿盐"
sierra,n.  锯齿山脊；呈齿状起伏的山脉
solar system,"n. 太阳系；类太阳系
 太阳能系统；太阳系统；太阳系统炮"
solar-day,
spiral galaxies,"un. 螺旋状星系
 螺旋星系；螺旋状的银河系；旋涡星系"
stratosphere,n. 同温层；最上层；最高阶段
subsurface geology,地下地质学
the Milky Way,"un. 银河
 银河系；牛奶路；银汉"
tidal cycle,潮汐周期
white dwarf star,un. 白矮星
adenosine,n. 腺苷，腺甘酸
aerobic,adj. 需氧的；增氧健身法的
aflatoxin,n.  黄曲霉毒素
amino acid,"n. 氨基酸
 胺基酸；天然胺基酸；氨基酸矿物质微量元素"
anaerobe,n. 厌氧性生物
anaerobic,adj.  厌氧的， 厌气的；没有气而能生活的
anaerobic metabolism,"un. 缺氧代谢
 无氧代谢；厌氧代谢；无氧新陈代谢"
biocontrol agents,
cell elongation,"un. 细胞伸长；泡孔伸长
 细胞延长；细胞加长；细胞壁扩增"
cell nucleus,"na. 细胞核；窝
 细胞核里面"
cytoplasm,n.  细胞质
endorphin,n. 脑内啡
eukaryote,n. 真核细胞（等于eucaryote）
eukaryotic,adj. 真核的，真核生物的
histidine,n.  组氨酸
intracellular,adj. 细胞内的
lactic acid,"n. 乳酸
 L-乳酸；血乳酸；乳酸配方"
leucine,n.  亮氨酸；白氨酸
lipoprotein,n.  脂蛋白
macrophage,n.  巨噬细胞
messenger RNA,"na. 信使核糖核酸
 传讯核糖核酸；讯息核醣核酸；传信息核糖核酸"
molecular biology,"na. 分子生物学
 生物分子学；分子生物学试剂；分子生物学系"
nucleotide,n. 核苷；核甘酸
organelle,n.  细胞器；细胞器官
ovarian follicle,"un. 卵泡；卵巢滤泡
 卵巢濾泡；卵巢内名为卵泡；排卵后之滤泡"
peptide,n. 肽
pheromone,n. 信息素（用于生化领域）；费洛蒙（昆虫分泌以刺激同种昆虫之化合物质）
plasma cell,"un. 浆细胞
 原生质细胞；血浆细胞；形质细胞"
polymorph,n.  多形体；同质异像体
prokaryotic cell,"un. 前核细胞
 原核细胞；原核生物细胞；真核细胞原核细胞"
