triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
remnant,"n. 剩余
adj. 剩余的"
gracious,"adj. 亲切的；高尚的；和蔼的；雅致的
int. 天哪；哎呀"
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
harassment,n. 骚扰；烦恼
rescue,"n. 营救；援救；解救
vt. 营救；援救"
restrain,vt. 抑制，控制；约束；制止
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
authority,n. 权威；权力；当局
attitude,n. 态度；看法；意见；姿势
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
counterpart,n. 副本；配对物；极相似的人或物
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
create,vt. 创造，创作；造成
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
criterion,n. （批评判断的）标准；准则；规范；准据
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
decimal,"n. 小数
adj. 小数的；十进位的"
depict,vt. 描述；描画
masculine,"adj. 男性的；阳性的；男子气概的
n. 男性；阳性，阳性词"
obstacle,n. 障碍，干扰；妨害物
elite,n. 精英；精华；中坚分子
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
doctrine,n. 主义；学说；教义；信条
convey,vt. 传达；运输；让与
domain,n. 领域；域名；产业；地产
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
appraisal,n. 评价；估价（尤指估价财产，以便征税）；估计
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
council,n. 委员会；会议；理事会；地方议会；顾问班子
tremendous,adj. 极大的，巨大的；惊人的；极好的
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
comparable,adj. 可比较的；比得上的
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
trade-off,n. 交换，交易；权衡；协定
corridor,走廊
application,n. 应用；申请；应用程序；敷用
tragic,adj. 悲剧的；悲痛的，不幸的
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
artistic,adj. 艺术的；风雅的；有美感的
as,"conj. 因为；随着；虽然；依照；当…时
prep. 如同；当作；以…的身份
adv. 同样地；和…一样的"
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
coward,"n. 懦夫，懦弱的人
adj. 胆小的，懦怯的"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
tremble,"n. 颤抖；战栗；摇晃
vi. 发抖；战栗；焦虑；摇晃
vt. 使挥动；用颤抖的声音说出"
subsidy,n. 补贴；津贴；补助金
physician,n.  医师；内科医师
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
ashore,"adj. 在岸上的；在陆上的
adv. 在岸上；向岸"
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
trivial,adj. 不重要的，琐碎的；琐细的
appetite,n. 食欲；嗜好
coincidence,n. 巧合；一致；同时发生
suburb,n. 郊区；边缘
later,"adv. 后来；稍后；随后
adj. 更迟的；更后的"
latent,adj. 潜在的；潜伏的；隐藏的
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
magnitude,n. 大小；量级； 震级；重要；光度
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
nationality,n. 国籍，国家；民族；部落
navigation,n. 航行；航海
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
pant,"n. 气喘；喘息；喷气声
vt. 气喘
vi. 喘息；渴望；气喘吁吁地说出某事"
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
classify,vt. 分类；分等
clause,n. 条款； 子句
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
anticipate,vt. 预期，期望；占先，抢先；提前使用
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
pave,vt. 铺设；安排；作铺设之用
convince,vt. 说服；使确信，使信服
utter,"adj. 完全的；彻底的；无条件的
vt. 发出，表达；发射"
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi.  调谐；协调"
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
monopoly,n. 垄断；垄断者；专卖权
vain,adj. 徒劳的；自负的；无结果的；无用的
volt,n. 伏特（电压单位）；环骑；闪避
ample,adj. 丰富的；足够的；宽敞的
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
anniversary,n. 周年纪念日
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
vague,adj. 模糊的；含糊的；不明确的；暧昧的
civilize,"vt. 使文明；教化；使开化
vi. 变得文明"
utilize,vt. 利用
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
penalty,n. 罚款，罚金；处罚
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
tendency,n. 倾向，趋势；癖好
thrive,vi. 繁荣，兴旺；茁壮成长
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
valid,adj. 有效的；有根据的；合法的；正当的
assess,vt. 评定；估价；对…征税
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
syndrome,n.  综合症状；并发症状；校验子；并发位
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
verify,vt. 核实；查证
versatile,adj. 多才多艺的；通用的，万能的；多面手的
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
chaos,n. 混沌，混乱
astonish,vt. 使惊讶
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
bosom,"n. 胸；胸怀；中间；胸襟；内心；乳房；内部
adj. 知心的；亲密的
vt. 怀抱；把…藏在心中"
census,"n. 人口普查，人口调查
vt. 实施统计调查"
climate,n. 气候；风气；思潮；风土
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
bonus,n. 奖金；红利；额外津贴
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
currency,n. 货币；通货
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
deficit,n. 赤字；不足额
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
loosen,"vt. 放松；松开
vi. 放松；松开"
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
militant,"adj. 好战的
n. 富有战斗性的人；好斗者；激进分子"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
coalition,n. 联合；结合，合并
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
campus,n. （大学）校园；大学，大学生活；校园内的草地
capacity,n. 能力；容量；资格，地位；生产力
differentiate,"vt. 区分，区别
vi. 区分，区别"
occasional,adj. 偶然的；临时的；特殊场合的
opt,vi. 选择
palm,"n. 手掌；棕榈树；掌状物
vt. 将…藏于掌中"
parcel,"n. 包裹，小包
vt. 打包；捆扎"
worth,"n. 价值；财产
adj. 值…的"
adapt,"vi. 适应
vt. 使适应；改编"
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
obtain,"vi. 获得；流行
vt. 获得"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
aviation,n. 航空；飞行术；飞机制造业
mourn,v. 哀悼；忧伤；服丧
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
pollute,vt. 污染；玷污；败坏
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
tempo,n. 速度，发展速度；拍子
aggravate,vt. 加重；使恶化；激怒
ancestor,n. 始祖，祖先；被继承人
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
subsequent,adj. 后来的，随后的
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
tropical,adj. 热带的；热情的；酷热的
anguish,"n. 痛苦；苦恼
vt. 使极度痛苦
vi. 感到极度的痛苦"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
bewilder,vt. 使迷惑，使不知所措
applicable,adj. 可适用的；可应用的；合适的
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
appliance,n. 器具；器械；装置
plea,n. 恳求，请求；辩解，辩护；借口，托辞
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
plural,"n. 复数
adj. 复数的"
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
masterpiece,n. 杰作；绝无仅有的人
burnish,"n. 光泽；抛光；闪闪发光
vt. 擦亮；使…光亮；将…打磨光亮
vi. 磨光发亮"
disservice,n. 伤害；帮倒忙的行为；不亲切的行为；虐待
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
strategy,n. 战略，策略
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
testify,"vi. 作证；证明
vt. 证明，证实；作证"
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
aural,adj. 听觉的；耳的；气味的；先兆的
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
commodity,n. 商品，货物；日用品
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
comprise,vt. 包含；由…组成
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
despise,vt. 轻视，鄙视
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
destiny,n. 命运，定数，天命
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
dine,"vi. 进餐，用餐
vt. 宴请"
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
complicate,vt. 使复杂化；使恶化；使卷入
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
exceptional,"n. 超常的学生
adj. 异常的，例外的"
excessive,adj. 过多的，极度的；过分的
compatible,adj. 兼容的；能共处的；可并立的
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
formula,n.  公式，准则；配方；婴儿食品
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
fragile,adj. 脆的；易碎的
futile,adj. 无用的；无效的；没有出息的；琐细的；不重要的
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
guilty,adj. 有罪的；内疚的
heritage,n. 遗产；传统；继承物；继承权
hypocrisy,n. 虚伪；伪善
hypothesis,n. 假设
hysterical,adj. 歇斯底里的；异常兴奋的
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
impair,vt. 损害；削弱；减少
impart,vt. 给予（尤指抽象事物），传授；告知，透露
incidence,n. 发生率；影响； 入射；影响范围
incredible,adj. 难以置信的，惊人的
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
interpret,"vi. 解释；翻译
vt. 说明；口译"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
irrespective,adj. 无关的；不考虑的；不顾的
jury,"n.  陪审团；评判委员会
adj. 应急的"
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
mercy,n. 仁慈，宽容；怜悯；幸运；善行
oppose,"vt. 反对；对抗，抗争
vi. 反对"
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
prosperous,adj. 繁荣的；兴旺的
concede,"vi. 让步
vt. 承认；退让；给予，容许"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
illusion,n. 幻觉，错觉；错误的观念或信仰
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
concession,n. 让步；特许（权）；承认；退位
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
emotion,n. 情感；情绪
interference,n. 干扰，冲突；干涉
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
tolerance,n. 公差；宽容；容忍；公差
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
disposal,n. 处理；支配；清理；安排
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
shove,"n. 推；挤
vt. 挤；强使；撞；猛推"
plight,"n. 困境；境况；誓约
vt. 保证；约定"
confirm,vt. 确认；确定；证实；批准；使巩固
royalty,n. 皇室；版税；王权；专利税
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
fabricate,vt. 制造；伪造；装配
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
confusion,n. 混淆，混乱；困惑
mosquito,n. 蚊子
avert,vt. 避免，防止；转移
municipal,adj. 市政的，市的；地方自治的
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
romance,"n. 传奇；浪漫史；风流韵事；冒险故事
vi. 虚构；渲染；写传奇"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
consecutive,adj. 连贯的；连续不断的
undermine,vt. 破坏，渐渐破坏；挖掘地基
transcend,vt. 胜过，超越
conservation,n. 保存，保持；保护
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
overhear,"vt. 无意中听到；偷听
vi. 无意中听到；偷听到"
variation,n. 变化； 变异，变种
endow,vt. 赋予；捐赠；天生具有
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
constitute,vt. 组成，构成；建立；任命
resemble,vt. 类似，像
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
scrutiny,n. 详细审查；监视；细看；选票复查
eliminate,vt. 消除；排除
adult,"n. 成年人
adj. 成年的；成熟的"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
survival,n. 幸存，残存；幸存者，残存物
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
subtract,vt. 减去；扣掉
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
convention,n. 大会； 惯例； 约定； 协定；习俗
conversely,adv. 相反地
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
economic,adj. 经济的，经济上的；经济学的
necessitate,vt. 使成为必需，需要；迫使
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
version,n. 版本；译文；倒转术
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
awful,adj. 可怕的；极坏的；使人敬畏的
execute,vt. 实行；执行；处死
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
definite,adj. 一定的；确切的
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
derive,"vt. 源于；得自；获得
vi. 起源"
deserve,"vi. 应受，应得
vt. 应受，应得"
devote,vt. 致力于；奉献
detain,vt. 拘留；留住；耽搁
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
