survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
council,n. 委员会；会议；理事会；地方议会；顾问班子
legal,adj. 法律的；合法的；法定的；依照法律的
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
justice,n. 司法，法律制裁；正义；法官，审判员
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
legislation,n. 立法；法律
penalty,n. 罚款，罚金；处罚
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
testify,"vi. 作证；证明
vt. 证明，证实；作证"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
guilty,adj. 有罪的；内疚的
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
crowded,"adj. 拥挤的；塞满的
v. 拥挤（crowd的过去分词）"
population,n. 人口； 种群， 群体；全体居民
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
faculty,n. 科，系；能力；全体教员
elite,n. 精英；精华；中坚分子
audience,n. 观众；听众；读者；接见；正式会见；拜会
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
middle-class,adj. 中产阶级的；中层社会的
committee,n. 委员会
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
management,n. 管理；管理人员；管理部门；操纵；经营手段
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
administration,n. 管理；行政；实施；行政机构
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
regulate,vt. 调节，规定；控制；校准；有系统的管理
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
arrangement,n. 布置；整理；准备
industry,n. 产业；工业；勤勉
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
service,"n. 服务，服侍；服役；仪式
adj. 服务性的；耐用的；服现役的
vt. 维修，检修；保养"
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
agriculture,n. 农业；农耕；农业生产；农艺，农学
agricultural,adj. 农业的；农艺的
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
profitable,adj. 有利可图的；赚钱的；有益的
nonprofit,adj. 非盈利的；不以盈利为目的的
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
beneficial,adj. 有益的，有利的；可享利益的
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
mathematics,n. 数学；数学运算
scientific,adj. 科学的，系统的
philosophy,n. 哲学；哲理；人生观
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
mechanics,n. 力学（用作单数）；结构；技术；机械学（用作单数）
geological,adj. 地质的，地质学的
physics,n. 物理学；物理现象
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
physicist,n. 物理学家；唯物论者
biology,n. （一个地区全部的）生物；生物学
biologist,n. 生物学家
chemistry,n. 化学；化学过程
chemical,"n. 化学制品，化学药品
adj. 化学的"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
colleague,n. 同事，同僚
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
failure,n. 失败；故障；失败者；破产
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
risky,adj. 危险的；冒险的；（作品等）有伤风化的
loss,n. 减少；亏损；失败；遗失
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
poverty,n. 贫困；困难；缺少；低劣
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
unfortunately,adv. 不幸地
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
extinction,n. 灭绝；消失；消灭；废止
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
victim,n. 受害人；牺牲品；牺牲者
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
worsen,"vi. 恶化；变得更坏；更坏
vt. 使恶化；使变得更坏"
disaster,n. 灾难，灾祸；不幸
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
needy,adj. 贫困的；贫穷的；生活艰苦的
endangered,adj. 濒临灭绝的；有生命危险的
painful,adj. 痛苦的；疼痛的；令人不快的
embarrass,vt. 使局促不安；使困窘；阻碍
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号
adj. 某一时代的"
decade,n. 十年，十年期；十
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
long-term,"adj. 长期的
从长远来看"
generation,n. 一代；产生；一代人；生殖
century,n. 世纪，百年；（板球）一百分
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
era,n. 时代；年代；纪元
transition,n. 过渡；转变； 转换；变调
semester,n. 学期；半年
lifetime,"n. 一生；寿命；终生；使用期
adj. 一生的；终身的"
lifelong,adj. 终身的
part-time,"adj. 兼职的；部分时间的
adv. 兼职地；用部分时间地"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
temporarily,adv. 临时地，临时
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
within,"prep. 在…之内
n. 里面
adv. 在内部"
further,"adj. 更远的；深一层的
vt. 促进，助长；增进
adv. 进一步地；而且；更远地"
closely,adv. 紧密地；接近地；严密地；亲近地
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
front,"n. 前面；正面；前线
adj. 前面的；正面的
vt. 面对；朝向；对付
vi. 朝向
adv. 在前面；向前"
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
amid,prep. 在其中，在其间
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
upward,"adj. 向上的；上升的
adv. 向上"
downward,"adj. 向下的，下降的
adv. 向下"
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
beneath,"prep. 在…之下
adv. 在下方"
situation,n. 情况；形势；处境；位置
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
environmental,adj. 环境的，周围的；有关环境的
environmentalist,n. 环保人士；环境论者；研究环境问题的专家
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
instance,"n. 实例；情况；建议
vt. 举...为例"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
circumstance,n. 环境，情况；事件；境遇
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
atmosphere,n. 气氛；大气；空气
symptom,n.  症状；征兆
phenomenon,n. 现象；奇迹；杰出的人才
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
eventually,adv. 最后，终于
consequence,n. 结果；重要性；推论
outcome,n. 结果，结局；成果
constitute,vt. 组成，构成；建立；任命
ultimately,adv. 最后；根本；基本上
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
while,"conj. 虽然；然而；当……的时候
n. 一会儿；一段时间
vt. 消磨；轻松地度过"
meanwhile,"adv. 同时，其间
n. 其间，其时"
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
deadline,n. 截止期限，最后期限
old-fashioned,adj. 老式的；过时的；守旧的
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
latter,adj. 后者的；近来的；后面的；较后的
meantime,"n. 其时，其间
adv. 同时；其间"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
suffering,"n. 受难；苦楚
v. 受苦；蒙受（suffer的ing形式）
adj. 受苦的；患病的"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
undergo,vt. 经历，经受；忍受
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
tolerate,vt. 忍受；默许；宽恕
event,n. 事件，大事；项目；结果
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
challenging,"v. 要求；质疑；反对；向…挑战；盘问（challenge的ing形式）
adj. 挑战的；引起挑战性兴趣的"
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
matter,"n. 物质；事件
vi. 有关系；要紧"
accident,n. 事故；意外； 意外事件；机遇
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
therefore,adv. 因此；所以
thereby,adv. 从而，因此；在那附近；在那方面
sake,n. 目的；利益；理由；日本米酒
hence,adv. 因此；今后
exist,vi. 存在；生存；生活；继续存在
existing,"adj. 目前的；现存的
v. 存在（exist的现在分词）"
existence,n. 存在，实在；生存，生活；存在物，实在物
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
presence,n. 存在；出席；参加；风度；仪态
presentation,n. 展示；描述，陈述；介绍；赠送
available,adj. 可获得的；可购得的；可找到的；有空的
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
survival,n. 幸存，残存；幸存者，残存物
absence,n. 没有；缺乏；缺席；不注意
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
destroy,vt. 破坏；消灭；毁坏
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热"
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
disruption,n. 破坏，毁坏；分裂，瓦解
deteriorate,"vi. 恶化，变坏
vt. 恶化"
deterioration,n. 恶化；退化；堕落
destructive,adj. 破坏的；毁灭性的；有害的，消极的
undermine,vt. 破坏，渐渐破坏；挖掘地基
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
theft,n. 盗窃；偷；赃物
violation,n. 违反；妨碍，侵害；违背；强奸
devastating,"adj. 毁灭性的；全然的
v. 摧毁（devastate的ing形式）；毁坏"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
gradually,adv. 逐步地；渐渐地
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
evolution,n. 演变；进化论；进展
evolutionary,adj. 进化的；发展的；渐进的
procedure,n. 程序，手续；步骤
childhood,n. 童年时期；幼年时代
adulthood,n. 成年；成人期
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
historical,adj. 历史的；史学的；基于史实的
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
teen,"n. 青少年（等于teenager）；愤怒；悲哀
adj. 十几岁的（等于teenaged）"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
retirement,n. 退休，退役
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
youth,n. 青年；青春；年轻；青少年时期
youngster,n. 年轻人；少年
elderly,adj. 上了年纪的；过了中年的；稍老的
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
task,"n. 工作，作业；任务
vt. 分派任务"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
nowadays,"adv. 现今；时下
n. 当今"
recent,adj. 最近的；近代的
recently,adv. 最近；新近
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
currently,adv. 当前；一般地
ongoing,"adj. 不间断的，进行的；前进的
n. 前进；行为，举止"
up-to-date,adj. 最新的，最近的；现代的，新式的
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
version,n. 版本；译文；倒转术
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
monthly,"adj. 每月的，每月一次的；有效期为一个月的
n. 月刊
adv. 每月，每月一次"
edition,"n. 版本
版次
集"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
maintain,vt. 维持；继续；维修；主张；供养
maintenance,n. 维护，维修；保持；生活费用
retain,vt. 保持；雇；记住
sustain,vt. 维持；支撑，承担；忍受；供养；证实
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
unsustainable,adj. 无法支撑的；不可证实的；不能成立的
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
single,"n. 一个；单打；单程票
adj. 单一的；单身的；单程的
vt. 选出
vi. 击出一垒安打"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
privacy,n. 隐私；秘密；隐居；隐居处
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
basis,n. 基础；底部；主要成分；基本原则或原理
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
foundation,n. 基础；地基；基金会；根据；创立
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
controversy,n. 争论；论战；辩论
confront,vt. 面对；遭遇；比较
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
defend,"vi. 保卫；防守
vt. 辩护；防护"
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
meaningful,adj. 有意义的；意味深长的
indicate,vt. 表明；指出；预示；象征
indicator,n. 指示器； 指示剂； 指示符；压力计
indication,n. 指示，指出；迹象；象征
imply,vt. 意味；暗示；隐含
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
appear,vi. 出现；显得；似乎；出庭；登场
appearance,n. 外貌，外观；出现，露面
occur,vi. 发生；出现；存在
emerge,vi. 浮现；摆脱；暴露
weakness,n. 弱点；软弱；嗜好
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
recession,n. 衰退；不景气；后退；凹处
shortage,n. 缺乏，缺少；不足
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
disadvantage,n. 缺点；不利条件；损失
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
downside,"n. 负面，缺点；下降趋势；底侧
adj. 底侧的"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
arise,vi. 出现；上升；起立
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
occasionally,adv. 偶尔；间或
immediate,adj. 立即的；直接的；最接近的
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
instantly,"conj. 一…就…
adv. 立即地；马上地；即刻地"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
various,adj. 各种各样的；多方面的
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
alter,"vt. 改变，更改
vi. 改变；修改"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
scene,n. 场面；情景；景象；事件
visual,adj. 视觉的，视力的；栩栩如生的
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
moreover,adv. 而且；此外
addition,n. 添加； 加法；增加物
additional,adj. 附加的，额外的
altogether,"n. 整个；裸体
adv. 完全地；总共；总而言之"
furthermore,adv. 此外；而且
besides,"prep. 除…之外
adv. 此外；而且"
source,n. 来源；水源；原始资料
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
derive,"vt. 源于；得自；获得
vi. 起源"
origin,n. 起源；原点；出身；开端
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
tradition,n. 惯例，传统；传说
accustomed,"v. 使习惯于（accustom的过去分词）
adj. 习惯的；通常的；独有的"
addiction,n. 上瘾，沉溺；癖嗜
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
area,n. 区域，地区；面积；范围
global,adj. 全球的；总体的；球形的
globalization,n. 全球化
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
community,n. 社区； 群落；共同体；团体
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
region,n. 地区；范围；部位
regional,adj. 地区的；局部的；整个地区的
worldwide,"adj. 全世界的
adv. 在世界各地"
foreign,adj. 外国的；外交的；异质的；不相关的
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
urban,adj. 城市的；住在都市的
rural,adj. 农村的，乡下的；田园的，有乡村风味的
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
pool,"n. 联营；撞球；水塘；共同资金
vt. 合伙经营
vi. 联营，合伙经营"
tropical,adj. 热带的；热情的；酷热的
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
village,n. 村庄；村民；（动物的）群落
boundary,n. 边界；范围；分界线
zone,  地带、地区（德语）
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
neighborhood,n. 附近；街坊；接近；街区
colony,n. 殖民地；移民队；种群；动物栖息地
countryside,n. 农村，乡下；乡下的全体居民
district,n. 区域；地方；行政区
restaurant,n. 餐馆； 饭店
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
campus,n. （大学）校园；大学，大学生活；校园内的草地
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
lab,n. 实验室，研究室
grocery,"n. 食品杂货店
食品杂货"
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
apartment,n. 公寓；房间
hill,n. 小山；丘陵；斜坡；山冈
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
lake,"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解"
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
laboratory,n. 实验室，研究室
church,"n. 教堂；礼拜；教派
adj. 教会的；礼拜的
vt. 领…到教堂接受宗教仪式"
factory,n. 工厂；制造厂；代理店
infrastructure,n. 基础设施；公共建设；下部构造
checkout,n. 检验；签出；结账台；检出
roof,"n. 屋顶；最高处，顶部；最高限度
vt. 给…盖屋顶，覆盖"
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
farmland,n. 农田
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
