recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
peep,"n. 偷看；隐约看见，瞥见
vi. 窥视；慢慢露出，出现；吱吱叫
vt. 使出现"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
dwell,vi. 居住；存在于；细想某事
hitherto,adv. 迄今；至今
summon,vt. 召唤；召集；鼓起；振作
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
prone,adj. 俯卧的；有…倾向的，易于…的
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
mindset,n. 心态；倾向；习惯；精神状态
mastermind,"vt. 策划
n. 优秀策划者；才子"
remind,vt. 提醒；使想起
reminiscence,n. 回忆；怀旧；引起联想的相似事物
reminiscent,"n. 回忆录作者；回忆者
adj. 怀旧的，回忆往事的；耽于回想的"
mentor,"n. 指导者，良师益友
vt. 指导"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
commentary,n. 评论；注释；评注；说明
commentator,n. 评论员，解说员；实况播音员；时事评论者
describe,vt. 描述，形容；描绘
ascribe,vt. 归因于；归咎于
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
subscription,n. 捐献；订阅；订金；签署
transcribe,vt. 转录；抄写
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
transcript,n. 成绩单；抄本，副本；文字记录
scrub,"n. 矮树；洗擦；擦洗者；矮小的人（或物）
vt. 用力擦洗；使净化
vi. 擦洗；进行手臂消毒
adj. 矮小的；临时凑合的；次等的"
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
sit,"vi. 坐；位于
vt. 使就座"
situate,"adj. 位于…的
vt. 使位于；使处于"
situated,"v. 使位于；使处于（situate的过去分词）
adj. 位于…的；处于…境遇的"
dissident,"n. 持不同政见者，意见不同的人
adj. 持不同政见的，意见不同的"
preside,"vi. 主持，担任会议主席
vt. 管理"
president,n. 总统；董事长；校长；主席
presidential,adj. 总统的；首长的；统辖的
reside,vi. 住，居住；属于
residence,n. 住宅，住处；居住
resident,"n. 居民；住院医生
adj. 居住的；定居的"
residential,adj. 住宅的；与居住有关的
saddle,"n. 鞍，鞍状物；车座；拖具
vt. 承受；使负担；装以马鞍
vi. 跨上马鞍"
subside,vi. 平息；减弱；沉淀；坐下
subsidy,n. 补贴；津贴；补助金
subsidiary,"n. 子公司；辅助者
adj. 附属的；辅助的"
legal,adj. 法律的；合法的；法定的；依照法律的
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
legalize,vt. 使合法化；公认；法律上认为…正当
legalise,vt. 使合法化（等于legalize）
legacy,n. 遗赠，遗产
legislate,"vt. 用立法规定；通过立法
vi. 立法；制定法律"
legislation,n. 立法；法律
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
ambulance,n.  救护车；战时流动医院
ambassador,n. 大使；代表；使节
embassy,n. 大使馆；大使馆全体人员
ambiguous,adj. 模糊不清的；引起歧义的
ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排"
linear,adj. 线的，线型的；直线的，线状的；长度的
liner,n. 班轮，班机；衬垫；画线者
pipeline,n. 管道；输油管；传递途径
skyline,"n. 地平线；空中轮廓线；架空索
vt. 天空映衬出…的轮廓"
streamline,"n. 流线；流线型
vt. 把…做成流线型；使现代化；组织；使合理化；使简单化
adj. 流线型的"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
linen,"n. 亚麻布，亚麻线；亚麻制品
adj. 亚麻的；亚麻布制的"
human,"n. 人；人类
adj. 人的；人类的"
humane,adj. 仁慈的，人道的；高尚的
humanism,"n. 人道主义
adj. 人文主义的；人道主义的"
humanist,"n. 人道主义者；人类学者，人文学者；人文主义者
adj. 人文主义的；人道主义的"
humanity,n. 人类；人道；仁慈；人文学科
humanitarian,"n. 人道主义者；慈善家；博爱主义者；基督凡人论者
adj. 人道主义的；博爱的；基督凡人论的"
humankind,n. 人类（总称）
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
humiliate,vt. 羞辱；使…丢脸；耻辱
humid,adj. 潮湿的；湿润的；多湿气的
humidity,n.  湿度；湿气
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
exclamation,n. 感叹；惊叫；惊叹词
proclaim,vt. 宣告，公布；声明；表明；赞扬
proclamation,n. 公告；宣布；宣告；公布
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
uphold,vt. 支撑；鼓励；赞成；举起
hold-up,n. 停顿；耽误；抢劫
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
holder,n. 持有人；所有人；固定器；（台、架等）支持物
shareholder,n. 股东；股票持有人
stockholder,n. 股东；股票持有人
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
refusal,n. 拒绝；优先取舍权；推却；取舍权
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
fusion,n. 融合；熔化；熔接；融合物； 核聚变
quench,"vt. 熄灭， 淬火；解渴；结束；冷浸
vi. 熄灭；平息"
rape,"n. 强奸，掠夺； 油菜；葡萄渣
vt. 强奸；掠夺，抢夺
vi. 犯强奸罪"
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
sober,"adj. 冷静的，清醒的；未醉的
vt. 使严肃；使醒酒，使清醒"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
plea,n. 恳求，请求；辩解，辩护；借口，托辞
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
savage,"n. 未开化的人；粗鲁的人；残暴成性的人
adj. 野蛮的；残酷的；狂怒的；荒凉的
vt. 乱咬；粗暴的对待"
grease,"n. 油脂；贿赂
vt. 涂脂于；贿赂"
cemetery,n. 墓地；公墓
epoch,n.  世；新纪元；新时代；时间上的一点
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
lash,"vt. 鞭打；冲击；摆动；扎捆；煽动；讽刺
vi. 鞭打；猛击；急速甩动
n. 鞭打；睫毛；鞭子；责骂；讽刺"
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
stun,"n. 昏迷；打昏；惊倒；令人惊叹的事物
vt. 使震惊；打昏；给以深刻的印象"
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
momentum,n. 势头； 动量；动力；冲力
howl,"n. 嗥叫；怒号；嚎哭
vt. 狂喊着说；对…吼叫
vi. 咆哮；怒吼；狂吠"
chunk,n. 大块；矮胖的人或物
tickle,"n. 胳肢；痒感；使人发痒、高兴的东西
vt. 使发痒；使高兴；使满足
vi. 觉得痒；（东西）使人发痒"
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
abundant,adj. 丰富的；充裕的；盛产
abundance,n. 充裕，丰富
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
accusation,n. 控告，指控；谴责
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
admittedly,adv. 公认地；无可否认地；明白地
afford,vt. 给予，提供；买得起
affordable,adj. 负担得起的
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
annoyance,n. 烦恼；可厌之事；打扰
appal,"vt. 使惊骇；惊吓
vi. 减弱；变得苍白；令人发腻"
appall,vt. 使胆寒；使惊骇
appalling,"adj. 可怕的；令人震惊的
v. 使惊愕；惊吓（appal的ing形式）"
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
assert,vt. 维护，坚持；断言；主张；声称
assertive,adj. 肯定的；独断的；坚定而自信的
assure,vt. 保证；担保；使确信；弄清楚
reassure,vt. 使…安心，使消除疑虑
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
athlete,n. 运动员，体育家；身强力壮的人
athletic,adj. 运动的，运动员的；体格健壮的
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
beware,"vt. 注意，当心；提防
vi. 当心，小心"
bed,"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层"
embed,vt. 栽种；使嵌入，使插入；使深留脑中
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
boastful,adj. 自夸的；自负的；喜夸耀的
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
embody,vt. 体现，使具体化；具体表达
botany,n. 植物学；地区植物总称
botanical,"n. 植物性药材
adj. 植物学的"
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
abreast,"adj. 并排的；肩并肩的
adv. 并肩地；并列"
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
bribery,n.  贿赂；受贿；行贿
bureau,n. 局，处；衣柜；办公桌
bureaucrat,n. 官僚；官僚主义者
café,
cafeteria,n. 自助餐厅
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
celebrity,n. 名人；名声
censor,"n. 检查员； 潜意识压抑力；信件检查员
vt. 审查，检查；检查和删节"
censorship,n. 审查制度；审查机构
chemical,"n. 化学制品，化学药品
adj. 化学的"
petrochemical,"n. 石油化学产品
adj. 石化的"
chronic,adj. 慢性的；长期的；习惯性的
chronicle,"n. 编年史，年代记；记录
vt. 记录；把…载入编年史"
classify,vt. 分类；分等
classified,"n. 分类广告
v. 把…分类（classify的过去分词）
adj. 分类的；类别的；机密的"
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
cleanse,vt. 净化；使…纯净；使…清洁
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
companionship,n. 友谊；陪伴；交谊
compassion,n. 同情；怜悯
compassionate,"adj. 慈悲的；富于同情心的
vt. 同情；怜悯"
condemn,vt. 谴责；判刑，定罪；声讨
condemnation,n. 谴责；定罪；非难的理由；征用
confuse,vt. 使混乱；使困惑
confusion,n. 混淆，混乱；困惑
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
conqueror,n. 征服者；胜利者
conscious,adj. 意识到的；故意的；神志清醒的
subconscious,"n. 潜在意识；下意识心理活动
adj. 潜意识的；下意识的"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
consulate,n. 领事；领事馆；领事任期；领事职位
consultative,adj. 咨询的
consultant,n. 顾问；咨询者；会诊医生
consultancy,n. 咨询公司；顾问工作
courage,n. 勇气；胆量
courageous,adj. 有胆量的，勇敢的
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
credible,adj. 可靠的，可信的
cube,"n. 立方；立方体；骰子
vt. 使成立方形；使自乘二次；量…的体积"
cubic,adj. 立方体的，立方的
danger,n. 危险；危险物，威胁
endanger,vt. 危及；使遭到危险
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
daring,"n. 胆量，勇气
v. 敢（dare的现在分词）
adj. 大胆的，勇敢的"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
desirability,n. 愿望；有利条件；值得向往的事物；合意
destiny,n. 命运，定数，天命
destined,"v. 注定（destine的过去式和过去分词）
adj. 注定的；命定的；去往…的"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
dietary,"n. 规定的食物；饮食的规定；食谱
adj. 饮食的，饭食的，规定食物的"
different,adj. 不同的；个别的，与众不同的
differentiate,"vt. 区分，区别
vi. 区分，区别"
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
diffusion,n. 扩散，传播； 漫射
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
disciplined,"adj. 遵守纪律的；受过训练的
v. 使有纪律（discipline的过去分词）；训导"
disciplinary,adj. 规律的；训练的；训诫的
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
dressing,"n. 穿衣；加工；调味品；装饰；梳理
v. 给…穿衣；为…打扮（dress的现在分词）"
eraser,n. 橡皮；擦除器； 清除器
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
evenly,adv. 均匀地；平衡地；平坦地；平等地
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
exemplary,adj. 典范的；惩戒性的；可仿效的
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
exceptional,"n. 超常的学生
adj. 异常的，例外的"
exist,vi. 存在；生存；生活；继续存在
coexist,vi. 共存；和平共处
fable,"n. 寓言；无稽之谈
vt. 煞有介事地讲述；虚构
vi. 编寓言；虚构"
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
fabric,n. 织物；布；组织；构造；建筑物
fabricate,vt. 制造；伪造；装配
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
fatality,n. 死亡；宿命；致命性；不幸；灾祸
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
federation,n. 联合；联邦；联盟；联邦政府
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
feminine,adj. 女性的；妇女（似）的；阴性的；娇柔的
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
financial,adj. 金融的；财政的，财务的
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
affirm,"vt. 肯定；断言
vi. 确认；断言"
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
affix,"n.  词缀；附加物
vt. 粘上；署名；将罪责加之于"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
afloat,"adj. 在海上的；飘浮的；浸满水的；在传播的
adv. 在海上；飘浮著；浸满水"
flower,"n. 花；精华；开花植物
vt. 使开花；用花装饰
vi. 成熟，发育；开花；繁荣；旺盛"
cauliflower,n. 花椰菜，菜花
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
unfold,"vi. 展开；显露
vt. 打开；呈现"
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
misfortune,n. 不幸；灾祸，灾难
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
gigantic,adj. 巨大的，庞大的
guilt,n. 犯罪，过失；内疚
guilty,adj. 有罪的；内疚的
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
harass,vt. 使困扰；使烦恼；反复袭击
harassment,n. 骚扰；烦恼
hard,"adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的
adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地"
hardy,"n. 强壮的人；耐寒植物；方柄凿
adj. 坚强的；勇敢的；能吃苦耐劳的；鲁莽的"
harmony,n. 协调；和睦；融洽；调和
harmonious,adj. 和谐的，和睦的；协调的；悦耳的
haste,"n. 匆忙；急忙；轻率
vt. 赶快
vi. 匆忙；赶紧"
hasty,"adj. 轻率的；匆忙的；草率的；懈怠的
"
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
hazardous,adj. 有危险的；冒险的；碰运气的
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
honorary,"n. 名誉学位；获名誉学位者；名誉团体
adj. 荣誉的；名誉的；道义上的"
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热"
hotly,adv. 激烈地；热心地；暑热地
idol,n. 偶像，崇拜物；幻象；谬论
idolize,"vt. 极端崇拜；把...当偶像崇拜
vi. 崇拜偶像"
idolise,vi. 把…当偶像崇拜; 崇拜偶像; 过度崇拜; 偶像化
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
immunize,vt. 使免疫；赋予免疫性
immunise,vt. 使某人免疫
indignant,adj. 愤愤不平的；义愤的
indignation,n. 愤慨；愤怒；义愤
investigate,v. 调查；研究
investigator,n. 研究者；调查者；侦查员
jury,"n.  陪审团；评判委员会
adj. 应急的"
jurisdiction,n. 司法权，审判权，管辖权；权限，权力
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
unilateral,adj. 单边的； 单侧的；单方面的；单边音；（父母）单系的
lawful,adj. 合法的；法定的；法律许可的
unlawful,adj. 非法的；私生的
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
leaflet,n. 小叶；传单
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
liability,n. 责任；债务；倾向；可能性；不利因素
lot,"n. 份额；许多；命运；阄
adv. （与形容词和副词连用）很，非常；（与动词连用）非常
pron. 大量，许多
vt. 分组，把…划分（常与out连用）；把（土地）划分成块
vi. 抽签，拈阄"
allot,vt. 分配；拨给；分派
allotment,n. 分配；分配物；养家费；命运
lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
malice,n. 恶意；怨恨；预谋
malicious,adj. 恶意的；恶毒的；蓄意的；怀恨的
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
amass,vt. 积聚，积累
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
maturity,n. 成熟；到期；完备
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
mend,"vt. 修理，修补；改善；修改
vi. 改善，好转
n. 好转，改进；修补处"
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
amendment,n. 修正案；改善；改正
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
merchandise,"n. 商品；货物
vt. 买卖；推销
vi. 经商"
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
metallic,adj. 金属的，含金属的
mighty,"adj. 有力的；强有力的；有势力的
adv. 很；极；非常
n. 有势力的人"
almighty,"n. 全能的神
adj. 全能的；有无限权力的
adv. 非常"
mountain,n. 山；山脉
mountainous,adj. 多山的；巨大的；山一般的
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
muddy,"adj. 泥泞的；模糊的；混乱的
vt. 使污浊；使沾上泥；把…弄糊涂
vi. 变得泥泞；沾满烂泥"
navy,"n. 海军
深蓝色的"
navigation,n. 航行；航海
necessitate,vt. 使成为必需，需要；迫使
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
negotiable,adj. 可通过谈判解决的；可协商的
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
fortnight,n. 两星期
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
abnormal,adj. 反常的，不规则的；变态的
normalize,vt. 使正常化；使规格化，使标准化
normalise,vt. （使）正常化; （使）恢复友好状态
occupy,vt. 占据，占领；居住；使忙碌
preoccupy,vt. 迷住；使全神贯注
occupation,n. 职业；占有；消遣；占有期
occupational,adj. 职业的；占领的
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
operative,"adj. 有效的；运转着的；从事生产劳动的
n. 侦探；技工"
cooperative,"n. 合作社
adj. 合作的；合作社的"
parliament,n. 议会，国会
parliamentary,adj. 议会的；国会的；议会制度的
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
partisan,"n. 游击队；虔诚信徒；党羽
adj. 党派的；效忠的；偏袒的；盲目推崇的"
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
dispatch,"n. 派遣；急件
vt. 派遣；分派"
pay,"n. 工资，薪水；付款；报答
vt. 支付，付；偿还，补偿；给予
vi. 付款；偿还
adj. 收费的；需付费的"
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
peculiarity,n. 特性；特质；怪癖；奇特
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
permission,n. 允许，许可
permissible,adj. 可允许的；获得准许的
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
persuasive,adj. 有说服力的；劝诱的，劝说的
physiology,n. 生理学；生理机能
physiological,adj. 生理学的，生理的
place,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次"
displace,vt. 取代；置换；转移；把…免职；排水
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
pottery,n. 陶器；陶器厂；陶器制造术
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
practicable,adj. 可用的；行得通的；可实行的
practical,adj. 实际的；实用性的
impractical,adj. 不切实际的，不现实的；不能实行的
practitioner,n. 开业者，从业者，执业医生
malpractice,n. 玩忽职守；不法行为；治疗不当
probable,"n. 很可能的事；大有希望的候选者
adj. 很可能的；可信的"
probability,n. 可能性；机率； 或然率
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的"
publicize,vt. 宣传；公布
publicise,vt. 宣传，宣扬；公布，颂
quantity,n. 量，数量；大量；总量
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
rail,"n. 铁轨；扶手；横杆；围栏
vt. 铺铁轨；以横木围栏
vi. 抱怨；责骂"
derail,"n. 脱轨； 脱轨器
vt. 使出轨
vi. 出轨"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
rebellion,n. 叛乱；反抗；谋反；不服从
refine,vt. 精炼，提纯；改善；使…文雅
refinery,n. 精炼厂；提炼厂；冶炼厂
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
refreshment,n. 点心；起提神作用的东西；精力恢复
regulate,vt. 调节，规定；控制；校准；有系统的管理
regulatory,adj. 管理的；控制的；调整的
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
requisite,"n. 必需品
adj. 必备的，必不可少的；需要的"
prerequisite,"n. 先决条件
adj. 首要必备的"
resource,n. 资源，财力；办法；智谋
resourceful,adj. 资源丰富的；足智多谋的；机智的
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
restoration,n. 恢复；复位；王政复辟；归还
rob,"vt. 抢劫；使…丧失；非法剥夺
vi. 抢劫；掠夺"
robbery,n. 抢劫，盗窃；抢掠
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
roughly,adv. 粗糙地；概略地
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
scarcity,n. 不足；缺乏
scholar,n. 学者；奖学金获得者
scholarly,adj. 博学的；学者风度的；学者派头的
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
seniority,n. 长辈；老资格；前任者的特权
