bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
porter,n. 门房；服务员；行李搬运工；守门人
reporter,n. 记者
passport,n. 护照，通行证；手段
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
prominent,adj. 突出的，显著的；杰出的；卓越的
eminent,adj. 杰出的；有名的；明显的
imminent,adj. 即将来临的；迫近的
undermine,vt. 破坏，渐渐破坏；挖掘地基
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
mounting,"n. 装备，装配；上马；衬托纸
v. 增加（mount的ing形式）；爬上
adj. 逐渐增加的"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
malice,n. 恶意；怨恨；预谋
malicious,adj. 恶意的；恶毒的；蓄意的；怀恨的
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
commonwealth,n. 联邦；共和国；国民整体
community,n. 社区； 群落；共同体；团体
communism,n. 共产主义
communist,"n. 共产党员；共产主义者
adj. 共产主义的"
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
municipal,adj. 市政的，市的；地方自治的
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
navy,"n. 海军
深蓝色的"
naval,adj. 海军的；军舰的
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
navigation,n. 航行；航海
navigator,n. 航海家；领航员；驾驶员
astronaut,n. 宇航员，航天员；太空旅行者
astronomy,n. 天文学
disaster,n. 灾难，灾祸；不幸
disastrous,adj. 灾难性的；损失惨重的；悲伤的
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
previously,adv. 以前；预先；仓促地
deviate,"vi. 脱离；越轨
vt. 使偏离"
deviation,n. 偏差；误差；背离
obvious,adj. 明显的；显著的；平淡无奇的
obviously,"adv. 明显地
显然地"
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
convey,vt. 传达；运输；让与
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
novel,"adj. 新奇的；异常的
n. 小说"
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
renovate,vt. 更新；修复；革新；刷新
innovate,"vi. 创新；改革；革新
vt. 改变；创立；创始；引人"
innovation,n. 创新，革新；新方法
innovator,n. 改革者，创新者
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
nominate,vt. 推荐；提名；任命；指定
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
nickname,"n. 绰号；昵称
vt. 给……取绰号；叫错名字"
surname,"n. 姓，姓氏；绰号，别名
vt. 给…起别名；给…姓氏"
unanimous,adj. 全体一致的；意见一致的；无异议的
synonym,n. 同义词；同义字
synonymous,adj. 同义的；同义词的；同义突变的
anonymous,adj. 匿名的，无名的；无个性特征的
autonomy,n. 自治，自治权
autonomous,adj. 自治的；自主的；自发的
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
nutrition,n. 营养，营养学；营养品
malnutrition,n. 营养失调，营养不良
nourish,vt. 滋养；怀有；使健壮
opt,vi. 选择
option,n.  选项；选择权；买卖的特权
optional,"adj. 可选择的，随意的
n. 选修科目"
optical,adj. 光学的；眼睛的，视觉的
optimum,"adj. 最适宜的
n. 最佳效果；最适宜条件"
optimistic,adj. 乐观的；乐观主义的
pessimistic,adj. 悲观的，厌世的；悲观主义的
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
adapt,"vi. 适应
vt. 使适应；改编"
apt,adj. 恰当的；有…倾向的；灵敏的
aptitude,n. 天资；自然倾向；适宜
adept,"n. 内行；能手
adj. 熟练的；擅长…的"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
orderly,"adj. 有秩序的；整齐的；值班的
n. 勤务兵；传令兵；护理员
adv. 顺序地；依次地"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
coordination,n. 协调，调和；对等，同等
coordinated,"adj. 协调的
vt. 调整；使调和（coordinate的过去分词）；调节；整理"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装"
pact,n. 协定；公约；条约；契约
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
price,"n. 价格；价值；代价
vt. 给……定价；问……的价格"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
appraise,vt. 评价，鉴定；估价
appraisal,n. 评价；估价（尤指估价财产，以便征税）；估计
compartment,"n.  隔间；区划；卧车上的小客房
vt. 分隔；划分"
impart,vt. 给予（尤指抽象事物），传授；告知，透露
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
departure,n. 离开；出发；违背
department,n. 部；部门；系；科；局
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
apartment,n. 公寓；房间
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
partly,adv. 部分地；在一定程度上
partial,adj. 局部的；偏爱的；不公平的
impartial,adj. 公平的，公正的；不偏不倚的
particle,n. 颗粒； 质点；极小量；小品词
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
counterpart,n. 副本；配对物；极相似的人或物
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
parcel,"n. 包裹，小包
vt. 打包；捆扎"
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
portfolio,n. 公文包；文件夹；证券投资组合；部长职务
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
path,n. 道路；小路；轨道
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
past,"n. 过去；往事
prep. 越过；晚于
adj. 过去的；结束的
adv. 过；经过"
passage,n. 一段（文章）；走廊；通路
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
passerby,n. 行人，过路人
pastime,n. 娱乐，消遣
surpass,vt. 超越；胜过，优于；非…所能办到或理解
overpass,"vt. 超越；胜过；忽略
n. 天桥；陆桥"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
encompass,vt. 包含；包围，环绕；完成
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
passion,n. 激情；热情；酷爱；盛怒
compassion,n. 同情；怜悯
compatible,adj. 兼容的；能共处的；可并立的
sympathy,n. 同情；慰问；赞同
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
sympathise,vi. 同情，支持
sympathize,vi. 同情，怜悯；支持
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
patience,n. 耐性，耐心；忍耐，容忍
impatient,adj. 焦躁的；不耐心的
pathology,n. 病理（学）; 异常状态
psychopathy,n. 精神变态，精神病
psychopathic,"n. 精神变态者
adj. 精神病的；精神错乱的"
psychopathology,n. 精神病理学
psychic,"n. 灵媒；巫师
adj. 精神的；心灵的；灵魂的；超自然的"
psychiatry,n. 精神病学；精神病治疗法
psychology,n. 心理学；心理状态
psychological,adj. 心理的；心理学的；精神上的
psychologist,n. 心理学家，心理学者
physics,n. 物理学；物理现象
physicist,n. 物理学家；唯物论者
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
physiology,n. 生理学；生理机能
physic,"n. 医学；药品（特指泻药）
vt. 给…服药；治愈"
physician,n.  医师；内科医师
consecutive,adj. 连贯的；连续不断的
consequence,n. 结果；重要性；推论
consequent,"n. 结果
adj. 随之发生的；作为结果的"
consequently,adv. 因此；结果；所以
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
subsequent,adj. 后来的，随后的
persecute,vt. 迫害；困扰；同…捣乱
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
execute,vt. 实行；执行；处死
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
expel,vt. 驱逐；开除
propel,vt. 推进；驱使；激励；驱策
impel,vt. 推动；驱使；激励
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
compel,vt. 强迫，迫使；强使发生
compelling,"adj. 引人注目的；强制的；激发兴趣的
v. 强迫；以强力获得（compel的ing形式）"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
repel,vt. 击退；抵制；使厌恶；使不愉快
bell,"n. 铃，钟；钟声，铃声；钟状物
vt. 装钟于，系铃于
vi. 鸣钟；成钟状鼓起"
belly,"n. 腹部；胃；食欲
vt. 使鼓起
vi. 涨满；鼓起"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
rebellion,n. 叛乱；反抗；谋反；不服从
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
repeal,"n. 废除；撤销
vt. 废除；撤销；废止；放弃；否定"
compete,vi. 竞争；比赛；对抗
competition,n. 竞争；比赛，竞赛
competitive,adj. 竞争的；比赛的；求胜心切的
competent,adj. 胜任的；有能力的；能干的；足够的
incompetent,"n. 无能力者
adj. 无能力的，不胜任的；不合适的；不适当的；无力的"
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
repeated,"adj. 再三的，反复的
v. 重复；复述（repeat的过去分词）"
repetition,n. 重复；背诵；副本
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
impetus,n. 动力；促进；冲力
perpetual,adj. 永久的；不断的；四季开花的；无期限的
perpetuity,n. 永恒
appetite,n. 食欲；嗜好
acquire,vt. 获得；取得；学到；捕获
acquisition,n. 获得物，获得；收购
require,vt. 需要；要求；命令
requirement,n. 要求；必要条件；必需品
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
enquire,"vi. 询问；调查；问候（等于inquire）
vt. 询问；打听"
inquiry,n. 探究；调查；质询
enquiry,n.  询问， 询盘
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
conquest,n. 征服，战胜；战利品
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
question,"n. 问题，疑问；询问；疑问句
vt. 询问；怀疑；审问
vi. 询问；怀疑；审问"
questionnaire,n. 问卷；调查表
request,"n. 请求；需要
vt. 要求，请求"
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验"
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
quaint,adj. 古雅的；奇怪的；离奇有趣的；做得很精巧的
acquaint,vt. 使熟悉；使认识
acquaintance,n. 熟人；相识；了解；知道
prove,"vi. 证明是
vt. 证明；检验；显示"
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
approval,n. 批准；认可；赞成
disapprove,"vi. 不赞成；不喜欢
vt. 不赞成；不同意"
disprove,vt. 反驳，证明…是虚假的
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
probable,"n. 很可能的事；大有希望的候选者
adj. 很可能的；可信的"
probably,adv. 大概；或许；很可能
probability,n. 可能性；机率； 或然率
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
improvise,"vt. 即兴创作；即兴表演；临时做；临时提供
vi. 即兴创作；即兴表演；临时凑合"
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试"
testify,"vi. 作证；证明
vt. 证明，证实；作证"
testimony,n.  证词，证言；证据
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
text,"n.  文本；课文；主题
vt. 发短信"
textbook,n. 教科书，课本
textile,"n. 纺织品，织物
adj. 纺织的"
texture,n. 质地；纹理；结构；本质，实质
context,n. 环境；上下文；来龙去脉
pretext,"n. 借口；托辞
vt. 以…为借口"
appendix,n. 附录；阑尾；附加物
depend,vi. 依赖，依靠；取决于；相信，信赖
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
independence,n. 独立性，自立性；自主
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
pendulum,n. 钟摆；摇锤；摇摆不定的事态
penny,n. （美）分；便士
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
expend,vt. 花费；消耗；用光；耗尽
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
expensive,adj. 昂贵的；花钱的
expenditure,n. 支出，花费；经费，消费额
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
dispense,"vi. 免除，豁免
vt. 分配，分发；免除；执行"
dispensable,adj. 可有可无的；非必要的
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
pond,"n. 池塘
vt. 筑成池塘
vi. 筑成池塘"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
pound,"n. 英镑；重击，重击声；兽栏；拘留所
vt. 捣烂；敲打；监禁，拘留
vi. 连续重击，猛击"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
propone,vt. 提议；倡言；陈述
proponent,n. 支持者；建议者；提出认证遗嘱者
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
composite,"n. 复合材料；合成物；菊科
adj. 复合的；合成的；菊科的
vt. 使合成；使混合"
composition,n. 作文，作曲，作品； 构成；合成物；成分
composure,n. 镇静；沉着
symposium,n. 讨论会，座谈会；专题论文集；酒宴，宴会
oppose,"vt. 反对；对抗，抗争
vi. 反对"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
disposal,n. 处理；支配；清理；安排
disposable,adj. 可任意处理的；可自由使用的；用完即可丢弃的
disposition,n. 处置； 性情； 部署；倾向
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
expose,vt. 揭露，揭发；使曝光；显示
exposure,n. 暴露；曝光；揭露；陈列
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
proposal,n. 提议，建议；求婚
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
preposition,n. 介词；前置词
conscience,n. 道德心，良心
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
conscious,adj. 意识到的；故意的；神志清醒的
encyclopedia,n. 百科全书（亦是encyclopaedia）
pedal,"n. 踏板；脚蹬子
vi. 踩踏板；骑车
vt. 骑（自行车）；踩……的踏板
adj. 脚的；脚踏的"
expedition,n. 远征；探险队；迅速
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
impede,vt. 阻碍；妨碍；阻止
pet,"n. 宠物；生气；受宠爱的人
adj. 宠爱的
vt. 宠爱
vi. 生气；爱抚"
petty,adj. 琐碎的；小气的；小规模的
petal,n. 花瓣
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
metaphor,n. 暗喻，隐喻；比喻说法
medal,n. 勋章，奖章；纪念章
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
depress,vt. 压抑；使沮丧；使萧条
depressed,"adj. 沮丧的；萧条的；压低的
v. 使沮丧；使萧条（depress的过去式和过去分词形式）；压低"
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
depressive,adj. 抑郁的；压抑的
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
expressive,adj. 表现的；有表现力的；表达…的
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
repress,"vt. 抑制；镇压（叛乱等）；约束
vi. 抑制；镇压"
repression,n. 抑制， 压抑；镇压
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
suppress,vt. 抑制；镇压；废止
radar,n.  雷达，无线电探测器
radio,"n. 收音机；无线电广播设备
vt. 用无线电发送
vi. 用无线电进行通信"
radiant,"n. 光点；发光的物体
adj. 辐射的；容光焕发的；光芒四射的"
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
radiation,n. 辐射；发光；放射物
radioactive,adj.  放射性的；有辐射的
radius,n. 半径，半径范围； 桡骨；辐射光线；有效航程
radium,n.  镭（88号元素符号Ra）
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
radically,adv. 根本上；彻底地；以激进的方式
radicle,n. 幼根， 胚根；（神经，血管等的）根；基，原子团
eradicate,vt. 根除，根绝；消灭
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
obsolete,"adj. 废弃的；老式的
n. 废词；陈腐的人
vt. 淘汰；废弃"
insolate,vt. 使曝晒
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
insulate,vt. 隔离，使孤立；使绝缘，使隔热
peninsula,n. 半岛
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
solidarity,n. 团结，团结一致
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
solder,"n. 焊料；接合物
vt. 焊接；使联接在一起
vi. 焊接"
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
sonar,n. 声纳；声波定位仪（等于asdic）
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
solitude,n. 孤独；隐居；荒僻的地方
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
solemn,adj. 庄严的，严肃的；隆重的，郑重的
saint,
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
sanctuary,n. 避难所；至圣所；耶路撒冷的神殿
sane,adj. 健全的；理智的； 神志正常的
insane,adj. 疯狂的；精神病的；极愚蠢的
sanity,n. 明智；头脑清楚；精神健全；通情达理
sanitary,"n. 公共厕所
adj. 卫生的，清洁的"
same,"adj. 相同的；同一的；上述的（通常与the连用）；无变化的
adv. 同样地（通常与the连用）
pron. 同样的事物或人（通常与the连用）"
similar,"n. 类似物
adj. 相似的"
similarity,n. 类似；相似点
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
assembly,n. 装配；集会，集合
resemble,vt. 类似，像
resemblance,n. 相似；相似之处；相似物；肖像
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
symbol,n. 象征；符号；标志
symptom,n.  症状；征兆
syndrome,n.  综合症状；并发症状；校验子；并发位
system,n. 制度，体制；系统；方法
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
syndicate,"n. 辛迪加；企业联合；财团
vt. 把…联合成辛迪加；在多家报刊上同时发表
vi. 联合成辛迪加；组成企业联合组织"
sure,"adj. 确信的；可靠的；必定的
adv. 当然；的确"
ensure,vt. 保证，确保；使安全
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
insurance,n. 保险；保险费；保险契约；赔偿金
assure,vt. 保证；担保；使确信；弄清楚
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
reassure,vt. 使…安心，使消除疑虑
reassurance,n. 使安心，再保证
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
certainty,n. 必然；确实；确实的事情
certainly,adv. 当然；行（用于回答）；必定
ascertain,vt. 确定；查明；探知
certify,v. 证明；保证
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
assert,vt. 维护，坚持；断言；主张；声称
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
dessert,n. 餐后甜点；甜点心
dissert,vi. 论述；写论文；讨论；作学术讲演
exert,vt. 运用，发挥；施以影响
serial,"n. 电视连续剧； 期刊；连载小说
adj. 连续的；连载的；分期偿还的"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
satire,n. 讽刺；讽刺文学，讽刺作品
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
satisfactory,adj. 满意的；符合要求的；赎罪的
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
resident,"n. 居民；住院医生
adj. 居住的；定居的"
residence,n. 住宅，住处；居住
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
considerate,adj. 体贴的；体谅的；考虑周到的
consideration,n. 考虑；原因；关心；报酬
considerable,adj. 相当大的；重要的，值得考虑的
president,n. 总统；董事长；校长；主席
preside,"vi. 主持，担任会议主席
vt. 管理"
subsidy,n. 补贴；津贴；补助金
inside,"prep. 少于；在…之内
n. 里面；内部；内情；内脏
adj. 里面的；内部的；秘密的
adv. 在里面"
insidious,adj. 阴险的；隐伏的；暗中为害的；狡猾的
assess,vt. 评定；估价；对…征税
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
obsess,vt. 迷住，缠住；使…着迷；使…困扰
obsession,n. 痴迷；困扰； 强迫观念
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
site,"n. 地点；位置；场所
vt. 设置；为…选址"
situate,"adj. 位于…的
vt. 使位于；使处于"
situated,"v. 使位于；使处于（situate的过去分词）
adj. 位于…的；处于…境遇的"
situation,n. 情况；形势；处境；位置
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
settlement,n. 解决，处理； 结算；沉降；殖民
sunset,n. 日落，傍晚
setback,n. 挫折；退步；逆流
outset,n. 开始；开端
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
upsetting,"n. 缩锻，镦锻；倾复，倒转
adj. 令人心烦意乱的，令人苦恼的"
circumstance,n. 环境，情况；事件；境遇
substance,n. 物质；实质；资产；主旨
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
