ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
lunge,"n. 刺；跃进；刺进；套马索
vt. 刺；戳；使前冲
vi. 刺；突进"
bison,n. 北美野牛；欧洲野牛
javelin,n. 标枪，投枪
escapade,n. 越轨行为；恶作剧
molest,vt. 骚扰；调戏；干扰
be involved in ...,
cessation,n. 停止；中止；中断
pelt,"n. 毛皮；打击
vt. 攻击或投掷；剥皮
vi. 连续投掷；雨等急降"
haggard,"n. 野鹰
adj. 憔悴的；野性的"
plod,"vt. 沉重缓慢地走
vi. 辛勤工作；沉重地走
n. 辛勤工作；沉重的步伐"
glacial,adj. 冰的；冰冷的；冰河时代的
vulture,n. 秃鹰，秃鹫；贪婪的人
pounce,"n. 猛扑，爪
vt. 扑过去抓住
vi. 突袭，猛扑"
talon,n. 爪； 爪饰；如爪的手
wicker,"n. 柳条；枝条；柳条制品
adj. 柳条编织的；装在柳条编织物里的"
sleigh,"n. 雪橇
vt. 乘雪橇；用雪橇运输
vi. 乘雪橇；驾雪橇"
pout,"n. 撅嘴；生气
vt. 撅嘴
vi. 撅嘴"
mackerel,n. 鲭（产于北大西洋）；马鲛鱼
nook,n. 角落；隐匿处；核武器；凹处
purr,"n. 咕噜咕噜声；（猫的）呜呜声；（机器等）颤动声
vt. 发出喉音；满意地说
vi. 发出喉音；猫发出呜呜声"
lie down in ...,
condolence,n. 哀悼；慰问
bereaved,"n. 丧失亲人的人
adj. 丧失的；死了…的
vt. 使丧失（bereave的过去式和过去分词）"
quaver,"n. 颤抖；八分音符；颤音
vt. 颤抖
vi. 颤抖；发颤音"
express one's condolences,
lattice,"n.  晶格；格子；格架
vt. 使成格子状"
ransack,vt. 洗劫，掠夺；遍寻
otter,n. 水獭；水獭皮
recoil,"vi. 畏缩；弹回；报应
n. 畏缩；弹回；反作用"
hedgehog,n. 刺猬
at the sight of ...,
tempestuous,adj. 有暴风雨的；暴乱的；剧烈的
ruffle,"n. 皱褶；生气；混乱；连续轻敲声
vi. 起皱；烦恼；连续地轻敲
vt. 弄皱；触怒；扰乱；迅速翻动"
surly,adj. 乖戾的；板面孔的，无礼的；阴沉的
scowl,"n. 愁容；怒容；阴沉沉的样子
vt. 皱眉表示；对…沉下脸
vi. 皱眉；怒视"
antic,"n. 滑稽动作；丑角
adj. 古怪的；滑稽可笑的
vi. 扮小丑；做滑稽动作"
scrabble,"n. 一种拼字游戏；抓；摸索；挣扎；涂鸦
vt. 在…上乱涂；在…上乱扒
vi. 扒寻；摸索；挣扎；乱涂"
cot,n. 简易床；小屋；轻便小床
padlock,"n. 挂锁；关闭；禁止进入
vt. 用挂锁锁上；关闭"
slacken,"vi. 松劲，懈怠；变松弛；变缓慢
vt. 使缓慢；使松弛"
gradient,"n.  梯度；坡度；倾斜度
adj. 倾斜的；步行的"
slither,"n. 滑动；滑行
vt. 使滑动
vi. 蜿蜒地滑行"
clump,"n. 丛；笨重的脚步声；土块
vt. 使成一丛；使凝结成块
vi. 形成一丛；以沉重的步子行走"
snip,"n. 剪；便宜货
vt. 剪断
vi. 剪"
whisker,n.  晶须；胡须；腮须
snooze,"n. 小睡；打盹儿
vt. 懒散地打发日子；打盹消磨
vi. 小睡；打盹"
anteroom,n. 前厅；接待室；候见室
tongs,"n.  夹具；钳子（tong的复数）
v. 用钳夹取（tong的三单形式）"
squat,"vt. 使蹲坐，使蹲下
vi. 蹲，蹲下；蹲坐；蹲伏
n. 蹲坐，蜷伏
adj. 蹲着的；矮胖的"
squirt,"n. 喷射；注射
vt. 喷湿
vi. 喷出"
aviary,n. 鸟类饲养场；大型鸟舍
antiseptic,"n. 防腐剂，抗菌剂
adj. 防腐的，抗菌的；非常整洁的"
stow,vt. 装载；收藏；使暂留；堆装
ballast,"n. 压舱物， 压载物；道渣，碎石
vt. 给…装压舱物；给…铺道渣"
suffocate,"vt. 压制，阻碍；使……窒息
vi. 受阻，受扼制；窒息"
convulsion,n.  惊厥；动乱；震撼；震动
epilepsy,n.  癫痫，癫痫症
angler,n. 钓鱼；琵琶鱼；钓鱼者；用不正当手段谋取好处的人
thrash,"n. 打谷；逆风浪行进；踢水动作
vt. 打；使逆行
vi. 打谷；白忙；猛烈摆动"
scuffle,"n. 混战；扭打
vi. 扭打；乱斗；拖着脚走路"
totter,"n. 蹒跚的步子
vi. 蹒跚；踉跄"
unfurl,"vt. 展开；使…临风招展
vi. 展开；公开"
deterrence,n. 威慑；妨碍物；挽留的事物
detriment,n. 损害；伤害；损害物
variegated,"adj. 杂色的；斑驳的；富于变化的
v. 成为杂色（variegate的过去式）"
warble,"n. 鸟啭鸣；颤声
vt. 鸟鸣；用柔和的颤声唱
vi. 鸟鸣；用柔和的颤声唱"
roost,"n. 栖木；鸟窝；群栖的禽鸟
vi. 栖息；安歇
vt. 使…栖息；为…提供歇息处"
infirm,adj. 衰弱的；意志薄弱的；不坚固的
wheeze,"n. 喘息；喘气声
vt. 喘息着说；喘息地发出
vi. 喘息；呼哧呼哧地响"
suffer from ...,
whimper,"n. 呜咽声；啜泣声；牢骚；怨声
vi. 呜咽；啜泣；低声抱怨
vt. 呜咽着说；啜泣着说"
mortuary,"n. 太平间；停尸间
adj. 死的；悲哀的"
wrest,"n. 扭，拧
vt. 用力拧；抢夺；歪曲"
hatchet,"n. 短柄小斧
vt. 用短柄小斧砍伐；扼杀"
daft,adj. 癫狂的；愚笨的；狂闹的
wriggle,"vt. 使蠕动；蠕动到；不知不觉地潜入
vi. 蠕动；蜿蜒而行
n. 蠕动；扭动"
moat,"n. 护城河；壕沟
vt. 将...围以壕沟"
shin,"n. 胫骨
vt. 爬；攀
vi. 攀；快步走"
pike,"n. 通行费；矛；梭子鱼；尖头；收费道路
vt. 用矛刺穿"
writhe,"n. 翻滚；扭动；苦恼
vt. 扭曲；扭动
vi. 翻滚；蠕动"
alderman,n. 市议员；总督；市府参事；高级市政官
adjourn,"vt. 推迟；使…中止；使…延期
vi. 休会；延期；换地方"
functionary,"n. 官员，公务员
adj. 官员的，公务员的；职务上的"
peddler,n. 小贩；传播者
appraise,vt. 评价，鉴定；估价
stallion,n. 种马；成年公马
assail,vt. 攻击；质问；着手解决
citadel,n. 城堡；大本营；避难处
promontory,n. 岬，海角；隆起，隆突
assay,"n. 化验；试验
vt. 分析；化验；尝试
vi. 鉴定；经检验证明内含成分"
fluoride,n. 氟化物
parson,n. 牧师，教区牧师；神职人员
bandit,n. 强盗，土匪；恶棍；敲诈者
atone,"vi. 弥补；赎回
vt. 赎罪；弥补；偿还"
bequeath,vt. 遗赠；把…遗赠给；把…传下去
sundry,"n. 杂货；杂项
adj. 杂的；各式各样的"
curio,n. 古董；珍品
synod,n. 大会；宗教会议；教会法院
circumscribe,vt. 外切，外接；限制；在…周围画线
laity,n. 俗人；外行人；门外汉
crypt,n. 土窖，地下室；腺窝
coddle,vt. 娇养；溺爱（等于mollycoddle）；用文火煮
bashful,adj. 害羞的，腼腆的
coerce,vt. 强制，迫使
atheist,n. 无神论者
sabbath,
keep the Sabbath,"na. 守安息日的
 当守安息日；导守安息日；谨守安息"
conciliate,vt. 安抚，安慰；调和；驯服；怀柔；赢得
litigant,"n. 诉讼当事人
adj. 诉讼的"
reparation,n. 赔偿；修理；赔款
onlooker,n. 旁观者；观众（等于spectator）
congregate,"vi. 聚集
adj. 集合在一起的
vt. 聚集"
fuselage,n.  机身（飞机）
consecrate,"adj. 神圣的；被献给神的
vt. 奉献；使神圣；供神用；献身于"
jubilee,n. （犹太史）五十年节（每五十年举行一次庆祝希伯来奴隶的解放）；大赦年（天主教每二十五年一次的）；欢乐的佳节，欢乐的节日；重要的周年纪念
a silver jubilee,
coercion,n. 强制；强迫；高压政治；威压
contravene,vt. 抵触；违反；反驳；否认
assessor,n. 评审员；确定税款的人；顾问
dally,"vt. 浪费（时间）
vi. 玩弄；闲荡；轻率地对待"
ledger,n. 总帐，分户总帐； 分类帐；帐簿；底帐；（手脚架上的）横木
fill in ...,
drudgery,n. 苦工，苦差事
contagion,n. 传染病；蔓延；触染
demoralize,vt. 使道德败坏；使堕落；使士气低落
dislodge,"vt. 逐出，驱逐；使……移动；用力移动
vi. 驱逐，逐出；离开原位"
scum,"n. 浮渣；泡沫；糟粕
vi. 产生泡沫；被浮渣覆盖
vt. 将浮渣去除掉"
sediment,n. 沉积；沉淀物
sluice,"n. 水闸；蓄水；洗矿槽
vt. 冲洗；开闸放水
vi. 奔流"
dissect,"vt. 切细；仔细分析
vi. 进行解剖；进行详细分析"
sinew,"n. 筋；肌腱；体力；精力
vt. 加强；使牢固"
exhortation,n. 讲道词，训词；劝告
edify,vt. 熏陶；启发；教诲
dejected,adj. 沮丧的，灰心的
veterinarian,n.  兽医
elucidate,vt. 阐明；说明
rabies,n.  狂犬病，恐水病
embezzle,vt. 盗用；挪用；贪污
kickback,n. 回扣，佣金；强烈反应；退回赃物
enshrine,vt. 铭记，珍藏；把…置于神龛内；把…奉为神圣
goblin,n. 小妖精；顽皮的丑小鬼
talisman,n. 护身符；法宝
evict,vt. 驱逐；逐出
turnpike,n.  收费高速公路；收税关卡
exorcise,vt. 驱邪；除怪
malevolent,adj. 恶毒的；有恶意的；坏心肠的
apparition,n. 幽灵；幻影；鬼怪；离奇出现的东西
expedite,"vt. 加快；促进；发出
adj. 畅通的；迅速的；方便的"
embankment,n. 路堤；堤防
extradite,vt. 引渡；获取…的引渡
itinerant,"n. 巡回者；行商
adj. 巡回的；流动的"
squatter,"n. 蹲着的人
vi. 涉水而过"
devolution,n. 相传，转移；委付；依次；落下
foreclose,"vt. 阻止；排除；取消抵押品赎回权
vi. 取消抵押品赎回权"
complainant,n.  原告；发牢骚的人；抱怨者
gird,"n. 嘲笑
vt. 束缚；佩带；做准备
vi. 准备；嘲骂"
rebuttal,n. 反驳；辩驳；反证
immunize,vt. 使免疫；赋予免疫性
mumps,n.  流行性腮腺炎；愠怒；生气
eviction,n. 逐出；赶出；收回
infringe,"vt. 侵犯；违反；破坏
vi. 侵犯；侵害"
liquidate,"vt. 清算；偿付；消除
vi. 清算；清理债务"
decrepit,adj. 衰老的；破旧的
foundry,n. 铸造，铸造类； 铸造厂
modulate,"vt. 调节；（信号）调制；调整
vi. 调制；转调"
autism,n.  孤独症；自我中心主义
polemic,"n. 争论；辩论者
adj. 好争论的"
negate,"vt. 否定；取消；使无效
vi. 否定；否认；无效
n. 对立面；反面"
ratification,n. 批准；承认，认可
nullify,vt. 使无效，作废；取消
bilateral,adj. 双边的；有两边的
saturation,n. 饱和；色饱和度；浸透；磁化饱和
saturation bombing,"na. 饱和轰炸
 密集轰炸"
outwit,vt. 瞒骗；以智取胜
sentry,"n. 哨兵；岗哨
vi. 放哨
vt. 设岗哨"
subterranean,"n. 地下工作者
adj. 地下的；秘密的；隐蔽的"
mercenary,"adj. 雇佣的；唯利是图的
n. 雇佣兵；唯利是图者"
overrate,vt. 过高估计；对…估价过高
thoroughbred,"n. 受过严格训练的人；良种动物
adj. 良种的；受过严格训练的；优秀的"
armpit,n. 腋窝
scruffy,adj. 破旧的；肮脏的；不整齐的
panhandle,"n. 平锅柄；（美）柄状的狭长区域
vt. 向…乞讨；乞得
vi. 行乞"
New York City, 纽约市；纽约城；美国纽约市
shifty,adj. 变化的；诡诈的；机智的
pilfer,"vt. 窃；偷窃；小偷小摸
vi. 偷窃；小偷小摸"
satchel,n. 书包；小背包
pillage,"n. 掠夺；掠夺物
vt. 掠夺；抢劫
vi. 掠夺；抢劫"
vicinity,n. 邻近，附近；近处
procrastinate,"vi. 耽搁，延迟
vt. 耽搁，延迟"
irksome,adj. 令人厌烦的，讨厌的；令人厌恶的
deal with ...,
proscribe,vt. 剥夺……的公权；禁止
sojourn,"n. 逗留；旅居
vi. 逗留；旅居"
raze,vt. 夷为平地；破坏；消除；拆毁
dilapidated,"adj. 荒废的，要塌似的；破坏的
v. 变得荒废（dilapidate的过去分词）"
upmarket,"n. 高档商品
adj. 质优价高的；高级的
adv. 在高档之列
vt. 使进入高消费者市场
vi. 进入高消费者市场"
recompense,"n. 赔偿；报酬
vt. 赔偿；酬谢
vi. 赔偿"
bountiful,adj. 丰富的；慷慨的；宽大的
gratuity,n. 赏钱，小费；赠物； 退职金
redress,"n. 救济；赔偿；矫正
vt. 救济；赔偿；纠正；重新调整"
welter,"n. 混乱；翻滚；起伏
vi. 翻滚；沉溺；起伏
adj. 重量级骑手的"
as soon as possible,"na. 尽快
 尽可能快；越快越好；尽快地"
reimburse,vt. 偿还；赔偿
outlay,"vt. 花费
n.  经费；支出；费用"
flora,n. 植物区系；植物群
repatriate,"n. 被遣返回国者
v. 遣返"
quarantine,"n. 检疫；隔离；检疫期；封锁
vt. 检疫；隔离；使隔离
vi. 实行隔离"
repudiate,vt. 拒绝；否定；批判；与…断绝关系；拒付
consignment,n. 委托；运送；托付物
used clothes,
futility,n. 无用；徒劳；无价值
rescind,vi. 解除；废除；撤回
rummage,"n. 翻找；检查；查出的物件；零星杂物
vt. 检查；搜出；仔细搜查；翻找出
vi. 翻找；仔细搜查"
urn,n. 瓮；缸；茶水壶；坟墓；骨灰瓮
toad,n. 蟾蜍；癞蛤蟆；讨厌的家伙
secrete,vt. 藏匿；私下侵吞；分泌
sequester,vt. 使隔绝；使隐退；没收，扣押
cavern,"n. 洞穴；凹处
vt. 挖空；置…于洞穴中"
exemplar,n. 模范，榜样；标本
slough,"n. 蜕下的皮（或壳）；绝境； 泥沼； 腐肉
vt. 使陷入泥沼；抛弃
vi. 蜕皮；脱落；在泥浆中跋涉"
dermatologist,n. 皮肤科医生；皮肤学者
sterilize,vt. 消毒，杀菌；使成不毛；使绝育；使不起作用
subjugate,vt. 征服；使服从；克制
kindred,"adj. 同类的；血缘的；同族的
n. 家族；相似；亲属关系"
sewerage,n. 下水道系统
substantiate,vt. 证实；使实体化
sulk,"n. 生气；愠怒；生气的人
vi. 生气；愠怒"
brusque,adj. 唐突的；直率的；无礼的
recrimination,n. 反责，反控；揭丑
superimpose,vt. 添加；重叠；附加；安装
cactus,n.  仙人掌
vindictive,adj. 怀恨的；有报仇心的；惩罚的
swindle,"n. 欺诈；骗局
vt. 诈骗；骗取
vi. 诈骗"
usurp,"vt. 篡夺；夺取；侵占
vi. 篡夺；篡权"
forgery,n. 伪造；伪造罪；伪造物
vacate,"vt. 空出，搬出；取消；使撤退
vi. 空出，腾出；辞职；休假"
tenancy,n. 租期；租用
vanquish,vt. 征服；击败；克服；抑制（感情等）
mane,n. （马等的）鬃毛
wheedle,"vt. 以甜言蜜语诱惑；用甜言蜜语欺骗
vi. 用甜言蜜语哄骗"
docile,adj. 温顺的，驯服的；容易教的
whitewash,"n. 粉饰；白色涂料；石灰水
vt. 掩饰；把…刷白"
concomitant,"n. 伴随物
adj. 相伴的；共存的；附随的"
heretic,"adj. 异端的；异教的
n. 异教徒，异端者"
abhor,vt. 痛恨，憎恶
rebellion,n. 叛乱；反抗；谋反；不服从
bronchitis,n.  支气管炎
ail,"n. 病痛，苦恼
vi. 生病
vt. 使苦恼，使烦恼"
affront,"n. 轻蔑；公开侮辱
vt. 冒犯，有意冒犯；面对；公开侮辱"
magnate,n. 巨头；大资本家；要人；富豪；……大王
antagonize,"vt. 使…敌对；使…对抗；对…起反作用
vi. 引起反抗"
friar,n. 化缘修士；男修道士
blanch,"n. 铅矿石
vi. 漂白；发白；变白
vt. 漂白；使变白
adj. 漂白的；银白色的"
filth,n. 污秽；肮脏；猥亵；不洁
claustrophobia,n.  幽闭恐怖症
detest,vt. 厌恶；憎恨
foyer,n. 门厅，休息室；大厅
eavesdrop,"n. 屋檐上流下来的水
vi. 偷听，窃听"
exchequer,n. 财源；国库；财政部
emissary,"n. 使者；间谍；密使
adj. 间谍的；密使的"
efface,vt. 抹去，抹掉；使自己不受人注意
abominable,adj. 讨厌的；令人憎恶的；糟透的
slapstick,n. 趣剧；低俗的闹剧
hark,vi. 听（常用于命令句）
puberty,n. 青春期；开花期
scruple,"n. 微量；顾虑；踌躇
vi. 有顾忌；踌躇
vt. 对…有顾虑"
impel,vt. 推动；驱使；激励
diabolic,adj. 残忍的；魔鬼似的；恶魔的
keynote,"n. 基调；主旨；主音
vt. 给…定基调；说明基本政策
vi. 作主旨发言"
oscillate,"vt. 使振荡；使振动；使动摇
vi. 振荡；摆动；犹豫"
peruse,vt. 详细考察；精读
copious,adj. 丰富的；很多的；多产的
prospectus,n. 内容说明书；样张；创办计划书；学校的入学简介
chronology,n. 年表；年代学
pique,"n. 生气；愠怒；呕气
vt. 刺激；伤害…自尊心；激怒"
lagoon,n.  泻湖；环礁湖；咸水湖
quench,"vt. 熄灭， 淬火；解渴；结束；冷浸
vi. 熄灭；平息"
hoarse,"adj. 嘶哑的
嘶哑地"
rasp,"n.  粗锉刀；锉磨声；刺耳声
vt. 用粗锉刀锉；粗声粗气地说
vi. 锉磨；用粗嘎的嗓门说"
caprice,n. 任性，反复无常；随想曲，怪想
repulse,"n. 拒绝；击退
vt. 拒绝；驱逐；憎恶"
revel,"n. 狂欢；闹饮；喜庆狂欢活动
vi. 狂欢；陶醉"
accolade,n. 荣誉；荣誉称号授予仪式；连谱号；称赞
ruminate,"vt. 反刍；沉思；反复思考
vi. 沉思，反刍"
admonition,n. 警告
seethe,"n. 沸腾；感情等的迸发
vt. 使浸透；使煮沸
vi. 沸腾；冒泡；激动"
impudent,adj. 无耻的；鲁莽的；放肆无礼的
rejoinder,n. 反驳；回答；（被告的） 第二次答辩
tantalize,"vt. 逗弄；使干着急
vi. 逗弄人；令人干着急"
finery,n. 服饰；华丽的服饰，鲜艳服装；装饰
tranquilize,vt. 使……安静；使……镇定
delirious,adj. 发狂的；神志昏迷的；精神错乱的
terrestrial,"n. 陆地生物；地球上的人
adj. 地球的；陆地的， 陆生的；人间的"
whet,"n. 磨；开胃物；刺激物
vt. 刺激；磨快；促进"
a terrestrial globe,
amphibian,"n.  两栖动物；水陆两用飞机；具有双重性格的人
adj. 两栖类的； 水陆两用的；具有双重性格的"
dung,"n. 粪
vt. 施粪肥于"
ewe,n.  母羊
fauna,n. 动物群； 动物区系
gill,"n. 鳃；菌褶；（山谷中的）沟壑，峡流；及耳（容量单位）
vi. 被刺网捕住
vt. 用刺网捕鱼；去除内脏"
leech,"n. 水蛭；吸血鬼；榨取他人利益的人
vt. 以水蛭吸血；依附并榨取
vi. 依附并榨取别人"
maggot,n.  蛆；空想，狂想
membrane,n. 膜；薄膜；羊皮纸
muzzle,"n. 枪口，炮口；口套，口络；动物的鼻口
vt. 使…缄默；给…戴口套；封锁…的言论"
plumage,n. 翅膀；鸟类羽毛
quail,"n. 鹌鹑
vi. 畏缩，胆怯；感到恐惧"
rump,n. （人的）臀部，（动物的）尾部；残余，渣滓
sprite,n. 妖精，精灵；鬼怪；调皮鬼
stag,"n. 牡鹿；不带女伴的舞客；阉割过的雄鹿
adj. 全是男人的
vi. 不带女伴参加晚会"
tadpole,n. 蝌蚪
tentacle,n. 触手， 触须， 触角
venom,"n. 毒液；恶意
vt. 使有毒；放毒"
affectation,n. 做作；矫揉造作；假装
cadence,n. 节奏；韵律；抑扬顿挫
anorexia,n. 厌食；神经性厌食症
antigen,n.  抗原
balm,n. 香油；镇痛软膏；香峰草，香树膏
biceps,n.  二头肌，强健的筋肉； 臂力
buttock,"n. 半边臀部；船尾
vt. 用腰摔"
carcinogen,n. 致癌物质
cataract,"n.  白内障；大瀑布；暴雨，洪水；奔流
vt. 倾注"
cleavage,n. 劈开，分裂； 解理； 卵裂
colitis,n.  结肠炎
constipation,n.  便秘；受限制
convalescence,n. 恢复期，康复期；逐渐康复
dispensary,n. 药房；（学校、兵营或工厂的）诊疗所；防治站
esophagus,n.  食管； 食道
glucose,n. 葡萄糖；葡糖（等于dextrose）
groin,"n.  腹股沟；交叉拱
vt. 使成穹棱"
infirmity,n. 虚弱；疾病；衰弱；缺点
insomnia,n. 失眠症，失眠
intoxication,n.  中毒；陶醉；喝醉
ligament,n. 韧带；纽带，系带
lobe,n. （脑、肺等的）叶；裂片；耳垂；波瓣
malady,n. 弊病；疾病；腐败
node,n. 节点；瘤； 叉点
nostril,n. 鼻孔
obstetrician,n. 产科医师
ointment,n. 药膏； 油膏
ovary,n.  子房； 卵巢
pelvis,n. 骨盆
physiology,n. 生理学；生理机能
prognosis,n.  预后；预知
remission,n. 缓解；宽恕；豁免
saliva,n. 唾液；涎
serum,n. 血清；浆液；免疫血清；乳清；树液
tetanus,n.  破伤风；强直
wart,n.  疣（等于verruca）； 树瘤；缺点
xenophobia,n. 仇外；对外国人的畏惧和憎恨
arousal,n. 觉醒；激励
articulation,n. 关节；接合；清晰发音
avarice,n. 贪婪，贪财
benevolence,n. 仁慈；善行
consternation,n. 惊愕；惊惶失措；恐怖
discomfiture,n. 狼狈；挫败，崩溃
elation,n. 兴高采烈，得意洋洋
exasperation,n. 恼怒；恶化；惹人恼怒的事
fortitude,n. 刚毅；不屈不挠；勇气
gusto,n. 爱好；由衷的高兴；嗜好
innuendo,"n. 暗讽，讽刺；影射
vt. 暗示，旁敲侧击地表达
vi. 影射；说讽刺话"
merriment,n. 欢喜；嬉戏
mirth,n. 欢笑；欢乐；高兴
peal,"n. 钟声，钟乐；隆隆声，响亮持久的声音；编钟
vt. 大声发出；使鸣响
vi. 大声鸣响；震响"
pomp,n. 盛况；浮华；壮丽；夸耀
predisposition,n. 倾向；素质；易染病体质
premonition,n. 预告；征兆
propensity,n. 倾向，习性；癖好，偏爱
stupor,n. 昏迷，恍惚；麻木
susceptibility,n. 敏感性；感情；磁化系数
vulgarity,n. 粗俗；粗俗语；粗野的动作
obituary,"adj. 讣告的；死亡的
n. 讣告"
ode,n. 赋；颂歌；颂诗
pigment,"n.  色素；颜料
vt. 给…着色
vi. 呈现颜色"
reverie,n. 幻想；沉思；幻想曲
tableau,n. 画面；活人画；戏剧性局面；生动的场面（复数tableaux）
adage,n. 格言，谚语；箴言
assimilation,n. 同化；吸收； 同化作用
blasphemy,n. 亵渎神明；轻视上帝或神祗
cant,"n. 斜面；伪善之言；黑话；角落
vi. 倾斜；讲黑话
vt. 把…棱角去掉；使…倾斜；甩掉
adj. 行话的；哀诉声的；假仁假义的"
cognition,n. 认识；知识；认识能力
concordance,n. 调和，一致；用语索引；著作或作家全集的重要用字索引
connotation,n. 内涵；含蓄；暗示，隐含意义；储蓄的东西（词、语等）
corollary,n. 推论；必然的结果
demography,n. 人口统计学
dichotomy,n. 二分法；两分；分裂；双歧分枝
dissertation,n. 论文，专题；学术演讲
ellipse,n.  椭圆形， 椭圆
fabrication,n. 制造，建造；装配；伪造物
feasibility,n. 可行性；可能性
fission,n. 裂变；分裂；分体；分裂生殖法
introspection,n. 内省；反省
lisp,"n. 口齿不清；咬舌发音
vi. 咬舌讲话；说话口齿不清
vt. 咬着舌说；口齿不清地说"
overtone,n.  泛音；暗示，寓意；弦外之音
penance,"n. 苦修；忏悔
vt. 使…以苦行赎罪"
precept,n. 规则；格言；训诫；命令
prerequisite,"n. 先决条件
adj. 首要必备的"
solvent,"n. 溶剂；解决方法
adj. 有偿付能力的；有溶解力的"
synopsis,n. 概要，大纲
syntax,n. 语法；句法；有秩序的排列
thesaurus,n. 宝库；辞典；知识宝库；分类词汇汇编
vector,"n. 矢量；带菌者；航线
vt. 用无线电导航"
zodiac,n. 黄道带; 黄道十二宫图; <罕>一圈
inception,"n. 起初；获得学位
n. 《盗梦空间》（电影名）"
interlude,"n. 插曲；穿插；幕间节目； 插算
vt. 使中断
vi. 插入"
itinerary,"n. 旅程，路线； 旅行日程
adj. 旅程的； 巡回的，流动的"
solstice,n. 至，至日；至点
zenith,"n. 顶峰；顶点；最高点
n. 真力时（瑞士名表）"
acorn,n.  橡子； 橡实
algae,n.  藻类； 海藻
bromide,n.  溴化物；庸俗的人；陈词滥调
chlorine,n.  氯（17号化学元素）
combustion,n. 燃烧，氧化；骚动
compost,"n. 堆肥；混合物
vt. 堆肥；施堆肥"
eddy,"n. 涡流；漩涡；逆流
vi. 旋转；起漩涡
vt. 使…起漩涡"
fern,n.  蕨； 蕨类植物
foliage,n. 植物；叶子（总称）
lava,n. 火山岩浆；火山所喷出的熔岩
nettle,"vt. 刺激；惹恼；用荨麻刺
n. 荨麻
adj. 荨麻科的"
nitrate,"n. 硝酸盐
vt. 用硝酸处理"
oxide,n.  氧化物
phosphorus,n. 磷
poppy,"n. 罂粟花；罂粟属植物；深红色
adj. 罂粟科的"
potassium,n.  钾
rind,"n. 壳；外皮
vt. 剥壳；削皮"
baloney,"n. 胡扯；熏肠；蠢货
vt. 对…胡扯
int. 荒谬（表示怀疑的感叹词）"
blemish,"n. 瑕疵；污点；缺点
vt. 玷污；损害；弄脏"
crease,"n. 折痕；折缝
vt. 弄皱；使起折痕
vi. 起皱"
decoy,"n. 诱饵；诱骗
vt. 诱骗
vi. 被诱"
delineation,n. 描述；画轮廓
embroidery,n. 刺绣；刺绣品；粉饰
fleece,"n. 羊毛，绒头织物；羊毛制的覆盖物
vt. 剪下羊毛；欺诈，剥削"
fluff,"n. 绒毛；错误；无价值的东西
vt. 念错；抖松；使…起毛
vi. 起毛；出错；变松"
froth,"n. 泡沫，泡；口沫
vi. 吐白沫；起泡沫
vt. 使生泡沫"
hearsay,"n. 传闻，谣言
adj. 传闻的，风闻的"
hem,"n. 边，边缘；摺边
vt. 包围；给...缝边
vi. 做褶边"
knell,"n. 丧钟声；凶兆；哀伤的声音
vi. 鸣丧钟；预报凶兆；发出哀伤之声
vt. 敲丧钟召集"
matrimony,n. 结婚，婚礼；婚姻生活
muck,"n. 淤泥；垃圾；肥料；品质低劣的东西
vt. 弄脏；施肥；清除…的污物
vi. 闲逛；鬼混"
sabbatical,"n. 休假（美国某些大学给大学教师每七年一次的）
adj. 安息日的"
smudge,"n. 污点，污迹；烟熏火堆
vt. 弄脏，涂污；用浓烟熏
vi. 被弄脏；形成污迹"
subsistence,n. 生活；生存；存在
thatch,"n. 茅草，杂草；浓密的头发；茅草屋顶
vt. 用茅草覆盖屋顶"
ventilation,n. 通风设备；空气流通
vestige,n. 遗迹；残余；退化的器官
wavelength,n.  波长
accession,"n. 增加；就职；到达
vt. 登记入册"
acclamation,n. 欢呼，喝彩；鼓掌欢呼表示通过
acquiescence,n. 默许；默从
amends,"n. 赔偿；赔罪
v. 修订（amend的第三人称单数）；改进"
amity,n. 友好；亲善关系；友好关系
brunt,n. 冲击；主要冲力
collusion,n. 勾结；共谋
consummation,n. 圆满成功；完成；成就；达到极点
corroboration,n. 确证，证实；确证的事实
crucifixion,n. 刑罚；苦难
debit,"n. 借方
vt. 记入借方，登入借方"
delinquency,n. 行为不良，违法犯罪；失职，怠工
deliverance,n. 释放，解救；救助；判决
furlough,"n. 休假；暂时解雇；放假
vt. 准假；暂时解雇"
induction,n.  感应；归纳法；感应现象；入门培训，入职仪式，就职；诱导
mutiny,"n. 兵变；叛乱；暴动
vi. 反叛；暴动；参加叛乱"
offshoot,n. 分支；支流；衍生物
onus,n. 责任，义务；负担
passbook,n. 银行存折；赊帐登录本
preponderance,n. 优势；多数；占优势
prerogative,"n. 特权
adj. 有特权的"
proviso,n. 附带条件；附文；限制性条款
quorum,n. 法定人数
reprieve,"n. 暂缓；缓刑
vt. 缓期执行；暂时解救"
restitution,n. 恢复；赔偿；归还
schism,n. 分裂；分裂教会罪
secession,n. 脱离；分离
slander,"n. 诽谤；中伤
vt. 诽谤；造谣中伤"
sortie,n. 出击；突围
stead,"n. 代替；用处
vt. 对…有利"
stricture,n. 狭窄；苛评；非难
tithe,"n. 什一税；小部分
vt. 课什一税
vi. 缴什一税"
chaff,"n. 糠；谷壳；无价值的东西
vi. 开玩笑；打趣
vt. 开玩笑；逗趣"
