rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
establish,"vi. 植物定植
vt. 建立；创办；安置"
invasion,n. 入侵，侵略；侵袭；侵犯
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
Roman Empire,
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
discover,"vi. 发现
vt. 发现；发觉"
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
intact,adj. 完整的；原封不动的；未受损伤的
precious,adj. 宝贵的；珍贵的；矫揉造作的
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
labour,n. （英国）工党
plough,"n. 犁；耕地（等于plow）
vi. 用犁耕田；开路
vt. 犁；耕"
arrow,"n. 箭，箭头；箭状物；箭头记号
vt. 以箭头指示；箭一般地飞向"
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
pottery,n. 陶器；陶器厂；陶器制造术
rock painting,
carving,"n. 雕刻；雕刻品；雕刻术
v. 雕刻（carve的ing形式）"
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
printing press,"n. 印刷机
 印刷厂；加压的印刷机；印刷术"
decade,n. 十年，十年期；十
century,n. 世纪，百年；（板球）一百分
phenomenon,n. 现象；奇迹；杰出的人才
religion,n. 宗教；宗教信仰
melting pot,"n. 熔炉（指多种民族、多种思想等融合混杂的地方或状况）
 大熔炉；熔化锅；熔锅"
immigration,n. 外来移民；移居
democratic,adj. 民主的；民主政治的；大众的
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
middle class,"n. 中产阶级；中等收入阶层
 中产阶层；中等阶级；中间阶层"
wealth,n. 财富；大量；富有
sufficient,adj. 足够的；充分的
committee,n. 委员会
divorce rate, 离婚率；外籍配偶
popularity,n. 普及，流行；名气；受大众欢迎
youth culture,"na. 青年文化
 青少年文化；年轻文化；也因而促使年轻文化"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
maturity,n. 成熟；到期；完备
parental,adj. 父母亲的，父母的；亲代的，亲本的
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
self-centred,adj. 自我中心的；自私自利的
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
old-fashioned,adj. 老式的；过时的；守旧的
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
legend,n. 传奇；说明；图例；刻印文字
realistic,adj. 现实的；现实主义的；逼真的；实在论的
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
motion picture,"n. 电影
adj. 电影的
 影片；动作片；电影片"
projection,n. 投射；规划；突出；发射；推测
adaptation,n. 适应；改编；改编本，改写本
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
subtitle,"n. 副标题；说明或对白的字幕
vt. 在…上印字幕；给…加副标题"
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
album,n. 相簿；唱片集；集邮簿；签名纪念册
symphony orchestra,"n. 交响乐团
 交响乐队；交响管弦乐队；管弦乐团"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
intelligent,adj. 智能的；聪明的；理解力强的
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
complicated,adj. 难懂的，复杂的
physical education,"n. 体育教学
 体育教育；体育课；物理教育"
PE,abbr. 体育课，体能训练（physical education）
gender studies, 性别研究；社会性别研究；性学研究
election,n. 选举；当选；选择权；上帝的选拔
stock market,"n. 股市；证券交易（所）；股票交易（所）
 股票市场；证券市场；牲畜市场"
strategic marketing, 战略营销；策略行销；战略市场营销
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
economy,n. 经济；节约；理财
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
investment,n. 投资；投入；封锁
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
consumer,n. 消费者；用户，顾客
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
funding,"n. 提供资金；用发行长期债券的方法来收回短期债券
v. 提供资金；积存（fund的ing形式）"
sponsorship,n. 赞助；发起；保证人的地位；教父母身份
risk management,"n. 风险控制
 风险管理；危险管理；风险控管"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
recognise,vt. 认出；承认，认可；识别
restriction,n. 限制；约束；束缚
mission statement,"n. （公司或组织的）宗旨说明
 使命宣言；使命陈述；使命声明"
project-oriented,项目导向的
competitive,adj. 竞争的；比赛的；求胜心切的
description,n. 描述，描写；类型；说明书
decision,n. 决定，决心；决议
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
barcode,n. 条形码；条码技术
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
remote working, 远距工作；远端工作
leadership,n. 领导能力；领导阶层
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
commodity,n. 商品，货物；日用品
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
productivity,n. 生产力；生产率；生产能力
creativity,n. 创造力；创造性
morale,n. 士气，斗志
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
global vision, 全球视野；国际视野；世界视野
combination,n. 结合；组合；联合； 化合
collaborate,vi. 合作；勾结，通敌
expertise,n. 专门知识；专门技术；专家的意见
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
successful,adj. 成功的；一帆风顺的
achievement,n. 成就；完成；达到；成绩
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
motivation,n. 动机；积极性；推动
determination,n. 决心；果断；测定
aspiration,n. 渴望；抱负；送气；吸气；吸引术
innovation,n. 创新，革新；新方法
stability,n. 稳定性；坚定，恒心
ignorance,n. 无知，愚昧；不知，不懂
superiority,n. 优越，优势；优越性
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
robbery,n. 抢劫，盗窃；抢掠
thief,n. 小偷，贼
theft,n. 盗窃；偷；赃物
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒"
violence,n. 暴力；侵犯；激烈；歪曲
bullying,"n. 恃强欺弱的行为
v. 欺负（bully的现在分词）"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
justice,n. 司法，法律制裁；正义；法官，审判员
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
punishment,n. 惩罚；严厉对待，虐待
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
victim,n. 受害人；牺牲品；牺牲者
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
deliberately,adv. 故意地；谨慎地；慎重地
intentional,adj. 故意的；蓄意的；策划的
misfortune,n. 不幸；灾祸，灾难
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
war,"n. 战争，斗争；军事，战术；冲突，对抗，竞争
vi. 打仗，作战；对抗"
weapon,n. 武器，兵器
poverty,n. 贫困；困难；缺少；低劣
private property,"na. 私有财产
 私人财产；私有制；私人物业"
indifference,n. 漠不关心；冷淡；不重视；中立
