solve,"vt. 解决；解答；溶解
vi. 作解答"
motivate,vt. 刺激；使有动机；激发…的积极性
rehearse,"vt. 排练；预演
vi. 排练；演习"
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
overhaul,"vt. 分解检查，大修；追上并超过
n. 彻底检修，详细检查"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
scenario,n. 方案；情节；剧本；设想
scout,"n. 搜索，侦察；侦察员；侦察机
vt. 侦察；跟踪，监视；发现
vi. 侦察；巡视；嘲笑"
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
microphone,n. 扩音器，麦克风
midst,"n. 当中，中间
prep. 在…中间（等于amidst）"
concession,n. 让步；特许（权）；承认；退位
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
navigation,n. 航行；航海
neutron,n.  中子
heritage,n. 遗产；传统；继承物；继承权
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
knob,"n. 把手；瘤；球形突出物
vi. 鼓起
vt. 使有球形突出物"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
carbohydrate,n.  碳水化合物； 糖类
publication,n. 出版；出版物；发表
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
magnet,n. 磁铁； 磁体；磁石
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
liability,n. 责任；债务；倾向；可能性；不利因素
erroneous,adj. 错误的；不正确的
vivid,adj. 生动的；鲜明的；鲜艳的
majesty,n. 威严；最高权威，王权；雄伟；权威
manuscript,"n.  手稿；原稿
adj. 手写的"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
lane,n. 小巷； 航线；车道；罚球区
seam,"n. 缝；接缝
vt. 缝合；接合；使留下伤痕
vi. 裂开；产生裂缝"
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
latent,adj. 潜在的；潜伏的；隐藏的
sham,"n. 假装；骗子；赝品
adj. 假的；虚假的；假装的
vt. 假装；冒充
vi. 假装；佯装"
lad,n. 少年，小伙子；家伙
formulate,vt. 规划；用公式表示；明确地表达
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
lavatory,n. 厕所，盥洗室
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
vocation,n. 职业；天职；天命；神召
specify,vt. 指定；详细说明；列举；把…列入说明书
brutal,adj. 残忍的；野蛮的，不讲理的
specimen,n. 样品，样本；标本
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
assembly,n. 装配；集会，集合
lick,"vt. 舔；卷过；鞭打
vt. （非正式）战胜
vi. 舔；轻轻拍打
n. 舔；打；少许"
ivory,"n. 象牙；乳白色；长牙
adj. 乳白色的；象牙制的"
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
statistics,n. 统计；统计学； 统计资料
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
irrigate,"vt. 灌溉；冲洗；使清新
vi. 灌溉；冲洗"
embody,vt. 体现，使具体化；具体表达
segment,"n. 段；部分
vt. 分割
vi. 分割"
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
constitute,vt. 组成，构成；建立；任命
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
isle,"n. 岛
vt. 使成为岛屿
vi. 住在岛屿上"
spectacular,adj. 壮观的，惊人的；公开展示的
certify,v. 证明；保证
senate,n. 参议院，上院；（古罗马的）元老院
enforce,vt. 实施，执行；强迫，强制
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
cherry,n. 樱桃；樱桃树；如樱桃的鲜红色；处女膜，处女
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
meantime,"n. 其时，其间
adv. 同时；其间"
zigzag,"n. 之字形；Z字形
vt. 使成之字形；使曲折行进
vi. 曲折行进；作之字形行进
adj. 曲折的；锯齿形的；之字形的
adv. 曲折地；之字形地；Z字形地"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
singular,"n. 单数
adj. 单数的；单一的；非凡的；异常的"
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
mechanic,"n. 技工，机修工
adj. 手工的"
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的"
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
forum,n. 论坛，讨论会；法庭；公开讨论的广场
watt,n. 瓦特
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
imitate,vt. 模仿，仿效；仿造，仿制
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
undo,"vt. 取消；解开；破坏；扰乱
vi. 撤消"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
consequently,adv. 因此；结果；所以
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
invaluable,adj. 无价的；非常贵重的
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
sunset,n. 日落，傍晚
reckless,adj. 鲁莽的，不顾后果的；粗心大意的
episode,n. 插曲；一段情节；插话；有趣的事件
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
cognitive,adj. 认知的，认识的
expel,vt. 驱逐；开除
confident,adj. 自信的；确信的
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
expenditure,n. 支出，花费；经费，消费额
application,n. 应用；申请；应用程序；敷用
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
hay,"n. 干草
vt. 把晒干
vi. 割草晒干"
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
intervene,vi. 干涉；调停；插入
ghost,"n. 鬼，幽灵
vt. 作祟于；替…捉刀；为人代笔
vi. 替人代笔"
expedition,n. 远征；探险队；迅速
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
install,vt. 安装；任命；安顿
underlie,vt. 成为……的基础；位于……之下
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
landlady,n. 女房东；女地主；女店主
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
beverage,n. 饮料
Latin,"adj. 拉丁语的；拉丁人的
n. 拉丁语；拉丁人"
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
mathematical,adj. 数学的，数学上的；精确的
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
mayor,n. 市长
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
meadow,n. 草地；牧场
emigrate,"vi. 移居；移居外国
vt. 移民"
graceful,adj. 优雅的；优美的
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
graphic,adj. 形象的；图表的；绘画似的
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
gratitude,n. 感谢（的心情）；感激
obligation,n. 义务；职责；债务
guild,n. 协会，行会；同业公会
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
negligible,adj. 微不足道的，可以忽略的
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
puppet,n. 木偶；傀儡；受他人操纵的人
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
heave,"n. 举起；起伏；投掷；一阵呕吐
vt. 举起；使起伏；投掷；恶心；发出（叹息等）
vi. 起伏；举起；喘息；呕吐"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
hedge,"v. 用树篱笆围住；避免作正面答复
n. 对冲，套期保值；树篱；障碍"
critic,n. 批评家，评论家；爱挑剔的人
honorable,adj. 光荣的；可敬的；高贵的
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
intrinsic,adj. 本质的，固有的
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
prosperity,n. 繁荣，成功
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
inhibit,vt. 抑制；禁止
civilize,"vt. 使文明；教化；使开化
vi. 变得文明"
compile,vt. 编译；编制；编辑； 汇编
regime,n. 政权，政体；社会制度；管理体制
inland,"n. 内地；内陆
adj. 内陆的；内地的；国内的
adv. 在内地；向内地；向内陆；在内陆"
whereas,conj. 然而；鉴于；反之
plaster,"n. 石膏；灰泥；膏药
vt. 减轻；粘贴；涂以灰泥；敷以膏药；使平服"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
inlet,"n. 入口，进口；插入物；水湾
v. 引进; 嵌入; 插入;"
preface,"n. 前言；引语
vt. 为…加序言；以…开始
vi. 作序"
jargon,n. 行话，术语；黄锆石
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
qualitative,adj. 定性的；质的，性质上的
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
jury,"n.  陪审团；评判委员会
adj. 应急的"
fixture,n. 设备；固定装置；固定于某处不大可能移动之物
metric,"adj. 公制的；米制的；公尺的
n. 度量标准"
refusal,n. 拒绝；优先取舍权；推却；取舍权
occurrence,n. 发生；出现；事件；发现
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
fireplace,n. 壁炉
remainder,"n.  余数，残余；剩余物；其余的人
adj. 剩余的；吃剩的
vt. 廉价出售；削价出售
vi. 廉价出售；削价出售"
realm,n. 领域，范围；王国
mill,"vi. 乱转；被碾磨
n. 工厂；磨坊；磨粉机；制造厂；压榨机
vt. 搅拌；碾磨；磨细；使乱转"
commerce,n. 贸易；商业；商务
moist,"adj. 潮湿的；多雨的；含泪的
n. 潮湿"
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
jolly,"adj. 愉快的；欢乐的；宜人的
adv. 很；非常
vt. （口）用好话劝某人做…；（口）用好话使高兴
vi. （口）开玩笑"
cooperate,vi. 合作，配合；协力
fireman,n. 消防队员；救火队员；锅炉工
moreover,adv. 而且；此外
obedient,adj. 顺从的，服从的；孝顺的
rifle,"n. 步枪；来复枪
vt. 用步枪射击；抢夺；偷走"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
ore,n. 矿；矿石
oriental,"adj. 东方的；东方人的
n. 东方人"
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
pact,n. 协定；公约；条约；契约
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
solidarity,n. 团结，团结一致
pad,"n. 衬垫；护具；便笺簿；填补
vi. 步行；放轻脚步走
vt. 填补；走"
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
tolerance,n. 公差；宽容；容忍；公差
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
snobbish,adj. 势利的
community,n. 社区； 群落；共同体；团体
liberate,vt. 解放；放出；释放
pail,n. 桶，提桶
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
acknowledge,vt. 承认；答谢；报偿；告知已收到
fearful,adj. 可怕的；担心的；严重的
genuine,adj. 真实的，真正的；诚恳的
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
cyberspace,n. 网络空间；赛博空间
portrait,n. 肖像；描写；半身雕塑像
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
regulate,vt. 调节，规定；控制；校准；有系统的管理
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
projector,n.  投影仪；放映机；探照灯；设计者
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
verdict,n. 结论；裁定
blade,n. 叶片；刀片，刀锋；剑
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
feminine,adj. 女性的；妇女（似）的；阴性的；娇柔的
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
poverty,n. 贫困；困难；缺少；低劣
portfolio,n. 公文包；文件夹；证券投资组合；部长职务
priority,n. 优先；优先权； 优先次序；优先考虑的事
composite,"n. 复合材料；合成物；菊科
adj. 复合的；合成的；菊科的
vt. 使合成；使混合"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
fertile,adj. 富饶的，肥沃的；能生育的
pronoun,n. 代词
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
royalty,n. 皇室；版税；王权；专利税
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
rub,"n. 摩擦；障碍；磨损处
vt. 擦；摩擦；惹怒
vi. 擦；摩擦；擦破"
inclusive,adj. 包括的，包含的
implicit,adj. 含蓄的；暗示的；盲从的
propaganda,n. 宣传；传道总会
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
profound,adj. 深厚的；意义深远的；渊博的
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
porch,n. 门廊；走廊
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
voltage,n.  电压
skeptical,adj. 怀疑的；怀疑论的，不可知论的
inspiration,n. 灵感；鼓舞；吸气；妙计
displace,vt. 取代；置换；转移；把…免职；排水
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
undoubtedly,adv. 确实地，毋庸置疑的
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
ruby,"n. 红宝石；红宝石色
adj. 红宝石色的
vt. 使带红宝石色"
foam,"n. 泡沫；水沫；灭火泡沫
vt. 使起泡沫；使成泡沫状物
vi. 起泡沫；吐白沫；起着泡沫流动"
skilled,adj. 熟练的；有技能的；需要技能的
rug,n. 小地毯；毛皮地毯；男子假发
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
disposal,n. 处理；支配；清理；安排
preferable,adj. 更好的，更可取的；更合意的
consumption,n. 消费；消耗；肺痨
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
volt,n. 伏特（电压单位）；环骑；闪避
miserable,adj. 悲惨的；痛苦的；卑鄙的
inject,vt. 注入；注射
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
fore,"n. 前部；船头
prep. 在前
adj. 以前的；在前部的
adv. 在前面；在船头
int. （打高尔夫球者的叫声）让开！"
aspect,n. 方面；方向；形势；外貌
comparison,n. 比较；对照；比喻；比较关系
ebb,"n. 衰退；退潮；衰落
vi. 衰退；减少；衰落；潮退"
snowstorm,n. 暴风雪；雪暴
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
ventilate,vt. 使通风；给…装通风设备；宣布
syndrome,n.  综合症状；并发症状；校验子；并发位
synthesis,n. 综合， 合成；综合体
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
velocity,n. 速度
zinc,"n. 锌
vt. 镀锌于…; 在…上镀锌"
enclosure,n. 附件；围墙；围场
layout,n. 布局；设计；安排；陈列
contribution,n. 贡献；捐献；投稿
gang,"n. 群；一伙；一组
vt. 使成群结队；结伙伤害或恐吓某人
vi. 成群结队"
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
comparative,"n. 比较级；对手
adj. 比较的；相当的"
integrity,n. 完整；正直；诚实；廉正
encyclopedia,n. 百科全书（亦是encyclopaedia）
porcelain,"n. 瓷；瓷器
adj. 瓷制的；精美的"
brim,"n. 边；边缘
vi. 满溢；溢出
vt. 使…满溢"
subtract,vt. 减去；扣掉
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
cultivate,vt. 培养；陶冶；耕作
remains,n. 残余；遗骸
brittle,adj. 易碎的，脆弱的；易生气的
remarkable,adj. 卓越的；非凡的；值得注意的
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
proposal,n. 提议，建议；求婚
subway,"n. 地铁；地道
vi. 乘地铁"
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
cemetery,n. 墓地；公墓
linguistic,adj. 语言的；语言学的
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
sauce,"n. 酱油；沙司；调味汁
vt. 使增加趣味；给…调味"
considerable,adj. 相当大的；重要的，值得考虑的
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
beneficial,adj. 有益的，有利的；可享利益的
distinct,adj. 明显的；独特的；清楚的；有区别的
relativity,n. 相对论；相关性；相对性
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
enclose,vt. 围绕；装入；放入封套
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
reciprocal,"n.  倒数；互相起作用的事物
adj. 互惠的；相互的；倒数的，彼此相反的"
endow,vt. 赋予；捐赠；天生具有
deteriorate,"vi. 恶化，变坏
vt. 恶化"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
flock,"n. 群；棉束（等于floc）
vi. 聚集；成群而行
vt. 用棉束填满"
parachute,"n. 降落伞
vi. 跳伞
空投"
deviate,"vi. 脱离；越轨
vt. 使偏离"
geology,n. 地质学；地质情况
devil,"n. 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼
vt. 虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮"
notion,n. 概念；见解；打算
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
heir,n.  继承人；后嗣；嗣子
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
staircase,n. 楼梯
monetary,adj. 货币的；财政的
productivity,n. 生产力；生产率；生产能力
complaint,n. 抱怨；诉苦；疾病；委屈
hysterical,adj. 歇斯底里的；异常兴奋的
suppress,vt. 抑制；镇压；废止
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
clergy,n. 神职人员；牧师；僧侣
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
maintain,vt. 维持；继续；维修；主张；供养
infectious,adj. 传染的；传染性的；易传染的
interference,n. 干扰，冲突；干涉
fertilizer,n.  肥料；受精媒介物；促进发展者
darling,n. 心爱的人；亲爱的
hemisphere,n. 半球
intact,adj. 完整的；原封不动的；未受损伤的
daunt,vt. 使气馁，使畏缩；威吓
feudal,adj. 封建制度的；领地的；世仇的
layoff,n. 活动停止期间；临时解雇；操作停止；失业期
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
legacy,n. 遗赠，遗产
decimal,"n. 小数
adj. 小数的；十进位的"
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
offspring,n. 后代，子孙；产物
patron,n. 赞助人；保护人；主顾
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
edible,"n. 食品；食物
adj. 可食用的"
famine,n. 饥荒；饥饿，奇缺
stale,"n. 尿
adj. 陈腐的；不新鲜的
vt. 使变旧；变得不新鲜
vi. 变陈旧；撒尿；变得不新鲜"
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
paw,"n. 爪子；手
vt. 抓，扒；亲昵地抚摸
vi. 用爪子抓；翻找"
moss,"n. 苔藓；泥沼
vt. 使长满苔藓"
prospective,"n. 预期；展望
adj. 未来的；预期的"
odor,n. 气味；名声
pebble,"n. 卵石；水晶透镜
vt. 用卵石铺"
viewpoint,n. 观点，看法；视角
context,n. 环境；上下文；来龙去脉
