criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
biology,n. （一个地区全部的）生物；生物学
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
pursuit,n. 追赶，追求；职业，工作
agriculture,n. 农业；农耕；农业生产；农艺，农学
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
resultant,"n. 合力；结果； 生成物
adj. 结果的；合成的"
prediction,n. 预报；预言
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
ultrasonic,"n. 超声波
adj.  超声的；超音速的"
emitter,n. 发射器，发射体
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
optical,adj. 光学的；眼睛的，视觉的
embed,vt. 栽种；使嵌入，使插入；使深留脑中
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
range from ... to ...,
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
peasant,n. 农民；乡下人
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
solidarity,n. 团结，团结一致
affection,n. 喜爱，感情；影响；感染
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
meditation,n. 冥想；沉思，深思
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
thesis,n. 论文；论点
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
formula,n.  公式，准则；配方；婴儿食品
weighted,"adj.  加权的；加重的；衡量过的
v. 加重量于…；重压（weight的过去分词）"
excavate,"vt. 挖掘；开凿
vi. 发掘；细查"
complicated,adj. 难懂的，复杂的
extensive,adj. 广泛的；大量的；广阔的
set the stage for, 促成；为…做准备；使…可能
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
casualty,n. 意外事故；伤亡人员；急诊室
call on,"na. 号召；指名要(某人)去干(某事)；请求；访问
 拜访；呼吁；拜访某人"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
theoretical,adj. 理论的；理论上的；假设的；推理的
argument,n. 论证；论据；争吵；内容提要
advocacy,n. 主张；拥护；辩护
impasse,n. 僵局；死路
traditional,adj. 传统的；惯例的
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）"
colorful,adj. 华美的；有趣的；富有色彩的
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
successful,adj. 成功的；一帆风顺的
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
combative,adj. 好战的；好事的
setter,n.  调节器；作曲者；排字工人；安装员，从事安装的人
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
meadow,n. 草地；牧场
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
criticism,n. 批评；考证；苛求
headlong,"adj. 轻率的；头向前的；匆促而用力的
adv. 头向前地；猛然用力地"
threat,n. 威胁，恐吓；凶兆
monopoly,n. 垄断；垄断者；专卖权
fierce,adj. 凶猛的；猛烈的；暴躁的
worse,"n. 更坏的事；更恶劣的事
adj. 更坏的；更差的；更恶劣的（bad的比较级）；（病情）更重的（ill的比较级）
adv. 更糟；更坏；更恶劣地；更坏地"
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
transition,n. 过渡；转变； 转换；变调
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
confusing,"v. 使迷惑；使混乱不清；使困窘（confuse的ing形式）
adj. 混乱的；混淆的；令人困惑的"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
surprising,"v. 使惊奇；意外发现（surprise的ing形式）
adj. 令人惊讶的；意外的"
considerable,adj. 相当大的；重要的，值得考虑的
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
equally,adv. 同样地；相等地，平等地；公平地
performative,"n. 述行成分，述行语
adj. 表述行为的"
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
dentist,"n. 牙科医生
牙医诊所"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
discuss,vt. 讨论；论述，辩论
downside,"n. 负面，缺点；下降趋势；底侧
adj. 底侧的"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
hardline,"adj. 强硬的；不妥协的
n. 强硬路线"
governor,n. 主管人员；统治者，管理者； 调节器；地方长官
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
off-the-cuff,adj. 即席的
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
unforced,"adj. 自然的；不勉强的
v. 非被强迫（unforce的过去分词）"
census,"n. 人口普查，人口调查
vt. 实施统计调查"
dramatize,"vt. 使戏剧化；编写剧本；改编成戏剧
vi. 戏剧化"
spacious,adj. 宽敞的，广阔的；无边无际的
Far West, 远西；遥远的西部；遥远西部
conservation,n. 保存，保持；保护
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
consumption,n. 消费；消耗；肺痨
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
deed,"n. 行动；功绩；证书； 契据
vt. 立契转让"
consideration,n. 考虑；原因；关心；报酬
commodity,n. 商品，货物；日用品
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
broadly,adv. 明显地；宽广地；概括地；露骨地；粗鄙地
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
consist of,"v. 由…合成
 由……组成；由…构成；包括"
assimilation,n. 同化；吸收； 同化作用
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
inference,n. 推理；推论；推断
exceptional,"n. 超常的学生
adj. 异常的，例外的"
formulation,n. 构想，规划；公式化；简洁陈述
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
upstart,"n. 暴发户；自命不凡的人；傲慢自负的人
adj. 暴富的；自命不凡的
vt. 使…突然跳起；使…崛起
vi. 突然跳起；崛起"
prestige,n. 威望，声望；声誉
presumptuous,adj. 专横的；放肆的；冒昧的
scientist,n. 科学家
businessman,n. 商人
accountant,n. 会计师；会计人员
downshift,"n. 换低速档
vt. 使…调低速挡；使工作降格
vi. 调低速档；工作降格"
simplicity,n. 朴素；简易；天真；愚蠢
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
consumerism,n. 保护消费者利益运动；用户至上主义
paralyze,vt. 使麻痹；使瘫痪
helmet,n. 钢盔，头盔
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
injury,n. 伤害，损害；受伤处
flexible,adj. 灵活的；柔韧的；易弯曲的
compete,vi. 竞争；比赛；对抗
hotly,adv. 激烈地；热心地；暑热地
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
reluctant,adj. 不情愿的；勉强的；顽抗的
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
robust,adj. 强健的；健康的；粗野的；粗鲁的
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
sedition,n. 暴动；煽动性的言论或行为；妨害治安
statistical,adj. 统计的；统计学的
association,n. 协会，联盟，社团；联合；联想
statistics,n. 统计；统计学； 统计资料
paternal,adj. 父亲的；得自父亲的；父亲般的
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
servant,n. 仆人，佣人；公务员；雇工
conceal,vt. 隐藏；隐瞒
sharpen,"vt. 削尖；磨快；使敏捷；加重
vi. 尖锐；变锋利"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
preparation,n. 预备；准备
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
deteriorate,"vi. 恶化，变坏
vt. 恶化"
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
intensely,adv. 强烈地；紧张地；热情地
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
appointment,n. 任命；约定；任命的职位
unpretentious,adj. 谦逊的；含蓄的；不炫耀的；不铺张的
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
symbolic,adj. 象征的；符号的；使用符号的
embody,vt. 体现，使具体化；具体表达
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
puritan,"n. 清教徒
adj. 清教徒的"
carrier,n.  载体；运送者；带菌者；货架
circumstance,n. 环境，情况；事件；境遇
overstate,vt. 夸张；夸大的叙述
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
illiquidity,n.  非流动性；非现金的；不能立即付现
debt,n. 债务；借款；罪过
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
arise,vi. 出现；上升；起立
abiding,"v. 遵守；容忍；继续存在（abide的现在分词）
adj. 持久的，永久的；不变的"
exemplify,vt. 例证；例示
civilize,"vt. 使文明；教化；使开化
vi. 变得文明"
innate,adj. 先天的；固有的；与生俱来的
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
analogy,n. 类比；类推；类似
envision,vt. 想象；预想
deduce,vt. 推论，推断；演绎出
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
government,n. 政府；政体；管辖
regulatory,adj. 管理的；控制的；调整的
concerning,"prep. 关于；就…而言
v. 涉及；使关心（concern的ing形式）；忧虑"
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
delinquency,n. 行为不良，违法犯罪；失职，怠工
either ... or ...,
upcoming,adj. 即将来临的
level,"n. 水平；标准；水平面
adj. 水平的；平坦的；同高的
vi. 瞄准；拉平；变得平坦
vt. 使同等；对准；弄平"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
extremely,adv. 非常，极其；极端地
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
supportive,adj. 支持的；支援的；赞助的
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
conception,n. 怀孕；概念；设想；开始
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
feverish,adj. 发热的；极度兴奋的
indictment,n. 起诉书；控告
obliged,"adj. 必须的；感激的；有责任的
v. 要求；约束；施恩惠（oblige的过去分词）"
die out,"na. 死绝
 灭绝；消失；逐渐消失"
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
beaming,"adj. 喜气洋洋的；愉快的；光亮的；耀眼的
v. 照耀（beam的ing形式）"
celebrity,n. 名人；名声
agenda,n. 议程；日常工作事项；日程表
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
bureaucracy,n. 官僚主义；官僚机构；官僚政治
bargaining,"n. 讨价还价；交易；交涉
v. 讨价还价；交易（bargain的ing形式）"
pool,"n. 联营；撞球；水塘；共同资金
vt. 合伙经营
vi. 联营，合伙经营"
Ottawa,n. 渥太华（加拿大首都）
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
bacterial,adj.  细菌的
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
controversy,n. 争论；论战；辩论
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
California,n. 加利福尼亚（美国一个州）
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
pamphlet,n. 小册子
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
infrastructure,n. 基础设施；公共建设；下部构造
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
delivery,n.  交付；分娩；递送
excessive,adj. 过多的，极度的；过分的
constraint,n.  约束；局促，态度不自然；强制
surname,"n. 姓，姓氏；绰号，别名
vt. 给…起别名；给…姓氏"
predecessor,n. 前任，前辈
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
enterprise,n. 企业；事业；进取心；事业心
silicon,n.  硅；硅元素
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
fertile,adj. 富饶的，肥沃的；能生育的
silt,"n. 淤泥，泥沙；煤粉；残渣
vt. 使淤塞；充塞
vi. 淤塞，充塞；为淤泥堵塞"
reservoir,n. 水库；蓄水池
generate,vt. 使形成；发生；生殖；产生物理反应
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
statesman,n. 政治家；国务活动家
political,adj. 政治的；党派的
depend,vi. 依赖，依靠；取决于；相信，信赖
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
empirical,adj. 经验主义的，完全根据经验的；实证的
universality,n. 普遍性；广泛性；一般性；多方面性
trait,n. 特性，特点；品质；少许
result from,"v. 由于
 由...产生；起因于；由…引起"
imagination,n.  想象力；空想；幻想物
at the mercy of,"na. 完全受…支配
 在…支配下；完全受...支配；任由…摆布"
drought,n. 干旱；缺乏
fascinating,"adj. 迷人的；吸引人的；使人神魂颠倒的
v. 使…着迷；使…陶醉（fascinate的ing形式）"
profitably,adv. 有利地；有益地
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
logistics,"n.  后勤；后勤学
物流"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
financial,adj. 金融的；财政的，财务的
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
miniaturization,n. 小型化，微型化
surgery,n. 外科；外科手术；手术室；诊疗室
submillimeter,n. 亚毫米
accuracy,n.  精确度，准确性
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
industriousness,n. 勤勉，勤奋
thrift,n. 节俭；节约； 海石竹
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
morality,n. 道德；品行，美德
forbid,vt. 禁止；不准；不允许；严禁
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
offspring,n. 后代，子孙；产物
endanger,vt. 危及；使遭到危险
profession,n. 职业，专业；声明，宣布，表白
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
outsider,n. 外人；无取胜希望者
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
ethically,adv. 伦理上
organism,n. 有机体；生物体；微生物
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
accessible,adj. 易接近的；可进入的；可理解的
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
circulation,n. 流通，传播；循环；发行量
overrule,vt. 否决；统治；对…施加影响
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
perpetuity,n. 永恒
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
enslavement,n. 奴役
wholesale,"n. 批发
adj. 批发的；大规模的
vt. 批发
adv. 大规模地；以批发方式
vi. 批发；经营批发业"
segment,"n. 段；部分
vt. 分割
vi. 分割"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
recession,n. 衰退；不景气；后退；凹处
anxious,adj. 焦虑的；担忧的；渴望的；急切的
requirement,n. 要求；必要条件；必需品
deter,vt. 制止，阻止；使打消念头
exist,vi. 存在；生存；生活；继续存在
intricacy,n. 错综，复杂；难以理解
demographic,adj. 人口统计学的；人口学的
inclusive,adj. 包括的，包含的
innovative,adj. 革新的，创新的；新颖的；有创新精神的
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
lump sth. together,
philosopher,n. 哲学家；哲人
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
enlightened,"v. 启迪（enlighten的过去式）
adj. 开明的；文明的；进步的；被启发的"
hypothesis,n. 假设
inappropriate,adj. 不适当的；不相称的
emphasize,vt. 强调，着重
determinism,n.  决定论
ignorant,adj. 无知的；愚昧的
organic being,
wholly,adv. 完全地；全部；统统
comprehension,n. 理解；包含
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
productivity,n. 生产力；生产率；生产能力
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
rebound,"n. 回弹；篮板球
v. 重新装订（rebind的过去式和过去分词）
vt. 使弹回
vi. 回升；弹回"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
feasible,adj. 可行的；可能的；可实行的
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
biological,adj. 生物的；生物学的
utopia,
species,"n.  物种；种类
adj. 物种上的"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
disgraced,"adj. 失宠的；遭贬谪的
v. 耻辱；贬谪（disgrace的过去式和过去分词）"
insist,"vi. 坚持，强调
vt. 坚持，强调"
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
preceding,"v. 在...之前（precede的ing形式）
adj. 在前的；前述的"
abundance,n. 充裕，丰富
Homo sapiens,"na. 人；人类
 智人；现代人；克罗马侬人"
distribute,vt. 分配；散布；分开；把…分类
adaptable,adj. 适合的；能适应的；可修改的
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
baseline,n. 基线；底线
management,n. 管理；管理人员；管理部门；操纵；经营手段
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
detect,vt. 察觉；发现；探测
context,n. 环境；上下文；来龙去脉
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
emphasis,n. 重点；强调；加强语气
stability,n. 稳定性；坚定，恒心
supervision,n. 监督，管理
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
so-called,adj. 所谓的；号称的
digital,"n. 数字；键
adj. 数字的；手指的"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
bilingual,"n. 通两种语言的人
adj. 双语的"
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
dealing,n. 交易；行为
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
brutal,adj. 残忍的；野蛮的，不讲理的
enemy,"n. 敌人，仇敌；敌军
adj. 敌人的，敌方的"
insurance,n. 保险；保险费；保险契约；赔偿金
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
element,n. 元素；要素；原理；成分；自然环境
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
Olympic,adj. 奥林匹斯山的，奥林匹亚的；奥林匹克的
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
astronaut,n. 宇航员，航天员；太空旅行者
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
superbly,adv. 雄伟地；壮丽地；上等地；庄重地
soaring,"adj. 翱翔的；高耸的；猛增的
v. 高耸（soar的现在分词形式）；高飞；猛增"
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
abolish,vt. 废除，废止；取消，革除
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
jury,"n.  陪审团；评判委员会
adj. 应急的"
procedure,n. 程序，手续；步骤
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
phenomenon,n. 现象；奇迹；杰出的人才
economic,adj. 经济的，经济上的；经济学的
fragile,adj. 脆的；易碎的
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
category,n. 种类，分类； 范畴
hail,"n. 冰雹；致敬；招呼；一阵
vt. 致敬；招呼；向...欢呼；猛发；使像下雹样落下（过去式hailed，过去分词hailed，现在分词hailing，第三人称单数hails）
int. 万岁；欢迎
vi. 招呼；下雹"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
visual,adj. 视觉的，视力的；栩栩如生的
occur,vi. 发生；出现；存在
conscious,adj. 意识到的；故意的；神志清醒的
deliberation,n. 审议；考虑；从容；熟思
tolerant,adj. 宽容的；容忍的；有耐药力的
variety,n. 多样；种类；杂耍；变化，多样化
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
mainland,"n. 大陆；本土
adj. 大陆的；本土的"
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
eminent,adj. 杰出的；有名的；明显的
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
dazzling,"adj. 耀眼的；眼花缭乱的
v. 使…眼花（dazzle的ing形式）"
namely,adv. 也就是；即是；换句话说
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
rotating,"adj.  旋转的
v. 旋转；轮流（rotate的ing形式）"
professor,n. 教授；教师；公开表示信仰的人
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
