actual,adj. 真实的，实际的；现行的，目前的
mutual,adj. 共同的；相互的，彼此的
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
optional,"adj. 可选择的，随意的
n. 选修科目"
natural,"adj. 自然的；物质的；天生的；不做作的
n. 自然的事情；白痴；本位音"
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
occasional,adj. 偶然的；临时的；特殊场合的
operational,adj. 操作的；运作的
oral,"n. 口试
adj. 口头的，口述的"
partial,adj. 局部的；偏爱的；不公平的
perpetual,adj. 永久的；不断的；四季开花的；无期限的
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
punctual,adj. 准时的，守时的；精确的
racial,adj. 种族的；人种的
rational,"n. 有理数
adj. 合理的；理性的"
reciprocal,"n.  倒数；互相起作用的事物
adj. 互惠的；相互的；倒数的，彼此相反的"
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
rural,adj. 农村的，乡下的；田园的，有乡村风味的
several,"adj. 几个的；各自的
pron. 几个；数个"
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
trivial,adj. 不重要的，琐碎的；琐细的
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
unusual,adj. 不寻常的；与众不同的；不平常的
usual,adj. 通常的，惯例的；平常的
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
visual,adj. 视觉的，视力的；栩栩如生的
vital,adj. 至关重要的；生死攸关的；有活力的
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
animal,"n. 动物
动物的"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
decimal,"n. 小数
adj. 小数的；十进位的"
digital,"n. 数字；键
adj. 数字的；手指的"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
final,"n. 决赛；期末考试；当日报纸的末版
adj. 最终的；决定性的；不可更改的"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
manual,"adj. 手工的；体力的
n. 手册，指南"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
oriental,"adj. 东方的；东方人的
n. 东方人"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
oval,"adj. 椭圆的；卵形的
n. 椭圆形；卵形"
plural,"n. 复数
adj. 复数的"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
serial,"n. 电视连续剧； 期刊；连载小说
adj. 连续的；连载的；分期偿还的"
appal,"vt. 使惊骇；惊吓
vi. 减弱；变得苍白；令人发腻"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
pedal,"n. 踏板；脚蹬子
vi. 踩踏板；骑车
vt. 骑（自行车）；踩……的踏板
adj. 脚的；脚踏的"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
total,"n. 总数，合计
adj. 全部的；完全的；整个的
vt. 总数达
vi. 合计"
suburban,"n. 郊区居民
adj. 郊区的，城郊的；土气的；见闻不广的"
Canadian,"n. 加拿大人
adj. 加拿大（人）的"
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
republican,"n. 共和党人
adj. 共和党的
共和的"
urban,adj. 城市的；住在都市的
abundant,adj. 丰富的；充裕的；盛产
arrogant,adj. 自大的，傲慢的
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
fragrant,adj. 芳香的；愉快的
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
ignorant,adj. 无知的；愚昧的
important,adj. 重要的，重大的；有地位的；有权力的
indignant,adj. 愤愤不平的；义愤的
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
malignant,"adj.  恶性的；有害的；有恶意的
n. 保王党员；怀恶意的人"
pleasant,adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
pregnant,adj. 怀孕的；富有意义的
radiant,"n. 光点；发光的物体
adj. 辐射的；容光焕发的；光芒四射的"
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
reluctant,adj. 不情愿的；勉强的；顽抗的
remnant,"n. 剩余
adj. 剩余的"
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
resultant,"n. 合力；结果； 生成物
adj. 结果的；合成的"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
tolerant,adj. 宽容的；容忍的；有耐药力的
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
adjacent,adj. 邻近的，毗连的
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
apparent,adj. 显然的；表面上的
competent,adj. 胜任的；有能力的；能干的；足够的
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
consistent,adj. 始终如一的，一致的；坚持的
convenient,adj. 方便的；适当的；近便的；实用的
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
decent,adj. 正派的；得体的；相当好的
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
different,adj. 不同的；个别的，与众不同的
diligent,adj. 勤勉的；用功的，费尽心血的
efficient,adj. 有效率的；有能力的；生效的
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
evident,adj. 明显的；明白的
excellent,adj. 卓越的；极好的；杰出的
fluent,adj. 流畅的，流利的；液态的；畅流的
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
impatient,adj. 焦躁的；不耐心的
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
intelligent,adj. 智能的；聪明的；理解力强的
intermittent,adj. 间歇的；断断续续的；间歇性
latent,adj. 潜在的；潜伏的；隐藏的
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
obedient,adj. 顺从的，服从的；孝顺的
Orient,
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
precedent,"n. 先例；前例
adj. 在前的；在先的"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
president,n. 总统；董事长；校长；主席
prevalent,adj. 流行的；普遍的，广传的
prominent,adj. 突出的，显著的；杰出的；卓越的
prudent,adj. 谨慎的；精明的；节俭的
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
silent,"n. 无声电影
adj. 沉默的；寂静的；无记载的"
subsequent,adj. 后来的，随后的
sufficient,adj. 足够的；充分的
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
transparent,adj. 透明的；显然的；坦率的；易懂的
urgent,adj. 紧急的；急迫的
violent,adj. 暴力的；猛烈的
advisory,"n. 报告；公告
adj. 咨询的；顾问的；劝告的"
customary,"n. 习惯法汇编
adj. 习惯的；通常的"
arbitrary,adj.  任意的；武断的；专制的
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
elementary,adj. 基本的；初级的； 元素的
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
imaginary,adj. 虚构的，假想的；想像的；虚数的
literary,adj. 文学的；书面的；精通文学的
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
missionary,"adj. 传教的；传教士的
n. 传教士"
monetary,adj. 货币的；财政的
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
rotary,"n. 旋转式机器； 转缸式发动机
adj. 旋转的，转动的；轮流的"
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
satisfactory,adj. 满意的；符合要求的；赎罪的
anniversary,n. 周年纪念日
boundary,n. 边界；范围；分界线
diary,n. 日志，日记；日记簿
dictionary,n. 字典；词典
February,n. 二月
January,n. 一月
library,n. 图书馆，藏书室；文库
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
vocabulary,n. 词汇；词表；词汇量
salary,"n. 薪水
vt. 给...加薪；给...薪水"
secretary,n. 秘书；书记；部长；大臣
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
category,n. 种类，分类； 范畴
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
factory,n. 工厂；制造厂；代理店
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
history,n. 历史，历史学；历史记录；来历
inventory,n. 存货，存货清单；详细目录；财产清册
lavatory,n. 厕所，盥洗室
memory,n. 记忆，记忆力；内存， 存储器；回忆
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
territory,n. 领土，领域；范围；地域；版图
theory,n. 理论；原理；学说；推测
victory,n. 胜利；成功；克服
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
accumulate,"vt. 积攒
vi. 累积；积聚"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
aggravate,vt. 加重；使恶化；激怒
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
alleviate,vt. 减轻，缓和
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
anticipate,vt. 预期，期望；占先，抢先；提前使用
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
assassinate,vt. 暗杀；行刺
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
collaborate,vi. 合作；勾结，通敌
commemorate,vt. 庆祝，纪念；成为…的纪念
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
complicate,vt. 使复杂化；使恶化；使卷入
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
congratulate,vt. 祝贺；恭喜；庆贺
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
cooperate,vi. 合作，配合；协力
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
create,vt. 创造，创作；造成
cultivate,vt. 培养；陶冶；耕作
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
dedicate,vt. 致力；献身；题献
delegate,"n. 代表
vt. 委派…为代表"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
deteriorate,"vi. 恶化，变坏
vt. 恶化"
deviate,"vi. 脱离；越轨
vt. 使偏离"
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
differentiate,"vt. 区分，区别
vi. 区分，区别"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
dissipate,"vi. 驱散；放荡
vt. 浪费；使…消散"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
educate,"vt. 教育；培养；训练
vi. 教育；训练"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
eliminate,vt. 消除；排除
emigrate,"vi. 移居；移居外国
vt. 移民"
escalate,"vt. 使逐步上升
vi. 逐步增强；逐步升高"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
evacuate,"vt. 疏散，撤退；排泄
vi. 疏散；撤退；排泄"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
fabricate,vt. 制造；伪造；装配
facilitate,vt. 促进；帮助；使容易
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
formulate,vt. 规划；用公式表示；明确地表达
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
generate,vt. 使形成；发生；生殖；产生物理反应
hate,"n. 憎恨；反感
vt. 憎恨；厌恶；遗憾
vi. 仇恨"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
humiliate,vt. 羞辱；使…丢脸；耻辱
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
imitate,vt. 模仿，仿效；仿造，仿制
indicate,vt. 表明；指出；预示；象征
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
insulate,vt. 隔离，使孤立；使绝缘，使隔热
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
intimidate,vt. 恐吓，威胁；胁迫
investigate,v. 调查；研究
irrigate,"vt. 灌溉；冲洗；使清新
vi. 灌溉；冲洗"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
liberate,vt. 解放；放出；释放
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
lubricate,"vi. 润滑；涂油；起润滑剂作用
vt. 使…润滑；给…加润滑油"
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
meditate,"vt. 考虑；计划；企图
vi. 冥想；沉思"
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
motivate,vt. 刺激；使有动机；激发…的积极性
necessitate,vt. 使成为必需，需要；迫使
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
nominate,vt. 推荐；提名；任命；指定
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
regulate,vt. 调节，规定；控制；校准；有系统的管理
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
renovate,vt. 更新；修复；革新；刷新
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
segregate,vt. 使隔离；使分离；在…实行种族隔离
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
skate,"n. 溜冰；冰鞋
vi. 滑冰；滑过"
speculate,"vi. 推测；投机；思索
vt. 推断"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
tolerate,vt. 忍受；默许；宽恕
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
underestimate,"n. 低估
vt. 低估；看轻"
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
ventilate,vt. 使通风；给…装通风设备；宣布
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
violate,vt. 违反；侵犯，妨碍；亵渎
considerate,adj. 体贴的；体谅的；考虑周到的
fortunate,adj. 幸运的；侥幸的；吉祥的；带来幸运的
accurate,adj. 精确的
adequate,adj. 充足的；适当的；胜任的
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
immediate,adj. 立即的；直接的；最接近的
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
intricate,adj. 复杂的；错综的，缠结的
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
up-to-date,adj. 最新的，最近的；现代的，新式的
candidate,n. 候选人，候补者；应试者
carbohydrate,n.  碳水化合物； 糖类
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
chocolate,"n. 巧克力，巧克力糖；巧克力色
adj. 巧克力色的；巧克力口味的"
climate,n. 气候；风气；思潮；风土
doctorate,n. 博士学位；博士头衔
estate,n. 房地产；财产；身份
magistrate,n. 地方法官；文职官员；治安推事
senate,n. 参议院，上院；（古罗马的）元老院
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
golden,adj. 金色的，黄金般的；珍贵的；金制的
wooden,adj. 木制的；僵硬的，呆板的
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
green,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
maiden,"adj. 未婚的，处女的；初次的
n. 少女；处女"
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
rotten,"adj. 腐烂的；堕落的；恶臭的；虚弱的；极坏的
adv. 非常"
sudden,"n. 突然发生的事
adj. 突然的，意外的；快速的"
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
heaven,n. 天堂；天空；极乐
kindergarten,n. 幼儿园；幼稚园
kitchen,n. 厨房；炊具；炊事人员
linen,"n. 亚麻布，亚麻线；亚麻制品
adj. 亚麻的；亚麻布制的"
oven,n. 炉，灶；烤炉，烤箱
queen,"n. 女王，王后；（纸牌中的）皇后；（蜜蜂等的）蜂王
vt. 使…成为女王或王后
vi. 做女王"
canteen,n. 食堂，小卖部；水壶
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
citizen,n. 公民；市民；老百姓
dozen,"n. 十二个，一打
adj. 一打的"
carefree,adj. 无忧无虑的；不负责的
duty-free,"adj. 免税的
adv. 免税地"
careful,adj. 仔细的，小心的
painful,adj. 痛苦的；疼痛的；令人不快的
awful,adj. 可怕的；极坏的；使人敬畏的
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
faithful,adj. 忠实的，忠诚的；如实的；准确可靠的
fearful,adj. 可怕的；担心的；严重的
fruitful,adj. 富有成效的；多产的；果实结得多的
graceful,adj. 优雅的；优美的
grateful,adj. 感谢的；令人愉快的，宜人的
helpful,adj. 有帮助的；有益的
hopeful,"n. 有希望成功的人
adj. 有希望的；有前途的"
useful,adj. 有用的，有益的；有帮助的
peaceful,adj. 和平的，爱好和平的；平静的
plentiful,adj. 丰富的；许多的；丰饶的；众多的
powerful,"adj. 强大的；强有力的
adv. 很；非常"
skillful,adj. 熟练的；巧妙的
successful,adj. 成功的；一帆风顺的
thoughtful,adj. 深思的；体贴的；关切的
wonderful,adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
atomic,adj. 原子的，原子能的；微粒子的
psychological,adj. 心理的；心理学的；精神上的
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
