looter,n. 抢劫者
duster,n. 抹布，掸子；除尘器；打扫灰尘的人
dapper,adj. 短小精悍的；衣冠楚楚的；整洁的；整齐的
divider,n.  除法器；分隔物；圆规
teenaged,adj. 十几岁的；青少年的
speechwriter,n. 演讲稿撰写人
drunkenness,n. 醉态；酒醉
gutsy,adj. 勇敢的；贪婪的；有种的；胆大的
chutney,n. 酸辣酱
one-of-a-kind,adj. 每种只有一个的
disrespect,n. 无礼，失礼，不敬
tracer,n.  示踪物；追踪者；描图者；（铁笔等）绘图工具
impersonate,vt. 扮演；模仿；拟人，人格化
machinist,n. 机械工；机械师；机械安装修理工
expendable,"n. 消耗品
adj. 可消费的；排出的；不重复使用的；可牺牲的"
startlingly,adv. 惊人地；使人惊奇地
impinge,"vi. 撞击；侵犯
vt. 撞击"
prune,"n. 深紫红色；傻瓜；李子干
vt. 修剪；删除；剪去
vi. 删除；减少"
self-taught,adj. 自学的；自修的
discontinuity,n. 不连续；中断；间断性；断绝
sagebrush,n.  蒿属植物（产于美国西部）
vitally,adv. 极其；紧要地；生死攸关地
auburn,"n. 赤褐色
adj. 赤褐色的，赭色的"
glitzy,adj. 眩目的；（美、加）闪光的；耀眼的
bye,"n. 轮空；次要的东西
int. 再见
adj. 次要的"
seer,n. 预言家；幻想家；先知者
interconnection,n.  互连；互相连络
black-owned,
oncology,n.  肿瘤学
disassemble,vt. 拆开，解开；反汇编
multipurpose,adj. 多目标的；多种用途的
broadband,"n. 宽频；宽波段
adj. 宽频带的；宽波段的；宽频通讯的"
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞"
pearly,adj. 珍贵的；珍珠似的；生产珍珠的；用珍珠装饰的
no-hitter,n. （棒球）无安打赛局
spurious,adj. 假的；伪造的；欺骗的
destroyed,"v. 破坏（destroy的过去分词）
adj. 被毁，毁坏；遭破坏的"
splurge,"n. 挥霍；炫耀
vt. 挥霍；夸耀
vi. 挥霍；卖弄"
romantically,adv. 浪漫地；不切实际地
superhighway,n. （美）超级高速公路（等于expressway）
perky,adj. 神气的；得意洋洋的；自信的；活泼的
profiling,"n. 压型； 仿形切削
v. 作断面图（profile的ing形式）"
disapproving,"v. 不赞成；不同意（disapprove的ing形式）
adj. 反对的；不赞成的"
neckline,n. 领口，领圈
percolate,"vt. 使渗出；使过滤
vi. 过滤；渗出；浸透
n. 滤过液；渗出液"
herder,n. 牧人；（美俚）监狱看守
smallmouth,n. 小口黑鲈; 小嘴
yer,pron. 你的（等于your）
evince,vt. 表明，表示；引起
rhythmically,adv. 有节奏地
detonation,n. 爆炸；爆炸声；爆发
zigzag,"n. 之字形；Z字形
vt. 使成之字形；使曲折行进
vi. 曲折行进；作之字形行进
adj. 曲折的；锯齿形的；之字形的
adv. 曲折地；之字形地；Z字形地"
plotter,n. 绘图机；阴谋者，策划者
unknowingly,adv. 不知不觉地
lark,"n. 云雀；百灵鸟；欢乐
vi. 骑马玩乐；嬉耍
vt. 愚弄"
third-generation, 第三代
forty-six,四十六
chainsaw,vt. 肢解，用链锯割
superhuman,"n. 超人
adj. 超人的；人类能力所不能及的；属于神仙的"
proclivity,n. 倾向；癖性
Nazism,n. 纳粹主义
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
bed,"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层"
cooperating,"adj. 合作的；协同操作的；共同运转的
v. 合作；促成（cooperate的ing形式）"
laborious,adj. 勤劳的；艰苦的；费劲的
abysmal,adj. 深不可测的；糟透的；极度的
smoothness,n. 平滑；柔滑；平坦
squelch,"n. 噪声控制；嘎吱声；压倒对方的反驳；压碎的一堆
vi. 嘎吱作响
vt. 消除；镇压；压碎；使…咯吱咯吱的响"
livable,adj. 适于居住的；生活过得有价值的
three-pointer,n. 三分球
evolved,"adj. 进化了的
vt. 使逐步形成（evolve的过去分词）"
rejuvenate,"vt. 使年轻；使更新；使恢复精神；使复原
vi. 复原；变年轻"
adhesive,"n. 粘合剂；胶黏剂
adj. 粘着的；带粘性的"
long-ago,adj. 从前的
amulet,n. 护身符，避邪物
rubbery,adj. 橡胶似的；有弹力的；坚韧的
anachronistic,adj. 时代错误的
gambit,n. 话题；开始；以取得优势的开局棋法；开场白
sportsmanship,n. 运动员精神，运动道德
hideout,n. 隐匿处
backpacker,n. 背包旅行者
disembark,"vt. 使……登陆；使……上岸
vi. 登陆，下车；上岸"
inadvertent,adj. 疏忽的；不注意的（副词inadvertently）；无意中做的
writ,n.  令状；文书；法院命令
overzealous,adj. 过分热心的
disfigure,vt. 使变丑；损毁…的外形；使大为减色
savagery,n. 野性；野蛮人；原始状态
birthright,n. 与生俱来的权利；长子继承权
divest,vt. 剥夺；使脱去，迫使放弃
cranny,n. 裂隙，裂缝
autopilot,n.  自动驾驶仪（等于automatic pilot）
headwaters,n. 河源上游，源头
microbiologist,n. 微生物学家
undertone,n. 低音；浅色；小声；潜在的含意
merrily,adv. 愉快地；高兴地（merry的副词形式）
skewed,adj. 歪斜的；曲解的
dualism,n. 二元论；双重性；二神教
predilection,n. 偏爱，嗜好
ninety-five,"ninety-five

n.
95
表示95的符号(如 XCV，95等)
95个一组
白吃客，不付账就溜之大吉的就餐者
adj.
95，95个
以上来源于：《21世纪大英汉词典》"
macabre,adj. 可怕的；以死亡为主题的；令人毛骨悚然的（等于macaber）
tenured,"adj. （美）享有终身职位的
v. 授予…终身职位（tenure的过去分词）"
gravestone,n. 墓碑，墓石
four-star,adj. （美军）四星上将的；卓越的
stingy,adj. 吝啬的，小气的；有刺的；缺乏的
tot,"n. 小孩；合计；少量
vt. 合计
vi. 总计"
autograph,"n. 亲笔，手稿；亲笔签名
vt. 亲笔签名于…；亲笔书写"
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验"
mossy,adj. 生苔的，被苔覆盖的；青苔状的
pent-up,adj. 被压抑的；幽闭的
Afro-American,"n. 美国黑人
adj. 美国黑人的（等于Aframerican）"
corporal,"n. 下士
adj. 肉体的，身体的"
meta-analysis,n. 荟萃分析；元分析
preconception,n. 偏见；先入之见；预想
dreaming,"v. 做梦（dream的ing形式）
adj. 有梦想的"
degenerative,adj. 退化的；变质的；退步的
monolith,n. 整块石料；庞然大物
detritus,n. 碎石， 岩屑
snow-covered,adj. 被雪覆盖的
suspenders,n. 吊裤带；裤子背带（suspender的复数）
glower,"n. 怒视；热切的注视；灯丝
vi. 怒目而视；瞪眼"
defenseman,n. 防守队员（尤指冰上曲棍球中的）
crafty,adj. 狡猾的；灵巧的
Prussian,"n. 普鲁士人；普鲁士语
adj. 普鲁士的；普鲁士语的；普鲁士人的；普鲁士风格的"
humbly,adv. 谦逊地；卑贱地；低声下气地
junkyard,n. 废品旧货栈；废物堆积场；旧汽车丢弃的地方
advisable,adj. 明智的，可取的，适当的
one-stop,adj. 一站式的；（美）能提供各种商品的
Hopi,n. 霍皮语；霍皮人
ostrich,n. 鸵鸟；鸵鸟般的人
sedative,"n.  镇静剂；能使安静的东西；止痛药
adj. 使镇静的；使安静的"
role-playing,n. 角色扮演，角色模仿
left-hander,n. 左撇子，惯用左手的人；左手投球；笨拙
gamma-ray,"γ射线
伽马射线"
hindrance,n. 障碍；妨碍；妨害；阻碍物
Christmastime,n. 圣诞节期（等于Christmastide）
unholy,adj. 不神圣的；罪恶的；不适宜的
stand-up,adj. 站立的；直立的；说单口相声的
determinism,n.  决定论
polygamy,n. 一夫多妻，一妻多夫，多配偶
jaunty,adj. 快活的；活泼的；洋洋得意的；感到自信和自满的
reveler,n. 欢宴者，狂欢者；饮酒狂欢者；摆设酒宴者
orthopaedic,adj. 矫形的
unbeaten,adj. 未被击败的；未被践踏的；未搅打的
chomp,vi. 格格地咬牙，咬响牙齿；切齿
roller-coaster,过山车
unconscionable,adj. 不合理的；昧着良心的；肆无忌惮的；过度的
ticker,n. 滴答响的东西；自动收报机；钟表；断续器
rash,"n.  皮疹；突然大量出现的事物
adj. 轻率的；鲁莽的；不顾后果的"
conservatory,"n. 温室；音乐学校
adj. 有保存力的；保存性的"
extermination,n. 消灭；根绝
soiled,"n. 污渍
v. 弄脏（soil的过去分词）
adj. 污染的"
effigy,n. 雕像，肖像
hopeful,"n. 有希望成功的人
adj. 有希望的；有前途的"
dusky,adj. 暗淡的；微暗的；忧郁的；朦胧的
regressive,adj. 回归的；后退的；退化的
nightlife,n. 夜生活
deep-sea,adj. 深海的
deliciously,adv. 美味地，芬香地
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
clockwork,n. 发条装置；钟表装置
regionally,adv. 地域性地，地方地
renege,"n. 出牌违例
vi. 食言；违例出牌
vt. 否认"
separatist,"n. 分离主义者；独立派
adj. 分离主义者的"
assistive,辅助的
flagrant,adj. 公然的；不能容忍的；非常的；臭名远扬的；明目张胆的；恶名昭著的（名词flagrancy，副词flagrantly）
full-page,adj. 全页的；满版的
directed,"v. 指导；管理（direct的过去式和过去分词）
adj. 定向的；经指导的；被控制的"
puzzlement,n. 迷惑；费解
elbow,"n. 肘部；弯头；扶手
vt. 推挤；用手肘推开"
born-again,adj. 重生的；信仰再生的
mimetic,adj. 模仿的；拟态的；类似的
co-sponsor,n. 联席保荐人
negation,n. 否定，否认；拒绝
arbor,n.  乔木；凉亭；藤架
simplification,n. 简单化；单纯化
fistful,n. 一把
defamation,n. 诽谤；中伤
congruence,n. 一致；适合； 全等
damper,n.  阻尼器； 减震器；气闸
fired,"n. 因祸得福（电影名）
fire的过去式和过去分词"
redshift,n.  红移；红向移动
sugary,adj. 含糖的；甜的；糖状的；甜言蜜语的
unfathomable,adj. 深不可测的；无底的；莫测高深的
concealment,n. 隐藏，隐蔽；隐匿处
despairing,"adj. 感到绝望的；表现绝望的；无望的
v. 绝望；失望（despair的ing形式）"
offered,"v. 提供，提议；奉献（offer过去时态）
adj. 提供的，提议的"
underwriting,"n. 保险业； 证券包销
v. 认购（underwrite的ing形式）；写在…下面；经营保险业"
prophesy,"vt. 预言；预告
vi. 预言；预报；传教"
self-righteous,adj. 自以为是的
double-edged,adj. 双刃的；对双方皆不利的；有双重目的的
dilution,n. 稀释，冲淡；稀释法；冲淡物
inhospitable,adj. 荒凉的；冷淡的，不好客的；不适居留的
flowery,adj. 花的；华丽的；绚丽的；多花的
dismantling,"n. 解散；（枪支）分解
v. 拆除；废除（dismantle的ing形式）"
scratchy,adj. 潦草的；刺痒的；草率的；发刮擦声的
third-quarter,第三季度
male-dominated,adj. 男权的；男子主宰的；男子控制的
Aussie,"n. 澳洲人；澳大利亚人
adj. 澳洲的"
breakaway,n. 分离；脱逃
trucking,"n. 货车运输；货车运输业；以货易货
v. 交易；打交道；用卡车运（truck的ing形式）"
alarmingly,adv. 惊人地；让人担忧地
spleen,n. 脾脏；坏脾气；怒气
inattention,n. 不注意；疏忽；粗心
Anglo-Saxon,n. 盎格鲁-撒克逊
commoner,n. 平民；自费学生；下议院议员
curd,"n. 凝乳；凝乳状物
vt. 使成凝乳
vi. 凝结"
latency,n. 潜伏；潜在因素
diagnostics,n. 诊断学（用作单数）
extinguisher,n. 灭火器；消灭者；熄灭者
workhorse,"n. 做重活的人；驮马；重负荷机器
adj. 工作重的；吃苦耐劳的"
forefather,n. 祖先；前辈
gated,"adj. 有关卡的；带栅门的
vt. 给…安装门（gate的过去分词）"
epilepsy,n.  癫痫，癫痫症
inculcate,vt. 教育；谆谆教诲；教授；反覆灌输
disembodied,adj. 空洞的；无实质的；无实体的
orderly,"adj. 有秩序的；整齐的；值班的
n. 勤务兵；传令兵；护理员
adv. 顺序地；依次地"
hauler,n. 搬运工
acrid,adj. 辛辣的；苦的；刻薄的
superconducting,"adj.  超导的
v. 起超导体作用（superconduct的ing形式）"
underserved,adj. 服务不周到的；服务水平低下的
sideboard,n. 餐具柜；侧板，边线界墙
parse,"n. 从语法上分析；分列
vt. 解析；从语法上分析
vi. 理解；从语法上分析"
replant,vt. 改种；移植；移居
hype,"n. 大肆宣传；皮下注射
vt. 大肆宣传；使…兴奋"
vegan,"n. （英）严格的素食主义者
adj. 严守素食主义的"
fucker,n. 笨蛋，傻瓜
intermission,n. 幕间休息；暂停；中断
wanderer,n. 流浪者；漫游者；迷路的动物
neophyte,n. 新信徒；新入教者；初学者
minutia,n. 琐事，细节
dichotomous,adj. 叉状分枝的；分成两个的
leech,"n. 水蛭；吸血鬼；榨取他人利益的人
vt. 以水蛭吸血；依附并榨取
vi. 依附并榨取别人"
Zionist, 犹太复国主义者；锡安主义者；复国运动者
omnipresent,adj. 无所不在的
overjoyed,"adj. 狂喜的；极度高兴的
v. 使…万分高兴；使…狂喜（overjoy的过去分词）"
cataclysmic,adj. 大变动的；洪水的
stalled,失速的
counterculture,n. 反主流文化（60和70年代美国青少年中盛行的一种思想）
devastated,"v. 毁坏；摧毁（devastate的过去式和过去分词）
adj. 毁坏的；极为震惊的"
shamelessly,adv. 不知羞耻地；厚着脸皮地
burlap,n. 粗麻布；麻袋
recrimination,n. 反责，反控；揭丑
domed,"adj. 半球形的；有穹顶的
v. 在…上加穹顶；隆起成穹顶状（dome的过去分词）"
front-line,adj. 前线的；第一线的
muffler,n. 围巾；消音器；面纱；厚手套
starched,"adj. 僵硬的；拘泥刻板的；硬挺的
vi. 给…上浆（starch的过去式及过去分词）"
menial,"adj. 卑微的；仆人的；适合仆人做的
n. 仆人；住家佣工；下贱的人"
incomparable,"n. 盖世无双的人
adj. 无比的；无可匹敌的；不能比较的"
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
yea,"n. 赞成；肯定；投赞成票者
adv. 是的"
hog,"n. 猪，象猪般的人；贪婪者
vt. 使拱起
vi. 拱起"
salience,n. 显著（等于saliency）；突出；卓越
angled,"adj. 成角的；有角的
v. 使成角度（angle的过去式和过去分词）"
pointy,adj. 尖的；非常尖的
divination,n. 预测，占卜
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
deciding,"v. 决定（decide的现在分词）
adj. 决定性的；无疑的"
Moslem,"adj. 穆斯林的；伊斯兰教的；回教的
n. 穆斯林；穆罕默德信徒；伊斯兰"
gallop,"n. 疾驰；飞奔
vi. 飞驰；急速进行；急急忙忙地说
vt. 使飞跑；迅速运输"
teasing,n. 戏弄
oratory,n. 雄辩；演讲术
cachet,n. （证明品质的）优良标志；公务印章；私人印戳；标记；威望；纪念邮戳
folic, 叶酸
dimensional,adj. 空间的；尺寸的
Colombian,"n. 哥伦比亚人
adj. 哥伦比亚的"
mailman,n. 邮差，邮递员
so-and-so,"n. 某某人；某某物；讨厌鬼
adj. 该死的
adv. 诸如此类地"
powdery,adj. 粉的；粉状的；布满粉状物的
fragmentary,adj. 碎片的；不完全的；断断续续的
pensive,adj. 沉思的，忧郁的；悲伤的，哀愁的
frock,n. 女装；连衣裙；僧袍；罩袍
languid,adj. 倦怠的；呆滞的；软弱无力的
cutthroat,"adj. 残酷的；杀人的；剧烈的
n. 谋杀者；凶手"
unkempt,adj. 蓬乱的，不整洁的；（言语等）粗野的
rinse,"n. 冲洗；漂洗； 染发剂；染发
vt. 漱；冲洗掉；漂净
vi. 冲洗掉；漂净"
nationalize,vt. 使国有化；使民族化；使归化；使成国家
powerlessness,n. 无力；无能为力；无力量
knoll,n. 小山
benevolence,n. 仁慈；善行
mete,"vt. 给予；分配；测量
n. 边界；测量"
blue-chip,adj. 第一流的；靠得住的；独特的；蓝色筹码的
subsidiary,"n. 子公司；辅助者
adj. 附属的；辅助的"
gory,adj. 血淋淋的；残酷的
immunize,vt. 使免疫；赋予免疫性
second-degree,adj. 二等的；烧伤程度的第二度的
isolationist,"n. 孤立主义者
adj. 孤立主义的；孤立主义者的"
clam,"n. 蛤；沉默寡言的人；钳子
vi. 捞蛤；保持沉默，闭嘴不言"
cue,"n. 提示，暗示；线索
vt. 给…暗示"
centrifugal,"n. 离心机；转筒
adj.  离心的；远中的"
stoplight,n. 红色尾灯；停止行进号志
bot,
adjuster,n.  调节器；调停者；（保险等）理算员
stub,"n. 存根；烟蒂；树桩；断株
vt. 踩熄；连根拔除"
contagion,n. 传染病；蔓延；触染
U-turn,"n. U形转弯；掉头；大转变
vi. 作U形转弯"
sheathe,vt. 覆盖；插入鞘；包装
unprofitable,adj. 无益的，没有用的；没有利润的
itchy,adj. 发痒的；渴望的
pate,n. 头；脑袋
hitchhike,"n. 搭便车（旅行）
vt. 要求（搭便车）
vi. 搭便车"
toothless,"adj. 无牙齿的
adj. 无权势的"
sortie,n. 出击；突围
scuffle,"n. 混战；扭打
vi. 扭打；乱斗；拖着脚走路"
unconditionally,adv. 无条件地
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
self-doubt,n. 自我怀疑；缺少自信
out-of-town,adj. 外地的；位于市外的
hinterland,n. 内地；穷乡僻壤；靠港口供应的内地贸易区
cellophane,n. 玻璃纸
crisply,adv. 清楚地；易碎地
lifelike,adj. 栩栩如生的；逼真的
gooey,"n. 胶粘物；蜜糖
adj. 胶粘的；感伤的"
pivot,"n. 枢轴；中心点；旋转运动
adj. 枢轴的；关键的
vt. 以…为中心旋转；把…置于枢轴上
vi. 在枢轴上转动；随…转移"
talking,"n. 讲话，谈论
v. 谈论；讲话（talk的ing形式）
adj. 说话的，多嘴的；有表情的"
mammography,n. 乳房X线照相术
porridge,"n. 粥，糊；麦片粥
vt. 服刑"
cognizant,adj. 审理的；已认知的
no-fly,adj. 禁飞的
localize,"vt. 使地方化；使局部化；停留在一地方
vi. 局部化；集中"
winemaker,n. 酿酒师（等于winegrower）
keel,"vt. 给…装龙骨；把…翻转
n. 龙骨；平底船；龙骨脊
vi. 翻倒；倾覆"
dyad,"n. 双； 二分体；一对； 二价元素
adj. 二的；双的"
clipper,n. 快速帆船；大剪刀；剪削者；理发剪
malignancy,n. 恶性（肿瘤等）；恶意
sandpaper,"n. 砂纸
vt. 用砂纸擦光"
slicker,n. 雨衣；骗子； 刮刀
renown,"n. 声誉；名望
vt. 使有声望"
shake-up,n. 动摇；剧变；振作；权宜之计；人事改组
overdrive,"vt. 驱使过度；虐待；工作过度
n. 超速档； 超速传动"
above-average,平均以上；在一般水准以上
whilst,conj. 同时；时时，有时；当…的时候
endear,vt. 使…受钟爱；使…亲密
apologetically,adv. 道歉地，认错地；辩解地
precious,adj. 宝贵的；珍贵的；矫揉造作的
unmask,"vt. 撕下……的假面具；揭露
vi. 脱去假面具"
evacuee,n. 被疏散者；撤离者
anti-drug,adj. 禁毒的；反毒品的
incubate,"n. 孵育物
vt. 孵化；培养；温育；逐渐发展
vi. 孵化；酝酿"
dislocate,vt. 使脱臼；使混乱
pilings,n. 打桩，打桩工程( piling的名词复数 )
staid,adj. 固定的；沉着的；沉静的；古板的，保守的
nation-building,国家建设
have-not,n. 穷人；贫穷国家；无恒产者
cheetah,n.  猎豹
state-sponsored, 国家支持；国家所发起或资助的；国家操纵的
preconceived,"adj. 预想的；（思想或观点）事先形成的
v. 预想（preconceive的过去式和过去分词）"
externality,n. 外在性；外形；外部事物
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
implacable,adj. 不能安抚的；难和解的；不能缓和的
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状"
kindred,"adj. 同类的；血缘的；同族的
n. 家族；相似；亲属关系"
bloodied,"adj. 血腥的；非常的；嗜杀的，残忍的；血色的
vt. 使流血
adv. 很"
oddball,"adj. 古怪的；奇怪的
n. 古怪；古怪的人"
wearing,"v. 穿着；磨损（wear的ing形式）
adj. 磨损的；穿用的；令人疲倦的"
raptor,n. 猛禽；肉食鸟
welt,"n. 贴边， 沿条；鞭痕；殴打
vt. 加沿条于……；使……留下鞭痕；对……进行殴打"
spatter,"n. 溅；洒；泼溅的污迹；少量
vt. 溅；洒；污蔑
vi. 洒落；溅出水滴"
curvature,n. 弯曲， 曲率
perplexed,adj. 困惑的；不知所措的
jellyfish,n. 水母； 海蜇；软弱无能的人
discriminating,"v. 识别（discriminate的ing形式）；区别对待
adj. 识别的；有差别的；有识别力的"
industrious,adj. 勤勉的
well-developed,adj. 发达的；发育良好的
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
chickpea,n. 鹰嘴豆（等于garbanzo）
jetty,"n. 码头；防波堤
adj. 乌黑发亮的，煤玉似的
vi. 伸出"
inadequately,adv. 不适当地；不够好地
well-heeled,adj. 富有的；穿着考究的
pinched,adj. 压紧的；痛苦的；困难的；收缩的
cremate,vt. 火葬；烧成灰
energetically,adv. 积极地；精力充沛地
intercut,"vt. 使镜头交切
vi. 作镜头交切"
descriptor,n. 描述符号
salami,n. 意大利蒜味腊肠
repute,"n. 名誉；声望
vt. 名誉；认为；把…称为"
Inter-American,
buttered,"adj. 涂奶油的；加奶油的
v. 涂黄油在…（butter的过去分词）"
gang,"n. 群；一伙；一组
vt. 使成群结队；结伙伤害或恐吓某人
vi. 成群结队"
newness,n. 新奇；崭新
lightbulb,n. 电灯泡
checked,"v. 检查（check的过去式和过去分词）
adj. 选中的；格子花纹的"
Hawaiian,"adj. 夏威夷的；夏威夷语的
n. 夏威夷人；夏威夷语"
disgraceful,adj. 不名誉的，可耻的
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
coddle,vt. 娇养；溺爱（等于mollycoddle）；用文火煮
hereby,adv. 以此方式，据此；特此
bitch,"n. 母狗，母狼；泼妇；牢骚事
vt. 糟蹋；弄糟
vi. 发牢骚"
premarital,adj. 婚前的
tramp,"n. 流浪者；沉重的脚步声；徒步旅行
vi. 流浪；践踏，踩；脚步沉重地行走
vt. 践踏，踩；走过"
fart,"n. 屁，放屁
vi. 放屁"
governorship,n. 州长或总督等的职位；州长或总督等的任期
monochrome,"n. 单色；单色画
adj. 单色的；黑白的"
cuticle,n. 角质层；表皮；护膜
spectrometer,n.  分光仪
wok,n. 锅（源自广东话）；炒菜锅
psychopathology,n. 精神病理学
corkscrew,"n. 螺丝锥
adj. 螺旋形的
vt. 硬拉出；探听
vi. 曲折行进"
songwriting,n. 作曲；作词
unplugged,"adj. 未使用电子扩音装置之乐器的；未堵塞的
v. 拨去…的塞子（unplug的过去式）；除去…的障碍物"
godmother,"n. 教母
vt. 当…的教母；作…的女监护人"
apnea,n.  窒息， 呼吸暂停
wham,"n. 重打声
vt. 重打
vi. 重打"
romanticism,n. 浪漫主义；浪漫精神
hysterectomy,n.  子宫切除
bide,"vt. 等待；面临；禁得起
vi. 等待；居住"
generalizability,n. 普遍性；概括性
variegated,"adj. 杂色的；斑驳的；富于变化的
v. 成为杂色（variegate的过去式）"
expedite,"vt. 加快；促进；发出
adj. 畅通的；迅速的；方便的"
annal,n. 记录；编年史
stunt,"n. 噱头，手腕；绝技
vt. 阻碍…的正常生长或发展
vi. 表演特技；作惊人表演"
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
nix,"n. 无（等于nothing）；皆无；女水妖（出现在德国神话中）
vt. 禁止；拒绝
int. 不行！；停！
adv. 不是"
on-the-job,adj. 在职的
servitude,n. 劳役，奴役；地役权；奴隶状态
untangle,vt. 清理；整顿；解开…纠结
implantation,n. 移植；灌输；鼓吹
telecast,"n. 电视广播
vt. 以电视广播"
fourth-grade, 四级；表示四年级
repudiation,n. 否认，拒绝；抛弃，断绝关系
walkie-talkie,n. 步话机；手提无线电话机
docket,"n. 摘要；记事表；（待判决的）诉讼事件表
vt. 在...上附加摘要"
daybreak,n. 黎明；破晓
canine,"n. 犬； 犬齿
adj. 犬的；犬齿的；犬科的；似犬的"
pushy,adj. 有进取心的；爱出风头的；有冲劲的；固执己见的
lumbar,"n. 腰椎；腰神经；腰动脉
adj. 腰的；腰部的"
sulk,"n. 生气；愠怒；生气的人
vi. 生气；愠怒"
patrolman,n. 巡警；巡逻者；巡视者
smarts,"n. 刺痛；头脑（smart的复数）
v. 引起疼痛（smart的第三人称单数形式）"
realtor,n. （美）房地产经纪人
plural,"n. 复数
adj. 复数的"
ream,"n. 令（纸张的计数单位）；大量
vt. 榨取（果汁等）；扩展；挖"
registrar,n. 登记员；注册主任；专科住院医师
solstice,n. 至，至日；至点
operationalize,vt. 使开始运转；实施；使用于操作
flattery,n. 奉承；谄媚；恭维话
catapult,"n. 弹弓；石弩；飞机弹射器；（飞机上的）座椅弹射器
vt. 用弹弓射；用弹射器发射；猛投
vi. 用弹射器弹射；快速移动"
ilk,"n. 家族；亲属
adj. 相同的"
grinding,adj. 磨的；刺耳的；令人难以忍受的
headless,adj. 不在意的；无头脑的；无领导者的
beholden,adj. 负有义务的；蒙恩的；对…表示感谢的
fluidity,n.  流动性；流质；易变性
nicety,n. 精密；美好；细节；拘泥细节
rudely,adv. 无礼地；粗暴地
polarized,adj. 偏振的；极化的
uproot,"vt. 根除，连根拔起；迫使某人离开出生地或定居处
vi. 迁离；改变生活方式"
whisk,"n. 搅拌器；扫帚；毛掸子
vt. 拂，掸；搅拌；挥动
vi. 飞奔，疾过"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
mishandle,vt. 虐待；错误地处理
raiser,n. 饲养者；提高者；栽培者；筹集者
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
stasis,n.  郁积，停滞；血行停滞
perforation,n. 穿孔；贯穿
granny,n. 奶奶；外婆；婆婆妈妈的人
shaving,"n. 刮胡子，修面；削；刨花
v. 修面，剃（shave的现在分词）"
attentively,adv. 注意地；聚精会神地；周到地
chowder,n. （美）杂脍；海鲜杂烩浓汤
redefinition,n. 重新定义
hacienda,n. 大庄园
conscript,"n. 应征士兵
adj. 被征召的
vt. 征召"
spongy,adj. 海绵状的；轻软的；多孔而有弹性的；有吸水性的
eye-catching,adj. 引人注目的；耀眼的；显著的
preventative,"n. 预防法；预防物
adj. 预防性的；防止的"
feverishly,adv. 狂热地；兴奋地
yardage,n. 码数；按码计算；火车站内栏舍之使用费
prima,adj. （意）第一的，主要的
bipartisanship,n. 两党合作；两党制
canoeing,"n. 玩独木舟，划独木舟
v. 乘独木舟（canoe的ing形式）"
pacify,vt. 使平静；安慰；平定
quill,"n. 大翎毛；羽茎；（豪猪、刺猬的）刚毛
vt. 刺穿"
precipice,n. 悬崖；绝壁；险境
picking,"n. 采摘；掘，撬开；采得物；赃物
v. 采摘，挑选，挑惕（pick的ing形式）"
overuse,"n. 过度使用
vt. 把…使用过度"
year-end,"n. 年终
adj. 年终的"
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒"
waffle,"n. 华夫饼干；动听而无意义的话；无聊话
vi. 胡扯；闲聊"
comma,n. 逗号；停顿
perceptible,adj. 可察觉的；可感知的；看得见的
goblin,n. 小妖精；顽皮的丑小鬼
internment,n. 拘留；收容
reassessment,n. 重新评估； 重新估价；重新考虑
amphetamine,n. 苯丙胺，安非他明（解除忧郁、疲劳的药）
dot-com,n. 网络公司；商业域名
Marxist,"n. 马克思主义者
adj. 马克思主义的"
consummate,"adj. 至上的；完美的；圆满的
vt. 完成；作成；使达到极点"
occult,"adj. 神秘的；超自然的；难以理解的
vt. 掩蔽
n. 神秘学
vi. 被掩蔽"
