quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
diving,"n. 跳水，潜水
adj. 跳水的，潜水的
v. 跳水（dive的现在分词）；潜水"
extreme sports,"n. 极限运动
 运动简介；极限活动；极致运动"
fishing,"n. 渔业；捕鱼（术）；试探；装配
adj. 钓鱼的；钓鱼用的
v. 捕鱼（fish的ing形式）"
fishing rod,"n. 钓竿
 鱼竿；钓鱼竿；钓杆"
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
football player, 足球运动员；球员；足球队员
glove,"n. 手套
vt. 给…戴手套"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
goal keeper,"un. 守门员
 足球守门员；门将；龙门"
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
group,"n. 组；团体
adj. 群的；团体的
vt. 把…聚集；把…分组
vi. 聚合"
gun,"n. 枪支；枪状物；持枪歹徒
vt. 向…开枪；开大油门
vi. 用枪射击；加大油门快速前进"
gymnastics,n. 体操；体育；体操运动
helmet,n. 钢盔，头盔
high jump,"n. 跳高
 高跳；跳远；高台跳高"
hockey,n. 曲棍球；冰球
horse-riding,骑马
ice hockey,"n. 冰球运动；冰上曲棍球
 冰上曲棍球赛；冰上曲棍球运动；冰球大国的风姿"
ice skates,"na. (冰鞋下的)冰刀
 溜冰鞋；滑冰鞋；冰刀鞋"
ice skating,"n. 滑冰；溜冰
 溜冰场；冰上溜冰；溜冰袜"
jogging,"n. 慢跑
v. 慢跑（jog的ing形式）；轻推；唤起"
join in,"na. 参加；参与
 加入；加盟；参加某种活动"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
locker,n. 柜，箱；上锁的人；有锁的橱柜；锁扣装置；有锁的存物柜
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
motor racing,"n. 赛道汽车赛
 赛车；汽车比赛；赛车运动"
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
player,n. 运动员，比赛者；游戏者，做游戏的人；演奏者，表演者；演员；播放器
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
practise,"vi. 练习，实践；实施，实行；从事
vt. 练习，实践；实施，实行"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
race track,"na. 跑道
 赛马场；赛马跑道；赛车道"
racing,"n. 赛马；竞赛
adj. 比赛的
vi. 赛马（race的ing形式）；竞赛"
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
rider,n. 骑手；附文；扶手
riding,"n. 骑马；骑术
v. 骑；乘坐（ride的现在分词）"
rink,"n. 溜冰场，室内溜冰场；冰球场
vi. 溜冰"
rugby,n. 英式橄榄球；拉格比（英格兰中部的城市）
running,"n. 运转；赛跑；流出
v. 跑；运转（run的ing形式）；行驶
adj. 连续的；流动的；跑着的；运转着的"
sail,"n. 帆，篷；航行
vi. 航行；启航，开船
vt. 航行"
sailing,"n. 航行，航海；启航；航海术
v. 航行，起航（sail的现在分词形式）
adj. 航行的"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
skateboard,"n. 溜冰板
vi. 用滑板滑行"
skateboarding,n. 滑板运动
skiing,"n. 滑雪运动；滑雪术
v. 滑雪（ski的ing形式）"
snowboard,n. 滑雪板
snowboarding,"n. 滑板滑雪（运动）；单板滑雪（运动）
v. 参加滑雪（snowboard的ing形式）"
soccer,n. 英式足球，足球
sports centre," 体育运动中心, 运动场"
squash,"n. 壁球；挤压；咯吱声；南瓜属植物；（英）果汁饮料
vt. 镇压；把…压扁；使沉默
vi. 受挤压；发出挤压声；挤入"
stadium,n. 体育场；露天大型运动场
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
surfboard,"n. 冲浪板
vi. 以冲浪板滑水"
surfing,"n. 冲浪游戏
v. 冲浪（surf的ing形式）"
swim,"n. 游泳；漂浮；眩晕
adj. 游泳时穿戴的
vi. 游泳；漂浮；浸；眩晕
vt. 游过；使浮起"
swimming,"n. 游泳；目眩
adj. 游泳的；游泳用的；善于游泳的；晕眩的
v. 游泳；漂浮；旋转（swim的ing形式）"
swimming costume,"na. 游泳衣
 泳装"
swimming pool,"n. 游泳池；游泳场；游泳馆
 泳池情杀案；酒店泳池；泳池谋杀案"
swimsuit,n. 游泳衣（女式）
table tennis,"n. 乒乓球运动
 桌球；桌上网球；打乒乓球"
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
team,"n. 队；组
vt. 使合作
vi. 合作"
teammate,n. 队友，同队队员
tennis,n. 网球（运动）
tennis player, 网球选手；网球运动员；网球手
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
tournament,n. 锦标赛，联赛；比赛
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
trainer,n. 助理教练；训练员；驯马师；飞行练习器；运动鞋
training,"n. 训练；培养；瞄准；整枝
v. 训练；教养（train的ing形式）"
versus,prep. 对；与...相对；对抗
volleyball,n. 排球
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
water skiing,"v. “water-ski”的现在分词
 滑水；水橇；滑水运动"
weightlifting,n. 举重
win,"n. 赢；胜利
vt. 赢得；在…中获胜；劝诱
vi. 赢；获胜；成功"
winner,n. 胜利者
workout,n. 锻炼；练习；试验
yoga,"n. 瑜珈（意为“结合”，指修行）；瑜珈术
n. 联想可360°翻转的超轻薄笔记本电脑"
amusing,"adj. 有趣的，好玩的；引人发笑的
v. 逗乐；打发；使…高兴（amuse的ing形式）"
animal,"n. 动物
动物的"
ant,n. 蚂蚁
bat,"n. 蝙蝠；球棒；球拍；批处理文件的扩展名
vt. 用球棒击球；击球率达…
vi. 轮到击球；用球棒击球"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
bee,n. 蜜蜂，蜂；勤劳的人
big,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地"
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
cage,"n. 笼，兽笼；牢房，监狱
vt. 把…关进笼子；把…囚禁起来"
calf,n.  腓肠，小腿；小牛；小牛皮；(鲸等大哺乳动物的)幼崽
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸"
cat,n. 猫，猫科动物
cattle,n. 牛；牲畜（骂人的话）；家畜；无价值的人
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
dangerous,"adj. 危险的
危险地"
dinosaur,n. 恐龙；过时、落伍的人或事物
dog,"n. 狗；丑女人；卑鄙的人；(俚)朋友
vt. 跟踪；尾随"
dolphin,n. 海豚
donkey,n. 驴子；傻瓜；顽固的人
duck,"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中"
elephant,n. 象；大号图画纸
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
frightening,adj. 令人恐惧的；引起突然惊恐的
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
fur,"n. 皮，皮子；毛皮；软毛
n. 水垢
vt. 用毛皮覆盖；使穿毛皮服装"
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
giraffe,n. 长颈鹿
goat,n. 山羊；替罪羊（美俚）；色鬼（美俚）
horse,"n. 马；骑兵；脚架；海洛因
vt. 使骑马；系马于；捉弄
vi. 骑马；作弄人"
insect,n. 昆虫；卑鄙的人
kangaroo,n. 袋鼠
kitten,"n. 小猫；小动物
vi. 产小猫"
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊"
lion,n. 狮子；名人；勇猛的人；社交场合的名流
monkey,"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄"
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
mosquito,n. 蚊子
mouse,"n. 鼠标；老鼠；胆小羞怯的人
vt. 探出
vi. 捕鼠；窥探"
parrot,"n. 鹦鹉；学舌者，应声虫；机械模仿别人的人
vt. 机械地模仿"
penguin,n. 企鹅；空军地勤人员
pet,"n. 宠物；生气；受宠爱的人
adj. 宠爱的
vt. 宠爱
vi. 生气；爱抚"
pig,"n. 猪；猪肉
vi. 生小猪；像猪一样过活
n. 警察（俚语，带有攻击性）"
puppy,n. 小狗，幼犬
rabbit,"n. 兔子，野兔
vt. 让…见鬼去吧
vi. 猎兔"
sea creature,"un. 海洋生物
 海怪；海底生物；海生物"
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
sheep,n. 羊，绵羊；胆小鬼
snake,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进"
species,"n.  物种；种类
adj. 物种上的"
sting,"n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
teeth,n. 牙齿
tiger,n. 老虎；凶暴的人
turkey,n. 土耳其（横跨欧亚两洲的国家）
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
wild animals,"na. 野生动物
 野兽；野兽之都；野生动物篇"
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
zebra,"n.  斑马
adj. 有斑纹的"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
aim for,"un. 力求；以…为最终目的
 力争；瞄准；以…为目标"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
fat,"n. 脂肪，肥肉
adj. 肥的，胖的；油腻的；丰满的
vt. 养肥；在…中加入脂肪
vi. 长肥"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
fitness,n. 健康；适当；适合性
get fit, 保持健康；健身；去健身
keep fit,"na. 保持健康
 保持身体健康；健身；保持身材"
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
 下来；动身；离开"
gym,n. 健身房；体育；体育馆
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
healthy,adj. 健康的，健全的；有益于健康的
inactive,adj. 不活跃的；不活动的；怠惰的；闲置的
lifestyle,"n. 生活方式
保健的"
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
properly,adv. 适当地；正确地；恰当地
regularly,adv. 定期地；有规律地；整齐地；匀称地
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
vegetarian,"n. 素食者；食草动物
adj. 素食的"
walk,"n. 步行，走；散步
vi. 走，步行；散步
vt. 散步；走过"
arithmetic,n. 算术，算法
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
biology,n. （一个地区全部的）生物；生物学
chemistry,n. 化学；化学过程
difficult,adj. 困难的；不随和的；执拗的
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
easy,"adj. 容易的；舒适的
vt. 发出停划命令
adv. 不费力地，从容地
vi. 停止划桨"
economics,n. 经济学；国家的经济状况
English,"n. 英语；英国人；英文；英格兰人
adj. 英国人的；英国的；英文的
vt. 把…译成英语"
enjoyable,adj. 快乐的；有乐趣的；令人愉快的
geography,n. 地理；地形
hard,"adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的
adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地"
history,n. 历史，历史学；历史记录；来历
important,adj. 重要的，重大的；有地位的；有权力的
information technology,"n. 信息技术
 资讯科技；信息科技；资讯技术"
interesting,adj. 有趣的；引起兴趣的，令人关注的
language,n. 语言；语言文字；表达能力
literature,n. 文学；文献；文艺；著作
mathematics,n. 数学；数学运算
maths,n. 数学（等于mathematics）
music,n. 音乐，乐曲
nature studies,n. 粗浅的自然研究；自然课
physics,n. 物理学；物理现象
pointless,adj. 无意义的；钝的；不尖的；不得要领的
science,n. 科学；技术；学科；理科
sport,"n. 运动；游戏；娱乐；运动会；玩笑
adj. 运动的
vt. 游戏；参加体育运动；夸耀
vi. 游戏"
useful,adj. 有用的，有益的；有帮助的
useless,adj. 无用的；无效的
accident,n. 事故；意外； 意外事件；机遇
ache,"n. 疼痛
vi. 疼痛；渴望"
ambulance,n.  救护车；战时流动医院
ankle,n. 踝关节，踝
appointment,n. 任命；约定；任命的职位
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
aspirin,n. 阿司匹林（解热镇痛药）
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
backache,n. 背痛；腰痛
bandage,"n. 绷带
vt. 用绷带包扎"
be injured, 受伤；受伤的；受伤基本解释
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
blood,"n. 血，血液；血统
vt. 从…抽血；使先取得经验"
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
brain,"n. 头脑，智力；脑袋
vt. 猛击…的头部"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热"
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
catch an illness,
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
chemist,n. 化学家；化学工作者；药剂师；炼金术士
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
cry,"n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊
vt. 叫喊；哭出；大声说"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
dead,"n. 死者
adj. 无生命的；呆板的；废弃了的
adv. 完全地"
deaf,adj. 聋的
dentist,"n. 牙科医生
牙医诊所"
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
dressing,"n. 穿衣；加工；调味品；装饰；梳理
v. 给…穿衣；为…打扮（dress的现在分词）"
ear,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗"
earache,n. 耳朵痛，耳痛
elbow,"n. 肘部；弯头；扶手
vt. 推挤；用手肘推开"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看"
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
feel well, 感觉舒服；感觉好；身体好
feel ill, 感觉生病了；感到不舒服；感觉不舒服
feel better, 好点了吗；感觉好点了；感觉好些
feel sick,"na. 恶心
 感到恶心；感觉不舒服；生病"
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
finger,"n. 手指；指针，指状物
vt. 伸出；用手指拨弄
vi. 用指触摸；拨弄"
flu,n. 流感
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
get better,"na. (病)渐愈
 变得更好；好转；变好"
get worse,"v. 变坏
 恶化；转坏；越来越坏了"
hair,"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
headache,n. 头痛；麻烦；令人头痛之事
heart,"n. 心脏；感情；勇气；心形；要点
vt. 鼓励；铭记
vi. 结心"
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不"
illness,n. 病；疾病
injure,vt. 伤害，损害
knee,"n. 膝盖，膝
vt. 用膝盖碰"
leg,n. 腿；支柱
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
neck,"n. 脖子；衣领；海峡
vi. 搂著脖子亲吻；变狭窄
vt. 使变细；与…搂著脖子亲吻"
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
operation,n. 操作；经营； 手术； 运算
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
painful,adj. 痛苦的；疼痛的；令人不快的
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
plaster,"n. 石膏；灰泥；膏药
vt. 减轻；粘贴；涂以灰泥；敷以膏药；使平服"
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
put on weight,"v. 长肉；发胖；发福；体重增加
 增加体重；增肥；长胖"
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
skin,"n. 皮肤；外皮
vt. 剥皮
vi. 愈合；长皮"
sore throat,"n. 嗓子痛
 喉咙痛；咽喉痛；嗓子疼"
stomach,"n. 胃；腹部；胃口
vt. 忍受；吃下
vi. 忍受"
stomachache,n. 腹痛，肚子痛；胃痛
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
temperature,n. 温度；体温；气温；发烧
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
toe,"n. 脚趾；足尖
vt. 用脚尖走；以趾踏触
vi. 动脚尖；用足尖跳舞"
tooth,"n. 牙齿
vt. 给……装齿
vi. 啮合"
toothache,n.  牙痛
aunt,n. 阿姨；姑妈；伯母；舅妈
bring up,"na. 抚养；教导；教育；在…长大
 培养；提出；养育"
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
cousin,n. 堂兄弟姊妹；表兄弟姊妹
dad,n. 爸爸；爹爹
daughter,"n. 女儿； 子代
adj. 女儿的；子代的"
father,"n. 父亲，爸爸；神父；祖先；前辈
vt. 发明，创立；当…的父亲"
grandchild,n. 孙子；孙女；外孙；外孙女
grandad,n. 爷爷；外公
granddad,n. 爷爷；外公
granddaughter,n. 孙女；外孙女
grandfather,"n. 祖父；始祖
vt. 不受新规定限制"
grandma,n. 奶奶；外婆
grandmother,"n. 祖母；女祖先
vt. 当…的祖母
vi. 当祖母"
grandpa,n. 爷爷；外公
grandparent,n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母
grandson,n. 孙子；外孙
granny,n. 奶奶；外婆；婆婆妈妈的人
grow up,"na. 长大
 成长；长大成人；成年"
husband,"n. 丈夫
vt. 节约地使用（或管理）"
look after,"na. 照看；照顾；看管；对…负责
 照料；照管；目送"
look forward to,"na. 盼望
 期待；期望；期盼"
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
move in,"v. 搬进；迁入
 搬进来；搬入；向内投"
mum,"adj. 沉默的
n. 妈妈（口语）；沉默；菊花
vi. 演哑剧
int. 别说话"
nephew,n. 侄子；外甥
niece,n. 外甥女，侄女
parent,n. 父亲（或母亲）；父母亲；根源
sister,"n. 姐妹；（称志同道合者）姐妹；修女；护士
adj. 姐妹般的；同类型的"
son,n. 儿子；孩子（对年轻人的称呼）；男性后裔
uncle,n. 叔叔；伯父；伯伯；舅父；姨丈；姑父
wife,n. 妻子，已婚妇女；夫人
woman,n. 妇女；女性；成年女子
above,"prep. 超过；在……上面；在……之上
n. 上文
adj. 上文的
adv. 在上面；在上文"
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
along,"prep. 沿着；顺着
adv. 一起；向前；来到"
among,prep. 在…中间；在…之中
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
at,"prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于
n. 阿特（老挝货币基本单位att）；砹（极不稳定放射性元素）
abbr. 密封的（airtight）；气温（air temperature）"
backwards,adv. 倒；向后；逆
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
beside,prep. 在旁边；与…相比；和…无关
between,"prep. 在…之间
adv. 在中间"
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
down,"prep. 沿着，往下
n. 软毛，绒毛； 开阔的高地
adj. 向下的
vt. 打倒，击败
adv. 向下，下去；在下面
vi. 下降；下去"
east,"n. 东方；东风；东方国家
adj. 东方的；向东的；从东方来的
adv. 向东方，在东方"
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
forwards,adv. 向前；今后
front,"n. 前面；正面；前线
adj. 前面的；正面的
vt. 面对；朝向；对付
vi. 朝向
adv. 在前面；向前"
in,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里"
in front of,"na. 在…的前面
 在……前面；在……的前面；在…面前"
into,prep. 到…里；深入…之中；成为…状况；进入到…之内
north,
northeast,"adj. 东北的；向东北的；来自东北的
n. 东北
adv. 向东北；来自东北"
northwest,"adj. 西北的；向西北的；来自西北的
n. 西北
adv. 在西北；向西北；来自西北"
south,"n. 南方，南边；南部
adj. 南的，南方的
adv. 在南方，向南方"
southeast,"n. 东南；东南地区
adj. 东南的；来自东南的
adv. 来自东南"
southwest,"n. 西南方
adj. 西南的
adv. 往西南；来自西南"
there,"n. 那个地方
adv. 在那里；在那边；在那点上
int. 你瞧"
towards,prep. 朝，向；对于；有助于
under,"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方"
underneath,"prep. 在…的下面；在…的形式下；在…的支配下
n. 下面；底部
adj. 下面的；底层的
adv. 在下面；在底下"
up,"prep. 在…之上；向…的较高处
n. 上升；繁荣
adj. 涨的；起床的；向上的
adv. 起来；上涨；向上"
upper,adj. 上面的，上部的；较高的
west,"n. 西；西方；西部
adj. 西方的；朝西的
adv. 在西方；向西方；自西方"
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
