the,"art. 这；那
adv. 更加（用于比较级，最高级前）"
upstairs,"n. 楼上
adj. 楼上的
adv. 在楼上，向楼上；上楼；往楼上"
nationwide,"adj. 全国范围的；全国性的
adv. 在全国"
dinosaur,n. 恐龙；过时、落伍的人或事物
analysis,n. 分析；分解；验定
pin,"n. 大头针，别针，针；栓；琐碎物
vt. 钉住；压住；将……用针别住"
hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
tidy,"n. 椅子的背罩
adj. 整齐的；相当大的
vi. 整理；收拾
vt. 整理；收拾；弄整齐"
hugely,adv. 巨大地；非常地
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
fridge,n. 电冰箱
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
strangely,adv. 奇怪地；奇妙地；不可思议地
inch,"n. 英寸；身高；少许
vt. 使缓慢地移动
vi. 慢慢前进"
prohibit,vt. 阻止，禁止
cage,"n. 笼，兽笼；牢房，监狱
vt. 把…关进笼子；把…囚禁起来"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
ceiling,n. 天花板；上限
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
reasonable,adj. 合理的，公道的；通情达理的
ship,"n. 船；舰；太空船
vt. 运送，乘船；以船运送
vi. 上船；乘船旅行；当船员"
darkness,n. 黑暗；模糊；无知；阴郁
bath,"n. 沐浴；浴室；浴盆
vt. 洗澡
vi. 洗澡"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
introduction,n. 介绍；引进；采用；入门；传入
bread,"n. 面包；生计
vt. 在…上洒面包屑"
cyclist,n. 骑自行车的人
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
celebration,n. 庆典，庆祝会；庆祝；颂扬
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
besides,"prep. 除…之外
adv. 此外；而且"
rubbish,"n. 垃圾，废物；废话
adj. 毫无价值的"
comprehension,n. 理解；包含
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
neither,"conj. 也不；既不
adv. 两个都不；既不……也不
adj. 两者都不的
pron. 两者都不"
cent,n. 分；一分的硬币；森特（等于半音程的百分之一）
shout,"n. 呼喊；呼叫
vi. 呼喊；喊叫；大声说
vt. 呼喊；大声说"
sand,"n. 沙；沙地；沙洲；沙滩；沙子
vt. 撒沙于；以沙掩盖；用砂纸等擦平或磨光某物；使撒沙似地布满；给…掺沙子
vi. 被沙堵塞"
carrot,"n. 胡萝卜
诱饵"
labour,n. （英国）工党
flexible,adj. 灵活的；柔韧的；易弯曲的
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
shy,"n. 投掷；惊跳
adj. 害羞的；畏缩的，胆怯的
vi. 投；畏缩；惊退；厌恶
vt. 投；乱掷"
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
mathematics,n. 数学；数学运算
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
dioxide,n. 二氧化物
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
yellow,"n. 黄色；黄种人；黄色颜料
adj. 黄色的；黄皮肤的
vt. 使变黄或发黄
vi. 变黄或发黄"
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对"
fool,"n. 傻瓜；愚人；受骗者
vt. 欺骗，愚弄
adj. 傻的
vi. 欺骗；开玩笑；戏弄"
independence,n. 独立性，自立性；自主
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
convey,vt. 传达；运输；让与
hopeful,"n. 有希望成功的人
adj. 有希望的；有前途的"
bell,"n. 铃，钟；钟声，铃声；钟状物
vt. 装钟于，系铃于
vi. 鸣钟；成钟状鼓起"
pen,"n. 钢笔；作家；围栏
vt. 写；关入栏中"
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
warmth,n. 温暖；热情；激动
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
appetite,n. 食欲；嗜好
grandma,n. 奶奶；外婆
urban,adj. 城市的；住在都市的
golden,adj. 金色的，黄金般的；珍贵的；金制的
afterward,adv. 以后，后来
afterwards,adv. 后来；然后
distinction,n. 区别；差别；特性；荣誉、勋章
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
adequate,adj. 充足的；适当的；胜任的
political,adj. 政治的；党派的
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
altogether,"n. 整个；裸体
adv. 完全地；总共；总而言之"
silk,"n. 丝绸；蚕丝；丝织物
adj. 丝的；丝绸的；丝制的
vi. （玉米）处于长须的阶段中"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
origin,n. 起源；原点；出身；开端
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
elephant,n. 象；大号图画纸
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
foreigner,n. 外地人，外国人
deadline,n. 截止期限，最后期限
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
anecdote,n. 轶事；奇闻；秘史
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
chest,n. 胸，胸部；衣柜；箱子；金库
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
courage,n. 勇气；胆量
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
pond,"n. 池塘
vt. 筑成池塘
vi. 筑成池塘"
anniversary,n. 周年纪念日
meaningless,adj. 无意义的；无目的的
strictly,adv. 严格地；完全地；确实地
salesman,n. 推销员；售货员
calmly,adv. 冷静地；平静地；安静地
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
accurate,adj. 精确的
pink,"n. 粉红色；化身，典范；石竹花；头面人物
adj. 粉红的；比较激进的；石竹科的；脸色发红的
vt. 扎，刺，戳；使…变粉红色；使…面红耳赤
vi. 变粉红色"
disagree,vi. 不同意；不一致；争执；不适宜
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
sail,"n. 帆，篷；航行
vi. 航行；启航，开船
vt. 航行"
businessman,n. 商人
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
civilization,n. 文明；文化
applicant,n. 申请人，申请者；请求者
literary,adj. 文学的；书面的；精通文学的
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
photograph,"n. 照片，相片
vt. 为…拍照；使深深印入
vi. 拍照；在照片上显得"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
gallon,n. 加仑（容量单位）
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
spelling,"n. 拼写；拼字；拼法
v. 拼写；意味着（spell的ing形式）；迷住"
widespread,adj. 普遍的，广泛的；分布广的
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
ours,pron. 我们的
recorder,n. 录音机；记录器；记录员；八孔直笛
ridiculous,adj. 可笑的；荒谬的
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
seaside,"n. 海边；海滨
adj. 海边的；海滨的"
kilogramme,n. 公斤; 千克
starvation,n. 饿死；挨饿；绝食
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
revolution,n. 革命；旋转；运行；循环
favour,"n. 偏爱；赞同；善行
vt. 赞成；喜爱；有助于"
ought,"aux. 应该，应当；大概
vi. 应该，应当；大概"
defence,n. 防御；防卫；答辩；防卫设备
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
apparent,adj. 显然的；表面上的
schoolgirl,n. 女学生
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
output,"n. 输出，输出量；产量；出产
vt. 输出"
airline,"n. 航空公司；航线
adj. 航线的"
undertake,vt. 承担，保证；从事；同意；试图
noodle,n. 面条；笨蛋
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
technical,adj. 工艺的，科技的；技术上的；专门的
procedure,n. 程序，手续；步骤
disagreement,n. 不一致；争论；意见不同
ankle,n. 踝关节，踝
string,n. 线，弦，细绳；一串，一行
bonus,n. 奖金；红利；额外津贴
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
foolish,adj. 愚蠢的；傻的
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
mad,"adj. 疯狂的；发疯的；愚蠢的；着迷的
n. 狂怒"
province,n. 省；领域；职权
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
settlement,n. 解决，处理； 结算；沉降；殖民
database,n. 数据库，资料库
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
basin,n. 水池；流域；盆地；盆
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的"
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
emperor,n. 皇帝，君主
tail,"n. 尾巴；踪迹；辫子；燕尾服
adj. 从后面而来的；尾部的
vt. 尾随；装上尾巴
vi. 跟踪；变少或缩小"
thief,n. 小偷，贼
delete,vt. 删除
satellite,n. 卫星；人造卫星；随从；卫星国家
tailor,"n. 裁缝
vt. 剪裁；使合适
vi. 做裁缝"
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
happiness,n. 幸福
involvement,n. 牵连；包含；混乱；财政困难
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
stupid,"n. 傻瓜，笨蛋
adj. 愚蠢的；麻木的；乏味的"
factory,n. 工厂；制造厂；代理店
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
picnic,"n. 野餐
vi. 去野餐"
cheese,"n.  奶酪；干酪；要人
adj. 叛变的；胆小的
vt. 停止"
rabbit,"n. 兔子，野兔
vt. 让…见鬼去吧
vi. 猎兔"
dictionary,n. 字典；词典
campus,n. （大学）校园；大学，大学生活；校园内的草地
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
grandpa,n. 爷爷；外公
advertisement,n. 广告，宣传
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
bury,vt. 埋葬；隐藏
debt,n. 债务；借款；罪过
shall,aux. 应；会；将；必须
headache,n. 头痛；麻烦；令人头痛之事
insurance,n. 保险；保险费；保险契约；赔偿金
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
universe,n. 宇宙；世界；领域
wisdom,n. 智慧，才智；明智；学识；至理名言
irresponsible,adj. 不负责任的；不可靠的
cancer, 巨蟹座
unit,n. 单位，单元；装置； 部队；部件
possession,n. 拥有；财产；领地；自制；着迷
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
shut,"n. 关闭
adj. 关闭的；围绕的
vi. 关上；停止营业
vt. 关闭；停业；幽禁"
identification,n. 鉴定，识别；认同；身份证明
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
gravity,n. 重力，地心引力；严重性；庄严
biography,n. 传记；档案；个人简介
usual,adj. 通常的，惯例的；平常的
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
aloud,adv. 大声地；出声地
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
somewhere,"n. 某个地方
adv. 在某处；到某处"
ancestor,n. 始祖，祖先；被继承人
yard,"n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁
vt. 把…关进或围在畜栏里"
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
sympathy,n. 同情；慰问；赞同
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
actress,n. 女演员
gorilla,n. 大猩猩
fierce,adj. 凶猛的；猛烈的；暴躁的
accuracy,n.  精确度，准确性
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
parental,adj. 父母亲的，父母的；亲代的，亲本的
educator,n. 教育家；教育工作者；教师
academy,n. 学院；研究院；学会；专科院校
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
poet,n. 诗人
physicist,n. 物理学家；唯物论者
rarely,adv. 很少地；难得；罕有地
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
harmony,n. 协调；和睦；融洽；调和
beneath,"prep. 在…之下
adv. 在下方"
petrol,n. （英）汽油
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
neck,"n. 脖子；衣领；海峡
vi. 搂著脖子亲吻；变狭窄
vt. 使变细；与…搂著脖子亲吻"
criterion,n. （批评判断的）标准；准则；规范；准据
onion,n. 洋葱；洋葱头
pupil,n. 学生； 瞳孔；未成年人
acquire,vt. 获得；取得；学到；捕获
supper,n. 晚餐，晚饭；夜宵
snowy,adj. 下雪的，多雪的；被雪覆盖的；洁白无瑕的
approval,n. 批准；认可；赞成
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
energetic,adj. 精力充沛的；积极的；有力的
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
silver,"n. 银；银器；银币；银质奖章；餐具；银灰色
adj. 银的；含银的；有银色光泽的；口才流利的；第二十五周年的婚姻
vt. 镀银；使有银色光泽
vi. 变成银色"
chef,n. 厨师，大师傅
wire,"n. 电线；金属丝；电报
vt. 拍电报；给…装电线
vi. 打电报"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
horrible,adj. 可怕的；极讨厌的
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
zero,"num. 零
n. 零点，零度"
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
disadvantage,n. 缺点；不利条件；损失
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
dynasty,n. 王朝，朝代
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
coke,n. 可口可乐（等于Coca-Cola）
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
neat,adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
countryside,n. 农村，乡下；乡下的全体居民
beautifully,adv. 漂亮地；美好地
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
extent,n. 程度；范围；长度
helmet,n. 钢盔，头盔
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
toothpaste,n. 牙膏
oneself,pron. 自己；亲自
accommodation,n. 住处，膳宿；调节；和解；预订铺位
privilege,"n. 特权；优待
vt. 给与…特权；特免"
duck,"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中"
optional,"adj. 可选择的，随意的
n. 选修科目"
deed,"n. 行动；功绩；证书； 契据
vt. 立契转让"
careless,adj. 粗心的；无忧无虑的；淡漠的
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
anybody,"n. 重要人物
pron. 任何人"
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
optimistic,adj. 乐观的；乐观主义的
sweat,"n. 汗；水珠；焦急；苦差使
vt. 使出汗；流出；使干苦活；剥削；藉出汗减轻；焦急地期待
vi. 出汗；辛苦工作；懊恼；结水珠"
god,
changeable,adj. 无常的；可改变的；易变的；不定的
discrimination,n. 歧视；区别，辨别；识别力
pianist,n. 钢琴家；钢琴演奏者
sailor,n. 水手，海员；乘船者
lively,adj. 活泼的；生动的；真实的；生气勃勃的
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
pan,"n. 平底锅；盘状的器皿；淘盘子，金盘，秤盘
vi. 淘金；在淘洗中收获金子
vt. 淘金；在浅锅中烹调（食物）；严厉的批评"
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
roundabout,"n. 迂回路线；环状交叉路口
adj. 迂回的，绕道的；圆滚滚的"
unbearable,adj. 难以忍受的；承受不住的
rainfall,n. 降雨；降雨量
cupboard,n. 碗柜；食橱
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
offence,n. 犯罪；违反；过错；攻击
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
suitcase,n.  手提箱；衣箱
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
carrier,n.  载体；运送者；带菌者；货架
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
bride,n. 新娘；姑娘，女朋友
beside,prep. 在旁边；与…相比；和…无关
table tennis,"n. 乒乓球运动
 桌球；桌上网球；打乒乓球"
greeting,"n. 问候，招呼；祝贺
v. 致敬，欢迎（greet的现在分词）"
admirable,adj. 令人钦佩的；极好的；值得赞扬的
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
carriage,n. 运输；运费；四轮马车；举止；客车厢
minibus,"n. 面包车（等于microbus）；小型公共汽车；中客车
vi. 乘中客车"
bent,"n. 爱好，嗜好
adj. 弯曲的；决心的"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
occupation,n. 职业；占有；消遣；占有期
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
translator,n. 译者；翻译器
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
cookie,n. 饼干；小甜点
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
irrigation,n. 灌溉； 冲洗；冲洗法
umbrella,n. 雨伞；保护伞；庇护；伞形结构
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
occupy,vt. 占据，占领；居住；使忙碌
bossy,"n. 母牛；牛犊
adj. 专横的；浮雕装饰的；爱指挥他人的"
encouragement,n. 鼓励
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
nursery,n. 苗圃；托儿所；温床
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
worn,"v. 穿；磨损（wear的过去分词）；佩戴
adj. 疲倦的；用旧的"
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
qualification,n. 资格；条件；限制；赋予资格
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸"
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
fortunate,adj. 幸运的；侥幸的；吉祥的；带来幸运的
deliberately,adv. 故意地；谨慎地；慎重地
laughter,n. 笑；笑声
aircraft,n. 飞机，航空器
sex,"n. 性；性别；性行为；色情
vt. 引起…的性欲；区别…的性别"
eagle,n. 鹰；鹰状标饰
midnight,"n. 午夜，半夜12点钟
adj. 半夜的；漆黑的"
feather,"n. 羽毛
vt. 用羽毛装饰
vi. 长羽毛"
notebook,n. 笔记本，笔记簿；手册
cab,"n. 驾驶室；出租汽车；出租马车
vi. 乘出租马车（或汽车）"
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
northern,"adj. 北部的；北方的
n. 北部方言"
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
straw,"n. 稻草；吸管；一文不值的东西
adj. 稻草的；无价值的"
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
guitar,"n. 吉他，六弦琴
vi. 弹吉他"
cigar,n. 雪茄
instruct,vt. 指导；通知；命令；教授
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
sharpen,"vt. 削尖；磨快；使敏捷；加重
vi. 尖锐；变锋利"
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
peach,"n. 桃子；桃树；桃红色；受人喜欢的人（或物）
adj. 桃色的；用桃子制成的
vt. 告发
vi. 告密"
granddaughter,n. 孙女；外孙女
cheers,v. 感谢；谢谢；再见
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
tournament,n. 锦标赛，联赛；比赛
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
inn,"n. 客栈；旅馆
vi. 住旅馆"
microwave,n. 微波
dusty,adj. 落满灰尘的
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
windy,adj. 多风的，有风的；腹胀的；吹牛的
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
