identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
thicket,n.  灌木丛；丛林；错综复杂
threat,n. 威胁，恐吓；凶兆
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
thrift,n. 节俭；节约； 海石竹
thrifty,adj. 节约的；茂盛的；成功的
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
enthrone,"vt. 使登基；立…为王；任为主教；崇拜
vi. 热心"
timid,adj. 胆小的；羞怯的
timidity,n. 胆怯，胆小；羞怯
intimidate,vt. 恐吓，威胁；胁迫
tin,"n. 锡；罐头，罐；马口铁
adj. 锡制的
vt. 涂锡于；给…包马口铁"
tinny,adj. 锡的；含锡的；像锡的；有锡味的
titan,
titanic,
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
subtitle,"n. 副标题；说明或对白的字幕
vt. 在…上印字幕；给…加副标题"
tolerable,adj. 可以的；可容忍的
intolerable,adj. 无法忍受的；难耐的
tolerant,adj. 宽容的；容忍的；有耐药力的
intolerant,adj. 无法忍受的；偏狭的
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
intonation,n. 声调，语调；语音的抑扬
totalitarian,"n. 极权主义者
adj. 极权主义的"
totalitarianism,n. 极权主义
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
untouchable,adj. 达不到的；不可批评的；不可捉摸的
tragedy,n. 悲剧；灾难；惨案
tragedian,n. 悲剧演员；悲剧作家
tramp,"n. 流浪者；沉重的脚步声；徒步旅行
vi. 流浪；践踏，踩；脚步沉重地行走
vt. 践踏，踩；走过"
trample,"n. 蹂躏；践踏声
vi. 践踏；蔑视，伤害；脚步沉重地走
vt. 践踏；蔑视，伤害"
treacherous,adj. 奸诈的，叛逆的，背叛的；危险的；不牢靠的
treachery,n. 背叛；变节；背叛行为
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
tripper,n. 远足者；旅行者；绊跌者
tropic,"n. 热带；回归线
adj. 热带的"
tropical,adj. 热带的；热情的；酷热的
tuba,n. 大号，低音兼次中音大号；（管风琴的）簧管音栓
tubular,adj. 管状的
tuition,n. 学费；讲授
intuition,n. 直觉；直觉力；直觉的知识
tumult,n. 骚动；骚乱；吵闹；激动
tumultuous,adj. 吵闹的；骚乱的；狂暴的
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
tutorial,"n. 个别指导
adj. 辅导的；家庭教师的，个别指导的"
tyranny,n. 暴政；专横；严酷；残暴的行为（需用复数）
tyrannize,"vt. 施行虐政；欺压
vi. 施行暴政；欺压"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
ultimatum,n. 最后通牒；最后结论；基本原理
under,"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方"
underling,n. 下属，部下；走卒
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
urgency,n. 紧急；催促；紧急的事
urgent,adj. 紧急的；急迫的
urine,n. 尿
urinate,vi. 小便，撒尿
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
vacate,"vt. 空出，搬出；取消；使撤退
vi. 空出，腾出；辞职；休假"
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
vaccinate,"vt. 给…注射疫苗
vi. 接种疫苗
n. 被接种牛痘者"
vaccination,n. 接种疫苗；种痘
vandal,"n. 文化艺术的破坏者；蓄意破坏者
adj. 破坏文化艺术的"
vandalism,n. 汪达尔人作风；故意毁坏文物的行为；破坏他人财产的行为
vapor,"n. 蒸汽；烟雾
vt. 使……蒸发；使……汽化
vi. 蒸发；吹牛；沮丧"
vapour,n. 蒸气（等于vapor）；水蒸气
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
vaporize,"vt. 使…蒸发
vi. 蒸发"
venerable,adj. 庄严的，值得尊敬的；珍贵的
venerate,vt. 崇敬，尊敬
venom,"n. 毒液；恶意
vt. 使有毒；放毒"
venomous,adj. 有毒的；恶毒的；分泌毒液的；怨恨的
ventricle,n. 室；心室；脑室
ventricular,adj. 心室的；脑室的；膨胀的；腹部的
vest,"n. 背心；汗衫
vt. 授予；使穿衣
vi. 归属；穿衣服"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
investment,n. 投资；投入；封锁
vestige,n. 遗迹；残余；退化的器官
investigate,v. 调查；研究
investigation,n. 调查；调查研究
investigator,n. 研究者；调查者；侦查员
vex,"vt. 使烦恼；使困惑；使恼怒
vi. 烦恼"
vexation,n. 苦恼；恼怒；令人烦恼的事
vexatious,adj. 令人烦恼的；麻烦的；无理纠缠的
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
vibration,n. 振动；犹豫；心灵感应
vibrant,adj. 振动的；充满生气的；响亮的；战栗的
vicarious,adj. 替代的；代理的；发同感的
vicariously,adv. 代理地，担任代理者地；间接感受到地
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
viciousness,n. 邪恶；恶意
vine,"n. 藤；葡萄树；藤本植物；攀缘植物
vi. 长成藤蔓；爬藤"
vintage,"n. 葡萄收获期；葡萄酒酿造期
adj. 古老的；最佳的；过时的
vt. 采葡萄；用葡萄酿酒
vi. 采葡萄"
virus,n.  病毒；恶毒；毒害
viral,adj. 病毒性的
virulent,adj. 剧毒的；恶性的；有恶意的
vital,adj. 至关重要的；生死攸关的；有活力的
vitality,n. 活力，生气；生命力，生动性
vitalize,vt. 赋予…生命；激发；使有生气
revitalize,vt. 使…复活；使…复兴；使…恢复生气
volatile,"n. 挥发物；有翅的动物
adj.  挥发性的；不稳定的；爆炸性的；反复无常的"
volatility,n.  挥发性；易变；活泼
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
voluminous,adj. 大量的；多卷的，长篇的；著书多的
vulgar,"n. 平民，百姓
adj. 粗俗的；通俗的；本土的"
vulgarity,n. 粗俗；粗俗语；粗野的动作
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
invulnerable,adj. 无懈可击的；不会受伤害的
wall,"n. 墙壁，围墙；似墙之物
adj. 墙壁的
vt. 用墙围住，围以墙"
interval,n. 间隔；间距；幕间休息
war,"n. 战争，斗争；军事，战术；冲突，对抗，竞争
vi. 打仗，作战；对抗"
warfare,n. 战争；冲突
warrior,n. 战士，勇士；鼓吹战争的人
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
waver,"n. 动摇；踌躇；挥动者
vi. 摇曳；踌躇；摆动"
weak,adj.  疲软的；虚弱的；无力的；不牢固的
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
weapon,n. 武器，兵器
weaponry,n. 兵器，武器（总称）
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
wither,"vi. 枯萎；凋谢；衰弱
vt. 使凋谢；使畏缩；使衰弱"
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）"
wed,"vt. 与...结婚；娶；嫁
vi. 结婚；娶；嫁"
whim,n. 奇想；一时的兴致；怪念头；幻想
whimsical,adj. 古怪的；异想天开的；反复无常的
whole,"n. 整体；全部
adj. 完整的；纯粹的"
wholesome,adj. 健全的；有益健康的；合乎卫生的；审慎的
wholly,adv. 完全地；全部；统统
wield,vt. 使用；行使；挥舞
unwieldy,adj. 笨拙的；笨重的；不灵便的；难处理的
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人"
unwind,"vt. 放松；解开； 展开
vi. 放松；解开；松开"
woe,"n. 悲哀，悲痛；灾难
int. 唉（表示痛苦，悲伤或悔恨）"
woeful,adj. 悲哀的；悲惨的；遗憾的；不幸的
worth,"n. 价值；财产
adj. 值…的"
worthless,adj. 无价值的；不值钱的；卑微的
wretch,n. 可怜的人，不幸的人；卑鄙的人
wretched,adj. 可怜的；卑鄙的；令人苦恼或难受的
zeal,n. 热情；热心；热诚
zealous,adj. 热心的，热情的，积极的
zealot,n. 狂热者；犹太教狂热信徒
zoo,n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园
zoology,n. 动物学，动物学课程; （某一地区的）全部动物，（某种动物的）动物特性
zoologist,n. 动物学家
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
pit,"n. 矿井；深坑；陷阱；（物体或人体表面上的）凹陷；（英国剧场的）正厅后排；正厅后排的观众
vt. 使竞争；窖藏；使凹下；去…之核；使留疤痕
vi. 凹陷；起凹点"
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
fire,"n. 火；火灾；炮火；炉火；热情；激情；磨难
vt. 点燃；解雇；开除；使发光；烧制；激动；放枪
vi. 着火；射击；开枪；激动；烧火"
side,"n. 方面；侧面；旁边
adj. 旁的，侧的
vt. 同意，支持
vi. 支持；赞助；偏袒"
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
blue,"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；（美国海、陆、空三军穿的）蓝色制服；蓝颜料；布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于"
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
leg,n. 腿；支柱
brain,"n. 头脑，智力；脑袋
vt. 猛击…的头部"
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮"
wash,"n. 洗涤；洗的衣服；化妆水；冲积物
vt. 洗涤；洗刷；冲走；拍打
vi. 洗澡；被冲蚀"
feather,"n. 羽毛
vt. 用羽毛装饰
vi. 长羽毛"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
archway,n. 拱门；拱道
armpit,n. 腋窝
backdate,vt. 回溯，追溯；倒填日期
backdrop,n. 背景；背景幕；交流声
backfire,"n. 逆火，回火
vi. 放出逆火；预先放火；产生出乎意料及事与愿违的结果"
backside,n. 背部；后方；臀部
backwater,n. 回水；死水；停滞不进的状态或地方
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
bootleg,"adj. 违法的；偷运或非法制造并销售的
vt. 私卖
vi. 私卖
n. 靴统；私货"
brainstorming,"n. 集体研讨；发表独创性意见
v. 集思广益以寻找；集体自由讨论（brainstorm的ing形式）"
brainwash,"n. 洗脑
vt. 对人洗脑；以宣传说服"
featherbrained,adj. 轻浮的；愚蠢的
scatterbrain,n. 注意力不集中的人
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
clergy,n. 神职人员；牧师；僧侣
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
stone,"n. 石头；结石； 宝石
adj. 石的，石制的
vt. 向扔石块；用石头铺"
corner,"n. 角落，拐角处；地区，偏僻处；困境，窘境
vt. 垄断；迫至一隅；使陷入绝境；把…难住
vi. 囤积；相交成角"
lime,"n. 石灰；酸橙；绿黄色
vt. 撒石灰于；涂粘鸟胶于
adj. 绿黄色的"
mile,n. 英里；一英里赛跑；较大的距离
sand,"n. 沙；沙地；沙洲；沙滩；沙子
vt. 撒沙于；以沙掩盖；用砂纸等擦平或磨光某物；使撒沙似地布满；给…掺沙子
vi. 被沙堵塞"
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车"
dead,"n. 死者
adj. 无生命的；呆板的；废弃了的
adv. 完全地"
pad,"n. 衬垫；护具；便笺簿；填补
vi. 步行；放轻脚步走
vt. 填补；走"
dead,"n. 死者
adj. 无生命的；呆板的；废弃了的
adv. 完全地"
weight,"n. 重量，重力；负担；砝码；重要性
vt. 加重量于，使变重"
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票"
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
dew,"n. 珠，滴；露水；清新
vt. （露水等）弄湿
vi. 结露水"
rain,"n. 雨；下雨；雨天；雨季
vt. 大量地给；使大量落下
vi. 下雨；降雨"
do,"vi. 行，足够；生长
n. 要求；规定；C大调音阶中的第一音
v. 做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过
aux. 助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气）
n. （口语）事件；（主英国口语）诈骗；（主英国、新西兰口语）宴会；（口语）必须做到的事情"
it,"abbr. 信息技术information technology
abbr. 意大利Italy；意大利的Italian"
yourself,pron. 你自己
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
dog,"n. 狗；丑女人；卑鄙的人；(俚)朋友
vt. 跟踪；尾随"
ear,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗"
tire,"n. 轮胎；头饰
vt. 使…疲倦；使…厌烦
vi. 疲劳；厌倦"
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
carefree,adj. 无忧无虑的；不负责的
checklist,n. 清单；检查表；备忘录；目录册
crosscheck,"n. 多方面求证，反复查对
vt. 交叉核对，反复核对"
clearway,n. 畅行道，超速道路
clergyman,n. 牧师；教士
cornerstone,n. 基础；柱石；地基
limestone,n.  石灰岩
milestone,n. 里程碑，划时代的事件
sandstone,n.  砂岩；沙岩
deadlock,"n. 僵局，停顿
vt. 停顿；相持不下
vi. 死锁；停顿"
padlock,"n. 挂锁；关闭；禁止进入
vt. 用挂锁锁上；关闭"
deadweight,n. 自重；载重量；重负
paperweight,n. 书镇；压纸器；镇纸
dewdrop,n. 露珠；露滴
raindrop,n. 雨滴；雨点
do-it-yourself,"adj. 自己动手的
n. 自己动手；喜欢自己装配或修理东西"
well-to-do,adj. 小康的；富裕的
dog-eared,adj. （书页）折角的；（衣衫）褴褛的；陈腐的
dog-tired,adj. 筋疲力尽的；疲倦极的
watchdog,n. 看门狗；监察人；忠实的看守人
downcast,"n. 倒台；俯视的目光；向下转换
adj. 沮丧的；低垂的；气馁的"
down,"prep. 沿着，往下
n. 软毛，绒毛； 开阔的高地
adj. 向下的
vt. 打倒，击败
adv. 向下，下去；在下面
vi. 下降；下去"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
hill,n. 小山；丘陵；斜坡；山冈
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看"
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
wash,"n. 洗涤；洗的衣服；化妆水；冲积物
vt. 洗涤；洗刷；冲走；拍打
vi. 洗澡；被冲蚀"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
far,"n. 远方
adj. 远的；久远的
adv. 很；遥远地；久远地；到很远的距离；到很深的程度"
fore,"n. 前部；船头
prep. 在前
adj. 以前的；在前部的
adv. 在前面；在船头
int. （打高尔夫球者的叫声）让开！"
in,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
short,"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地"
see,"vi. 看；看见；领会
vt. 看见；理解；领会"
fibre,n. 纤维；纤维制品
glass,"n. 玻璃；玻璃制品；镜子
vt. 反映；给某物加玻璃
vi. 成玻璃状"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
under,"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方"
fire,"n. 火；火灾；炮火；炉火；热情；激情；磨难
vt. 点燃；解雇；开除；使发光；烧制；激动；放枪
vi. 着火；射击；开枪；激动；烧火"
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
overcast,"adj. 阴天的；阴暗的；愁闷的
vt. 使沮丧；包缝；遮蔽"
downhill,"n. 下坡；滑降
adj. 下坡的；容易的
adv. 下坡；向下；每况愈下"
eye-catching,adj. 引人注目的；耀眼的；显著的
eyesore,n. 眼中钉；难看的东西
eyewash,n. 无稽之谈；骗局；洗眼水；表面文章
eyewitness,n. 目击者；见证人
farsighted,adj. 有远见的；能看到远处的
foresight,n. 先见，远见；预见；深谋远虑
insight,n. 洞察力；洞悉
oversight,n. 监督，照管；疏忽
shortsighted,adj. 目光短浅的；近视的
sightseeing,"n. 观光；游览
v. 观光（sightsee的ing形式）；游览
adj. 观光的；游览的"
fibreglass,n. 玻璃丝，玻璃纤维
fieldwork,n. 野外工作；现场工作；野战工事
minefield,n. 布雷区；充满隐伏危险的事物
undermine,vt. 破坏，渐渐破坏；挖掘地基
firebomb,"n. 火焰炸弹（燃烧弹和凝固汽油弹的总称）
vt. 用燃烧弹进攻"
firebrick,n. 耐火砖
firedamp,n. 甲烷，沼气
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
jelly,"n. 果冻；胶状物
vi. 成胶状
vt. 使结冻"
monger,"vt. 传播，贩卖
n. 商人，贩子"
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
gate,"n. 大门；出入口；门道
vt. 给…装大门"
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
wheel,"n. 车轮；方向盘；转动
vt. 转动；使变换方向；给…装轮子
vi. 旋转；突然转变方向；盘旋飞行"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
lore,n. 知识；学问；全部传说；（动物的）眼光知识
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
lance,"n. 长矛；执矛战士；柳叶刀
vt. 以长矛攻击；用柳叶刀割开；冲进
vi. 急速前进"
wheel,"n. 车轮；方向盘；转动
vt. 转动；使变换方向；给…装轮子
vi. 旋转；突然转变方向；盘旋飞行"
full,"n. 全部；完整
adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的
vt. 把衣服缝得宽大
adv. 十分，非常；完全地；整整"
fill,"n. 满足；填满的量；装填物
vt. 装满，使充满；满足；堵塞；任职
vi. 被充满，膨胀"
box,"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
jack,"n. 千斤顶； 插座；男人
adj. 雄的
vt. 增加；提醒；抬起；用千斤顶顶起某物"
keeper,n. 监护人；饲养员；看守人；管理人
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
inn,"n. 客栈；旅馆
vi. 住旅馆"
vine,"n. 藤；葡萄树；藤本植物；攀缘植物
vi. 长成藤蔓；爬藤"
grape,n. 葡萄；葡萄酒；葡萄树；葡萄色
yard,"n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁
vt. 把…关进或围在畜栏里"
firepower,n. 火力
jellyfish,n. 水母； 海蜇；软弱无能的人
fishmonger,n. 鱼贩；鱼商
floodgate,n. 水闸；水门；防潮水闸；制约（怒气）
flyleaf,n. 飞页，章节后的空白
flywheel,n.  飞轮，惯性轮；调速轮
folklore,n. 民俗学；民间传说；民间风俗
freehand,"adj. 徒手画的；不用仪器画的
adv. 徒手画地"
freelance,"n. 自由作家；自由记者
adj. 自由投稿的"
freewheel,"n. 自由轮
vi. 靠惯性滑行；随心所欲"
fulfil,vt. 履行；完成；实践；满足
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
gearbox,n. 变速箱；齿轮箱
jack-in-the-box,n. 玩偶盒
goalkeeper,n. 守门员
innkeeper,n. 客栈老板；旅馆主人
grapevine,n. 葡萄树；葡萄藤；小道消息；秘密情报网
vineyard,n. 葡萄园
hair,"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维"
pin,"n. 大头针，别针，针；栓；琐碎物
vt. 钉住；压住；将……用针别住"
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
half,"n. 一半；半场；半学年
adj. 一半的；不完全的；半途的
adv. 一半地；部分地"
time,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度"
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
hard,"adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的
adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地"
top,"n. 顶部，顶端；上部；首席；陀螺
adj. 最高的，顶上的；头等的
vt. 超越，超过；给…加盖；达到…的顶端
vi. 高出，超越；结束；达到顶点"
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
wood,"n. 木材；木制品；树林
vt. 植林于；给…添加木柴
vi. 收集木材"
hare,n. 野兔
brain,"n. 头脑，智力；脑袋
vt. 猛击…的头部"
lip,"n. 嘴唇；边缘
vt. 以嘴唇碰
adj. 口头上的
vi. 用嘴唇"
hay,"n. 干草
vt. 把晒干
vi. 割草晒干"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
wire,"n. 电线；金属丝；电报
vt. 拍电报；给…装电线
vi. 打电报"
heart,"n. 心脏；感情；勇气；心形；要点
vt. 鼓励；铭记
vi. 结心"
ache,"n. 疼痛
vi. 疼痛；渴望"
broken,"v. 折断；打碎；损坏（break的过去分词）
adj. 破碎的；坏掉的"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
away,adv. 离去，离开；在远处
hairpin,n. 簪；束发夹；夹发针
hairspray,n. 头发定型剂
half-time,n. 中场休息时间；半工半薪
halfway,"adj. 中途的；不彻底的
adv. 到一半；在中途"
hard-boiled,adj. 煮过熟了的；不动感情的
hardtop,"n. 有金属顶盖的汽车；室内电影院
adj. 有金属顶盖的
vt. 给…铺硬质路面"
hardwood,n. 硬木，硬木材； 阔叶树
harebrained,adj. 轻率的；粗心的
harelip,n. 兔唇， 唇裂
haystack,"n. 干草堆
比喻如大海捞针般难找"
haywire,"n.  临时电线；捆干草用的铁丝
adj. 乱糟糟的，乱七八糟的；疯狂的"
heartache,n. 心痛；悲叹
heartbroken,adj. 悲伤的，伤心的
heartland,n. 中心地带；心脏地区
heatstroke,n.  中暑
herdsman,n. 牧人
hideaway,n. 潜伏处；隐匿处；退隐处
high,"n. 高水平；天空；由麻醉品引起的快感；高压地带
adj. 高的；高级的；崇高的；高音调的
adv. 高；奢侈地"
brow,n. 眉，眉毛；额；表情
horse,"n. 马；骑兵；脚架；海洛因
vt. 使骑马；系马于；捉弄
vi. 骑马；作弄人"
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
